gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
MAPK1IP1L	1708.1936	MAPK1IP1L	1720.3383
MAPK1	2993.771	MAPK1	3344.0524
MAPK3	1702.8126	MAPK3	1351.5202
MAPK4	10.0623	MAPK4	56.0847
MAPK6	1162.9133	MAPK6	1285.3768
MAPK7	494.1447	MAPK7	373.5365
MAPK8IP1	371.3464	MAPK8IP1	289.5679
MAPK8IP2	800.6708	MAPK8IP2	108.8166
MAPK8IP3	351.2218	MAPK8IP3	915.3395
MAPK8	292.2856	MAPK8	559.3233
MAPK9	1979.8754	MAPK9	995.5041
MAPKAP1	1834.6909	MAPKAP1	1379.2578
MAPKAPK2	6562.0508	MAPKAPK2	2133.3537
MAPKAPK3	496.4063	MAPKAPK3	653.2043
MAPKAPK5	486.5117	MAPKAPK5	544.0494
MAPKBP1	496.8855	MAPKBP1	1221.0623
MAPKSP1	798.7542	MAPKSP1	1117.4274
MAPRE1	3113.5601	MAPRE1	2135.1825
MAPRE2	1033.0618	MAPRE2	912.5962
MAPRE3	577.3838	MAPRE3	371.8662
MAPT	4637.2784	MAPT	1612.741
MARCH10	19.2142	removed	removed
MARCH1	70.436	MARCH1	57.6088
MARCH2	926.2099	MARCH2	410.8817
MARCH3	275.0359	MARCH3	80.7742
MARCH4	12.9372	removed	removed
MARCH5	1019.1663	MARCH5	1239.6556
MARCH6	1926.2099	MARCH6	2969.443
MARCH7	1403.9291	MARCH7	2486.9313
MARCH8	247.724	MARCH8	749.8285
MARCH9	338.7638	MARCH9	181.9706
MARCKSL1	5620.5079	MARCKSL1	3873.8093
MARCKS	6742.2137	MARCKS	4810.7902
removed	removed	MARCO	81.6886
MARK1	137.518	MARK1	273.1083
MARK2	1146.6219	MARK2	1870.6089
MARK3	1253.4739	MARK3	1116.513
MARK4	749.8802	MARK4	839.4422
MARS2	138.9554	MARS2	170.9975
MARS	1577.5851	MARS	1130.6104
MARVELD1	2351.5525	MARVELD1	2115.0895
MARVELD2	326.7849	MARVELD2	492.8751
MARVELD3	465.7738	MARVELD3	451.8144
MASP1	9.5831	MASP1	77.7261
MASP2	13.4164	MASP2	74.678
MAST1	5.7499	MAST1	10.9731
MAST2	1458.5529	MAST2	1245.7517
MAST3	323.9099	MAST3	431.6086
MAST4	912.3143	MAST4	1442.3531
MASTL	224.2453	MASTL	339.8613
MAT1A	61.3321	MAT1A	57.304
MAT2A	3747.0053	MAT2A	3417.2064
MAT2B	1806.8999	MAT2B	1902.3089
MATK	11.9789	MATK	47.8549
MATN2	787.7336	MATN2	6590.871
MATN3	1303.7853	MATN3	124.6666
MATR3	7446.8999	MATR3	8596.9733
MAVS	1357.4509	MAVS	2768.5743
MAX	1620.0287	MAX	1204.6026
MAZ	2543.0235	MAZ	2120.4511
MBD1	598.9459	MBD1	1303.3605
MBD2	1421.1787	MBD2	1335.3654
MBD3	1097.748	MBD3	838.5278
MBD4	774.7964	MBD4	799.2075
MBD5	409.1998	MBD5	580.9647
MBD6	1689.9856	MBD6	1930.3513
MBIP	338.7638	MBIP	438.3144
MBL1P	5.7499	removed	removed
MBLAC1	14.8539	MBLAC1	20.1174
MBLAC2	204.5999	MBLAC2	396.5557
MBNL1	3320.345	MBNL1	4106.183
MBNL2	1749.4011	MBNL2	3001.143
MBNL3	47.9157	MBNL3	117.0464
MBOAT1	600.3833	MBOAT1	1014.0974
MBOAT2	776.713	MBOAT2	494.3991
MBOAT4	5.2707	removed	removed
MBOAT7	1924.2932	MBOAT7	968.0713
MBP	668.4236	MBP	1021.7176
MBTD1	383.8045	MBTD1	1152.4804
MBTPS1	3056.5405	MBTPS1	5365.8462
MBTPS2	718.8069	MBTPS2	795.5346
MB	349.3052	MB	144.784
MC1R	152.8031	MC1R	59.8826
MCAM	3951.6052	MCAM	2396.0985
MCART1	243.8908	MCART1	135.3349
MCART2	5.7499	MCART2	6.401
MCART6	10.0623	MCART6	15.2404
MCAT	338.7638	MCAT	226.4726
MCCC1	365.5966	MCCC1	807.4373
MCCC2	6426.9286	MCCC2	2571.0584
MCC	915.6684	MCC	1495.6946
MCEE	200.2875	MCEE	196.9062
removed	removed	MCF2L2	14.9356
MCF2L	666.0805	MCF2L	851.0249
MCFD2	2989.4586	MCFD2	3288.0226
MCHR1	5.2611	MCHR1	9.0498
MCL1	7230.4744	MCL1	14788.9964
MCM10	52.7072	MCM10	10.0587
MCM2	549.1136	MCM2	430.6942
MCM3APAS	18.8261	MCM3APAS	58.3586
MCM3AP	1944.758	MCM3AP	2226.18
MCM3	1906.5644	MCM3	1547.2072
removed	removed	MCM4	790.0632
MCM5	768.5673	MCM5	673.3216
MCM6	1108.7686	MCM6	567.2483
MCM7	742.046	MCM7	1735.2496
MCM8	116.9142	MCM8	245.0659
MCM9	52.2281	MCM9	173.436
MCOLN1	747.0053	MCOLN1	369.1229
MCOLN2	38.8117	MCOLN2	61.8761
MCOLN3	150.4552	MCOLN3	149.3561
MCPH1	574.4034	MCPH1	665.7106
MCRS1	910.8769	MCRS1	716.6044
MCTP1	231.9118	MCTP1	146.0032
MCTP2	337.8055	MCTP2	339.2517
MCTS1	688.069	MCTS1	648.937
MDC1	803.5458	MDC1	1328.9644
MDFIC	1201.2458	MDFIC	1193.6295
MDFI	621.9454	MDFI	240.4938
MDGA1	302.827	MDGA1	95.1002
MDH1B	34.0201	MDH1B	73.7636
MDH1	2756.1092	MDH1	1542.3303
MDH2	2216.5788	MDH2	1924.8647
MDK	3024.437	MDK	1608.1689
MDM1	215.1414	MDM1	373.3902
MDM2	1649.2573	MDM2	1881.582
MDM4	877.815	MDM4	1218.319
MDN1	744.1303	MDN1	2520.1555
MDP1	176.229	MDP1	156.891
ME1	209.3915	ME1	211.8418
ME2	533.3014	ME2	410.8817
ME3	196.4542	ME3	376.7431
MEA1	1116.9142	MEA1	694.0273
MEAF6	1503.1145	MEAF6	1440.2195
MECOM	467.1778	MECOM	349.6152
MECP2	1109.2477	MECP2	2084.2795
MECR	333.9722	MECR	320.0488
MED10	440.345	MED10	306.6372
MED11	168.6632	MED11	183.1898
MED12L	8.6248	MED12L	32.0049
MED12	1566.3632	MED12	2005.3341
MED13L	3566.3632	MED13L	6382.6869
MED13	2295.6397	MED13	3108.7404
MED14	1469.0944	MED14	1302.126
MED15	2236.7034	MED15	1608.1689
MED16	1045.5199	MED16	927.5318
MED17	476.7609	MED17	843.0999
MED18	326.7849	MED18	225.863
MED19	253.953	MED19	165.8157
MED1	1951.6052	MED1	2133.9633
MED20	405.3666	MED20	466.052
MED21	438.4284	MED21	616.3225
MED22	545.7595	MED22	706.8506
MED23	866.7944	MED23	1442.9627
MED24	2058.9363	MED24	1446.0108
MED25	1015.8122	MED25	664.1774
MED26	255.8697	MED26	280.1189
MED27	298.0355	MED27	176.484
MED28	471.9693	MED28	644.06
MED29	1692.3814	MED29	1780.6904
MED30	114.9976	MED30	160.9388
MED31	138.8548	MED31	129.8788
MED4	765.6924	MED4	854.9874
MED6	255.3905	MED6	328.2786
MED7	297.0771	MED7	173.1311
MED8	881.1691	MED8	488.6078
MED9	413.5122	MED9	378.8768
MEF2A	2073.8189	MEF2A	2063.2874
MEF2B	15.4145	MEF2B	28.3167
MEF2C	972.2089	MEF2C	982.7021
MEF2D	2569.7173	MEF2D	2139.7546
MEFV	6.7082	MEFV	8.2298
MEG3	68.9986	MEG3	511.7732
MEGF10	336.368	MEGF10	241.1034
MEGF6	550.551	MEGF6	706.8506
MEGF8	765.2132	MEGF8	1609.3881
MEGF9	1976.5213	MEGF9	5667.6065
MEI1	42.1658	MEI1	26.8231
MEIS1	245.3282	MEIS1	419.7211
MEIS2	311.4518	MEIS2	469.7097
MEIS3P1	596.0709	MEIS3P1	780.919
MEIS3	689.9856	MEIS3	379.7912
MELK	150.4552	MELK	9.4491
MEMO1	292.1418	MEMO1	245.7761
MEN1	1001.4375	MEN1	780.0046
MEOX1	54.6239	MEOX1	250.2477
MEOX2	63.2487	MEOX2	291.7016
MEPCE	878.7734	MEPCE	1287.5105
MERTK	173.9339	MERTK	582.184
MESDC1	705.3186	MESDC1	347.1767
MESDC2	2066.1236	MESDC2	1289.9489
MESP1	85.769	MESP1	24.9943
MESP2	66.1236	MESP2	7.3154
removed	removed	MESTIT1	11.5827
MEST	1112.1227	MEST	1754.7817
METAP1	849.5448	METAP1	1223.1959
METAP2	1595.1126	METAP2	1917.8541
METRNL	387.6378	METRNL	261.2208
METRN	255.3905	METRN	85.6511
METT10D	556.3009	METT10D	1378.3434
METT11D1	389.5544	METT11D1	557.7993
METT5D1	330.6181	METT5D1	484.9501
METTL10	242.4533	METTL10	440.9571
METTL11A	306.9142	METTL11A	263.1563
METTL11B	9.5831	removed	removed
METTL12	55.7355	METTL12	52.6008
METTL13	892.1897	METTL13	837.6134
METTL14	360.3258	METTL14	504.7626
METTL1	379.4921	METTL1	178.6177
METTL2A	408.2415	METTL2A	323.0969
METTL2B	162.9133	METTL2B	281.0333
METTL3	387.494	METTL3	911.0234
METTL4	210.3498	METTL4	288.0439
METTL5	573.5506	METTL5	298.2245
METTL6	276.9526	METTL6	330.1074
METTL7A	966.9382	METTL7A	4217.0235
METTL7B	85.2899	METTL7B	11.8875
METTL8	259.7029	METTL8	451.1164
METTL9	1808.3373	METTL9	1727.9585
MET	682.3191	MET	1961.4417
MEX3A	307.6186	MEX3A	290.1776
MEX3B	143.747	MEX3B	198.735
MEX3C	812.6497	MEX3C	1613.3506
MEX3D	353.1385	MEX3D	304.8084
MFAP1	755.1509	MFAP1	893.0885
MFAP2	4139.9138	MFAP2	223.1197
MFAP3L	559.655	MFAP3L	657.1668
MFAP3	1489.6981	MFAP3	1129.9246
MFAP4	3682.7983	MFAP4	3281.5667
MFAP5	3708.6727	MFAP5	1620.3612
MFF	1226.6411	MFF	1034.2147
MFGE8	4658.3613	MFGE8	5028.1186
MFHAS1	208.4332	MFHAS1	175.5696
MFI2	197.8917	MFI2	344.7382
MFN1	587.9253	MFN1	921.7405
MFN2	2358.8884	MFN2	2462.5467
MFNG	274.0776	MFNG	169.4734
MFRP	1273.5985	MFRP	200.8687
MFSD10	849.5448	MFSD10	1013.7926
MFSD11	729.3148	MFSD11	432.3127
MFSD1	1844.7532	MFSD1	1508.1917
MFSD2A	103.977	MFSD2A	118.5704
removed	removed	MFSD2B	5.1817
MFSD3	239.0992	MFSD3	128.3243
MFSD4	62.2904	MFSD4	170.9975
MFSD5	1176.8088	MFSD5	416.3682
MFSD6L	55.103	MFSD6L	48.1597
MFSD6	1444.1782	MFSD6	1880.0579
MFSD7	140.5127	MFSD7	144.217
MFSD8	291.8064	MFSD8	424.598
MFSD9	122.6641	MFSD9	179.5321
MGAM	135.6013	MGAM	7.3154
MGAT1	3667.9444	MGAT1	1953.5167
MGAT2	969.8131	MGAT2	501.7145
MGAT3	60.8529	MGAT3	92.9665
MGAT4A	1181.6004	MGAT4A	1400.5944
MGAT4B	1727.3598	MGAT4B	1053.1129
MGAT5B	88.644	MGAT5B	10.0587
MGAT5	181.1212	MGAT5	401.1278
MGA	1030.666	MGA	2152.8614
removed	removed	MGC12916	6.0962
MGC12982	46.9574	MGC12982	16.1548
removed	removed	MGC14436	6.401
MGC16121	6.229	MGC16121	18.2885
MGC16142	10.5414	MGC16142	12.802
MGC16275	34.9784	MGC16275	31.7001
removed	removed	MGC16384	9.4491
MGC21881	79.54	MGC21881	195.9918
MGC23270	25.8745	MGC23270	52.7318
MGC23284	34.0201	MGC23284	32.9193
MGC2752	576.4255	MGC2752	574.2589
MGC29506	168.6632	MGC29506	130.7628
MGC3771	12.2233	MGC3771	18.9499
MGC42105	14.8539	MGC42105	11.2779
MGC45800	24.437	removed	removed
MGC57346	193.1001	MGC57346	248.4188
MGC70857	171.5381	MGC70857	231.3495
MGC72080	37.3167	MGC72080	22.1382
MGC87042	7.6665	MGC87042	9.7539
MGEA5	3928.1265	MGEA5	5579.5169
MGLL	3307.1394	MGLL	3687.5714
MGMT	428.8452	MGMT	350.5296
MGP	12649.7365	MGP	46963.9564
MGRN1	1571.1548	MGRN1	1258.2489
MGST1	2309.5352	MGST1	1435.0377
MGST2	775.2755	MGST2	428.5605
MGST3	2945.8553	MGST3	790.3681
removed	removed	MIA2	253.2957
MIA3	3182.5587	MIA3	2619.8278
MIAT	138.0307	MIAT	83.2919
MIA	111.7154	MIA	409.9459
MIB1	2085.769	MIB1	2551.5507
MIB2	181.6004	MIB2	370.0373
MICAL1	439.3867	MICAL1	490.7414
MICAL2	5191.1835	MICAL2	1067.7437
MICAL3	477.7192	MICAL3	1781.9096
MICALCL	29.2286	MICALCL	92.3569
MICALL1	522.2808	MICALL1	851.6345
MICALL2	594.1543	MICALL2	306.3324
MICA	339.2429	MICA	424.2932
MICB	137.518	MICB	61.8761
MID1IP1	514.6143	MID1IP1	286.5199
MID1	220.8912	MID1	750.743
MID2	638.2367	MID2	890.9548
MIDN	2042.1658	MIDN	1464.6041
MIER1	1053.1864	MIER1	1322.8682
MIER2	509.3436	MIER2	383.4489
MIER3	597.9875	MIER3	819.3248
MIF4GD	653.196	MIF4GD	301.2238
MIF	5330.896	MIF	1346.8292
MIIP	346.9094	MIIP	234.7024
MINA	737.0628	MINA	720.4968
MINK1	1296.6315	MINK1	2789.6579
MINPP1	892.6689	MINPP1	427.3413
MIOS	583.6128	MIOS	794.6354
MIPEP	311.931	MIPEP	441.0577
MIPOL1	148.5386	MIPOL1	201.7831
MIR155HG	7.6665	MIR155HG	8.8394
removed	removed	MIR17HG	28.3472
MIS12	352.1802	MIS12	456.9077
MITD1	195.9751	MITD1	255.7342
MITF	694.7772	MITF	615.4081
MKI67IP	793.4787	MKI67IP	698.6116
MKI67	1053.6655	MKI67	106.0733
MKKS	799.7125	MKKS	778.4805
MKL1	1473.4068	MKL1	1480.759
MKL2	1509.3436	MKL2	3227.9204
MKLN1	1211.7873	MKLN1	2775.28
MKNK1	439.8658	MKNK1	495.0088
MKNK2	2101.1021	MKNK2	2603.3681
MKRN1	1907.5228	MKRN1	2937.1333
MKRN2	735.0264	MKRN2	690.6957
MKS1	388.1169	MKS1	417.8923
MKX	20.6037	MKX	11.8875
MLC1	18.6871	removed	removed
MLEC	3530.4264	MLEC	3802.4842
MLF1IP	180	MLF1IP	62.0133
MLF1	491.6148	MLF1	444.7154
MLF2	2357.4509	MLF2	2096.167
MLH1	694.298	MLH1	713.8612
MLH3	396.7417	MLH3	795.8546
MLKL	222.8079	MLKL	164.5965
MLL2	1582.9229	MLL2	3539.3797
MLL3	1330.6181	MLL3	4584.0128
MLL4	911.8352	MLL4	1486.8551
MLL5	1844.7532	MLL5	4051.4212
MLLT10	560.1342	MLLT10	1286.2912
MLLT11	223.287	MLLT11	140.8215
MLLT1	1798.275	MLLT1	1503.9244
MLLT3	255.8697	MLLT3	616.6273
MLLT4	2034.9784	MLLT4	4388.3258
MLLT6	2139.9138	MLLT6	5015.9262
MLL	1649.7365	MLL	4950.3924
MLPH	6738.8596	MLPH	4934.5424
MLST8	617.518	MLST8	528.4859
MLXIPL	50.3115	MLXIPL	14.6308
MLXIP	788.6919	MLXIP	940.9434
MLX	1531.3464	MLX	933.7408
MLYCD	161.955	MLYCD	213.061
removed	removed	MMAA	349.3104
MMAB	440.345	MMAB	574.8686
MMACHC	147.5803	MMACHC	190.2004
MMADHC	1766.6507	MMADHC	1611.2169
MMD	652.1322	MMD	160.3292
MMEL1	38.3325	MMEL1	5.1817
MME	913.2726	MME	6971.2718
MMGT1	800.6708	MMGT1	851.9393
MMP10	410.6373	MMP10	39.0155
MMP11	35556.3009	MMP11	284.9958
MMP12	11.0206	MMP12	64.3146
MMP13	2284.1399	MMP13	72.2396
MMP14	24946.3345	MMP14	6909.3957
MMP15	687.5898	MMP15	285.9102
MMP16	552.9468	MMP16	502.9338
MMP17	135.6013	MMP17	53.6463
MMP19	852.8989	MMP19	793.4161
MMP1	1246.7657	MMP1	5.7914
removed	removed	MMP23A	5.1817
MMP23B	198.3709	MMP23B	63.7049
MMP24	159.5592	MMP24	245.9803
MMP25	13.3876	MMP25	31.4257
MMP27	20.1246	MMP27	10.3635
MMP28	283.1816	MMP28	67.0578
MMP2	38157.6425	MMP2	18364.0936
MMP3	685.1941	MMP3	99.0627
MMP7	865.8361	MMP7	1735.5788
MMP9	1315.2851	MMP9	424.2932
MMRN1	122.6641	MMRN1	988.1887
MMRN2	1360.3258	MMRN2	1297.5692
MMS19	1430.7619	MMS19	1385.0492
MN1	888.3565	MN1	222.2053
MNAT1	252.9947	MNAT1	203.612
MND1	40.2492	removed	removed
MNDA	227.5994	MNDA	147.5272
MNS1	119.31	MNS1	139.6022
MNT	436.9909	MNT	734.5881
MOAP1	478.6775	MOAP1	913.8154
MOB2	404.4082	MOB2	510.554
MOBKL1A	889.3148	MOBKL1A	1132.9726
MOBKL1B	712.0268	MOBKL1B	803.17
MOBKL2A	1649.7365	MOBKL2A	876.0192
MOBKL2B	443.6991	MOBKL2B	905.8904
MOBKL2C	432.6785	MOBKL2C	486.4741
MOBKL3	775.2755	MOBKL3	942.4674
MOCOS	179.6838	MOCOS	210.3178
MOCS1	560.254	MOCS1	858.8524
MOCS2	981.3129	MOCS2	667.8351
MOCS3	219.4538	MOCS3	161.2436
removed	removed	MOGAT2	50.5982
MOGS	1214.6622	MOGS	1000.6858
MON1A	185.9128	MON1A	135.9445
MON1B	383.8045	MON1B	701.364
MON2	1020.6037	MON2	2102.8728
MORC2	1134.1639	MORC2	1002.8195
MORC3	727.3598	MORC3	1482.283
MORC4	773.838	MORC4	562.981
MORF4L1	5626.2578	MORF4L1	3626.6098
MORF4L2	8689.5065	MORF4L2	3818.639
MORF4	13.8955	removed	removed
MORN1	87.6857	MORN1	126.8003
MORN2	294.6814	MORN2	152.709
MORN3	11.4998	MORN3	13.7164
MORN4	206.9957	MORN4	227.0822
MOSC1	301.8687	MOSC1	161.2436
MOSC2	401.0541	MOSC2	276.4612
MOSPD1	277.4317	MOSPD1	259.6967
MOSPD2	291.3273	MOSPD2	370.647
MOSPD3	265.932	MOSPD3	197.5158
removed	removed	MOV10L1	8.2298
MOV10	1149.976	MOV10	883.0298
MOXD1	445.1366	MOXD1	178.3129
MPDU1	896.5022	MPDU1	649.5496
MPDZ	743.6512	MPDZ	1979.4254
MPEG1	481.0733	MPEG1	789.4536
MPG	591.2793	MPG	396.5557
MPHOSPH10	937.2305	MPHOSPH10	951.0021
MPHOSPH6	150.9344	MPHOSPH6	455.0789
MPHOSPH8	770.9631	MPHOSPH8	1915.7205
MPHOSPH9	184.4753	MPHOSPH9	178.9225
MPI	750.8385	MPI	592.8522
MPL	8.1457	MPL	30.176
MPND	264.9736	MPND	211.2322
removed	removed	MPO	8.8394
MPP1	631.0494	MPP1	303.5891
MPP2	247.724	MPP2	274.9371
MPP3	89.6023	MPP3	158.8052
MPP5	426.9286	MPP5	1153.09
MPP6	69.4777	MPP6	85.6511
MPP7	602.7791	MPP7	1000.0762
MPPE1	643.9866	MPPE1	706.8506
removed	removed	MPPED1	6.0962
MPPED2	72.8318	MPPED2	107.5973
MPRIP	1928.6057	MPRIP	2228.7587
MPST	615.7163	MPST	487.3886
MPV17L2	314.3268	MPV17L2	138.0782
MPV17L	96.7897	MPV17L	269.1458
MPV17	1015.8122	MPV17	557.4945
MPZL1	6042.1658	MPZL1	4810.4854
MPZL2	379.9713	MPZL2	819.3248
MPZL3	17.7288	MPZL3	95.7098
MPZ	16.7705	MPZ	14.6308
MR1	277.9109	MR1	275.8516
MRAP2	44.5616	MRAP2	95.405
MRAP	61.1116	removed	removed
MRAS	1077.6234	MRAS	983.6166
MRC1	48.3948	MRC1	351.7488
MRC2	7962.1466	MRC2	4551.0935
MRE11A	333.9722	MRE11A	764.7642
MREG	568.759	MREG	1459.7211
MRFAP1L1	1262.0987	MRFAP1L1	1695.9537
MRFAP1	4569.2381	MRFAP1	5347.5577
MRGPRF	241.9741	MRGPRF	169.7783
MRGPRX3	26.8328	MRGPRX3	20.727
MRI1	406.804	MRI1	550.7887
MRM1	42.1658	MRM1	93.881
MRO	26.8328	MRO	41.4539
MRP63	502.597	MRP63	434.3519
MRPL10	1126.9765	MRPL10	755.6199
MRPL11	455.1989	MRPL11	433.4375
MRPL12	662.6737	MRPL12	288.6535
MRPL13	595.5918	MRPL13	347.4815
MRPL14	834.2118	MRPL14	284.0814
MRPL15	658.8404	MRPL15	396.8605
MRPL16	636.7992	MRPL16	445.325
MRPL17	1046.9574	MRPL17	432.8279
MRPL18	1069.4777	MRPL18	538.2915
MRPL19	961.1883	MRPL19	1226.5488
MRPL1	241.9741	MRPL1	250.2477
MRPL20	1513.8812	MRPL20	788.3411
MRPL21	438.4284	MRPL21	284.9958
MRPL22	573.5506	MRPL22	253.9054
MRPL23	556.3009	MRPL23	223.1197
MRPL24	1989.4586	MRPL24	566.9435
MRPL27	1105.4145	MRPL27	399.6037
MRPL28	690.9439	MRPL28	416.3682
MRPL2	342.597	MRPL2	315.7815
MRPL30	749.4298	MRPL30	791.9012
MRPL32	936.2722	MRPL32	564.8099
MRPL33	436.5117	MRPL33	411.7961
MRPL34	605.1749	MRPL34	293.2256
MRPL35	777.1921	MRPL35	636.7446
MRPL36	493.5314	MRPL36	157.5859
MRPL37	1446.574	MRPL37	883.3346
MRPL38	1117.518	MRPL38	456.5999
MRPL39	324.8682	MRPL39	291.092
MRPL3	1639.195	MRPL3	1169.8545
MRPL40	820.3162	MRPL40	415.4538
MRPL41	576.4255	MRPL41	197.8206
removed	removed	MRPL42P5	6.7424
MRPL42	725.9224	MRPL42	553.2272
MRPL43	1114.7628	MRPL43	748.2771
MRPL44	538.093	MRPL44	433.7423
MRPL45	1074.7484	MRPL45	886.6875
MRPL46	353.1385	MRPL46	262.44
MRPL47	653.5697	MRPL47	287.7391
MRPL48	367.034	MRPL48	238.3601
MRPL49	1290.8481	MRPL49	1372.2472
MRPL4	569.2381	MRPL4	429.1702
MRPL50	421.6579	MRPL50	337.118
MRPL51	1067.0819	MRPL51	891.2596
MRPL52	513.1768	MRPL52	245.0659
MRPL53	456.1572	MRPL53	265.9605
MRPL54	538.093	MRPL54	301.7603
MRPL55	660.7571	MRPL55	272.1939
MRPL9	915.012	MRPL9	712.9681
MRPS10	954.001	MRPS10	717.5189
MRPS11	662.6737	MRPS11	307.2468
MRPS12	462.3862	MRPS12	177.7033
MRPS14	530.9056	MRPS14	292.616
MRPS15	1272.6402	MRPS15	524.2704
MRPS16	1735.5055	MRPS16	1052.1984
MRPS17	215.6205	MRPS17	149.856
MRPS18A	613.3206	MRPS18A	399.6037
MRPS18B	1115.4768	MRPS18B	996.7233
MRPS18C	230.8241	MRPS18C	166.7972
MRPS21	1257.7863	MRPS21	738.5506
MRPS22	434.116	MRPS22	385.5826
MRPS23	1139.4346	MRPS23	363.6364
MRPS24	1105.8936	MRPS24	435.2663
MRPS25	359.7652	MRPS25	764.438
MRPS26	519.885	MRPS26	422.4644
MRPS27	1893.6272	MRPS27	1417.3588
MRPS28	186.9861	MRPS28	150.6424
MRPS2	939.4921	MRPS2	589.475
MRPS30	1126.4974	MRPS30	413.3201
MRPS31	219.9329	MRPS31	419.1115
MRPS33	367.5132	MRPS33	446.849
MRPS34	776.713	MRPS34	432.5231
MRPS35	1115.9559	MRPS35	967.7665
MRPS36	392.9085	MRPS36	238.9697
MRPS5	665.0695	MRPS5	568.4676
MRPS6	728.2127	MRPS6	436.2204
MRPS7	1308.9506	MRPS7	635.1475
MRPS9	476.2817	MRPS9	428.8654
MRRF	376.138	MRRF	487.0837
MRS2	552.9468	MRS2	596.8148
MRTO4	707.7144	MRTO4	619.0658
MRVI1	1113.5601	MRVI1	811.7046
MS4A14	44.5616	MS4A14	69.984
MS4A1	7.1874	MS4A1	77.1165
MS4A2	57.978	MS4A2	54.2559
MS4A4A	98.7063	MS4A4A	130.1532
MS4A6A	589.3627	MS4A6A	502.629
MS4A7	266.8903	MS4A7	408.5651
MS4A8B	5.2707	removed	removed
MSC	460.9439	MSC	32.1085
MSH2	604.6957	MSH2	950.3924
MSH3	373.0139	MSH3	409.3088
MSH5	71.3943	MSH5	217.1424
MSH6	1516.5309	MSH6	1703.8787
MSI1	106.3728	MSI1	98.1483
MSI2	340.2012	MSI2	416.3682
MSL1	2022.0412	MSL1	2271.7366
MSL2	850.5031	MSL2	1290.2538
MSL3L2	34.4993	MSL3L2	73.4588
MSL3	558.2175	MSL3	504.4578
MSLN	8.6248	MSLN	29.2616
MSMB	1643.0283	MSMB	10.9731
MSMP	16.7705	MSMP	41.1491
MSN	11126.9765	MSN	6076.3545
MSR1	736.4638	MSR1	263.6592
MSRA	229.5161	MSRA	170.3879
MSRB2	678.4859	MSRB2	264.2688
MSRB3	2960.7092	MSRB3	2040.0823
MST1P2	39.2908	MST1P2	344.1286
MST1P9	10.5414	MST1P9	94.7954
MST1R	136.5597	MST1R	303.2843
MST1	9.5831	MST1	156.0619
MST4	337.3263	MST4	387.1066
MSTN	34.0201	MSTN	17.0693
MSTO1	958.4811	MSTO1	419.8064
MSTO2P	184.2932	MSTO2P	196.1472
MSX1	124.1016	MSX1	50.5982
MSX2	241.495	MSX2	339.2517
MT1A	19.6454	MT1A	38.101
MT1E	527.5515	MT1E	1254.5912
MT1F	98.2271	MT1F	106.3781
MT1G	29.7077	MT1G	68.8867
MT1L	19.1663	MT1L	44.502
MT1M	44.5616	MT1M	142.9551
MT1X	839.4825	MT1X	2699.9924
MT2A	1962.6258	MT2A	5406.6905
MTA1	826.0661	MTA1	1022.632
MTA2	1627.6953	MTA2	1539.8918
MTA3	898.4188	MTA3	1032.9955
MTAP	510.3019	MTAP	771.7747
MTBP	57.0196	MTBP	118.2656
MTCH1	3027.7911	MTCH1	2615.8653
MTCH2	1785.3378	MTCH2	926.9222
MTCP1NB	268.7063	MTCP1NB	193.2363
MTCP1	17.3503	MTCP1	32.9315
MTDH	2995.2084	MTDH	3306.8658
MTERFD1	327.264	MTERFD1	268.841
MTERFD2	351.2218	MTERFD2	474.8914
MTERFD3	293.723	MTERFD3	441.6673
MTERF	148.5386	MTERF	275.2419
MTF1	407.7623	MTF1	780.3094
MTF2	246.7657	MTF2	625.4667
MTFMT	243.4116	MTFMT	197.5158
MTFR1	327.264	MTFR1	369.1229
MTG1	403.4499	MTG1	388.3258
MTHFD1L	440.345	MTHFD1L	180.7514
MTHFD1	1492.2856	MTHFD1	1295.3044
MTHFD2L	84.8107	MTHFD2L	334.9417
MTHFD2	989.4586	MTHFD2	891.2596
MTHFR	335.5582	MTHFR	679.4971
MTHFSD	201.725	MTHFSD	405.3951
MTHFS	563.4883	MTHFS	245.3707
MTIF2	630.5702	MTIF2	794.0258
MTIF3	754.6718	MTIF3	641.012
MTL5	505.0311	MTL5	374.6095
MTM1	270.7235	MTM1	462.3943
MTMR10	808.9506	MTMR10	1416.4017
MTMR11	347.8678	MTMR11	532.805
MTMR12	680.8816	MTMR12	1980.0351
MTMR14	861.0446	MTMR14	706.8506
MTMR15	378.3996	MTMR15	839.1801
MTMR1	544.8011	MTMR1	792.5017
MTMR2	924.7724	MTMR2	784.8815
MTMR3	1380.4504	MTMR3	2158.0431
MTMR4	1152.3718	MTMR4	1320.4298
MTMR6	753.7135	MTMR6	1111.0264
MTMR7	64.5999	MTMR7	57.4838
removed	removed	MTMR8	21.6414
MTMR9L	36.8951	MTMR9L	185.0187
MTMR9	493.0331	MTMR9	541.8944
MTO1	431.7202	MTO1	562.0666
MTOR	1530.4264	MTOR	2212.6038
MTP18	212.0508	MTP18	144.9912
MTPAP	487.3023	MTPAP	503.2538
MTRF1L	326.3057	MTRF1L	293.8353
MTRF1	59.8946	MTRF1	167.3398
