gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
ANKRD40	1122.1603	ANKRD40	1499.1095
ANKRD42	570.9387	ANKRD42	362.9887
ANKRD43	272.6104	ANKRD43	135.3575
ANKRD44	73.7248	ANKRD44	85.4889
ANKRD45	8.5727	ANKRD45	31.5495
ANKRD46	400.3429	ANKRD46	475.3388
ANKRD49	266.6095	ANKRD49	337.2063
ANKRD50	2867.1239	ANKRD50	1154.1006
ANKRD52	1128.1612	ANKRD52	1400.3901
ANKRD53	12.4303	ANKRD53	29.1748
ANKRD54	321.4745	ANKRD54	299.2113
ANKRD56	166.3095	ANKRD56	175.388
ANKRD57	582.0832	ANKRD57	865.7451
ANKRD58	18.0026	ANKRD58	5.7671
ANKRD5	402.9147	ANKRD5	259.8592
ANKRD6	182.0532	ANKRD6	283.6774
ANKRD9	99.4428	ANKRD9	83.4535
