gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
ADAM10	607.3702	ADAM10	1879.2525
removed	removed	ADAM11	21.5621
ADAM12	1394.5591	ADAM12	140.8721
ADAM15	8894.6247	ADAM15	2172.9995
ADAM17	407.486	ADAM17	739.3388
ADAM19	686.8609	ADAM19	96.3105
removed	removed	ADAM22	30.666
ADAM28	110.3608	ADAM28	117.8725
ADAM32	18.5221	ADAM32	26.3536
ADAM33	24.6961	ADAM33	65.1653
ADAM6	349667.7677	ADAM6	31452.6977
ADAM8	418.2906	ADAM8	124.5807
ADAM9	1628.4005	ADAM9	1655.9655
ADAMDEC1	588.0764	ADAMDEC1	105.8936
ADAMTS10	79.4906	ADAMTS10	78.5817
ADAMTS12	30.8702	ADAMTS12	23.9578
ADAMTS13	172.8729	ADAMTS13	95.8313
ADAMTS14	84.1212	removed	removed
ADAMTS15	21.6091	ADAMTS15	435.0743
ADAMTS16	5.4023	ADAMTS16	7.6665
ADAMTS17	101.8715	ADAMTS17	49.8323
ADAMTS18	10.0328	ADAMTS18	89.6023
removed	removed	ADAMTS19	8.1457
ADAMTS1	757.0905	ADAMTS1	1268.3277
ADAMTS2	272.4291	ADAMTS2	114.0393
ADAMTS3	17.7503	ADAMTS3	34.4993
ADAMTS4	1375.2653	ADAMTS4	96.3105
ADAMTS5	209.917	ADAMTS5	1230.4744
ADAMTS6	30.0984	removed	removed
ADAMTS7	125.7959	ADAMTS7	34.4993
ADAMTS8	58.6533	ADAMTS8	34.9784
ADAMTS9	541.7712	ADAMTS9	379.9713
ADAMTSL1	42.4465	ADAMTSL1	29.2286
ADAMTSL2	165.1553	ADAMTSL2	21.0829
ADAMTSL3	79.4906	ADAMTSL3	48.3948
ADAMTSL4	389.7357	ADAMTSL4	148.0594
ADAMTSL5	13.8916	ADAMTSL5	32.1035
ADAP1	590.0675	ADAP1	156.9478
ADAP2	260.081	ADAP2	165.7882
ADARB1	520.9338	ADARB1	696.6938
removed	removed	ADARB2	8.1457
ADAR	7271.4644	ADAR	7177.7671
ADAT1	75.6319	ADAT1	264.0153
ADAT2	117.3066	ADAT2	130.8098
ADAT3	84.1212	ADAT3	29.7077
ADA	330.3106	ADA	39.2908
ADCK1	128.8829	ADCK1	172.9756
ADCK2	913.7565	ADCK2	900.3354
ADCK4	622.8053	ADCK4	518.9267
ADCK5	477.7156	ADCK5	109.7269
ADCY1	138.9157	ADCY1	305.702
ADCY2	71.7731	ADCY2	84.3316
ADCY3	1325.8267	ADCY3	873.2151
ADCY4	156.666	ADCY4	165.7882
ADCY5	23.9244	ADCY5	330.139
ADCY6	671.4258	ADCY6	2521.8016
ADCY7	919.1588	ADCY7	264.0153
ADCY9	497.0095	ADCY9	800.1917
ADCYAP1	5.4023	removed	removed
ADC	188.3079	ADC	200.2875
ADD1	2808.4121	ADD1	5904.1687
ADD2	30.8702	ADD2	34.9784
ADD3	704.6112	ADD3	2077.6234
ADH1A	6.9458	ADH1A	25.8745
ADH1B	1543.5076	ADH1B	3051.7489
removed	removed	ADH1C	34.9784
ADH4	6.9458	removed	removed
