gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
MTM1	221.4933	MTM1	445.6157
MTMR10	500.9377	MTMR10	972.2712
MTMR11	638.2404	MTMR11	275.9943
MTMR12	777.9278	MTMR12	2131.2889
MTMR14	1364.4607	MTMR14	715.8601
MTMR15	324.8389	MTMR15	791.9837
MTMR1	392.0509	MTMR1	913.2726
MTMR2	1200.8489	MTMR2	652.1322
MTMR3	839.6681	MTMR3	2192.1418
MTMR4	1189.2726	MTMR4	1246.7657
MTMR6	493.9224	MTMR6	853.3781
MTMR7	85.6955	MTMR7	51.3033
MTMR8	9.261	MTMR8	15.5918
MTMR9L	69.4578	MTMR9L	180.6421
MTMR9	205.2865	MTMR9	419.2525
MTO1	368.1266	MTO1	479.1567
MTOR	1331.2753	MTOR	1738.3805
MTP18	360.0154	MTP18	201.2266
MTPAP	1065.0203	MTPAP	542.8845
MTRF1L	281.6901	MTRF1L	264.4945
MTRF1	140.4592	MTRF1	119.31
MTRR	608.142	MTRR	538.5721
MTR	1097.4339	MTR	1383.3253
MTSS1L	1801.2734	MTSS1L	1393.8668
MTSS1	627.4358	MTSS1	781.9837
MTTP	6.174	removed	removed
MTUS1	1168.4353	MTUS1	3256.828
removed	removed	MTUS2	32.1035
MTX1	1358.2867	MTX1	410.1342
MTX2	765.5798	MTX2	423.0954
MTX3	289.4077	MTX3	712.9851
MUC15	1122.9018	MUC15	598.9459
MUC16	15086.2435	MUC16	215.6205
MUC1	6738.9543	MUC1	5437.4701
MUC20	147.405	MUC20	202.6833
MUC4	9.261	MUC4	104.4562
MUC5B	4108.0455	MUC5B	216.0997
MUC6	6.174	MUC6	1312.8893
removed	removed	MUC7	7.6665
MUCL1	9.261	MUCL1	26359.8467
MUDENG	580.3589	MUDENG	798.7542
MUL1	521.7056	MUL1	828.4619
removed	removed	MUM1L1	52.2281
MUM1	565.6955	MUM1	1059.4154
MURC	10.8046	removed	removed
MUS81	1019.4868	MUS81	539.0513
MUSTN1	48.4121	MUSTN1	24.9161
MUTED	190.6232	MUTED	466.2195
MUTYH	239.2437	MUTYH	151.8448
MUT	411.3448	MUT	903.6895
MVD	882.8864	MVD	298.5146
MVK	624.3488	MVK	407.2832
MVP	5265.6762	MVP	2324.3891
MX1	10579.2012	MX1	991.8543
MX2	761.721	MX2	164.3507
MXD1	206.83	MXD1	434.116
MXD3	648.25	MXD3	81.4135
MXD4	1435.4621	MXD4	1992.8126
MXI1	361.1808	MXI1	2515.0934
MXRA5	3587.1117	MXRA5	1963.5841
MXRA7	1423.114	MXRA7	1898.8979
MXRA8	2035.1148	MXRA8	1663.1529
MYADM	2484.2755	MYADM	3390.0335
MYBBP1A	814.8022	MYBBP1A	1472.8654
MYBL1	977.0403	MYBL1	77.1442
MYBL2	1869.9595	MYBL2	28.7494
MYBPC1	570.3261	MYBPC1	1604.6957
MYBPH	104.1868	removed	removed
MYB	89.5234	MYB	1815.5247
MYCBP2	931.5068	MYCBP2	2392.4293
removed	removed	MYCBPAP	5.7499
MYCBP	409.0295	MYCBP	862.482
MYCL1	280.1466	MYCL1	212.2664
MYCNOS	6.174	removed	removed
MYCN	163.6118	MYCN	21.0829
MYCT1	172.8729	MYCT1	211.7873
MYC	743.9707	MYC	3357.4509
MYD88	2457.2641	MYD88	1056.0613
MYEF2	259.07	MYEF2	369.3963
MYEOV2	617.403	MYEOV2	508.8644
MYEOV	44.7617	MYEOV	247.724
MYH10	634.3816	MYH10	2175.8505
MYH11	1057.0403	MYH11	17320.7571
MYH14	3036.0795	MYH14	2545.7595
MYH15	10.8046	removed	removed
removed	removed	MYH1	9.5831
MYH3	14.6633	MYH3	60.3737
removed	removed	MYH7B	29.7077
MYH7	40.903	removed	removed
MYH9	40441.4432	MYH9	31744.1303
MYL12A	14431.0245	MYL12A	4678.965
MYL12B	15515.3386	MYL12B	7147.5803
MYL5	100.1042	MYL5	114.6478
MYL6B	627.4358	MYL6B	489.6981
MYL6	17800.5016	MYL6	11494.0105
removed	removed	MYL7	27.3119
MYL9	19866.4866	MYL9	8401.5333
MYLIP	206.0583	MYLIP	1510.781
removed	removed	MYLK3	8.6248
MYLK4	18.5221	MYLK4	59.8946
MYLK	7539.263	MYLK	14094.3891
MYNN	293.2664	MYNN	504.552
MYO10	819.6025	MYO10	1169.1423
MYO15A	43.2182	MYO15A	22.0412
MYO15B	398.9967	MYO15B	686.1524
MYO16	39.3594	MYO16	10.0623
MYO18A	841.5281	MYO18A	1832.5827
MYO19	768.1574	MYO19	371.5621
MYO1B	628.9794	MYO1B	2356.0134
MYO1C	5732.5873	MYO1C	4857.2113
MYO1D	1188.5009	MYO1D	1818.3996
MYO1E	1824.426	MYO1E	953.0426
MYO1F	801.8522	MYO1F	304.2645
MYO1G	472.3133	MYO1G	112.6018
MYO1H	28.5549	MYO1H	10.0623
MYO3A	5.4023	removed	removed
MYO3B	5.4023	MYO3B	8.6248
MYO5A	822.6896	MYO5A	780.0671
MYO5B	5409.9942	MYO5B	2377.5755
MYO5C	374.5861	MYO5C	1696.4399
MYO6	4055.5663	MYO6	4284.1399
MYO7A	227.6674	MYO7A	94.3939
MYO7B	14.6633	removed	removed
MYO9A	76.4036	MYO9A	804.9832
MYO9B	2720.4322	MYO9B	1879.7317
MYOCD	7.7175	MYOCD	9.5831
removed	removed	MYOC	11.9789
MYOF	1984.9508	MYOF	6354.0968
MYOM1	50.164	MYOM1	200.7667
removed	removed	MYOM2	40.7283
removed	removed	MYOM3	49.8323
MYOZ1	76.4036	MYOZ1	25.8745
removed	removed	MYOZ2	6.229
MYOZ3	7.7175	MYOZ3	68.0402
removed	removed	MYPN	8.6248
MYPOP	157.4378	MYPOP	148.0594
MYRIP	19.2938	MYRIP	91.9981
MYSM1	60.9686	MYSM1	248.2032
MYST1	652.9037	MYST1	759.9425
MYST2	488.5202	MYST2	1600.3833
MYST3	607.3702	MYST3	2046.4782
MYST4	418.2906	MYST4	1549.5927
MYT1	10.0328	removed	removed
MZF1	133.4594	MZF1	323.1193
N4BP1	1362.9172	N4BP1	1604.2166
N4BP2L1	185.2209	N4BP2L1	737.9013
N4BP2L2	1134.4781	N4BP2L2	1980.8337
N4BP2	22.3809	N4BP2	300.4312
N4BP3	818.8308	N4BP3	536.6555
N6AMT1	223.8086	N6AMT1	319.1184
N6AMT2	142.0027	N6AMT2	155.7259
NAA10	1146.0544	NAA10	586.4878
NAA15	918.387	NAA15	959.7508
NAA16	230.7544	NAA16	350.7427
NAA20	2271.2715	NAA20	931.9598
NAA25	386.6487	NAA25	593.6751
NAA30	249.2765	NAA30	721.61
NAA35	261.6245	NAA35	447.0532
NAA38	424.4646	NAA38	328.7015
NAA40	344.974	NAA40	635.3618
NAA50	2967.3934	NAA50	2519.885
NAAA	565.6955	NAAA	878.2942
NAALAD2	21.6091	NAALAD2	13.4164
NAALADL1	60.1968	NAALADL1	98.2271
NAALADL2	50.164	NAALADL2	442.7408
NAB1	1271.0785	NAB1	1422.137
NAB2	622.0336	NAB2	756.1092
NACA2	55.5663	NACA2	55.5822
NACAD	208.3735	NACAD	162.9133
NACAP1	143.5462	NACAP1	181.1212
NACA	15726.0274	NACA	20116.4351
NACC1	2585.3753	NACC1	1064.207
NACC2	18.5221	NACC2	56.0613
NADK	1356.7432	NADK	949.6885
NADSYN1	790.2759	NADSYN1	822.712
NAE1	746.2859	NAE1	813.608
NAF1	48.6205	NAF1	204.5999
NAGA	2130.8123	NAGA	889.3148
NAGK	1408.4507	NAGK	1051.2698
NAGLU	880.5711	NAGLU	652.1322
NAGPA	421.3776	NAGPA	199.8083
NAGS	63.2838	NAGS	99.1854
NAIF1	213.0041	NAIF1	236.7034
NAIP	61.7403	NAIP	88.1648
NALCN	71.7731	NALCN	236.2242
NAMPT	1324.3295	NAMPT	1754.1926
NANOS1	515.5315	NANOS1	310.9727
NANOS3	6.9458	removed	removed
NANP	175.1881	NANP	159.08
NANS	1350.5692	NANS	786.7753
NAP1L1	5266.448	NAP1L1	6876.8567
NAP1L2	23.1526	NAP1L2	250.1198
NAP1L3	27.0114	NAP1L3	104.4562
NAP1L4	3403.4343	NAP1L4	2901.7729
NAP1L5	35.5007	NAP1L5	197.8917
removed	removed	NAP1L6	5.2707
NAPA	3906.9959	NAPA	3346.5213
NAPB	206.0583	NAPB	289.4106
NAPEPLD	226.1625	NAPEPLD	540.9296
NAPG	716.9593	NAPG	687.5898
NAPRT1	2298.2828	NAPRT1	621.9454
removed	removed	NAPSA	7.6665
NAPSB	504.727	NAPSB	276.4734
NARFL	1069.6508	NARFL	564.4466
NARF	1109.0102	NARF	553.9051
NARG2	535.5971	NARG2	1110.206
NARS2	272.4291	NARS2	457.1155
NARS	3199.6913	NARS	2874.9401
NASP	1656.9554	NASP	1388.5961
NAT10	963.9205	NAT10	1214.183
NAT14	444.5302	NAT14	162.4341
NAT15	1435.4621	NAT15	1084.8107
NAT1	50.9358	NAT1	227.1203
NAT6	127.8333	NAT6	232.3431
NAT8B	8.4893	removed	removed
NAT8L	98.0127	NAT8L	100.1437
NAT9	719.2746	NAT9	430.7619
NAV1	487.7484	NAV1	603.2583
NAV2	657.5342	NAV2	2721.2602
NAV3	16.2068	NAV3	244.3699
NBAS	597.3374	NBAS	1501.677
NBEAL1	24.6961	NBEAL1	190.2252
NBEAL2	1484.8543	NBEAL2	1880.2108
NBEA	27.0114	NBEA	449.449
NBL1	12663.7083	NBL1	3375.1797
NBLA00301	7.7175	NBLA00301	8.1457
NBN	1499.5177	NBN	1702.9229
NBPF10	665.5759	NBPF10	1248.2607
NBPF14	377.704	NBPF14	1078.85
NBPF15	139.6874	NBPF15	284.9736
NBPF16	70.2296	NBPF16	96.3105
NBPF1	255.4505	NBPF1	1005.2707
NBPF3	53.251	NBPF3	328.7015
removed	removed	NBPF4	6.7082
NBPF9	151.7268	NBPF9	194.3172
NBR1	2041.2888	NBR1	4964.5424
NBR2	94.154	NBR2	87.6857
NCALD	1138.3369	NCALD	3722.0891
NCAM1	33.1854	NCAM1	233.3493
NCAM2	8.4893	NCAM2	367.034
NCAPD2	2448.0031	NCAPD2	1453.2822
NCAPD3	779.4713	NCAPD3	680.4025
NCAPG2	284.0054	NCAPG2	325.3474
NCAPG	729.2225	NCAPG	37.1107
NCAPH2	1825.1978	NCAPH2	757.5467
NCAPH	349.6045	NCAPH	24.437
NCBP1	691.4914	NCBP1	845.2755
NCBP2	927.6481	NCBP2	1735.0264
NCCRP1	477.7156	NCCRP1	88.1648
NCDN	1214.7405	NCDN	1057.9732
NCEH1	272.4291	NCEH1	553.9051
NCF1B	85.6647	NCF1B	28.2702
NCF1C	256.2223	NCF1C	11.0206
NCF1	689.9479	NCF1	72.3527
NCF2	865.136	NCF2	183.517
NCF4	592.7069	NCF4	78.1025
NCK1	591.9352	NCK1	596.5501
NCK2	1773.4903	NCK2	1451.3656
NCKAP1L	999.4212	NCKAP1L	342.1179
NCKAP1	2303.6851	NCKAP1	4141.8304
NCKAP5L	469.9981	NCKAP5L	743.6512
NCKAP5	16.2068	NCKAP5	346.4303
NCKIPSD	554.1192	NCKIPSD	608.0498
NCLN	1728.7285	NCLN	1007.1874
NCL	13768.088	NCL	11592.7168
NCOA1	794.9064	NCOA1	2593.6751
NCOA2	118.0783	NCOA2	1288.9315
NCOA3	1565.8885	NCOA3	1388.1169
NCOA4	2382.404	NCOA4	5453.7614
NCOA5	1255.6434	NCOA5	1377.5755
NCOA6	919.9305	NCOA6	1793.0043
NCOA7	1274.1655	NCOA7	1704.8395
NCOR1	1081.9988	NCOR1	3251.5573
NCOR2	1909.3189	NCOR2	3609.9665
NCR1	5.4023	removed	removed
NCR3	38.5877	NCR3	6.229
NCRNA00081	155.9637	NCRNA00081	158.6104
NCRNA00085	42.4465	NCRNA00085	76.6651
NCRNA00086	17.7503	NCRNA00086	416.8663
NCRNA00087	13.8916	NCRNA00087	103.0187
removed	removed	NCRNA00092	14.3747
removed	removed	NCRNA00093	21.1308
NCRNA00094	476.311	NCRNA00094	746.7274
NCRNA00095	70.2296	NCRNA00095	35.4576
NCRNA00105	19.2938	NCRNA00105	25.8888
removed	removed	NCRNA00107	10.0623
removed	removed	NCRNA00110	80.0192
NCRNA00115	40.1312	NCRNA00115	12.9372
NCRNA00116	406.7143	NCRNA00116	116.9142
NCRNA00120	23.9244	NCRNA00120	43.6033
NCRNA00152	540.2277	NCRNA00152	80.4983
NCRNA00158	5.4023	removed	removed
NCRNA00160	22.3809	removed	removed
NCRNA00162	10.0328	removed	removed
NCRNA00171	12.5719	NCRNA00171	37.3503
NCRNA00173	16.9786	NCRNA00173	15.8122
NCRNA00174	179.8186	NCRNA00174	167.2257
NCRNA00176	97.241	NCRNA00176	5.2707
NCRNA00181	156.5734	NCRNA00181	154.4466
NCRNA00182	44.7617	NCRNA00182	58.9363
NCRNA00183	253.907	NCRNA00183	287.9732
NCRNA00188	5585.9541	NCRNA00188	7171.5381
NCRNA00201	1750.2991	NCRNA00201	790.7235
NCRNA00202	37.0442	removed	removed
NCRNA00204B	6.174	NCRNA00204B	10.5414
NCRNA00219	169.0141	NCRNA00219	601.3416
NCS1	568.7826	NCS1	355.5343
NCSTN	5111.3255	NCSTN	2970.1677
NDC80	816.5155	NDC80	15.333
NDE1	444.7926	NDE1	411.3943
NDEL1	720.0463	NDEL1	901.2937
NDFIP1	2123.8665	NDFIP1	3456.1572
NDFIP2	865.9078	NDFIP2	672.736
NDNL2	468.4546	NDNL2	445.1366
NDN	367.3548	NDN	464.3028
NDOR1	463.0523	NDOR1	616.1955
removed	removed	NDP	131.7681
NDRG1	9474.0498	NDRG1	3402.9708
NDRG2	5640.7486	NDRG2	9047.9157
NDRG3	1434.6903	NDRG3	1290.8481
NDRG4	75.6319	NDRG4	109.2477
NDST1	1915.493	NDST1	7750.8385
NDST2	322.5931	NDST2	686.1524
NDUFA10	1401.5049	NDUFA10	2022.9995
NDUFA11	2865.5219	NDUFA11	1108.7686
NDUFA12	1011.7692	NDUFA12	466.2195
NDUFA13	2694.6556	NDUFA13	1445.127
NDUFA1	2285.163	NDUFA1	1013.8955
NDUFA2	1230.1756	NDUFA2	749.4011
NDUFA3	885.9734	NDUFA3	439.3867
NDUFA4L2	493.1507	NDUFA4L2	84.8107
NDUFA4	2586.147	NDUFA4	2179.6838
NDUFA5	1362.1455	NDUFA5	1357.4509
NDUFA6	2661.0071	NDUFA6	694.7772
NDUFA7	1511.094	NDUFA7	419.7413
NDUFA8	1501.8329	NDUFA8	634.8826
NDUFA9	2752.8458	NDUFA9	1022.9995
NDUFAB1	1094.3469	NDUFAB1	643.5074
NDUFAF1	212.2323	NDUFAF1	322.4724
NDUFAF2	317.9626	NDUFAF2	134.643
NDUFAF3	1015.628	NDUFAF3	716.8184
NDUFAF4	422.1493	NDUFAF4	245.8074
NDUFB10	3012.1551	NDUFB10	992.8126
NDUFB11	1612.9655	NDUFB11	1004.7916
NDUFB1	838.8964	NDUFB1	441.3033
NDUFB2	2316.01	NDUFB2	874.9305
NDUFB3	1632.2593	NDUFB3	488.2607
NDUFB4	5040.3241	NDUFB4	1473.4068
NDUFB5	865.136	NDUFB5	998.5625
NDUFB6	750.1447	NDUFB6	541.4471
NDUFB7	2353.8491	NDUFB7	988.5002
NDUFB8	2650.9743	NDUFB8	1147.6953
NDUFB9	6526.722	NDUFB9	1740.7762
NDUFC1	1590.5846	NDUFC1	678.0067
NDUFC2	1558.9427	NDUFC2	2220.4121
NDUFS1	755.547	NDUFS1	1079.54
NDUFS2	2813.8144	NDUFS2	1917.1059
NDUFS3	1616.8165	NDUFS3	1006.6315
NDUFS4	463.0523	NDUFS4	608.529
NDUFS5	2924.1752	NDUFS5	1518.4475
NDUFS6	1767.3162	NDUFS6	564.4466
NDUFS7	964.8389	NDUFS7	623.6991
NDUFS8	2636.311	NDUFS8	855.7738
NDUFV1	2535.983	NDUFV1	2168.6632
NDUFV2	3528.4584	NDUFV2	1339.7221
NDUFV3	1099.7492	NDUFV3	669.861
NEAT1	5731.0438	NEAT1	8471.9693
NEBL	2273.5867	NEBL	3793.4835
NEB	13.8916	NEB	29.2286
NECAB1	29.3266	NECAB1	134.643
NECAB2	38.5877	removed	removed
NECAB3	162.0683	NECAB3	419.2621
NECAP1	863.5925	NECAP1	715.3809
NECAP2	2120.0077	NECAP2	1254.4322
NEDD1	307.9298	NEDD1	641.1116
NEDD4L	993.2472	NEDD4L	3701.0062
NEDD4	213.0041	NEDD4	622.9037
NEDD8	3256.0293	NEDD8	1269.7652
NEDD9	898.3214	NEDD9	1727.839
NEFH	27.7831	NEFH	51.2698
removed	removed	NEFL	6.7082
removed	removed	NEFM	7.8917
NEGR1	94.9257	NEGR1	54.1447
NEIL1	91.0669	NEIL1	204.1207
NEIL2	403.6272	NEIL2	502.6354
NEIL3	27.0114	removed	removed
removed	removed	NEK10	160.9966
NEK11	104.9585	NEK11	405.3666
NEK1	81.0342	NEK1	500.2396
NEK2	1013.3128	NEK2	9.104
NEK3	302.5275	NEK3	196.4542
NEK4	185.2209	NEK4	573.0714
removed	removed	NEK5	11.4998
NEK6	738.5684	NEK6	738.8596
NEK7	1679.3363	NEK7	1293.2439
NEK8	75.6319	NEK8	129.3723
NEK9	949.2572	NEK9	2400.0958
NELF	1068.879	NELF	736.4638
NELL2	221.4933	NELL2	79.0609
NENF	3481.3814	NENF	994.2501
NEO1	1357.515	NEO1	2634.8826
NES	907.5825	NES	2818.8788
NET1	3988.4237	NET1	1408.7207
NETO2	180.5904	NETO2	408.7207
NEU1	1296.5464	NEU1	1778.1505
NEU3	20.0656	NEU3	139.9138
NEURL1B	1752.6529	NEURL1B	423.0954
NEURL2	13.1198	NEURL2	28.3757
NEURL3	20.8374	NEURL3	147.1011
NEURL4	402.7166	NEURL4	708.62
NEURL	788.7324	NEURL	7.1874
removed	removed	NEUROG2	42.6449
NEXN	122.7089	NEXN	220.4121
NF1	796.4499	NF1	2572.1131
NF2	1068.879	NF2	1247.724
NFAM1	686.0891	NFAM1	144.7053
NFASC	724.4762	NFASC	1095.0934
removed	removed	NFAT5	2595.5918
NFATC1	331.0824	NFATC1	457.5946
NFATC2IP	661.393	NFATC2IP	857.6905
NFATC2	17.7503	NFATC2	79.54
NFATC3	544.0864	NFATC3	914.7101
NFATC4	435.2691	NFATC4	341.1596
NFE2L1	4104.9585	NFE2L1	6487.7815
NFE2L2	1623.6388	NFE2L2	2944.8586
NFE2L3	1481.7673	NFE2L3	237.1826
NFE2	21.6091	NFE2	5.7499
NFIA	475.4003	NFIA	2028.7494
NFIB	1877.677	NFIB	7303.7853
NFIC	275.5161	NFIC	969.8131
NFIL3	865.9078	NFIL3	647.3407
NFIX	2962.7629	NFIX	5103.977
removed	removed	NFKB1	1773.3589
NFKB2	2173.2587	NFKB2	827.9828
NFKBIA	2704.2254	NFKBIA	2001.9166
NFKBIB	631.2946	NFKBIB	272.161
NFKBID	59.425	NFKBID	24.9161
NFKBIE	1181.5551	NFKBIE	307.1394
NFKBIL1	502.4117	NFKBIL1	603.7374
NFKBIL2	459.919	NFKBIL2	148.0594
NFKBIZ	364.2678	NFKBIZ	2004.7916
NFRKB	469.2263	NFRKB	1029.7077
NFS1	543.3147	NFS1	578.3421
NFU1	633.6099	NFU1	565.4049
NFX1	666.7953	NFX1	1338.7638
NFXL1	176.7316	NFXL1	298.0355
NFYA	2931.121	NFYA	1181.1212
NFYB	645.1862	NFYB	863.4403
NFYC	1319.5215	NFYC	1446.0997
NGDN	852.788	NGDN	569.7173
NGEF	152.8073	NGEF	134.643
NGFRAP1	404.399	NGFRAP1	1265.932
NGFR	163.6118	NGFR	1549.1136
NGF	21.6091	NGF	5.7499
NGLY1	310.245	NGLY1	754.6718
NGRN	7135.1572	NGRN	2754.758
NHEDC2	151.2637	NHEDC2	131.7681
NHEJ1	366.3361	NHEJ1	263.057
NHLH1	11.5763	removed	removed
NHLRC1	107.2738	NHLRC1	157.1634
NHLRC2	26.2396	NHLRC2	184.9545
NHLRC3	641.3274	NHLRC3	611.8831
NHLRC4	33.9572	NHLRC4	101.1021
NHP2L1	6204.9006	NHP2L1	2305.702
NHP2	3209.7241	NHP2	1117.3934
NHSL1	275.5161	NHSL1	333.9722
NHSL2	10.8046	NHSL2	66.6028
NHS	59.425	NHS	219.9329
NICN1	235.3849	NICN1	469.9856
NID1	1278.7961	NID1	500.2396
NID2	644.4144	NID2	100.1437
removed	removed	NIF3L1	536.1763
NINJ1	1447.8101	NINJ1	2367.5132
NINJ2	179.8186	NINJ2	27.7911
NINL	470.7698	NINL	440.8241
NIN	1139.8804	NIN	1165.7882
NIP7	661.393	NIP7	476.2817
NIPA1	1496.4306	NIPA1	321.5141
NIPA2	2609.2996	NIPA2	693.8189
removed	removed	NIPAL1	37.8534
NIPAL2	66.3708	NIPAL2	238.62
NIPAL3	897.5497	NIPAL3	1425.4911
NIPAL4	40.1312	removed	removed
NIPBL	968.551	NIPBL	2762.8174
NIPSNAP1	1234.0343	NIPSNAP1	1339.7221
NIPSNAP3A	449.9325	NIPSNAP3A	497.3646
NIPSNAP3B	16.9786	NIPSNAP3B	55.5918
NISCH	1146.8262	NISCH	3315.2851
NIT1	850.2952	NIT1	662.2281
NIT2	1270.3068	NIT2	770.9631
NKAIN1	27.7831	NKAIN1	11.4998
removed	removed	NKAIN2	25.8745
removed	removed	NKAIN4	5.7499
NKAPL	6.174	NKAPL	35.4576
NKAP	218.4063	NKAP	329.6598
NKD1	28.5549	NKD1	9.5831
NKD2	253.907	NKD2	85.769
NKG7	805.711	NKG7	110.6852
NKIRAS1	128.1111	NKIRAS1	247.2448
NKIRAS2	1718.6957	NKIRAS2	735.9847
NKPD1	8.4893	NKPD1	60.8529
NKRF	245.4177	NKRF	325.8265
NKTR	1828.2848	NKTR	2206.0374
NKX2-5	94.154	NKX2-5	6.7082
removed	removed	NKX2-8	18.6871
NKX3-1	22.3809	NKX3-1	232.8701
NKX3-2	53.251	NKX3-2	7.1874
NLE1	207.6018	NLE1	470.0527
removed	removed	NLGN1	11.0206
NLGN2	776.3843	NLGN2	767.609
NLGN3	19.2938	NLGN3	38.8117
NLGN4X	27.0114	NLGN4X	268.8069
NLK	452.2477	NLK	454.2405
NLN	175.9599	NLN	286.0565
NLRC3	232.2979	NLRC3	112.1227
NLRC4	43.99	NLRC4	34.0201
NLRC5	1641.5204	NLRC5	389.0752
removed	removed	NLRP12	8.6248
removed	removed	NLRP13	11.0206
NLRP1	311.0168	NLRP1	246.2865
NLRP2	76.4036	NLRP2	869.6694
NLRP3	79.4906	NLRP3	60.3737
removed	removed	NLRP5	62.2904
removed	removed	NLRP6	7.6665
NLRP7	9.261	NLRP7	16.2913
removed	removed	NLRP8	7.6665
NLRP9	6.9458	removed	removed
NLRX1	319.5061	NLRX1	551.0302
NMB	304.8428	NMB	103.0187
NMD3	554.891	NMD3	1073.311
NME1-NME2	111.9352	NME1-NME2	87.6905
NME1	3031.6265	NME1	696.3153
NME2P1	116.5348	NME2P1	51.2698
NME2	10834.4511	NME2	4723.9003
NME3	2069.8437	NME3	558.2175
NME4	3467.4899	NME4	1199.8083
removed	removed	NME5	99.6646
NME6	280.1466	NME6	245.3282
NME7	132.649	NME7	222.6689
NMI	889.8321	NMI	326.3057
NMNAT1	289.4077	NMNAT1	346.4303
NMNAT2	35.5007	NMNAT2	45.5199
NMNAT3	18.5221	NMNAT3	267.8486
NMRAL1	1163.8047	NMRAL1	761.8591
NMT1	1594.4434	NMT1	3010.0623
NMT2	401.312	NMT2	544.322
NMUR1	50.9358	NMUR1	43.1241
NMU	27.0114	removed	removed
NNAT	157.4378	NNAT	25.8745
NNMT	3401.8908	NNMT	1115.4768
NNT	499.3247	NNT	706.277
NOB1	977.8121	NOB1	1389.5544
NOC2L	4991.858	NOC2L	1606.5022
NOC3L	223.8086	NOC3L	439.8658
NOC4L	525.5643	NOC4L	306.1811
NOD1	386.6487	NOD1	425.012
NOD2	622.0336	NOD2	103.0187
removed	removed	NODAL	22.5204
NOG	5.4023	NOG	10.5414
NOL10	790.2759	NOL10	644.9449
NOL11	706.1547	NOL11	963.1049
NOL12	1230.1756	NOL12	271.6818
NOL3	683.0021	NOL3	491.1356
NOL6	766.3515	NOL6	1123.1433
NOL7	880.5711	NOL7	632.966
NOL8	716.9593	NOL8	771.4423
NOL9	152.8073	NOL9	191.1835
NOLC1	1998.8424	NOLC1	2363.6799
NOM1	452.2477	NOM1	459.0321
NOMO1	2840.054	NOMO1	3043.1241
NOMO2	841.9834	NOMO2	507.9061
NOMO3	1592.8999	NOMO3	1308.5769
NONO	7202.7783	NONO	6868.2319
NOP10	2212.6182	NOP10	602.7791
NOP14	616.9477	NOP14	1038.0019
NOP16	987.8449	NOP16	157.6425
NOP2	2244.2601	NOP2	604.6957
NOP56	3181.1692	NOP56	1316.7226
NOP58	1716.3805	NOP58	1073.7901
NOS1AP	11.5763	NOS1AP	266.4111
removed	removed	NOS1	9.104
NOS2	10.8046	removed	removed
NOS3	304.3025	NOS3	185.333
NOSIP	977.8121	NOSIP	638.2367
NOSTRIN	79.4906	NOSTRIN	632.0077
NOTCH1	1730.272	NOTCH1	1680.4025
NOTCH2NL	1418.0745	NOTCH2NL	640.2779
NOTCH2	3215.1264	NOTCH2	6175.8505
NOTCH3	2962.7629	NOTCH3	3623.3828
NOTCH4	387.4204	NOTCH4	591.7585
NOTUM	9.261	removed	removed
NOVA1	27.0114	NOVA1	267.8486
NOVA2	59.425	NOVA2	22.9995
NOV	101.0997	NOV	352.6593
NOX4	132.7417	NOX4	10.5414
removed	removed	NOX5	8.6536
NOXA1	759.4057	NOXA1	165.7882
NOXO1	114.2196	NOXO1	19.1663
NPAS1	7.7175	NPAS1	15.333
NPAS2	1535.7901	NPAS2	1175.3713
NPAS3	231.5261	NPAS3	152.851
NPAS4	6.174	removed	removed
NPAT	245.4177	NPAT	589.3627
removed	removed	NPC1L1	15.333
NPC1	1080.7409	NPC1	1333.5937
NPC2	6745.1283	NPC2	2969.334
NPDC1	1732.5873	NPDC1	1450.8864
NPEPL1	1714.0652	NPEPL1	591.2793
NPEPPS	868.223	NPEPPS	2092.4772
NPFF	12.3481	NPFF	7.6665
NPHP1	24.6961	NPHP1	142.3095
NPHP3	185.9927	NPHP3	719.6933
NPHP4	130.4264	NPHP4	341.6387
NPIPL3	2684.4299	NPIPL3	603.0331
NPIP	901.7094	NPIP	774.667
NPLOC4	2502.0259	NPLOC4	1651.1739
NPL	404.399	NPL	221.8495
NPM1	17356.7432	NPM1	8611.8831
NPM2	50.9358	NPM2	64.6862
NPM3	684.5456	NPM3	252.5156
NPNT	124.2524	NPNT	1512.2185
NPR1	219.9498	NPR1	375.6588
NPR2	163.6118	NPR2	257.7863
NPR3	151.2637	NPR3	24.9161
NPRL2	467.6828	NPRL2	418.208
NPRL3	1535.0183	NPRL3	837.5659
NPTN	1971.0592	NPTN	2160.9966
removed	removed	NPTX1	51.7489
NPTX2	1221.6863	removed	removed
NPTXR	1852.2091	NPTXR	814.0872
NPY1R	21.6091	NPY1R	423.5745
removed	removed	NPY2R	1120.7475
removed	removed	NPY5R	25.8745
NQO1	1097.4339	NQO1	1311.931
NQO2	834.2659	NQO2	393.8668
removed	removed	NR0B1	11.0206
NR1D1	565.0859	NR1D1	1170.2348
NR1D2	419.8341	NR1D2	1592.7168
NR1H2	1506.4634	NR1H2	1206.0374
NR1H3	677.5998	NR1H3	514.6143
NR1I2	19.2938	removed	removed
NR1I3	20.0965	NR1I3	9.4538
NR2C1	335.7129	NR2C1	353.1385
NR2C2AP	899.6952	NR2C2AP	441.3512
NR2C2	795.3077	NR2C2	1484.5328
NR2E1	6.174	removed	removed
