gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
ALKBH7	195.5198	ALKBH7	241.0824
ALKBH8	286.1567	ALKBH8	433.5793
removed	removed	ALK	27.0603
ALMS1P	15.4847	removed	removed
ALMS1	1389.2846	ALMS1	1014.1451
removed	removed	ALOX12P2	34.4403
removed	removed	ALOX12	8.6101
ALOX15B	63.3839	ALOX15B	148.2165
ALOX15	20.6462	ALOX15	25.2153
ALOX5AP	450.7071	ALOX5AP	335.1784
ALOX5	621.4514	ALOX5	955.7196
ALOXE3	15.4847	ALOXE3	17.2202
ALPK1	873.5419	ALPK1	817.9582
ALPK2	41.086	removed	removed
ALPK3	217.6112	ALPK3	253.3825
ALPL	690.4098	ALPL	504.92
ALS2CL	159.3889	ALS2CL	235.5474
ALS2CR11	70.8166	ALS2CR11	12.9151
ALS2CR12	10.3231	removed	removed
ALS2CR4	754.8261	ALS2CR4	1865.9287
ALS2CR8	411.6858	ALS2CR8	397.294
ALS2	917.7248	ALS2	785.9779
removed	removed	ALX1	13.5301
ALX3	20.2333	ALX3	20.9102
ALX4	9.7037	ALX4	23.9852
AMACR	461.6496	AMACR	293.9729
AMBRA1	981.9346	AMBRA1	817.9582
AMD1	1463.9476	AMD1	2182.6568
AMDHD1	21.2656	AMDHD1	10.4551
AMDHD2	125.7355	AMDHD2	78.1058
AMFR	3104.7796	AMFR	3479.7048
AMH	20.0268	removed	removed
AMICA1	516.7751	AMICA1	110.7011
AMIGO1	293.5893	AMIGO1	209.7171
AMIGO2	674.5122	AMIGO2	3675.2645
AMIGO3	46.454	AMIGO3	46.1255
AMMECR1L	853.3086	AMMECR1L	1087.9459
AMMECR1	525.24	AMMECR1	287.8229
AMN1	272.7367	AMN1	212.1771
AMOTL1	1384.3295	AMOTL1	3086.1009
AMOTL2	1331.0622	AMOTL2	3125.4613
AMOT	1681.8416	AMOT	1316.7282
removed	removed	AMPD1	17.8352
AMPD2	646.0204	AMPD2	517.8352
AMPD3	594.1984	AMPD3	293.3579
AMPH	175.9059	AMPH	89.1759
AMT	65.5456	AMT	179.5572
removed	removed	AMY1A	74.4157
AMY2B	310.6411	AMY2B	651.9127
AMZ1	37.7826	removed	removed
AMZ2P1	174.4606	AMZ2P1	215.2522
AMZ2	1033.963	AMZ2	1010.4551
ANAPC10	115.8253	ANAPC10	136.5314
ANAPC11	324.1458	ANAPC11	373.3087
ANAPC13	1232.1648	ANAPC13	1006.7958
ANAPC16	1887.2716	ANAPC16	2565.1907
ANAPC1	791.5763	ANAPC1	956.3346
ANAPC2	475.0697	ANAPC2	434.1943
ANAPC4	505.8326	ANAPC4	739.2374
ANAPC5	2803.7576	ANAPC5	2271.8327
ANAPC7	943.3261	ANAPC7	761.9926
ANGEL1	582.0171	ANGEL1	650.6765
ANGEL2	1192.3196	ANGEL2	905.2891
ANGPT1	249.6129	ANGPT1	392.3739
ANGPT2	484.3605	ANGPT2	456.9496
ANGPT4	5.1616	ANGPT4	12.3001
ANGPTL1	292.1441	ANGPTL1	826.5683
ANGPTL2	2063.7968	ANGPTL2	4894.8339
ANGPTL4	371.2192	ANGPTL4	733.0873
ANGPTL5	5.1616	ANGPTL5	9.2251
