gene_id	TCGA-BH-A203-01A-12R-A169-07	gene_id	TCGA-BH-A203-11A-42R-A169-07
ACTN4	10584.2445	ACTN4	8921.2145
ACTR10	839.577	ACTR10	1192.4514
ACTR1A	3278.3653	ACTR1A	2074.3647
ACTR1B	1477.3257	ACTR1B	989.9103
ACTR2	18451.3354	ACTR2	5692.0777
ACTR3B	170.6399	ACTR3B	197.6831
ACTR3C	50.9052	ACTR3C	23.1689
ACTR3	7993.5472	ACTR3	3326.9806
ACTR5	187.1303	ACTR5	170.0299
ACTR6	717.3329	ACTR6	715.2466
ACTR8	591.1454	ACTR8	584.0807
ACVR1B	2328.0158	ACVR1B	1235.7997
ACVR1C	47.6788	ACVR1C	2459.2676
ACVR1	2115.4329	ACVR1	1203.2885
ACVR2A	343.4307	ACVR2A	824.7384
ACVR2B	463.5239	ACVR2B	757.1001
ACVRL1	400.0717	ACVRL1	618.8341
ACY1	1156.1212	ACY1	455.9043
ACY3	63.0937	ACY3	11.9581
ACYP1	87.4709	ACYP1	78.1016
ACYP2	142.6779	ACYP2	250
ADAL	159.8853	ADAL	240.6577
ADAM10	1572.3248	ADAM10	1820.6278
ADAM11	6.0943	ADAM11	9.3423
ADAM12	2408.3169	ADAM12	483.5575
ADAM15	3941.2081	ADAM15	1955.9043
ADAM17	645.6354	ADAM17	821.3752
ADAM19	891.1991	ADAM19	87.4439
ADAM21	11.4716	ADAM21	5.6054
ADAM22	21.1507	ADAM22	111.7339
ADAM23	12.5471	ADAM23	35.5007
ADAM28	128.6969	ADAM28	125.9342
ADAM32	36.9242	ADAM32	30.6428
ADAM33	16.4904	ADAM33	377.8027
ADAM6	22530.6542	ADAM6	34869.8057
ADAM8	401.1472	ADAM8	39.2377
ADAM9	3002.3302	ADAM9	1935.725
ADAMDEC1	214.7338	ADAMDEC1	5.9791
ADAMTS10	117.2253	ADAMTS10	131.9133
ADAMTS12	228.7148	ADAMTS12	247.3842
ADAMTS13	43.0185	ADAMTS13	39.9851
ADAMTS14	97.15	removed	removed
ADAMTS15	71.3389	ADAMTS15	228.6996
ADAMTS16	77.4332	ADAMTS16	36.2481
ADAMTS17	39.0751	ADAMTS17	24.29
ADAMTS18	25.4526	ADAMTS18	91.1809
ADAMTS1	704.4273	ADAMTS1	3510.0897
ADAMTS2	635.2393	ADAMTS2	475.3363
ADAMTS3	26.1696	ADAMTS3	136.7713
ADAMTS4	924.18	ADAMTS4	131.1659
ADAMTS5	250.2241	ADAMTS5	4453.6622
ADAMTS6	50.1882	ADAMTS6	17.9372
ADAMTS7	212.9414	ADAMTS7	36.2481
removed	removed	ADAMTS8	22.4215
ADAMTS9	276.7521	ADAMTS9	745.5157
ADAMTSL1	65.2447	ADAMTSL1	85.2018
ADAMTSL2	84.603	ADAMTSL2	25.0374
ADAMTSL3	70.2635	ADAMTSL3	170.7773
ADAMTSL4	196.0925	ADAMTSL4	639.0135
ADAMTSL5	43.7354	ADAMTSL5	26.1584
ADAP1	96.2	ADAP1	45.1532
ADAP2	276.7521	ADAP2	147.6084
ADARB1	513.3536	ADARB1	952.5411
removed	removed	ADARB2	5.9791
ADAR	7470.1559	ADAR	6872.571
ADAT1	263.4881	ADAT1	348.6547
ADAT2	336.261	ADAT2	282.8849
ADAT3	19.3583	ADAT3	9.716
ADA	236.2431	ADA	69.8804
ADCK1	124.0366	ADCK1	175.6353
ADCK2	339.1683	ADCK2	517.9372
ADCK4	521.5989	ADCK4	345.6652
ADCK5	56.2825	ADCK5	39.9851
removed	removed	ADCY10	5.6054
ADCY1	114.7159	ADCY1	858.7444
ADCY2	29.0375	ADCY2	59.417
ADCY3	435.4831	ADCY3	1056.8759
ADCY4	76.7163	ADCY4	428.2511
ADCY5	15.7734	ADCY5	626.6816
ADCY6	2034.7733	ADCY6	3544.843
ADCY7	466.7503	ADCY7	387.8924
ADCY9	250.5825	ADCY9	847.9073
removed	removed	ADCYAP1R1	45.9641
ADC	82.4521	ADC	93.0493
ADD1	1852.6618	ADD1	6569.5067
ADD2	18.2828	ADD2	85.9492
ADD3	1244.6675	ADD3	3288.4903
ADH1A	9.6792	ADH1A	254.4357
ADH1B	1371.9305	ADH1B	29826.2182
ADH1C	12.9055	ADH1C	290.3587
removed	removed	ADH4	26.9058
ADH5	1351.4967	ADH5	4603.139
ADHFE1	25.8111	ADHFE1	502.2422
ADI1	542.3911	ADI1	1804.9327
ADIPOQ	1293.0633	ADIPOQ	47166.6667
ADIPOR1	3708.9084	ADIPOR1	2204.7833
ADIPOR2	5216.347	ADIPOR2	3610.9865
ADK	602.9754	ADK	453.2885
ADM2	834.1997	ADM2	47.0852
ADM	175.3002	ADM	646.1136
ADNP2	501.8821	ADNP2	830.3438
ADNP	3639.0034	ADNP	3461.136
ADORA1	45.1694	ADORA1	269.8057
ADORA2A	202.9037	ADORA2A	39.9813
ADORA2B	31.9054	ADORA2B	148.3558
ADORA3	177.4512	ADORA3	113.2287
ADO	1053.9523	ADO	822.87
ADPGK	987.8975	ADPGK	790.3961
ADPRHL1	342.3553	ADPRHL1	100.8969
ADPRHL2	526.6177	ADPRHL2	349.4021
ADPRH	244.4883	ADPRH	480.9417
removed	removed	ADRA1A	43.3483
ADRA1B	7.5282	ADRA1B	18.6846
ADRA2A	187.8473	ADRA2A	1442.4514
ADRA2B	5.7358	ADRA2B	38.864
ADRA2C	26.5281	ADRA2C	44.4694
removed	removed	ADRB1	124.4395
ADRB2	24.7356	ADRB2	326.2332
ADRBK1	2400.4302	ADRBK1	1084.0807
ADRBK2	753.8985	ADRBK2	3726.4574
ADRM1	1242.1581	ADRM1	574.7384
ADSL	1564.0796	ADSL	687.2197
ADSSL1	202.5453	ADSSL1	172.272
ADSS	3331.7799	ADSS	1393.8714
AEBP1	8011.4716	AEBP1	3096.7862
AEBP2	722.3517	AEBP2	1035.1271
AEN	340.9213	AEN	313.5277
AES	6615.881	AES	4762.3318
AFAP1L1	148.7722	AFAP1L1	646.1136
AFAP1L2	173.1493	AFAP1L2	1072.87
AFAP1	823.7964	AFAP1	1312.3991
AFARP1	5.7358	removed	removed
AFF1	1519.2687	AFF1	3754.1106
AFF2	12.5471	AFF2	98.6547
AFF3	1591.3246	AFF3	1170.4036
AFF4	3438.2506	AFF4	4857.2496
AFG3L1	152.7155	AFG3L1	270.5531
AFG3L2	1197.7021	AFG3L2	1173.5426
AFMID	481.0898	AFMID	477.9522
AFP	8.6037	AFP	46.3378
AFTPH	3548.3061	AFTPH	1800.4484
AG2	156.6589	AG2	118.0867
AGAP11	13.981	AGAP11	356.8871
AGAP1	647.0694	AGAP1	504.858
AGAP2	152.927	AGAP2	43.6659
AGAP3	1037.8204	AGAP3	886.3976
AGAP4	185.3379	AGAP4	210.3886
AGAP5	40.3621	AGAP5	101.7638
AGAP6	183.5454	AGAP6	153.9611
AGAP7	28.679	AGAP7	34.3797
AGAP8	18.2828	AGAP8	30.2691
AGA	547.7684	AGA	491.4051
removed	removed	AGBL2	10.8371
AGBL3	9.3207	AGBL3	7.4738
removed	removed	AGBL4	6.3528
AGBL5	655.3217	AGBL5	730.2093
AGER	29.7544	AGER	41.1061
AGFG1	3721.4555	AGFG1	2341.1809
AGFG2	195.734	AGFG2	396.861
AGGF1	855.7089	AGGF1	1111.3602
AGK	616.9564	AGK	616.5919
AGL	614.0885	AGL	1676.3827
AGMAT	139.4515	AGMAT	10.8371
AGPAT1	1641.4375	AGPAT1	1712.7354
AGPAT2	601.183	AGPAT2	2625.9342
AGPAT3	3590.2491	AGPAT3	1865.0972
AGPAT4	121.5272	AGPAT4	344.5441
AGPAT5	761.0683	AGPAT5	646.4873
AGPAT6	1297.7236	AGPAT6	1501.4948
AGPAT9	17.2074	AGPAT9	203.2885
AGPHD1	73.4899	AGPHD1	79.9701
AGPS	564.9758	AGPS	1538.864
AGR2	4450.6184	AGR2	1112.855
AGR3	82.0936	AGR3	248.1315
AGRN	3599.9283	AGRN	2210.3886
AGTPBP1	488.618	AGTPBP1	526.5321
AGTR1	18.9998	AGTR1	405.0822
AGTRAP	789.3888	AGTRAP	378.5501
AGT	52.6976	AGT	177.5037
AGXT2L2	183.6171	AGXT2L2	511.3528
AHCTF1	1916.4725	AHCTF1	1870.7025
AHCYL1	4427.3167	AHCYL1	4913.6771
AHCYL2	356.6947	AHCYL2	739.1629
AHCY	3612.4754	AHCY	1954.4096
AHDC1	691.1633	AHDC1	856.1286
AHI1	297.5444	AHI1	595.2915
AHNAK2	964.3305	AHNAK2	928.6248
AHNAK	15220.2904	AHNAK	135508.9686
AHRR	47.6788	AHRR	14.574
AHR	1174.7625	AHR	4508.5949
AHSA1	3018.1036	AHSA1	1170.0299
AHSA2	419.7885	AHSA2	789.6114
AIDA	1290.3388	AIDA	1660.7474
AIF1L	2251.2995	AIF1L	2319.8804
AIF1	448.4675	AIF1	273.5426
AIFM1	1601.0038	AIFM1	685.725
AIFM2	478.5804	AIFM2	1397.6084
AIFM3	36.5657	removed	removed
AIG1	945.3307	AIG1	1042.2272
AIM1L	10.7546	removed	removed
AIM1	3405.9867	AIM1	5189.4619
AIM2	46.9618	AIM2	10.0897
AIMP1	891.3246	AIMP1	1297.3356
AIMP2	381.4806	AIMP2	224.148
AIP	678.6162	AIP	458.5202
AJAP1	7.1697	AJAP1	30.2691
AK1	775.7663	AK1	409.1928
AK2	1707.116	AK2	2026.9058
AK3L1	362.0721	AK3L1	798.9537
AK3	654.9561	AK3	2850.8969
AK5	41.226	AK5	1654.3348
AK7	8.2452	AK7	40.3587
AKAP10	328.3743	AKAP10	655.0822
AKAP11	1588.4567	AKAP11	3603.8864
AKAP12	431.9771	AKAP12	4906.2033
AKAP13	2340.5628	AKAP13	4877.429
AKAP1	1826.8507	AKAP1	3218.2362
AKAP2	575.1748	AKAP2	2103.3259
AKAP3	21.8677	AKAP3	57.5486
AKAP5	306.865	AKAP5	95.2915
AKAP6	13.6225	AKAP6	409.1928
AKAP7	150.9231	AKAP7	335.2018
AKAP8L	542.3911	AKAP8L	449.9253
AKAP8	382.8643	AKAP8	572.87
AKAP9	1270.4786	AKAP9	4003.3632
AKD1	668.9371	AKD1	232.8102
AKIRIN1	1069.7258	AKIRIN1	1400.2242
AKIRIN2	635.5978	AKIRIN2	851.2706
AKNA	505.4669	AKNA	659.1928
AKR1A1	2137.6591	AKR1A1	1369.2078
AKR1B10	107.5462	removed	removed
AKR1B15	8.6037	AKR1B15	31.7638
AKR1B1	466.3918	AKR1B1	732.4365
AKR1C1	6287.5067	AKR1C1	3879.2975
AKR1C2	3599.2113	AKR1C2	3009.716
AKR1C3	703.3519	AKR1C3	2056.4275
removed	removed	AKR1D1	8.5949
AKR1E2	102.1688	AKR1E2	28.0269
AKR7A2	1037.1034	AKR7A2	754.1106
AKR7A3	170.2814	AKR7A3	56.8012
AKR7L	19.3583	AKR7L	12.3318
AKT1S1	1551.174	AKT1S1	634.5291
AKT1	6261.6956	AKT1	2129.2975
AKT2	2013.981	AKT2	2470.4783
AKT3	378.921	AKT3	1683.8565
AKTIP	698.9245	AKTIP	788.8827
ALAD	1671.6257	ALAD	2321.7489
ALAS1	1042.8392	ALAS1	1021.6741
ALB	5.3773	ALB	1194.3199
ALCAM	4027.6035	ALCAM	3584.0807
ALDH16A1	674.6729	ALDH16A1	224.9626
ALDH18A1	3337.8742	ALDH18A1	1329.5964
ALDH1A1	291.4501	ALDH1A1	2560.9118
ALDH1A2	18.6413	ALDH1A2	384.9028
ALDH1A3	402.2047	ALDH1A3	1940.3288
ALDH1B1	1051.8014	ALDH1B1	521.6741
ALDH1L1	20.7923	ALDH1L1	1082.2123
ALDH1L2	289.2992	ALDH1L2	360.9865
ALDH2	1254.3467	ALDH2	10734.6786
removed	removed	ALDH3A1	44.4694
ALDH3A2	1027.4243	ALDH3A2	3181.6143
ALDH3B1	164.9041	ALDH3B1	178.2511
ALDH3B2	5870.5861	ALDH3B2	894.6188
ALDH4A1	1880.9823	ALDH4A1	1651.719
ALDH5A1	386.8077	ALDH5A1	871.4499
ALDH6A1	379.6953	ALDH6A1	1015.4709
ALDH7A1	3802.1151	ALDH7A1	2207.7728
ALDH8A1	12.9055	ALDH8A1	17.5635
ALDH9A1	12207.9226	ALDH9A1	4262.3318
ALDOA	49861.9824	ALDOA	10797.0852
removed	removed	ALDOB	7.1001
ALDOC	258.1108	ALDOC	1081.4649
ALG10B	455.9957	ALG10B	661.0613
ALG10	315.4687	ALG10	192.0777
ALG11	52.3391	ALG11	11.2108
ALG12	727.3705	ALG12	350.8969
ALG13	514.4291	ALG13	712.2571
ALG14	213.2999	ALG14	207.0254
ALG1L	7.288	removed	removed
ALG1	294.3036	ALG1	291.7339
ALG2	1742.2477	ALG2	926.3827
ALG3	3050.009	ALG3	398.7294
ALG5	600.466	ALG5	553.0643
ALG6	252.0165	ALG6	328.4753
ALG8	1352.9306	ALG8	810.9118
ALG9	686.8614	ALG9	806.8012
ALKBH1	217.2432	ALKBH1	214.4993
ALKBH2	195.3755	ALKBH2	170.4036
ALKBH3	300.4123	ALKBH3	302.6906
ALKBH4	189.7724	ALKBH4	143.6211
ALKBH5	1930.4284	ALKBH5	2265.2728
ALKBH6	93.9236	ALKBH6	49.701
ALKBH7	230.8657	ALKBH7	221.2257
ALKBH8	278.903	ALKBH8	348.6547
ALK	9.3207	ALK	18.3109
removed	removed	ALMS1P	7.1001
ALMS1	862.8787	ALMS1	940.9567
ALOX12P2	45.5279	ALOX12P2	23.9163
removed	removed	ALOX12	5.9791
ALOX15B	59.8674	ALOX15B	533.2586
ALOX15	55.207	ALOX15	155.8296
ALOX5AP	329.0912	ALOX5AP	232.0628
ALOX5	430.9016	ALOX5	325.1121
removed	removed	ALOXE3	11.2108
ALPK1	309.016	ALPK1	933.8565
ALPK2	42.66	ALPK2	11.2108
ALPK3	116.8668	ALPK3	410.6876
ALPL	422.2979	ALPL	1519.0583
ALS2CL	75.6408	ALS2CL	330.7175
ALS2CR11	5.0188	ALS2CR11	18.3109
ALS2CR12	13.264	ALS2CR12	5.9791
ALS2CR4	936.01	ALS2CR4	1727.2048
ALS2CR8	127.9799	ALS2CR8	401.3453
ALS2	676.8238	ALS2	737.6682
removed	removed	ALX1	7.1001
ALX3	6.4528	ALX3	19.8057
removed	removed	ALX4	26.5321
AMACR	384.2983	AMACR	220.4783
AMBP	68.1126	AMBP	5.9791
AMBRA1	526.9762	AMBRA1	754.4843
AMD1	1542.5704	AMD1	2122.1973
AMDHD1	8.6037	AMDHD1	14.574
AMDHD2	105.216	AMDHD2	76.9806
AMFR	2555.2966	AMFR	2722.3468
AMH	31.1884	removed	removed
AMICA1	177.4512	AMICA1	98.6547
AMIGO1	67.7541	AMIGO1	160.3139
AMIGO2	2827.3848	AMIGO2	2807.1749
AMIGO3	143.0364	AMIGO3	37.3692
AMMECR1L	962.8966	AMMECR1L	1059.7907
AMMECR1	445.2411	AMMECR1	260.8371
AMN1	241.6204	AMN1	193.5725
AMOTL1	860.7277	AMOTL1	3335.9492
AMOTL2	544.9005	AMOTL2	4609.1181
AMOT	1281.2332	AMOT	1667.4141
removed	removed	AMPD1	61.6592
AMPD2	475.354	AMPD2	555.3064
AMPD3	286.7897	AMPD3	289.9851
AMPH	19.3583	AMPH	53.8117
AMTN	9.6792	removed	removed
AMT	23.6602	AMT	185.2205
removed	removed	AMY1A	24.6637
AMY2B	43.8645	AMY2B	590.8744
AMZ1	15.4149	AMZ1	9.716
AMZ2P1	188.9227	AMZ2P1	254.4843
AMZ2	1696.0029	AMZ2	1363.2287
ANAPC10	117.2253	ANAPC10	128.9238
ANAPC11	1312.4216	ANAPC11	392.7504
ANAPC13	1205.9258	ANAPC13	1343.5127
ANAPC16	2721.6347	ANAPC16	2834.4544
ANAPC1	829.8978	ANAPC1	992.1525
ANAPC2	380.7134	ANAPC2	418.1614
ANAPC4	185.6964	ANAPC4	732.4365
ANAPC5	2999.4623	ANAPC5	2199.9253
ANAPC7	1318.5159	ANAPC7	734.3049
ANGEL1	376.0531	ANGEL1	727.5785
ANGEL2	794.7661	ANGEL2	1002.9895
ANGPT1	39.0751	ANGPT1	1203.2885
ANGPT2	348.808	ANGPT2	320.2541
removed	removed	ANGPT4	18.3109
ANGPTL1	22.5847	ANGPTL1	494.0209
ANGPTL2	1409.9301	ANGPTL2	5406.2033
ANGPTL4	319.7706	ANGPTL4	1073.2436
removed	removed	ANGPTL5	8.9686
ANGPTL6	5.4167	removed	removed
removed	removed	ANGPTL7	221.9731
ANG	110.3424	ANG	531.0688
ANK1	8.6037	ANK1	8.2212
ANK2	133.3572	ANK2	816.8909
ANK3	1445.4203	ANK3	1741.4051
ANKAR	20.4338	ANKAR	68.7593
ANKDD1A	53.0561	ANKDD1A	287.3692
ANKFY1	1143.9326	ANKFY1	2735.426
ANKHD1-EIF4EBP3	1121.1149	ANKHD1-EIF4EBP3	1089.7945
ANKHD1	1511.5361	ANKHD1	3032.5747
ANKH	1648.3241	ANKH	1854.6338
ANKIB1	1408.8546	ANKIB1	1819.133
removed	removed	ANKK1	42.9746
ANKLE1	8.2452	ANKLE1	7.8475
ANKLE2	1777.021	ANKLE2	1506.3528
ANKMY1	184.9794	ANKMY1	178.2511
ANKMY2	253.4504	ANKMY2	886.3976
ANKRA2	240.9034	ANKRA2	452.9148
ANKRD10	1675.2106	ANKRD10	1716.5135
ANKRD11	1660.7958	ANKRD11	2269.5553
ANKRD12	763.9362	ANKRD12	2338.9387
ANKRD13A	1388.0624	ANKRD13A	1797.4589
ANKRD13B	200.7528	ANKRD13B	91.5546
ANKRD13C	611.2206	ANKRD13C	776.5321
ANKRD13D	738.1251	ANKRD13D	327.728
ANKRD16	129.7724	ANKRD16	122.1487
ANKRD17	4896.5764	ANKRD17	3995.142
ANKRD19	27.962	ANKRD19	36.9955
ANKRD1	5.0188	removed	removed
removed	removed	ANKRD20A3	39.2377
removed	removed	ANKRD20B	11.2108
ANKRD22	618.7489	ANKRD22	42.6009
ANKRD23	55.207	ANKRD23	31.3901
ANKRD24	31.5469	ANKRD24	5.9791
ANKRD26	121.8856	ANKRD26	390.1345
ANKRD27	869.6899	ANKRD27	932.3617
ANKRD28	1431.0808	ANKRD28	1541.8535
ANKRD29	13.6225	ANKRD29	378.9238
ANKRD30A	1209.5358	ANKRD30A	215.6203
ANKRD30B	390.3925	ANKRD30B	22.4215
removed	removed	ANKRD31	5.6054
ANKRD32	219.7526	ANKRD32	187.2197
ANKRD34A	26.5281	ANKRD34A	13.4529
ANKRD35	248.0731	ANKRD35	139.3871
ANKRD36BP1	76.7163	ANKRD36BP1	375.5605
ANKRD36B	16.1319	ANKRD36B	58.6697
ANKRD36	119.0177	ANKRD36	399.8505
ANKRD37	128.765	ANKRD37	145.9006
ANKRD39	142.6779	ANKRD39	76.9806
ANKRD40	1050.7259	ANKRD40	3130.4185
ANKRD42	352.0344	ANKRD42	302.3169
ANKRD43	414.7697	ANKRD43	31.3901
ANKRD44	63.4522	ANKRD44	132.287
removed	removed	ANKRD45	17.5635
ANKRD46	2050.0341	ANKRD46	930.9193
ANKRD49	539.8817	ANKRD49	378.1764
ANKRD50	1675.5691	ANKRD50	1427.5037
ANKRD52	1801.0396	ANKRD52	1199.5516
removed	removed	ANKRD53	85.9492
