gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
LOC441455	6.8143	LOC441455	9.8039
LOC441666	88.2274	LOC441666	95.5882
LOC441869	262.5303	LOC441869	329.2484
LOC442421	19.7256	LOC442421	11.0294
LOC442454	94.683	LOC442454	140.1144
LOC493754	466.6009	LOC493754	599.2647
LOC541471	324.2177	LOC541471	116.8301
LOC550112	138.0794	LOC550112	301.8791
LOC550643	371.9179	LOC550643	338.2353
removed	removed	LOC554202	49.4281
removed	removed	LOC572558	6.9444
LOC595101	112.2568	LOC595101	180.5556
LOC606724	34.0716	LOC606724	9.3954
LOC613037	8.8873	LOC613037	8.9869
removed	removed	LOC619207	16.7484
LOC641298	70.9979	LOC641298	119.0686
LOC641367	5.0211	removed	removed
LOC642587	152.4254	LOC642587	482.8431
LOC642826	28.0785	LOC642826	125.6209
LOC642846	40.8859	LOC642846	76.7974
LOC642852	201.9188	LOC642852	248.366
removed	removed	LOC643008	24.5098
LOC643387	23.6708	LOC643387	14.7059
removed	removed	LOC643763	44.1176
LOC643837	116.2019	LOC643837	130.719
removed	removed	LOC644172	17.1569
LOC644538	64.5566	LOC644538	140.5229
LOC644936	11.4767	LOC644936	14.2974
LOC645166	67.4258	LOC645166	76.3889
LOC645332	120.8643	LOC645332	146.6503
LOC645431	14.7117	LOC645431	40.6904
LOC645676	29.8503	LOC645676	24.1748
LOC646214	161.3916	LOC646214	135.6209
LOC646471	27.6733	LOC646471	65.7598
LOC646762	370.4833	LOC646762	326.7974
LOC646851	30.1264	LOC646851	113.1536
LOC646999	16.1392	LOC646999	32.2712
LOC647121	166.7713	LOC647121	34.3137
LOC647288	9.6835	LOC647288	5.3105
LOC647859	6.097	removed	removed
LOC647946	13.6286	LOC647946	15.5229
LOC647979	10654.7117	LOC647979	10473.8562
removed	removed	LOC648740	9.8448
LOC649330	11.8354	LOC649330	17.1569
LOC650368	27.6159	LOC650368	48.6111
LOC650623	25.464	LOC650623	88.2353
LOC651250	1561.1943	LOC651250	2027.3693
LOC652276	28.6918	LOC652276	48.6111
LOC653113	30.4851	LOC653113	51.4706
LOC653501	218.0579	LOC653501	359.8856
LOC653566	2250.1569	LOC653566	1162.5817
LOC653653	114.4087	LOC653653	94.3627
LOC654342	154.5772	LOC654342	384.8039
LOC654433	76.0334	LOC654433	313.4641
LOC678655	200.8608	LOC678655	300.6944
LOC723972	9.6835	LOC723972	12.2549
LOC727896	21.5189	LOC727896	36.7647
LOC728024	24.3881	LOC728024	37.9902
LOC728190	139.8727	LOC728190	221.8137
LOC728264	91.0966	LOC728264	1511.4379
LOC728323	20.0843	LOC728323	49.8366
LOC728392	80.3371	LOC728392	177.6961
LOC728554	350.0403	LOC728554	312.0915
LOC728606	393.7954	LOC728606	13.0719
LOC728613	120.5057	LOC728613	134.3954
LOC728640	28.6918	LOC728640	37.5817
LOC728643	63.122	LOC728643	76.3889
LOC728723	11.4767	LOC728723	35.5392
LOC728743	103.6492	LOC728743	158.0882
LOC728758	78.1852	LOC728758	62.0915
LOC728819	15.4219	LOC728819	41.6667
LOC728855	106.2172	LOC728855	168.3007
LOC728875	37.9593	LOC728875	18.3824
LOC729020	27.2572	LOC729020	33.0882
LOC729082	520.9648	LOC729082	453.366
LOC729156	6.3552	removed	removed
LOC729176	33.3543	LOC729176	31.8627
LOC729234	73.1642	LOC729234	96.8137
LOC729375	13.9873	LOC729375	59.232
LOC729603	7.8903	LOC729603	24.9183
LOC729678	455.3788	LOC729678	521.0498
LOC729799	17.2151	LOC729799	20.0163
LOC729991-MEF2B	34.961	LOC729991-MEF2B	42.0792
LOC729991	311.1629	LOC729991	137.5694
LOC730101	124.0922	LOC730101	227.9412
LOC80054	29.4091	LOC80054	83.7418
LOC80154	386.2638	LOC80154	469.7712
LOC81691	75.6747	LOC81691	90.2778
removed	removed	LOC84740	5.3309
LOC84856	52.7212	LOC84856	39.2157
removed	removed	LOC84989	9.1217
LOC90110	201.2015	LOC90110	297.3856
LOC90246	5.7384	LOC90246	19.1993
LOC90784	276.1589	LOC90784	382.7614
LOC90834	9.6835	LOC90834	13.8889
LOC91316	62.4334	LOC91316	274.1789
LOC92249	634.4481	LOC92249	732.4346
LOC92659	86.7928	LOC92659	82.5163
LOC92973	76.392	LOC92973	133.1699
removed	removed	LOC93432	83.3333
LOC93622	211.9609	LOC93622	323.1209
LOC96610	16298.2193	LOC96610	6277.2876
LOH12CR1	80.6958	LOH12CR1	101.7157
LOH12CR2	25.1054	LOH12CR2	38.8072
LOH3CR2A	31.9197	LOH3CR2A	31.0458
LONP1	1644.4006	LONP1	1065.3595
LONP2	2689.5006	LONP2	2002.0425
LONRF1	394.8713	LONRF1	605.3922
LONRF2	742.4011	LONRF2	643.7908
LONRF3	12.194	LONRF3	67.402
LOXHD1	9.3248	LOXHD1	9.8039
LOXL1	1489.8054	LOXL1	451.7647
LOXL2	1529.1706	LOXL2	900.29
LOXL3	59.2594	LOXL3	72.1855
LOXL4	99.3455	LOXL4	1213.6438
LOX	1221.5547	LOX	838.6438
removed	removed	LPAL2	10.2124
LPAR1	280.4627	LPAR1	663.3987
LPAR2	372.9938	LPAR2	223.4477
LPAR3	76.7507	LPAR3	42.0752
LPAR4	9.6835	LPAR4	12.2549
LPAR5	129.8305	LPAR5	97.2222
LPAR6	679.2791	LPAR6	1426.4706
LPCAT1	1716.1302	LPCAT1	923.6111
LPCAT2	422.8459	LPCAT2	1088.6438
LPCAT3	1769.9274	LPCAT3	1243.0556
LPCAT4	114.05	LPCAT4	353.7582
LPGAT1	4747.4222	LPGAT1	1751.2255
LPHN1	1421.3109	LPHN1	1226.3072
LPHN2	1236.618	LPHN2	2125
LPHN3	17.5737	LPHN3	409.3137
LPIN1	414.2383	LPIN1	850.8987
LPIN2	1205.7742	LPIN2	1090.2778
LPIN3	235.3448	LPIN3	443.6969
LPL	475.5671	LPL	1163.8072
LPPR1	6.4557	LPPR1	60.866
LPPR2	1023.9397	LPPR2	549.4281
LPPR3	189.7247	LPPR3	55.1471
LPPR4	71.3709	LPPR4	176.4706
LPPR5	8.6075	removed	removed
LPP	675.334	LPP	573.1209
LPXN	299.471	LPXN	279.0033
LQK1	43.3964	LQK1	26.9608
LRAT	38.0167	LRAT	101.3072
LRBA	3618.3986	LRBA	3252.451
LRCH1	557.6975	LRCH1	1157.2712
LRCH2	43.3964	LRCH2	72.3039
LRCH3	329.5974	LRCH3	522.4673
LRCH4	834.215	LRCH4	645.0163
LRDD	140.59	LRDD	122.1405
LRFN1	66.3499	LRFN1	50.6536
LRFN3	294.4499	LRFN3	178.9216
LRFN4	243.1633	LRFN4	146.2418
LRFN5	40.8859	LRFN5	128.268
LRG1	2089.4827	LRG1	145.8333
LRGUK	34.4302	LRGUK	7.7614
LRIG1	2415.3286	LRIG1	5911.3766
LRIG2	188.2901	LRIG2	392.5654
LRIG3	279.7454	LRIG3	1866.8301
removed	removed	LRIT3	13.0719
LRMP	64.198	LRMP	79.6569
LRP10	5503.0933	LRP10	4740.1961
LRP11	770.6339	LRP11	872.1405
LRP12	506.0522	LRP12	437.9085
LRP1B	270.0619	LRP1B	31.4542
LRP1	9047.6105	LRP1	10560.866
LRP2BP	39.0926	LRP2BP	64.951
LRP2	218.0579	LRP2	6054.3301
LRP3	994.8821	LRP3	554.6324
LRP4	388.3906	LRP4	477.4101
LRP5L	18.291	LRP5L	75.9804
LRP5	1404.1065	LRP5	2794.9346
LRP6	931.4086	LRP6	2278.1863
LRP8	33.3543	LRP8	62.0915
LRPAP1	1899.0406	LRPAP1	1674.0196
LRPPRC	4261.813	LRPPRC	4089.8693
LRRC10B	9.3248	LRRC10B	16.7484
LRRC14B	6.4557	removed	removed
LRRC14	549.1545	LRRC14	485.3717
LRRC15	3451.2687	LRRC15	172.3856
LRRC16A	943.6026	LRRC16A	931.781
removed	removed	LRRC16B	15.5229
LRRC17	389.4916	LRRC17	392.1569
removed	removed	LRRC18	7.7614
LRRC1	1154.8462	LRRC1	764.2974
LRRC20	161.0329	LRRC20	158.9052
LRRC23	194.3872	LRRC23	169.1176
LRRC24	13.2054	LRRC24	6.4583
LRRC25	150.6321	LRRC25	65.768
LRRC26	391.6435	LRRC26	44.9346
LRRC27	163.0736	LRRC27	272.8758
LRRC28	129.4719	LRRC28	181.3725
LRRC29	45.1896	LRRC29	44.1176
LRRC2	17.5737	LRRC2	90.2778
LRRC31	143.4592	removed	removed
LRRC32	2004.4831	LRRC32	875
LRRC33	169.2818	LRRC33	175.6536
LRRC34	31.561	LRRC34	46.1601
LRRC36	8.6075	removed	removed
LRRC37A2	75.4559	LRRC37A2	113.8971
LRRC37A3	115.126	LRRC37A3	167.4837
LRRC37A4	301.9815	LRRC37A4	555.2533
LRRC37A	238.1422	LRRC37A	292.8922
LRRC37B2	520.3981	LRRC37B2	533.4967
LRRC37B	97.5522	LRRC37B	215.6863
removed	removed	LRRC3B	32.6797
LRRC3	36.5821	LRRC3	38.8072
LRRC40	350.0403	LRRC40	356.2092
LRRC41	2401.865	LRRC41	1847.6307
LRRC42	672.8235	LRRC42	634.8039
LRRC43	10.4008	LRRC43	9.3954
LRRC45	291.5807	LRRC45	175.2451
LRRC46	144.8938	LRRC46	25.7353
LRRC47	1187.1245	LRRC47	932.598
LRRC48	180.3999	LRRC48	71.8954
LRRC49	98.9868	LRRC49	140.1144
LRRC4B	21.8775	LRRC4B	31.0458
LRRC4C	493.1409	LRRC4C	317.402
LRRC4	79.6198	LRRC4	43.7092
LRRC50	71.7296	LRRC50	11.4379
LRRC55	42.6791	LRRC55	32.2712
LRRC56	224.1549	LRRC56	58.415
LRRC57	385.9051	LRRC57	365.6046
LRRC58	1409.1276	LRRC58	1375.4085
LRRC59	3684.9386	LRRC59	1992.3284
LRRC61	147.4043	LRRC61	160.1307
removed	removed	LRRC66	14.7059
LRRC6	182.5518	LRRC6	51.4706
LRRC70	52.3626	LRRC70	144.5547
LRRC8A	1543.2619	LRRC8A	1740.1961
LRRC8B	413.1624	LRRC8B	979.1667
LRRC8C	452.6136	LRRC8C	724.2647
LRRC8D	627.2752	LRRC8D	1136.8464
LRRC8E	601.0939	LRRC8E	484.0686
LRRCC1	287.277	LRRCC1	355.3922
LRRFIP1	3397.8302	LRRFIP1	3207.9248
LRRFIP2	853.582	LRRFIP2	943.6275
LRRIQ1	46.2656	LRRIQ1	26.9608
LRRIQ3	15.4219	LRRIQ3	9.8039
LRRK1	469.1114	LRRK1	607.0261
LRRK2	447.9512	LRRK2	297.3856
LRRN1	310.5891	LRRN1	1373.366
LRRN2	578.4991	LRRN2	281.0458
LRRN3	78.5439	LRRN3	64.5425
LRRN4CL	29.4091	LRRN4CL	334.1503
LRRTM2	12.9113	LRRTM2	69.0359
LRSAM1	544.0689	LRSAM1	428.5008
LRTOMT	505.4102	LRTOMT	236.9158
LRWD1	391.2849	LRWD1	145.0163
LSAMP	12.194	LSAMP	35.9477
LSG1	763.5614	LSG1	1158.0882
LSM10	372.2765	LSM10	252.0425
LSM11	276.8762	LSM11	285.5392
LSM12	1228.7277	LSM12	864.7876
LSM14A	2880.3013	LSM14A	3272.4673
LSM14B	754.2365	LSM14B	882.3529
LSM1	470.546	LSM1	358.2516
LSM2	677.1272	LSM2	658.4967
LSM3	664.2159	LSM3	692.402
LSM4	1738.3664	LSM4	750.817
LSM5	715.1439	LSM5	379.085
LSM6	142.0246	LSM6	183.415
LSM7	432.1707	LSM7	241.4216
LSMD1	571.6847	LSMD1	233.6601
LSP1	1639.3795	LSP1	1227.1242
LSR	2720.7029	LSR	1128.268
LSS	559.4907	LSS	815.3595
LST1	102.5733	LST1	71.4869
LTA4H	1775.6657	LTA4H	2671.5686
LTA	6.8143	LTA	6.5359
LTB4R2	32.3285	LTB4R2	54.7876
LTB4R	120.0968	LTB4R	204.2198
LTBP1	708.3296	LTBP1	1484.4771
LTBP2	6525.9571	LTBP2	7764.2974
LTBP3	4559.0962	LTBP3	2742.0956
LTBP4	1191.4283	LTBP4	1810.866
LTBR	1599.211	LTBR	1296.9771
LTB	92.8898	LTB	33.4967
LTC4S	59.9408	LTC4S	25.335
LTF	3702.6809	LTF	41954.2484
LTK	5.0211	removed	removed
LTV1	350.7576	LTV1	753.9706
LUC7L2	2077.3066	LUC7L2	2579.2484
LUC7L3	1231.5969	LUC7L3	2521.6503
LUC7L	338.5636	LUC7L	513.8889
LUM	14109.2083	LUM	11726.7157
LUZP1	1188.5591	LUZP1	1698.5294
LUZP2	5.0211	LUZP2	104.5752
LUZP6	5008.8765	LUZP6	3241.8301
LXN	436.4745	LXN	761.8464
removed	removed	LY6D	55.5556
LY6E	2396.1266	LY6E	4839.0523
LY6G5B	11.8354	LY6G5B	32.6797
LY6G5C	33.7129	LY6G5C	26.5523
LY6G6C	63.8393	LY6G6C	42.8922
LY6H	32.2783	removed	removed
LY6K	43.0377	LY6K	113.9706
LY75	1321.3413	LY75	2656.6136
LY86	166.7713	LY86	71.4869
LY96	160.3156	LY96	79.6569
LY9	40.5272	LY9	26.9608
LYAR	114.7673	LYAR	374.183
removed	removed	LYG1	10.6209
LYL1	110.8222	LYL1	41.2582
LYNX1	127.32	LYNX1	426.4706
LYN	621.5368	LYN	1198.1209
LYPD1	68.4372	LYPD1	21.2337
LYPD3	509.28	LYPD3	566.1765
LYPD5	63.122	LYPD5	132.7614
LYPD6B	51.6453	LYPD6B	214.0523
LYPD6	22.2362	LYPD6	432.1895
LYPLA1	2432.7087	LYPLA1	683.8235
LYPLA2P1	85.7168	LYPLA2P1	58.0065
LYPLA2	1188.5591	LYPLA2	663.8072
LYPLAL1	667.0851	LYPLAL1	231.6176
LYRM1	555.1869	LYRM1	508.5784
LYRM2	619.5642	LYRM2	1015.9641
LYRM4	332.4666	LYRM4	362.3366
LYRM5	608.6255	LYRM5	306.781
LYRM7	422.8459	LYRM7	381.1275
LYSMD1	261.813	LYSMD1	250.4085
LYSMD2	184.7037	LYSMD2	205.8824
LYSMD3	749.9328	LYSMD3	580.0654
LYSMD4	108.6596	LYSMD4	208.3497
LYST	1802.5643	LYST	1148.2843
LYVE1	24.7467	LYVE1	1391.3399
LYZ	921.7251	LYZ	490.1961
LZIC	432.5294	LZIC	345.9967
LZTFL1	640.9038	LZTFL1	782.2712
LZTR1	738.2946	LZTR1	701.7974
LZTS1	643.773	LZTS1	1201.3889
removed	removed	LZTS2	1390.9314
M6PR	3041.4561	M6PR	3112.9739
MAB21L1	29.0505	MAB21L1	350.4902
MACC1	493.4995	MACC1	677.6961
MACF1	7353.3578	MACF1	9630.3105
MACROD1	240.6527	MACROD1	142.1569
MACROD2	75.6747	MACROD2	287.1732
MAD1L1	416.7489	MAD1L1	348.4477
MAD2L1BP	365.1036	MAD2L1BP	256.9444
MAD2L1	179.6826	MAD2L1	85.7843
MAD2L2	439.3437	MAD2L2	267.9739
MADD	1909.0828	MADD	1775.3268
MAEA	843.1812	MAEA	964.4608
MAF1	1563.3462	MAF1	1561.683
MAFB	1976.5086	MAFB	1481.6176
MAFF	237.0663	MAFF	1743.4641
MAFG	348.9644	MAFG	632.7614
MAFK	466.3714	MAFK	531.9444
MAF	520.0395	MAF	1283.9052
MAGED1	6929.436	MAGED1	3433.415
MAGED2	38278.4901	MAGED2	6812.9085
MAGED4B	103.5058	MAGED4B	432.4346
MAGED4	37.8015	MAGED4	167.2386
MAGEE1	249.6189	MAGEE1	284.3137
removed	removed	MAGEE2	6.9444
MAGEF1	919.2146	MAGEF1	1034.7222
MAGEH1	719.8063	MAGEH1	492.2386
MAGEL2	29.4091	MAGEL2	34.3137
MAGI1	746.3463	MAGI1	1694.8529
MAGI2	213.3955	MAGI2	281.8627
MAGI3	789.7427	MAGI3	1384.8039
MAGIX	96.4763	MAGIX	31.0458
MAGOHB	295.8845	MAGOHB	138.8889
MAGOH	372.9938	MAGOH	386.8464
MAGT1	3007.6213	MAGT1	2196.4869
MAG	30.4851	MAG	26.1438
MAK16	381.6803	MAK16	636.9444
MAK	131.2651	MAK	14.2974
MAL2	2682.3276	MAL2	2628.6765
MALAT1	1370.5335	MALAT1	4333.1373
MALL	351.4749	MALL	707.5163
MALT1	503.5416	MALT1	576.3889
MAL	11.1181	MAL	11.8464
MAMDC2	94.2311	MAMDC2	1284.5466
MAMDC4	8.6075	MAMDC4	19.1993
MAML1	1591.9914	MAML1	1597.2141
MAML2	291.9394	MAML2	1944.4444
MAML3	351.4749	MAML3	700.1634
MAMLD1	118.3538	MAMLD1	269.1993
MAMSTR	15.4219	MAMSTR	20.0163
MAN1A1	2425.5357	MAN1A1	1337.4183
MAN1A2	3673.6304	MAN1A2	1034.7222
MAN1B1	1895.8128	MAN1B1	1551.0621
MAN1C1	318.1207	MAN1C1	347.2222
MAN2A1	1047.9692	MAN2A1	819.0359
MAN2A2	927.4635	MAN2A2	1378.268
MAN2B1	2421.9493	MAN2B1	1784.7222
MAN2B2	1633.9998	MAN2B2	1411.3562
MAN2C1	707.9709	MAN2C1	752.8595
MANBAL	1087.4204	MANBAL	1147.8758
MANBA	735.5868	MANBA	764.2974
MANEAL	448.6685	MANEAL	307.1895
MANEA	355.7787	MANEA	379.902
MANF	880.8392	MANF	741.8301
MANSC1	1045.1	MANSC1	1361.9281
MAOA	404.1962	MAOA	484.0686
MAOB	1174.2132	MAOB	3656.4542
MAP1A	732.359	MAP1A	1014.7059
MAP1B	1503.8106	MAP1B	2906.4542
MAP1D	37.658	MAP1D	70.2614
MAP1LC3A	450.1031	MAP1LC3A	230.3922
MAP1LC3B2	249.2603	MAP1LC3B2	225.4902
MAP1LC3B	2065.8119	MAP1LC3B	2014.7059
removed	removed	MAP1LC3C	34.7222
MAP1S	1081.6821	MAP1S	530.6373
MAP2K1	962.1447	MAP2K1	734.281
MAP2K2	2067.6051	MAP2K2	1250
MAP2K3	699.722	MAP2K3	1071.0784
MAP2K4	1069.8467	MAP2K4	1200.1634
MAP2K5	351.1163	MAP2K5	429.3301
MAP2K6	89.3033	MAP2K6	224.2647
MAP2K7	844.2572	MAP2K7	743.8725
MAP2	122.6576	MAP2	584.9673
MAP3K10	252.8468	MAP3K10	110.7026
MAP3K11	1510.2663	MAP3K11	1104.5752
MAP3K12	150.2878	MAP3K12	295.3309
MAP3K13	45.6523	MAP3K13	70.4984
MAP3K14	281.18	MAP3K14	573.9379
removed	removed	MAP3K15	8.2925
MAP3K1	3720.9719	MAP3K1	2917.0752
MAP3K2	909.8897	MAP3K2	720.9967
MAP3K3	722.5536	MAP3K3	1053.3088
MAP3K4	596.7901	MAP3K4	1128.268
MAP3K5	355.7787	MAP3K5	619.6895
MAP3K6	534.3854	MAP3K6	702.6144
MAP3K7	586.0307	MAP3K7	897.8758
MAP3K8	54.8731	MAP3K8	586.6013
MAP3K9	81.7717	MAP3K9	154.4118
MAP4K1	77.4679	MAP4K1	31.4542
MAP4K2	546.2207	MAP4K2	263.8889
MAP4K3	718.3717	MAP4K3	823.5294
MAP4K4	2837.9808	MAP4K4	2922.7941
MAP4K5	732.7177	MAP4K5	1397.8758
MAP4	5773.8725	MAP4	6796.5686
MAP6D1	38.734	MAP6D1	77.6144
MAP6	222.7203	MAP6	171.5686
MAP7D1	1630.772	MAP7D1	1328.8399
removed	removed	MAP7D2	49.4281
MAP7D3	111.5395	MAP7D3	295.7516
MAP7	861.1136	MAP7	1051.8791
MAP9	337.8463	MAP9	459.9673
MAPK10	25.464	MAPK10	61.2745
MAPK11	199.7669	MAPK11	202.6144
MAPK12	76.2485	MAPK12	81.7647
MAPK13	1389.0433	MAPK13	787.5817
MAPK14	1523.8949	MAPK14	1503.268
MAPK15	62.0461	MAPK15	7.3529
MAPK1IP1L	1205.7742	MAPK1IP1L	2006.9444
MAPK1	2889.9848	MAPK1	3643.7908
MAPK3	1314.2007	MAPK3	1385.6454
MAPK4	5.3797	MAPK4	103.3497
MAPK6	918.8559	MAPK6	1214.8693
MAPK7	293.7864	MAPK7	305.8824
MAPK8IP1	356.1374	MAPK8IP1	309.232
MAPK8IP2	395.23	MAPK8IP2	93.9542
MAPK8IP3	240.2941	MAPK8IP3	568.6275
MAPK8	214.8301	MAPK8	481.6176
MAPK9	1614.2742	MAPK9	1033.0882
MAPKAP1	1474.0429	MAPKAP1	1633.1699
MAPKAPK2	8989.5095	MAPKAPK2	2285.1307
MAPKAPK3	734.5109	MAPKAPK3	709.1503
MAPKAPK5	417.5486	MAPKAPK5	567.5449
MAPKBP1	487.4025	MAPKBP1	1031.0458
MAPKSP1	704.0258	MAPKSP1	970.9967
MAPRE1	3193.0422	MAPRE1	2514.7059
MAPRE2	698.2875	MAPRE2	849.2647
MAPRE3	410.2932	MAPRE3	360.2941
MAPT	4275.0829	MAPT	1588.6438
MARCH10	12.6531	removed	removed
MARCH11	7.8903	removed	removed
MARCH1	74.2401	MARCH1	49.8366
MARCH2	1018.56	MARCH2	439.951
MARCH3	252.8468	MARCH3	96.8137
MARCH4	6.097	removed	removed
MARCH5	888.7295	MARCH5	1185.866
MARCH6	2847.3057	MARCH6	2376.634
MARCH7	1551.5108	MARCH7	1960.3758
MARCH8	265.7581	MARCH8	527.7778
MARCH9	270.0619	MARCH9	234.4771
MARCKSL1	5857.7961	MARCKSL1	4903.1863
MARCKS	3229.2657	MARCKS	4320.2614
removed	removed	MARCO	68.219
MARK1	90.3793	MARK1	258.1699
MARK2	1852.4164	MARK2	1830.0654
MARK3	686.0934	MARK3	1241.0131
MARK4	813.7721	MARK4	830.0654
MARS2	230.9692	MARS2	282.2712
MARS	1543.9218	MARS	1235.0368
MARVELD1	927.6607	MARVELD1	1230.6577
MARVELD2	926.7462	MARVELD2	495.5065
MARVELD3	597.5038	MARVELD3	296.9444
removed	removed	MAS1L	5.719
removed	removed	MASP1	198.1209
MASP2	5.7384	MASP2	55.9641
MAST1	24.7467	MAST1	17.9739
MAST2	1021.4292	MAST2	986.9281
MAST3	288.3529	MAST3	325.9804
MAST4	1895.0955	MAST4	967.7288
MASTL	301.9815	MASTL	316.585
MAT1A	9.6835	MAT1A	48.2026
MAT2A	3975.6119	MAT2A	5083.3333
MAT2B	1906.2136	MAT2B	1682.1895
MATK	80.6958	MATK	50.6536
MATN2	433.6053	MATN2	5723.8562
MATN3	793.3291	MATN3	71.0784
removed	removed	MATN4	14.2974
MATR3	9056.5767	MATR3	8137.8554
MAVS	2127.858	MAVS	3398.6928
MAX	1192.5043	MAX	1381.9444
MAZ	3574.8803	MAZ	2612.0997
MBD1	820.2277	MBD1	1122.1405
MBD2	1872.8593	MBD2	1302.2876
MBD3	1249.8879	MBD3	880.719
MBD4	619.3849	MBD4	829.2484
MBD5	269.3446	MBD5	511.0294
MBD6	1292.2084	MBD6	1336.6013
MBIP	157.8051	MBIP	456.6993
MBLAC1	53.0799	MBLAC1	15.9314
MBLAC2	254.64	MBLAC2	384.8039
MBNL1	2618.7501	MBNL1	3299.71
MBNL2	1559.0424	MBNL2	2541.6667
MBNL3	29.7678	MBNL3	71.4869
MBOAT1	868.6452	MBOAT1	674.8366
MBOAT2	936.7883	MBOAT2	408.9052
MBOAT7	2617.0537	MBOAT7	929.7386
MBP	977.3155	MBP	996.3235
MBTD1	461.2212	MBTD1	1003.6765
MBTPS1	5479.4226	MBTPS1	4482.8431
MBTPS2	1111.8157	MBTPS2	658.4967
MB	282.9732	MB	174.4281
MC1R	79.9785	MC1R	56.781
MCAM	2232.5832	MCAM	3385.2124
MCART1	280.4627	MCART1	157.6797
removed	removed	MCART2	10.6209
MCART6	11.4767	MCART6	17.5654
MCAT	289.7875	MCAT	270.8333
MCCC1	347.8885	MCCC1	639.7059
MCCC2	3476.3741	MCCC2	2070.6699
MCC	385.5465	MCC	1551.8791
MCEE	185.421	MCEE	205.0654
removed	removed	MCF2L2	16.0907
MCF2L	746.3463	MCF2L	913.4069
MCFD2	2664.0366	MCFD2	3494.3668
removed	removed	MCHR1	10.6454
MCL1	11819.6001	MCL1	9815.768
MCM10	45.9069	MCM10	27.7778
MCM2	715.8612	MCM2	619.6895
MCM3APAS	15.4972	MCM3APAS	50.6985
MCM3AP	1799.9785	MCM3AP	2408.4518
MCM3	1835.9186	MCM3	1895.0163
MCM4	1304.7611	MCM4	1151.9608
MCM5	602.8871	MCM5	693.219
MCM6	1206.8502	MCM6	845.5882
MCM7	1531.5377	MCM7	1781.4542
MCM8	214.1128	MCM8	247.549
MCM9	80.6958	MCM9	101.7157
MCOLN1	430.3775	MCOLN1	277.3693
MCOLN2	38.734	MCOLN2	26.1438
MCOLN3	21.5189	MCOLN3	103.3497
MCPH1	446.4341	MCPH1	613.5335
MCRS1	851.4301	MCRS1	668.3007
MCTP1	247.467	MCTP1	222.2222
MCTP2	58.8183	MCTP2	325.5719
MCTS1	980.1847	MCTS1	745.098
MDC1	866.1347	MDC1	1169.5261
MDFIC	927.4635	MDFIC	696.8954
MDFI	222.7203	MDFI	375.4085
MDGA1	97.1936	MDGA1	63.7255
MDH1B	75.6747	MDH1B	30.6373
MDH1	2761.2302	MDH1	1900.7353
MDH2	4848.5609	MDH2	2899.9183
MDK	2315.4308	MDK	2432.1895
MDM1	237.0663	MDM1	330.8824
MDM2	1764.189	MDM2	1924.4281
MDM4	636.6	MDM4	847.6307
MDN1	774.6795	MDN1	2526.1438
MDP1	161.5852	MDP1	174.0319
ME1	71.7296	ME1	90.6863
ME2	777.5486	ME2	542.0752
ME3	355.7787	ME3	284.7222
MEA1	1344.1442	MEA1	900.6658
MEAF6	2511.9699	MEAF6	1229.9837
MECOM	320.6312	MECOM	437.0915
MECP2	1673.4511	MECP2	1986.5196
MECR	398.0992	MECR	352.5327
MED10	414.2383	MED10	300.6536
MED11	254.2814	MED11	215.6863
MED12L	32.9956	MED12L	26.5523
MED12	1621.4471	MED12	1699.7549
MED13L	4283.3318	MED13L	4612.3366
MED13	2610.2394	MED13	2183.415
MED14	1587.3505	MED14	1377.0425
MED15	1108.5807	MED15	1261.0294
MED16	1446.0683	MED16	806.3725
MED17	648.794	MED17	977.5327
MED18	224.5136	MED18	288.3987
MED19	292.298	MED19	198.5294
MED1	1874.2939	MED1	2159.7222
MED20	602.8871	MED20	524.5098
MED21	647.3595	MED21	490.1961
MED22	728.4139	MED22	809.232
MED23	219.4925	MED23	977.1242
MED24	1402.3133	MED24	1375
MED25	1361.8865	MED25	460.7721
MED26	257.5092	MED26	265.9314
MED27	248.1843	MED27	254.902
MED28	468.3942	MED28	574.3464
MED29	1774.9484	MED29	1589.4608
MED30	124.8095	MED30	160.5392
MED31	136.3579	MED31	114.7141
MED4	569.1742	MED4	939.5425
MED6	263.2476	MED6	390.5229
MED7	283.6905	MED7	180.9641
MED8	712.2747	MED8	538.3987
MED9	377.6562	MED9	419.5261
MEF2A	1512.4289	MEF2A	1838.219
MEF2B	15.6442	MEF2B	13.0719
MEF2C	701.1566	MEF2C	881.5359
MEF2D	2038.9133	MEF2D	1859.0686
removed	removed	MEFV	6.9444
MEG3	15.0632	MEG3	142.1569
MEGF10	50.5694	MEGF10	76.7974
MEGF6	539.0478	MEGF6	523.6928
MEGF8	1485.8782	MEGF8	1600.0817
MEGF9	2246.2118	MEGF9	1937.5
MEI1	40.5272	MEI1	30.2288
MEIS1	117.2779	MEIS1	413.3987
MEIS2	155.2945	MEIS2	813.317
MEIS3P1	717.6544	MEIS3P1	806.781
MEIS3	295.8845	MEIS3	276.5523
MELK	128.7546	MELK	47.3856
MEMO1	380.8841	MEMO1	238.8562
MEN1	931.0499	MEN1	706.2908
MEOX1	88.9447	MEOX1	292.4837
MEOX2	77.1093	MEOX2	277.3693
MEPCE	1711.1091	MEPCE	1564.134
MERTK	176.4548	MERTK	524.9183
MESDC1	565.5877	MESDC1	334.1503
