gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
ADAM10	2600.6364	ADAM10	1018.0132
ADAM11	5.5688	ADAM11	19.975
ADAM12	4421.6388	ADAM12	365.9711
ADAM15	2793.2538	ADAM15	3433.7364
ADAM17	723.1504	ADAM17	382.3792
ADAM19	363.564	ADAM19	99.1618
ADAM21	9.5465	removed	removed
ADAM22	47.7327	ADAM22	7.1339
ADAM23	10.3421	removed	removed
ADAM28	27.8441	removed	removed
ADAM32	8.751	ADAM32	14.2679
ADAM33	108.9897	ADAM33	903.1211
ADAM6	5118.9737	ADAM6	727.0555
ADAM8	62.0525	ADAM8	27.8224
ADAM9	1642.8003	ADAM9	1266.2743
ADAMDEC1	7.9554	removed	removed
ADAMTS10	93.0788	ADAMTS10	127.6975
ADAMTS12	624.5028	ADAMTS12	544.3196
ADAMTS13	22.2753	ADAMTS13	29.2492
ADAMTS14	216.3882	removed	removed
ADAMTS15	429.5943	ADAMTS15	140.5386
ADAMTS16	613.3652	ADAMTS16	24.2554
ADAMTS17	128.8783	ADAMTS17	17.8348
ADAMTS18	118.5362	ADAMTS18	54.9313
ADAMTS19	19.0931	removed	removed
ADAMTS1	1459.825	ADAMTS1	5140.0036
ADAMTS2	1031.8218	ADAMTS2	923.8452
ADAMTS3	41.3683	ADAMTS3	31.3893
ADAMTS4	797.9316	ADAMTS4	171.2146
ADAMTS5	425.6165	ADAMTS5	2441.2342
ADAMTS6	135.2426	ADAMTS6	31.3893
ADAMTS7	99.4431	ADAMTS7	116.9966
ADAMTS8	7.1599	removed	removed
ADAMTS9	315.8313	ADAMTS9	687.7118
ADAMTSL1	49.3238	ADAMTSL1	246.1209
ADAMTSL2	211.615	ADAMTSL2	59.9251
ADAMTSL3	191.7263	ADAMTSL3	214.7316
ADAMTSL4	186.9531	ADAMTSL4	3399.3223
ADAMTSL5	101.0342	ADAMTSL5	9.9875
ADAP1	142.0048	ADAP1	47.6619
ADAP2	139.2204	ADAP2	87.0341
ADARB1	533.0151	ADARB1	786.1602
ADAR	8116.9451	ADAR	3846.6203
ADAT1	222.7526	ADAT1	165.5074
ADAT2	54.0971	ADAT2	99.8752
ADAT3	19.0931	ADAT3	13.5545
ADA	81.9411	ADA	289.638
ADCK1	155.9268	ADCK1	103.4421
ADCK2	287.1917	ADCK2	657.7492
ADCK4	504.3755	ADCK4	421.6158
ADCK5	70.008	ADCK5	132.6913
ADCY1	225.9348	ADCY1	116.2832
ADCY2	188.5442	ADCY2	151.2395
ADCY3	472.8719	ADCY3	1594.9634
ADCY4	167.0644	ADCY4	925.9854
ADCY5	117.7407	ADCY5	860.3531
ADCY6	2361.973	ADCY6	3561.2627
ADCY7	401.7502	ADCY7	186.9092
ADCY9	788.385	ADCY9	549.3134
removed	removed	ADCYAP1R1	58.4983
ADCYAP1	15.9109	ADCYAP1	30.6759
ADC	172.6333	ADC	49.9376
ADD1	4404.9324	ADD1	7750.3121
ADD2	19.8886	ADD2	27.109
ADD3	1600.6364	ADD3	3285.1792
ADH1A	294.3516	ADH1A	3184.3981
ADH1B	16850.4375	ADH1B	243391.4321
ADH1C	50.1193	ADH1C	776.1726
removed	removed	ADH4	19.2616
ADH5	2400.1591	ADH5	7086.1423
removed	removed	ADH6	7.1339
ADH7	8.751	removed	removed
ADHFE1	169.4511	ADHFE1	1242.7323
ADI1	868.7351	ADI1	2932.7626
ADIPOQ	9929.992	ADIPOQ	107141.0737
ADIPOR1	2596.6587	ADIPOR1	2289.9946
ADIPOR2	5856.0064	ADIPOR2	5788.4787
ADK	408.9101	ADK	310.3264
ADM2	199.6818	removed	removed
ADM	221.957	ADM	714.8208
ADNP2	1065.2347	ADNP2	629.2135
ADNP	4422.4344	ADNP	2032.4594
ADORA1	341.2888	ADORA1	786.1602
ADORA2A	37.3429	ADORA2A	59.8894
ADORA2B	8.751	removed	removed
ADORA3	187.7486	ADORA3	94.8814
ADO	661.0979	ADO	460.8525
ADPGK	887.5895	ADPGK	799.5078
ADPRHL1	109.7852	ADPRHL1	71.3394
ADPRHL2	581.5434	ADPRHL2	490.8151
ADPRH	207.6372	ADPRH	336.0086
ADRA1A	15.9109	ADRA1A	126.9841
ADRA1B	20.6842	ADRA1B	87.0341
ADRA2A	1413.6834	ADRA2A	2014.6246
ADRA2B	13.5243	ADRA2B	151.9529
ADRA2C	17.502	ADRA2C	167.6476
ADRB1	6.3644	ADRB1	123.4172
ADRB2	107.3986	ADRB2	1229.1778
ADRBK1	690.533	ADRBK1	1396.112
ADRBK2	1079.5545	ADRBK2	3892.2775
ADRM1	730.3103	ADRM1	1764.9367
ADSL	702.4662	ADSL	844.6585
ADSSL1	159.109	ADSSL1	670.5903
ADSS	2354.813	ADSS	756.911
AEBP1	15875.0994	AEBP1	5622.9713
AEBP2	786.794	AEBP2	624.9331
AEN	312.6492	AEN	157.6601
AES	4239.459	AES	4266.8093
AFAP1L1	482.1002	AFAP1L1	3309.4346
AFAP1L2	244.2323	AFAP1L2	342.4291
AFAP1	989.642	AFAP1	935.9658
AFARP1	6.3644	removed	removed
AFF1	3397.7725	AFF1	4399.5006
AFF2	31.0263	AFF2	92.0278
AFF3	3004.7733	AFF3	62.0653
AFF4	5478.1225	AFF4	2003.9237
AFG3L1	128.0827	AFG3L1	169.0744
AFG3L2	1521.9491	AFG3L2	1876.9181
AFMID	1160.7001	AFMID	193.3298
AFTPH	2931.5831	AFTPH	928.1256
AG2	287.9873	AG2	1177.1001
AGAP11	73.9857	AGAP11	432.3167
AGAP1	629.2761	AGAP1	258.2486
AGAP2	46.0939	AGAP2	85.0437
AGAP3	587.1122	AGAP3	1460.3175
AGAP4	131.2649	AGAP4	169.7878
AGAP5	54.7335	AGAP5	25.6822
AGAP6	69.2124	AGAP6	67.7724
AGAP7	6.3644	AGAP7	7.8473
AGAP8	18.2975	AGAP8	27.8224
AGA	618.1384	AGA	287.4978
AGBL2	31.0263	removed	removed
removed	removed	AGBL3	5.7072
AGBL4	20.6842	AGBL4	14.9813
AGBL5	429.642	AGBL5	620.6884
AGER	6.3644	AGER	36.3831
AGFG1	2525.8552	AGFG1	1899.0548
AGFG2	148.7669	AGFG2	395.9337
AGGF1	1284.0095	AGGF1	677.0109
AGK	342.8799	AGK	383.806
AGL	1718.3771	AGL	962.3685
AGMAT	23.0708	removed	removed
AGPAT1	1022.7049	AGPAT1	1656.4223
AGPAT2	1573.5879	AGPAT2	21610.8436
AGPAT3	1949.0851	AGPAT3	2053.8612
AGPAT4	127.2872	AGPAT4	149.0993
AGPAT5	289.5784	AGPAT5	266.8093
AGPAT6	1077.1679	AGPAT6	1622.2579
AGPAT9	243.4368	AGPAT9	3943.6419
AGPHD1	82.7367	AGPHD1	75.6198
AGPS	573.5879	AGPS	1237.7385
AGR2	4523.4686	removed	removed
AGR3	600.6364	removed	removed
AGRN	2698.4885	AGRN	890.3157
AGTPBP1	396.9769	AGTPBP1	611.3786
AGTR1	1176.611	AGTR1	2182.2722
AGTRAP	551.3126	AGTRAP	468.6998
AGT	63.6436	AGT	607.0983
AGXT2L2	337.7088	AGXT2L2	868.657
removed	removed	AGXT	7.8473
AHCTF1	1533.8107	AHCTF1	1602.2829
AHCYL1	5847.2554	AHCYL1	4206.8843
AHCYL2	363.564	AHCYL2	413.7685
AHCY	1911.6945	AHCY	2384.1627
AHDC1	821.0024	AHDC1	362.4041
AHI1	322.1957	AHI1	248.2611
AHNAK2	845.6643	AHNAK2	966.6488
AHNAK	43681.782	AHNAK	50689.4953
AHRR	24.6619	AHRR	25.6822
AHR	2250.5967	AHR	1254.86
AHSA1	1306.2848	AHSA1	1331.1932
AHSA2	467.7804	AHSA2	647.0483
AIDA	1166.3405	AIDA	2172.4915
AIF1L	484.4869	AIF1L	2791.5106
AIF1	191.7263	AIF1	263.2424
AIFM1	1103.4208	AIFM1	1427.5013
AIFM2	408.1146	AIFM2	3008.3824
AIFM3	10.3421	AIFM3	6.4205
AIG1	287.9873	AIG1	769.0387
AIM1L	5.5688	removed	removed
AIM1	627.685	AIM1	1206.3492
AIM2	8.751	AIM2	5.7072
AIMP1	1196.4996	AIMP1	1412.0421
AIMP2	408.3294	AIMP2	287.1339
AIP	541.7661	AIP	1383.2709
AJAP1	20.6842	removed	removed
AK1	389.817	AK1	739.0762
AK2	2846.4598	AK2	3854.4534
AK3L1	477.327	AK3L1	1145.7107
AK3	1250.5967	AK3	3455.6804
AK5	86.7144	AK5	11.4143
AK7	24.6619	AK7	7.1339
AKAP10	407.319	AKAP10	492.9552
AKAP11	2675.4177	AKAP11	1889.0672
AKAP12	2023.8663	AKAP12	11008.3824
AKAP13	2722.3548	AKAP13	2179.4186
AKAP1	1480.5091	AKAP1	2818.6196
AKAP2	765.4733	AKAP2	1467.4157
AKAP3	5.5688	AKAP3	12.8411
AKAP5	1358.7908	AKAP5	10.7009
AKAP6	73.1901	AKAP6	86.3207
AKAP7	130.4694	AKAP7	477.974
AKAP8L	980.9069	AKAP8L	730.5154
AKAP8	680.1909	AKAP8	594.2572
AKAP9	4721.5593	AKAP9	1828.4287
AKD1	137.6293	AKD1	116.9966
AKIRIN1	1135.2426	AKIRIN1	908.1505
AKIRIN2	337.3111	AKIRIN2	831.104
AKNA	408.9101	AKNA	1023.007
AKR1A1	2182.9753	AKR1A1	1797.0394
AKR1B15	7.9554	removed	removed
AKR1B1	384.2482	AKR1B1	858.9263
AKR1C1	332.5378	AKR1C1	2621.7228
AKR1C2	420.0477	AKR1C2	2958.4448
AKR1C3	424.821	AKR1C3	2101.6586
AKR1E2	28.6396	AKR1E2	56.3581
AKR7A2	869.5306	AKR7A2	1010.8793
AKR7A3	626.0939	removed	removed
AKR7L	60.4614	AKR7L	9.9875
AKT1S1	782.8162	AKT1S1	1383.2709
AKT1	3645.187	AKT1	4159.8002
AKT2	3025.4574	AKT2	4789.7271
AKT3	719.1726	AKT3	966.6488
AKTIP	563.8823	AKTIP	566.7059
ALAD	2141.607	ALAD	1967.5406
ALAS1	1003.9777	ALAS1	808.2754
removed	removed	ALAS2	10.7009
ALCAM	21019.8886	ALCAM	201.1771
ALDH16A1	284.8051	ALDH16A1	672.0171
ALDH18A1	2721.5593	ALDH18A1	530.7651
ALDH1A1	338.1066	ALDH1A1	2021.0451
ALDH1A2	70.008	ALDH1A2	241.1272
removed	removed	ALDH1A3	297.8777
ALDH1B1	1085.9189	ALDH1B1	1064.3838
ALDH1L1	802.7049	ALDH1L1	18530.4084
ALDH1L2	1074.7812	ALDH1L2	153.3797
ALDH2	6957.8361	ALDH2	48261.1022
removed	removed	ALDH3A1	6.4205
ALDH3A2	2281.6229	ALDH3A2	3030.4976
ALDH3B1	49.3238	ALDH3B1	149.0993
ALDH3B2	1330.9467	removed	removed
ALDH4A1	572.7924	ALDH4A1	1449.6166
ALDH5A1	190.9308	ALDH5A1	503.6561
ALDH6A1	1053.9777	ALDH6A1	3624.3553
ALDH7A1	1715.9905	ALDH7A1	2125.2006
ALDH8A1	8.751	ALDH8A1	11.4143
ALDH9A1	3201.2729	ALDH9A1	5956.1263
ALDOA	26214.0016	ALDOA	20201.1771
ALDOC	242.6412	ALDOC	2611.7353
ALG10B	494.829	ALG10B	263.2424
ALG10	176.611	ALG10	60.6385
ALG11	20.6842	ALG11	7.1339
ALG12	463.8027	ALG12	525.058
ALG13	522.673	ALG13	359.5506
ALG14	244.2323	ALG14	254.6816
ALG1	651.4002	ALG1	251.7425
ALG2	1111.3763	ALG2	508.6499
ALG3	451.8695	ALG3	453.0052
ALG5	702.4662	ALG5	601.3911
ALG6	501.1933	ALG6	181.9155
ALG8	854.4153	ALG8	619.9394
ALG9	586.3166	ALG9	756.1976
ALKBH1	552.1082	ALKBH1	176.2083
ALKBH2	232.2991	ALKBH2	224.7191
ALKBH3	515.5131	ALKBH3	256.1084
ALKBH4	119.8807	ALKBH4	239.6861
ALKBH5	1371.5195	ALKBH5	2118.0667
ALKBH6	43.755	ALKBH6	74.9064
ALKBH7	277.6452	ALKBH7	1047.9757
ALKBH8	316.6269	ALKBH8	164.0806
removed	removed	ALK	24.2554
ALMS1P	7.9554	removed	removed
ALMS1	1369.9284	ALMS1	618.5126
ALOX15B	38.1862	removed	removed
ALOX5AP	319.8091	ALOX5AP	142.6788
ALOX5	129.6738	ALOX5	76.3332
ALPK1	490.0557	ALPK1	319.6005
ALPK2	50.1193	ALPK2	24.2554
ALPK3	610.9785	ALPK3	6499.0191
ALPL	224.3437	ALPL	330.3014
ALS2CL	55.6881	ALS2CL	395.9337
ALS2CR11	7.9554	ALS2CR11	7.8473
removed	removed	ALS2CR12	12.8411
ALS2CR4	561.6547	ALS2CR4	578.5625
ALS2CR8	213.206	ALS2CR8	101.3019
ALS2	757.3588	ALS2	500.0892
removed	removed	ALX1	65.6322
ALX3	14.3198	ALX3	29.9625
AMACR	474.9403	AMACR	296.0585
AMBP	9.5465	removed	removed
AMBRA1	1406.5235	AMBRA1	898.163
AMD1	710.4216	AMD1	1067.6654
AMDHD1	8.751	AMDHD1	19.2616
AMDHD2	170.2466	AMDHD2	246.8343
