gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
KIAA1731	633.2538	KIAA1731	276.0835
KIAA1737	1868.7351	KIAA1737	1329.7664
removed	removed	KIAA1751	18.5482
KIAA1755	94.6698	KIAA1755	32.8161
KIAA1797	952.2673	KIAA1797	455.8587
KIAA1804	27.0485	KIAA1804	12.8411
KIAA1826	254.5744	KIAA1826	267.5227
KIAA1841	280.0318	KIAA1841	199.0369
KIAA1908	103.4208	KIAA1908	89.8876
KIAA1919	81.1456	KIAA1919	31.3893
KIAA1949	890.2148	KIAA1949	1197.0751
KIAA1958	116.1496	KIAA1958	46.3706
KIAA1967	1440.7319	KIAA1967	1834.8493
KIAA2013	915.6722	KIAA2013	1140.717
KIAA2018	1279.2363	KIAA2018	825.3968
KIAA2022	37.3906	KIAA2022	49.9376
KIAA2026	1160.7001	KIAA2026	573.5688
KIDINS220	2554.4948	KIDINS220	2426.2529
KIF11	125.6961	KIF11	23.542
KIF12	343.6754	removed	removed
KIF13A	1816.2291	KIF13A	1522.3827
KIF13B	5751.79	KIF13B	969.5024
KIF14	11.1376	removed	removed
KIF15	18.2975	removed	removed
KIF16B	858.393	KIF16B	574.2821
KIF17	15.9109	KIF17	149.8127
KIF18A	64.4391	removed	removed
KIF18B	13.5243	removed	removed
KIF19	12.7287	KIF19	238.2736
KIF1A	11.1376	KIF1A	45.6572
KIF1B	1256.1655	KIF1B	1857.6779
KIF1C	1650.7558	KIF1C	4956.6613
KIF20A	38.1862	removed	removed
KIF20B	219.5704	KIF20B	87.7475
KIF21A	407.319	KIF21A	316.7469
KIF21B	54.8926	KIF21B	39.2367
KIF22	1198.0907	KIF22	578.5625
KIF23	398.568	KIF23	9.2741
KIF24	209.2283	KIF24	9.9875
removed	removed	KIF25	67.059
KIF26A	57.2792	KIF26A	500.0892
KIF26B	440.7319	removed	removed
KIF27	202.0684	KIF27	64.2055
KIF2A	514.7176	KIF2A	900.3032
KIF2C	70.8035	KIF2C	8.5607
KIF3A	775.6563	KIF3A	211.1646
KIF3B	2508.3532	KIF3B	1169.2527
KIF3C	260.9387	KIF3C	178.3485
KIF4A	26.253	removed	removed
KIF5B	7005.5688	KIF5B	3265.9176
KIF5C	3762.9276	KIF5C	33.5295
KIF6	7.1599	removed	removed
KIF7	68.3532	KIF7	151.0826
KIF9	168.393	KIF9	56.5935
KIFAP3	1309.467	KIFAP3	703.4065
KIFC1	42.9594	KIFC1	9.2741
KIFC2	188.2737	KIFC2	170.6795
KIFC3	255.3699	KIFC3	741.9297
KILLIN	32.6173	KILLIN	83.4671
KIN	297.5338	KIN	179.7753
KIRREL	392.9992	KIRREL	806.1352
KITLG	3015.1154	KITLG	917.4246
KIT	279.2363	KIT	251.1147
KLB	264.9165	KLB	1720.7063
KLC1	1313.8107	KLC1	1914.6067
KLC2	225.9348	KLC2	378.8122
KLC3	23.8663	removed	removed
KLC4	553.755	KLC4	681.4625
KLF10	1270.4853	KLF10	1378.9905
KLF11	450.2784	KLF11	1222.7573
KLF12	621.3206	KLF12	204.7441
KLF13	1400.9547	KLF13	4918.138
KLF14	5.5688	KLF14	42.8036
KLF15	197.2951	KLF15	3642.5896
KLF16	205.2506	KLF16	160.5136
KLF2	648.3691	KLF2	3370.0731
KLF3	1936.3564	KLF3	3188.0507
KLF4	1257.7566	KLF4	5227.0376
KLF5	89.8966	KLF5	166.2208
KLF6	4093.8743	KLF6	8900.3032
KLF7	124.105	KLF7	79.1867
KLF8	414.4789	KLF8	663.4564
KLF9	2093.0788	KLF9	7713.2156
KLHDC10	638.8226	KLHDC10	980.2033
KLHDC1	100.2387	KLHDC1	148.3859
KLHDC2	1357.9952	KLHDC2	1498.1273
KLHDC3	1121.7184	KLHDC3	2148.0292
KLHDC4	178.2021	KLHDC4	385.033
KLHDC5	1144.7892	KLHDC5	374.5318
KLHDC7A	836.9133	removed	removed
KLHDC7B	5.5688	KLHDC7B	7.1339
KLHDC8A	15.1154	removed	removed
KLHDC8B	490.0557	KLHDC8B	1994.6495
KLHDC9	107.3986	KLHDC9	22.1152
removed	removed	KLHL10	24.9688
KLHL11	128.0827	KLHL11	41.3769
KLHL12	981.7025	KLHL12	737.6494
KLHL13	44.5505	KLHL13	77.7599
KLHL14	7.1599	KLHL14	7.8473
KLHL15	408.1146	KLHL15	381.6658
KLHL17	38.1862	KLHL17	57.0715
KLHL18	579.1567	KLHL18	259.6754
KLHL20	498.0111	KLHL20	672.0171
KLHL21	770.8831	KLHL21	3787.4086
KLHL22	336.5155	KLHL22	867.4871
KLHL23	152.3787	KLHL23	99.1618
KLHL24	1531.424	KLHL24	2633.1371
KLHL25	209.2283	KLHL25	460.8525
KLHL26	210.0239	KLHL26	331.0148
KLHL28	982.498	KLHL28	356.697
KLHL29	95.4654	KLHL29	334.5818
KLHL2	608.5919	KLHL2	395.2203
removed	removed	KLHL30	27.8224
KLHL31	141.5752	KLHL31	844.58
removed	removed	KLHL32	16.4081
removed	removed	KLHL33	17.8348
KLHL35	51.7104	removed	removed
KLHL36	135.2426	KLHL36	471.5534
KLHL38	29.4352	removed	removed
KLHL3	85.9189	KLHL3	228.2861
KLHL4	11.9332	KLHL4	12.1277
KLHL5	1635.6404	KLHL5	809.7022
KLHL6	76.3723	KLHL6	27.109
KLHL7	610.183	KLHL7	614.9456
KLHL8	600.6364	KLHL8	617.7992
KLHL9	1858.393	KLHL9	1017.2998
KLK10	143.9936	removed	removed
KLK11	532.2196	removed	removed
KLK13	21.4797	removed	removed
KLK14	11.9332	removed	removed
KLK4	117.7407	removed	removed
KLK5	15.9109	removed	removed
KLK7	7.9554	removed	removed
KLKP1	23.8663	removed	removed
KLRA1	49.3238	KLRA1	26.3956
KLRAQ1	571.2013	KLRAQ1	515.0704
KLRB1	8.751	KLRB1	12.8411
KLRD1	5.5688	KLRD1	12.8411
removed	removed	KLRF1	10.7009
KLRG1	19.8886	KLRG1	55.6447
KLRG2	5.5688	removed	removed
KLRK1	21.4797	KLRK1	43.517
KL	64.4391	KL	269.6629
KMO	200.2546	KMO	7.1125
KNDC1	99.4431	removed	removed
KNTC1	313.1822	KNTC1	135.5449
KPNA1	2042.1639	KPNA1	1368.2896
KPNA2	1051.7104	KPNA2	289.638
KPNA3	1392.9992	KPNA3	1169.2527
KPNA4	2291.965	KPNA4	2089.5309
KPNA5	73.9857	KPNA5	134.8315
KPNA6	2298.3294	KPNA6	1575.8873
KPNB1	5785.2029	KPNB1	6862.85
KPTN	119.3317	KPTN	112.7162
KRAS	2390.6126	KRAS	551.4535
KRBA1	58.8703	KRBA1	88.4609
KRBA2	70.008	KRBA2	79.9001
KRCC1	838.5044	KRCC1	1567.3266
KREMEN1	450.2784	KREMEN1	719.8145
KREMEN2	39.7772	removed	removed
KRI1	538.5601	KRI1	583.8345
KRIT1	564.0414	KRIT1	803.995
KRR1	1032.1798	KRR1	584.2055
KRT10	717.5815	KRT10	390.9399
KRT13	5.5688	removed	removed
KRT14	550.5171	KRT14	316.7469
KRT15	14040.5728	KRT15	99.1618
KRT16	159.9045	KRT16	542.1794
KRT17	458.2339	KRT17	191.1896
KRT18	17145.1392	KRT18	125.5573
KRT19	14778.043	KRT19	114.143
KRT1	14.3198	KRT1	35.6697
KRT222	327.7645	KRT222	72.7662
KRT23	1495.6245	KRT23	14.2679
KRT32	7.9554	removed	removed
KRT37	6.2291	removed	removed
KRT5	812.2514	KRT5	228.9995
KRT6A	36.5951	removed	removed
KRT6B	62.0525	KRT6B	16.4081
KRT79	8.751	KRT79	126.2707
KRT7	9921.2411	KRT7	64.2055
KRT80	156.7224	removed	removed
KRT86	7.9554	removed	removed
KRT8	19574.0334	KRT8	714.1074
KRTAP5-2	5.6006	removed	removed
KRTCAP2	720.7637	KRTCAP2	2172.2846
KRTCAP3	129.6738	removed	removed
KSR1	204.4551	KSR1	524.3446
KSR2	38.1862	removed	removed
KTELC1	388.2259	KTELC1	219.7253
KTI12	176.611	KTI12	159.0869
KTN1	9073.9857	KTN1	5706.4384
KYNU	21.4797	KYNU	27.109
removed	removed	L1CAM	146.9592
L1TD1	35.004	removed	removed
L2HGDH	338.9021	L2HGDH	470.1266
L3MBTL2	850.0557	L3MBTL2	595.7553
L3MBTL3	210.0239	L3MBTL3	226.8593
L3MBTL4	19.0931	L3MBTL4	150.5261
L3MBTL	66.0302	L3MBTL	64.9189
LACE1	25.4574	LACE1	63.4921
LACTB2	319.0135	LACTB2	529.3383
LACTB	365.1551	LACTB	254.6816
LAD1	11.9332	LAD1	5.7072
LAG3	6.3644	LAG3	11.4143
LAGE3	131.2649	LAGE3	184.0556
LAIR1	268.0986	LAIR1	633.4938
LAMA1	51.7104	removed	removed
LAMA2	3062.8242	LAMA2	8288.1327
LAMA3	551.3126	LAMA3	644.9082
LAMA4	3213.206	LAMA4	6295.7018
LAMA5	1556.8815	LAMA5	1621.5445
LAMB1	6794.7494	LAMB1	11528.4466
LAMB2L	9.5465	LAMB2L	24.9688
LAMB2	6978.5203	LAMB2	6986.9806
LAMB3	321.4002	LAMB3	333.8684
LAMC1	7820.2068	LAMC1	18553.9504
LAMC2	400.9547	LAMC2	222.5789
LAMC3	11.9332	removed	removed
LAMP1	6142.4025	LAMP1	5782.0581
LAMP2	3769.292	LAMP2	2580.346
LAMP3	10.3421	LAMP3	7.1339
LANCL1	2311.0581	LANCL1	2058.1416
LANCL2	314.2403	LANCL2	481.5409
LANCL3	8.751	removed	removed
LAP3	2530.6285	LAP3	2264.3125
LAPTM4A	9856.0064	LAPTM4A	9953.2727
LAPTM4B	811.4558	LAPTM4B	594.2572
LAPTM5	1649.1647	LAPTM5	1129.3027
LARGE	1789.9761	LARGE	378.0988
LARP1B	525.8552	LARP1B	410.9149
LARP1	4606.2053	LARP1	5130.7294
LARP4B	1346.0621	LARP4B	1208.4894
LARP4	2107.3986	LARP4	1358.3021
LARP6	236.2768	LARP6	2117.3533
LARP7	1102.6253	LARP7	912.4309
LARS2	498.0111	LARS2	259.6754
LARS	2791.5672	LARS	2053.8612
LAS1L	875.0994	LAS1L	699.8395
LASP1	13351.6309	LASP1	5857.6779
LASS1	5.5688	removed	removed
LASS2	7669.0533	LASS2	2986.9806
LASS4	1706.4439	LASS4	439.4507
LASS5	1053.3015	LASS5	648.4751
LASS6	7844.4789	LASS6	2304.8689
LAT2	106.603	LAT2	56.3581
LATS1	509.9443	LATS1	329.588
LATS2	774.8608	LATS2	1112.8946
LAT	42.148	LAT	109.7985
LAX1	15.1154	LAX1	13.5545
LAYN	102.6253	LAYN	79.1867
LBH	870.3262	LBH	638.4876
LBP	29.4352	removed	removed
LBR	783.6118	LBR	1471.7318
LCA5L	92.2832	LCA5L	15.6947
LCA5	236.2768	LCA5	179.0619
LCAT	31.0263	LCAT	147.0234
LCK	32.6173	LCK	50.651
LCLAT1	470.1671	LCLAT1	99.8752
LCMT1	891.0103	LCMT1	433.7435
LCMT2	547.3349	LCMT2	248.2611
LCN10	12.7287	LCN10	99.8752
removed	removed	LCN6	32.1027
LCORL	164.9483	LCORL	124.5871
LCOR	359.5625	LCOR	47.3266
LCP1	965.7916	LCP1	784.7334
LCP2	171.0422	LCP2	141.9654
LDB1	1482.1002	LDB1	597.1108
LDB2	425.6165	LDB2	1564.473
LDB3	33.4129	LDB3	181.9155
LDHA	24380.2705	LDHA	11128.2326
LDHB	3017.502	LDHB	28858.2129
LDHD	220.366	LDHD	3469.9483
LDLRAD2	189.3874	LDLRAD2	738.7694
LDLRAD3	3234.6858	LDLRAD3	965.9354
LDLRAP1	937.1519	LDLRAP1	458.7123
LDLR	762.1321	LDLR	540.0392
LDOC1L	1271.2808	LDOC1L	893.1693
LDOC1	328.5601	LDOC1	596.3974
LEF1	417.6611	LEF1	17.8348
LEFTY2	48.5282	LEFTY2	8.5607
LEKR1	36.5951	LEKR1	9.2741
LEMD2	655.529	LEMD2	845.3719
LEMD3	860.7796	LEMD3	720.5279
LENG1	120.9228	LENG1	333.155
LENG8	1100.9467	LENG8	1816.8575
LENG9	99.5306	LENG9	144.2625
LEO1	1003.1822	LEO1	333.8684
LEPRE1	1049.3238	LEPRE1	616.3724
LEPREL1	77.9634	LEPREL1	185.4824
LEPREL2	655.529	LEPREL2	206.8843
LEPROTL1	964.996	LEPROTL1	700.5529
LEPROT	1074.7096	LEPROT	1296.722
LEPR	296.8099	LEPR	1008.9674
LEP	252.9833	LEP	1950.4191
LETM1	894.9881	LETM1	2022.4719
LETM2	18.2975	LETM2	14.2679
LETMD1	858.393	LETMD1	2762.9749
LFNG	426.4121	LFNG	785.4468
LGALS12	486.078	LGALS12	7914.3927
LGALS1	3172.6333	LGALS1	20374.5318
LGALS3BP	4432.7765	LGALS3BP	6078.83
LGALS3	4001.5911	LGALS3	13543.7846
removed	removed	LGALS4	7.1339
LGALS8	1959.0931	LGALS8	699.1047
removed	removed	LGALS9C	7.1339
LGALS9	332.5378	LGALS9	261.8156
LGI2	75.5768	LGI2	49.2242
LGI4	87.5099	LGI4	902.4434
LGMN	1514.7176	LGMN	2663.8131
LGR4	381.066	LGR4	1251.293
LGR5	7.1599	LGR5	6.4205
removed	removed	LGR6	14.2679
LGTN	715.9905	LGTN	1774.2108
removed	removed	LHCGR	9.2741
LHFPL2	888.6237	LHFPL2	559.3009
LHFPL5	12.7287	removed	removed
LHFP	1099.4431	LHFP	3235.9551
LHPP	247.4145	LHPP	313.18
LHX4	5.6484	removed	removed
LHX6	104.2164	LHX6	287.4978
removed	removed	LHX8	12.1277
LIAS	168.6555	LIAS	548.6
LIFR	1096.2609	LIFR	5632.2454
LIF	104.2164	LIF	118.4234
LIG1	366.7462	LIG1	121.9904
LIG3	608.5919	LIG3	279.6504
LIG4	412.0923	LIG4	275.3701
LILRA2	32.6173	LILRA2	27.109
removed	removed	LILRA5	7.8473
LILRA6	22.5696	LILRA6	30.6545
LILRB1	24.6619	LILRB1	11.4143
LILRB2	26.253	LILRB2	42.0902
LILRB3	14.821	LILRB3	39.9715
LILRB4	55.6881	LILRB4	28.5358
LILRB5	12.7287	LILRB5	234.7066
LIMA1	6295.1472	LIMA1	4634.9206
LIMCH1	3989.6579	LIMCH1	4722.6681
LIMD1	1032.0207	LIMD1	606.8843
LIMD2	94.471	LIMD2	81.9547
LIME1	10.9547	LIME1	538.6339
LIMK1	690.533	LIMK1	204.0307
LIMK2	2869.5306	LIMK2	543.6062
LIMS1	407.319	LIMS1	608.5251
LIMS2	375.4972	LIMS2	2194.3999
LIMS3-LOC440895	5.5927	LIMS3-LOC440895	19.7824
LIMS3	9.5227	LIMS3	8.04
LIN37	98.4089	LIN37	208.0185
LIN52	223.5481	LIN52	249.6879
LIN54	410.5012	LIN54	255.395
LIN7A	233.0947	LIN7A	120.5636
LIN7B	5.5688	LIN7B	43.517
LIN7C	1272.8719	LIN7C	679.1511
LIN9	111.3763	LIN9	91.3144
LINGO1	55.6881	LINGO1	51.3644
LINGO4	15.1154	removed	removed
LINS1	329.3556	LINS1	156.9467
LIPA	2086.7144	LIPA	2830.7473
removed	removed	LIPC	6.4205
LIPE	1904.5346	LIPE	37046.5632
LIPG	43.755	removed	removed
LIPH	463.0072	removed	removed
LIPT1	120.1273	LIPT1	134.7744
LIPT2	17.502	LIPT2	22.8286
LITAF	6167.0644	LITAF	2759.4079
LIX1L	531.424	LIX1L	1951.1325
LLGL1	337.3111	LLGL1	430.1766
LLGL2	788.385	LLGL2	132.6913
LLPH	696.4041	LLPH	521.491
LMAN1	5923.6277	LMAN1	2682.3613
LMAN2L	960.2228	LMAN2L	582.8429
LMAN2	2105.8075	LMAN2	2205.1008
LMBR1L	262.5298	LMBR1L	495.8088
LMBR1	778.043	LMBR1	659.8894
LMBRD1	857.5975	LMBRD1	2255.0383
LMBRD2	444.7096	LMBRD2	97.0216
LMCD1	1511.5354	LMCD1	3420.0107
LMF1	245.0278	LMF1	263.2424
LMF2	661.0979	LMF2	1741.3947
LMLN	439.1408	LMLN	112.0029
LMNA	4634.0493	LMNA	6952.7376
LMNB1	204.4551	LMNB1	36.3831
LMNB2	544.1527	LMNB2	485.8213
LMO2	186.9531	LMO2	629.2135
LMO3	3204.4551	LMO3	2626.7166
LMO4	1144.7892	LMO4	1326.9128
LMO7	1548.1305	LMO7	39.9501
LMOD1	739.8568	LMOD1	2226.5026
removed	removed	LMOD3	9.2741
LMTK2	198.8862	LMTK2	184.0556
LMTK3	224.3437	removed	removed
LMX1A	5.5688	LMX1A	32.1027
LMX1B	1610.9785	LMX1B	9.2741
LNP1	32.6969	LNP1	87.0697
LNPEP	533.6436	LNPEP	301.1735
LNX1	429.5943	LNX1	447.298
LNX2	1826.5712	LNX2	266.096
LOC100009676	63.0628	LOC100009676	128.7462
LOC100101266	5.5688	removed	removed
removed	removed	LOC100101938	11.4143
LOC100125556	32.0366	LOC100125556	21.1236
LOC100126784	5.1233	LOC100126784	6.4205
LOC100128191	16.9212	LOC100128191	22.0653
LOC100128239	7.9554	removed	removed
LOC100128288	24.6619	LOC100128288	23.542
LOC100128292	12.7287	LOC100128292	15.6947
LOC100128640	22.2753	LOC100128640	63.4921
LOC100128788	35.7995	removed	removed
LOC100128822	83.5322	LOC100128822	251.1147
LOC100128842	25.4574	LOC100128842	9.2741
LOC100129034	2005.4097	LOC100129034	728.8889
LOC100129387	94.0811	LOC100129387	89.6308
LOC100129534	68.4169	LOC100129534	14.2679
LOC100129550	191.7263	LOC100129550	209.7378
LOC100129637	73.9857	LOC100129637	135.7446
LOC100129716	19.8886	LOC100129716	6.4205
LOC100130015	17.2076	LOC100130015	136.4865
LOC100130093	35.7518	LOC100130093	53.2263
LOC100130148	22.2753	removed	removed
LOC100130331	5.5688	removed	removed
LOC100130522	31.0263	removed	removed
LOC100130557	31.5274	LOC100130557	14.4605
LOC100130581	58.0748	LOC100130581	84.1805
LOC100130691	7.6531	LOC100130691	26.046
LOC100130776	100.2864	LOC100130776	119.7004
LOC100130872	27.0485	LOC100130872	38.5233
LOC100130932	38.9817	LOC100130932	31.3893
LOC100130987	5.5688	LOC100130987	8.5607
LOC100131193	119.3317	LOC100131193	17.1215
LOC100131434	27.0565	LOC100131434	31.7817
LOC100131691	28.9101	LOC100131691	38.1452
LOC100132111	5.5688	removed	removed
LOC100132215	8.7749	LOC100132215	19.2616
LOC100132247	128.8783	LOC100132247	81.3269
LOC100132287	161.4956	LOC100132287	288.9246
LOC100132288	34.2084	LOC100132288	129.8377
LOC100132707	52.1321	LOC100132707	104.7619
LOC100133161	27.7088	LOC100133161	18.5482
LOC100133331	82.3548	LOC100133331	112.7162
removed	removed	LOC100133545	10.7009
removed	removed	LOC100133920	14.2679
LOC100133957	5.0199	LOC100133957	11.7353
removed	removed	LOC100133985	34.9563
LOC100133991	12.8401	removed	removed
LOC100134229	51.7104	LOC100134229	155.5199
LOC100134259	5.5688	LOC100134259	18.5482
LOC100134713	7.9634	LOC100134713	5.0009
LOC100134868	5.5688	removed	removed
removed	removed	LOC100144603	8.5607
LOC100144604	16.7064	removed	removed
LOC100170939	122.2275	LOC100170939	26.3956
LOC100188947	7.9554	removed	removed
LOC100190938	84.3278	LOC100190938	1018.0132
LOC100190939	82.7367	LOC100190939	164.794
LOC100190986	291.1695	LOC100190986	47.084
LOC100192378	37.3906	LOC100192378	91.3144
LOC100216545	28.6396	LOC100216545	69.9126
LOC100240735	8.751	LOC100240735	21.4018
LOC100270710	224.9165	LOC100270710	109.8199
LOC100270746	41.3683	LOC100270746	41.3769
LOC100270804	25.4574	LOC100270804	28.5358
LOC100271722	53.3015	LOC100271722	54.2179
removed	removed	LOC100271831	24.4123
LOC100271836	518.2418	LOC100271836	252.3631
LOC100272146	46.9372	LOC100272146	10.7009
LOC100272217	45.3461	LOC100272217	24.2554
LOC100272228	26.253	LOC100272228	22.1152
LOC100286793	163.8823	LOC100286793	149.0993
LOC100286844	23.2776	LOC100286844	15.6305
removed	removed	LOC100287227	6.4205
LOC100288778	166.6428	LOC100288778	489.5809
LOC100289341	34.2084	LOC100289341	56.3581
LOC100302401	19.3317	LOC100302401	22.529
LOC100302640	5.5688	removed	removed
LOC100302650	19.0931	LOC100302650	109.1493
LOC100303728	27.0485	LOC100303728	17.8348
LOC113230	182.1798	LOC113230	22.1152
LOC115110	33.1901	LOC115110	50.8436
LOC134466	23.8663	LOC134466	63.4921
LOC143188	14.3198	LOC143188	14.2679
LOC143666	26.253	removed	removed
LOC144438	959.4272	LOC144438	698.4127
LOC144486	14.3198	LOC144486	7.1339
LOC144571	36.7542	LOC144571	107.2802
LOC145783	19.6181	LOC145783	58.3271
LOC145820	5.5688	LOC145820	16.4081
LOC145837	25.4574	removed	removed
LOC146880	268.2896	LOC146880	200.3139
LOC147727	249.8011	LOC147727	542.8928
LOC147804	169.4511	LOC147804	138.3984
LOC148189	77.6691	LOC148189	64.2055
LOC148413	396.4916	LOC148413	297.0644
LOC148696	10.3023	removed	removed
LOC148709	5.5688	removed	removed
LOC149134	10.3421	removed	removed
LOC149837	48.5282	LOC149837	66.3456
LOC150381	51.7104	LOC150381	164.0806
LOC150622	5.5688	removed	removed
LOC150776	151.1535	LOC150776	290.3513
LOC150786	45.3461	LOC150786	42.0902
LOC151009	33.4129	LOC151009	21.4018
LOC151162	2191.7263	LOC151162	736.936
removed	removed	LOC151174	15.6947
LOC151534	87.5099	LOC151534	168.361
LOC152217	187.7486	LOC152217	241.8406
LOC152225	6.3644	removed	removed
LOC153684	28.6396	LOC153684	42.5682
LOC154761	21.2729	LOC154761	30.8186
LOC154822	5.6722	removed	removed
LOC158376	32.6173	LOC158376	235.42
LOC158572	39.7772	LOC158572	23.542
removed	removed	LOC158696	7.1339
LOC162632	388.6874	LOC162632	540.5814
LOC168474	12.7287	removed	removed
LOC200030	552.1082	LOC200030	557.1607
LOC202181	31.0263	LOC202181	16.4081
LOC202781	97.0565	LOC202781	214.7316
LOC219347	110.8353	LOC219347	22.1152
LOC220594	19.2124	LOC220594	45.6572
LOC220729	115.354	LOC220729	100.5886
LOC220930	90.3341	LOC220930	114.7066
LOC221442	29.4352	LOC221442	24.9688
LOC221710	435.9586	LOC221710	307.4728
LOC222699	52.506	LOC222699	51.3644
LOC253039	593.4765	LOC253039	260.3888
LOC253724	27.0485	LOC253724	14.2679
LOC254559	55.6881	removed	removed
LOC255167	8.751	removed	removed
removed	removed	LOC257358	7.1339
LOC25845	129.467	LOC25845	198.8871
LOC282997	27.8441	LOC282997	27.109
LOC283050	10.3421	LOC283050	14.9813
LOC283070	140.0159	LOC283070	221.8655
LOC283174	36.5951	LOC283174	23.542
LOC283267	182.1798	LOC283267	321.0273
LOC283314	47.2315	LOC283314	32.331
LOC283392	123.2776	LOC283392	2290.6367
LOC283663	20.6842	LOC283663	16.4081
removed	removed	LOC283731	21.4018
LOC283867	54.8926	removed	removed
LOC283922	44.5505	LOC283922	44.9438
LOC284023	58.0748	LOC284023	47.084
LOC284232	19.8886	LOC284232	29.9625
LOC284233	15.9109	LOC284233	89.8876
LOC284440	76.3723	LOC284440	116.2832
LOC284441	162.2912	LOC284441	62.0653
removed	removed	LOC284578	13.5545
LOC284837	7.9554	LOC284837	7.1339
LOC284900	155.8473	LOC284900	108.5786
LOC285033	49.7136	LOC285033	32.7162
LOC285074	232.2991	LOC285074	561.4411
LOC285359	60.4614	LOC285359	34.9563
removed	removed	LOC285419	6.4205
LOC285548	6.3644	removed	removed
LOC285593	12.7287	LOC285593	7.8473
LOC285830	16.8417	LOC285830	59.7182
LOC286367	87.5099	LOC286367	540.0392
LOC286467	5.5688	removed	removed
LOC338651	11.9014	removed	removed
LOC338758	23.8663	LOC338758	47.7974
LOC338799	235.4813	LOC338799	116.9966
LOC339047	484.4869	LOC339047	855.3594
LOC339290	561.6547	LOC339290	901.0166
LOC339524	170.2466	LOC339524	816.1227
LOC339535	7.1599	LOC339535	11.4143
LOC341056	13.5243	LOC341056	8.5607
LOC344595	303.1026	LOC344595	87.0341
LOC348926	55.6881	LOC348926	42.0902
LOC349114	120.9228	LOC349114	59.2117
LOC374443	313.4447	LOC374443	102.7287
LOC375190	46.9372	LOC375190	128.4109
LOC387646	40.5728	LOC387646	12.1277
LOC387647	325.187	LOC387647	703.4849
LOC388152	187.7486	LOC388152	76.3332
LOC388242	8.751	LOC388242	10.7009
LOC388588	19.8886	LOC388588	12.1277
LOC388692	399.3636	LOC388692	183.3423
LOC388789	411.2967	LOC388789	822.5432
LOC388796	127.2872	LOC388796	200.4637
LOC388955	216.3882	LOC388955	345.9961
LOC389333	46.1416	LOC389333	30.6759
removed	removed	LOC389458	5.3861
LOC389493	35.004	removed	removed
LOC389705	12.7287	LOC389705	7.1339
LOC390595	5.5688	LOC390595	9.2741
LOC391322	7.9554	LOC391322	12.8411
LOC399744	79.5545	LOC399744	156.9467
LOC399959	234.6858	LOC399959	277.5103
LOC400027	343.6754	LOC400027	246.1209
LOC400043	242.6412	LOC400043	186.1958
LOC400657	200.4773	LOC400657	186.1958
LOC400752	19.8886	LOC400752	18.5482
removed	removed	LOC400759	8.5607
LOC400927	17.3906	LOC400927	16.6506
LOC400931	19.0931	LOC400931	69.1992
LOC401010	38.1862	LOC401010	37.8099
LOC401052	149.5625	LOC401052	906.7237
LOC401093	114.2482	LOC401093	273.0444
LOC401127	5.5688	LOC401127	7.8473
LOC401397	451.074	LOC401397	485.1079
LOC401431	27.0485	LOC401431	135.8373
LOC401463	5.5688	removed	removed
LOC401588	53.3015	LOC401588	35.6697
LOC402377	26.253	LOC402377	6.4205
LOC407835	62.0525	LOC407835	69.1992
removed	removed	LOC415056	6.4205
LOC440354	210.0318	LOC440354	128.7747
removed	removed	LOC440461	9.2741
LOC440905	16.7064	LOC440905	9.9875
LOC440925	19.8886	LOC440925	23.542
LOC440944	221.1615	LOC440944	86.3207
LOC440957	109.7852	LOC440957	267.5227
LOC441046	22.2753	LOC441046	12.8411
LOC441089	93.8743	LOC441089	72.0528
LOC441204	39.7772	LOC441204	97.735
LOC441208	27.8441	LOC441208	64.2055
LOC441294	97.852	LOC441294	17.8348
LOC441455	7.1599	removed	removed
LOC441666	45.3461	LOC441666	27.109
LOC441869	123.3095	LOC441869	388.7997
LOC442421	36.5951	removed	removed
LOC442454	60.4614	LOC442454	248.2611
LOC493754	472.5537	LOC493754	1103.6205
LOC541471	185.362	LOC541471	67.059
LOC550112	357.9952	LOC550112	149.0993
LOC550643	414.4789	LOC550643	248.2611
LOC55908	27.0485	LOC55908	415.9087
removed	removed	LOC572558	33.5295
LOC595101	124.8926	LOC595101	110.5761
LOC606724	6.3644	LOC606724	16.4081
LOC613037	63.6436	LOC613037	34.2429
LOC619207	17.502	LOC619207	10.7009
LOC641298	253.1026	LOC641298	56.0728
LOC641367	11.1376	removed	removed
LOC642587	31.8218	removed	removed
LOC642826	92.0605	LOC642826	67.3515
LOC642846	37.3906	LOC642846	134.1181
LOC642852	251.3922	LOC642852	128.4109
removed	removed	LOC643008	7.1339
LOC643387	27.8441	LOC643387	24.9688
LOC643677	5.5688	removed	removed
LOC643763	6.3644	LOC643763	30.6759
LOC643837	276.0541	LOC643837	378.8122
removed	removed	LOC644172	7.1339
LOC644538	105.0119	LOC644538	304.6192
LOC644936	20.6842	LOC644936	15.6947
LOC645166	84.3278	LOC645166	104.8689
LOC645332	56.4837	LOC645332	57.7849
LOC645431	17.7088	LOC645431	11.2288
LOC645676	28.7589	LOC645676	10.7437
LOC646214	431.9809	LOC646214	154.0931
LOC646471	91.2967	LOC646471	21.7371
LOC646762	288.7828	LOC646762	256.8218
LOC646851	139.2204	LOC646851	5.7072
removed	removed	LOC646982	27.109
LOC646999	13.5243	LOC646999	14.9813
LOC647121	24.6619	LOC647121	11.4143
LOC647288	10.3421	removed	removed
