gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
IRX3	1413.0778	IRX3	2331.4332
removed	removed	IRX4	113.5993
IRX5	1036.0306	IRX5	1150.6515
IRX6	31.5419	IRX6	21.987
ISCA1P1	94.6257	ISCA1P1	51.3029
ISCA1	1118.5248	ISCA1	680.3746
ISCA2	200.4125	ISCA2	268.7296
ISCU	1472.2795	ISCU	1521.1726
ISG15	936.5522	ISG15	434.4463
ISG20L2	1153.9488	ISG20L2	710.9121
ISG20	757.0059	ISG20	370.5212
ISLR2	19.4104	ISLR2	31.3518
ISLR	2095.3536	ISLR	3104.2345
ISM1	197.9862	ISM1	1671.0098
ISOC1	3165.8377	ISOC1	717.0195
ISOC2	635.6909	ISOC2	418.5668
ISPD	11.161	ISPD	61.0749
ISY1	695.8632	ISY1	729.2182
ISYNA1	1465.4859	ISYNA1	1167.3453
ITCH	1536.3339	ITCH	1394.544
ITFG1	586.6796	ITFG1	1047.6384
ITFG2	481.8634	ITFG2	572.0684
ITFG3	1611.9471	ITFG3	1768.1393
ITGA10	29.6009	ITGA10	388.8436
ITGA11	1114.6427	ITGA11	911.645
ITGA1	694.9363	ITGA1	1003.4161
ITGA2B	43.6734	removed	removed
ITGA2	571.6365	ITGA2	1527.6873
ITGA3	1638.7238	ITGA3	3453.1759
ITGA4	425.1462	ITGA4	356.6409
ITGA5	1244.6925	ITGA5	3304.5603
ITGA6	1223.341	ITGA6	6021.5798
ITGA7	337.2559	ITGA7	967.4267
ITGA8	17.4694	ITGA8	109.9349
ITGA9	199.442	ITGA9	445.4397
ITGAD	16.4988	ITGAD	8.9577
ITGAE	372.6798	ITGAE	290.7166
ITGAL	1026.3254	ITGAL	451.1401
ITGAM	263.4963	ITGAM	349.7557
ITGAV	2670.8723	ITGAV	2961.7264
ITGAX	511.4643	ITGAX	172.6384
ITGB1BP1	995.2687	ITGB1BP1	675.4886
ITGB1BP2	8.2494	removed	removed
ITGB1	9835.2542	ITGB1	13721.0912
ITGB2	2734.9266	ITGB2	1871.4984
ITGB3BP	517.7727	ITGB3BP	229.2345
ITGB3	74.2448	ITGB3	210.5049
ITGB4	903.0693	ITGB4	8552.9316
ITGB5	3440.9802	ITGB5	3121.7427
ITGB6	1328.6425	ITGB6	2369.2997
ITGB7	244.0859	ITGB7	175.0814
ITGB8	145.0928	ITGB8	1543.1596
ITGBL1	620.6478	ITGBL1	438.5179
removed	removed	ITIH2	325.7329
ITIH3	10.6757	ITIH3	13.4365
ITIH4	23.7778	ITIH4	56.6002
ITIH5L	41.7324	ITIH5L	122.1498
ITIH5	321.2423	ITIH5	1928.3388
ITK	337.2559	ITK	186.0749
ITM2A	319.3012	ITM2A	1633.5505
ITM2B	12116.9477	ITM2B	13168.9739
ITM2C	1266.0439	ITM2C	1897.3941
ITPA	672.5707	ITPA	605.456
ITPK1	3356.0597	ITPK1	1386.8078
ITPKA	10.6757	removed	removed
ITPKB	766.7111	ITPKB	1663.6808
ITPKC	580.3712	ITPKC	3143.3225
ITPR1	895.3051	ITPR1	2880.7003
ITPR2	931.2144	ITPR2	3757.7362
ITPR3	3077.302	ITPR3	1709.5928
ITPRIPL1	21.8367	ITPRIPL1	140.0651
ITPRIPL2	1568.8463	ITPRIPL2	1252.8502
ITPRIP	390.6345	ITPRIP	1744.2997
ITSN1	692.9516	ITSN1	873.7785
ITSN2	718.6704	ITSN2	1075.7329
IVD	1484.411	IVD	2052.9316
removed	removed	IVL	13.8436
IVNS1ABP	3015.407	IVNS1ABP	3255.7003
IWS1	1267.4997	IWS1	1170.1954
IYD	15.0431	IYD	10.9935
JAG1	778.8427	JAG1	2334.2834
JAG2	771.0785	JAG2	1888.4365
JAGN1	770.5932	JAGN1	721.9055
JAK1	5966.2744	JAK1	5331.0261
JAK2	446.4394	JAK2	652.2801
JAK3	532.8157	JAK3	439.3322
JAKMIP1	37.365	JAKMIP1	8.1433
JAKMIP2	9.2199	JAKMIP2	6.7427
removed	removed	JAKMIP3	47.6384
JAM2	86.8616	JAM2	666.1238
JAM3	310.5665	JAM3	1425.0814
JARID2	391.1197	JARID2	618.8925
JAZF1	254.2764	JAZF1	491.8567
JDP2	259.129	JDP2	460.5049
JHDM1D	499.3328	JHDM1D	730.0489
JKAMP	444.4984	JKAMP	797.2313
JMJD1C	1843.0183	JMJD1C	2606.9503
JMJD4	742.7781	JMJD4	552.0969
JMJD5	71.3333	JMJD5	134.772
JMJD6	613.8542	JMJD6	567.9967
JMJD7-PLA2G4B	220.7934	JMJD7-PLA2G4B	595.684
JMJD8	1130.8359	JMJD8	1406.6938
JMY	650.734	JMY	816.7752
JOSD1	1659.1047	JOSD1	1695.8469
JOSD2	166.9295	JOSD2	189.7394
JPH1	151.8864	JPH1	90.798
JPH2	18.4399	JPH2	736.5635
JPH3	5.3379	JPH3	6.5147
JPH4	5.8231	JPH4	20.7655
JRKL	257.6732	JRKL	394.1368
JRK	526.9926	JRK	454.8046
JSRP1	29.6009	JSRP1	48.4528
JTB	2557.8066	JTB	1635.9935
JUB	133.9318	JUB	646.987
JUNB	2462.2104	JUNB	2524.0228
JUND	2590.8043	JUND	4927.1173
JUN	4606.5753	JUN	16041.5309
JUP	3341.5019	JUP	7734.9349
removed	removed	KAAG1	16.7508
KAL1	420.2354	KAL1	497.557
KALRN	272.7162	KALRN	537.4593
KANK1	320.757	KANK1	1723.127
KANK2	2310.8092	KANK2	1647.3941
KANK3	81.5237	KANK3	293.1596
KANK4	49.9818	KANK4	309.4463
KARS	2344.2921	KARS	2786.645
KAT2A	698.7747	KAT2A	1036.645
KAT2B	340.1674	KAT2B	487.3779
KAT5	1296.3872	KAT5	1118.009
KATNA1	451.292	KATNA1	323.6971
KATNAL1	520.6842	KATNAL1	418.9739
KATNAL2	210.6029	KATNAL2	47.6384
KATNB1	243.1154	KATNB1	458.4691
KAZALD1	103.8457	KAZALD1	105.9935
KAZ	442.3438	KAZ	799.0024
KBTBD10	43.0474	KBTBD10	24.0472
KBTBD11	145.0928	KBTBD11	115.6352
removed	removed	KBTBD12	6.1075
KBTBD2	1584.3746	KBTBD2	1282.9805
KBTBD3	49.9818	KBTBD3	121.7427
KBTBD4	465.1899	KBTBD4	451.6572
KBTBD6	676.938	KBTBD6	719.4625
KBTBD7	192.163	KBTBD7	236.1564
KBTBD8	67.9364	KBTBD8	21.987
KCMF1	1170.9329	KCMF1	1103.4202
removed	removed	KCNA1	28.0945
KCNA3	36.8798	KCNA3	32.5733
removed	removed	KCNA5	15.0651
KCNA6	6.7936	KCNA6	63.5179
KCNAB1	46.585	KCNAB1	135.1792
KCNAB2	482.8339	KCNAB2	222.7199
KCNAB3	8.7347	KCNAB3	18.7296
KCNB1	151.8864	KCNB1	77.7687
KCNB2	26.2041	removed	removed
KCNC1	443.0426	KCNC1	9.772
removed	removed	KCNC2	444.6254
KCNC3	17.4694	KCNC3	167.7524
KCNC4	323.1833	KCNC4	313.9251
KCND1	145.5781	KCND1	117.671
KCND2	113.0656	KCND2	75.7329
KCND3	191.1925	KCND3	84.6906
removed	removed	KCNE1L	8.9577
KCNE1	5.8231	KCNE1	100.57
KCNE2	13.102	removed	removed
KCNE3	131.9908	KCNE3	81.0261
KCNE4	167.4148	KCNE4	392.9153
KCNF1	54.3491	KCNF1	16.2866
removed	removed	KCNG1	33.7948
KCNG3	16.0136	removed	removed
KCNH1	41.7324	KCNH1	12.6221
KCNH2	631.3235	KCNH2	32.9805
KCNH3	107.2425	KCNH3	48.0456
KCNH4	39.7913	KCNH4	7.329
KCNH6	247.4827	removed	removed
KCNH8	85.4058	KCNH8	96.9055
KCNIP2	43.6734	KCNIP2	119.7068
KCNIP3	124.2266	KCNIP3	222.7199
KCNIP4	21.8367	KCNIP4	23.6156
KCNJ10	140.7255	KCNJ10	7.7362
KCNJ11	605.6048	KCNJ11	367.671
KCNJ12	7.2789	KCNJ12	25.2443
removed	removed	KCNJ13	10.5863
KCNJ14	99.4783	KCNJ14	48.4528
KCNJ15	22.8072	KCNJ15	96.0912
removed	removed	KCNJ16	135.9935
KCNJ2	576.0039	KCNJ2	359.1205
KCNJ3	3088.196	KCNJ3	43.1596
KCNJ5	62.1133	KCNJ5	80.2117
KCNJ6	49.0113	removed	removed
KCNJ8	107.2425	KCNJ8	472.7199
KCNK10	5.8231	removed	removed
KCNK12	20.3809	removed	removed
KCNK13	37.365	KCNK13	30.5375
KCNK15	596.8701	KCNK15	50.0814
removed	removed	KCNK17	67.5896
KCNK1	411.0154	KCNK1	160.0163
KCNK2	256.7027	KCNK2	218.6482
KCNK3	1458.6922	KCNK3	169.7883
KCNK5	158.1948	KCNK5	174.2671
KCNK6	982.1667	KCNK6	401.0586
KCNK7	11.161	KCNK7	6.1075
KCNK9	10.6757	removed	removed
KCNMA1	1862.914	KCNMA1	1213.355
KCNMB1	64.0543	KCNMB1	1200.3257
KCNMB2	6.3084	KCNMB2	9.3648
KCNMB3	100.4489	KCNMB3	78.9902
KCNMB4	16.4988	KCNMB4	64.3322
removed	removed	KCNN1	8.1433
KCNN2	34.4535	removed	removed
KCNN3	22.322	KCNN3	50.4886
KCNN4	383.8408	KCNN4	798.8599
KCNQ1OT1	93.17	KCNQ1OT1	91.6124
KCNQ1	65.9954	KCNQ1	262.6221
KCNQ3	89.2879	KCNQ3	8.5505
removed	removed	KCNQ4	27.6873
KCNQ5	21.8367	KCNQ5	13.0293
KCNRG	15.9602	KCNRG	9.8005
KCNS1	10.6757	KCNS1	92.0195
KCNS3	1151.0372	KCNS3	158.7948
KCNT2	6.3084	KCNT2	13.8436
KCTD10	1416.9598	KCTD10	2014.658
KCTD11	273.6868	KCTD11	389.658
KCTD12	2587.8928	KCTD12	5894.544
KCTD13	182.4578	KCTD13	289.4951
KCTD14	18.4399	KCTD14	673.8599
KCTD15	1099.1144	KCTD15	621.7427
KCTD17	303.7729	KCTD17	160.0163
KCTD18	285.8183	KCTD18	450.3257
KCTD1	1361.1549	KCTD1	1278.5016
KCTD20	908.8924	KCTD20	1309.0391
KCTD21	391.605	KCTD21	256.9218
KCTD2	1281.5722	KCTD2	1356.6775
KCTD3	3181.366	KCTD3	2931.5961
KCTD5	595.4143	KCTD5	515.4723
KCTD6	419.2648	KCTD6	123.3713
KCTD7	534.7471	KCTD7	404.2793
KCTD8	11.6462	removed	removed
KCTD9	441.5868	KCTD9	934.8534
KDELC1	129.0792	KDELC1	142.5081
KDELC2	902.584	KDELC2	949.5114
KDELR1	3422.0551	KDELR1	2844.8697
KDELR2	3506.0051	KDELR2	3799.6743
KDELR3	617.251	KDELR3	380.2932
KDM1A	2844.1102	KDM1A	1676.7101
KDM1B	542.0357	KDM1B	517.5081
KDM2A	4490.1128	KDM2A	3610.342
KDM2B	821.9726	KDM2B	786.1523
KDM3A	1583.4041	KDM3A	1531.3518
KDM3B	1893.4854	KDM3B	3042.7524
KDM4A	1786.2429	KDM4A	1478.013
KDM4B	2509.2806	KDM4B	2027.6873
KDM4C	317.3602	KDM4C	760.9935
KDM4D	24.263	KDM4D	46.8241
KDM5A	1901.2495	KDM5A	2145.7655
KDM5B	2769.8653	KDM5B	2127.443
KDM5C	3252.6993	KDM5C	3158.3876
KDM6A	1127.2595	KDM6A	1120.9283
KDM6B	510.0085	KDM6B	1174.6743
KDR	578.9154	KDR	1292.7524
KDSR	2224.9181	KDSR	1824.9186
KEAP1	1704.2339	KEAP1	1328.5831
KEL	28.1451	KEL	9.772
KERA	18.4399	KERA	7.329
KGFLP1	10.1905	KGFLP1	15.8795
KGFLP2	168.0602	KGFLP2	152.4756
KHDC1	45.629	KHDC1	25.6515
KHDRBS1	6152.1291	KHDRBS1	3977.6059
KHDRBS3	321.7275	KHDRBS3	254.4788
KHK	240.6357	KHK	156.1238
KHNYN	2401.8052	KHNYN	1794.4218
KHSRP	3895.6691	KHSRP	2039.4951
KIAA0020	784.1805	KIAA0020	914.0879
KIAA0040	3574.912	KIAA0040	1789.0879
KIAA0087	8.7347	removed	removed
KIAA0090	1604.7556	KIAA0090	1144.1368
KIAA0100	3078.1851	KIAA0100	4546.9666
KIAA0101	452.2625	KIAA0101	41.5309
KIAA0114	1283.028	KIAA0114	553.3388
KIAA0125	15.5283	KIAA0125	20.3583
KIAA0141	1018.5612	KIAA0141	1339.5765
KIAA0146	939.4638	KIAA0146	1151.4658
KIAA0174	1803.227	KIAA0174	2929.5603
KIAA0182	2019.1678	KIAA0182	2210.9121
KIAA0195	2900.5459	KIAA0195	1621.6327
KIAA0196	1746.9368	KIAA0196	1381.1075
KIAA0226	890.4525	KIAA0226	656.759
KIAA0232	1579.522	KIAA0232	1573.6971
KIAA0240	688.099	KIAA0240	1219.8697
KIAA0247	1775.0819	KIAA0247	3929.5603
KIAA0284	2100.6915	KIAA0284	1732.899
KIAA0317	642.4845	KIAA0317	796.4169
KIAA0319L	2469.9745	KIAA0319L	2826.5472
KIAA0319	130.0497	removed	removed
KIAA0355	708.9652	KIAA0355	1371.7427
KIAA0368	2025.4762	KIAA0368	3218.6482
KIAA0391	510.353	KIAA0391	587.4715
KIAA0406	944.3164	KIAA0406	657.5733
removed	removed	KIAA0408	33.2492
KIAA0415	395.0018	KIAA0415	548.0456
KIAA0427	1439.2818	KIAA0427	1376.6287
KIAA0430	1678.0298	KIAA0430	2257.7362
KIAA0467	1086.3132	KIAA0467	1329.3526
KIAA0494	2883.5812	KIAA0494	4456.3803
KIAA0495	523.1105	KIAA0495	685.2606
KIAA0513	283.392	KIAA0513	401.0586
KIAA0528	1069.9988	KIAA0528	1035.0163
KIAA0556	401.3102	KIAA0556	836.7264
KIAA0562	551.7409	KIAA0562	807.4104
KIAA0564	305.2287	KIAA0564	826.9544
KIAA0586	568.2397	KIAA0586	392.5081
KIAA0649	546.8883	KIAA0649	807.0033
KIAA0652	2447.6526	KIAA0652	1675.8958
KIAA0664P3	10.6757	KIAA0664P3	84.2834
KIAA0664	1567.8758	KIAA0664	1964.9837
KIAA0748	73.7596	KIAA0748	28.5016
KIAA0753	393.0608	KIAA0753	581.4332
KIAA0754	76.6711	KIAA0754	171.8241
KIAA0776	1583.8894	KIAA0776	824.5114
KIAA0802	303.2876	KIAA0802	144.9511
KIAA0831	464.8793	KIAA0831	629.886
KIAA0892	1860.0024	KIAA0892	1514.2508
KIAA0895L	284.1829	KIAA0895L	236.2134
KIAA0895	206.2356	KIAA0895	209.2834
KIAA0907	1396.0937	KIAA0907	788.2736
KIAA0913	2364.1878	KIAA0913	2064.7394
KIAA0922	263.4963	KIAA0922	578.9902
KIAA0947	1908.5284	KIAA0947	1325.3257
KIAA1009	258.6437	KIAA1009	319.2182
KIAA1012	1602.3292	KIAA1012	1163.6808
KIAA1024	78.6122	KIAA1024	30.5375
KIAA1033	706.5389	KIAA1033	1008.1433
removed	removed	KIAA1045	21.987
KIAA1107	43.6734	KIAA1107	158.7948
KIAA1109	1001.0918	KIAA1109	2837.1336
KIAA1143	931.6996	KIAA1143	776.0586
KIAA1147	671.1149	KIAA1147	1336.3192
KIAA1161	396.9429	KIAA1161	250
KIAA1191	1671.2362	KIAA1191	2282.5733
KIAA1199	175.6642	KIAA1199	45.1954
KIAA1211	188.7662	KIAA1211	43.9739
KIAA1217	2701.4436	KIAA1217	4196.2215
KIAA1244	1582.4336	KIAA1244	824.5114
KIAA1257	13.5873	KIAA1257	10.1995
KIAA1267	1012.7381	KIAA1267	1786.2378
KIAA1274	415.868	KIAA1274	521.5798
KIAA1279	1114.6427	KIAA1279	736.5635
KIAA1310	2284.6051	KIAA1310	1843.241
KIAA1324L	448.3804	KIAA1324L	368.8925
KIAA1324	16400.3397	KIAA1324	14067.1824
KIAA1328	215.9408	KIAA1328	231.6775
KIAA1370	2044.4013	KIAA1370	1411.645
KIAA1377	370.2535	KIAA1377	292.7524
KIAA1383	84.9205	KIAA1383	92.4267
KIAA1407	157.2243	KIAA1407	303.3388
KIAA1409	126.6529	KIAA1409	5.2932
KIAA1429	1874.075	KIAA1429	1915.7166
KIAA1430	639.0877	KIAA1430	1370.5212
KIAA1432	404.5275	KIAA1432	734.2793
KIAA1462	619.6773	KIAA1462	1510.1792
KIAA1467	849.2054	KIAA1467	997.557
KIAA1468	1064.1757	KIAA1468	835.5049
KIAA1486	28.6304	removed	removed
KIAA1522	5201.5043	KIAA1522	4125.4072
KIAA1524	346.4758	KIAA1524	75.3257
KIAA1529	53.3786	KIAA1529	183.2248
KIAA1530	174.6937	KIAA1530	174.6743
KIAA1539	293.0972	KIAA1539	300.8958
KIAA1543	943.8311	KIAA1543	766.2866
KIAA1549	90.7437	KIAA1549	482.899
KIAA1586	201.383	KIAA1586	118.4853
KIAA1598	649.2782	KIAA1598	915.3094
KIAA1609	166.4443	KIAA1609	500.8143
KIAA1614	38.5297	KIAA1614	99.0391
KIAA1632	1316.0257	KIAA1632	1144.544
KIAA1644	89.7731	KIAA1644	33.3876
KIAA1671	2103.1178	KIAA1671	3813.9251
KIAA1683	304.7434	KIAA1683	482.0847
KIAA1704	397.3505	KIAA1704	427.4756
KIAA1712	170.1274	KIAA1712	337.048
KIAA1715	816.2077	KIAA1715	543.1596
KIAA1731	829.795	KIAA1731	529.7231
KIAA1737	797.2825	KIAA1737	1269.1368
KIAA1755	104.3309	KIAA1755	439.7394
KIAA1797	445.4689	KIAA1797	722.3127
KIAA1804	261.5553	KIAA1804	144.544
KIAA1826	220.3081	KIAA1826	341.2052
KIAA1841	653.1603	KIAA1841	155.5375
KIAA1875	114.0362	KIAA1875	21.987
KIAA1908	98.9931	KIAA1908	198.2899
KIAA1919	57.746	KIAA1919	98.9414
KIAA1949	1691.1319	KIAA1949	998.7785
KIAA1958	73.2743	KIAA1958	71.2541
KIAA1967	1981.3175	KIAA1967	2645.7655
removed	removed	KIAA1984	13.8436
KIAA2013	1304.3795	KIAA2013	1167.3453
KIAA2018	698.7747	KIAA2018	903.9088
KIAA2022	161.1064	KIAA2022	52.1173
KIAA2026	555.623	KIAA2026	1037.0521
KIDINS220	2468.5187	KIDINS220	2687.7036
KIF11	1325.7309	KIF11	180.3746
KIF12	131.9908	KIF12	972.3127
KIF13A	533.7862	KIF13A	1761.4007
KIF13B	824.4571	KIF13B	2369.2834
KIF14	674.0264	KIF14	26.4658
KIF15	943.3459	KIF15	40.7166
KIF16B	2566.5413	KIF16B	1464.1694
KIF17	14.5578	KIF17	52.5244
KIF18A	312.9928	KIF18A	44.7883
KIF18B	513.4053	KIF18B	35.4235
KIF19	5.8231	KIF19	111.9707
KIF1A	607.5458	KIF1A	14.2508
KIF1B	1693.5582	KIF1B	1766.6938
KIF1C	707.9947	KIF1C	2718.6482
KIF20A	1849.3267	KIF20A	85.9121
KIF20B	471.1877	KIF20B	236.9707
KIF21A	514.3758	KIF21A	338.355
KIF21B	180.5168	KIF21B	165.3094
KIF22	1547.4948	KIF22	855.8632
KIF23	1695.4992	KIF23	108.3062
KIF24	561.9313	KIF24	120.114
removed	removed	KIF25	5.2932
KIF26A	32.5124	KIF26A	237.785
KIF26B	198.4714	KIF26B	59.4463
KIF27	119.8593	KIF27	123.7785
KIF2A	545.9177	KIF2A	573.2899
KIF2C	2301.104	KIF2C	103.013
KIF3A	567.2692	KIF3A	446.6612
KIF3B	2178.8184	KIF3B	1741.8567
KIF3C	1137.9352	KIF3C	545.6026
KIF4A	1635.8122	KIF4A	52.9316
KIF4B	18.9251	removed	removed
KIF5A	107.2425	KIF5A	37.8664
KIF5B	4381.4145	KIF5B	3994.7068
KIF5C	757.0059	KIF5C	268.7296
KIF6	7.7642	KIF6	10.9935
KIF7	252.4615	KIF7	268.0049
KIF9	279.9029	KIF9	148.4853
KIFAP3	853.0875	KIFAP3	921.8241
KIFC1	854.5432	KIFC1	131.1075
KIFC2	572.8691	KIFC2	216.82
KIFC3	184.8841	KIFC3	489.4137
KILLIN	25.2335	KILLIN	31.3518
KIN	221.7639	KIN	237.785
KIR2DL1	7.9097	removed	removed
KIR2DL3	7.1333	removed	removed
KIR3DL1	8.2931	removed	removed
KIRREL2	14.5578	KIRREL2	5.7003
KIRREL	86.3763	KIRREL	584.2834
KISS1R	24.7483	removed	removed
KITLG	465.3646	KITLG	759.3648
KIT	319.7865	KIT	6850.9772
KLB	61.1428	KLB	50.8958
KLC1	1817.8527	KLC1	1827.9682
KLC2	497.877	KLC2	559.8534
KLC3	96.0815	KLC3	183.6319
KLC4	615.1741	KLC4	576.3477
KLF10	1378.139	KLF10	2389.2508
KLF11	579.4007	KLF11	929.5603
KLF12	733.7135	KLF12	630.2932
KLF13	1676.0888	KLF13	2688.9251
KLF15	16.9841	KLF15	433.2248
KLF16	393.0608	KLF16	466.6124
KLF2	337.7411	KLF2	508.5505
KLF3	1431.9592	KLF3	907.9235
KLF4	340.1674	KLF4	1293.9739
KLF5	724.9788	KLF5	1791.5309
KLF6	2436.4916	KLF6	18449.9186
KLF7	213.9998	KLF7	318.4039
KLF8	229.0428	KLF8	373.7785
KLF9	859.8811	KLF9	5564.3322
KLHDC10	385.7819	KLHDC10	832.6547
KLHDC1	37.8503	KLHDC1	108.3062
KLHDC2	1162.1982	KLHDC2	1089.5765
KLHDC3	2946.0148	KLHDC3	1892.101
KLHDC4	249.6227	KLHDC4	380.8143
KLHDC5	1634.8417	KLHDC5	1152.2801
KLHDC7A	338.7116	KLHDC7A	128.6645
KLHDC7B	71.3333	KLHDC7B	237.3779
KLHDC8A	18.9251	KLHDC8A	46.8241
KLHDC8B	276.1131	KLHDC8B	541.9381
KLHDC9	57.2607	KLHDC9	85.5049
KLHL11	33.483	KLHL11	40.7166
KLHL12	1006.4297	KLHL12	880.2932
KLHL13	70.3627	KLHL13	1691.7752
KLHL14	272.231	KLHL14	27.2801
KLHL15	347.9316	KLHL15	204.3974
KLHL17	128.594	KLHL17	91.6124
KLHL18	554.1672	KLHL18	500.8143
KLHL20	349.8726	KLHL20	409.6091
KLHL21	770.108	KLHL21	1976.3844
KLHL22	512.4348	KLHL22	480.456
KLHL23	315.1717	KLHL23	144.4707
KLHL24	1606.6966	KLHL24	1054.9674
KLHL25	353.2694	KLHL25	334.2834
KLHL26	228.5576	KLHL26	361.5635
KLHL28	505.1559	KLHL28	357.4919
KLHL29	53.8639	KLHL29	618.8925
KLHL2	347.4463	KLHL2	854.6417
removed	removed	KLHL30	15.8795
KLHL31	14.7519	KLHL31	47.9682
KLHL32	23.7778	KLHL32	13.4365
KLHL35	104.8162	KLHL35	46.8241
KLHL36	163.5327	KLHL36	261.4007
KLHL38	18.9251	KLHL38	8.5505
KLHL3	88.3174	KLHL3	218.6482
KLHL4	8.2494	KLHL4	19.9511
KLHL5	387.2377	KLHL5	870.9283
KLHL6	362.0041	KLHL6	168.9739
KLHL7	411.9859	KLHL7	653.9088
KLHL8	192.6483	KLHL8	379.0717
KLHL9	2141.4534	KLHL9	1648.6156
removed	removed	KLK10	383.1433
removed	removed	KLK11	123.3713
removed	removed	KLK13	15.0651
removed	removed	KLK2	9.3648
removed	removed	KLK3	6.5147
KLK4	15.0431	removed	removed
KLK5	8.2494	KLK5	902.6873
KLK6	8.7347	KLK6	284.202
KLK7	5.3379	KLK7	655.1303
removed	removed	KLK8	196.987
removed	removed	KLKB1	14.2508
KLRA1	15.0431	KLRA1	43.1596
KLRAQ1	464.394	KLRAQ1	619.7068
KLRB1	54.8344	KLRB1	72.0684
KLRC1	6.3084	KLRC1	29.7231
KLRC2	11.0542	KLRC2	9.6295
KLRC3	8.8414	KLRC3	9.1002
KLRC4	14.2618	KLRC4	11.7345
KLRD1	79.0974	KLRD1	76.5472
KLRG1	40.7619	KLRG1	32.5733
KLRG2	38.3356	KLRG2	31.3518
KLRK1	177.9012	KLRK1	193.4772
KL	30.5714	KL	185.2606
KMO	51.1416	KMO	34.0065
removed	removed	KNDC1	13.4365
KNTC1	749.6688	KNTC1	370.5985
KPNA1	1780.905	KPNA1	1485.342
KPNA2	4752.1533	KPNA2	924.6743
KPNA3	1266.5292	KPNA3	1036.645
KPNA4	1573.6989	KPNA4	1634.3648
KPNA5	111.1246	KPNA5	111.9707
KPNA6	2061.3854	KPNA6	2047.2313
KPNB1	8312.5076	KPNB1	4165.3094
KPTN	287.2741	KPTN	178.7459
KRAS	1114.1575	KRAS	681.1889
KRBA1	154.3128	KRBA1	332.6547
KRBA2	58.2312	KRBA2	98.9414
KRCC1	487.6865	KRCC1	823.6971
KREMEN1	462.9383	KREMEN1	668.9739
KREMEN2	27.6598	KREMEN2	6.5147
KRI1	1325.5029	KRI1	729.4748
KRIT1	506.1264	KRIT1	779.316
KRR1	1055.9408	KRR1	795.6596
KRT10	271.7457	KRT10	290.3094
KRT14	338.7116	KRT14	20894.544
KRT15	33.9682	KRT15	15920.6026
KRT16	6.3084	KRT16	325.7329
KRT17	634.7204	KRT17	19938.1107
KRT18	8341.4388	KRT18	9436.592
KRT19	5826.0342	KRT19	18882.329
removed	removed	KRT1	14.2508
KRT222	22.8072	KRT222	114.0065
KRT23	433.8226	KRT23	1511.4007
removed	removed	KRT32	22.8013
removed	removed	KRT40	7.329
removed	removed	KRT4	24.43
KRT5	476.0403	KRT5	34883.1433
KRT6A	5.3379	KRT6A	175.4886
KRT6B	53.3786	KRT6B	2655.5375
removed	removed	KRT6C	69.2182
KRT7	7127.0169	KRT7	10222.7199
KRT80	821.0603	KRT80	582.2476
KRT81	35.9093	KRT81	319.6254
removed	removed	KRT83	11.8078
KRT86	30.0861	KRT86	43.1596
KRT8	11138.3622	KRT8	15805.6718
removed	removed	KRTAP5-1	9.772
removed	removed	KRTAP5-2	5.7288
KRTCAP2	1736.2611	KRTCAP2	1163.6808
KRTCAP3	112.0951	KRTCAP3	320.4397
removed	removed	KRTDAP	7.329
KSR1	246.5122	KSR1	642.5081
KSR2	142.6665	KSR2	44.3811
KTELC1	427.5143	KTELC1	430.7818
KTI12	320.2717	KTI12	137.6221
KTN1	7714.667	KTN1	6292.7524
KYNU	137.3286	KYNU	178.3388
removed	removed	KY	148.6156
L1CAM	92.1994	L1CAM	159.6091
L2HGDH	347.4463	L2HGDH	155.5375
L3MBTL2	1088.4096	L3MBTL2	932.2638
L3MBTL3	154.3128	L3MBTL3	230.8632
L3MBTL4	57.746	L3MBTL4	220.2769
L3MBTL	65.0006	L3MBTL	177.9316
LACE1	50.4671	LACE1	54.5603
LACTB2	176.6347	LACTB2	170.1954
LACTB	296.494	LACTB	266.2866
LAD1	661.8949	LAD1	918.1596
LAG3	189.2515	LAG3	54.9674
LAGE3	845.8086	LAGE3	223.5342
LAIR1	736.1398	LAIR1	614.0065
removed	removed	LALBA	41.5309
LAMA1	48.0408	LAMA1	286.2378
LAMA2	491.0833	LAMA2	1392.4959
LAMA3	960.33	LAMA3	5581.0261
LAMA4	1327.672	LAMA4	2414.0879
LAMA5	1196.1664	LAMA5	4324.5114
LAMB1	2451.5346	LAMB1	4516.2866
LAMB2L	15.5283	LAMB2L	41.1238
LAMB2	1467.9122	LAMB2	10013.0293
LAMB3	772.049	LAMB3	6833.0619
LAMC1	3314.8126	LAMC1	6285.8306
LAMC2	722.5525	LAMC2	6763.0293
LAMC3	8.2494	LAMC3	432.4104
LAMP1	7163.8966	LAMP1	7425.8958
LAMP2	6265.1947	LAMP2	4807.0033
LAMP3	457.1151	LAMP3	172.6384
LANCL1	1666.8689	LANCL1	1823.6971
LANCL2	987.0193	LANCL2	576.5472
removed	removed	LANCL3	15.4723
LAP3	3669.0525	LAP3	3323.2899
LAPTM4A	7485.1389	LAPTM4A	7517.5081
LAPTM4B	8866.6748	LAPTM4B	2558.2248
LAPTM5	4756.0354	LAPTM5	3093.6482
LARGE	3211.4521	LARGE	855.0489
LARP1B	307.1697	LARP1B	416.5309
LARP1	5253.4272	LARP1	3564.7394
