gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
ALDH3A2	1443.1639	ALDH3A2	1796.4169
ALDH3B1	140.2402	ALDH3B1	197.0684
ALDH3B2	951.5953	ALDH3B2	419.3811
ALDH4A1	331.4327	ALDH4A1	830.2117
ALDH5A1	263.011	ALDH5A1	379.0717
ALDH6A1	139.4929	ALDH6A1	409.0187
ALDH7A1	1287.3954	ALDH7A1	2593.6482
ALDH8A1	10.6757	ALDH8A1	8.5505
ALDH9A1	2727.6477	ALDH9A1	2634.772
ALDOA	15899.0659	ALDOA	15131.1075
ALDOC	68.4217	ALDOC	734.5277
ALG10B	405.1923	ALG10B	314.3322
ALG10	133.4466	ALG10	105.0489
ALG11	34.4535	ALG11	14.2508
ALG12	561.4461	ALG12	462.9479
ALG13	478.4666	ALG13	450.3257
ALG14	226.6165	ALG14	160.8306
ALG1L	12.6071	removed	removed
ALG1	434.206	ALG1	438.8884
ALG2	578.4302	ALG2	704.3974
ALG3	952.5658	ALG3	543.5668
ALG5	667.2328	ALG5	528.0945
ALG6	650.734	ALG6	272.8013
ALG8	850.6612	ALG8	674.6743
ALG9	465.8498	ALG9	492.2638
ALKBH1	208.1766	ALKBH1	291.1238
ALKBH2	691.0106	ALKBH2	366.4495
ALKBH3	286.3035	ALKBH3	376.2215
ALKBH4	167.837	ALKBH4	218.4935
ALKBH5	1905.0103	ALKBH5	1834.8982
ALKBH6	80.5532	ALKBH6	78.1759
ALKBH7	397.9134	ALKBH7	513.0293
ALKBH8	146.0633	ALKBH8	257.7362
ALK	6.7936	ALK	7.329
ALMS1P	14.0725	ALMS1P	8.9577
ALMS1	1418.4156	ALMS1	862.3779
removed	removed	ALOX12P2	51.3029
removed	removed	ALOX12	5.2932
ALOX15B	137.3286	ALOX15B	373.3713
ALOX15	45.6145	ALOX15	55.3746
ALOX5AP	296.9793	ALOX5AP	398.6156
ALOX5	438.19	ALOX5	575.3257
removed	removed	ALOXE3	6.5147
ALPK1	329.4917	ALPK1	869.2997
ALPK2	24.263	ALPK2	34.202
ALPK3	206.2356	ALPK3	146.987
ALPL	211.0882	ALPL	1272.8013
ALS2CL	132.9613	ALS2CL	331.8404
ALS2CR4	1041.3684	ALS2CR4	1491.0423
ALS2CR8	107.7278	ALS2CR8	218.6482
ALS2	874.4389	ALS2	692.5896
ALX3	25.7188	ALX3	35.8306
removed	removed	ALX4	19.544
AMACR	602.6932	AMACR	261.8078
AMBP	64.5396	AMBP	60.2606
AMBRA1	1177.2413	AMBRA1	1380.7003
AMD1	2033.4927	AMD1	1800.1507
AMDHD1	6.7936	AMDHD1	9.3648
AMDHD2	92.345	AMDHD2	235.5945
AMFR	2706.2963	AMFR	3717.8339
AMH	96.5668	removed	removed
AMICA1	283.8772	AMICA1	412.4593
AMIGO1	47.5555	AMIGO1	115.6352
AMIGO2	808.9288	AMIGO2	2571.2541
AMIGO3	136.8434	AMIGO3	65.5537
AMMECR1L	912.2892	AMMECR1L	943.4039
AMMECR1	725.9493	AMMECR1	305.3746
AMN1	131.0203	AMN1	212.1336
AMOTL1	650.734	AMOTL1	2739.0065
AMOTL2	777.3869	AMOTL2	3079.8046
AMOT	1135.0237	AMOT	1033.3876
removed	removed	AMPD1	24.43
AMPD2	599.2964	AMPD2	754.886
AMPD3	282.9067	AMPD3	291.9381
AMPH	287.2741	AMPH	119.7068
AMT	24.6075	AMT	167.9072
removed	removed	AMY1A	19.1368
AMY2A	13.102	removed	removed
AMY2B	67.5676	AMY2B	311.2744
AMZ1	47.0702	AMZ1	7.329
AMZ2P1	204.7798	AMZ2P1	191.7752
AMZ2	1430.5471	AMZ2	908.7948
ANAPC10	66.9659	ANAPC10	170.1954
ANAPC11	1815.8437	ANAPC11	654.7231
ANAPC13	1180.6672	ANAPC13	1110.0611
ANAPC16	2491.326	ANAPC16	2316.3681
ANAPC1	877.8357	ANAPC1	736.1564
ANAPC2	526.0221	ANAPC2	883.1433
ANAPC4	293.5824	ANAPC4	568.8111
ANAPC5	2014.3152	ANAPC5	2217.0195
ANAPC7	1894.4559	ANAPC7	900.2443
ANGEL1	239.2333	ANGEL1	705.6189
ANGEL2	607.0605	ANGEL2	590.3909
ANGPT1	34.9387	ANGPT1	148.2085
ANGPT2	167.4148	ANGPT2	328.5831
removed	removed	ANGPT4	26.0586
ANGPTL1	17.4694	ANGPTL1	234.1205
ANGPTL2	995.754	ANGPTL2	3305.3746
ANGPTL4	108.213	ANGPTL4	725.9772
removed	removed	ANGPTL7	157.1661
ANG	410.4865	ANG	397.8868
ANK1	10.6757	ANK1	24.43
ANK2	224.1902	ANK2	832.2476
ANK3	1792.5513	ANK3	1192.5896
ANKAR	21.8367	ANKAR	46.8241
ANKDD1A	84.4353	ANKDD1A	107.4919
removed	removed	ANKFN1	71.2541
ANKFY1	1236.9283	ANKFY1	2173.8599
ANKHD1-EIF4EBP3	647.1091	ANKHD1-EIF4EBP3	1013.0945
ANKHD1	3889.1423	ANKHD1	2454.9674
ANKH	1220.4295	ANKH	1663.6808
ANKIB1	930.2438	ANKIB1	1212.1336
ANKK1	9.7052	ANKK1	54.5603
ANKLE1	9.7052	ANKLE1	8.5505
ANKLE2	1198.1075	ANKLE2	1533.7948
ANKMY1	266.4079	ANKMY1	302.5244
ANKMY2	134.4171	ANKMY2	616.8567
ANKRA2	270.2899	ANKRA2	305.7818
ANKRD10	1529.5402	ANKRD10	1520.1832
ANKRD11	2284.5469	ANKRD11	2674.1612
ANKRD12	1240.8104	ANKRD12	1265.8795
ANKRD13A	1103.4817	ANKRD13A	1285.0163
ANKRD13B	347.9316	ANKRD13B	146.1726
ANKRD13C	1209.2685	ANKRD13C	587.5407
ANKRD13D	827.3687	ANKRD13D	524.8371
ANKRD16	161.1064	ANKRD16	179.7598
ANKRD17	3070.7267	ANKRD17	3255.2932
ANKRD19	29.6009	ANKRD19	45.6026
ANKRD20A3	34.9387	ANKRD20A3	28.0945
ANKRD20B	9.2199	ANKRD20B	5.2932
ANKRD22	166.9295	ANKRD22	76.1401
ANKRD23	65.0249	ANKRD23	42.7524
ANKRD24	31.5419	ANKRD24	50.0814
ANKRD26	411.0154	ANKRD26	377.443
ANKRD27	648.7929	ANKRD27	772.8013
ANKRD28	1275.7491	ANKRD28	1364.4137
ANKRD29	11.161	ANKRD29	241.4495
ANKRD30A	3570.5447	ANKRD30A	1056.1889
ANKRD30B	331.918	ANKRD30B	128.6645
ANKRD32	253.3058	ANKRD32	157.9805
ANKRD34A	11.6462	ANKRD34A	26.873
ANKRD35	16.9841	ANKRD35	207.6547
ANKRD36BP1	107.7278	ANKRD36BP1	107.0847
ANKRD36B	35.424	ANKRD36B	29.7231
ANKRD36	255.2469	ANKRD36	223.9414
ANKRD37	26.0391	ANKRD37	140.7736
ANKRD39	194.1041	ANKRD39	106.6775
ANKRD40	1400.461	ANKRD40	1371.3355
ANKRD42	595.4143	ANKRD42	302.9316
ANKRD43	199.442	ANKRD43	24.43
ANKRD44	80.5532	ANKRD44	100.9772
removed	removed	ANKRD45	18.3225
ANKRD46	474.7252	ANKRD46	378.9414
ANKRD49	449.351	ANKRD49	245.9283
ANKRD50	675.4822	ANKRD50	1258.1433
ANKRD52	1122.8922	ANKRD52	1296.8241
removed	removed	ANKRD53	35.4235
ANKRD54	469.2466	ANKRD54	374.1857
ANKRD55	5.3379	removed	removed
ANKRD56	28.6304	ANKRD56	87.9479
ANKRD57	385.7819	ANKRD57	696.2541
ANKRD58	16.4988	ANKRD58	12.215
ANKRD5	297.4645	ANKRD5	153.5016
ANKRD6	199.3886	ANKRD6	244.5806
ANKRD9	48.526	ANKRD9	68.4039
ANKS1A	521.6547	ANKS1A	1740.228
ANKS1B	147.0338	ANKS1B	132.329
