gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
ADPRHL2	253.2533	ADPRHL2	383.562
ADPRH	318.3183	ADPRH	462.8686
ADRA1A	13.5135	ADRA1A	157.5013
ADRA1B	11.5115	ADRA1B	60.777
removed	removed	ADRA1D	5.9295
ADRA2A	19.5195	ADRA2A	2000.0815
ADRA2B	6.5065	ADRA2B	30.0179
removed	removed	ADRA2C	60.777
removed	removed	ADRB1	252.0021
ADRB2	5.005	ADRB2	776.7595
removed	removed	ADRB3	200.8605
ADRBK1	1089.5896	ADRBK1	1098.0622
ADRBK2	358.3584	ADRBK2	6629.8793
ADRM1	1313.8138	ADRM1	1108.8093
ADSL	1491.4915	ADSL	708.5707
removed	removed	ADSSL1	1141.4214
ADSS	3140.6406	ADSS	695.6
AEBP1	2102.1021	AEBP1	6099.9337
AEBP2	651.1512	AEBP2	629.6347
AEN	490.4905	AEN	131.5599
AES	17196.1962	AES	4663.151
AFAP1L1	155.6557	AFAP1L1	1358.5879
AFAP1L2	115.1151	AFAP1L2	324.2674
AFAP1	538.043	AFAP1	1133.2165
removed	removed	AFARP1	5.9295
AFF1	1032.032	AFF1	3968.2922
AFF2	7.5075	AFF2	397.2739
AFF3	118.6186	AFF3	441.3743
AFF4	1676.1762	AFF4	3189.3092
AFG3L1	556.0561	AFG3L1	146.7542
AFG3L2	1231.3564	AFG3L2	1668.2763
AFMID	363.8639	AFMID	201.9723
AFTPH	1558.0581	AFTPH	1014.3085
AG2	177.1772	AG2	1441.6004
AGAP11	11.011	AGAP11	431.0014
AGAP1	467.968	AGAP1	361.6972
AGAP2	18.9489	AGAP2	55.1032
AGAP3	1187.6877	AGAP3	1027.6498
AGAP4	126.6266	AGAP4	124.5187
AGAP5	6.5516	AGAP5	27.4831
AGAP6	148.6486	AGAP6	77.083
removed	removed	AGAP7	5.1883
AGAP8	19.5195	AGAP8	41.8768
AGA	2162.1622	AGA	318.7086
AGBL2	151.6517	AGBL2	5.1883
AGBL3	11.5115	AGBL3	5.1883
AGBL4	8.5085	AGBL4	11.8589
AGBL5	1948.959	AGBL5	656.321
