gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
MED25	707.7077	MED25	475.8393
MED26	378.3784	MED26	232.7314
MED27	399.3994	MED27	205.6782
MED28	376.8769	MED28	508.0807
MED29	955.956	MED29	1136.2331
MED30	322.8228	MED30	163.4308
MED31	97.983	MED31	96.0276
MED4	1677.6777	MED4	1110.6623
MED6	292.2923	MED6	324.638
MED7	160.6607	MED7	275.3494
MED8	1036.036	MED8	715.9825
MED9	359.8599	MED9	396.5327
MEF2A	2240.996	MEF2A	2321.9735
removed	removed	MEF2B	32.9048
MEF2C	505.5055	MEF2C	1626.896
MEF2D	1491.992	MEF2D	1920.775
removed	removed	MEG3	141.5659
MEGF10	22.022	MEGF10	5.5589
MEGF6	32.5325	MEGF6	243.1079
MEGF8	395.8959	MEGF8	2010.8287
MEGF9	932.4324	MEGF9	2004.158
MEI1	5.005	removed	removed
MEIS1	17.5175	MEIS1	365.0325
MEIS2	40.5405	MEIS2	472.504
MEIS3P1	269.2693	MEIS3P1	848.6542
MEIS3	326.8268	MEIS3	72.2653
MELK	209.7097	removed	removed
MEMO1	667.007	MEMO1	339.3876
MEN1	386.8869	MEN1	451.0097
MEOX1	29.5295	MEOX1	967.614
MEOX2	43.043	MEOX2	1143.6449
MEPCE	2562.0621	MEPCE	1137.3449
MERTK	42.5425	MERTK	107.4715
MESDC1	762.7628	MESDC1	529.575
MESDC2	1382.3824	MESDC2	1100.2857
MESP1	41.5415	MESP1	214.5724
removed	removed	MESP2	15.9354
removed	removed	MESTIT1	115.6245
MEST	1008.008	MEST	6265.9586
METAP1	2201.7017	METAP1	743.4063
METAP2	2242.2422	METAP2	2311.3783
METRNL	27.5275	METRNL	239.402
METRN	25.025	METRN	54.8475
METT10D	418.4184	METT10D	875.3368
METT11D1	259.2593	METT11D1	444.7096
METT5D1	716.2162	METT5D1	302.7731
METTL10	255.9159	METTL10	316.1922
METTL11A	145.8158	METTL11A	275.5754
METTL12	16.5165	METTL12	54.3583
METTL13	634.6346	METTL13	783.0595
METTL14	359.3594	METTL14	422.1036
METTL1	586.0861	METTL1	157.5013
METTL2A	191.1912	METTL2A	448.0449
METTL2B	298.7988	METTL2B	483.9923
METTL3	403.048	METTL3	525.1576
METTL4	369.3694	METTL4	279.4259
METTL5	1024.5896	METTL5	794.47
METTL6	342.8428	METTL6	239.402
METTL7A	12767.2673	METTL7A	7540.0517
METTL7B	24.5245	METTL7B	31.8709
METTL8	599.5996	METTL8	417.6565
METTL9	3417.4174	METTL9	2371.4141
MET	1356.8569	MET	2171.2947
MEX3A	2824.8248	MEX3A	67.4476
MEX3B	69.5696	MEX3B	43.7298
MEX3C	4218.7187	MEX3C	1085.8327
MEX3D	367.3674	MEX3D	189.7428
MFAP1	539.5395	MFAP1	738.9592
MFAP2	2492.4925	MFAP2	166.0249
MFAP3L	1708.2082	MFAP3L	223.8372
MFAP3	661.6617	MFAP3	1344.876
MFAP4	339.8398	MFAP4	7109.7951
MFAP5	622.1221	MFAP5	3752.608
MFF	2560.5606	MFF	1343.0231
MFGE8	24433.4334	MFGE8	3714.4371
MFHAS1	40.04	MFHAS1	161.5778
MFI2	1368.3684	MFI2	96.3538
MFN1	796.2963	MFN1	931.2961
MFN2	2010.01	MFN2	4052.0458
MFNG	45.045	MFNG	418.3976
MFRP	209.7097	MFRP	330.9381
MFSD10	959.96	MFSD10	322.0439
MFSD11	257.5726	MFSD11	527.4034
MFSD1	5569.0691	MFSD1	1492.3714
MFSD2A	9.009	removed	removed
MFSD2B	14.014	removed	removed
MFSD3	252.7528	MFSD3	85.9772
MFSD4	589.5896	MFSD4	218.6489
MFSD5	1497.998	MFSD5	375.0384
MFSD6L	14.5145	removed	removed
MFSD6	5149.6496	MFSD6	1102.1387
MFSD7	24.6747	MFSD7	121.6985
MFSD8	414.9149	MFSD8	319.4497
MFSD9	112.1121	MFSD9	292.026
MGAM	13.013	MGAM	7.0412
MGAT1	1157.1572	MGAT1	2854.2946
MGAT2	581.5816	MGAT2	675.2174
MGAT3	10.5105	MGAT3	425.0683
MGAT4A	676.1762	MGAT4A	446.9332
MGAT4B	673.1732	MGAT4B	771.5712
MGAT5	159.1592	MGAT5	239.0314
MGA	1055.5556	MGA	1033.2087
removed	removed	MGC12916	7.4118
MGC12982	22.022	MGC12982	55.9593
removed	removed	MGC14436	84.4948
removed	removed	MGC15885	6.3001
MGC16121	9.009	MGC16121	13.7119
MGC16142	19.5195	MGC16142	17.4178
MGC16275	17.5175	MGC16275	21.1237
MGC21881	191.6917	MGC21881	165.2837
removed	removed	MGC23270	10.3766
MGC23284	55.0551	MGC23284	56.7005
MGC2752	287.2873	MGC2752	505.8572
MGC2889	14.014	removed	removed
MGC3771	7.5626	MGC3771	7.8602
removed	removed	MGC42105	9.2648
removed	removed	MGC45800	180.1074
MGC57346	105.6056	MGC57346	152.3168
MGC70857	266.7668	MGC70857	210.1253
MGC72080	143.5385	MGC72080	86.6776
MGC87042	53.0531	MGC87042	42.618
MGEA5	3547.047	MGEA5	5937.6147
MGLL	268.7688	MGLL	24613.1953
MGMT	209.7097	MGMT	339.4617
MGP	196973.4735	MGP	9516.0448
MGRN1	1760.2603	MGRN1	921.2901
MGST1	7797.7978	MGST1	25824.6584
MGST2	2964.965	MGST2	871.2603
MGST3	4590.5906	MGST3	4502.6849
MIA3	2493.4935	MIA3	4520.8439
MIAT	24.5245	MIAT	49.3442
MIA	9932.0921	MIA	126.9053
MIB1	1762.2623	MIB1	2033.8053
MIB2	100.6006	MIB2	173.0662
MICAL1	158.1782	MICAL1	181.9678
MICAL2	492.4925	MICAL2	455.4568
MICAL3	687.1872	MICAL3	994.2966
MICALCL	6.006	removed	removed
MICALL1	1239.2392	MICALL1	494.7395
MICALL2	46.5465	MICALL2	34.8356
MICA	325.8258	MICA	327.9733
MICB	24.024	MICB	30.0179
MID1IP1	369.3694	MID1IP1	1037.2852
MID1	318.3183	MID1	487.6982
MID2	811.3113	MID2	1397.5
MIDN	1630.6306	MIDN	2195.7538
MIER1	511.011	MIER1	1111.0329
MIER2	390.3904	MIER2	299.8084
MIER3	423.9239	MIER3	598.505
MIF4GD	78.1231	MIF4GD	416.5224
MIF	5285.7157	MIF	288.9019
MIIP	204.2042	MIIP	194.9311
MINA	1611.2963	MINA	1330.4304
MINK1	510.9009	MINK1	1283.7284
MINPP1	234.7347	MINPP1	332.4204
MIOS	703.2032	MIOS	572.193
MIPEP	484.4845	MIPEP	370.5914
MIPOL1	86.5866	MIPOL1	87.8302
MIP	7.5075	removed	removed
MIR155HG	6.5065	removed	removed
MIR17HG	90.5906	MIR17HG	17.4178
MIS12	315.8158	MIS12	511.0455
MITD1	351.8519	MITD1	201.2311
MITF	80.0801	MITF	955.3845
MKI67IP	1317.7978	MKI67IP	390.2327
MKI67	634.6346	MKI67	40.765
MKKS	988.989	MKKS	1091.3915
MKL1	709.7097	MKL1	492.1453
MKL2	917.9179	MKL2	1735.1087
MKLN1	2871.8719	MKLN1	2684.9343
MKNK1	130.6306	MKNK1	654.0937
MKNK2	1307.3073	MKNK2	4896.6235
MKRN1	7286.7868	MKRN1	2690.1226
MKRN2	1409.5846	MKRN2	941.6726
MKS1	189.6897	MKS1	201.9723
MKX	6.5065	MKX	276.4611
MLEC	7138.1381	MLEC	6728.8272
MLF1IP	458.7237	MLF1IP	55.6035
MLF1	1275.7758	MLF1	570.3401
MLF2	5672.1722	MLF2	3095.9202
MLH1	675.6757	MLH1	889.0487
MLH3	269.2693	MLH3	318.7086
MLKL	321.8218	MLKL	269.4199
MLL2	1527.3223	MLL2	2096.3871
MLL3	3291.2913	MLL3	3601.0362
MLL4	880.8809	MLL4	832.7188
MLL5	3369.2242	MLL5	2307.5501
MLLT10	528.028	MLLT10	864.219
MLLT11	190.1902	MLLT11	37.0591
MLLT1	1177.6777	MLLT1	1436.7827
MLLT3	52.5526	MLLT3	321.3027
MLLT4	5036.036	MLLT4	2876.9007
MLLT6	1016.016	MLLT6	2933.2306
MLL	2310.3103	MLL	2666.7754
MLPH	317.3173	MLPH	98.9479
MLST8	405.8809	MLST8	482.8509
removed	removed	MLXIPL	2784.994
MLXIP	725.2252	MLXIP	1528.3187
MLX	693.959	MLX	1998.4287
MLYCD	322.3223	MLYCD	728.5826
MMAA	555.5556	MMAA	282.3906
MMAB	769.7698	MMAB	998.7437
MMACHC	86.5866	MMACHC	134.1541
MMADHC	3124.1241	MMADHC	1938.934
MMD	133.1331	MMD	10458.8292
MMEL1	12.3373	MMEL1	7.7157
MME	30.5305	MME	11240.4063
MMGT1	776.2763	MMGT1	1339.3171
MMP11	441.4414	MMP11	48.9181
removed	removed	MMP12	12.9707
MMP13	48.048	MMP13	5.5589
MMP14	864.3644	MMP14	1950.4223
MMP15	1944.4444	MMP15	1350.4349
MMP16	27.5275	MMP16	56.3299
removed	removed	MMP17	152.313
MMP19	372.3724	MMP19	1181.0746
MMP1	71.0711	removed	removed
MMP23B	13.013	MMP23B	36.6885
MMP24	277.7778	MMP24	501.0395
MMP25	19.5195	MMP25	9.5316
removed	removed	MMP27	49.6592
MMP28	44.044	MMP28	696.7117
MMP2	3711.2112	MMP2	9401.532
MMP3	633.6336	MMP3	24.459
MMP7	1759.2593	MMP7	64.4829
MMP9	31.031	MMP9	8.5236
MMRN1	6.006	MMRN1	1061.7442
MMRN2	388.3884	MMRN2	2760.1644
MMS19	612.1121	MMS19	1035.0616
MN1	39.5395	MN1	748.9651
MNAT1	234.7347	MNAT1	393.9386
MND1	87.5876	MND1	6.3001
MNDA	67.0671	MNDA	47.0651
MNS1	68.0681	MNS1	108.2127
MNT	420.9209	MNT	508.0807
MNX1	13.5135	removed	removed
MOAP1	558.0581	MOAP1	943.8962
MOB2	371.8719	MOB2	557.3694
MOBKL1A	1594.5946	MOBKL1A	773.4242
MOBKL1B	534.5345	MOBKL1B	619.9993
MOBKL2A	816.8168	MOBKL2A	1159.2098
MOBKL2B	432.4324	MOBKL2B	676.6998
MOBKL2C	230.2302	MOBKL2C	903.5017
MOBKL3	1421.9219	MOBKL3	952.0492
MOBP	25.5255	removed	removed
MOCOS	173.6737	MOCOS	115.2539
MOCS1	171.4064	MOCS1	4123.6923
MOCS2	1066.0661	MOCS2	1030.244
MOCS3	281.2813	MOCS3	120.0716
removed	removed	MOGAT1	10.7471
MOGAT2	26.026	MOGAT2	9.2648
MOGS	1428.4284	MOGS	707.4589
MON1A	170.1702	MON1A	181.5898
MON1B	753.2533	MON1B	626.2994
MON2	1901.4014	MON2	1817.7506
MORC2	1427.4274	MORC2	740.0709
MORC3	1048.5485	MORC3	1190.71
MORC4	691.1912	MORC4	1274.4637
MORF4L1	5311.3113	MORF4L1	5694.5067
MORF4L2	10743.7387	MORF4L2	3749.2727
MORF4	6.006	MORF4	6.6706
MORN1	7.007	MORN1	25.5708
MORN2	732.7327	MORN2	155.2778
MORN4	181.6817	MORN4	95.9832
MOSC1	584.0841	MOSC1	8764.1149
MOSC2	796.7968	MOSC2	970.2082
MOSPD1	494.4945	MOSPD1	203.0841
MOSPD2	247.7477	MOSPD2	442.4861
MOSPD3	389.3894	MOSPD3	168.9897
removed	removed	MOV10L1	28.9061
MOV10	347.8478	MOV10	362.8089
MOXD1	116.6166	MOXD1	21.1237
MPDU1	369.3694	MPDU1	1076.5679
MPDZ	545.045	MPDZ	2974.7368
MPEG1	254.2543	MPEG1	408.7623
MPG	444.4444	MPG	435.0742
MPHOSPH10	1924.9249	MPHOSPH10	784.5419
MPHOSPH6	1429.9299	MPHOSPH6	238.6608
MPHOSPH8	1106.1061	MPHOSPH8	1590.5781
MPHOSPH9	65.0651	MPHOSPH9	291.2848
MPI	320.8208	MPI	713.0178
MPL	65.0651	MPL	41.1356
MPND	131.1311	MPND	186.0369
MPP1	171.1712	MPP1	612.5875
MPP2	7.007	MPP2	62.6299
MPP3	84.0841	MPP3	34.8356
MPP5	824.8248	MPP5	1046.55
MPP6	63.5636	MPP6	170.8426
MPP7	10.01	MPP7	428.7742
MPPE1	581.5816	MPPE1	705.6059
MPPED2	26.026	MPPED2	89.3125
MPRIP	736.7367	MPRIP	3907.5152
MPST	992.4925	MPST	1047.2912
MPV17L2	289.7898	MPV17L2	139.7129
MPV17L	440.9409	MPV17L	94.8714
MPV17	2142.6426	MPV17	812.3362
MPZL1	11283.2833	MPZL1	2553.745
MPZL2	1039.039	MPZL2	70.7829
MPZL3	54.0541	removed	removed
MPZ	6.5065	MPZ	156.3896
MR1	54.0541	MR1	141.9365
MRAP2	1193.1932	MRAP2	22.6061
removed	removed	MRAP	1641.4121
MRAS	4758.7588	MRAS	9148.0475
MRC1	15.5155	MRC1	386.5268
MRC2	155.6557	MRC2	4905.5177
MRE11A	362.8629	MRE11A	515.8632
MREG	168.6687	MREG	152.9616
MRFAP1L1	1310.3103	MRFAP1L1	942.7844
MRFAP1	3522.5225	MRFAP1	5393.216
MRGPRE	6.006	removed	removed
MRGPRF	7.007	MRGPRF	612.9581
MRI1	241.7417	MRI1	312.7791
MRM1	21.021	MRM1	57.4417
MRO	36.5365	MRO	153.4248
MRP63	801.2062	MRP63	369.109
MRPL10	401.9019	MRPL10	1205.5337
MRPL11	723.7237	MRPL11	580.3461
MRPL12	251.5866	MRPL12	722.2825
MRPL13	829.3293	MRPL13	501.4101
MRPL14	682.6827	MRPL14	326.1204
MRPL15	1368.8689	MRPL15	842.3541
MRPL16	491.4915	MRPL16	873.8544
MRPL17	1367.8679	MRPL17	570.7107
MRPL18	1777.2773	MRPL18	642.976
MRPL19	1694.1942	MRPL19	1829.6095
MRPL1	450.4505	MRPL1	514.0102
MRPL20	1091.4915	MRPL20	1461.6049
MRPL21	714.7147	MRPL21	414.3211
MRPL22	444.9449	MRPL22	382.8209
MRPL23	837.8378	MRPL23	289.4318
MRPL24	1646.1461	MRPL24	1191.8218
MRPL27	418.4184	MRPL27	629.2641
MRPL28	415.9159	MRPL28	544.7693
MRPL2	475.976	MRPL2	564.7812
MRPL30	1004.3043	MRPL30	982.119
MRPL32	1126.6266	MRPL32	839.76
MRPL33	367.3674	MRPL33	551.4399
MRPL34	607.6076	MRPL34	459.5333
MRPL35	1015.015	MRPL35	1194.0453
MRPL36	181.6817	MRPL36	303.8849
MRPL37	1126.1261	MRPL37	1498.3008
MRPL38	367.8679	MRPL38	812.7661
MRPL39	987.988	MRPL39	633.7112
MRPL3	3295.7958	MRPL3	1516.8304
MRPL40	828.3283	MRPL40	710.7942
MRPL41	537.5375	MRPL41	441.7449
MRPL42P5	13.959	MRPL42P5	7.6972
MRPL42	1046.046	MRPL42	478.804
MRPL43	689.6446	MRPL43	962.7667
MRPL44	779.7798	MRPL44	678.1822
MRPL45	483.4835	MRPL45	1232.5868
MRPL46	214.7147	MRPL46	545.1399
MRPL47	1045.5455	MRPL47	521.0514
MRPL48	901.4014	MRPL48	332.0499
MRPL49	464.4645	MRPL49	916.4724
MRPL4	524.5245	MRPL4	548.8458
MRPL50	679.1792	MRPL50	423.2153
MRPL51	1826.8268	MRPL51	1184.0394
MRPL52	257.2573	MRPL52	282.02
MRPL53	213.7137	MRPL53	340.088
MRPL54	303.8038	MRPL54	495.11
MRPL55	663.6637	MRPL55	274.2376
MRPL9	2190.1602	MRPL9	902.6827
MRPS10	1185.6857	MRPS10	1172.1804
MRPS11	464.4645	MRPS11	626.2994
MRPS12	390.2953	MRPS12	193.671
MRPS14	466.967	MRPS14	515.8632
MRPS15	752.2523	MRPS15	1563.8955
MRPS16	896.3964	MRPS16	1407.506
MRPS17	465.5706	MRPS17	217.9077
MRPS18A	580.0801	MRPS18A	593.3168
MRPS18B	777.2773	MRPS18B	1399.3529
MRPS18C	468.018	MRPS18C	397.0368
MRPS21	2397.8979	MRPS21	769.3476
MRPS22	586.5866	MRPS22	713.7589
MRPS23	368.8689	MRPS23	459.1627
MRPS24	1153.6537	MRPS24	762.677
MRPS25	1165.1602	MRPS25	801.9004
MRPS26	692.1922	MRPS26	415.0623
MRPS27	961.4615	MRPS27	1544.2542
MRPS28	178.7888	MRPS28	385.5966
MRPS2	841.7718	MRPS2	640.3744
MRPS30	263.2633	MRPS30	385.0444
MRPS31	563.0631	MRPS31	456.198
MRPS33	1500	MRPS33	844.9483
MRPS34	475.4755	MRPS34	523.6456
MRPS35	851.3514	MRPS35	1081.015
MRPS36	297.7978	MRPS36	540.6928
MRPS5	639.1391	MRPS5	870.8897
MRPS6	1267.1872	MRPS6	914.638
MRPS7	351.8068	MRPS7	1245.5798
MRPS9	582.5826	MRPS9	571.8225
MRRF	1089.0891	MRRF	396.5327
MRS2P2	5.5055	removed	removed
MRS2	797.2973	MRS2	1007.6379
MRTO4	1192.6927	MRTO4	551.0693
MRVI1	152.6527	MRVI1	733.7709
MS4A14	17.017	MS4A14	14.0825
MS4A15	10.01	removed	removed
MS4A1	14.5145	MS4A1	6.6706
removed	removed	MS4A2	40.3945
MS4A4A	68.5686	MS4A4A	186.0369
MS4A6A	277.7778	MS4A6A	245.7021
MS4A7	124.6246	MS4A7	191.5957
MSC	48.994	MSC	141.099
MSH2	1029.5295	MSH2	571.4519
MSH3	293.2933	MSH3	1109.3578
MSH4	5.005	removed	removed
MSH5	174.6647	MSH5	112.3596
MSH6	1395.8959	MSH6	1211.8337
MSI2	108.6086	MSI2	113.7715
MSL1	1896.3964	MSL1	2176.483
MSL2	1231.7317	MSL2	795.6596
MSL3L2	362.8629	MSL3L2	47.4357
MSL3	867.8679	MSL3	469.5392
MSMP	26.5265	MSMP	53.7357
MSN	13971.4715	MSN	11562.8208
MSR1	204.2042	MSR1	90.0537
MSRA	415.9159	MSRA	396.1622
MSRB2	1118.6186	MSRB2	965.7611
MSRB3	252.2523	MSRB3	3768.9141
MST1P2	25.5255	MST1P2	14.0825
MST1P9	80.5806	MST1P9	20.0119
MST1R	223.2232	MST1R	49.2886
MST1	31.031	MST1	23.7178
MST4	429.9299	MST4	66.3359
MSTN	122.6226	MSTN	24.8296
MSTO1	704.6196	MSTO1	492.9754
MSTO2P	73.7588	MSTO2P	35.7991
MSX1	42.5425	MSX1	332.4204
removed	removed	MSX2	37.8003
removed	removed	MT1A	74.8595
MT1E	50.0501	MT1E	171.9544
MT1F	352.3524	MT1F	16.306
MT1G	694.1942	MT1G	17.4178
MT1L	42.042	MT1L	154.9072
removed	removed	MT1M	127.4834
MT1X	6208.7087	MT1X	2096.8059
MT2A	2585.5856	MT2A	819.7481
MTA1	680.1802	MTA1	820.4893
MTA2	653.1532	MTA2	1774.762
MTA3	1096.5966	MTA3	1153.2803
MTAP	1427.9279	MTAP	731.1767
MTBP	191.1912	MTBP	56.7005
MTCH1	2876.8769	MTCH1	3936.4213
MTCH2	3912.9129	MTCH2	2085.6881
MTCP1NB	439.4595	MTCP1NB	317.7006
MTCP1	55.5355	MTCP1	13.6081
MTDH	3459.96	MTDH	4149.1408
MTERFD1	615.1151	MTERFD1	349.4676
MTERFD2	271.7718	MTERFD2	569.9695
MTERFD3	888.8889	MTERFD3	423.5859
MTERF	473.974	MTERF	147.8659
MTF1	237.2372	MTF1	762.3064
MTF2	349.3493	MTF2	405.4269
MTFMT	208.7087	MTFMT	220.5019
MTFR1	457.958	MTFR1	525.8691
MTG1	185.6857	MTG1	300.179
MTHFD1L	210.7107	MTHFD1L	373.5561
MTHFD1	785.1051	MTHFD1	5867.0837
MTHFD2L	322.6677	MTHFD2L	110.4214
MTHFD2	760.2603	MTHFD2	156.019
MTHFR	215.7157	MTHFR	426.5395
MTHFSD	1375.8759	MTHFSD	276.4611
MTHFS	500	MTHFS	448.4155
MTIF2	876.3764	MTIF2	1052.85
MTIF3	2100.1001	MTIF3	1489.0361
MTL5	217.2172	MTL5	21.1237
MTM1	252.7528	MTM1	312.0379
MTMR10	955.9159	MTMR10	2680.6577
MTMR11	36.036	MTMR11	113.7715
MTMR12	1142.6426	MTMR12	2166.8476
MTMR14	1105.1051	MTMR14	792.3243
MTMR15	483.5235	MTMR15	841.4425
MTMR1	1201.7017	MTMR1	490.663
MTMR2	1246.2462	MTMR2	1291.1403
MTMR3	2072.5726	MTMR3	2158.324
MTMR4	668.6687	MTMR4	1029.8734
MTMR6	1002.5025	MTMR6	1006.1555
MTMR7	154.9349	MTMR7	35.8362
MTMR8	9.029	MTMR8	12.2295
MTMR9L	9.5095	MTMR9L	86.3478
MTMR9	319.7748	MTMR9	684.8195
MTO1	222.2222	MTO1	394.3092
MTOR	1147.6476	MTOR	1953.7576
MTP18	161.8118	MTP18	49.574
MTPAP	1043.5435	MTPAP	458.7921
MTRF1L	368.3684	MTRF1L	458.4215
MTRF1	254.2543	MTRF1	93.389
MTRR	434.9349	MTRR	793.8067
MTR	2847.8478	MTR	1748.45
MTSS1L	553.0531	MTSS1L	728.5826
MTSS1	582.5826	MTSS1	1058.4089
MTTP	39.039	MTTP	11.1177
MTUS1	2685.6857	MTUS1	3001.4194
MTUS2	19.5195	MTUS2	6.6706
MTX1	454.4394	MTX1	505.8572
MTX2	907.4074	MTX2	554.0341
MTX3	390.3904	MTX3	649.276
removed	removed	MUC12	5.5589
MUC13	52.5526	removed	removed
MUC15	2847.3473	MUC15	40.765
MUC16	233.7337	MUC16	10.006
MUC1	257.7578	MUC1	32.9826
MUC20	566.0661	MUC20	97.4655
removed	removed	MUC4	13.3413
MUC5B	2754.2543	MUC5B	91.1655
removed	removed	MUC6	7.4118
MUC7	8.964	removed	removed
MUCL1	392.3924	MUCL1	10.7471
MUDENG	690.6907	MUDENG	863.1073
MUL1	636.6366	MUL1	754.8946
MUM1L1	180.6807	MUM1L1	101.542
MUM1	317.8178	MUM1	1146.9802
MURC	6.5065	MURC	5.1883
MUS81	264.2643	MUS81	284.9848
MUSTN1	23.8889	MUSTN1	184.5545
MUTED	352.3524	MUTED	335.3852
MUTYH	80.7107	MUTYH	79.0545
MUT	886.3864	MUT	1872.9687
MVD	272.7728	MVD	260.5257
MVK	361.3614	MVK	299.0672
MVP	253.7538	MVP	1633.9373
MX1	555.5556	MX1	730.065
MX2	1657.6577	MX2	343.1676
MXD1	589.0891	MXD1	714.5001
MXD3	141.5516	MXD3	47.9138
MXD4	771.7718	MXD4	2122.7473
MXI1	1693.6937	MXI1	1300.7756
MXRA5	1822.3223	MXRA5	1816.2682
MXRA7	1043.043	MXRA7	5317.2447
MXRA8	305.3053	MXRA8	3047.0021
MYADM	10733.7337	MYADM	20236.882
MYBBP1A	452.8629	MYBBP1A	598.2938
MYBL1	74.0741	MYBL1	30.7591
MYBL2	693.1932	MYBL2	44.8416
MYBPC1	298.7988	removed	removed
MYB	50.5506	removed	removed
MYCBP2	776.7768	MYCBP2	6953.4055
removed	removed	MYCBPAP	10.7471
MYCBP	552.1321	MYCBP	455.0862
MYCL1	18.5185	MYCL1	7.7824
MYCN	5.005	MYCN	5.9295
MYCT1	201.2012	MYCT1	1119.1859
MYC	3239.2392	MYC	3588.4361
MYD88	1125.6256	MYD88	506.2278
MYEF2	1113.1431	MYEF2	380.816
MYEOV2	912.9129	MYEOV2	546.6222
removed	removed	MYEOV	48.1769
MYH10	514.5145	MYH10	4616.4565
MYH11	137.2523	MYH11	10114.598
MYH14	2077.0771	MYH14	2572.2746
MYH15	11.011	MYH15	20.3825
removed	removed	MYH1	269.0493
removed	removed	MYH2	8.5236
MYH3	9.5095	MYH3	25.9414
MYH7B	12.5125	MYH7B	41.5062
removed	removed	MYH9	18294.2421
MYL12A	15772.2723	MYL12A	5893.8849
MYL12B	16259.2593	MYL12B	5342.4449
removed	removed	MYL3	38.9121
removed	removed	MYL4	19.2708
MYL5	25.015	MYL5	179.407
MYL6B	337.8378	MYL6B	273.4964
MYL6	16313.3133	MYL6	23418.7793
MYL9	11234.7347	MYL9	11577.2739
MYLIP	683.6837	MYLIP	1353.029
MYLK3	24.024	MYLK3	11.4883
MYLK4	127.6276	MYLK4	31.8709
MYLK	2701.2012	MYLK	4069.8009
MYLPF	8.008	removed	removed
MYNN	638.1381	MYNN	554.4047
MYO10	987.4875	MYO10	856.8072
MYO15A	5.5055	MYO15A	6.6706
MYO15B	25.025	MYO15B	565.5224
MYO16	19.5195	MYO16	347.2441
MYO18A	203.6186	MYO18A	1043.7224
removed	removed	MYO18B	5.1883
MYO19	287.2823	MYO19	226.0755
MYO1B	1112.6126	MYO1B	2063.0821
MYO1C	1897.3974	MYO1C	20693.0799
MYO1D	866.8669	MYO1D	812.3362
MYO1E	2081.0811	MYO1E	556.9988
MYO1F	53.0531	MYO1F	72.2653
MYO1G	6.5065	MYO1G	12.9707
MYO1H	76.0761	MYO1H	9.2648
MYO3B	8.008	removed	removed
MYO5A	811.8118	MYO5A	1001.7084
MYO5B	2957.4575	MYO5B	86.7184
MYO5C	833.7387	MYO5C	485.7934
MYO6	3515.5155	MYO6	1242.2222
MYO7A	42.042	MYO7A	156.3896
removed	removed	MYO7B	13.7119
MYO9A	391.3914	MYO9A	1079.5326
MYO9B	710.7107	MYO9B	947.6021
removed	removed	MYOCD	96.3538
removed	removed	MYOC	1970.4342
MYOF	1654.6547	MYOF	3012.1665
MYOM1	56.5566	MYOM1	2877.2713
MYOM2	17.017	MYOM2	53.7357
MYOM3	7.5075	removed	removed
removed	removed	MYOT	6.3001
removed	removed	MYOZ1	12.6001
removed	removed	MYOZ3	12.2295
MYPOP	145.1451	MYPOP	116.3657
MYRIP	11.011	MYRIP	259.7845
MYSM1	61.0611	MYSM1	170.1014
MYST1	429.9299	MYST1	465.4627
MYST2	932.4324	MYST2	1231.1045
MYST3	1387.3874	MYST3	2103.8471
MYST4	553.5536	MYST4	1624.3019
MZF1	45.4404	MZF1	96.1462
N4BP1	1889.8899	N4BP1	1549.0719
N4BP2L1	1043.5435	N4BP2L1	439.5213
N4BP2L2	2196.1962	N4BP2L2	1518.6834
N4BP2	50.5506	N4BP2	262.7493
N4BP3	99.5996	N4BP3	58.5534
N6AMT1	436.9369	N6AMT1	244.5903
N6AMT2	408.4084	N6AMT2	157.5013
NAA10	1097.5976	NAA10	579.9755
NAA15	1142.1421	NAA15	858.6602
NAA16	298.7988	NAA16	278.6847
NAA20	2168.6687	NAA20	898.3134
NAA25	904.4044	NAA25	519.5691
NAA30	324.8248	NAA30	882.7486
NAA35	554.5546	NAA35	415.4329
NAA38	785.2853	NAA38	358.3618
NAA40	598.0981	NAA40	234.2137
NAA50	4826.8268	NAA50	3468.7351
NAAA	1774.7748	NAAA	368.3678
NAALAD2	14.5145	NAALAD2	717.8355
NAALADL1	12.5125	NAALADL1	82.6419
NAALADL2	1064.0641	NAALADL2	162.319
NAB1	1933.9339	NAB1	2272.4662
NAB2	849.8498	NAB2	349.0971
NACA2	91.5916	NACA2	32.9826
removed	removed	NACAD	189.7428
NACAP1	324.3243	NACAP1	125.2599
NACA	36466.967	NACA	14144.3602
NACC1	965.966	NACC1	581.0872
NACC2	22.5225	NACC2	90.0537
NADK	637.1371	NADK	1751.4147
NADSYN1	560.0601	NADSYN1	492.5159
NAE1	1391.8919	NAE1	835.6835
NAF1	177.6777	NAF1	228.6549
NAGA	1086.0861	NAGA	483.9923
NAGK	1144.1441	NAGK	690.4117
NAGLU	258.7588	NAGLU	924.6254
NAGPA	171.1712	NAGPA	178.2544
NAIF1	111.6116	NAIF1	166.0249
NAIP	52.5526	NAIP	36.6885
NALCN	350.3504	NALCN	15.5648
NAMPT	3933.9339	NAMPT	3073.6847
NANOS1	256.2563	NANOS1	343.5382
NANOS3	11.011	removed	removed
NANP	541.5415	NANP	202.3429
NANS	1502.5526	NANS	460.6451
NAP1L1	9813.3133	NAP1L1	7735.3533
NAP1L2	93.5936	NAP1L2	119.3304
NAP1L3	15.5155	NAP1L3	65.2241
NAP1L4	3933.4334	NAP1L4	1889.2747
