gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
NEK7	2370.3504	NEK7	4322.4888
NEK8	151.2074	NEK8	26.4335
NEK9	2634.0217	NEK9	4058.1537
NELF	493.98	NELF	483.9366
NELL2	802.3138	NELL2	23.9935
NENF	1389.6549	NENF	834.0789
NEO1	1793.2333	NEO1	1047.987
NES	554.7858	NES	1729.9715
NET1	455.7745	NET1	3335.9089
NETO2	39.0126	NETO2	13.4201
NEU1	3602.3408	NEU1	1023.9935
NEU3	201.2511	NEU3	89.8739
NEURL1B	541.6022	NEURL1B	2036.6002
NEURL2	8.7577	NEURL2	14.693
NEURL4	589.0011	NEURL4	308.2554
NEURL	48.4294	removed	removed
NEXN	94.7064	NEXN	511.9967
NF1	2975.9871	NF1	2307.0354
NF2	1455.5727	NF2	696.218
NFAM1	339.0059	NFAM1	120.7808
NFASC	80.4843	NFASC	195.856
NFAT5	1072.4423	NFAT5	3043.107
NFATC1	544.0237	NFATC1	639.6909
NFATC2IP	1131.0957	NFATC2IP	857.259
NFATC2	78.8323	NFATC2	78.4872
NFATC3	459.0032	NFATC3	1423.3428
NFATC4	892.7154	NFATC4	407.076
NFE2L1	8747.4272	NFE2L1	9476.2098
NFE2L2	1935.3656	NFE2L2	2989.9471
NFE2L3	702.7645	NFE2L3	194.7946
NFIA	2064.9761	NFIA	4091.5006
NFIB	211.7441	NFIB	6390.4026
NFIC	1811.2598	NFIC	2030.9069
NFIL3	39.0126	NFIL3	703.1314
NFIX	10519.4054	NFIX	5431.4762
NFKB1	2724.4232	NFKB1	1230.9882
NFKB2	739.8937	NFKB2	352.989
NFKBIA	1318.8942	NFKBIA	2103.294
NFKBIB	221.43	NFKBIB	114.2741
NFKBID	30.941	NFKBID	49.207
NFKBIE	329.32	NFKBIE	51.647
NFKBIL1	408.6904	NFKBIL1	179.3412
NFKBIL2	107.3519	NFKBIL2	16.9174
NFKBIZ	279.0072	NFKBIZ	1790.1586
NFRKB	969.6644	NFRKB	636.8442
NFS1	534.3378	NFS1	597.804
NFU1	577.3862	NFU1	1762.0984
NFX1	1367.5927	NFX1	1281.8219
NFXL1	323.3067	NFXL1	188.6946
NFYA	1179.5251	NFYA	864.5791
NFYB	604.2914	NFYB	824.7255
NFYC	1310.2038	NFYC	881.9073
NGDN	422.4121	NGDN	387.5559
NGEF	68.0702	removed	removed
NGFRAP1	930.9208	NGFRAP1	867.0191
NGFR	77.4871	NGFR	165.5144
removed	removed	NGF	12.6068
NGLY1	787.516	NGLY1	612.8508
NGRN	2591.8531	NGRN	2701.0939
NHEDC1	8.6097	NHEDC1	9.7601
NHEDC2	34.4387	NHEDC2	223.6682
NHEJ1	153.3598	NHEJ1	343.0134
NHLH1	12.6455	NHLH1	18.3001
NHLRC1	156.5884	NHLRC1	50.427
NHLRC2	358.1086	NHLRC2	379.8292
NHLRC3	1021.0533	NHLRC3	1582.3505
NHLRC4	280.0834	NHLRC4	14.2334
NHP2L1	1854.8463	NHP2L1	1349.7357
NHP2	963.4762	NHP2	567.7105
NHSL1	270.1285	NHSL1	409.1094
NHSL2	122.4188	NHSL2	246.8483
NHS	87.9801	NHS	1087.4339
NICN1	282.1739	NICN1	561.0533
NID1	2080.0242	NID1	7879.8902
NID2	679.8951	NID2	2278.9752
NIF3L1	561.243	NIF3L1	369.2558
NINJ1	2230.9814	NINJ1	1034.1602
NINJ2	49.2393	NINJ2	180.9679
NINL	244.0304	NINL	122.0008
NIN	1797.8072	NIN	1555.5104
NIP7	210.937	NIP7	363.5624
NIPA1	522.2304	NIPA1	437.9829
NIPA2	1159.8843	NIPA2	805.612
removed	removed	NIPAL1	7.7267
NIPAL2	154.436	NIPAL2	251.7283
NIPAL3	2493.0383	NIPAL3	671.8178
NIPAL4	6.7263	removed	removed
NIPBL	3021.726	NIPBL	2693.3713
NIPSNAP1	1596.5561	NIPSNAP1	391.2159
NIPSNAP3A	386.6281	NIPSNAP3A	1226.9215
NIPSNAP3B	19.3718	NIPSNAP3B	1225.917
NISCH	2678.4153	NISCH	2545.3436
NIT1	1274.0432	NIT1	905.5714
NIT2	894.5988	NIT2	850.7523
NKAIN1	915.5849	removed	removed
removed	removed	NKAIN2	22.3668
NKAIN4	8.0716	removed	removed
removed	removed	NKAPL	90.6873
NKAP	301.8766	NKAP	317.6088
NKD1	12.3764	NKD1	26.4335
NKD2	25.829	NKD2	5.6934
removed	removed	NKG7	66.2871
NKIRAS1	238.9184	NKIRAS1	321.6755
NKIRAS2	581.1529	NKIRAS2	819.4388
NKPD1	34.1696	removed	removed
NKRF	267.9761	NKRF	182.1879
NKTR	2492.7692	NKTR	3782.0252
NKX3-1	1568.5747	NKX3-1	47.987
NKX3-2	11.3002	removed	removed
NKX6-1	58.1153	removed	removed
NLE1	215.5109	NLE1	306.6287
removed	removed	NLGN1	82.5539
NLGN2	509.585	NLGN2	497.7633
NLGN3	16.4122	NLGN3	28.8735
NLGN4X	26.3671	NLGN4X	328.9955
NLK	1179.5251	NLK	323.7088
NLN	431.2908	NLN	204.9614
NLRC3	63.2273	NLRC3	85.4006
NLRC4	30.4029	NLRC4	41.0736
NLRC5	237.035	NLRC5	760.8784
NLRP12	44.6627	NLRP12	6.9134
NLRP1	94.7064	NLRP1	1077.2672
NLRP2	1121.4098	NLRP2	6.1
NLRP3	34.9768	NLRP3	143.961
NLRP6	90.1325	removed	removed
NLRP7	13.4526	removed	removed
NLRP8	8.6097	removed	removed
NLRP9	7.2644	NLRP9	6.5067
NLRX1	411.919	NLRX1	738.9183
NMB	19.9099	NMB	1210.2481
NMD3	1052.5325	NMD3	1516.0634
NME1-NME2	16.9826	NME1-NME2	29.9146
NME1	922.139	NME1	223.8715
NME2P1	41.9722	NME2P1	53.6804
NME2	3743.7304	NME2	3590.4595
NME3	906.9752	NME3	226.1082
NME4	2764.243	NME4	1197.2346
NME5	164.1219	NME5	31.3135
NME6	265.2855	NME6	216.7548
NME7	418.0507	NME7	187.9829
NMI	367.5254	NMI	375.7625
NMNAT1	363.7587	NMNAT1	505.0834
NMNAT2	10.224	NMNAT2	1161.0411
NMNAT3	196.9463	NMNAT3	267.9951
NMRAL1	1195.3992	NMRAL1	290.3619
NMT1	2660.6578	NMT1	3595.7706
NMT2	100.6255	NMT2	2737.6983
removed	removed	NMUR1	206.9947
NNAT	23.9457	NNAT	427.4095
NNMT	445.5505	NNMT	2861.3257
NNT	2201.9237	NNT	3831.5738
NOB1	357.3014	NOB1	800.732
NOC2L	1435.2701	NOC2L	685.2094
NOC3L	367.7944	NOC3L	416.8361
NOC4L	238.3803	NOC4L	114.6808
NOD1	374.2517	NOD1	622.6108
NOD2	186.9913	NOD2	31.3135
removed	removed	NODAL	45.547
removed	removed	NOG	5.6934
NOL10	728.3245	NOL10	651.4843
NOL11	926.885	NOL11	785.2786
NOL12	307.1797	NOL12	103.7007
NOL3	594.5867	NOL3	396.5026
NOL6	1246.5191	NOL6	551.4437
NOL7	636.0396	NOL7	469.7031
NOL8	1052.9845	NOL8	870.2725
NOL9	178.6507	NOL9	241.5616
NOLC1	2391.6056	NOLC1	972.3465
NOM1	203.4035	NOM1	410.7361
NOMO1	5446.694	NOMO1	2357.8691
NOMO2	1519.6072	NOMO2	681.5779
NOMO3	1093.1593	NOMO3	614.0708
NONO	6848.4563	NONO	4956.0797
NOP10	757.9202	NOP10	944.693
NOP14	1177.9512	NOP14	796.1854
NOP16	95.7826	NOP16	72.3871
NOP2	500.4372	NOP2	241.1549
NOP56	1195.9373	NOP56	1013.4201
NOP58	1254.5907	NOP58	651.891
NOS1AP	617.744	NOS1AP	32.9402
NOS2	9.4814	NOS2	17.56
NOS3	77.2476	NOS3	228.5319
NOSIP	657.8328	NOSIP	351.3623
NOSTRIN	1691.8006	NOSTRIN	1103.294
NOTCH1	478.644	NOTCH1	1934.9329
NOTCH2NL	2065.6676	NOTCH2NL	1084.8028
NOTCH2	7985.2021	NOTCH2	10636.8442
NOTCH3	3456.7835	NOTCH3	3073.2005
NOTCH4	343.8488	NOTCH4	2340.3823
NOVA1	83.9443	NOVA1	862.9524
NOVA2	19.9099	NOVA2	95.1606
NOV	19.3718	NOV	279.7885
NOX4	117.8449	NOX4	407.4827
NOX5	67.0263	NOX5	28.1903
NOXA1	209.3227	NOXA1	10.9801
NOXO1	9.9549	removed	removed
NPAS1	21.2551	removed	removed
NPAS2	2184.7044	NPAS2	156.161
NPAS3	178.3817	NPAS3	82.9606
NPAT	606.4438	NPAT	659.2111
NPC1L1	35.784	NPC1L1	98.8207
NPC1	726.0402	NPC1	1124.876
NPC2	1840.0484	NPC2	3562.0171
NPDC1	1643.9093	NPDC1	670.5978
NPEPL1	456.0436	NPEPL1	444.4896
NPEPPS	2113.9436	NPEPPS	3285.4819
NPFF	6.4573	NPFF	17.4868
NPHP1	217.1252	NPHP1	80.5205
NPHP3	322.0556	NPHP3	1080.9272
NPHP4	366.4492	NPHP4	161.8544
NPIPL3	533.9288	NPIPL3	497.0882
NPIP	876.8063	NPIP	823.2696
NPLOC4	2421.7394	NPLOC4	2550.6303
NPL	108.6971	NPL	163.4811
NPM1	7609.8742	NPM1	6891.0126
NPM3	116.4996	NPM3	65.8804
NPNT	4848.0527	NPNT	450.9963
NPR1	68.0702	NPR1	4840.1789
NPR2	114.8853	NPR2	1162.2611
NPR3	5.6501	NPR3	137.0476
NPRL2	640.2798	NPRL2	220.4148
NPRL3	1056.8373	NPRL3	982.5132
NPTN	4196.6772	NPTN	1971.9398
removed	removed	NPTX1	32.5336
NPTX2	29.8648	NPTX2	13.8268
NPTXR	1540.5933	NPTXR	389.1826
NPY1R	186223.986	NPY1R	1456.283
NPY5R	2814.8248	NPY5R	150.4677
removed	removed	NPY6R	6.5067
NQO1	2156.992	NQO1	1417.2428
NQO2	496.1324	NQO2	1610.8174
NR1D1	585.2559	NR1D1	1716.2302
NR1D2	1510.9975	NR1D2	3716.9581
NR1H2	1034.2369	NR1H2	899.5527
NR1H3	449.5863	NR1H3	1662.4644
NR1I3	13.5253	NR1I3	5.9333
NR2C1	136.6785	NR2C1	587.2306
NR2C2AP	309.959	NR2C2AP	157.5112
NR2C2	1478.7059	NR2C2	1829.4144
NR2E3	32.2863	removed	removed
NR2F1	64.8416	NR2F1	361.1224
NR2F2	1565.3461	NR2F2	2163.0744
NR2F6	1095.3118	NR2F6	446.523
NR3C1	961.5928	NR3C1	8866.6124
NR3C2	151.7455	NR3C2	755.5917
NR4A1	336.5844	NR4A1	3444.4896
NR4A2	418.6453	NR4A2	466.0431
NR4A3	14.5288	NR4A3	191.5413
NR5A2	18.8337	NR5A2	495.3233
NR6A1	32.2863	removed	removed
NRARP	320.4412	NRARP	210.2481
NRAS	1125.1766	NRAS	1269.6218
NRBF2	283.312	NRBF2	753.1517
NRBP1	1905.4281	NRBP1	1840.5856
NRBP2	211.7441	NRBP2	1329.8089
NRCAM	51.389	NRCAM	39.4469
NRD1	3119.661	NRD1	4263.1151
NRF1	294.6122	NRF1	320.4555
NRG1	6.7263	removed	removed
removed	removed	NRG2	82.5539
NRGN	14.7979	NRGN	51.647
NRIP1	2884.5093	NRIP1	7182.1879
NRIP2	47.0841	NRIP2	129.3209
NRIP3	2753.4809	NRIP3	20.7401
NRK	23.6766	NRK	88.6539
NRL	25.6622	NRL	29.8089
NRM	118.9211	NRM	200.488
removed	removed	NRN1L	6.1854
NRN1	65.3797	NRN1	2847.499
NRP1	992.5338	NRP1	12237.0882
NRP2	625.8156	NRP2	1691.7446
NRSN2	1142.3959	NRSN2	459.1297
NRTN	5.6501	removed	removed
removed	removed	NRXN1	8.9467
NRXN2	14.5288	NRXN2	14.2334
NRXN3	87.711	NRXN3	15.0468
NSA2	1283.6483	NSA2	2384.3026
NSD1	3512.4773	NSD1	2500.61
NSDHL	493.98	NSDHL	563.6438
NSFL1C	1521.2215	NSFL1C	1296.462
NSF	2725.7685	NSF	708.0114
NSL1	957.8261	NSL1	737.2916
NSMAF	571.198	NSMAF	1067.4339
NSMCE1	1312.706	NSMCE1	786.9052
NSMCE2	258.2902	NSMCE2	272.0618
NSMCE4A	486.7155	NSMCE4A	679.5445
NSUN2	1339.0731	NSUN2	840.9923
NSUN3	133.1082	NSUN3	96.3725
NSUN4	907.5133	NSUN4	581.5372
NSUN5P1	54.8867	NSUN5P1	72.3871
NSUN5P2	348.7994	NSUN5P2	153.9366
NSUN5	1052.8015	NSUN5	207.4014
NSUN6	312.9078	NSUN6	187.4746
NSUN7	305.1053	NSUN7	16.6734
NT5C2	752.8082	NT5C2	1274.0952
NT5C3L	428.6003	NT5C3L	584.3839
NT5C3	475.1463	NT5C3	422.9362
NT5C	189.1437	NT5C	99.2273
NT5DC1	1589.8298	NT5DC1	1249.2883
NT5DC2	541.8713	NT5DC2	414.9085
NT5DC3	140.1762	NT5DC3	381.0492
NT5E	69.9536	NT5E	1532.3302
NT5M	65.3797	NT5M	33.3469
NTAN1	393.6235	NTAN1	1032.5336
removed	removed	NTF3	15.4534
NTHL1	251.0258	NTHL1	56.9337
NTM	164.3909	NTM	649.451
NTN1	1182.4847	NTN1	185.8479
NTN3	9.9549	removed	removed
NTN4	5389.6549	NTN4	1305.4087
NTN5	8.6097	removed	removed
NTNG1	107.3519	NTNG1	12.6068
NTNG2	5.381	NTNG2	6.1
NTRK2	245.3757	NTRK2	9599.024
NTRK3	23.9457	NTRK3	531.1102
NTSR1	16.6812	removed	removed
removed	removed	NTSR2	36.1936
NUAK1	433.4432	NUAK1	2164.2944
NUAK2	209.3227	NUAK2	45.1403
NUB1	774.0122	NUB1	2195.4697
NUBP1	712.9724	NUBP1	264.4164
NUBP2	951.9069	NUBP2	277.3485
NUBPL	341.9654	NUBPL	734.4449
NUCB1	5511.8047	NUCB1	6379.8292
NUCB2	14929.7074	NUCB2	809.6747
NUCKS1	11141.7233	NUCKS1	9619.7641
NUDCD1	282.7739	NUDCD1	447.3363
NUDCD2	341.9654	NUDCD2	383.8959
NUDCD3	3794.4441	NUDCD3	2634.4042
NUDC	2036.4566	NUDC	703.9447
NUDT10	6.1882	NUDT10	5.6934
NUDT11	11.8383	NUDT11	15.8601
NUDT12	999.2601	NUDT12	398.9427
NUDT13	71.2827	NUDT13	95.4778
NUDT14	335.7772	NUDT14	236.2749
NUDT15	294.8275	NUDT15	562.1879
NUDT16L1	1074.0566	NUDT16L1	280.1952
NUDT16P1	206.6321	NUDT16P1	185.8479
NUDT16	979.6193	NUDT16	1208.2147
NUDT17	65.6488	NUDT17	35.7869
NUDT18	267.707	NUDT18	76.0472
NUDT19	403.0403	NUDT19	338.3489
NUDT1	51.9271	NUDT1	81.7405
NUDT21	1444.0035	NUDT21	2516.0634
NUDT22	445.9272	NUDT22	145.8398
NUDT2	365.9111	NUDT2	222.8548
NUDT3	560.4359	NUDT3	435.5429
NUDT4	474.3391	NUDT4	1662.4644
NUDT5	642.5641	NUDT5	539.4185
NUDT6	162.9219	NUDT6	149.1989
NUDT7	24.4838	NUDT7	295.242
NUDT8	40.8959	NUDT8	66.2871
removed	removed	NUDT9P1	7.7267
NUDT9	619.8964	NUDT9	509.5567
NUF2	104.3923	removed	removed
NUFIP1	161.9695	NUFIP1	183.4079
NUFIP2	3816.7754	NUFIP2	3031.7202
NUMA1	12728.9406	NUMA1	6265.3762
NUMBL	299.9933	NUMBL	731.5982
NUMB	2028.6541	NUMB	2037.4136
NUP107	711.3742	NUP107	849.5323
NUP133	2396.9866	NUP133	1652.7044
NUP153	1472.254	NUP153	1605.9374
NUP155	583.3053	NUP155	576.2505
NUP160	1307.0559	NUP160	1362.7491
NUP188	1737.0014	NUP188	1114.2741
NUP205	825.9904	NUP205	1004.4734
NUP210	2547.6559	NUP210	67.5071
NUP214	1677.5409	NUP214	1716.1448
NUP35	221.161	NUP35	146.401
NUP37	261.2497	NUP37	237.4949
NUP43	1245.4429	NUP43	683.2046
NUP50	1896.2804	NUP50	1015.8601
NUP54	727.7864	NUP54	1042.7003
NUP62CL	60.8058	removed	removed
NUP62	1264.8577	NUP62	676.4376
NUP85	510.9302	NUP85	509.1501
NUP88	665.2452	NUP88	803.29
NUP93	438.2861	NUP93	485.5632
NUP98	3091.4105	NUP98	2642.9443
NUPL1	1443.7344	NUPL1	709.6381
NUPL2	862.0435	NUPL2	280.6019
NUPR1	1659.2453	NUPR1	1555.5104
NUS1	997.3767	NUS1	1213.5014
NUSAP1	407.8832	NUSAP1	17.8935
NUTF2	655.6804	NUTF2	925.1728
NVL	954.5974	NVL	316.7954
NWD1	32.5553	NWD1	9.3534
NXF1	1652.519	NXF1	1281.4152
NXF5	12.9145	removed	removed
removed	removed	NXNL1	19.9268
NXNL2	99.5493	removed	removed
NXN	223.3134	NXN	291.5819
NXPH3	231.1159	NXPH3	134.6076
NXPH4	33.0934	NXPH4	59.3737
NXT1	217.1252	NXT1	138.2676
NXT2	302.9528	NXT2	337.1289
NYNRIN	644.1111	NYNRIN	1160.6344
OAF	346.2703	OAF	851.9723
OAS1	427.7931	OAS1	851.5657
OAS2	1138.8982	OAS2	1983.7332
OAS3	582.7672	OAS3	1310.6954
OASL	28.5195	OASL	223.2615
OAT	4174.3459	OAT	2156.161
OAZ1	8217.3942	OAZ1	6920.2928
OAZ2	1481.4018	OAZ2	1440.0163
OAZ3	283.9443	OAZ3	47.7999
OBFC1	589.4935	OBFC1	776.7385
OBFC2A	150.6693	OBFC2A	538.0236
OBFC2B	844.8241	OBFC2B	367.6291
OBP2B	13.7217	removed	removed
OBSCN	942.9125	OBSCN	85.4006
OBSL1	873.3436	OBSL1	843.4323
OCEL1	323.4008	OCEL1	265.5551
OCIAD1	4819.8022	OCIAD1	3065.4738
OCIAD2	803.121	OCIAD2	134.6076
OCLM	6.1882	OCLM	14.2334
OCLN	710.8361	OCLN	23.9935
OCRL	1888.4778	OCRL	1656.3644
ODC1	835.9454	ODC1	1499.39
ODF2L	534.0687	ODF2L	489.2233
ODF2	1907.8496	ODF2	466.0431
ODF3B	153.8979	ODF3B	100.854
removed	removed	ODF3L1	50.427
removed	removed	ODZ1	275.3152
ODZ2	121.8807	ODZ2	9.7601
ODZ3	154.9741	ODZ3	2324.1155
ODZ4	192.3724	ODZ4	719.8048
OFD1	1149.9294	OFD1	409.9227
OGDH	4994.9553	OGDH	5737.2916
OGFOD1	630.3895	OGFOD1	718.5848
OGFOD2	272.9132	OGFOD2	111.4274
OGFRL1	865.003	OGFRL1	741.7649
OGFR	615.0535	OGFR	318.0155
OGG1	329.2312	OGG1	312.863
OGN	136.4095	OGN	2917.0394
OGT	3717.2261	OGT	5701.098
OIP5	53.98	removed	removed
OLA1	3244.5012	OLA1	1456.6897
OLFM1	144.4811	OLFM1	706.3847
OLFM2	235.9588	OLFM2	2045.1403
OLFM4	6.9954	OLFM4	28.0602
OLFML1	133.1809	OLFML1	1052.4603
OLFML2A	634.9633	OLFML2A	1363.1558
OLFML2B	996.8386	OLFML2B	717.7715
OLFML3	867.4245	OLFML3	1422.9362
OLR1	358.3776	removed	removed
OMA1	750.3814	OMA1	388.3693
OMD	384.4757	OMD	486.3766
removed	removed	ONECUT2	6.9134
removed	removed	OOEP	5.4982
OPA1	1968.3864	OPA1	2765.7584
OPA3	673.7069	OPA3	453.0297
OPCML	74.5275	OPCML	21.5535
OPHN1	299.9933	OPHN1	492.0699
OPLAH	206.094	OPLAH	367.6291
OPN3	524.4232	OPN3	262.1513
removed	removed	OPN4	18.3001
removed	removed	OPRK1	10.9801
OPRL1	161.9695	OPRL1	36.1936
OPTN	1268.8505	OPTN	3927.2062
OR13J1	6.7263	removed	removed
removed	removed	OR2A1	6.1
OR2A4	13.1836	OR2A4	22.3668
OR2A7	98.7422	OR2A7	64.6604
OR2A9P	73.9894	OR2A9P	293.6153
OR2B6	6.1882	removed	removed
OR2C1	6.7263	removed	removed
OR2W3	15.9198	OR2W3	7.32
OR51E1	23.6766	OR51E1	156.9744
OR51E2	8.8787	OR51E2	13.0134
removed	removed	OR52N4	8.9467
OR7E91P	17.7574	removed	removed
ORAI1	448.5101	ORAI1	233.8349
ORAI2	739.2319	ORAI2	326.5067
ORAI3	847.5146	ORAI3	614.8841
ORAOV1	221.43	ORAOV1	148.0277
ORC1L	43.5865	removed	removed
ORC2L	488.3299	ORC2L	824.7255
ORC3L	752.2701	ORC3L	925.1728
ORC4L	643.8421	ORC4L	623.4242
ORC5L	216.049	ORC5L	264.3351
ORC6L	25.56	removed	removed
ORM1	6.1882	removed	removed
removed	removed	ORM2	6.5067
ORMDL1	587.8792	ORMDL1	742.5783
ORMDL2	530.6679	ORMDL2	338.5441
ORMDL3	1830.3625	ORMDL3	9526.2302
OS9	7766.7317	OS9	5229.7682
OSBP2	203.9416	OSBP2	24.8068
OSBPL10	900.787	OSBPL10	394.4693
OSBPL11	364.0277	OSBPL11	847.499
OSBPL1A	1958.4314	OSBPL1A	5229.3615
OSBPL2	1316.2037	OSBPL2	949.1663
OSBPL3	227.0801	OSBPL3	103.7007
OSBPL5	982.5789	OSBPL5	432.2895
OSBPL6	20.717	OSBPL6	54.4937
OSBPL7	145.8263	OSBPL7	105.3274
OSBPL8	1134.5934	OSBPL8	3466.0431
OSBPL9	1337.7279	OSBPL9	1697.0313
OSBP	3374.7225	OSBP	2416.0228
OSCAR	46.277	OSCAR	16.6734
OSCP1	515.5041	OSCP1	232.6149
OSGEPL1	192.6414	OSGEPL1	197.6413
OSGEP	339.813	OSGEP	245.2216
OSGIN1	46.277	OSGIN1	121.5941
OSGIN2	1011.9056	OSGIN2	2072.3871
OSMR	1207.5066	OSMR	1254.1684
OSM	8.3406	OSM	15.0468
OSR1	16.4122	OSR1	215.1281
OSR2	23.4075	OSR2	832.4522
OST4	1996.0826	OST4	2026.4294
OSTCL	8.3406	removed	removed
OSTC	1369.207	OSTC	924.3595
OSTF1	696.8454	OSTF1	752.745
OSTM1	664.5591	OSTM1	1555.5104
OSTalpha	39.5507	OSTalpha	27.2468
OTOA	7.8025	OTOA	26.0268
OTUB1	1721.6654	OTUB1	779.5852
OTUB2	183.7627	OTUB2	49.207
OTUD1	258.5592	OTUD1	463.1964
OTUD3	427.255	OTUD3	390.8093
OTUD4	1061.4112	OTUD4	1374.9492
OTUD5	1118.1812	OTUD5	1243.1883
OTUD6B	147.1716	OTUD6B	285.8886
removed	removed	OTUD7A	7.7267
OTUD7B	2884.2403	OTUD7B	1015.0468
OTX1	23.1385	removed	removed
OVCA2	576.0328	OVCA2	289.2843
OVGP1	74.7965	OVGP1	27.6535
OVOL1	775.4086	removed	removed
OVOL2	325.0151	removed	removed
OXA1L	1898.4328	OXA1L	4064.6604
OXCT1	781.0587	OXCT1	5650.671
OXCT2	6.4573	removed	removed
OXER1	14.5288	OXER1	16.6734
removed	removed	OXGR1	8.5401
OXNAD1	217.3942	OXNAD1	355.0224
OXR1	1181.6775	OXR1	3215.1281
OXSM	235.9588	OXSM	188.6946
OXSR1	1098.5404	OXSR1	1769.0118
OXTR	49.2366	OXTR	15.0468
removed	removed	P2RX1	15.0468
P2RX4	1523.912	P2RX4	277.7552
P2RX5	21.7018	P2RX5	12.4725
removed	removed	P2RX6	10.5734
P2RX7	83.6753	P2RX7	68.3205
P2RY10	17.4884	removed	removed
P2RY11	38.0171	removed	removed
P2RY12	9.1478	P2RY12	100.4473
P2RY13	104.1232	P2RY13	215.9414
P2RY14	10.493	P2RY14	424.5628
P2RY1	8.0716	P2RY1	33.3469
P2RY2	261.2497	P2RY2	5.2867
P2RY6	14.2598	P2RY6	14.2334
P2RY8	36.5911	P2RY8	51.647
P4HA1	1633.9544	P4HA1	750.7117
P4HA2	557.4763	P4HA2	387.1492
P4HA3	97.1279	P4HA3	18.7068
P4HB	25350.3733	P4HB	9070.3538
P4HTM	1348.2209	P4HTM	276.1285
P704P	11.3002	P704P	11.7934
PA2G4P4	38.4745	PA2G4P4	34.1602
PA2G4	2698.0561	PA2G4	2468.4831
PAAF1	378.8256	PAAF1	481.9032
PABPC1L	262.595	PABPC1L	58.9671
PABPC1	16581.96	PABPC1	26985.7666
PABPC3	208.5155	PABPC3	308.2554
PABPC4L	12.9145	PABPC4L	106.1407
PABPC4	1530.1002	PABPC4	4343.6356
PABPC5	8.6097	PABPC5	114.6808
PABPN1	1790.7796	PABPN1	1706.4864
PACRGL	198.5606	PACRGL	160.2277
PACS1	2026.2326	PACS1	2581.1305
PACS2	1127.8671	PACS2	1692.8548
PACSIN1	102.5089	PACSIN1	15.4534
PACSIN2	1823.0981	PACSIN2	438.7963
PACSIN3	512.5446	PACSIN3	89.0606
PADI2	251.8329	PADI2	23.9935
removed	removed	PADI3	6.9134
PAF1	1684.5362	PAF1	742.985
PAFAH1B1	3938.9251	PAFAH1B1	4751.1183
PAFAH1B2	760.8798	PAFAH1B2	661.2444
PAFAH1B3	962.4968	PAFAH1B3	23.0826
PAFAH2	1102.0381	PAFAH2	422.9362
PAG1	78.5633	PAG1	311.1021
PAH	25.56	removed	removed
PAICS	2342.369	PAICS	1222.4481
PAIP1	1243.2905	PAIP1	1309.0687
PAIP2B	430.4836	PAIP2B	668.5645
PAIP2	1610.8159	PAIP2	3036.1936
PAK1IP1	243.7614	PAK1IP1	281.8219
PAK1	1421.9412	PAK1	562.4237
PAK2	3961.7946	PAK2	3590.4839
removed	removed	PAK3	13.4201
PAK4	2006.5918	PAK4	161.0411
PAK6	187.7743	PAK6	9.7601
PALB2	514.966	PALB2	285.0752
PALLD	6868.6352	PALLD	2792.5986
PALM2-AKAP2	340.9457	PALM2-AKAP2	9653.9
PALM2	22.0757	PALM2	129.0972
PALM3	7.2644	removed	removed
PALMD	323.1318	PALMD	8433.5096
PALM	346.2703	PALM	2074.0138
PAMR1	68.3393	PAMR1	431.4762
PAM	7922.2439	PAM	7080.5205
PAN2	751.732	PAN2	921.1061
PAN3	1377.0095	PAN3	1297.682
PANK1	11.5692	PANK1	144.3676
PANK2	387.7043	PANK2	590.4839
PANK3	1243.8286	PANK3	615.2908
PANK4	376.9422	PANK4	253.7617
PANX1	532.7235	PANX1	281.0085
PANX2	85.2896	removed	removed
PAOX	88.2491	PAOX	74.0138
PAPD4	1212.3495	PAPD4	1319.6421
PAPD5	211.206	PAPD5	457.9097
PAPD7	331.7414	PAPD7	1106.954
PAPLN	204.4797	PAPLN	309.4754
PAPOLA	5258.3574	PAPOLA	3212.6881
PAPOLG	333.6248	PAPOLG	373.3225
PAPPA2	5.9191	PAPPA2	542.9036
PAPPA	95.7826	PAPPA	241.1549
PAPSS1	2223.717	PAPSS1	1486.7832
PAPSS2	183.4936	PAPSS2	1492.0699
PAQR3	111.3984	PAQR3	304.2212
PAQR4	417.2678	PAQR4	77.6739
PAQR5	213.0894	PAQR5	16.6734
PAQR6	378.5565	removed	removed
PAQR7	245.1066	PAQR7	146.401
PAQR8	80.9847	PAQR8	222.4481
PAR-SN	56.9557	PAR-SN	120.3009
PAR5	18.8337	PAR5	74.8272
PARD3B	114.3472	PARD3B	269.6218
PARD3	967.5119	PARD3	820.2521
PARD6A	64.0344	PARD6A	26.8402
PARD6B	2611.6903	PARD6B	8.5401
PARD6G	133.4499	PARD6G	157.7877
PARG	521.9614	PARG	415.2094
PARK2	25.2909	PARK2	266.3684
PARK7	4631.7347	PARK7	3391.2159
PARL	607.52	PARL	1004.4734
PARM1	204.7488	PARM1	3521.3501
PARN	2119.3247	PARN	941.8463
PARP10	1017.0176	PARP10	343.229
PARP11	439.6314	PARP11	343.229
PARP12	557.4763	PARP12	681.1712
PARP14	1794.3095	PARP14	2666.1244
removed	removed	PARP15	13.0134
PARP16	304.5672	PARP16	311.9154
PARP1	9132.441	PARP1	2245.6283
PARP2	386.09	PARP2	366.8158
PARP3	572.2742	PARP3	770.2318
