gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
ADNP2	1222.8425	ADNP2	890.6059
ADNP	3813.5468	ADNP	2468.8898
ADORA1	34.4387	ADORA1	405.4494
ADORA2A	172.7073	ADORA2A	36.1854
ADORA2B	6.9954	ADORA2B	6.1
ADORA3	107.89	ADORA3	66.6938
ADO	549.6738	ADO	553.8837
ADPGK	965.3595	ADPGK	873.8024
ADPRHL1	68.6083	ADPRHL1	78.4872
ADPRHL2	482.6798	ADPRHL2	261.8951
ADPRH	213.3584	ADPRH	543.717
removed	removed	ADRA1A	253.7617
ADRA1B	6.4573	ADRA1B	97.6007
removed	removed	ADRA1D	5.6934
ADRA2A	897.2893	ADRA2A	3811.7121
ADRA2B	5.112	ADRA2B	37.8203
ADRA2C	10.493	ADRA2C	80.9272
removed	removed	ADRB1	121.5941
ADRB2	13.4526	ADRB2	1033.3469
removed	removed	ADRB3	60.5937
ADRBK1	1791.35	ADRBK1	928.4262
ADRBK2	1084.5497	ADRBK2	11092.7206
ADRM1	1393.9598	ADRM1	548.597
ADSL	687.1595	ADSL	706.3847
ADSSL1	152.2836	ADSSL1	208.2147
ADSS	2479.8547	ADSS	706.3847
AEBP1	7386.2918	AEBP1	4538.0236
AEBP2	563.3954	AEBP2	692.9646
AEN	256.9449	AEN	126.0675
AES	4564.4716	AES	3748.2717
AFAP1L1	158.7408	AFAP1L1	2343.6356
AFAP1L2	385.0138	AFAP1L2	396.9093
AFAP1	828.1187	AFAP1	1376.1651
AFARP1	7.2644	removed	removed
AFF1	4116.7687	AFF1	6448.1497
AFF2	7.5335	AFF2	21.9601
AFF3	2825.3178	AFF3	566.8971
AFF4	4786.1707	AFF4	3744.205
AFG3L1	141.5215	AFG3L1	209.8414
AFG3L2	1463.2058	AFG3L2	1754.4449
AFMID	1128.6742	AFMID	154.941
AFTPH	3414.5423	AFTPH	1109.3941
AG2	35.784	AG2	587.6373
AGAP11	51.9271	AGAP11	1045.6039
AGAP1	858.2767	AGAP1	353.8024
AGAP2	29.3348	AGAP2	31.6795
AGAP3	599.7175	AGAP3	798.6987
AGAP4	188.8747	AGAP4	151.281
AGAP5	97.8785	AGAP5	43.5665
AGAP6	137.4857	AGAP6	126.4742
AGAP7	6.7263	removed	removed
AGAP8	29.5957	AGAP8	27.6535
AGA	618.5512	AGA	301.7487
AGBL2	55.4248	removed	removed
AGBL3	6.7263	AGBL3	10.9801
AGBL4	19.1027	AGBL4	13.0134
AGBL5	761.9722	AGBL5	720.6222
AGER	21.7932	AGER	33.3469
AGFG1	1779.5117	AGFG1	3172.4278
AGFG2	223.8515	AGFG2	419.6828
AGGF1	1050.6491	AGGF1	938.5929
AGK	367.7944	AGK	578.2839
AGL	962.1309	AGL	1909.7194
AGMAT	52.1961	removed	removed
AGPAT1	1352.4558	AGPAT1	2047.2021
AGPAT2	791.5518	AGPAT2	8763.7251
AGPAT3	3816.5064	AGPAT3	2481.9032
AGPAT4	72.106	AGPAT4	235.8682
AGPAT5	940.8758	AGPAT5	400.1627
AGPAT6	3773.9961	AGPAT6	1280.6019
AGPAT9	23.9457	AGPAT9	1917.0394
AGPHD1	53.0033	AGPHD1	104.1074
AGPS	1329.6563	AGPS	1803.5787
AGR2	4734.5127	AGR2	8.5401
AGR3	12490.7513	AGR3	13.4201
AGRN	2972.4894	AGRN	535.9902
AGTPBP1	208.5155	AGTPBP1	830.4189
AGTR1	10.493	AGTR1	2379.8292
AGTRAP	858.5458	AGTRAP	418.4628
AGT	2098.0696	AGT	376.5758
AGXT2L2	422.4336	AGXT2L2	922.5051
removed	removed	AGXT	16.6734
AHCTF1	2715.5445	AHCTF1	1925.5795
AHCYL1	5921.0332	AHCYL1	5115.9008
AHCYL2	696.5763	AHCYL2	836.1122
AHCY	2235.8243	AHCY	1479.0565
AHDC1	845.6313	AHDC1	311.5087
AHI1	598.6413	AHI1	396.9093
AHNAK2	3404.5873	AHNAK2	710.0447
AHNAK	38800.565	AHNAK	151055.307
AHRR	64.8416	AHRR	13.4201
AHR	3973.6329	AHR	2502.6434
AHSA1	1064.9089	AHSA1	877.9992
AHSA2	843.2098	AHSA2	717.3648
AIDA	1077.8852	AIDA	2711.3135
AIF1L	270.9356	AIF1L	2749.085
AIF1	185.6461	AIF1	367.2224
AIFM1	1003.0268	AIFM1	1203.7414
AIFM2	423.4883	AIFM2	3871.8991
AIFM3	68.7106	removed	removed
AIG1	644.9183	AIG1	1454.2497
AIM1L	7.5335	removed	removed
AIM1	597.027	AIM1	3680.3579
AIMP1	1459.6839	AIMP1	979.8699
AIMP2	207.8698	AIMP2	206.6572
AIP	722.6744	AIP	530.7035
AJAP1	8.3406	AJAP1	10.9801
AK1	490.2132	AK1	661.6511
AK2	2270.263	AK2	2614.4774
AK3L1	151.4764	AK3L1	1427.8162
AK3	897.0202	AK3	4497.7633
AK5	784.5564	AK5	17.0801
AK7	7.8025	AK7	5.6934
AKAP10	560.4359	AKAP10	701.5047
AKAP11	2398.3319	AKAP11	3531.5169
AKAP12	394.1616	AKAP12	11078.0805
AKAP13	3275.1732	AKAP13	3216.3481
AKAP1	2177.709	AKAP1	5166.3278
AKAP2	227.2792	AKAP2	3224.7296
AKAP3	15.8741	AKAP3	55.307
AKAP5	846.4384	AKAP5	40.2603
AKAP6	11.0311	AKAP6	155.7544
AKAP7	89.3254	AKAP7	404.2294
AKAP8L	803.121	AKAP8L	347.7023
AKAP8	715.41	AKAP8	407.076
AKAP9	2684.0654	AKAP9	2641.7243
AKD1	235.4207	AKD1	173.2412
AKIRIN1	1307.8631	AKIRIN1	1584.3839
AKIRIN2	344.6559	AKIRIN2	776.7385
AKNA	419.7215	AKNA	740.5449
AKR1A1	3123.6968	AKR1A1	1185.4412
AKR1B1	243.4923	AKR1B1	989.0199
AKR1C1	36.8602	AKR1C1	5925.9862
AKR1C2	44.6627	AKR1C2	8671.0045
AKR1C3	288.9621	AKR1C3	4191.9479
AKR1D1	6.1882	removed	removed
AKR1E2	7.8025	AKR1E2	59.7804
AKR7A2	1198.3588	AKR7A2	1227.3282
AKR7A3	398.4664	removed	removed
AKR7L	46.277	AKR7L	7.32
AKT1S1	1094.2356	AKT1S1	862.5458
AKT1	6430.08	AKT1	2618.9508
AKT2	2938.0507	AKT2	5174.8678
AKT3	216.8561	AKT3	1766.5718
AKTIP	403.6726	AKTIP	778.5116
ALAD	2190.6235	ALAD	2336.3156
ALAS1	1307.594	ALAS1	1290.3619
removed	removed	ALAS2	27.2468
ALB	5.9191	ALB	6.1
ALCAM	3863.0524	ALCAM	195.2013
ALDH16A1	474.0701	ALDH16A1	233.0216
ALDH18A1	3192.3051	ALDH18A1	651.891
ALDH1A1	111.3876	ALDH1A1	4686.8646
ALDH1A2	6.7263	ALDH1A2	174.0545
ALDH1A3	165.1497	ALDH1A3	476.2993
ALDH1B1	642.7659	ALDH1B1	789.7519
ALDH1L1	18.2956	ALDH1L1	5938.1863
ALDH1L2	323.9389	ALDH1L2	751.525
ALDH2	449.3173	ALDH2	25318.4221
ALDH3A2	1502.3878	ALDH3A2	4563.2371
ALDH3B1	61.3439	ALDH3B1	177.3078
ALDH3B2	956.7498	removed	removed
ALDH4A1	693.0786	ALDH4A1	2140.7076
ALDH5A1	235.1517	ALDH5A1	1318.4221
ALDH6A1	1004.5604	ALDH6A1	4906.0675
ALDH7A1	1700.9484	ALDH7A1	2144.7743
ALDH8A1	36.8602	ALDH8A1	6.1
ALDH9A1	5558.8888	ALDH9A1	9063.0338
ALDOA	51835.071	ALDOA	15192.3546
removed	removed	ALDOB	11.3867
ALDOC	35.2458	ALDOC	4450.183
ALG10B	474.6082	ALG10B	401.3827
ALG10	132.9118	ALG10	102.4807
ALG11	22.8694	ALG11	13.0134
ALG12	816.3046	ALG12	339.1623
ALG13	781.0587	ALG13	547.7837
ALG14	325.5532	ALG14	257.015
ALG1	1039.8063	ALG1	359.5364
ALG2	1092.3522	ALG2	657.9911
ALG3	675.3212	ALG3	435.1362
ALG5	775.4086	ALG5	616.5108
ALG6	683.1237	ALG6	217.5681
ALG8	1251.3621	ALG8	810.0854
ALG9	565.5479	ALG9	977.2265
ALKBH1	243.2232	ALKBH1	201.3013
ALKBH2	185.9151	ALKBH2	91.0939
ALKBH3	439.6314	ALKBH3	339.9756
ALKBH4	131.1522	ALKBH4	104.1562
ALKBH5	2605.8976	ALKBH5	1928.3367
ALKBH6	71.837	ALKBH6	50.0203
ALKBH7	489.6751	ALKBH7	366.0024
ALKBH8	328.7819	ALKBH8	230.1749
removed	removed	ALK	60.5937
ALMS1P	19.9099	removed	removed
ALMS1	1086.7021	ALMS1	866.2058
ALOX12P2	36.053	removed	removed
removed	removed	ALOX12	7.7267
ALOX15B	150.6693	removed	removed
ALOX15	57.5772	removed	removed
ALOX5AP	242.9542	ALOX5AP	296.0553
ALOX5	499.361	ALOX5	106.954
ALOXE3	54.0795	removed	removed
ALPK1	781.0587	ALPK1	516.8768
ALPK2	53.0033	ALPK2	114.2741
ALPK3	173.5387	ALPK3	5399.3493
ALPL	646.2635	ALPL	651.891
ALS2CL	208.5155	ALS2CL	310.6954
ALS2CR11	71.837	ALS2CR11	35.7869
ALS2CR12	14.2598	ALS2CR12	8.1334
ALS2CR4	448.7792	ALS2CR4	669.7845
ALS2CR8	239.7256	ALS2CR8	331.8422
ALS2	723.4815	ALS2	824.7255
removed	removed	ALX1	10.1667
ALX3	26.0981	ALX3	12.2001
AMACR	381.2471	AMACR	271.2485
AMBP	17.4884	removed	removed
AMBRA1	1273.4244	AMBRA1	689.3046
AMD1	651.9136	AMD1	1197.6413
AMDHD1	6.9954	removed	removed
AMDHD2	250.4634	AMDHD2	122.9646
AMFR	2703.1681	AMFR	2632.7776
AMH	41.165	removed	removed
AMICA1	9.6859	AMICA1	57.3404
AMIGO1	134.7952	AMIGO1	189.1013
AMIGO2	309.6792	AMIGO2	390.8093
AMIGO3	215.7799	AMIGO3	36.1936
AMMECR1L	771.9109	AMMECR1L	1076.8605
AMMECR1	301.3385	AMMECR1	179.3412
AMN1	318.0198	AMN1	170.8011
removed	removed	AMN	5.2867
AMOTL1	449.3173	AMOTL1	4127.2875
AMOTL2	1321.8538	AMOTL2	6835.2989
AMOT	1211.0042	AMOT	564.0504
AMPD2	573.0813	AMPD2	371.2891
AMPD3	233.8064	AMPD3	144.7743
AMPH	39.8197	AMPH	76.0472
AMT	25.8909	AMT	132.318
removed	removed	AMY1A	5.2867
AMY2B	264.0102	AMY2B	377.4054
AMZ2P1	211.206	AMZ2P1	318.4221
AMZ2	1757.4494	AMZ2	2041.4803
ANAPC10	115.6925	ANAPC10	130.9475
ANAPC11	919.0825	ANAPC11	594.9573
ANAPC13	1600.5139	ANAPC13	1495.7544
ANAPC16	2602.2735	ANAPC16	2995.12
ANAPC1	713.2576	ANAPC1	917.4461
ANAPC2	810.6545	ANAPC2	326.1488
ANAPC4	445.0124	ANAPC4	534.7702
ANAPC5	2681.6439	ANAPC5	2102.8874
ANAPC7	1182.4847	ANAPC7	705.1647
ANGEL1	472.7248	ANGEL1	501.0167
ANGEL2	1599.5157	ANGEL2	685.2379
ANGPT1	19.3718	ANGPT1	1360.7157
ANGPT2	159.2789	ANGPT2	1137.4542
removed	removed	ANGPT4	10.9801
ANGPTL1	15.8741	ANGPTL1	866.6124
ANGPTL2	479.1821	ANGPTL2	10739.7316
ANGPTL4	107.6209	ANGPTL4	1518.9101
removed	removed	ANGPTL5	67.1004
removed	removed	ANGPTL7	6.9134
ANG	383.5286	ANG	978.7597
ANK1	151.4764	ANK1	30.5002
ANK2	66.994	ANK2	3185.8479
ANK3	3025.7618	ANK3	157.381
ANKAR	56.501	ANKAR	98.0073
ANKDD1A	36.053	ANKDD1A	189.5079
ANKFY1	2711.5087	ANKFY1	2320.0488
ANKHD1-EIF4EBP3	1383.9107	ANKHD1-EIF4EBP3	1027.3322
ANKHD1	3031.132	ANKHD1	2505.3924
ANKH	2153.4943	ANKH	1697.438
ANKIB1	897.8274	ANKIB1	1964.2131
ANKK1	24.4838	ANKK1	8.9467
ANKLE1	5.6501	removed	removed
ANKLE2	1609.4706	ANKLE2	1738.5116
ANKMY1	414.6095	ANKMY1	171.6145
ANKMY2	1351.1805	ANKMY2	668.1578
ANKRA2	516.3113	ANKRA2	257.8284
ANKRD10	2120.2179	ANKRD10	1739.8861
ANKRD11	1341.6856	ANKRD11	1922.4197
ANKRD12	3124.5039	ANKRD12	2696.218
ANKRD13A	1028.8559	ANKRD13A	834.8922
ANKRD13B	83.9443	ANKRD13B	149.6543
ANKRD13C	742.3152	ANKRD13C	841.8056
ANKRD13D	470.5724	ANKRD13D	183.0012
ANKRD16	399.2332	ANKRD16	113.0541
ANKRD17	3803.3228	ANKRD17	3020.3335
ANKRD19	68.6083	ANKRD19	25.2135
ANKRD20A3	56.2319	ANKRD20A3	20.3335
ANKRD20A4	255.8687	removed	removed
ANKRD20B	231.1159	ANKRD20B	16.2668
ANKRD22	76.6799	removed	removed
ANKRD23	41.9722	ANKRD23	13.0134
ANKRD24	85.2896	ANKRD24	28.8735
ANKRD26	438.5552	ANKRD26	345.669
ANKRD27	881.9533	ANKRD27	894.266
ANKRD28	1714.132	ANKRD28	1394.4693
ANKRD29	27.4433	ANKRD29	425.7828
ANKRD30A	3054.2813	ANKRD30A	26.4335
ANKRD30B	89.0563	removed	removed
removed	removed	ANKRD31	6.9134
ANKRD32	146.3644	ANKRD32	122.8142
ANKRD34A	37.3983	ANKRD34A	21.1468
ANKRD34C	9.6859	ANKRD34C	16.2668
ANKRD35	7.8025	ANKRD35	95.974
ANKRD36BP1	175.4221	ANKRD36BP1	144.7743
ANKRD36B	95.7826	ANKRD36B	28.8735
ANKRD36	177.0364	ANKRD36	283.4486
ANKRD37	79.4646	ANKRD37	54.9898
ANKRD39	128.3379	ANKRD39	86.2139
ANKRD40	1518.8	ANKRD40	3841.8056
ANKRD42	618.013	ANKRD42	224.4815
ANKRD43	265.5546	ANKRD43	61.8137
ANKRD44	79.3704	ANKRD44	145.5876
ANKRD46	452.0966	ANKRD46	1213.6153
ANKRD49	416.4929	ANKRD49	224.8882
ANKRD50	1171.7226	ANKRD50	1168.3611
ANKRD52	2028.385	ANKRD52	903.6194
ANKRD53	8.8787	ANKRD53	399.3493
ANKRD54	440.4386	ANKRD54	175.2745
ANKRD55	8.6097	ANKRD55	7.32
ANKRD56	207.1702	ANKRD56	5.2867
ANKRD57	935.4947	ANKRD57	384.3026
ANKRD58	5.9191	removed	removed
ANKRD5	969.9334	ANKRD5	494.9166
ANKRD6	150.6424	ANKRD6	269.9553
ANKRD9	114.8853	ANKRD9	55.7137
ANKS1A	935.2257	ANKS1A	1009.7601
ANKS1B	277.6619	ANKS1B	32.5336
ANKS3	347.6155	ANKS3	84.1806
ANKS6	50.0437	ANKS6	479.4632
