gene_id	TCGA-BH-A0H9-01A-11R-A056-07	gene_id	TCGA-BH-A0H9-11A-22R-A466-07
ADAM12	1823.0867	ADAM12	499.7004
ADAM15	4841.1885	ADAM15	8142.0012
ADAM17	943.7983	ADAM17	329.5386
ADAM19	173.981	ADAM19	67.1061
ADAM22	45.3524	ADAM22	47.9329
ADAM23	21.5033	ADAM23	18.574
ADAM28	41.4427	ADAM28	12.5824
ADAM2	7.8194	removed	removed
ADAM32	24.631	ADAM32	13.7807
ADAM33	24.2401	ADAM33	701.3721
ADAM6	4393.8774	ADAM6	1465.5542
ADAM8	215.4237	ADAM8	28.1606
ADAM9	3899.5211	ADAM9	970.0419
ADAMDEC1	18.7665	removed	removed
ADAMTS10	34.7962	ADAMTS10	236.0695
ADAMTS12	264.2948	ADAMTS12	213.3014
ADAMTS13	43.3975	ADAMTS13	29.9581
ADAMTS14	112.9899	removed	removed
ADAMTS15	1628.3843	ADAMTS15	327.142
ADAMTS16	144.2674	ADAMTS16	68.3044
ADAMTS17	9.7742	ADAMTS17	20.9706
ADAMTS18	330.7595	ADAMTS18	228.2804
ADAMTS19	86.795	removed	removed
ADAMTS1	482.0643	ADAMTS1	9750.749
ADAMTS2	373.375	ADAMTS2	1084.4817
ADAMTS3	17.2026	ADAMTS3	228.2804
ADAMTS4	278.3697	ADAMTS4	1014.3799
ADAMTS5	162.6429	ADAMTS5	1366.0875
ADAMTS6	32.4504	ADAMTS6	10.7849
ADAMTS7	85.2312	ADAMTS7	196.5249
ADAMTS8	10.5562	ADAMTS8	13.1815
ADAMTS9	259.9941	ADAMTS9	1177.9509
ADAMTSL1	85.2312	ADAMTSL1	373.8766
ADAMTSL2	62.555	ADAMTSL2	80.8868
ADAMTSL3	27.7588	ADAMTSL3	282.8041
ADAMTSL4	64.9008	ADAMTSL4	1225.8838
ADAMTSL5	66.8556	ADAMTSL5	16.7765
ADAP1	376.1861	ADAP1	168.2025
ADAP2	118.4635	ADAP2	149.1911
ADARB1	510.2141	ADARB1	814.8592
ADAR	10808.7186	ADAR	3753.1456
ADAT1	534.8451	ADAT1	140.2037
ADAT2	54.3446	ADAT2	66.5069
ADAT3	71.9382	ADAT3	33.553
ADA	112.208	ADA	282.8041
ADCK1	243.9644	ADCK1	237.867
ADCK2	1113.4786	ADCK2	1009.5866
ADCK4	853.0935	ADCK4	539.8442
ADCK5	101.2609	ADCK5	115.6381
ADCY1	807.7412	ADCY1	133.0138
ADCY2	8.6013	ADCY2	93.4691
ADCY3	577.7539	ADCY3	1566.5728
ADCY4	50.8259	ADCY4	1094.6675
ADCY5	733.8481	ADCY5	569.2031
ADCY6	1387.9386	ADCY6	4229.4787
ADCY7	297.9181	ADCY7	297.1839
ADCY9	5877.4313	ADCY9	590.7729
removed	removed	ADCYAP1R1	13.7807
removed	removed	ADCYAP1	14.3799
ADC	87.9679	ADC	68.9035
ADD1	6556.1529	ADD1	8675.2546
ADD2	11.3381	ADD2	70.701
ADD3	502.3947	ADD3	2047.3337
ADH1A	20.7213	ADH1A	629.5506
ADH1B	1898.5436	ADH1B	95643.4991
ADH1C	9.3832	ADH1C	535.6501
ADH5	3323.2333	ADH5	6353.5051
ADHFE1	22.6762	ADHFE1	653.6848
ADI1	1248.3628	ADI1	3285.2007
ADIPOQ	2563.1903	ADIPOQ	76636.3092
ADIPOR1	3029.2249	ADIPOR1	2421.2103
ADIPOR2	2034.6007	ADIPOR2	4843.0198
ADK	632.9782	ADK	452.9658
ADM2	225.9799	removed	removed
ADM	53.1717	ADM	2486.5189
ADNP2	688.1048	ADNP2	384.6615
ADNP	4122.3732	ADNP	1082.6842
ADORA1	65.2918	ADORA1	576.393
