gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
LOC285033	30.7572	LOC285033	60.2507
LOC285074	159.0525	LOC285074	220.7845
LOC285359	45.6853	LOC285359	92.6001
removed	removed	LOC285419	11.3223
LOC285593	7.1912	LOC285593	14.5572
LOC285830	33.9636	LOC285830	88.888
removed	removed	LOC286002	63.89
LOC286367	137.0558	LOC286367	234.9373
removed	removed	LOC286467	32.3494
LOC338651	47.8003	LOC338651	22.6446
LOC338758	14.3824	LOC338758	65.5075
LOC338799	232.6565	LOC338799	759.4015
LOC339047	884.9408	LOC339047	1622.7254
LOC339290	470.3892	LOC339290	754.1448
LOC339524	334.1371	LOC339524	141.9329
LOC339535	12.6904	LOC339535	84.9171
LOC341056	10.1523	LOC341056	8.4917
removed	removed	LOC342346	10.1092
LOC344595	164.1286	LOC344595	297.6142
LOC348926	85.0254	LOC348926	100.2831
LOC349114	135.7868	LOC349114	211.484
LOC349196	5.0761	LOC349196	18.148
LOC374443	122.2504	LOC374443	149.6159
removed	removed	LOC374491	5.6611
LOC375190	52.4535	LOC375190	116.0534
LOC387646	20.7276	LOC387646	22.2402
LOC387647	423.7437	LOC387647	460.093
LOC388152	83.7563	LOC388152	196.1181
LOC388242	13.9594	LOC388242	40.0323
LOC388588	22.8426	LOC388588	32.3494
LOC388692	487.3096	LOC388692	551.1524
LOC388789	424.7039	LOC388789	728.6696
LOC388796	201.7766	LOC388796	290.74
LOC388955	454.3147	LOC388955	306.9147
LOC389333	27.9188	LOC389333	25.0708
LOC389493	58.3756	LOC389493	30.7319
removed	removed	LOC389705	8.8961
removed	removed	LOC389791	8.0873
removed	removed	LOC390595	15.366
removed	removed	LOC391322	19.814
LOC399744	159.8985	LOC399744	300.0404
LOC399815	12.2673	removed	removed
LOC399959	320.643	LOC399959	778.4068
LOC400027	191.6244	LOC400027	313.7889
LOC400043	164.5516	LOC400043	365.9523
LOC400657	215.736	LOC400657	238.981
LOC400696	14.3824	removed	removed
LOC400752	15.2284	LOC400752	56.207
LOC400759	8.8832	LOC400759	6.4699
LOC400927	16.1083	LOC400927	63.2026
LOC400931	47.8003	LOC400931	219.9757
LOC401010	28.3418	LOC401010	19.4096
LOC401052	161.5905	LOC401052	107.1573
LOC401093	115.3553	LOC401093	102.0501
LOC401127	7.6142	LOC401127	10.1092
LOC401397	587.1404	LOC401397	424.1812
LOC401431	50.7868	LOC401431	43.6959
LOC401463	12.2673	LOC401463	5.2568
LOC401588	36.802	LOC401588	107.1573
LOC402377	11.4213	LOC402377	12.131
LOC407835	50.3384	LOC407835	44.4804
removed	removed	LOC440173	19.0053
LOC440354	105.2876	LOC440354	141.3425
LOC440356	14.3824	removed	removed
removed	removed	LOC440905	70.3599
LOC440925	5.4992	LOC440925	10.1092
LOC440944	144.247	LOC440944	413.2632
LOC440957	100.2538	LOC440957	125.7582
removed	removed	LOC441046	16.1747
LOC441089	56.6836	LOC441089	102.7093
LOC441204	28.3418	LOC441204	37.6061
LOC441208	58.7986	LOC441208	46.9066
LOC441294	9.7293	LOC441294	33.9668
removed	removed	LOC441454	6.0655
removed	removed	LOC441455	6.8742
LOC441666	90.1015	LOC441666	80.4691
LOC441869	81.6413	LOC441869	267.2867
LOC442421	63.4518	LOC442421	13.3441
LOC442454	101.0998	LOC442454	122.1189
LOC493754	416.2437	LOC493754	515.9725
LOC541471	182.7411	LOC541471	89.3651
removed	removed	LOC541473	5.6975
LOC550112	225.4526	LOC550112	372.8265
LOC550643	435.2792	LOC550643	329.1549
removed	removed	LOC554202	33.9668
LOC55908	16.0745	removed	removed
removed	removed	LOC572558	6.0655
LOC595101	218.2741	LOC595101	62.6769
LOC606724	17.3435	LOC606724	18.1965
LOC613037	14.8054	LOC613037	20.3801
LOC619207	27.9188	LOC619207	31.5406
LOC641298	121.0787	LOC641298	242.2483
LOC641367	8.8832	removed	removed
LOC642587	96.4467	LOC642587	1853.2147
LOC642826	64.5431	LOC642826	193.3482
LOC642846	96.0237	LOC642846	141.5285
LOC642852	649.7462	LOC642852	363.9304
LOC643008	5.4992	LOC643008	7.2786
LOC643387	26.6497	LOC643387	31.945
removed	removed	LOC643719	60.6551
LOC643763	16.4975	LOC643763	13.7485
LOC643837	137.0558	LOC643837	130.6106
removed	removed	LOC644165	11.67
LOC644538	118.4433	LOC644538	141.5285
LOC644936	19.4585	LOC644936	7.683
LOC645166	326.9882	LOC645166	107.966
LOC645332	35.956	LOC645332	137.0805
LOC645431	76.0787	LOC645431	17.683
LOC645676	38.714	LOC645676	26.85
LOC646214	136.6328	LOC646214	437.9296
LOC646471	64.3782	LOC646471	149.0942
LOC646762	787.225	LOC646762	382.9357
LOC646851	53.2995	LOC646851	266.8823
LOC646999	24.1117	LOC646999	19.814
LOC647121	39.3401	LOC647121	23.8577
LOC647288	7.6142	LOC647288	7.2786
LOC647859	21.1506	LOC647859	20.2184
LOC647946	12.2673	LOC647946	10.9179
LOC647979	9843.4856	LOC647979	11118.4796
LOC648740	10.1058	LOC648740	40.4003
LOC649330	8.0372	removed	removed
LOC650368	85.4484	LOC650368	94.6219
LOC650623	142.132	LOC650623	120.5014
LOC651250	2198.3926	LOC651250	1697.5334
LOC652276	72.335	LOC652276	66.7206
LOC653113	27.0728	LOC653113	68.3381
LOC653501	168.3587	LOC653501	346.947
LOC653566	1084.6024	LOC653566	1300.0404
LOC653653	143.401	LOC653653	51.3546
LOC654342	513.5364	LOC654342	627.9822
LOC654433	115.4822	LOC654433	307.0077
LOC678655	202.6269	LOC678655	391.2576
LOC723972	6.7682	removed	removed
LOC727896	15.2284	LOC727896	12.9397
LOC728024	17.3435	LOC728024	31.945
LOC728190	165.8206	LOC728190	242.6203
LOC728264	259.3063	LOC728264	3090.1739
LOC728323	25.3807	LOC728323	32.7537
LOC728392	70.643	LOC728392	106.7529
LOC728554	112.5212	LOC728554	84.9171
LOC728606	11.8443	LOC728606	59.442
LOC728613	181.0491	LOC728613	210.2709
LOC728640	27.9188	LOC728640	36.393
LOC728643	36.379	LOC728643	44.8848
LOC728723	8.8832	LOC728723	18.1965
LOC728743	73.6041	LOC728743	212.2928
LOC728758	24.5347	LOC728758	27.0926
LOC728819	18.6125	LOC728819	35.5843
LOC728855	93.4856	LOC728855	150.2669
LOC728875	11.8443	LOC728875	71.3263
LOC729020	48.2234	LOC729020	32.7537
LOC729082	604.3697	LOC729082	512.317
LOC729176	40.6091	LOC729176	28.7101
LOC729234	26.6497	LOC729234	115.2446
LOC729375	25.8037	LOC729375	97.8569
LOC729603	29.6108	LOC729603	38.8192
LOC729678	397.4154	LOC729678	706.7772
LOC729799	16.9205	LOC729799	31.945
LOC729991-MEF2B	17.978	LOC729991-MEF2B	56.9106
LOC729991	289.7208	LOC729991	162.9074
LOC730101	114.2132	LOC730101	168.6211
LOC730668	11.8443	LOC730668	6.8742
LOC80054	85.8714	LOC80054	62.2725
LOC80154	228.0034	LOC80154	640.922
LOC81691	97.7157	LOC81691	95.0263
LOC84856	10.5753	LOC84856	109.5835
LOC90110	202.1997	LOC90110	307.319
LOC90246	190.3553	LOC90246	15.366
LOC90784	481.3875	LOC90784	305.2972
LOC90834	30.8799	LOC90834	43.2673
LOC91316	173.0541	LOC91316	628.9244
LOC92249	342.2166	LOC92249	1247.0683
LOC92659	206.4298	LOC92659	52.1634
LOC92973	12.2673	LOC92973	129.8019
removed	removed	LOC93432	11.3223
LOC93622	486.8866	LOC93622	424.1812
LOC96610	5607.1827	LOC96610	54644.909
LOH12CR1	114.6362	LOH12CR1	95.4307
LOH12CR2	16.4975	LOH12CR2	29.9232
LOH3CR2A	33.8409	LOH3CR2A	23.8577
LONP1	1469.5431	LONP1	720.5823
LONP2	12697.5465	LONP2	2080.0647
LONRF1	440.3553	LONRF1	576.2232
LONRF2	499.154	LONRF2	445.2082
LONRF3	27.4958	LONRF3	65.5075
LOXHD1	13.9594	removed	removed
LOXL1	1192.0474	LOXL1	429.0336
LOXL2	1960.6218	LOXL2	1005.1961
LOXL3	95.9602	LOXL3	75.5884
LOXL4	134.5178	LOXL4	2285.0789
LOX	1945.0085	LOX	391.023
removed	removed	LPAL2	7.683
LPAR1	663.2826	LPAR1	690.6591
LPAR2	356.176	LPAR2	367.1654
removed	removed	LPAR3	69.9555
LPAR4	22.4196	LPAR4	38.4149
LPAR5	72.758	LPAR5	113.6272
LPAR6	975.4653	LPAR6	1553.983
LPCAT1	1796.9543	LPCAT1	686.6154
LPCAT2	472.9272	LPCAT2	1225.6369
LPCAT3	1722.0812	LPCAT3	1375.6571
LPCAT4	266.0745	LPCAT4	578.245
LPGAT1	3124.7885	LPGAT1	1319.4501
LPHN1	965.736	LPHN1	871.0069
LPHN2	1187.3942	LPHN2	1651.4355
LPHN3	57.1066	LPHN3	118.0752
LPIN1	1478.4264	LPIN1	1820.0566
LPIN2	1568.5279	LPIN2	1002.8306
LPIN3	340.9729	LPIN3	716.8742
LPL	12289.7631	LPL	2828.9527
removed	removed	LPPR1	102.3049
LPPR2	494.0778	LPPR2	587.1411
LPPR3	6.3452	LPPR3	111.6053
LPPR4	148.4772	LPPR4	120.097
LPP	983.9255	LPP	1182.774
LPXN	409.0525	LPXN	327.9418
LQK1	49.0694	LQK1	19.4096
LRAT	24.1117	LRAT	97.8569
LRBA	3142.978	LRBA	3167.408
LRCH1	780.4569	LRCH1	896.482
LRCH2	93.9086	LRCH2	44.076
LRCH3	364.2132	LRCH3	523.6555
LRCH4	558.7986	LRCH4	1062.6769
LRDD	188.2403	LRDD	348.9689
LRFN1	33.8409	LRFN1	58.6332
LRFN2	8.8832	removed	removed
LRFN3	166.6667	LRFN3	211.8884
LRFN4	108.714	LRFN4	132.2281
LRFN5	42.7242	LRFN5	126.5669
LRG1	393.401	LRG1	109.9879
removed	removed	LRGUK	13.7485
LRIG1	8880.3299	LRIG1	7105.6692
LRIG2	247.8849	LRIG2	366.3567
LRIG3	593.4856	LRIG3	1642.1351
LRIT3	11.4213	LRIT3	21.0271
LRMP	168.3587	LRMP	143.9547
LRP10	4203.8917	LRP10	5185.2002
LRP11	972.0812	LRP11	892.4383
LRP12	292.7242	LRP12	323.4937
LRP1B	80.7953	LRP1B	36.393
LRP1	27493.6548	LRP1	13508.2895
LRP2BP	32.5719	LRP2BP	76.8298
LRP2	72.335	LRP2	4537.404
LRP3	779.9619	LRP3	717.6587
LRP4	134.0948	LRP4	505.0263
LRP5L	57.9526	LRP5L	104.3267
LRP5	3406.0914	LRP5	2633.6433
LRP6	1195.0085	LRP6	2466.6397
LRP8	299.9154	LRP8	59.8463
LRPAP1	2087.5635	LRPAP1	1014.1529
LRPPRC	4127.7496	LRPPRC	5166.1949
LRRC10B	11.4213	LRRC10B	19.0053
LRRC14	409.6024	LRRC14	687.129
LRRC15	2043.9932	LRRC15	192.4788
LRRC16A	357.868	LRRC16A	657.501
removed	removed	LRRC16B	21.8358
LRRC17	599.4078	LRRC17	212.6971
removed	removed	LRRC18	11.3223
LRRC1	300.3384	LRRC1	759.4015
LRRC20	241.1168	LRRC20	177.5172
LRRC23	184.0102	LRRC23	136.2717
removed	removed	LRRC24	13.6393
LRRC25	118.8663	LRRC25	64.2944
LRRC26	13.9594	LRRC26	24.6664
LRRC27	174.7039	LRRC27	272.1391
LRRC28	239.4247	LRRC28	232.1068
LRRC29	27.9188	LRRC29	60.6551
LRRC2	57.5296	LRRC2	122.1189
LRRC31	10.5753	LRRC31	18.1965
LRRC32	2074.8731	LRRC32	674.8888
LRRC33	209.3909	LRRC33	132.2281
LRRC34	32.9949	LRRC34	46.5022
LRRC37A2	97.4027	LRRC37A2	213.3846
LRRC37A3	107.445	LRRC37A3	131.015
LRRC37A4	231.8105	LRRC37A4	582.1634
LRRC37A	280.0338	LRRC37A	579.0538
LRRC37B2	338.8325	LRRC37B2	601.294
LRRC37B	102.3689	LRRC37B	228.4674
LRRC39	10.3511	LRRC39	11.3951
removed	removed	LRRC3B	121.7145
LRRC3	37.6481	LRRC3	68.7424
LRRC40	352.3689	LRRC40	342.499
LRRC41	1982.2335	LRRC41	2151.2333
LRRC42	749.577	LRRC42	450.8694
removed	removed	LRRC43	8.4917
LRRC45	642.132	LRRC45	147.1896
LRRC46	107.022	LRRC46	20.6227
LRRC47	1048.2234	LRRC47	1045.6935
LRRC48	12.2673	LRRC48	111.6053
LRRC49	118.4433	LRRC49	169.0255
LRRC4B	20.7276	LRRC4B	36.393
LRRC4C	20.3046	LRRC4C	101.4962
LRRC4	38.4941	LRRC4	21.0271
removed	removed	LRRC50	26.6882
LRRC55	79.1032	LRRC55	26.6882
LRRC56	34.264	LRRC56	65.1031
LRRC57	346.4467	LRRC57	415.2851
LRRC58	2077.4112	LRRC58	1514.355
LRRC59	5776.5821	LRRC59	1451.856
LRRC61	115.4822	LRRC61	213.9102
LRRC66	6.7682	LRRC66	12.131
LRRC6	80.3723	LRRC6	62.2725
LRRC70	67.5381	LRRC70	68.9365
LRRC8A	1068.1049	LRRC8A	1562.4747
LRRC8B	817.2589	LRRC8B	638.9001
LRRC8C	747.8849	LRRC8C	486.8581
LRRC8D	736.4636	LRRC8D	815.2042
LRRC8E	424.2809	LRRC8E	302.4666
LRRCC1	669.6277	LRRCC1	422.1593
LRRFIP1	4817.6819	LRRFIP1	2664.7796
LRRFIP2	1111.2521	LRRFIP2	881.5204
LRRIQ1	19.0355	LRRIQ1	32.7537
LRRIQ3	9.3063	removed	removed
LRRK1	410.7445	LRRK1	566.114
LRRK2	318.5279	LRRK2	289.5269
LRRN1	226.7343	LRRN1	774.7675
LRRN2	211.9289	LRRN2	201.7792
LRRN3	108.714	LRRN3	66.3162
LRRN4CL	302.4535	LRRN4CL	274.1609
LRRN4	9.7293	removed	removed
LRRTM2	40.1861	LRRTM2	45.6935
LRSAM1	269.8816	LRSAM1	475.9402
LRTOMT	456.7766	LRTOMT	321.8924
LRWD1	227.5804	LRWD1	141.1241
LSAMP	82.9103	LSAMP	14.9616
LSG1	1013.1134	LSG1	928.427
LSM10	619.7124	LSM10	245.0465
LSM11	200.0846	LSM11	362.7173
LSM12	1193.3164	LSM12	738.7788
LSM14A	2200.0846	LSM14A	3190.4569
LSM14B	1104.9069	LSM14B	822.8872
LSM1	531.3029	LSM1	329.5592
LSM2	525.3807	LSM2	615.8512
LSM3	625.6345	LSM3	585.1193
LSM4	1464.89	LSM4	647.7962
LSM5	506.3452	LSM5	490.9017
LSM6	197.1235	LSM6	187.222
LSM7	288.4941	LSM7	275.7784
LSMD1	448.5533	LSMD1	323.4937
LSP1	1780.0338	LSP1	1279.8221
LSR	1627.7496	LSR	1092.6001
LSS	1187.8173	LSS	1278.2046
removed	removed	LST-3TM12	19.4096
LST1	120.9814	LST1	71.1686
LTA4H	1348.5618	LTA4H	2919.1266
LTA	13.9594	removed	removed
LTB4R2	58.8832	LTB4R2	78.0267
LTB4R	135.1184	LTB4R	290.5985
LTBP1	1729.2724	LTBP1	856.0453
LTBP2	6235.6176	LTBP2	7935.3013
LTBP3	2204.3697	LTBP3	3064.0558
LTBP4	1376.9036	LTBP4	2978.5685
LTBR	1782.1489	LTBR	1589.9717
LTB	189.0863	LTB	13.3441
LTC4S	15.4484	LTC4S	41.294
LTF	775.3807	LTF	31343.7121
LTK	7.1912	LTK	28.7101
LTV1	409.4755	LTV1	575.0101
LUC7L2	1696.7005	LUC7L2	2585.928
LUC7L3	2859.5601	LUC7L3	4358.6737
LUC7L	796.9543	LUC7L	883.9466
LUM	21025.3807	LUM	9313.3846
LUZP1	1468.6971	LUZP1	1420.5419
LUZP2	75.7191	LUZP2	26.6882
LUZP6	4549.4924	LUZP6	3505.8633
LXN	230.1184	LXN	476.7489
removed	removed	LY6D	71.9774
LY6E	3299.0694	LY6E	4792.5596
LY6G5B	26.7851	LY6G5B	150.0202
LY6G5C	13.9594	LY6G5C	25.0708
removed	removed	LY6G6C	12.9397
LY6K	39.7631	LY6K	86.5346
LY75	498.4814	LY75	2943.1945
LY86	127.3266	LY86	94.2175
LY96	98.5618	LY96	68.7424
LY9	80.3723	LY9	88.5564
LYAR	211.5059	LYAR	212.6971
LYG1	5.4992	LYG1	12.5354
LYL1	63.4518	LYL1	45.6935
LYNX1	356.599	LYNX1	732.3089
LYN	669.6277	LYN	686.6154
LYPD1	37.758	LYPD1	24.5127
LYPD3	393.824	LYPD3	684.5936
LYPD5	112.5212	LYPD5	111.201
LYPD6B	115.4822	LYPD6B	170.2386
LYPD6	127.7496	LYPD6	494.541
LYPLA1	1288.9171	LYPLA1	997.5738
LYPLA2P1	71.912	LYPLA2P1	41.6498
LYPLA2	1303.2995	LYPLA2	920.744
LYPLAL1	378.1726	LYPLAL1	336.4335
LYRM1	719.1201	LYRM1	591.9935
LYRM2	558.1472	LYRM2	1027.5091
LYRM4	273.2657	LYRM4	403.9628
LYRM5	242.8088	LYRM5	278.609
LYRM7	377.7496	LYRM7	529.721
LYSMD1	960.2369	LYSMD1	226.85
LYSMD2	129.0186	LYSMD2	167.0036
LYSMD3	849.8308	LYSMD3	617.0643
LYSMD4	129.0525	LYSMD4	342.0299
LYST	961.9289	LYST	1097.8569
LYVE1	494.0778	LYVE1	570.9664
LYZ	9189.9323	LYZ	1512.7376
LZIC	474.6193	LZIC	365.9523
LZTFL1	456.8528	LZTFL1	864.9414
LZTR1	650.5922	LZTR1	804.9211
LZTS1	337.5635	LZTS1	1228.4674
LZTS2	1960.6599	LZTS2	1630.4084
M6PR	3246.1548	M6PR	3286.2717
MAB21L1	123.0964	MAB21L1	267.2867
MACC1	331.6413	MACC1	723.4129
MACF1	8155.6684	MACF1	8521.6336
MACROD1	48.2234	MACROD1	146.3809
MACROD2	48.2234	MACROD2	160.5338
MAD1L1	280.8799	MAD1L1	202.1836
MAD2L1BP	441.2014	MAD2L1BP	397.0886
MAD2L1	461.9289	MAD2L1	107.966
MAD2L2	493.2318	MAD2L2	348.1601
MADD	1034.687	MADD	1668.0146
MAEA	879.4416	MAEA	1046.0979
MAF1	1700.5076	MAF1	1762.6365
MAFB	2075.7191	MAFB	1226.4456
MAFF	197.9695	MAFF	453.2956
MAFG	1058.7986	MAFG	566.114
MAFK	483.3672	MAFK	481.5083
MAF	940.7783	MAF	1167.408
MAGEA6	10.5753	removed	removed
MAGEC2	14.3824	removed	removed
MAGED1	4532.5719	MAGED1	3456.1262
MAGED2	15698.8156	MAGED2	7235.7461
MAGED4B	134.3909	MAGED4B	486.296
MAGED4	43.2741	MAGED4	141.2818
MAGEE1	164.9746	MAGEE1	224.4238
MAGEF1	721.6582	MAGEF1	860.8977
MAGEH1	590.9475	MAGEH1	446.4214
MAGEL2	38.0711	MAGEL2	33.1581
MAGI1	711.0829	MAGI1	1897.2907
MAGI2	199.6616	MAGI2	297.6142
MAGI3	1192.0474	MAGI3	1013.7485
MAGIX	41.8782	MAGIX	29.9232
MAGOHB	180.203	MAGOHB	174.6866
MAGOH	277.0728	MAGOH	327.5374
MAGT1	2124.3655	MAGT1	2607.3595
removed	removed	MAG	27.9013
MAK16	476.4129	MAK16	499.5795
MAK	5.0761	MAK	15.366
MAL2	2528.3418	MAL2	2006.0655
MALAT1	2518.6464	MALAT1	4159.0336
MALL	412.0135	MALL	756.9753
MALT1	531.3029	MALT1	662.7578
MAL	15.2284	MAL	19.0053
MAMDC2	188.6548	MAMDC2	966.3041
MAMDC4	16.0745	MAMDC4	89.3651
MAML1	1407.5635	MAML1	1866.5103
MAML2	445.8545	MAML2	2015.366
MAML3	335.0254	MAML3	688.2329
MAMLD1	163.2826	MAMLD1	170.2386
MAMSTR	13.1134	MAMSTR	21.8358
MAN1A1	2004.2301	MAN1A1	912.2523
MAN1A2	1423.8579	MAN1A2	946.6235
MAN1B1	1593.9086	MAN1B1	1671.6539
MAN1C1	641.286	MAN1C1	251.5164
MAN2A1	1012.2673	MAN2A1	616.6599
MAN2A2	1592.2166	MAN2A2	1775.1719
MAN2B1	2777.0728	MAN2B1	1563.2835
MAN2B2	2424.2809	MAN2B2	1586.3324
MAN2C1	802.8765	MAN2C1	1595.2285
MANBAL	876.4805	MANBAL	1219.5714
MANBA	1684.8562	MANBA	1169.0255
MANEAL	849.4078	MANEAL	308.9365
MANEA	476.3113	MANEA	509.907
MANF	1022.8426	MANF	677.7194
MANSC1	577.4112	MANSC1	992.7214
MAOA	2447.9695	MAOA	1140.7198
MAOB	734.7716	MAOB	3206.2273
MAP1A	1301.6074	MAP1A	753.336
MAP1B	1553.7225	MAP1B	1649.4137
MAP1D	38.0711	MAP1D	104.7311
MAP1LC3A	197.5465	MAP1LC3A	169.0255
MAP1LC3B2	231.8105	MAP1LC3B2	213.5059
MAP1LC3B	1811.7597	MAP1LC3B	1837.04
MAP1LC3C	121.8274	MAP1LC3C	22.6446
MAP1S	551.6074	MAP1S	671.6539
MAP2K1	1126.7047	MAP2K1	672.1068
MAP2K2	1305.8376	MAP2K2	1363.5261
MAP2K3	1579.5262	MAP2K3	824.909
MAP2K4	758.8832	MAP2K4	1010.9179
MAP2K5	325.7191	MAP2K5	566.5184
MAP2K6	246.6159	MAP2K6	187.6264
MAP2K7	600.2538	MAP2K7	872.22
MAP2	252.9611	MAP2	716.943
MAP3K10	177.242	MAP3K10	99.8787
MAP3K11	1141.709	MAP3K11	1128.1844
MAP3K12	318.3376	MAP3K12	223.0611
MAP3K13	36.3959	MAP3K13	68.2289
MAP3K14	659.4755	MAP3K14	560.8573
removed	removed	MAP3K15	6.6801
MAP3K1	1212.775	MAP3K1	3217.1452
MAP3K2	1173.4349	MAP3K2	739.5875
MAP3K3	1354.3401	MAP3K3	1331.3991
MAP3K4	583.7563	MAP3K4	1094.2175
MAP3K5	836.7174	MAP3K5	676.1019
MAP3K6	720.3892	MAP3K6	928.427
MAP3K7	573.181	MAP3K7	844.723
MAP3K8	245.3469	MAP3K8	302.871
MAP3K9	116.7513	MAP3K9	199.7574
MAP4K1	152.2843	MAP4K1	122.9276
MAP4K2	321.066	MAP4K2	324.3025
MAP4K3	1880.7107	MAP4K3	984.2297
MAP4K4	3313.4518	MAP4K4	1779.6199
MAP4K5	1011.8443	MAP4K5	1587.5455
MAP4	6965.736	MAP4	5603.7202
MAP6D1	19.8816	MAP6D1	44.076
MAP6	53.7225	MAP6	136.2717
MAP7D1	2854.0609	MAP7D1	1059.0376
MAP7D2	8.0372	MAP7D2	9.7048
MAP7D3	469.1201	MAP7D3	244.6421
MAP7	607.868	MAP7	858.0671
MAP9	462.3519	MAP9	368.7829
MAPK10	299.0694	MAPK10	128.9931
MAPK11	279.6108	MAPK11	184.3914
MAPK12	86.3959	MAPK12	117.1573
MAPK13	841.3706	MAPK13	805.095
MAPK14	1611.2521	MAPK14	1598.8678
removed	removed	MAPK15	112.0097
MAPK1IP1L	1799.9154	MAPK1IP1L	1919.5309
MAPK1	2357.445	MAPK1	3653.8617
MAPK3	1894.7673	MAPK3	1805.9927
removed	removed	MAPK4	73.1905
MAPK6	901.4382	MAPK6	770.7238
MAPK7	564.2936	MAPK7	411.8318
MAPK8IP1	84.6024	MAPK8IP1	277.8002
MAPK8IP2	556.2606	MAPK8IP2	64.6987
MAPK8IP3	1474.1963	MAPK8IP3	1046.0979
MAPK8	316.8359	MAPK8	504.2459
MAPK9	1537.225	MAPK9	1000.4044
MAPKAP1	1226.3113	MAPKAP1	1587.5455
MAPKAPK2	6012.2673	MAPKAPK2	2241.0028
MAPKAPK3	1361.2521	MAPKAPK3	784.8767
MAPKAPK5	539.7631	MAPKAPK5	573.5665
MAPKBP1	533.8409	MAPKBP1	1129.8019
MAPKSP1	752.9611	MAPKSP1	1118.8839
MAPRE1	2639.1709	MAPRE1	1856.854
MAPRE2	810.0677	MAPRE2	1088.9608
MAPRE3	326.5651	MAPRE3	480.3882
MAPT	308.7986	MAPT	2353.8213
MARCH10	12.72	removed	removed
MARCH1	110.4061	MARCH1	65.5075
MARCH2	614.2132	MARCH2	376.8702
MARCH3	209.3909	MARCH3	82.4909
MARCH5	1006.3452	MARCH5	1107.5617
MARCH6	2859.9831	MARCH6	3151.6377
MARCH7	1714.044	MARCH7	1868.985
MARCH8	439.5093	MARCH8	668.0146
MARCH9	415.3976	MARCH9	264.8605
MARCKSL1	3281.3029	MARCKSL1	2853.2147
MARCKS	2887.4788	MARCKS	3720.1779
MARCO	93.0626	MARCO	19.0053
MARK1	203.0457	MARK1	227.6587
MARK2	689.5093	MARK2	1525.2729
MARK3	1082.4873	MARK3	1159.725
MARK4	673.0118	MARK4	602.1027
MARS2	198.3926	MARS2	175.8997
MARS	1849.2174	MARS	1204.2984
MARVELD1	1036.5948	MARVELD1	1718.9325
MARVELD2	347.2927	MARVELD2	334.0073
MARVELD3	130.2496	MARVELD3	347.0845
MASP1	46.5313	MASP1	38.4149
MASP2	22.4196	MASP2	124.1407
MAST1	6.3452	MAST1	12.9397
MAST2	1498.731	MAST2	1328.3461
MAST3	339.2555	MAST3	321.8763
MAST4	1465.736	MAST4	1175.4953
MASTL	353.2149	MASTL	237.7679
MAT1A	33.4179	MAT1A	17.7922
MAT2A	3338.8325	MAT2A	5044.076
MAT2B	1440.7783	MAT2B	1993.1258
MATK	68.5279	MATK	67.5293
MATN2	1016.9205	MATN2	4790.5378
MATN3	179.357	MATN3	50.5459
removed	removed	MATN4	5.2568
MATR3	6209.1963	MATR3	7974.7715
MAVS	3971.6582	MAVS	3982.2078
MAX	1344.3316	MAX	1353.8213
MAZ	5867.8384	MAZ	2041.9612
MBD1	921.3198	MBD1	1229.6805
MBD2	1824.8731	MBD2	1204.2054
MBD3	1018.1895	MBD3	907.3999
MBD4	734.7716	MBD4	824.1003
MBD5	391.709	MBD5	491.3061
MBD6	1166.6667	MBD6	2443.1864
MBIP	299.0694	MBIP	401.1322
MBL1P	6.7682	MBL1P	8.8961
MBLAC1	28.7648	MBLAC1	12.5354
MBLAC2	189.0863	MBLAC2	349.3732
MBNL1	3933.291	MBNL1	3585.374
MBNL2	1875.2115	MBNL2	2845.9361
MBNL3	70.22	MBNL3	111.201
MBOAT1	1064.2978	MBOAT1	795.3902
MBOAT2	1084.6024	MBOAT2	384.9575
MBOAT7	1749.154	MBOAT7	845.1274
MBP	865.0592	MBP	1391.8318
MBTD1	797.8003	MBTD1	1116.0534
MBTPS1	2524.1117	MBTPS1	4524.8686
MBTPS2	953.4687	MBTPS2	656.5022
MB	145.9391	MB	109.1791
MC1R	76.5651	MC1R	63.6514
MCAM	4729.2724	MCAM	2188.4351
MCART1	208.9679	MCART1	217.9539
removed	removed	MCART2	9.3004
MCART6	16.9205	MCART6	12.9397
MCAT	178.934	MCAT	288.7182
MCCC1	716.1591	MCCC1	969.2681
MCCC2	7180.6261	MCCC2	3449.2519
MCC	551.1844	MCC	1111.201
MCEE	104.4839	MCEE	175.091
removed	removed	MCF2L2	19.4703
MCF2L	861.6751	MCF2L	799.4905
MCFD2	3065.1692	MCFD2	3770.6146
MCHR1	14.3824	MCHR1	11.8277
MCL1	13962.775	MCL1	6814.3955
MCM10	219.9662	MCM10	15.366
MCM2	1043.5702	MCM2	598.4634
MCM3APAS	14.0778	MCM3APAS	76.1706
MCM3AP	2210.1184	MCM3AP	2307.1694
MCM3	1505.9222	MCM3	1669.2277
MCM4	1357.445	MCM4	769.5107
MCM5	622.6734	MCM5	810.3518
MCM6	1273.2657	MCM6	699.9596
MCM7	1866.692	MCM7	2091.7226
MCM8	362.9442	MCM8	246.664
MCM9	72.335	MCM9	160.1294
MCOLN1	742.3858	MCOLN1	433.886
MCOLN2	86.7174	MCOLN2	50.9503
MCOLN3	89.2555	MCOLN3	121.7145
MCPH1	487.72	MCPH1	522.1674
MCRS1	719.5431	MCRS1	888.3947
MCTP1	263.9594	MCTP1	123.7364
