gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
ADAMTS5	761.8443	ADAMTS5	2558.8354
ADAMTS6	82.9103	ADAMTS6	15.366
ADAMTS7	207.2758	ADAMTS7	65.5075
ADAMTS8	46.1083	ADAMTS8	119.2883
ADAMTS9	697.1235	ADAMTS9	638.0914
ADAMTSL1	285.956	ADAMTSL1	158.5119
ADAMTSL2	104.0609	ADAMTSL2	22.6446
ADAMTSL3	211.9289	ADAMTSL3	255.1557
ADAMTSL4	447.5465	ADAMTSL4	376.8702
ADAMTSL5	74.8731	ADAMTSL5	65.5075
ADAP1	66.4255	ADAP1	51.9612
ADAP2	373.0964	ADAP2	166.5993
ADARB1	741.1168	ADARB1	812.778
ADAR	18368.0203	ADAR	7355.8431
ADAT1	344.3316	ADAT1	401.5366
ADAT2	78.2572	ADAT2	340.4772
ADAT3	12.6904	ADAT3	25.8795
ADA	312.1827	ADA	80.4691
ADCK1	135.7868	ADCK1	175.8997
ADCK2	844.7547	ADCK2	641.7307
ADCK4	460.2369	ADCK4	536.5952
ADCK5	67.6819	ADCK5	82.0865
ADCY1	398.9002	ADCY1	1645.7744
ADCY2	30.8799	ADCY2	185.6045
ADCY3	1995.8799	ADCY3	1315.0465
ADCY4	474.6193	ADCY4	452.4869
ADCY5	249.154	ADCY5	549.9393
ADCY6	2309.2217	ADCY6	2181.1565
ADCY7	771.1506	ADCY7	495.3498
ADCY9	1577.4112	ADCY9	954.7109
ADCYAP1R1	35.11	ADCYAP1R1	70.7643
ADCYAP1	12.6904	ADCYAP1	13.7485
ADC	238.5787	ADC	207.4404
ADD1	5165.8206	ADD1	6374.444
ADD2	82.9103	ADD2	51.759
ADD3	2414.1286	ADD3	3425.3943
ADH1A	291.4552	ADH1A	68.7424
ADH1B	31508.0372	ADH1B	6746.4618
ADH1C	126.9036	ADH1C	122.5233
removed	removed	ADH4	8.4917
ADH5	2097.2927	ADH5	3320.6632
ADH7	6.7682	removed	removed
ADHFE1	148.9002	ADHFE1	295.9968
ADI1	1589.2555	ADI1	1409.2196
ADIPOQ	26127.7496	ADIPOQ	4802.2645
ADIPOR1	3660.3215	ADIPOR1	2456.9349
ADIPOR2	3889.5939	ADIPOR2	1966.4375
ADK	359.1371	ADK	335.2204
ADM2	88.4095	ADM2	95.4307
ADM	358.714	ADM	180.7521
