gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
AIDA	1487.7256	AIDA	756.3462
AIF1L	791.0126	AIF1L	1612.069
AIF1	458.5968	AIF1	184.6817
AIFM1	857.3767	AIFM1	804.3767
AIFM2	280.9315	AIFM2	311.008
AIFM3	5.9519	AIFM3	13.9257
AIG1	738.3379	AIG1	779.8408
AIM1L	5.6543	removed	removed
AIM1	1806.7108	AIM1	5564.9867
AIM2	14.2847	removed	removed
AIMP1	855.5167	AIMP1	1275.2686
AIMP2	317.1639	AIMP2	268.2162
AIP	1059.445	AIP	605.1061
AJAP1	11.6063	AJAP1	18.2361
AK1	646.6781	AK1	371.3528
AK2	1848.3744	AK2	2046.7507
AK3L1	193.438	AK3L1	573.6074
AK3	1294.2489	AK3	1628.3156
AK5	618.4064	AK5	3516.9098
AK7	33.0333	AK7	68.3024
AKAP10	398.7799	AKAP10	614.0584
AKAP11	1590.3579	AKAP11	2662.7984
AKAP12	4100.5878	AKAP12	1841.1804
AKAP13	4830.2954	AKAP13	4812.0027
AKAP1	995.4616	AKAP1	3277.5199
AKAP2	1880.3274	AKAP2	2668.0272
AKAP3	15.7726	AKAP3	43.7666
AKAP5	269.0276	AKAP5	198.939
AKAP6	76.1848	AKAP6	354.443
AKAP7	129.7523	AKAP7	187.0027
AKAP8L	680.9017	AKAP8L	873.6737
AKAP8	435.9795	AKAP8	841.5119
AKAP9	3106.3165	AKAP9	3492.0424
AKD1	89.2791	AKD1	212.8647
AKIRIN1	943.0846	AKIRIN1	1521.2202
AKIRIN2	556.5062	AKIRIN2	536.4721
removed	removed	AKNAD1	6.2997
AKNA	569.3029	AKNA	508.2891
AKR1A1	2307.5664	AKR1A1	1776.5252
AKR1B10	5.3567	AKR1B10	13.2626
AKR1B15	6.5471	AKR1B15	605.7692
AKR1B1	1143.9625	AKR1B1	816.9761
AKR1C1	417.8261	AKR1C1	1065.9814
AKR1C2	486.5709	AKR1C2	181.366
AKR1C3	902.909	AKR1C3	557.6923
removed	removed	AKR1D1	192.3077
AKR1E2	12.4991	AKR1E2	26.5252
AKR7A2	1428.1675	AKR7A2	872.0159
AKR7A3	496.3916	AKR7A3	532.4934
AKR7L	9.8207	AKR7L	26.5252
AKT1S1	847.2584	AKT1S1	532.8249
AKT1	3816.9779	AKT1	2483.4218
AKT2	2056.3946	AKT2	1991.7109
AKT3	1104.0845	AKT3	1282.4934
AKTIP	445.702	AKTIP	585.5603
ALAD	1570.7165	ALAD	1744.695
ALAS1	1176.9958	ALAS1	789.7878
ALAS2	17.8558	ALAS2	6.2997
ALB	17.8558	ALB	145.8886
ALCAM	3522.9522	ALCAM	10437.6658
ALDH16A1	608.2881	ALDH16A1	346.817
ALDH18A1	3305.4088	ALDH18A1	1768.2361
ALDH1A1	1540.6592	ALDH1A1	1977.7851
ALDH1A2	95.8262	ALDH1A2	116.7109
ALDH1A3	1051.2968	ALDH1A3	6201.7971
ALDH1B1	1160.9255	ALDH1B1	449.6021
ALDH1L1	105.0517	ALDH1L1	110.7427
ALDH1L2	961.8332	ALDH1L2	193.3024
ALDH2	5157.3544	ALDH2	3215.1857
removed	removed	ALDH3A1	49.7347
ALDH3A2	1561.1934	ALDH3A2	2000.6631
ALDH3B1	192.2476	ALDH3B1	122.0159
ALDH3B2	3928.2791	ALDH3B2	6066.9761
ALDH4A1	924.6336	ALDH4A1	1029.5093
ALDH5A1	428.5395	ALDH5A1	601.7905
ALDH6A1	654.4632	ALDH6A1	637.9973
ALDH7A1	1367.4578	ALDH7A1	2964.5225
ALDH8A1	8.6303	ALDH8A1	13.2626
ALDH9A1	4091.3622	ALDH9A1	2524.8674
ALDOA	22773.6032	ALDOA	11938.992
ALDOC	220.2217	ALDOC	539.7878
ALG10B	238.6727	ALG10B	339.8541
ALG10	90.4695	ALG10	145.2255
ALG11	13.6895	ALG11	12.2679
ALG12	655.9036	ALG12	358.0902
ALG13	358.0091	ALG13	581.565
ALG14	202.3659	ALG14	159.4828
ALG1	762.1844	ALG1	312.5995
ALG2	755.5985	ALG2	797.4138
ALG3	638.643	ALG3	424.4032
ALG5	613.3472	ALG5	538.4615
ALG6	355.9259	ALG6	363.7268
ALG8	811.2492	ALG8	832.8912
ALG9	467.8223	ALG9	537.7984
ALKBH1	281.5267	ALKBH1	315.6499
ALKBH2	203.2587	ALKBH2	282.1618
ALKBH3	244.9223	ALKBH3	356.4324
ALKBH4	210.2433	ALKBH4	173.3389
ALKBH5	2206.7078	ALKBH5	1924.307
ALKBH6	50.5915	ALKBH6	45.0928
ALKBH7	469.0127	ALKBH7	285.1459
ALKBH8	287.181	ALKBH8	351.1273
ALK	6.2495	ALK	85.8753
removed	removed	ALMS1P	10.9416
ALMS1	860.3527	ALMS1	1152.5199
removed	removed	ALOX12P2	50.3979
ALOX15B	179.1533	ALOX15B	11224.8011
removed	removed	ALOX15	55.7029
ALOX5AP	545.4951	ALOX5AP	156.8302
ALOX5	602.6337	ALOX5	631.6313
ALOXE3	5.6543	ALOXE3	14.9204
ALPK1	457.704	ALPK1	817.6393
ALPK2	55.6506	ALPK2	12.931
ALPK3	366.3418	ALPK3	156.4987
ALPL	603.8241	ALPL	894.8939
ALS2CL	169.035	ALS2CL	306.366
removed	removed	ALS2CR11	5.6366
ALS2CR4	491.6301	ALS2CR4	2153.8462
ALS2CR8	105.6469	ALS2CR8	295.0928
ALS2	513.0571	ALS2	820.2918
ALX3	11.9039	ALX3	30.504
ALX4	15.1774	ALX4	30.1724
AMACR	450.2641	AMACR	261.2732
removed	removed	AMBP	71.2865
AMBRA1	1253.1806	AMBRA1	1414.4562
AMD1	879.2828	AMD1	2846.4854
removed	removed	AMDHD1	13.9257
AMDHD2	280.6488	AMDHD2	125.9416
AMFR	2693.252	AMFR	3260.2785
AMICA1	180.0461	AMICA1	58.0239
AMIGO1	121.4195	AMIGO1	182.6923
AMIGO2	774.9423	AMIGO2	5984.4131
