gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
LASP1	5311.8594	LASP1	5534.8667
LASS1	7.7354	LASS1	24.3483
LASS2	9941.5007	LASS2	4007.667
removed	removed	LASS3	28.1124
LASS4	898.9181	LASS4	1289.1566
LASS5	1057.5735	LASS5	907.2654
LASS6	1866.5495	LASS6	2152.0628
LAT2	143.5638	LAT2	70.8288
LATS1	523.1758	LATS1	836.4367
LATS2	528.9802	LATS2	726.9076
LAT	105.4246	LAT	48.8682
LAX1	39.0834	LAX1	28.4775
LAYN	167.5556	LAYN	212.4863
LBH	1677.8773	LBH	2725.0821
LBP	71.2014	LBP	21.1756
LBR	433.4001	LBR	677.9847
LBX2	13.7488	removed	removed
LCA5L	182.2602	LCA5L	65.3523
LCA5	318.4716	LCA5	546.5498
LCAT	34.4785	LCAT	99.8941
LCK	203.9302	LCK	33.2238
LCLAT1	361.4247	LCLAT1	393.5743
LCMT1	1056.7996	LCMT1	521.7233
LCMT2	412.504	LCMT2	393.2092
LCN10	7.9212	LCN10	37.2399
LCN12	32.505	LCN12	8.3972
LCN2	48.7575	LCN2	204.8193
removed	removed	LCN6	7.3019
LCORL	79.0994	LCORL	72.4863
LCOR	214.9471	LCOR	208.4045
LCP1	3356.1417	LCP1	1389.5582
LCP2	329.6936	LCP2	165.3888
LDB1	2149.1999	LDB1	1520.2629
LDB2	323.8891	LDB2	837.5319
LDB3	29.7963	LDB3	26.287
LDHA	11018.4224	LDHA	7704.2716
LDHB	2110.5035	LDHB	4505.659
LDHC	5.8045	removed	removed
LDHD	39.8573	LDHD	247.5356
LDLRAD2	94.7908	LDLRAD2	122.0847
LDLRAD3	1766.4922	LDLRAD3	944.5053
LDLRAP1	602.8904	LDLRAP1	871.4859
LDLR	824.234	LDLR	2797.7364
LDOC1L	1500.6477	LDOC1L	1624.3154
LDOC1	767.7372	LDOC1	864.184
LEAP2	5.0305	LEAP2	6.2066
LEF1	1236.738	LEF1	245.7101
LEFTY1	11.6554	removed	removed
removed	removed	LEFTY2	9.4925
LEKR1	18.1873	LEKR1	27.3823
removed	removed	LEMD1	5.8415
LEMD2	665.5787	LEMD2	558.598
LEMD3	627.2692	LEMD3	962.395
LENG1	80.4886	LENG1	89.4487
LENG8	1518.0727	LENG8	3503.0632
LENG9	111.0472	LENG9	116.1409
LEO1	631.1388	LEO1	652.793
LEPRE1	744.9063	LEPRE1	473.5305
LEPREL1	112.9936	LEPREL1	542.1687
LEPREL2	418.6954	LEPREL2	382.9865
LEPROTL1	1193.011	LEPROTL1	770.3541
LEPROT	792.4565	LEPROT	1086.7689
LEPR	446.2163	LEPR	828.8938
LEP	124.9895	LEP	828.7696
LETM1	1234.8032	LETM1	994.1585
LETM2	99.0629	LETM2	35.0493
LETMD1	931.4231	LETMD1	1201.8985
LFNG	1049.0603	LFNG	670.6827
LGALS12	31.3441	LGALS12	182.5484
LGALS1	4413.3282	LGALS1	3853.2311
LGALS2	24.7657	removed	removed
LGALS3BP	7083.7691	LGALS3BP	4679.08
LGALS3	4190.4368	LGALS3	4829.4998
removed	removed	LGALS4	6.5717
LGALS7B	11.9959	LGALS7B	99.3063
LGALS7	8.9002	LGALS7	15.3341
LGALS8	1880.9407	LGALS8	1216.8492
LGALS9C	11.9959	removed	removed
LGALS9	1073.4391	LGALS9	330.4126
LGI2	128.4722	LGI2	50.7484
LGI4	29.4093	LGI4	102.5922
LGMN	1426.7375	LGMN	1690.0329
LGR4	285.9666	LGR4	1519.8978
LGR5	79.7147	LGR5	12.7784
LGR6	870.6697	LGR6	1370.9383
LGTN	1976.6138	LGTN	1422.0518
removed	removed	LHCGR	5.4765
LHFPL1	5.4175	LHFPL1	16.4294
LHFPL2	1074.213	LHFPL2	1649.142
LHFPL5	17.8004	removed	removed
LHFP	1056.0257	LHFP	1302.6652
LHPP	457.3918	LHPP	411.0989
LHX4	6.323	removed	removed
LHX6	202.7693	LHX6	221.2486
LIAS	184.969	LIAS	206.6448
LIFR	831.1994	LIFR	4792.2599
LIF	135.4375	LIF	650.6024
LIG1	676.0267	LIG1	589.9963
LIG3	818.4296	LIG3	687.1121
LIG4	302.2191	LIG4	388.0978
LILRA1	10.835	removed	removed
LILRA2	48.3705	LILRA2	16.7945
LILRA4	42.953	removed	removed
LILRA5	16.2525	removed	removed
LILRA6	15.8771	LILRA6	7.1851
LILRB1	95.9672	LILRB1	32.8587
LILRB2	85.5191	LILRB2	32.1285
LILRB3	37.137	LILRB3	20.1972
LILRB4	196.9648	LILRB4	52.2088
LILRB5	13.9307	LILRB5	46.7324
LIMA1	2906.1021	LIMA1	4847.0245
LIMCH1	1638.407	LIMCH1	3504.9288
LIMD1	1345.7265	LIMD1	1054.6769
LIMD2	276.072	LIMD2	84.3008
LIME1	54.0125	LIME1	16.6338
LIMK1	1235.9641	LIMK1	626.1409
LIMK2	1633.3764	LIMK2	2317.6342
LIMS1	355.6202	LIMS1	422.0518
LIMS2	451.9743	LIMS2	1097.1157
LIMS3-LOC440895	12.6344	LIMS3-LOC440895	24.1475
LIMS3	8.6487	LIMS3	10.9018
LIN37	94.7792	LIN37	86.4184
LIN52	104.8673	LIN52	139.467
LIN54	343.2374	LIN54	354.5089
LIN7A	7.3523	LIN7A	171.5955
LIN7B	18.1873	LIN7B	38.3352
LIN7C	804.4988	LIN7C	1005.1114
LIN9	196.5779	LIN9	149.3246
LINGO1	126.9243	LINGO1	46.7324
removed	removed	LINGO2	9.4925
LINGO4	18.5743	LINGO4	13.5086
LINS1	322.7283	LINS1	347.9372
LIPA	2170.4829	LIPA	1863.4538
removed	removed	LIPC	7.667
LIPE	548.6767	LIPE	1158.8171
LIPG	104.0934	LIPG	90.1789
LIPH	169.1034	LIPH	270.1716
removed	removed	LIPK	9.1274
LIPT1	95.1932	LIPT1	139.1019
LIPT2	20.8961	LIPT2	23.0011
LITAF	3988.4414	LITAF	4442.4973
LIX1L	464.3572	LIX1L	654.6185
LLGL1	926.3926	LLGL1	967.5064
LLGL2	1246.4121	LLGL2	876.2322
LLPH	603.7998	LLPH	554.414
LMAN1	4043.7773	LMAN1	3870.3907
LMAN2L	607.921	LMAN2L	756.4805
LMAN2	2461.8671	LMAN2	2172.3257
LMBR1L	371.4858	LMBR1L	333.3333
LMBR1	1401.9718	LMBR1	1108.4337
LMBRD1	1451.5032	LMBRD1	1767.7985
LMBRD2	170.6513	LMBRD2	265.4253
LMCD1	731.7496	LMCD1	601.3143
LMF1	281.71	LMF1	264.6951
LMF2	1033.5817	LMF2	879.5181
LMLN	401.282	LMLN	302.3001
LMNA	7863.8892	LMNA	10388.828
LMNB1	621.0778	LMNB1	273.4575
LMNB2	983.2764	LMNB2	620.2994
LMO2	294.0929	LMO2	350.858
LMO3	55.3359	LMO3	112.8149
LMO4	754.1935	LMO4	907.2654
LMO7	607.147	LMO7	789.3392
LMOD1	538.6544	LMOD1	2027.0172
LMOD3	5.0305	removed	removed
LMTK2	358.7159	LMTK2	393.5743
LMTK3	167.1686	LMTK3	143.1179
removed	removed	LMX1A	6.9368
LMX1B	1425.9636	LMX1B	1739.3209
LNP1	45.3445	LNP1	99.3939
LNPEP	286.2607	LNPEP	438.1161
LNX1	489.1229	LNX1	415.115
LNX2	725.1712	LNX2	722.8916
LOC100009676	61.4925	LOC100009676	76.5243
removed	removed	LOC100101266	7.667
removed	removed	LOC100124692	103.3224
LOC100125556	92.6238	LOC100125556	64.644
LOC100126784	41.2891	LOC100126784	141.8474
removed	removed	LOC100127888	11.9861
LOC100128191	36.1231	LOC100128191	33.2421
removed	removed	LOC100128239	10.9529
LOC100128288	28.2484	LOC100128288	67.908
LOC100128292	21.67	LOC100128292	54.3994
LOC100128640	54.175	LOC100128640	71.1939
LOC100128788	24.3826	LOC100128788	15.6992
LOC100128822	81.6495	LOC100128822	104.4177
LOC100128842	16.6395	LOC100128842	29.2077
LOC100128977	87.4539	LOC100128977	21.9058
LOC100129034	2283.1437	LOC100129034	2099.3319
removed	removed	LOC100129066	6.2066
LOC100129387	73.8599	LOC100129387	125.188
LOC100129534	64.623	LOC100129534	59.1457
LOC100129550	225.2132	LOC100129550	230.011
LOC100129637	107.1891	LOC100129637	199.4925
LOC100129716	5.8045	LOC100129716	13.1435
removed	removed	LOC100129726	12.7784
LOC100130015	14.1358	LOC100130015	37.4954
LOC100130093	173.6735	LOC100130093	147.7583
LOC100130148	15.4786	LOC100130148	17.8897
LOC100130522	84.3582	LOC100130522	16.7945
LOC100130557	22.3588	LOC100130557	46.7616
LOC100130581	82.0364	LOC100130581	73.7495
LOC100130691	8.9002	LOC100130691	7.3019
LOC100130776	342.4325	LOC100130776	240.8434
LOC100130872	108.35	LOC100130872	46.0022
LOC100130932	51.8532	LOC100130932	36.8748
LOC100130987	9.6741	LOC100130987	14.6039
LOC100131193	51.0793	LOC100131193	44.2899
LOC100131434	28.6779	LOC100131434	95.3523
LOC100131551	6.1914	removed	removed
LOC100131691	31.5337	LOC100131691	22.5885
LOC100132111	12.3829	LOC100132111	23.0011
LOC100132215	7.7393	LOC100132215	17.5246
LOC100132247	109.1239	LOC100132247	78.1307
LOC100132287	304.154	LOC100132287	337.3494
LOC100132288	162.912	LOC100132288	164.6586
LOC100132354	11.222	removed	removed
LOC100132707	126.9746	LOC100132707	159.5619
LOC100132832	7.8244	removed	removed
LOC100133161	54.2331	LOC100133161	49.2881
LOC100133331	129.8227	LOC100133331	153.3954
removed	removed	LOC100133545	14.2388
LOC100133612	5.8045	LOC100133612	5.8415
LOC100133669	6.1914	LOC100133669	27.0172
LOC100133985	5.4175	removed	removed
LOC100133991	35.9877	LOC100133991	31.0332
LOC100134229	70.4275	LOC100134229	168.3096
LOC100134259	11.222	LOC100134259	25.5568
LOC100134713	23.2256	LOC100134713	16.0643
LOC100144603	5.4175	LOC100144603	5.4765
removed	removed	LOC100144604	16.0643
LOC100170939	396.77	LOC100170939	150.3907
LOC100188947	17.8004	LOC100188947	36.8748
LOC100188949	7.7393	removed	removed
LOC100190938	80.1016	LOC100190938	131.4348
LOC100190939	152.4639	LOC100190939	357.7948
LOC100190986	120.7329	LOC100190986	140.1972
LOC100192378	8.1263	LOC100192378	10.5878
LOC100216545	55.7229	LOC100216545	65.7174
LOC100233209	30.1832	LOC100233209	8.3972
removed	removed	LOC100240726	7.3019
removed	removed	LOC100240735	8.7623
LOC100268168	10.0611	LOC100268168	7.3019
LOC100270710	226.6141	LOC100270710	316.8054
LOC100270746	19.7352	LOC100270746	34.3191
LOC100270804	13.5438	LOC100270804	30.303
LOC100271722	23.2179	LOC100271722	52.939
LOC100271836	230.8087	LOC100271836	343.9869
LOC100272146	28.6354	LOC100272146	37.9701
LOC100272216	28.6354	LOC100272216	20.8105
LOC100272217	12.3829	LOC100272217	17.1595
LOC100272228	20.1221	LOC100272228	56.9551
LOC100286793	213.9913	LOC100286793	132.8952
LOC100286844	22.0686	LOC100286844	28.6382
LOC100287227	7.7393	LOC100287227	9.5035
LOC100288778	181.8616	LOC100288778	205.4582
LOC100289341	56.8838	LOC100289341	62.7966
LOC100302401	11.6089	LOC100302401	32.8587
LOC100302640	7.3523	LOC100302640	8.3972
LOC100302650	8.5132	LOC100302650	28.4775
LOC100303728	24.7657	LOC100303728	35.4144
LOC113230	171.8122	LOC113230	113.9102
LOC115110	70.9576	LOC115110	75.0201
removed	removed	LOC121838	42.3512
LOC134466	25.1527	LOC134466	116.4659
LOC143188	15.8655	LOC143188	14.6039
LOC143666	17.8004	LOC143666	15.6992
LOC144438	622.2386	LOC144438	934.2826
LOC144486	5.4175	LOC144486	9.4925
LOC144571	22.8657	LOC144571	51.1902
LOC145783	29.0494	LOC145783	26.8164
LOC145820	15.0916	LOC145820	30.6681
LOC145837	42.953	LOC145837	152.9755
LOC146880	236.1411	LOC146880	276.3563
LOC147727	264.2966	LOC147727	609.3465
LOC147804	90.1627	LOC147804	102.5922
LOC148189	66.3605	LOC148189	66.4476
LOC148413	326.8843	LOC148413	272.0737
LOC148709	9.2871	removed	removed
LOC149134	15.0916	LOC149134	7.667
LOC149837	34.4398	LOC149837	48.923
LOC150381	31.3441	LOC150381	36.6849
LOC150776	427.2086	LOC150776	425.7028
LOC150786	42.1791	LOC150786	49.2881
LOC151009	15.0916	LOC151009	59.5108
LOC151162	1092.7873	LOC151162	1486.3089
LOC151174	5.8045	LOC151174	8.3972
LOC151534	291.566	LOC151534	65.3523
LOC152217	150.5291	LOC152217	205.9146
LOC153684	20.8961	LOC153684	25.9219
LOC154761	54.3491	LOC154761	65.8087
LOC154822	8.3043	LOC154822	24.4943
removed	removed	LOC157381	5.8415
LOC158376	15.4786	LOC158376	31.3983
LOC158572	36.7616	LOC158572	39.4304
removed	removed	LOC158696	8.3972
LOC162632	288.6444	LOC162632	386.1227
LOC168474	23.2179	LOC168474	14.6039
LOC200030	873.7848	LOC200030	800.8908
LOC202181	32.892	LOC202181	58.0504
LOC202781	155.1727	LOC202781	216.1373
LOC219347	184.0789	LOC219347	124.5455
LOC220594	13.5438	LOC220594	92.9755
LOC220729	87.8409	LOC220729	142.3877
LOC220930	59.7396	LOC220930	87.2581
LOC221442	36.7616	LOC221442	120.1168
LOC221710	276.6795	LOC221710	350.4929
LOC222699	76.232	LOC222699	28.4775
LOC253039	535.9456	LOC253039	827.6743
LOC253724	24.3788	LOC253724	18.6199
LOC254559	77.3929	LOC254559	108.7988
LOC255167	10.0611	LOC255167	80.6864
LOC25845	293.9845	LOC25845	306.5389
LOC282997	68.1057	LOC282997	50.7484
LOC283050	25.9266	LOC283050	43.0814
LOC283070	210.8956	LOC283070	139.1019
LOC283174	28.6354	LOC283174	195.3268
LOC283267	172.9731	LOC283267	217.5977
LOC283314	77.8495	LOC283314	73.5086
LOC283392	5.6032	LOC283392	108.8938
LOC283663	37.5355	LOC283663	30.303
LOC283731	5.8045	LOC283731	7.667
LOC283867	13.5438	removed	removed
LOC283922	27.8614	LOC283922	82.1468
LOC284023	181.8732	LOC284023	197.8824
LOC284232	8.5132	LOC284232	18.985
LOC284233	22.057	LOC284233	22.636
LOC284276	42.5661	LOC284276	20.0803
LOC284440	87.067	LOC284440	128.8792
LOC284441	80.4886	LOC284441	64.9872
removed	removed	LOC284578	43.4465
LOC284837	68.4927	LOC284837	61.3363
LOC284900	116.0196	LOC284900	135.6444
LOC285033	40.5036	LOC285033	33.7824
LOC285074	168.3295	LOC285074	164.6586
LOC285359	39.0834	LOC285359	66.4476
removed	removed	LOC285419	5.4765
LOC285593	10.835	LOC285593	8.0321
LOC285830	16.593	LOC285830	43.4356
removed	removed	LOC286002	21.5407
LOC286367	23.6048	LOC286367	96.3855
removed	removed	LOC286467	10.2227
LOC338651	91.3236	LOC338651	46.7324
LOC338758	20.8961	LOC338758	73.7495
LOC338799	220.1827	LOC338799	297.9189
LOC339047	1179.8542	LOC339047	1036.1446
LOC339290	547.3881	LOC339290	1093.4648
LOC339524	95.9672	LOC339524	113.18
LOC341056	11.6089	LOC341056	6.9368
LOC344595	133.5027	LOC344595	257.7583
LOC348926	123.4416	LOC348926	86.5279
LOC349114	236.0482	LOC349114	142.0226
removed	removed	LOC349196	14.5089
LOC374443	175.2948	LOC374443	152.2453
LOC375190	115.3154	LOC375190	103.6875
LOC387646	50.3054	LOC387646	19.7152
LOC387647	405.9333	LOC387647	495.6407
LOC388152	261.2009	LOC388152	244.2497
LOC388242	50.6923	LOC388242	22.636
LOC388588	17.8004	LOC388588	14.2388
LOC388692	358.7159	LOC388692	378.6053
LOC388789	415.5997	LOC388789	483.023
LOC388796	248.0441	LOC388796	279.299
LOC388955	206.639	LOC388955	191.3107
LOC389033	67.3318	LOC389033	21.9058
LOC389333	33.2789	LOC389333	27.7474
LOC389493	22.4439	LOC389493	22.2709
LOC389705	6.1914	LOC389705	12.7784
removed	removed	LOC390595	13.5086
LOC391322	8.1263	LOC391322	10.5878
LOC399744	217.8609	LOC399744	144.9434
LOC399815	9.6741	removed	removed
LOC399959	210.8956	LOC399959	685.6517
LOC400027	158.6554	LOC400027	359.6203
LOC400043	198.5127	LOC400043	226.36
LOC400657	308.4106	LOC400657	222.709
LOC400752	32.118	LOC400752	41.621
LOC400759	20.5091	LOC400759	16.0643
LOC400927	16.6085	LOC400927	28.8609
LOC400931	15.8655	LOC400931	67.5429
LOC401010	29.7963	LOC401010	26.287
LOC401052	65.397	LOC401052	108.4337
LOC401093	62.3322	LOC401093	153.3005
removed	removed	LOC401127	7.3019
LOC401397	750.7108	LOC401397	502.7382
LOC401431	32.9074	LOC401431	32.8587
LOC401588	33.6659	LOC401588	85.0675
LOC402377	8.5132	LOC402377	13.8737
LOC407835	37.9225	LOC407835	34.6842
removed	removed	LOC440173	11.6831
LOC440354	138.3243	LOC440354	134.2716
removed	removed	LOC440461	8.7623
LOC440905	177.2297	LOC440905	83.9723
LOC440925	35.2138	LOC440925	6.2066
LOC440944	151.69	LOC440944	297.5539
LOC440957	60.7534	LOC440957	103.6875
LOC441046	10.448	LOC441046	17.8897
LOC441089	91.7105	LOC441089	119.3866
LOC441204	59.2055	LOC441204	73.0194
LOC441208	30.9571	LOC441208	52.2088
LOC441294	185.3559	LOC441294	200.073
LOC441455	9.6741	LOC441455	10.2227
LOC441666	42.953	LOC441666	119.7517
LOC441869	98.6759	LOC441869	194.9617
LOC442421	22.057	LOC442421	32.4936
LOC442454	128.0852	LOC442454	129.2442
LOC493754	513.1147	LOC493754	483.3881
LOC541471	293.319	LOC541471	106.9733
removed	removed	LOC541473	6.8821
LOC550112	266.5875	LOC550112	339.1749
LOC550643	298.3495	LOC550643	263.2348
LOC554202	25.1527	LOC554202	54.7645
removed	removed	LOC572558	10.2227
LOC595101	106.0282	LOC595101	175.2355
LOC606724	13.1568	removed	removed
LOC613037	20.5091	LOC613037	35.7795
LOC619207	11.9959	LOC619207	9.8576
LOC641298	78.7047	LOC641298	50.1679
LOC642587	485.6402	LOC642587	735.67
LOC642826	99.0087	LOC642826	239.8467
LOC642846	47.2096	LOC642846	68.6382
LOC642852	219.7957	LOC642852	245.7101
LOC643008	8.1263	LOC643008	10.9529
LOC643387	36.7616	LOC643387	34.6842
removed	removed	LOC643719	44.5418
removed	removed	LOC643763	20.8105
LOC643837	120.7329	LOC643837	136.1811
LOC644165	5.0189	removed	removed
LOC644172	6.5784	LOC644172	11.6831
LOC644538	58.0446	LOC644538	104.0526
LOC644936	31.7311	LOC644936	19.7152
LOC645166	61.9143	LOC645166	69.7335
LOC645332	152.8509	LOC645332	159.9124
LOC645431	44.8105	LOC645431	22.4571
LOC645676	22.1344	LOC645676	34.4797
LOC646214	100.6107	LOC646214	257.0281
LOC646471	46.3815	LOC646471	81.2888
LOC646762	445.009	LOC646762	305.2209
LOC646851	108.737	LOC646851	128.5141
LOC646999	14.3177	LOC646999	21.5407
LOC647121	64.623	LOC647121	32.1285
LOC647288	12.3829	LOC647288	8.0321
LOC647946	26.3136	LOC647946	9.4925
LOC647979	10001.0932	LOC647979	12336.6192
removed	removed	LOC648740	14.111
LOC649330	8.5132	LOC649330	8.0321
LOC650368	25.1527	LOC650368	41.2559
LOC650623	63.4622	LOC650623	115.0055
LOC651250	1856.6549	LOC651250	2098.5761
LOC652276	44.8879	LOC652276	34.3191
LOC653113	36.7616	LOC653113	39.7955
LOC653501	250.3659	LOC653501	313.9832
LOC653566	1739.7916	LOC653566	1476.8164
LOC653653	85.1322	LOC653653	70.8288
LOC654342	263.1357	LOC654342	294.9982
LOC654433	222.1446	LOC654433	284.0927
LOC678655	237.9598	LOC678655	291.2997
LOC723972	8.9002	LOC723972	7.667
LOC727896	15.4786	LOC727896	21.5407
LOC728024	15.8655	LOC728024	30.303
LOC728190	218.6348	LOC728190	196.7871
LOC728264	143.1768	LOC728264	1826.2139
LOC728323	27.8614	LOC728323	50.3834
LOC728392	48.7575	LOC728392	93.8299
LOC728554	237.2091	LOC728554	211.391
LOC728606	152.077	LOC728606	113.18
LOC728613	191.9343	LOC728613	177.437
LOC728640	49.1445	LOC728640	58.4155
LOC728643	47.9836	LOC728643	55.1296
LOC728723	9.2871	LOC728723	27.3823
LOC728743	154.7857	LOC728743	119.3866
LOC728758	27.0875	LOC728758	25.9219
LOC728819	11.6089	LOC728819	38.7003
LOC728855	295.6408	LOC728855	160.7704
LOC728875	18.9613	LOC728875	42.5885
LOC728989	6.5784	removed	removed
LOC729020	25.5396	LOC729020	25.1917
LOC729082	395.7871	LOC729082	440.7156
LOC729156	5.8277	removed	removed
LOC729176	34.0529	LOC729176	32.8587
LOC729234	49.8023	LOC729234	94.195
LOC729375	54.562	LOC729375	56.9551
LOC729603	15.4786	LOC729603	17.5246
LOC729668	8.2269	removed	removed
LOC729678	413.3592	LOC729678	355.4582
LOC729799	10.448	LOC729799	20.8105
LOC729991-MEF2B	27.0759	LOC729991-MEF2B	39.2735
LOC729991	225.0236	LOC729991	209.4049
LOC730101	168.3295	LOC730101	200.8032
removed	removed	LOC730668	6.2066
LOC80054	15.8655	LOC80054	68.6382
LOC80154	313.4411	LOC80154	382.9865
LOC81691	240.6918	LOC81691	139.8321
removed	removed	LOC84740	5.1187
LOC84856	19.3482	LOC84856	25.5568
LOC84989	9.7399	LOC84989	9.1822
LOC90110	263.1357	LOC90110	315.4436
LOC90246	7.3523	LOC90246	13.5086
LOC90784	369.9379	LOC90784	267.6159
LOC90834	19.3482	LOC90834	37.2399
LOC91316	209.8546	LOC91316	408.5031
LOC92249	523.5627	LOC92249	758.671
LOC92659	160.2032	LOC92659	85.7977
LOC92973	66.1709	LOC92973	120.4819
removed	removed	LOC93432	16.0643
LOC93622	434.9479	LOC93622	405.6225
LOC96610	6395.2047	LOC96610	6600.4673
LOH12CR1	95.1932	LOH12CR1	125.5933
LOH12CR2	18.1873	LOH12CR2	37.605
LOH3CR2A	25.9266	LOH3CR2A	71.1939
LONP1	1213.9071	LONP1	1060.6061
LONP2	1538.5702	LONP2	3387.0026
LONRF1	648.5522	LONRF1	813.4356
LONRF2	791.729	LONRF2	1272.7273
removed	removed	LONRF3	31.7634
LOXL1	1333.0921	LOXL1	330.0475
LOXL2	1583.4	LOXL2	648.3863
LOXL3	79.2348	LOXL3	59.226
LOXL4	109.8979	LOXL4	609.7116
LOX	842.4214	LOX	461.8474
removed	removed	LPAL2	5.4765
LPAR1	405.9256	LPAR1	658.6345
LPAR2	361.0377	LPAR2	269.4414
LPAR3	66.9448	LPAR3	25.5568
LPAR4	8.9002	LPAR4	9.8576
LPAR5	77.7798	LPAR5	50.7484
LPAR6	869.1219	LPAR6	1209.9306
LPCAT1	1674.0077	LPCAT1	776.9259
LPCAT2	465.9051	LPCAT2	1396.4951
LPCAT3	2003.3143	LPCAT3	1875.502
LPCAT4	375.3554	LPCAT4	450.1643
LPGAT1	4369.6012	LPGAT1	1685.2866
LPHN1	1459.6295	LPHN1	1090.8762
LPHN2	722.0754	LPHN2	1504.5637
LPHN3	23.9918	LPHN3	240.2337
LPIN1	397.0254	LPIN1	1242.7893
LPIN2	857.513	LPIN2	813.4356
LPIN3	283.8616	LPIN3	451.5699
LPL	772.7678	LPL	5004.0161
LPPR1	7.7393	LPPR1	43.4465
LPPR2	613.3385	LPPR2	507.1194
LPPR3	160.2032	LPPR3	159.5473
LPPR4	93.2584	LPPR4	142.0226
LPP	467.8399	LPP	1135.0858
LPXN	332.4024	LPXN	177.437
LQK1	32.892	LQK1	13.1435
LRAT	33.6659	LRAT	98.211
LRBA	2168.5481	LRBA	3048.5579
LRCH1	723.2363	LRCH1	774.0051
LRCH2	48.7575	LRCH2	93.4648
LRCH3	333.9502	LRCH3	443.2275
LRCH4	996.8201	LRCH4	641.475
LRDD	229.4698	LRDD	194.2315
LRFN1	46.0488	LRFN1	45.272
removed	removed	LRFN2	5.1114
LRFN3	211.2825	LRFN3	164.6586
LRFN4	275.1316	LRFN4	147.134
LRFN5	30.1832	LRFN5	74.4797
LRG1	2523.3944	LRG1	268.7112
LRGUK	40.2443	LRGUK	17.8897
LRIG1	8499.4162	LRIG1	7794.5783
LRIG2	196.1909	LRIG2	327.8569
LRIG3	454.6831	LRIG3	1433.3698
removed	removed	LRIT3	18.2548
LRMP	80.1016	LRMP	93.8299
LRP10	4881.5551	LRP10	5335.1588
LRP11	1037.4514	LRP11	909.0909
LRP12	219.7957	LRP12	385.5422
LRP1B	5.0305	LRP1B	78.1307
LRP1	8359.5905	LRP1	11829.1347
LRP2BP	63.0752	LRP2BP	95.6553
LRP2	1037.8383	LRP2	1879.153
LRP3	576.8516	LRP3	596.057
LRP4	116.4569	LRP4	532.2782
LRP5L	50.6923	LRP5L	91.2742
LRP5	1484.3952	LRP5	2368.0175
LRP6	957.7367	LRP6	1885.3596
LRP8	55.3359	LRP8	59.5108
LRPAP1	1263.4385	LRPAP1	1257.0281
LRPPRC	4104.5307	LRPPRC	3712.3038
LRRC10B	38.3095	LRRC10B	17.1595
LRRC14B	19.7352	removed	removed
LRRC14	617.7537	LRRC14	616.1555
LRRC15	2532.2946	LRRC15	83.9723
LRRC16A	774.3156	LRRC16A	857.2472
LRRC16B	7.7393	LRRC16B	16.0643
LRRC17	344.0113	LRRC17	476.0862
LRRC1	905.8835	LRRC1	671.0478
LRRC20	385.0295	LRRC20	165.7539
LRRC23	236.0482	LRRC23	200.4381
LRRC24	16.0938	LRRC24	7.0646
LRRC25	88.2279	LRRC25	46.3673
LRRC26	16.6395	LRRC26	41.621
LRRC27	491.2667	LRRC27	240.9639
LRRC28	183.0341	LRRC28	199.3428
LRRC29	41.7921	LRRC29	49.2881
LRRC2	8.9002	LRRC2	31.7634
LRRC31	20.1221	LRRC31	59.5108
LRRC32	1323.418	LRRC32	815.261
LRRC33	93.6454	LRRC33	92.3695
LRRC34	35.6007	LRRC34	63.8919
LRRC37A2	125.0785	LRRC37A2	195.0858
LRRC37A3	253.0747	LRRC37A3	150.0548
LRRC37A4	133.5027	LRRC37A4	451.862
LRRC37A	398.1863	LRRC37A	413.6546
LRRC37B2	477.514	LRRC37B2	589.9963
LRRC37B	167.1686	LRRC37B	165.7539
removed	removed	LRRC39	5.6261
removed	removed	LRRC3B	46.3673
LRRC3	33.6659	LRRC3	40.8908
LRRC40	415.9867	LRRC40	409.6386
LRRC41	1997.8968	LRRC41	1967.5064
LRRC42	790.5681	LRRC42	609.3465
LRRC43	7.7393	LRRC43	13.8737
LRRC45	308.0236	LRRC45	155.8963
LRRC46	132.7288	LRRC46	51.8437
LRRC47	1100.5266	LRRC47	1102.2271
LRRC48	222.4387	LRRC48	123.4027
LRRC49	82.8104	LRRC49	123.0376
LRRC4B	9.6741	LRRC4B	17.8897
LRRC4C	106.4152	LRRC4C	128.5141
LRRC4	34.8268	LRRC4	34.3191
LRRC50	51.8532	LRRC50	30.303
LRRC55	37.5355	LRRC55	9.8576
LRRC56	139.6941	LRRC56	84.3373
LRRC57	346.3331	LRRC57	393.2092
LRRC58	1163.2148	LRRC58	1606.4257
LRRC59	2481.6835	LRRC59	2081.391
LRRC61	500.7318	LRRC61	238.7733
LRRC66	5.4175	LRRC66	6.9368
LRRC6	255.7834	LRRC6	81.4166
LRRC70	62.6689	LRRC70	160.3286
LRRC8A	1913.5386	LRRC8A	1893.0267
LRRC8B	717.4319	LRRC8B	994.1585
LRRC8C	545.2327	LRRC8C	1017.1595
LRRC8D	955.8019	LRRC8D	845.199
LRRC8E	633.8476	LRRC8E	427.1632
LRRCC1	1050.6082	LRRCC1	667.0318
LRRFIP1	3645.9779	LRRFIP1	3562.6141
LRRFIP2	1328.8355	LRRFIP2	959.4743
LRRIQ1	27.0875	LRRIQ1	39.0654
LRRIQ3	19.7352	LRRIQ3	18.2548
LRRK1	597.8599	LRRK1	452.3549
