gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
AGBL3	8.1263	AGBL3	7.667
AGBL4	6.5784	AGBL4	9.4925
AGBL5	763.4884	AGBL5	817.4626
AGER	14.7046	AGER	46.7324
AGFG1	1511.8696	AGFG1	1958.7441
AGFG2	389.2861	AGFG2	556.7725
AGGF1	933.7449	AGGF1	855.0566
AGK	559.9374	AGK	569.916
AGL	1099.7526	AGL	1318.3644
AGMAT	27.8614	AGMAT	10.9529
AGPAT1	1852.228	AGPAT1	1733.3333
AGPAT2	801.7901	AGPAT2	962.0299
AGPAT3	2809.748	AGPAT3	2056.59
AGPAT4	130.02	AGPAT4	244.9799
AGPAT5	1152.3798	AGPAT5	887.9153
AGPAT6	2268.3849	AGPAT6	1802.8478
AGPAT9	49.5314	AGPAT9	121.5772
AGPHD1	30.1832	AGPHD1	52.2088
AGPS	1216.2289	AGPS	997.8094
AGR2	3876.9956	AGR2	3352.6835
AGR3	3255.9179	AGR3	858.7076
AGRN	5554.486	AGRN	4411.8291
AGTPBP1	274.3577	AGTPBP1	412.5593
AGTR1	95.9672	AGTR1	151.1501
AGTRAP	1287.4303	AGTRAP	838.9923
AGT	137.7593	AGT	46.0022
AGXT2L1	18.5743	AGXT2L1	7.667
AGXT2L2	327.5227	AGXT2L2	364.1913
AHCTF1	1959.9743	AHCTF1	1652.0628
AHCYL1	4601.3929	AHCYL1	4377.51
AHCYL2	694.601	AHCYL2	755.7503
AHCY	3725.3056	AHCY	2856.1519
AHDC1	724.0103	AHDC1	1199.3428
AHI1	428.3695	AHI1	522.4535
AHNAK2	1360.5666	AHNAK2	889.0106
AHNAK	36090.6154	AHNAK	88706.8273
AHRR	13.1568	AHRR	22.636
AHR	2570.2171	AHR	3807.2289
AHSA1	1331.1573	AHSA1	1330.4126
AHSA2	273.5838	AHSA2	433.7349
AIDA	1682.192	AIDA	841.2085
AIF1L	305.3149	AIF1L	1451.9898
AIF1	317.3108	AIF1	176.7068
