gene_id	TCGA-BH-A0B8-01A-21R-A056-07	gene_id	TCGA-BH-A0B8-11A-41R-A089-07
ABCD1	367.336	ABCD1	1324.5855
ABCD2	10.1017	ABCD2	2021.7106
ABCD3	848.5462	ABCD3	1313.6109
ABCD4	288.8179	ABCD4	620.7802
ABCE1	1257.6667	ABCE1	1194.3218
ABCF1	2028.6132	ABCF1	1653.3461
ABCF2	935.3293	ABCF2	1002.9822
ABCF3	1119.9157	ABCF3	920.9114
ABCG1	1315.5221	ABCG1	632.7091
ABCG2	208.004	ABCG2	102.1114
removed	removed	ABCG8	8.5888
ABHD10	630.8996	ABHD10	576.4046
ABHD11	594.166	ABHD11	145.0555
ABHD12B	5.9692	ABHD12B	18.1319
ABHD12	1562.0964	ABHD12	784.9219
ABHD13	258.9719	ABHD13	467.1359
ABHD14A	313.154	ABHD14A	418.9431
ABHD14B	1389.4485	ABHD14B	3670.7623
ABHD15	326.9291	ABHD15	2020.7563
ABHD1	18.3668	ABHD1	84.4566
ABHD2	4095.7966	ABHD2	2330.9078
ABHD3	451.3641	ABHD3	444.7095
ABHD4	645.1339	ABHD4	1286.413
ABHD5	639.1647	ABHD5	2074.1978
ABHD6	105.1499	ABHD6	633.1862
ABHD8	248.8702	ABHD8	122.152
ABI1	1438.5797	ABI1	1157.1037
ABI2	1857.3428	ABI2	813.0741
ABI3BP	279.6345	ABI3BP	2233.0908
ABI3	116.17	ABI3	150.7813
ABL1	1609.8501	ABL1	2819.0385
ABL2	1573.1165	ABL2	974.83
ABLIM1	1077.6721	ABLIM1	7321.484
ABLIM2	25.7135	ABLIM2	51.0557
ABLIM3	2495.1299	ABLIM3	5887.6297
ABO	9.6426	ABO	24.8121
ABP1	5.9692	ABP1	8.5888
removed	removed	ABRA	12.4061
ABR	2556.1995	ABR	1952.0458
ABT1	676.8166	ABT1	350.2326
ABTB1	442.6399	ABTB1	721.4601
ABTB2	78.9772	ABTB2	83.5023
ACAA1	715.8461	ACAA1	1885.7211
ACAA2	1180.9853	ACAA2	5550.2803
ACACA	4475.0711	ACACA	5046.4034
ACACB	400.3963	ACACB	27114.8753
ACAD10	431.1607	ACAD10	534.4149
ACAD11	361.3668	ACAD11	1676.1971
ACAD8	123.0576	ACAD8	572.5874
ACAD9	920.1721	ACAD9	1344.626
ACADL	5.9692	ACADL	638.9121
ACADM	739.2637	ACADM	3481.8084
ACADSB	4116.9185	ACADSB	1556.4834
ACADS	378.3561	ACADS	2232.6136
ACADVL	4211.8794	ACADVL	7933.6562
ACAN	81.7323	ACAN	80.1622
ACAP1	22.9585	ACAP1	30.0608
ACAP2	1266.8501	ACAP2	1665.7521
ACAP3	319.1369	ACAP3	358.3443
ACAT1	2058.4592	ACAT1	4953.8351
ACAT2	394.799	ACAT2	272.7043
ACBD3	2294.0135	ACBD3	1180.0072
ACBD4	298.4605	ACBD4	295.8368
ACBD5	845.332	ACBD5	1187.6417
ACBD6	807.6801	ACBD6	323.0347
ACBD7	27.5502	removed	removed
ACCN2	373.3052	ACCN2	51.0557
ACCN3	5.0509	ACCN3	5.2487
ACCS	116.17	ACCS	315.8774
ACD	344.3775	ACD	175.1163
removed	removed	ACE2	26.2436
ACER2	128.1084	ACER2	413.2172
ACER3	616.6653	ACER3	1504.9505
ACE	2484.569	ACE	701.4195
ACHE	22.9585	ACHE	9.5431
ACIN1	2961.1875	ACIN1	2470.2374
ACLY	5469.6334	ACLY	3939.4012
ACN9	112.4967	ACN9	143.624
ACO1	1257.6667	ACO1	13847.5486
ACO2	3995.3119	ACO2	6103.0371
ACOT11	140.506	ACOT11	14.3099
ACOT13	529.4414	ACOT13	1070.872
ACOT1	594.166	ACOT1	3146.3676
ACOT2	644.6747	ACOT2	2135.2738
ACOT4	337.0308	ACOT4	381.7249
ACOT6	5.51	ACOT6	16.2233
ACOT7	358.1526	ACOT7	184.6594
ACOT8	216.7283	ACOT8	200.229
ACOT9	116.6292	ACOT9	630.8004
ACOX1	1729.4593	ACOX1	5086.3748
ACOX2	471.1084	ACOX2	581.6533
ACOX3	319.1232	ACOX3	437.075
ACP1	1636.9411	ACP1	971.9671
ACP2	1547.403	ACP2	954.3123
ACP5	396.7229	ACP5	257.1872
ACP6	314.0723	ACP6	202.7914
ACPL2	801.2517	ACPL2	191.3396
ACPP	40.407	ACPP	10.4974
ACRBP	29.3869	ACRBP	33.4009
ACRC	14.2343	ACRC	21.9492
ACR	5.51	ACR	5.2487
ACSBG1	6.8876	ACSBG1	18.6091
ACSF2	1425.2638	ACSF2	1727.3053
ACSF3	296.6238	ACSF3	310.1515
ACSL1	1240.6774	ACSL1	76139.3296
ACSL3	2881.7511	ACSL3	2694.5008
ACSL4	551.004	ACSL4	2715.9728
ACSL5	188.2597	ACSL5	1157.5808
ACSL6	114.3333	removed	removed
ACSM1	35.3561	removed	removed
removed	removed	ACSM2A	11.4517
removed	removed	ACSM2B	5.7259
ACSM3	17.5036	ACSM3	9.6147
ACSM5	21.581	ACSM5	1632.8283
ACSS1	1532.7096	ACSS1	408.9228
ACSS2	1181.9037	ACSS2	7634.4984
ACSS3	56.9371	ACSS3	1803.6502
ACTA1	79.4364	ACTA1	10.4974
ACTA2	5194.2415	ACTA2	17553.3055
ACTB	52313.2412	ACTB	64955.7438
ACTC1	11.0201	ACTC1	67.7562
ACTG1	86983.3333	ACTG1	25212.9309
ACTG2	163.9237	ACTG2	2302.2784
ACTL6A	1620.8702	ACTL6A	524.3946
ACTL8	13.3159	removed	removed
ACTN1	7463.8088	ACTN1	8528.2119
ACTN4	10110.2995	ACTN4	9945.9573
ACTR10	1218.6373	ACTR10	1144.6976
ACTR1A	2778.4378	ACTR1A	3482.7627
ACTR1B	983.083	ACTR1B	1202.4335
ACTR2	5826.4085	ACTR2	6284.1465
ACTR3B	100.0991	ACTR3B	89.7054
ACTR3C	50.9679	ACTR3C	28.6294
ACTR3	3396.4807	ACTR3	2930.2159
ACTR5	274.1245	ACTR5	124.5378
ACTR6	588.1968	ACTR6	446.141
ACTR8	506.9237	ACTR8	502.9226
ACVR1B	1751.7337	ACVR1B	883.216
ACVR1C	49.5904	ACVR1C	6100.9185
ACVR1	657.0723	ACVR1	1164.261
ACVR2A	233.2584	ACVR2A	550.6382
ACVR2B	361.3668	ACVR2B	303.4713
ACVRL1	316.8273	ACVRL1	1617.5593
ACY1	515.6479	ACY1	946.2006
ACYP1	54.6412	ACYP1	21.9492
ACYP2	40.8661	ACYP2	262.913
ADAL	150.1486	ADAL	307.2886
ADAM10	1002.3682	ADAM10	1192.8904
ADAM11	12.8568	removed	removed
ADAM12	1198.8929	ADAM12	1071.2156
ADAM15	2614.1009	ADAM15	3293.8089
ADAM17	652.9398	ADAM17	570.2016
ADAM19	226.3708	ADAM19	170.8219
removed	removed	ADAM21	5.7259
ADAM22	151.5261	ADAM22	184.6594
ADAM23	58.3146	ADAM23	31.9695
ADAM28	51.427	ADAM28	14.7918
ADAM32	23.4177	ADAM32	39.604
ADAM33	44.5395	ADAM33	387.3649
ADAM6	2799.2153	ADAM6	1394.4698
ADAM8	157.4953	ADAM8	23.3807
ADAM9	722.2745	ADAM9	3035.1903
ADAMDEC1	6.8876	removed	removed
ADAMTS10	152.4444	ADAMTS10	168.4361
ADAMTS12	362.2852	ADAMTS12	489.0851
ADAMTS13	11.0201	ADAMTS13	29.5837
ADAMTS14	38.1111	removed	removed
ADAMTS15	904.565	ADAMTS15	498.6282
ADAMTS16	65.6613	ADAMTS16	235.7151
ADAMTS17	17.9076	ADAMTS17	14.3147
ADAMTS18	393.9679	ADAMTS18	255.2785
ADAMTS19	289.7363	removed	removed
ADAMTS1	486.2611	ADAMTS1	5760.229
ADAMTS2	424.7323	ADAMTS2	943.8149
ADAMTS3	16.5301	ADAMTS3	131.6951
ADAMTS4	206.1673	ADAMTS4	417.5116
ADAMTS5	50.5087	ADAMTS5	3197.4234
ADAMTS6	33.0602	ADAMTS6	31.4923
ADAMTS7	112.9558	ADAMTS7	156.9844
ADAMTS8	16.9893	ADAMTS8	27.1979
ADAMTS9	184.5864	ADAMTS9	1128.4743
ADAMTSL1	101.4766	ADAMTSL1	217.106
ADAMTSL2	168.0562	ADAMTSL2	143.624
ADAMTSL3	202.494	ADAMTSL3	839.7948
ADAMTSL4	75.3039	ADAMTSL4	1190.0274
ADAMTSL5	27.091	ADAMTSL5	13.8375
ADAP1	644.7757	ADAP1	46.6897
ADAP2	280.0937	ADAP2	295.8368
ADARB1	715.3869	ADARB1	1601.8132
ADARB2	11.4793	removed	removed
ADAR	14744.8679	ADAR	5058.3323
ADAT1	283.3079	ADAT1	277.7049
ADAT2	61.0696	ADAT2	93.5226
ADAT3	30.7644	ADAT3	17.1776
ADA	152.4444	ADA	156.5072
ADCK1	219.4833	ADCK1	162.7102
ADCK2	933.4927	ADCK2	647.5009
ADCK4	854.9746	ADCK4	320.1718
ADCK5	109.7416	ADCK5	61.5531
ADCY1	63.3655	ADCY1	211.3802
ADCY2	19.7443	ADCY2	60.1217
ADCY3	1723.683	ADCY3	1520.7873
ADCY4	91.834	ADCY4	748.658
ADCY5	27.5502	ADCY5	956.2209
ADCY6	1114.8648	ADCY6	6236.908
ADCY7	403.1513	ADCY7	684.7191
ADCY9	1719.1326	ADCY9	770.6072
removed	removed	ADCYAP1R1	46.2841
ADCYAP1	6.8876	ADCYAP1	8.1117
ADC	104.6908	ADC	51.5329
ADD1	3858.4057	ADD1	9356.0778
ADD2	440.8032	ADD2	88.2739
ADD3	514.2704	ADD3	3122.987
ADH1A	15.6118	ADH1A	1316.9128
ADH1B	1322.4097	ADH1B	97362.2808
ADH1C	89.9973	ADH1C	544.9123
ADH5	1331.1339	ADH5	6903.4952
ADH7	241.9826	ADH7	33.8781
ADHFE1	47.7537	ADHFE1	944.292
ADI1	1068.0295	ADI1	2758.4397
ADIPOQ	1392.6627	ADIPOQ	121963.9747
ADIPOR1	4714.7578	ADIPOR1	2449.2425
ADIPOR2	18223.9992	ADIPOR2	6643.4451
ADK	310.3989	ADK	640.8207
ADM2	490.3936	removed	removed
ADM	106.5274	ADM	1500.1789
ADNP2	561.1058	ADNP2	670.4044
ADNP	4745.0631	ADNP	2182.0351
ADORA1	58.3146	ADORA1	497.6739
ADORA2A	2139.7094	ADORA2A	41.5126
ADORA2B	77.5997	ADORA2B	19.0862
ADORA3	159.7912	ADORA3	32.9238
ADO	780.1299	ADO	600.7396
ADPGK	548.9699	ADPGK	646.475
ADPRHL1	46.3762	ADPRHL1	133.1266
ADPRHL2	338.8675	ADPRHL2	358.3443
ADPRH	337.0308	ADPRH	644.638
removed	removed	ADRA1A	316.8317
ADRA1B	161.6278	ADRA1B	49.1471
ADRA1D	957.8287	ADRA1D	16.2233
ADRA2A	319.5823	ADRA2A	2620.0644
removed	removed	ADRA2B	26.7207
ADRA2C	166.2195	ADRA2C	153.1671
ADRB1	5.0509	ADRB1	291.5424
ADRB2	24.336	ADRB2	637.0035
removed	removed	ADRB3	7.1573
ADRBK1	1638.7778	ADRBK1	1223.9055
ADRBK2	797.1192	ADRBK2	5044.972
ADRM1	1340.7765	ADRM1	985.8046
ADSL	1169.5061	ADSL	693.785
ADSSL1	170.8113	ADSSL1	498.151
ADSS	1444.5489	ADSS	704.2825
AEBP1	9598.0311	AEBP1	9860.4318
AEBP2	562.0241	AEBP2	602.1711
AEN	506.0054	AEN	255.7557
AES	7185.0926	AES	7257.545
AFAP1L1	219.9424	AFAP1L1	2597.6381
AFAP1L2	5712.5343	AFAP1L2	379.3391
AFAP1	2288.9488	AFAP1	1555.0376
removed	removed	AFARP1	5.2487
AFF1	2221.4646	AFF1	3473.6968
AFF2	19.7443	AFF2	34.3552
AFF3	10310.2038	AFF3	569.7244
AFF4	5345.1983	AFF4	2997.4949
AFG3L1	89.5382	AFG3L1	198.497
AFG3L2	1979.7483	AFG3L2	1291.5615
AFMID	702.071	AFMID	165.5732
AFP	13.7751	removed	removed
AFTPH	2119.5288	AFTPH	977.693
AG2	128.5676	AG2	1054.0379
AGAP11	21.1264	AGAP11	549.6887
AGAP1	710.336	AGAP1	310.6287
AGAP2	36.7198	AGAP2	34.4841
AGAP3	725.4886	AGAP3	1230.5857
AGAP4	197.9023	AGAP4	163.6646
AGAP5	272.6001	AGAP5	30.0608
AGAP6	68.4163	AGAP6	85.411
removed	removed	AGAP7	6.203
AGAP8	12.3976	AGAP8	17.6548
AGA	352.6426	AGA	401.2883
AGBL2	34.4378	removed	removed
removed	removed	AGBL3	6.203
AGBL4	13.7751	AGBL4	14.3147
AGBL5	879.3152	AGBL5	656.1183
AGER	16.9893	AGER	21.472
AGFG1	1138.7417	AGFG1	2562.3285
AGFG2	179.9947	AGFG2	323.0347
AGGF1	1010.1741	AGGF1	853.1552
AGK	385.2437	AGK	505.7855
AGL	2360.1339	AGL	1852.3202
AGMAT	53.7229	removed	removed
AGPAT1	2334.7923	AGPAT1	1843.5405
AGPAT2	623.0937	AGPAT2	11959.4417
AGPAT3	3105.3669	AGPAT3	3114.8753
AGPAT4	61.988	AGPAT4	227.1263
AGPAT5	597.8394	AGPAT5	303.4713
AGPAT6	3351.482	AGPAT6	1583.6813
AGPAT9	74.3855	AGPAT9	677.5617
AGPHD1	45.917	AGPHD1	72.0506
AGPS	257.5944	AGPS	1691.0414
AGR2	18585.8252	AGR2	77.2993
AGR3	3796.877	removed	removed
AGRN	2157.1808	AGRN	1503.519
AGTPBP1	210.2999	AGTPBP1	608.3741
AGTR1	34.4378	AGTR1	962.424
AGTRAP	389.8354	AGTRAP	333.5321
AGT	885.2798	AGT	365.9788
AGXT2L2	279.7126	AGXT2L2	827.9327
removed	removed	AGXT	12.4061
AHCTF1	2010.7055	AHCTF1	1303.5906
AHCYL1	3522.7524	AHCYL1	5548.8489
AHCYL2	1890.8622	AHCYL2	730.0489
AHCY	11187.2185	AHCY	1350.8291
AHDC1	407.743	AHDC1	578.3133
AHI1	607.9411	AHI1	337.8266
AHNAK2	671.3066	AHNAK2	1042.5862
AHNAK	49887.4459	AHNAK	229782.6554
AHRR	8.7242	AHRR	12.4061
AHR	597.3802	AHR	1940.5941
AHSA1	2404.2143	AHSA1	1223.4284
AHSA2	258.0536	AHSA2	412.7401
AIDA	785.6629	AIDA	2690.7217
AIF1L	411.8755	AIF1L	3645.473
AIF1	182.7497	AIF1	400.8112
AIFM1	1107.5181	AIFM1	1250.1491
AIFM2	555.1366	AIFM2	3596.3259
AIFM3	22.9585	removed	removed
AIG1	1018.4391	AIG1	1590.3614
AIM1	1835.3026	AIM1	2704.5211
AIM2	5.9692	AIM2	5.7259
AIMP1	1317.019	AIMP1	848.3407
AIMP2	869.4844	AIMP2	247.3387
AIP	1341.2356	AIP	733.8662
AJAP1	99.1807	AJAP1	9.5431
AK1	370.5502	AK1	736.2519
AK2	1546.0255	AK2	2292.7305
AK3L1	169.8929	AK3L1	1014.434
AK3	872.8822	AK3	3026.6015
AK5	16.9893	AK5	117.8576
AK7	19.2851	removed	removed
AKAP10	711.7135	AKAP10	600.7396
AKAP11	1465.2116	AKAP11	2867.7085
AKAP12	617.1245	AKAP12	13106.048
AKAP13	2926.2906	AKAP13	2759.8712
AKAP1	2406.5101	AKAP1	4051.5329
AKAP2	638.1775	AKAP2	3563.2494
removed	removed	AKAP3	16.7005
AKAP5	223.1566	AKAP5	22.9035
AKAP6	28.9277	AKAP6	177.5021
AKAP7	61.0696	AKAP7	333.055
AKAP8L	1083.1821	AKAP8L	638.9121
AKAP8	604.7269	AKAP8	438.5065
AKAP9	1447.7631	AKAP9	1678.6353
AKD1	95.0482	AKD1	115.4718
AKIRIN1	712.1727	AKIRIN1	1587.4985
AKIRIN2	634.1138	AKIRIN2	1004.8909
AKNA	201.5756	AKNA	741.0235
AKR1A1	1540.5154	AKR1A1	1305.0221
AKR1B10	1308.1754	AKR1B10	269.1161
AKR1B15	11.4793	AKR1B15	9.5431
AKR1B1	496.822	AKR1B1	754.3839
AKR1C1	2922.6172	AKR1C1	9377.5498
AKR1C2	1022.1125	AKR1C2	8974.83
AKR1C3	1083.6413	AKR1C3	4629.369
AKR1E2	5.0509	AKR1E2	46.2841
AKR7A2	1147.4659	AKR7A2	1590.3614
AKR7A3	871.0455	removed	removed
AKR7L	19.7443	AKR7L	6.6802
AKT1S1	1332.0522	AKT1S1	1027.3172
AKT1	4923.6802	AKT1	3678.8739
AKT2	4186.7123	AKT2	6348.0854
AKT3	279.6345	AKT3	1067.8755
AKTIP	532.8439	AKTIP	779.5348
ALAD	691.5101	ALAD	4621.7345
ALAS1	769.1098	ALAS1	1391.3873
ALB	63.8246	ALB	138.8524
ALCAM	3573.7203	ALCAM	344.9839
ALDH16A1	854.9746	ALDH16A1	521.0545
ALDH18A1	3280.3107	ALDH18A1	950.0179
ALDH1A1	711.7135	ALDH1A1	5802.6959
ALDH1A2	15.6118	ALDH1A2	699.5109
ALDH1A3	93.5283	ALDH1A3	608.4982
ALDH1B1	1024.4083	ALDH1B1	1214.3624
ALDH1L1	19.2851	ALDH1L1	5897.65
ALDH1L2	270.9103	ALDH1L2	325.4205
ALDH2	1198.8929	ALDH2	30540.8565
ALDH3A1	1286.1352	ALDH3A1	238.5781
ALDH3A2	4912.201	ALDH3A2	5645.2344
ALDH3B1	136.8327	ALDH3B1	243.8268
ALDH3B2	1034.0509	ALDH3B2	20.9949
ALDH4A1	284.6854	ALDH4A1	4033.8781
ALDH5A1	1569.9023	ALDH5A1	1502.0876
ALDH6A1	592.3293	ALDH6A1	2051.1655
ALDH7A1	2113.5596	ALDH7A1	2048.4313
removed	removed	ALDH8A1	12.8832
ALDH9A1	3506.6815	ALDH9A1	7792.4371
ALDOA	43466.4123	ALDOA	20050.5786
removed	removed	ALDOB	9.066
ALDOC	582.2276	ALDOC	2384.8264
ALG10B	256.2169	ALG10B	283.4308
ALG10	97.344	ALG10	96.3855
ALG11	16.9893	ALG11	9.5431
ALG12	647.8889	ALG12	349.2783
ALG13	504.6279	ALG13	486.6993
ALG14	157.0361	ALG14	270.5475
ALG1L	272.1501	removed	removed
ALG1	840.9194	ALG1	369.6386
ALG2	671.7657	ALG2	659.4298
ALG3	985.3789	ALG3	452.344
ALG5	413.7122	ALG5	638.9121
ALG6	360.4485	ALG6	217.106
ALG8	782.8849	ALG8	929.9773
ALG9	556.9732	ALG9	877.9673
ALKBH1	296.1647	ALKBH1	185.1366
ALKBH2	503.2503	ALKBH2	138.8524
ALKBH3	482.5877	ALKBH3	304.9028
ALKBH4	141.0111	ALKBH4	151.7213
ALKBH5	3143.8086	ALKBH5	1947.1311
ALKBH6	121.2209	ALKBH6	62.5075
ALKBH7	1172.2611	ALKBH7	419.4203
ALKBH8	276.4204	ALKBH8	223.7862
removed	removed	ALK	7.6345
ALMS1P	17.4485	removed	removed
ALMS1	1121.2932	ALMS1	765.3585
ALOX12	12.8568	ALOX12	6.203
ALOX15B	21.1218	removed	removed
ALOX15	13.7751	removed	removed
ALOX5AP	236.0134	ALOX5AP	237.6238
ALOX5	169.4337	ALOX5	99.7256
ALPK1	160.7095	ALPK1	399.8569
ALPK2	50.0495	ALPK2	8.5888
ALPK3	184.5864	ALPK3	4482.882
ALPL	164.3829	ALPL	487.6536
ALS2CL	78.9772	ALS2CL	375.0447
removed	removed	ALS2CR11	8.1117
removed	removed	ALS2CR12	8.1117
ALS2CR4	359.9893	ALS2CR4	595.968
ALS2CR8	127.1901	ALS2CR8	156.5072
ALS2	772.7832	ALS2	666.11
removed	removed	ALX1	8.1117
ALX3	7.3467	ALX3	20.5177
removed	removed	ALX4	5.2487
AMACR	1042.316	AMACR	383.6335
AMBRA1	1139.2008	AMBRA1	695.6937
AMD1	1490.4705	AMD1	1108.9109
AMDHD1	12.8568	removed	removed
AMDHD2	158.4137	AMDHD2	130.2636
AMFR	7785.687	AMFR	3072.4084
AMHR2	8.7242	removed	removed
AMICA1	49.5904	AMICA1	126.4464
AMIGO1	140.9652	AMIGO1	305.3799
AMIGO2	165.3012	AMIGO2	737.2063
AMIGO3	24.336	AMIGO3	57.2587
AMMECR1L	776.9157	AMMECR1L	1093.6419
AMMECR1	168.0562	AMMECR1	130.2636
AMN1	466.5167	AMN1	138.8524
AMOTL1	479.3735	AMOTL1	2642.0136
AMOTL2	1120.834	AMOTL2	8489.0851
AMOT	949.5636	AMOT	856.0181
AMPD2	521.6172	AMPD2	389.8366
AMPD3	100.0991	AMPD3	176.5478
AMPH	22.0402	AMPH	41.5126
AMT	35.3561	AMT	155.0757
AMY2B	7.3605	AMY2B	314.5366
AMZ1	8.7242	removed	removed
AMZ2P1	282.3896	AMZ2P1	283.4308
AMZ2	2523.1393	AMZ2	1806.036
ANAPC10	80.8139	ANAPC10	104.4972
ANAPC11	892.1674	ANAPC11	721.9373
ANAPC13	1045.6312	ANAPC13	1028.8393
ANAPC16	1874.3321	ANAPC16	2834.7847
ANAPC1	1056.0911	ANAPC1	791.1249
ANAPC2	339.7858	ANAPC2	469.5217
ANAPC4	227.2892	ANAPC4	526.7804
ANAPC5	3111.7953	ANAPC5	2185.3752
ANAPC7	1396.7952	ANAPC7	744.3636
ANGEL1	1053.7952	ANGEL1	459.5014
ANGEL2	920.6359	ANGEL2	667.5415
ANGPT1	36.7336	ANGPT1	2299.8926
ANGPT2	191.4739	ANGPT2	320.1718
removed	removed	ANGPT4	22.9035
ANGPTL1	41.7845	ANGPTL1	997.2564
ANGPTL2	952.3186	ANGPTL2	10475.0089
ANGPTL4	117.5475	ANGPTL4	1981.6295
removed	removed	ANGPTL5	23.8578
removed	removed	ANGPTL7	15.7462
ANG	674.9983	ANG	592.6757
ANK1	772.7832	ANK1	50.1014
ANK2	142.3427	ANK2	1644.2801
ANK3	1185.1178	ANK3	184.1823
ANKAR	33.0602	ANKAR	51.5329
ANKDD1A	16.5301	ANKDD1A	525.8261
ANKFY1	2401.4592	ANKFY1	2269.3546
ANKHD1-EIF4EBP3	721.0714	ANKHD1-EIF4EBP3	644.4662
ANKHD1	4953.6319	ANKHD1	2256.0515
ANKH	743.3963	ANKH	1609.4477
ANKIB1	1124.5074	ANKIB1	1787.9041
ANKK1	11.9384	removed	removed
ANKLE1	8.2651	removed	removed
ANKLE2	1844.9452	ANKLE2	1817.0106
ANKMY1	169.8929	ANKMY1	148.8727
ANKMY2	424.7323	ANKMY2	520.5774
ANKRA2	394.4271	ANKRA2	188.9538
ANKRD10	557.1569	ANKRD10	1031.9933
ANKRD11	1393.2826	ANKRD11	2351.5687
ANKRD12	1345.8273	ANKRD12	1359.895
ANKRD13A	1154.8126	ANKRD13A	859.8354
ANKRD13B	429.324	ANKRD13B	106.4058
ANKRD13C	474.7818	ANKRD13C	723.8459
ANKRD13D	350.8059	ANKRD13D	231.4207
ANKRD16	472.4446	ANKRD16	95.4312
ANKRD17	2256.8207	ANKRD17	2455.9227
ANKRD19	13.7751	ANKRD19	67.279
ANKRD20A3	5.0509	ANKRD20A3	29.5837
ANKRD20B	7.3467	ANKRD20B	20.9949
ANKRD22	112.0375	removed	removed
ANKRD23	16.5301	ANKRD23	14.7918
ANKRD24	28.4685	ANKRD24	20.0406
ANKRD26	395.3454	ANKRD26	163.1874
ANKRD27	964.7162	ANKRD27	1075.0328
ANKRD28	673.1433	ANKRD28	819.2771
ANKRD29	24.336	ANKRD29	317.786
removed	removed	ANKRD30A	31.0151
ANKRD30B	71.1714	removed	removed
ANKRD31	5.51	removed	removed
ANKRD32	245.656	ANKRD32	108.3144
removed	removed	ANKRD34A	23.8578
removed	removed	ANKRD34C	17.1776
ANKRD35	34.8969	ANKRD35	183.7051
ANKRD36BP1	93.2115	ANKRD36BP1	97.817
ANKRD36B	45.917	ANKRD36B	16.2233
ANKRD36	214.4324	ANKRD36	140.2839
ANKRD37	38.7677	ANKRD37	45.4921
ANKRD39	88.1606	ANKRD39	107.3601
ANKRD40	1499.6493	ANKRD40	5538.8286
ANKRD42	225.4525	ANKRD42	196.5883
ANKRD43	30.3052	ANKRD43	51.5329
ANKRD44	235.5542	ANKRD44	112.6089
ANKRD46	510.5925	ANKRD46	1219.8402
ANKRD49	203.4123	ANKRD49	187.5224
ANKRD50	1371.5409	ANKRD50	1055.9466
ANKRD52	2203.0978	ANKRD52	1361.3265
removed	removed	ANKRD53	186.0909
ANKRD54	538.1473	ANKRD54	254.3242
removed	removed	ANKRD55	7.1573
ANKRD56	63.8246	ANKRD56	7.6345
ANKRD57	561.1058	ANKRD57	433.7349
ANKRD58	18.3668	removed	removed
ANKRD5	1127.7216	ANKRD5	221.4005
ANKRD6	153.9781	ANKRD6	282.4574
ANKRD9	31.6827	ANKRD9	105.4515
ANKS1A	1000.5315	ANKS1A	1227.7228
ANKS1B	709.8769	ANKS1B	20.9949
ANKS3	123.5167	ANKS3	117.8576
ANKS6	63.3655	ANKS6	464.7501
