gene_id	TCGA-BH-A0BS-01A-11R-A12P-07	gene_id	TCGA-BH-A0BS-11A-11R-A12P-07
KDM5A	2047.5888	KDM5A	2072.0663
KDM5B	4192.2811	KDM5B	2353.0423
KDM5C	2156.021	KDM5C	2654.0128
KDM6A	983.982	KDM6A	1166.3485
KDM6B	577.4421	KDM6B	996.5702
KDR	1931.0646	KDR	1164.5946
KDSR	1469.1757	KDSR	2017.6952
KEAP1	1202.4648	KEAP1	1449.0784
KEL	12.9471	KEL	12.2774
removed	removed	KGFLP1	13.3297
KGFLP2	29.3285	KGFLP2	182.8975
KHDC1	13.2061	KHDC1	36.8321
KHDRBS1	4136.2847	KHDRBS1	4233.2311
KHDRBS3	44.6676	KHDRBS3	166.972
KHK	291.7377	KHK	241.4394
KHNYN	2476.223	KHNYN	2148.228
KHSRP	1590.5551	KHSRP	2041.8991
KIAA0020	550.2531	KIAA0020	921.1522
KIAA0040	4155.7054	KIAA0040	1966.4811
KIAA0090	2384.2142	KIAA0090	1179.3274
KIAA0100	6531.3001	KIAA0100	4507.2721
KIAA0101	263.7978	KIAA0101	34.0258
KIAA0114	463.831	KIAA0114	938.6913
removed	removed	KIAA0125	23.8531
KIAA0141	1115.719	KIAA0141	1505.905
KIAA0146	798.1906	KIAA0146	1057.2554
KIAA0174	1896.7547	KIAA0174	3667.4206
KIAA0182	2123.0058	KIAA0182	1657.4426
KIAA0195	807.4349	KIAA0195	995.5004
KIAA0196	2697.8585	KIAA0196	1341.3884
KIAA0226	604.9547	KIAA0226	588.2606
KIAA0232	2491.3517	KIAA0232	1569.3964
KIAA0240	902.7387	KIAA0240	1213.0024
KIAA0247	3273.6821	KIAA0247	2472.308
KIAA0284	1231.9195	KIAA0284	1111.2758
KIAA0317	926.6909	KIAA0317	763.6513
KIAA0319L	5090.4883	KIAA0319L	2647.348
KIAA0355	697.203	KIAA0355	977.9788
KIAA0368	5598.0159	KIAA0368	3413.8055
KIAA0391	1361.7145	KIAA0391	649.2159
KIAA0406	526.3009	KIAA0406	716.6466
KIAA0408	7.0821	KIAA0408	130.7784
KIAA0415	229.4879	KIAA0415	463.7331
KIAA0427	290.9868	KIAA0427	1079.7054
KIAA0430	2237.2643	KIAA0430	2645.5941
KIAA0467	864.2145	KIAA0467	1156.0706
KIAA0494	4498.9209	KIAA0494	4125.6815
KIAA0495	357.0171	KIAA0495	766.8084
KIAA0513	272.8608	KIAA0513	229.4111
KIAA0528	1093.0616	KIAA0528	984.9944
KIAA0556	740.5759	KIAA0556	591.7684
KIAA0562	782.9778	KIAA0562	644.3856
KIAA0564	2133.3635	KIAA0564	1144.9508
KIAA0586	527.9193	KIAA0586	357.7971
KIAA0649	492.962	KIAA0649	624.3911
KIAA0652	2122.0348	KIAA0652	1783.7239
KIAA0664P3	11.6524	KIAA0664P3	77.1719
KIAA0664	1453.9628	KIAA0664	2034.5327
removed	removed	KIAA0748	21.3977
KIAA0753	425.9606	KIAA0753	506.8793
KIAA0754	75.0934	KIAA0754	132.9462
KIAA0776	1630.3675	KIAA0776	1036.2085
KIAA0802	362.8434	KIAA0802	173.6368
KIAA0831	390.6797	KIAA0831	615.9723
KIAA0892	963.9139	KIAA0892	1427.3299
KIAA0895L	93.2388	KIAA0895L	163.8395
KIAA0895	344.07	KIAA0895	302.7244
KIAA0907	473.2176	KIAA0907	788.9076
KIAA0913	1506.075	KIAA0913	1626.5738
KIAA0922	494.2567	KIAA0922	541.9574
KIAA0947	1242.9246	KIAA0947	1304.5564
KIAA1009	178.0231	KIAA1009	209.0658
KIAA1012	1579.8737	KIAA1012	1175.118
KIAA1024	9.063	KIAA1024	22.0992
KIAA1033	1563.0424	KIAA1033	1087.4226
removed	removed	KIAA1045	21.0469
KIAA1107	263.7978	KIAA1107	188.3697
KIAA1109	3019.5947	KIAA1109	2252.7188
KIAA1143	712.0922	KIAA1143	899.053
KIAA1147	1480.1808	KIAA1147	1691.8192
KIAA1161	645.7382	KIAA1161	221.6939
KIAA1191	2715.0134	KIAA1191	2996.7263
KIAA1199	73.7986	KIAA1199	27.0102
KIAA1210	6.4736	KIAA1210	15.4344
KIAA1211	29.7784	KIAA1211	5.9633
KIAA1217	2254.4192	KIAA1217	5432.1216
removed	removed	KIAA1239	20.6961
KIAA1244	2749.647	KIAA1244	626.8465
KIAA1257	159.4018	KIAA1257	11.6109
KIAA1267	1091.1195	KIAA1267	2135.207
KIAA1274	126.5582	KIAA1274	346.9229
KIAA1279	1610.6231	KIAA1279	660.8723
KIAA1310	1776.3464	KIAA1310	2591.5737
KIAA1324L	680.0481	KIAA1324L	439.88
KIAA1324	32271.3719	KIAA1324	11943.7592
KIAA1328	157.6313	KIAA1328	202.7517
KIAA1370	4648.6675	KIAA1370	1025.3343
KIAA1377	201.9752	KIAA1377	334.6455
KIAA1383	42.7255	KIAA1383	84.8891
KIAA1407	238.5509	KIAA1407	256.7721
removed	removed	KIAA1409	5.6125
KIAA1429	2299.7342	KIAA1429	1945.785
KIAA1430	1763.7229	KIAA1430	1543.7894
KIAA1432	705.7902	KIAA1432	612.3943
KIAA1462	592.3313	KIAA1462	728.2224
KIAA1467	2265.748	KIAA1467	1520.9886
KIAA1468	703.6766	KIAA1468	685.7778
KIAA1522	8766.8262	KIAA1522	4951.6316
KIAA1524	110.1866	KIAA1524	54.7219
KIAA1529	49.8465	KIAA1529	128.7368
KIAA1530	194.8543	KIAA1530	109.093
KIAA1539	367.0512	KIAA1539	185.2126
KIAA1543	514.9721	KIAA1543	701.2122
KIAA1549	597.5101	KIAA1549	425.498
KIAA1586	118.7899	KIAA1586	187.6681
KIAA1598	2872.6447	KIAA1598	916.9428
KIAA1609	270.9187	KIAA1609	630.0036
KIAA1614	9.3349	KIAA1614	80.3711
KIAA1632	1357.8304	KIAA1632	1070.2343
removed	removed	KIAA1644	11.9266
KIAA1671	3395.0615	KIAA1671	4116.4209
KIAA1683	39.8124	KIAA1683	360.6034
KIAA1704	334.3597	KIAA1704	341.342
KIAA1712	178.1169	KIAA1712	381.2399
KIAA1715	1061.6648	KIAA1715	682.6208
KIAA1731	449.2655	KIAA1731	420.587
KIAA1737	1917.4701	KIAA1737	1280.3525
KIAA1751	10.3577	removed	removed
KIAA1755	24.9232	KIAA1755	237.1283
KIAA1797	1337.7623	KIAA1797	954.4765
KIAA1804	35.2809	KIAA1804	266.5939
KIAA1826	241.7877	KIAA1826	421.2886
KIAA1841	503.3197	KIAA1841	119.6165
KIAA1908	141.4474	KIAA1908	269.4002
KIAA1919	65.7067	KIAA1919	109.7946
KIAA1949	628.9069	KIAA1949	673.5005
KIAA1958	133.3555	KIAA1958	64.193
KIAA1967	2183.8574	KIAA1967	2824.4926
KIAA1984	28.3866	KIAA1984	26.3086
KIAA2013	1360.0961	KIAA2013	1245.2743
KIAA2018	767.4412	KIAA2018	909.2256
KIAA2022	154.3945	KIAA2022	88.7477
KIAA2026	586.505	KIAA2026	874.1475
KIDINS220	2329.5126	KIDINS220	2511.9463
KIF11	652.2117	KIF11	151.8884
KIF12	385.1772	KIF12	896.2467
KIF13A	1421.2713	KIF13A	1549.0511
KIF13B	5080.778	KIF13B	2460.0201
KIF14	121.703	KIF14	14.0313
KIF15	105.1954	KIF15	28.0625
KIF16B	1235.48	KIF16B	971.6647
KIF17	6.4736	KIF17	37.1828
KIF18A	89.6589	KIF18A	39.2875
KIF18B	56.6437	KIF18B	14.382
removed	removed	KIF19	7.7172
KIF1A	6.1499	KIF1A	22.0992
KIF1B	2568.7108	KIF1B	2055.9304
KIF1C	2272.2215	KIF1C	2664.5363
KIF20A	288.0737	KIF20A	35.7797
KIF20B	245.3481	KIF20B	224.8509
KIF21A	872.9603	KIF21A	301.6721
KIF21B	40.7835	KIF21B	111.1977
KIF22	695.9083	KIF22	907.121
KIF23	321.0889	KIF23	96.1141
KIF24	201.6516	KIF24	85.9415
removed	removed	KIF25	8.4188
KIF26A	22.3338	KIF26A	103.4805
KIF26B	45.6386	KIF26B	93.3079
KIF27	146.9499	KIF27	99.9727
KIF2A	652.2117	KIF2A	480.5707
KIF2C	233.6957	KIF2C	43.4969
KIF3A	611.4283	KIF3A	475.6597
KIF3B	2420.4662	KIF3B	1452.937
KIF3C	352.162	KIF3C	406.205
KIF4A	368.9932	KIF4A	21.0469
removed	removed	KIF5A	42.4446
KIF5B	7934.002	KIF5B	4066.9607
KIF5C	1388.9035	KIF5C	1023.9312
KIF6	42.0782	KIF6	11.5758
KIF7	18.4497	KIF7	176.3414
KIF9	377.5934	KIF9	140.2003
KIFAP3	1601.2365	KIFAP3	878.7077
KIFC1	284.1895	KIFC1	68.0516
KIFC2	228.8956	KIFC2	153.4318
KIFC3	97.4272	KIFC3	407.6081
KILLIN	24.9232	KILLIN	34.7274
KIN	178.9941	KIN	247.301
KIRREL	179.9651	KIRREL	478.8167
KISS1R	61.4989	removed	removed
KITLG	772.9437	KITLG	1147.4063
KIT	226.2511	KIT	9760.1444
KLB	45.6386	KLB	260.6307
KLC1	1314.1338	KLC1	1597.1082
KLC2	546.3689	KLC2	468.9949
KLC3	173.1679	KLC3	283.7822
KLC4	355.1074	KLC4	740.177
KLF10	1497.3357	KLF10	1924.3873
KLF11	387.7666	KLF11	816.6193
KLF12	385.5008	KLF12	449.7019
KLF13	2213.6358	KLF13	2108.5476
KLF15	5.8262	KLF15	333.5932
KLF16	362.5197	KLF16	345.169
KLF2	135.6212	KLF2	693.1442
KLF3	1756.602	KLF3	1101.4118
KLF4	406.8636	KLF4	863.9748
KLF5	66.0304	KLF5	2547.3752
KLF6	1072.6698	KLF6	13006.6271
KLF7	806.93	KLF7	189.422
KLF8	355.0751	KLF8	369.7237
KLF9	1776.9938	KLF9	4100.2849
KLHDC10	1181.102	KLHDC10	835.2107
KLHDC1	52.4359	KLHDC1	124.1767
KLHDC2	1281.4423	KLHDC2	1171.2594
KLHDC3	1599.2944	KLHDC3	2291.6555
KLHDC4	162.4865	KLHDC4	286.4166
KLHDC5	1017.3208	KLHDC5	1007.7952
KLHDC7A	517.2379	KLHDC7A	506.5285
KLHDC7B	28.4837	KLHDC7B	66.6485
KLHDC8A	37.223	KLHDC8A	38.9367
KLHDC8B	489.7252	KLHDC8B	727.8716
KLHDC9	201.9752	KLHDC9	118.2134
KLHL11	67.6488	KLHL11	57.8789
KLHL12	1741.3891	KLHL12	1084.9672
KLHL13	55.349	KLHL13	1388.0424
removed	removed	KLHL14	16.4867
KLHL15	313.9679	KLHL15	244.8455
KLHL17	27.8363	KLHL17	62.4391
KLHL18	484.5464	KLHL18	453.5605
KLHL1	36.1613	removed	removed
KLHL20	387.7666	KLHL20	422.3409
KLHL21	533.0981	KLHL21	2580.3487
KLHL22	462.5363	KLHL22	570.7215
KLHL23	156.0129	KLHL23	136.3137
KLHL24	858.3948	KLHL24	1291.9283
KLHL25	283.2185	KLHL25	482.6753
KLHL26	201.6516	KLHL26	379.5456
KLHL28	436.9657	KLHL28	452.8589
KLHL29	25.5706	KLHL29	658.4169
KLHL2	390.6797	KLHL2	737.6935
removed	removed	KLHL30	21.0469
KLHL31	12.5587	KLHL31	55.206
removed	removed	KLHL32	32.2719
KLHL35	53.4069	KLHL35	47.7063
KLHL36	75.0934	KLHL36	220.6416
KLHL38	11.6524	KLHL38	12.9789
KLHL3	75.417	KLHL3	159.9564
KLHL4	12.6235	removed	removed
KLHL5	1206.6726	KLHL5	661.9247
KLHL6	38.194	KLHL6	94.0094
KLHL7	553.4899	KLHL7	885.0217
KLHL8	276.7449	KLHL8	463.3824
KLHL9	2409.4611	KLHL9	1823.3622
removed	removed	KLK10	321.3159
removed	removed	KLK11	426.5503
removed	removed	KLK13	14.382
removed	removed	KLK14	34.3766
removed	removed	KLK2	73.3133
removed	removed	KLK3	121.7212
KLK5	32.3678	KLK5	1118.993
KLK6	5.5025	KLK6	353.9385
KLK7	6.7972	KLK7	294.6565
removed	removed	KLK8	105.936
removed	removed	KLKB1	7.3664
KLRA1	7.1209	KLRA1	42.7953
KLRAQ1	439.2314	KLRAQ1	538.8004
KLRB1	7.4446	KLRB1	110.1454
removed	removed	KLRC1	20.3453
removed	removed	KLRD1	23.1516
removed	removed	KLRF1	5.9633
KLRG1	14.5655	KLRG1	40.3399
removed	removed	KLRG2	37.8844
removed	removed	KLRK1	51.9157
KL	29.4547	KL	207.6626
KMO	470.3466	KMO	31.4686
KNDC1	13.2708	KNDC1	9.8219
KNTC1	485.8411	KNTC1	244.1439
KPNA1	2501.7094	KPNA1	1600.616
KPNA2	2751.9127	KPNA2	778.3841
KPNA3	1293.7421	KPNA3	999.7273
KPNA4	1515.4617	KPNA4	1785.4778
KPNA5	34.9573	KPNA5	141.3649
KPNA6	2428.2345	KPNA6	2047.1608
KPNB1	4983.9982	KPNB1	4042.0552
KPTN	141.1237	KPTN	139.2603
KRAS	1600.9128	KRAS	826.792
KRBA1	120.4083	KRBA1	334.6455
KRBA2	37.5467	KRBA2	68.0516
KRCC1	1114.4243	KRCC1	1173.0133
KREMEN1	395.5349	KREMEN1	762.599
KREMEN2	23.6285	removed	removed
KRI1	337.768	KRI1	755.0852
KRIT1	634.0858	KRIT1	822.2318
KRR1	761.9646	KRR1	819.8781
KRT10	225.2801	KRT10	286.2377
removed	removed	KRT13	34.3766
KRT14	835.7373	KRT14	29870.4476
KRT15	398.7716	KRT15	34656.5104
KRT16	11.3287	KRT16	221.3431
KRT17	475.8071	KRT17	16399.3858
KRT18	11763.0092	KRT18	10344.9533
KRT19	25061.1145	KRT19	17984.9181
KRT222	59.2331	KRT222	70.5071
KRT23	432.1105	KRT23	2185.0179
removed	removed	KRT32	11.9266
removed	removed	KRT40	9.4711
KRT5	766.4702	KRT5	30684.6115
removed	removed	KRT6A	199.2439
KRT6B	56.9674	KRT6B	779.0857
removed	removed	KRT6C	24.2039
KRT7	570.6448	KRT7	12101.9617
KRT80	82.2143	KRT80	796.6248
KRT81	17.8023	KRT81	694.8981
removed	removed	KRT83	36.8321
removed	removed	KRT86	36.4813
KRT8	13469.3311	KRT8	12400.0698
KRTCAP2	2362.2041	KRTCAP2	1391.901
KRTCAP3	676.1639	KRTCAP3	427.6026
KSR1	88.6878	KSR1	305.1799
KSR2	28.4837	KSR2	52.2664
KTELC1	420.1344	KTELC1	547.9207
KTI12	108.7559	KTI12	140.6634
KTN1	8567.4404	KTN1	5111.9388
KYNU	33.9862	KYNU	115.4071
KY	9.063	KY	239.233
removed	removed	L1CAM	42.0938
L1TD1	11.9761	L1TD1	10.8742
L2HGDH	241.1403	L2HGDH	204.5056
L3MBTL2	799.2102	L3MBTL2	1009.8298
L3MBTL3	74.1223	L3MBTL3	246.2486
L3MBTL4	13.5945	L3MBTL4	316.4049
L3MBTL	28.8074	L3MBTL	152.9407
LACE1	65.383	LACE1	57.5282
removed	removed	LACRT	160.3071
LACTB2	112.3164	LACTB2	194.6837
LACTB	477.4255	LACTB	219.2384
LAD1	634.4094	LAD1	1187.3954
removed	removed	LAG3	11.9266
LAGE3	296.813	LAGE3	225.9033
LAIR1	143.0658	LAIR1	326.5776
LAMA1	8.7393	LAMA1	422.6917
LAMA2	201.6516	LAMA2	620.8833
LAMA3	1062.6358	LAMA3	3895.4285
LAMA4	1407.6768	LAMA4	1426.6283
LAMA5	1665.0011	LAMA5	1967.5334
LAMB1	1475.0019	LAMB1	2391.979
LAMB2L	8.092	LAMB2L	29.4656
LAMB2	10901.8081	LAMB2	7633.0054
LAMB3	1618.0677	LAMB3	7233.816
LAMC1	6274.5035	LAMC1	4943.9144
LAMC2	2610.789	LAMC2	5735.6283
LAMC3	5.8262	LAMC3	158.5532
LAMP1	13901.9821	LAMP1	7799.9774
LAMP2	10525.3703	LAMP2	6189.5395
LAMP3	17.4786	LAMP3	76.1196
LANCL1	3108.2825	LANCL1	2601.7464
LANCL2	419.4871	LANCL2	706.1232
removed	removed	LANCL3	12.9789
LAP3	1821.3377	LAP3	1966.1303
LAPTM4A	10262.2199	LAPTM4A	8366.4895
LAPTM4B	1798.3565	LAPTM4B	2034.8835
LAPTM5	1979.94	LAPTM5	1951.3975
LARGE	480.9859	LARGE	356.7448
LARP1B	794.3065	LARP1B	364.462
LARP1	4666.1461	LARP1	3241.221
LARP4B	1170.097	LARP4B	1110.5742
LARP4	1868.271	LARP4	914.1366
LARP6	30.7494	LARP6	458.1206
LARP7	761.615	LARP7	869.2366
LARS2	705.295	LARS2	667.5372
LARS	2881.0604	LARS	3756.1683
LAS1L	802.7221	LAS1L	1059.0093
LASP1	10509.1864	LASP1	4563.6673
removed	removed	LASS1	17.3041
LASS2	12813.7757	LASS2	4289.0054
removed	removed	LASS3	15.7852
LASS4	2559.9715	LASS4	1225.9813
LASS5	1019.5866	LASS5	1010.2507
LASS6	9717.9063	LASS6	1088.3206
LAT2	156.0129	LAT2	131.5431
LATS1	819.5534	LATS1	572.4754
LATS2	179.3178	LATS2	563.7059
removed	removed	LAT	115.4317
removed	removed	LAX1	30.518
LAYN	84.1564	LAYN	237.8299
LBH	1289.5343	LBH	3738.98
removed	removed	LBP	49.4602
LBR	286.779	LBR	806.4467
LCA5L	93.2193	LCA5L	53.3188
LCA5	140.4764	LCA5	430.7597
removed	removed	LCAT	73.3133
LCK	7.7683	LCK	181.7048
LCLAT1	461.5652	LCLAT1	329.3838
LCMT1	512.059	LCMT1	644.3856
LCMT2	441.8209	LCMT2	317.4573
removed	removed	LCN10	26.4138
LCN2	24.2759	LCN2	232.9189
LCORL	47.4059	LCORL	73.4291
LCOR	249.7243	LCOR	113.8146
LCP1	5466.2788	LCP1	2203.2586
LCP2	166.3706	LCP2	227.6572
LDB1	919.57	LDB1	1478.8948
LDB2	224.9564	LDB2	680.8669
LDB3	31.3968	LDB3	38.2352
LDHA	23603.2675	LDHA	7601.7858
LDHB	808.872	LDHB	7773.318
LDHD	117.1715	LDHD	311.1432
LDLRAD1	37.223	removed	removed
LDLRAD2	67.5743	LDLRAD2	108.0968
LDLRAD3	1712.5818	LDLRAD3	1017.2663
LDLRAP1	1012.142	LDLRAP1	1041.4703
LDLR	1393.7587	LDLR	1865.1052
LDOC1L	1669.8562	LDOC1L	1280.7032
LDOC1	294.2236	LDOC1	925.0108
LEF1	989.8082	LEF1	103.1298
LEFTY1	5.1789	LEFTY1	8.2048
removed	removed	LEFTY2	18.5914
LEKR1	16.1839	LEKR1	32.2719
removed	removed	LEMD1	9.1203
LEMD2	590.0655	LEMD2	773.824
LEMD3	793.9828	LEMD3	962.1936
LENG1	66.6777	LENG1	130.1399
LENG8	545.6536	LENG8	1946.6374
LENG9	53.4749	LENG9	112.45
LEO1	1268.1715	LEO1	548.2715
LEPRE1	491.3436	LEPRE1	420.2362
LEPREL1	145.3315	LEPREL1	516.3504
LEPREL2	57.2911	LEPREL2	468.6441
LEPROTL1	1136.1108	LEPROTL1	815.9178
LEPROT	873.5883	LEPROT	947.4363
LEPR	129.8144	LEPR	682.2946
LEP	68.9435	LEP	2656.4683
LETM1	1276.5871	LETM1	1009.1984
LETM2	82.8616	LETM2	18.9422
LETMD1	749.9626	LETMD1	1778.1114
LFNG	501.3777	LFNG	389.3675
LGALS12	22.3338	LGALS12	271.5049
LGALS1	12345.737	LGALS1	4789.5706
removed	removed	LGALS2	25.2563
LGALS3BP	26065.1645	LGALS3BP	7167.8691
LGALS3	4847.0822	LGALS3	5413.9616
removed	removed	LGALS7B	7.0156
removed	removed	LGALS7	80.329
LGALS8	3281.0458	LGALS8	846.4252
LGALS9B	14.5655	removed	removed
LGALS9C	15.2129	LGALS9C	5.2617
LGALS9	556.0793	LGALS9	625.0926
LGI2	17.1549	LGI2	29.4656
LGI4	22.3338	LGI4	161.7103
LGMN	1248.7508	LGMN	1446.2721
LGR4	67.0014	LGR4	1422.0682
removed	removed	LGR5	13.3297
LGR6	23.6285	LGR6	593.1715
LGTN	1554.9505	LGTN	2170.6359
LHFPL1	7.4446	LHFPL1	32.2719
LHFPL2	580.6788	LHFPL2	2300.4251
LHFP	594.2733	LHFP	1345.247
LHPP	426.2843	LHPP	504.4238
LHX6	29.4547	LHX6	268.3478
LIAS	137.8869	LIAS	319.9127
LIFR	1448.784	LIFR	4645.3994
LIF	13.2708	LIF	88.0462
LIG1	458.9758	LIG1	713.1388
LIG3	1024.1181	LIG3	819.4256
LIG4	283.5422	LIG4	269.751
LILRA1	7.1209	removed	removed
LILRA2	35.6046	LILRA2	27.7117
LILRA4	6.1499	LILRA4	21.3977
removed	removed	LILRA5	5.6125
LILRA6	28.4837	LILRA6	13.3963
LILRB1	37.8704	LILRB1	39.2875
LILRB2	18.4497	LILRB2	25.9578
LILRB3	9.3867	LILRB3	20.2787
LILRB4	174.1389	LILRB4	143.1189
LILRB5	7.1209	LILRB5	10.8742
LIMA1	2877.4999	LIMA1	3516.5845
LIMCH1	2894.6549	LIMCH1	2910.0833
LIMD1	1775.8803	LIMD1	764.6265
LIMD2	47.8105	LIMD2	156.2696
LIME1	9.7071	LIME1	49.8004
LIMK1	578.0894	LIMK1	684.3747
LIMK2	1218.0014	LIMK2	3091.7881
LIMS1	402.0084	LIMS1	237.1283
LIMS2	149.863	LIMS2	1323.8494
LIMS3-LOC440895	10.6814	LIMS3-LOC440895	18.3073
LIN37	90.5652	LIN37	104.7714
LIN52	97.1035	LIN52	179.9509
LIN54	298.7551	LIN54	329.3838
LIN7A	7.4446	LIN7A	75.418
LIN7B	16.8313	LIN7B	61.3868
LIN7C	612.723	LIN7C	728.2224
LIN9	162.1628	LIN9	166.972
LINGO1	106.4902	LINGO1	51.2141
LINGO4	19.097	LINGO4	25.607
LINS1	235.9615	LINS1	393.9276
LIPA	3323.8523	LIPA	2358.304
removed	removed	LIPC	9.8219
LIPE	144.6842	LIPE	2876.0575
LIPG	12.6235	LIPG	107.3391
LIPH	790.746	LIPH	333.944
LIPT1	98.7219	LIPT1	210.7881
LIPT2	8.092	LIPT2	23.1516
LITAF	3698.348	LITAF	4667.1478
LIX1L	167.3417	LIX1L	571.0723
LLGL1	592.3313	LLGL1	912.0319
LLGL2	1439.721	LLGL2	977.9788
LLPH	580.0056	LLPH	472.4676
LMAN1	3319.9681	LMAN1	2956.0357
LMAN2L	1130.2846	LMAN2L	1226.3321
LMAN2	5877.3502	LMAN2	2436.5283
LMBR1L	198.4148	LMBR1L	366.2159
LMBR1	1149.7053	LMBR1	913.435
LMBRD1	1530.3509	LMBRD1	1874.5763
LMBRD2	522.7404	LMBRD2	180.3017
LMCD1	474.5124	LMCD1	761.5466
LMF1	245.9534	LMF1	278.5205
LMF2	1584.0815	LMF2	1083.564
LMLN	407.511	LMLN	185.5634
LMNA	5657.5727	LMNA	9321.3167
LMNB1	687.169	LMNB1	268.6986
LMNB2	672.9271	LMNB2	682.9716
LMO2	140.1527	LMO2	538.0988
LMO3	7.4446	LMO3	116.8102
LMO4	977.5084	LMO4	1569.3964
LMO7	484.5464	LMO7	548.6223
LMOD1	258.2953	LMOD1	4777.644
LMOD3	18.4497	removed	removed
LMTK2	313.9679	LMTK2	299.5674
LMTK3	152.1288	LMTK3	170.129
LMX1B	1884.7786	LMX1B	1164.2438
LNP1	18.4497	LNP1	82.1039
LNPEP	977.0909	LNPEP	197.055
LNX1	697.5267	LNX1	488.2878
LNX2	1264.2874	LNX2	682.9716
LOC100009676	60.5343	LOC100009676	68.2726
removed	removed	LOC100101266	7.7172
removed	removed	LOC100124692	83.1352
LOC100125556	58.5275	LOC100125556	71.2753
LOC100126784	17.4786	LOC100126784	170.0133
removed	removed	LOC100127888	26.7576
LOC100128191	45.3797	LOC100128191	28.038
removed	removed	LOC100128239	9.8219
LOC100128288	7.7683	LOC100128288	43.8477
LOC100128292	6.4736	LOC100128292	18.2406
LOC100128640	21.3628	LOC100128640	55.4235
LOC100128788	12.2998	LOC100128788	8.068
LOC100128822	53.4069	LOC100128822	121.7212
LOC100128842	7.4446	LOC100128842	21.0469
LOC100128977	13.2708	removed	removed
LOC100129034	2240.1547	LOC100129034	1531.8242
LOC100129387	37.168	LOC100129387	75.1935
LOC100129534	66.0304	LOC100129534	69.104
LOC100129550	131.0897	LOC100129550	216.0814
LOC100129637	33.6625	LOC100129637	270.6244
LOC100129716	9.3867	LOC100129716	7.3664
removed	removed	LOC100130015	37.0425
LOC100130093	140.7029	LOC100130093	169.901
LOC100130148	16.5076	removed	removed
LOC100130522	38.5177	LOC100130522	18.9422
LOC100130557	5.8877	LOC100130557	22.1027
LOC100130581	30.1021	LOC100130581	68.0516
LOC100130691	11.6686	LOC100130691	11.2496
LOC100130776	261.9625	LOC100130776	296.0982
LOC100130872	21.6864	LOC100130872	44.9
LOC100130932	67.6488	LOC100130932	34.7274
removed	removed	LOC100130987	19.9945
LOC100131193	67.0985	LOC100131193	39.6383
LOC100131434	6.849	LOC100131434	24.3197
LOC100131691	9.6294	LOC100131691	14.568
LOC100132111	7.7683	LOC100132111	8.4188
removed	removed	LOC100132215	21.3977
LOC100132247	101.9587	LOC100132247	188.0189
LOC100132287	56.9674	LOC100132287	155.0454
LOC100132288	137.5633	LOC100132288	385.1581
LOC100132354	141.1237	removed	removed
LOC100132707	72.0055	LOC100132707	108.16
LOC100133161	10.471	LOC100133161	13.684
LOC100133331	34.9573	LOC100133331	87.4112
removed	removed	LOC100133545	8.068
removed	removed	LOC100133612	5.9633
removed	removed	LOC100133669	11.5758
removed	removed	LOC100133985	5.6125
LOC100133991	25.8943	LOC100133991	33.675
LOC100134229	32.0441	LOC100134229	100.3235
removed	removed	LOC100134259	12.2774
LOC100134713	12.9504	LOC100134713	7.7172
removed	removed	LOC100144604	8.7695
LOC100170939	85.5579	LOC100170939	106.6832
LOC100188947	7.4446	LOC100188947	39.9891
removed	removed	LOC100188949	6.6648
LOC100190938	159.8971	LOC100190938	126.6321
LOC100190939	65.7067	LOC100190939	341.3104
LOC100190986	55.6727	LOC100190986	158.2025
LOC100216545	32.3678	LOC100216545	62.0883
removed	removed	LOC100233209	12.9789
LOC100268168	9.7103	removed	removed
LOC100270710	190.7792	LOC100270710	227.9729
LOC100270746	18.7733	LOC100270746	41.743
removed	removed	LOC100270804	27.0102
LOC100271722	7.7683	LOC100271722	46.3032
removed	removed	LOC100271831	18.9071
LOC100271836	271.3751	LOC100271836	347.3158
LOC100272146	17.1549	LOC100272146	30.518
removed	removed	LOC100272216	6.6648
LOC100272217	11.6524	LOC100272217	30.8688
removed	removed	LOC100272228	15.0836
LOC100286793	244.3771	LOC100286793	190.1236
LOC100286844	13.5815	LOC100286844	33.9451
LOC100288778	88.5584	LOC100288778	326.8266
LOC100289341	46.9334	LOC100289341	59.2821
LOC100302401	6.7972	LOC100302401	24.9721
removed	removed	LOC100302640	9.4711
LOC100302650	6.1499	LOC100302650	9.4711
LOC100303728	14.8892	LOC100303728	29.1149
LOC113230	365.4328	LOC113230	157.8517
LOC115110	22.0101	LOC115110	62.5338
removed	removed	LOC121838	51.5649
removed	removed	LOC134466	53.3188
LOC143188	7.4446	LOC143188	23.5024
LOC143666	8.092	LOC143666	33.675
LOC144438	732.8076	LOC144438	820.1271
LOC144486	5.5025	LOC144486	10.1727
LOC144571	11.6815	LOC144571	49.8917
LOC145783	24.6513	LOC145783	29.4236
LOC145820	6.7972	LOC145820	16.8375
LOC145837	341.8043	LOC145837	32.6227
LOC146880	98.7348	LOC146880	233.0136
LOC147727	138.858	LOC147727	736.2904
LOC147804	55.9963	LOC147804	76.4704
LOC148189	80.4729	LOC148189	64.5438
LOC148413	220.8198	LOC148413	385.2598
LOC148709	5.5025	removed	removed
removed	removed	LOC149134	10.8742
LOC149837	14.2418	LOC149837	23.5024
LOC150381	44.3439	LOC150381	52.8698
LOC150776	102.606	LOC150776	384.1057
LOC150786	63.7646	LOC150786	42.4446
LOC151009	11.0051	LOC151009	72.6118
