gene_id	TCGA-BH-A0BS-01A-11R-A12P-07	gene_id	TCGA-BH-A0BS-11A-11R-A12P-07
AKT1	4376.7777	AKT1	3257.357
AKT2	2094.5221	AKT2	2392.3298
AKT3	263.7978	AKT3	718.0497
AKTIP	380.9175	AKTIP	613.808
ALAD	1843.0241	ALAD	2516.1557
ALAS1	1163.2997	ALAS1	764.7037
ALB	35.6046	ALB	9484.4301
ALCAM	3832.9982	ALCAM	3634.7979
ALDH16A1	387.1192	ALDH16A1	413.2206
ALDH18A1	3332.2679	ALDH18A1	1746.5411
ALDH1A1	133.6791	ALDH1A1	1168.8039
ALDH1A2	21.0391	ALDH1A2	187.3173
ALDH1A3	551.2986	ALDH1A3	2128.0896
ALDH1B1	715.329	ALDH1B1	665.4325
ALDH1L1	5.8262	ALDH1L1	338.1534
ALDH1L2	61.4989	ALDH1L2	106.2868
ALDH2	3549.456	ALDH2	6326.3443
removed	removed	ALDH3A1	45.6016
ALDH3A2	1373.0433	ALDH3A2	2561.7573
ALDH3B1	57.2911	ALDH3B1	155.747
ALDH3B2	3444.5843	ALDH3B2	1820.2052
ALDH4A1	1068.1383	ALDH4A1	1482.0518
ALDH5A1	559.6397	ALDH5A1	594.5746
ALDH6A1	806.3409	ALDH6A1	644.105
ALDH7A1	2140.1608	ALDH7A1	2532.9932
ALDH9A1	4335.0232	ALDH9A1	4099.9341
ALDOA	31235.2777	ALDOA	18179.2511
ALDOC	59.8805	ALDOC	1440.3088
ALG10B	408.8057	ALG10B	300.9705
ALG10	231.7536	ALG10	98.2188
ALG11	13.5945	ALG11	6.6648
ALG12	551.5478	ALG12	539.8527
ALG13	345.6884	ALG13	486.1832
ALG14	352.4856	ALG14	173.6368
ALG1L	6.8555	ALG1L	15.3677
ALG1	687.4732	ALG1	471.2364
ALG2	1238.7168	ALG2	745.4107
ALG3	617.9018	ALG3	559.1457
ALG5	1082.3802	ALG5	640.8778
ALG6	578.0894	ALG6	365.5143
ALG8	1442.3104	ALG8	833.4568
ALG9	787.5093	ALG9	593.5223
ALKBH1	246.6428	ALKBH1	371.1268
ALKBH2	173.4916	ALKBH2	458.8222
ALKBH3	149.2157	ALKBH3	449.0003
ALKBH4	168.5652	ALKBH4	292.2255
ALKBH5	1808.9861	ALKBH5	1946.0972
ALKBH6	61.4989	ALKBH6	49.4602
ALKBH7	379.9983	ALKBH7	580.5434
ALKBH8	288.3973	ALKBH8	315.3526
ALMS1P	10.3577	ALMS1P	5.6125
ALMS1	1273.9977	ALMS1	634.9145
removed	removed	ALOX12B	7.7172
ALOX12P2	6.7972	ALOX12P2	23.8531
removed	removed	ALOX12	5.9633
removed	removed	ALOX15B	674.5528
removed	removed	ALOX15	36.1305
ALOX5AP	339.8622	ALOX5AP	237.8299
ALOX5	228.5169	ALOX5	487.5863
removed	removed	ALOXE3	24.5547
ALPK1	624.3754	ALPK1	769.9654
removed	removed	ALPK2	6.6648
ALPK3	108.7559	ALPK3	179.2493
ALPL	140.4764	ALPL	954.4765
ALS2CL	83.8327	ALS2CL	367.2682
ALS2CR4	327.2387	ALS2CR4	1479.9471
ALS2CR8	99.3692	ALS2CR8	196.0869
ALS2	512.059	ALS2	642.2809
ALX3	15.2129	ALX3	35.4289
removed	removed	ALX4	36.4813
AMACR	662.2458	AMACR	295.358
removed	removed	AMBP	89.4493
AMBRA1	868.1051	AMBRA1	1263.515
AMD1	953.5562	AMD1	1971.7358
AMDHD1	7.7683	AMDHD1	26.3086
AMDHD2	123.6451	AMDHD2	219.0806
AMFR	4249.2485	AMFR	3628.133
AMICA1	20.7154	AMICA1	126.6321
AMIGO1	77.6828	AMIGO1	200.9978
AMIGO2	535.3639	AMIGO2	4179.9123
AMIGO3	132.7081	AMIGO3	55.0727
AMMECR1L	789.775	AMMECR1L	1007.7952
AMMECR1	270.9187	AMMECR1	186.9665
AMN1	172.1968	AMN1	239.233
AMOTL1	379.3509	AMOTL1	2840.2778
AMOTL2	630.5253	AMOTL2	3279.1054
AMOT	3400.8877	AMOT	1222.1227
removed	removed	AMPD1	50.8633
AMPD2	294.5472	AMPD2	740.4997
AMPD3	248.5849	AMPD3	225.5525
AMPH	24.2759	AMPH	22.45
AMT	90.3062	AMT	146.8442
removed	removed	AMY1A	43.8477
AMY2B	10.1797	AMY2B	256.2319
AMZ2P1	205.5357	AMZ2P1	334.2948
AMZ2	1564.0134	AMZ2	1195.4633
ANAPC10	92.2483	ANAPC10	169.0767
ANAPC11	993.3686	ANAPC11	780.1381
ANAPC13	1703.2081	ANAPC13	1051.4395
ANAPC16	1870.2131	ANAPC16	2900.6122
ANAPC1	815.3456	ANAPC1	632.8098
ANAPC2	533.4218	ANAPC2	765.4052
ANAPC4	570.3211	ANAPC4	576.6848
ANAPC5	2432.1186	ANAPC5	2318.3149
ANAPC7	1125.4294	ANAPC7	995.5179
ANGEL1	399.0953	ANGEL1	631.7575
ANGEL2	952.9089	ANGEL2	713.8403
ANGPT1	45.6386	ANGPT1	296.7611
ANGPT2	342.4516	ANGPT2	122.072
removed	removed	ANGPT4	16.4867
ANGPTL1	59.2331	ANGPTL1	191.8775
ANGPTL2	502.996	ANGPTL2	1834.938
ANGPTL4	212.6566	ANGPTL4	300.6197
ANGPTL7	6.4736	ANGPTL7	107.6899
ANG	274.5892	ANG	504.8517
removed	removed	ANK1	12.9789
ANK2	151.8051	ANK2	251.5103
ANK3	2466.7522	ANK3	1752.1536
ANKAR	24.9232	ANKAR	55.7743
ANKDD1A	14.8892	ANKDD1A	85.9415
removed	removed	ANKFN1	23.1516
ANKFY1	2247.622	ANKFY1	1894.2201
ANKHD1-EIF4EBP3	2160.4684	ANKHD1-EIF4EBP3	860.1759
ANKHD1	1972.7738	ANKHD1	2467.169
ANKH	358.6355	ANKH	1108.8203
ANKIB1	1358.4777	ANKIB1	1067.0773
ANKK1	19.4207	ANKK1	99.9727
removed	removed	ANKLE1	23.1516
ANKLE2	1577.9316	ANKLE2	1626.9246
ANKMY1	206.5067	ANKMY1	260.6307
ANKMY2	480.9859	ANKMY2	748.5677
ANKRA2	289.3684	ANKRA2	335.6979
ANKRD10	771.9727	ANKRD10	1255.6574
ANKRD11	632.6163	ANKRD11	1849.6919
ANKRD12	1168.8023	ANKRD12	920.0999
ANKRD13A	650.917	ANKRD13A	1527.3026
ANKRD13B	40.4598	ANKRD13B	103.1298
ANKRD13C	491.6673	ANKRD13C	581.9465
ANKRD13D	327.5624	ANKRD13D	412.519
ANKRD16	132.3844	ANKRD16	203.0674
ANKRD17	3855.9793	ANKRD17	2771.8754
ANKRD19	28.8074	ANKRD19	59.9836
removed	removed	ANKRD20A3	15.4344
ANKRD22	203.27	ANKRD22	62.0883
ANKRD23	9.7103	ANKRD23	44.9
ANKRD24	22.6575	ANKRD24	43.4969
ANKRD26	267.0346	ANKRD26	173.2861
ANKRD27	719.5368	ANKRD27	834.1584
ANKRD28	1613.2125	ANKRD28	1186.6938
ANKRD29	20.7154	ANKRD29	240.2853
ANKRD30A	924.4252	ANKRD30A	387.9643
ANKRD30B	309.4364	ANKRD30B	61.7375
ANKRD32	143.0658	ANKRD32	148.3806
ANKRD34A	10.034	ANKRD34A	15.7852
ANKRD35	8.092	ANKRD35	232.9189
ANKRD36BP1	113.2874	ANKRD36BP1	106.6376
ANKRD36B	22.6575	ANKRD36B	29.1149
ANKRD36	68.9435	ANKRD36	138.2079
ANKRD37	115.0579	ANKRD37	109.3316
ANKRD39	146.6263	ANKRD39	120.3181
ANKRD40	954.5272	ANKRD40	1613.9457
ANKRD42	479.0439	ANKRD42	254.6674
ANKRD43	12.6235	ANKRD43	176.7939
ANKRD44	134.0028	ANKRD44	59.9836
removed	removed	ANKRD45	12.9789
ANKRD46	566.437	ANKRD46	629.0915
ANKRD49	180.9362	ANKRD49	279.5729
ANKRD50	1913.2623	ANKRD50	995.5179
ANKRD52	1989.003	ANKRD52	1158.2805
removed	removed	ANKRD53	41.743
ANKRD54	349.5725	ANKRD54	402.3464
ANKRD56	63.4409	ANKRD56	105.2344
ANKRD57	972.6532	ANKRD57	909.5764
ANKRD58	6.1499	removed	removed
ANKRD5	624.3754	ANKRD5	176.7939
ANKRD6	87.6294	ANKRD6	282.7965
ANKRD9	53.0832	ANKRD9	34.3766
ANKS1A	805.3116	ANKS1A	1349.4564
ANKS1B	425.9606	ANKS1B	123.1243
ANKS3	50.8175	ANKS3	254.6674
ANKS6	18.126	ANKS6	129.0876
ANKZF1	332.7413	ANKZF1	719.8036
ANLN	434.0526	ANLN	56.8266
ANO10	1885.7497	ANO10	857.6608
ANO1	1680.214	ANO1	10322.7979
removed	removed	ANO2	41.743
removed	removed	ANO3	22.0992
ANO5	5.1789	ANO5	55.0727
ANO6	3223.1883	ANO6	3426.0829
ANO7	19.4207	ANO7	16.1359
