gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
ADCY4	113.5896	ADCY4	723.545
ADCY5	5.8339	ADCY5	498.3466
ADCY6	2577.2135	ADCY6	3281.0847
ADCY7	317.0899	ADCY7	488.4259
ADCY8	5.1476	removed	removed
ADCY9	1944.4063	ADCY9	1027.7778
removed	removed	ADCYAP1R1	36.3757
removed	removed	ADCYAP1	34.7222
ADC	207.9616	ADC	139.5503
ADD1	5406.3143	ADD1	6587.3016
ADD2	19.9039	ADD2	68.1217
ADD3	264.9279	ADD3	2788.0291
removed	removed	ADH1A	123.3466
ADH1B	17.5017	ADH1B	18073.4127
removed	removed	ADH1C	229.828
removed	removed	ADH4	43.6508
ADH5	1598.8332	ADH5	3062.5
ADHFE1	117.3644	ADHFE1	330.6878
ADI1	1530.8854	ADI1	1397.8175
ADIPOQ	23.6788	ADIPOQ	16621.3624
ADIPOR1	2050.7893	ADIPOR1	2228.5053
ADIPOR2	15725.1201	ADIPOR2	3159.7222
ADK	360.6726	ADK	315.1455
ADM2	35.6898	ADM2	91.6005
ADM	50.103	ADM	825.0661
ADNP2	908.3734	ADNP2	706.3492
ADNP	3658.545	ADNP	2661.045
ADORA1	70.35	ADORA1	293.6508
ADORA2A	212.0762	ADORA2A	68.1184
ADORA2B	16.129	ADORA2B	70.1058
ADORA3	131.4345	ADORA3	104.1667
ADO	629.0323	ADO	645.5026
ADPGK	1028.4008	ADPGK	852.1759
ADPRHL1	107.4125	ADPRHL1	50.5952
ADPRHL2	542.21	ADPRHL2	559.5238
ADPRH	276.5957	ADPRH	496.6931
removed	removed	ADRA1A	75.0661
ADRA1B	38.4351	ADRA1B	25.463
ADRA1D	5.4907	ADRA1D	8.9286
ADRA2A	889.499	ADRA2A	1210.9788
ADRA2B	5.1476	ADRA2B	23.1481
removed	removed	ADRA2C	72.4206
removed	removed	ADRB1	65.4762
ADRB2	28.8264	ADRB2	530.0926
removed	removed	ADRB3	10.582
ADRBK1	1163.0062	ADRBK1	1750.3307
ADRBK2	478.7234	ADRBK2	1789.0212
ADRM1	1290.3226	ADRM1	950.0661
ADSL	540.8373	ADSL	655.4233
ADSSL1	57.3095	ADSSL1	166.9974
ADSS	1060.7412	ADSS	1140.5423
AEBP1	7257.7213	AEBP1	11412.3677
AEBP2	796.4997	AEBP2	839.2857
AEN	611.8737	AEN	462.3016
AES	7042.21	AES	6712.6323
AFAP1L1	329.4441	AFAP1L1	754.6296
AFAP1L2	640.7001	AFAP1L2	954.3651
AFAP1	798.2052	AFAP1	1632.2685
AFF1	2838.0233	AFF1	3495.3704
AFF2	18.8744	AFF2	89.9471
AFF3	10493.8229	AFF3	2231.1508
AFF4	6208.6479	AFF4	4230.1587
AFG3L1	202.814	AFG3L1	323.7434
AFG3L2	1770.8682	AFG3L2	1176.3724
AFMID	320.1784	AFMID	545.3042
removed	removed	AFP	219.9074
AFTPH	3894.3034	AFTPH	1852.1825
AG2	142.0728	AG2	733.4656
AGAP11	53.2327	AGAP11	251.9907
AGAP1	588.8813	AGAP1	419.9735
AGAP2	47.0556	AGAP2	66.961
AGAP3	1055.5937	AGAP3	1338.955
AGAP4	222.7179	AGAP4	265.873
AGAP5	87.5292	AGAP5	100.0959
AGAP6	89.2244	AGAP6	137.8968
AGAP7	5.8339	AGAP7	8.5979
AGAP8	9.2656	AGAP8	50.5952
AGA	747.7694	AGA	566.1376
AGBL2	35.0034	AGBL2	21.164
AGBL4	18.1881	AGBL4	9.5899
AGBL5	522.6596	AGBL5	729.1733
AGER	25.3946	AGER	43.9815
AGFG1	1312.6287	AGFG1	1909.7222
AGFG2	205.9025	AGFG2	553.5714
AGGF1	1523.3356	AGGF1	818.7831
AGK	515.7859	AGK	468.254
AGL	586.1359	AGL	1269.1799
AGMAT	14.7563	AGMAT	14.881
AGPAT1	1573.8298	AGPAT1	1614.7288
AGPAT2	532.9444	AGPAT2	2891.5344
AGPAT3	1458.8195	AGPAT3	2025.7937
AGPAT4	56.9664	AGPAT4	274.1402
AGPAT5	224.7769	AGPAT5	631.2831
AGPAT6	974.2622	AGPAT6	1944.4444
AGPAT9	54.221	AGPAT9	156.0847
AGPHD1	12.6973	AGPHD1	52.2487
AGPS	876.1153	AGPS	1100.8598
AGR2	2948.5244	AGR2	2777.1164
AGR3	1329.1009	AGR3	573.082
AGRN	3042.8964	AGRN	3990.0794
AGTPBP1	391.558	AGTPBP1	408.7302
AGTR1	11201.0981	AGTR1	270.172
AGTRAP	674.3308	AGTRAP	634.2593
AGT	100.5491	AGT	76.7196
AGXT2L1	54.5642	removed	removed
AGXT2L2	1058.092	AGXT2L2	825.1521
AHCTF1	1342.1414	AHCTF1	1546.2963
AHCYL1	4994.5093	AHCYL1	4739.7487
AHCYL2	630.7481	AHCYL2	716.2698
AHCY	2946.4653	AHCY	1959.6561
AHDC1	652.3679	AHDC1	1055.2249
AHI1	405.9712	AHI1	522.1561
AHNAK2	217.9135	AHNAK2	1496.3624
AHNAK	37963.6239	AHNAK	116041.0053
AHRR	12.6973	AHRR	14.5503
AHR	815.7172	AHR	3301.918
AHSA1	1981.4688	AHSA1	1183.2011
AHSA2	1156.8291	AHSA2	514.881
AIDA	510.9883	AIDA	1129.3519
AIF1L	231.9835	AIF1L	1646.4947
AIF1	257.7213	AIF1	414.3519
AIFM1	1338.3665	AIFM1	711.3095
AIFM2	538.4351	AIFM2	1324.0741
AIFM3	18.7131	AIFM3	12.9332
AIG1	1218.5999	AIG1	958.0026
AIM1	1595.0583	AIM1	3614.418
AIM2	7.2066	removed	removed
AIMP1	1413.5003	AIMP1	941.6733
AIMP2	386.6507	AIMP2	235.1587
AIP	849.348	AIP	761.2434
removed	removed	AJAP1	14.881
AK1	593.6857	AK1	461.6402
AK2	1715.8545	AK2	1819.7751
AK3L1	182.9101	AK3L1	439.8148
AK3	1380.9197	AK3	2023.8095
AK5	18.1881	AK5	1388.5582
AK7	43.5827	AK7	41.9974
AKAP10	789.9794	AKAP10	647.8175
AKAP11	2460.8785	AKAP11	2463.955
AKAP12	295.4701	AKAP12	5045.6349
AKAP13	2842.1414	AKAP13	3835.3175
AKAP1	4131.7776	AKAP1	2057.8704
AKAP2	387.8518	AKAP2	1859.1435
removed	removed	AKAP3	23.4788
AKAP5	59.3686	AKAP5	97.5529
AKAP6	28.8264	AKAP6	224.537
AKAP7	112.5601	AKAP7	196.7593
AKAP8L	1279.6843	AKAP8L	779.1005
AKAP8	718.943	AKAP8	684.8545
AKAP9	4468.0851	AKAP9	3214.2857
AKD1	90.5971	AKD1	182.209
AKIRIN1	1043.5827	AKIRIN1	1387.2354
AKIRIN2	468.7714	AKIRIN2	665.0132
AKNAD1	6.5237	removed	removed
AKNA	285.5182	AKNA	786.7063
AKR1A1	1495.5388	AKR1A1	1462.6323
removed	removed	AKR1B10	5.6217
removed	removed	AKR1B15	21.164
AKR1B1	318.4626	AKR1B1	833.664
AKR1C1	5.8339	AKR1C1	1767.5265
removed	removed	AKR1C2	1514.2196
AKR1C3	52.5051	AKR1C3	1643.8492
removed	removed	AKR1E2	42.9894
AKR7A2	1281.7433	AKR7A2	1093.254
AKR7A3	695.6074	AKR7A3	186.5079
AKR7L	49.7598	AKR7L	31.746
AKT1S1	971.1736	AKT1S1	707.0106
AKT1	3217.9135	AKT1	3492.7249
AKT2	3657.8586	AKT2	3015.873
AKT3	258.7509	AKT3	1318.7831
AKTIP	585.803	AKTIP	710.6812
ALAD	918.6685	ALAD	2837.3016
ALAS1	1170.5559	ALAS1	888.8889
removed	removed	ALB	438.4921
ALCAM	2984.5573	ALCAM	2847.5529
ALDH16A1	494.8524	ALDH16A1	410.0529
ALDH18A1	1631.0913	ALDH18A1	1376.9841
ALDH1A1	67.9478	ALDH1A1	3028.4392
ALDH1A2	6.5202	ALDH1A2	445.7672
ALDH1A3	238.1778	ALDH1A3	1007.6653
ALDH1B1	497.2546	ALDH1B1	653.4392
ALDH1L1	5.1476	ALDH1L1	701.7196
ALDH1L2	106.0398	ALDH1L2	255.6217
ALDH2	2227.8655	ALDH2	8945.7672
ALDH3A1	11.3246	ALDH3A1	30.4233
ALDH3A2	10186.3418	ALDH3A2	2370.0397
ALDH3B1	495.8819	ALDH3B1	227.5132
ALDH3B2	130.7481	ALDH3B2	1785.0529
ALDH4A1	476.3212	ALDH4A1	1852.8439
ALDH5A1	807.8243	ALDH5A1	638.2275
ALDH6A1	507.0865	ALDH6A1	727.2619
ALDH7A1	2106.0398	ALDH7A1	1758.5979
ALDH8A1	19.2176	ALDH8A1	23.1481
ALDH9A1	2261.1531	ALDH9A1	3363.0952
ALDOA	28496.9115	ALDOA	13746.3624
removed	removed	ALDOB	9.2593
ALDOC	525.7378	ALDOC	1897.4868
ALG10B	450.5834	ALG10B	363.0952
ALG10	122.512	ALG10	119.0476
ALG11	32.2581	ALG11	12.8968
ALG12	373.3699	ALG12	422.619
ALG13	505.4907	ALG13	593.9153
ALG14	198.3528	ALG14	165.6746
ALG1L	10.5765	ALG1L	10.2447
ALG1	1148.3596	ALG1	397.5959
ALG2	996.9115	ALG2	852.8439
ALG3	675.3603	ALG3	421.627
ALG5	886.4104	ALG5	522.8175
ALG6	411.8051	ALG6	241.4021
ALG8	916.9526	ALG8	675.5952
ALG9	460.8785	ALG9	622.6852
ALKBH1	260.8099	ALKBH1	223.8757
ALKBH2	233.6994	ALKBH2	206.6799
ALKBH3	331.1599	ALKBH3	403.4392
ALKBH4	164.5607	ALKBH4	179.795
ALKBH5	3424.9691	ALKBH5	2349.4378
ALKBH6	100.2059	ALKBH6	64.8148
ALKBH7	495.8819	ALKBH7	348.545
ALKBH8	823.9533	ALKBH8	322.0899
removed	removed	ALK	29.4312
ALMS1P	14.4132	ALMS1P	8.9286
ALMS1	1021.6198	ALMS1	894.5106
ALOX12P2	89.5676	ALOX12P2	31.4153
ALOX12	5.5113	ALOX12	5.9722
ALOX15B	14.4132	ALOX15B	252.9762
ALOX15	161.6335	ALOX15	479.828
ALOX5AP	339.396	ALOX5AP	266.2037
ALOX5	671.9286	ALOX5	514.5503
ALOXE3	109.4715	ALOXE3	6.9444
ALPK1	587.1654	ALPK1	784.0608
ALPK2	28.8264	ALPK2	5.6217
ALPK3	247.4262	ALPK3	417.328
ALPL	154.4269	ALPL	943.4524
ALS2CL	80.302	ALS2CL	410.7143
ALS2CR11	6.8634	ALS2CR11	8.5979
ALS2CR4	288.9499	ALS2CR4	1053.9021
ALS2CR8	178.792	ALS2CR8	255.291
ALS2	649.6225	ALS2	782.0767
ALX3	17.5017	ALX3	26.7857
removed	removed	ALX4	24.4709
AMACR	555.5937	AMACR	313.1614
AMBP	15.7859	AMBP	12.2354
AMBRA1	1119.4235	AMBRA1	1008.9286
AMD1	1338.3665	AMD1	1668.9815
AMDHD1	217.2272	AMDHD1	12.8968
AMDHD2	311.256	AMDHD2	155.9755
AMFR	6634.523	AMFR	4352.8439
AMICA1	21.6198	AMICA1	96.2302
AMIGO1	210.7069	AMIGO1	220.2381
AMIGO2	77.2135	AMIGO2	2144.8413
AMIGO3	51.1325	AMIGO3	60.1852
AMMECR1L	785.5182	AMMECR1L	952.7116
AMMECR1	126.2869	AMMECR1	236.4418
AMN1	291.6953	AMN1	208.3333
AMOTL1	393.617	AMOTL1	2341.9312
AMOTL2	2629.0323	AMOTL2	4745.0397
AMOT	408.3734	AMOT	1069.4444
removed	removed	AMPD1	55.2249
AMPD2	571.7227	AMPD2	528.7698
AMPD3	904.9417	AMPD3	272.8175
AMPH	18.1881	AMPH	70.7672
AMT	417.1517	AMT	236.7063
removed	removed	AMY1A	19.5106
AMY2B	238.8401	AMY2B	322.2388
AMZ1	327.0419	AMZ1	38.0291
AMZ2P1	208.3047	AMZ2P1	209.3254
AMZ2	2080.9883	AMZ2	1092.9233
ANAPC10	117.3644	ANAPC10	112.4339
ANAPC11	1046.3281	ANAPC11	505.9524
ANAPC13	1789.9931	ANAPC13	1079.5403
ANAPC16	1889.499	ANAPC16	2214.9471
ANAPC1	559.3686	ANAPC1	835.9788
ANAPC2	725.8065	ANAPC2	754.9603
ANAPC4	491.0776	ANAPC4	550.9259
ANAPC5	2614.9623	ANAPC5	2205.3571
ANAPC7	1126.9732	ANAPC7	783.0688
ANGEL1	710.7069	ANGEL1	610.4497
ANGEL2	644.8181	ANGEL2	697.7513
ANGPT1	20.2471	ANGPT1	586.3095
ANGPT2	568.6342	ANGPT2	513.5582
removed	removed	ANGPT4	17.1958
ANGPTL1	9.2656	ANGPTL1	397.1561
ANGPTL2	646.8771	ANGPTL2	4921.9577
ANGPTL4	32.6012	ANGPTL4	954.0344
removed	removed	ANGPTL5	7.6058
