gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
LOC100190938	114.2759	LOC100190938	182.8704
LOC100190939	101.2354	LOC100190939	269.1799
LOC100190986	353.8092	LOC100190986	343.9153
removed	removed	LOC100192378	17.5265
LOC100216545	143.7886	LOC100216545	62.8307
LOC100233209	13.7268	LOC100233209	12.8968
removed	removed	LOC100240735	12.5661
LOC100268168	12.3542	LOC100268168	14.2196
LOC100270710	281.2732	LOC100270710	206.2467
LOC100270746	83.0474	LOC100270746	41.336
LOC100270804	43.8916	LOC100270804	32.7381
LOC100271722	38.4351	LOC100271722	58.2011
LOC100271836	540.5285	LOC100271836	545.7903
LOC100272146	67.2615	LOC100272146	34.0608
LOC100272216	8.2361	LOC100272216	20.668
LOC100272217	36.0329	LOC100272217	17.5265
LOC100272228	106.383	LOC100272228	59.5238
LOC100286793	311.5992	LOC100286793	197.0899
LOC100286844	36.1702	LOC100286844	23.2242
LOC100288778	266.7639	LOC100288778	228.2639
LOC100289341	36.3761	LOC100289341	46.627
LOC100302401	11.1874	LOC100302401	19.5403
removed	removed	LOC100302640	9.5899
LOC100302650	11.3246	LOC100302650	113.7566
LOC100303728	41.8668	LOC100303728	26.1243
LOC113230	217.5704	LOC113230	131.9444
LOC115110	144.4132	LOC115110	70.7672
LOC121838	10.6383	LOC121838	15.873
removed	removed	LOC134466	67.791
LOC143188	12.3542	LOC143188	24.8016
LOC143666	28.4832	LOC143666	17.1958
LOC144438	795.127	LOC144438	755.9524
LOC144486	15.7859	LOC144486	7.2751
LOC144571	36.4756	LOC144571	47.9927
LOC145783	72.7351	LOC145783	28.0192
removed	removed	LOC145820	49.6032
LOC145837	75.8408	LOC145837	34.0608
LOC146336	5.8339	removed	removed
LOC146880	211.0604	LOC146880	345.5522
LOC147727	815.3741	LOC147727	587.963
LOC147804	141.0432	LOC147804	104.4974
LOC148189	107.7557	LOC148189	55.5556
LOC148413	510.2814	LOC148413	289.8909
LOC148696	13.5827	LOC148696	6.2831
LOC149134	8.9224	LOC149134	11.9048
LOC149837	48.3871	LOC149837	65.8069
LOC150381	179.7152	LOC150381	62.4603
LOC150776	220.6589	LOC150776	297.619
LOC150786	32.9444	LOC150786	45.6349
LOC151009	90.9403	LOC151009	52.5794
LOC151162	1541.5237	LOC151162	1387.2354
LOC151534	233.013	LOC151534	69.5966
LOC152217	246.7399	LOC152217	177.9101
LOC153328	32.6012	LOC153328	16.8651
LOC153684	62.1139	LOC153684	46.627
LOC154761	24.4612	LOC154761	55.3108
removed	removed	LOC154822	20.8631
LOC158376	15.0995	LOC158376	105.4894
LOC158572	63.8298	LOC158572	31.0847
removed	removed	LOC158696	11.9048
LOC162632	404.1249	LOC162632	227.5496
LOC168474	10.6383	LOC168474	16.2037
LOC200030	504.0185	LOC200030	850.3737
LOC202181	175.7035	LOC202181	73.4127
LOC202781	272.4777	LOC202781	191.4683
LOC219347	48.116	LOC219347	77.381
LOC220594	225.4873	LOC220594	86.8552
LOC220729	164.3789	LOC220729	150.1323
LOC220930	35.302	LOC220930	50.1323
LOC221442	48.3871	LOC221442	86.6402
LOC221710	237.4743	LOC221710	323.7434
LOC222699	73.0954	LOC222699	40.0132
LOC253039	217.9135	LOC253039	297.9497
LOC253724	26.081	LOC253724	13.5582
LOC254559	48.3871	LOC254559	63.4921
removed	removed	LOC255167	8.9286
removed	removed	LOC257358	8.9286
LOC25845	645.1579	LOC25845	275.8763
LOC282997	56.28	LOC282997	39.6825
LOC283050	10.9815	LOC283050	24.4709
LOC283070	187.7145	LOC283070	149.4709
LOC283174	94.7152	LOC283174	158.3995
LOC283267	182.5669	LOC283267	299.9339
LOC283314	65.0892	LOC283314	116.0086
removed	removed	LOC283392	232.414
LOC283663	31.5717	LOC283663	25.1323
LOC283922	249.4852	LOC283922	80.0265
LOC284023	86.4791	LOC284023	127.6455
LOC284232	22.3061	LOC284232	18.5185
LOC284233	29.5127	LOC284233	21.8254
LOC284276	12.011	LOC284276	16.2037
LOC284379	66.9183	removed	removed
LOC284440	74.4681	LOC284440	130.291
LOC284441	61.4276	LOC284441	59.1931
removed	removed	LOC284578	24.1402
LOC284837	8.9224	LOC284837	27.4471
LOC284900	215.4907	LOC284900	186.3889
LOC285033	35.2025	LOC285033	43.75
LOC285074	194.5779	LOC285074	225.1984
LOC285359	73.4386	LOC285359	66.4683
removed	removed	LOC285419	5.6217
LOC285593	79.6156	LOC285593	17.5265
LOC285696	12.3542	removed	removed
LOC285830	9.4612	LOC285830	83.1217
removed	removed	LOC286002	7.9365
LOC286367	24.022	LOC286367	143.8492
LOC286467	10.6383	LOC286467	7.6058
removed	removed	LOC338651	17.1958
LOC338758	62.1139	LOC338758	40.3439
LOC338799	680.8511	LOC338799	329.3651
LOC339047	1965.3397	LOC339047	1349.2063
LOC339290	596.0879	LOC339290	983.6739
LOC339524	9.547	LOC339524	289.3519
LOC339535	6.1771	LOC339535	23.8095
LOC341056	12.011	LOC341056	6.6138
LOC344595	258.0645	LOC344595	212.963
LOC344967	5.1476	removed	removed
LOC348926	93.3425	LOC348926	63.4921
LOC349114	107.0693	LOC349114	113.7566
removed	removed	LOC349196	10.2513
LOC374443	158.2018	LOC374443	140.2116
LOC375190	97.8037	LOC375190	111.1111
LOC387646	26.7673	LOC387646	38.6905
LOC387647	305.3569	LOC387647	565.7374
LOC388152	212.4228	LOC388152	156.4153
LOC388242	5.8339	LOC388242	24.1402
LOC388588	32.2581	LOC388588	20.5026
LOC388692	399.7941	LOC388692	242.3942
LOC388789	535.6898	LOC388789	426.5873
LOC388796	200.0686	LOC388796	292.9894
LOC388955	294.4406	LOC388955	245.3704
LOC389033	16.8154	LOC389033	20.172
LOC389332	8.5793	removed	removed
LOC389333	101.5786	LOC389333	53.5714
LOC389493	66.9183	LOC389493	22.1561
LOC389634	5.1476	removed	removed
removed	removed	LOC389705	9.2593
LOC389791	8.5793	removed	removed
LOC390595	13.0405	LOC390595	16.5344
LOC391322	8.9224	LOC391322	10.2513
LOC399744	188.0577	LOC399744	181.5476
LOC399959	64.8593	LOC399959	701.3889
LOC400027	560.7412	LOC400027	313.4921
LOC400043	370.2814	LOC400043	262.2354
LOC400657	338.7097	LOC400657	212.963
LOC400752	52.8483	LOC400752	30.0926
removed	removed	LOC400759	18.8492
removed	removed	LOC400927	42.4206
LOC400931	62.8003	LOC400931	72.7513
LOC401010	28.14	LOC401010	27.1164
LOC401052	97.8037	LOC401052	218.5847
LOC401093	16.7056	LOC401093	276.8585
LOC401127	10.9815	LOC401127	6.2831
LOC401397	471.1736	LOC401397	508.5979
LOC401431	9.9554	LOC401431	73.2242
LOC401588	92.9993	LOC401588	64.8148
LOC402377	12.011	LOC402377	16.2037
LOC407835	47.3576	LOC407835	30.0926
LOC440354	140.6417	LOC440354	182.6984
removed	removed	LOC440461	8.2672
LOC440905	102.9513	LOC440905	230.8201
LOC440925	109.8147	LOC440925	11.9048
LOC440944	275.9094	LOC440944	267.1958
LOC440957	193.8916	LOC440957	114.7487
LOC441046	29.1695	LOC441046	17.1958
LOC441089	83.0474	LOC441089	91.6005
LOC441204	131.0913	LOC441204	104.4974
LOC441208	52.5051	LOC441208	52.9101
LOC441294	104.324	LOC441294	125.6614
removed	removed	LOC441454	7.9365
LOC441455	12.011	LOC441455	13.2275
removed	removed	LOC441666	52.5794
LOC441869	78.5861	LOC441869	266.5344
LOC442421	34.3171	LOC442421	25.1323
LOC442454	195.2642	LOC442454	112.1032
LOC493754	437.5429	LOC493754	617.7249
LOC541471	223.4043	LOC541471	148.1481
LOC550112	287.5772	LOC550112	214.2857
LOC550643	477.0075	LOC550643	261.9048
removed	removed	LOC554202	20.8333
removed	removed	LOC55908	67.4603
removed	removed	LOC572558	14.881
LOC595101	211.359	LOC595101	82.6124
LOC606724	12.3542	LOC606724	7.6058
LOC613037	31.2045	LOC613037	13.7996
LOC619207	18.1881	LOC619207	28.1085
LOC641298	157.6321	LOC641298	92.7579
removed	removed	LOC641367	7.2751
LOC642587	444.7495	LOC642587	736.1111
LOC642826	89.7907	LOC642826	99.9901
LOC642846	113.9327	LOC642846	129.6296
LOC642852	165.4084	LOC642852	299.2725
LOC643008	8.5793	LOC643008	6.9444
LOC643387	38.092	LOC643387	38.0291
removed	removed	LOC643719	62.1693
removed	removed	LOC643763	12.2354
LOC643837	137.6115	LOC643837	189.1534
removed	removed	LOC644172	9.2593
LOC644538	220.6589	LOC644538	171.2963
LOC644936	7.2066	LOC644936	20.5026
LOC645166	35.3466	LOC645166	79.3651
LOC645332	77.5566	LOC645332	102.1825
LOC645431	157.2032	LOC645431	17.9332
LOC645676	32.9067	LOC645676	22.9861
LOC646214	866.8497	LOC646214	182.8704
LOC646471	106.8463	LOC646471	79.6925
LOC646762	272.4777	LOC646762	443.4524
LOC646851	64.8593	LOC646851	106.4815
LOC646999	14.7563	LOC646999	15.5423
LOC647121	80.302	LOC647121	49.6032
LOC647288	11.3246	LOC647288	10.9127
removed	removed	LOC647309	12.5661
LOC647946	36.3761	removed	removed
LOC647979	9693.8916	LOC647979	12050.9259
LOC648740	10.6452	LOC648740	20.0463
LOC649330	7.2066	LOC649330	6.2831
LOC650368	26.7673	LOC650368	91.2698
LOC650623	33.9739	LOC650623	127.9762
LOC651250	1290.3226	LOC651250	2035.7143
LOC652276	73.4386	LOC652276	53.9021
LOC653113	26.4242	LOC653113	41.6667
LOC653501	147.9067	LOC653501	230.1587
LOC653566	1718.943	LOC653566	1164.0212
LOC653653	94.372	LOC653653	96.5608
LOC654342	134.523	LOC654342	384.9206
LOC654433	377.8655	LOC654433	111.1111
LOC678655	380.7275	LOC678655	274.4577
LOC723972	9.952	LOC723972	5.291
LOC727896	29.1695	LOC727896	22.4868
LOC728024	11.3246	LOC728024	28.4392
LOC728190	171.2423	LOC728190	167.9894
LOC728264	120.453	LOC728264	3285.0529
LOC728323	28.4832	LOC728323	52.9101
LOC728392	34.3171	LOC728392	114.0873
LOC728554	146.534	LOC728554	104.4974
LOC728606	12.011	LOC728606	135.9127
LOC728613	345.2299	LOC728613	157.0767
LOC728640	30.8854	LOC728640	36.7063
LOC728643	38.092	LOC728643	48.6111
LOC728723	18.5312	LOC728723	33.0688
LOC728743	87.1654	LOC728743	155.4233
LOC728758	40.151	LOC728758	26.1243
LOC728819	12.3542	LOC728819	26.1243
LOC728855	146.5237	LOC728855	162.2222
LOC728875	46.6815	LOC728875	37.1825
LOC728989	5.1476	removed	removed
LOC729020	35.3466	LOC729020	23.1481
LOC729082	532.1482	LOC729082	510.4299
LOC729176	35.6898	LOC729176	39.3519
LOC729234	24.7083	LOC729234	96.5608
LOC729375	21.6198	LOC729375	39.3519
LOC729603	13.0405	LOC729603	19.8413
LOC729678	765.5491	LOC729678	474.2097
LOC729799	12.011	LOC729799	25.463
LOC729991-MEF2B	92.9547	LOC729991-MEF2B	56.379
LOC729991	284.8284	LOC729991	217.5298
LOC730101	347.9753	LOC730101	101.8519
LOC80054	23.6788	LOC80054	102.8439
LOC80154	308.5106	LOC80154	299.9339
LOC81691	111.8737	LOC81691	130.291
removed	removed	LOC84856	52.2487
removed	removed	LOC84989	8.545
LOC90110	294.7838	LOC90110	330.6878
LOC90246	9.952	LOC90246	32.7381
removed	removed	LOC90586	13.8889
LOC90784	298.2155	LOC90784	292.9894
LOC90834	17.1585	LOC90834	47.619
LOC91316	314.6877	LOC91316	498.9187
LOC92249	346.9458	LOC92249	728.836
LOC92659	126.6301	LOC92659	64.8148
LOC92973	19.5607	LOC92973	100.1984
LOC93622	595.7447	LOC93622	295.3042
LOC96610	612.8243	LOC96610	9682.4206
LOH12CR1	127.6596	LOH12CR1	105.4894
LOH12CR2	22.3061	LOH12CR2	39.6825
LOH3CR2A	37.0625	LOH3CR2A	102.5132
LONP1	2010.6383	LONP1	1250.9921
LONP2	6977.0075	LONP2	2133.9286
LONRF1	206.5889	LONRF1	723.2143
LONRF2	1729.5813	LONRF2	581.0185
removed	removed	LONRF3	70.7672
LOXHD1	7.2066	LOXHD1	19.5106
LOXL1	382.9787	LOXL1	283.3995
LOXL2	1103.4283	LOXL2	861.0516
LOXL3	128.1709	LOXL3	101.3426
LOXL4	20.2471	LOXL4	584.9868
LOX	253.9465	LOX	944.1138
LPAL2	9.952	LPAL2	5.9524
LPAR1	757.3782	LPAR1	476.8519
LPAR2	381.2629	LPAR2	224.2063
LPAR3	8.5793	LPAR3	10.9127
LPAR4	9.6088	LPAR4	7.6058
LPAR5	113.9327	LPAR5	99.537
LPAR6	644.8181	LPAR6	1121.3624
LPCAT1	2662.3198	LPCAT1	1032.4074
LPCAT2	213.4523	LPCAT2	1042.328
LPCAT3	1791.0089	LPCAT3	1275.7937
LPCAT4	322.9238	LPCAT4	534.0608
LPGAT1	1483.871	LPGAT1	2113.0952
LPHN1	1506.8188	LPHN1	1174.2725
LPHN2	440.9746	LPHN2	1351.5212
removed	removed	LPHN3	231.8122
LPIN1	402.8826	LPIN1	1078.0423
LPIN2	1236.1016	LPIN2	1077.381
LPIN3	669.9794	LPIN3	492.5694
LPL	126.9732	LPL	18469.246
removed	removed	LPPR1	18.8492
LPPR2	362.0453	LPPR2	439.8148
LPPR3	154.0837	LPPR3	119.3783
LPPR4	63.4866	LPPR4	167.6587
LPP	722.0316	LPP	1288.6905
LPXN	205.9025	LPXN	235.7804
LQK1	32.2581	LQK1	22.4868
LRAT	17.8449	LRAT	70.1058
LRBA	6588.1949	LRBA	2859.127
LRCH1	516.129	LRCH1	960.3175
LRCH2	16.129	LRCH2	110.7804
LRCH3	343.5141	LRCH3	445.7672
LRCH4	706.9321	LRCH4	830.3571
LRDD	304.7358	LRDD	226.1905
LRFN1	42.5532	LRFN1	42.9894
LRFN2	8.9224	removed	removed
LRFN3	187.7145	LRFN3	191.1376
LRFN4	303.7062	LRFN4	194.7751
removed	removed	LRFN5	61.5079
LRG1	870.6246	LRG1	240.4101
removed	removed	LRGUK	7.9365
LRIG1	8010.4187	LRIG1	6381.5112
LRIG2	191.4894	LRIG2	307.5397
LRIG3	70.0069	LRIG3	957.672
LRIT3	29.8559	LRIT3	16.8651
LRMP	25.7378	LRMP	185.5159
LRP10	3228.2086	LRP10	5425.5952
LRP11	1028.14	LRP11	994.7057
LRP12	201.4413	LRP12	318.1217
removed	removed	LRP1B	145.5026
LRP1	3239.8765	LRP1	28277.1164
LRP2BP	46.3281	LRP2BP	80.6878
LRP2	45.6417	LRP2	3711.3095
LRP3	502.7454	LRP3	940.4134
LRP4	79.6156	LRP4	283.0126
LRP5L	99.8627	LRP5L	134.2593
LRP5	2497.941	LRP5	3135.582
LRP6	883.3219	LRP6	1846.8915
LRP8	53.5347	LRP8	52.9101
LRPAP1	2505.4907	LRPAP1	1942.791
LRPPRC	3552.162	LRPPRC	3225.5291
LRRC10B	16.129	LRRC10B	9.5899
removed	removed	LRRC14B	11.2434
LRRC14	1017.8792	LRRC14	641.3624
LRRC15	713.7955	LRRC15	176.2566
LRRC16A	194.9211	LRRC16A	597.2222
LRRC16B	11.6678	LRRC16B	10.9127
LRRC17	146.8771	LRRC17	162.037
LRRC1	728.2086	LRRC1	489.7487
LRRC20	120.453	LRRC20	195.4365
LRRC23	255.6623	LRRC23	139.881
LRRC24	7.1723	LRRC24	13.0688
LRRC25	91.6266	LRRC25	158.3995
removed	removed	LRRC26	22.4868
LRRC27	324.2965	LRRC27	256.6138
LRRC28	61.7708	LRRC28	125.6614
LRRC29	56.9664	LRRC29	69.7751
removed	removed	LRRC2	67.1296
removed	removed	LRRC31	8.2672
LRRC32	655.1132	LRRC32	2326.0582
LRRC33	82.0178	LRRC33	283.0688
LRRC34	33.2876	LRRC34	70.1058
LRRC36	10.6383	LRRC36	15.2116
LRRC37A2	119.9348	LRRC37A2	179.1468
LRRC37A3	336.3075	LRRC37A3	138.8889
LRRC37A4	88.8813	LRRC37A4	285.0099
LRRC37A	391.2148	LRRC37A	481.4815
LRRC37B2	664.722	LRRC37B2	675.5952
LRRC37B	106.7261	LRRC37B	188.8228
removed	removed	LRRC39	9.5602
removed	removed	LRRC3B	23.4788
LRRC3	17.8449	LRRC3	70.1058
LRRC40	192.5189	LRRC40	314.8148
LRRC41	1938.2292	LRRC41	1754.9603
LRRC42	791.6953	LRRC42	498.6772
LRRC43	11.3246	LRRC43	11.9048
LRRC45	255.6623	LRRC45	176.918
LRRC46	118.0508	LRRC46	31.4153
LRRC47	1096.0879	LRRC47	1060.5159
LRRC48	137.1002	LRRC48	117.7249
LRRC49	152.7111	LRRC49	123.0159
LRRC4B	7.2066	LRRC4B	26.7857
LRRC4C	7.8929	LRRC4C	162.3677
LRRC4	77.2135	LRRC4	73.7434
LRRC50	53.1915	LRRC50	48.2804
LRRC55	17.1585	LRRC55	10.9127
LRRC56	200.0686	LRRC56	84.3254
LRRC57	347.9753	LRRC57	375.3307
LRRC58	1507.5498	LRRC58	1279.4312
LRRC59	2719.8524	LRRC59	1801.6171
LRRC61	363.7612	LRRC61	140.2116
LRRC66	10.9815	LRRC66	10.2513
LRRC67	8.2361	removed	removed
LRRC69	5.1476	removed	removed
LRRC6	106.383	LRRC6	63.8228
LRRC70	37.1002	LRRC70	184.6627
LRRC8A	1012.3542	LRRC8A	1628.3069
LRRC8B	754.976	LRRC8B	647.8175
LRRC8C	630.4049	LRRC8C	1072.4206
LRRC8D	634.523	LRRC8D	708.9947
LRRC8E	896.7056	LRRC8E	329.3651
LRRCC1	822.2375	LRRCC1	434.8545
LRRFIP1	3353.1229	LRRFIP1	3540.0132
LRRFIP2	1149.6225	LRRFIP2	825.7275
LRRIQ1	5.4907	LRRIQ1	41.6667
LRRIQ3	11.3246	LRRIQ3	12.5661
LRRK1	654.0837	LRRK1	578.0423
LRRK2	168.8401	LRRK2	521.8254
LRRN1	56.6232	LRRN1	554.2328
LRRN2	1269.046	LRRN2	249.3386
LRRN3	5.4907	LRRN3	329.6958
LRRN4CL	11.6678	LRRN4CL	362.1032
removed	removed	LRRTM2	41.6667
removed	removed	LRRTM4	7.9365
LRSAM1	454.7014	LRSAM1	460.6481
LRTOMT	427.7488	LRTOMT	257.2817
LRWD1	248.4557	LRWD1	205.0265
removed	removed	LSAMP	71.0979
LSG1	1170.2128	LSG1	847.2222
LSM10	334.9348	LSM10	324.0741
LSM11	185.6555	LSM11	199.0741
LSM12	993.8229	LSM12	721.2302
LSM14A	3518.8744	LSM14A	2848.545
LSM14B	1161.9767	LSM14B	784.7222
LSM1	171.2423	LSM1	365.4101
LSM2	370.6246	LSM2	386.5741
LSM3	790.3226	LSM3	504.6296
LSM4	2016.8154	LSM4	646.164
LSM5	454.0151	LSM5	388.8889
LSM6	123.8847	LSM6	169.3122
LSM7	323.6102	LSM7	179.8942
LSMD1	664.3789	LSMD1	274.4709
LSP1	476.3212	LSP1	996.6931
LSR	1632.1208	LSR	1110.119
LSS	660.2608	LSS	1545.9656
LST1	60.3981	LST1	59.8545
LTA4H	1700.0686	LTA4H	1646.8254
removed	removed	LTA	5.291
LTB4R2	100.1098	LTB4R2	54.084
LTB4R	244.3411	LTB4R	172.328
LTBP1	586.1359	LTBP1	2038.3598
LTBP2	1571.7227	LTBP2	7257.6058
LTBP3	2482.0384	LTBP3	3696.6402
LTBP4	367.1929	LTBP4	3091.2698
LTBR	1645.8476	LTBR	1423.6111
LTB	10.6383	LTB	25.7937
LTC4S	13.4146	LTC4S	34.5238
LTF	36.3761	LTF	5923.6111
LTV1	449.2107	LTV1	590.2778
LUC7L2	2107.4125	LUC7L2	2228.0688
LUC7L3	4068.291	LUC7L3	2779.4312
LUC7L	1363.7612	LUC7L	645.8333
LUM	5626.9732	LUM	10087.3016
LUZP1	843.1709	LUZP1	1651.7857
removed	removed	LUZP2	105.1587
LUZP6	3086.8222	LUZP6	3556.8783
LXN	311.9423	LXN	380.9524
removed	removed	LY6D	6.2831
LY6E	4826.6987	LY6E	3535.0529
LY6G5B	26.4242	LY6G5B	51.9114
LY6G5C	25.0515	LY6G5C	31.4153
LY6G6C	65.2025	LY6G6C	47.9497
LY6K	118.7371	LY6K	72.7513
LY75	56.6232	LY75	1429.9967
LY86	84.7632	LY86	84.6561
LY96	43.2395	LY96	145.172
removed	removed	LY9	26.7857
LYAR	167.1242	LYAR	244.0476
LYG1	16.129	LYG1	9.5899
LYL1	36.7193	LYL1	99.537
LYNX1	398.7646	LYNX1	577.0503
LYN	334.9348	LYN	669.9735
LYPD1	60.6795	LYPD1	11.7791
LYPD3	1112.9032	LYPD3	498.6772
LYPD5	72.7522	LYPD5	67.4603
LYPD6B	815.0309	LYPD6B	202.7116
LYPD6	974.6054	LYPD6	1048.2804
LYPLA1	1736.4447	LYPLA1	910.0529
LYPLA2P1	57.9959	LYPLA2P1	48.2804
LYPLA2	938.5724	LYPLA2	746.0317
LYPLAL1	269.046	LYPLAL1	306.5476
LYRM1	541.5237	LYRM1	703.373
LYRM2	898.8778	LYRM2	942.0701
LYRM4	226.836	LYRM4	326.3889
LYRM5	227.1791	LYRM5	360.4497
LYRM7	336.6507	LYRM7	516.2037
LYSMD1	231.9835	LYSMD1	186.5079
LYSMD2	202.4708	LYSMD2	158.3995
LYSMD3	695.2642	LYSMD3	640.873
LYSMD4	63.9671	LYSMD4	221.2698
LYST	636.9252	LYST	1773.1481
LYVE1	39.1215	LYVE1	2593.9153
LYZ	408.0302	LYZ	660.3836
LZIC	417.2958	LZIC	380.9524
LZTFL1	931.3658	LZTFL1	778.7698
LZTR1	829.2622	LZTR1	1073.707
LZTS1	291.0089	LZTS1	308.2011
LZTS2	1447.838	LZTS2	1834.3254
M6PR	3015.5491	M6PR	2630.1753
MAB21L1	7.2066	MAB21L1	87.6323
MACC1	291.3521	MACC1	371.3624
MACF1	10007.8929	MACF1	10640.873
MACROD1	125.2574	MACROD1	140.5423
MACROD2	5.1476	MACROD2	116.4021
MAD1L1	304.0494	MAD1L1	311.1772
MAD2L1BP	388.1263	MAD2L1BP	307.209
MAD2L1	229.2382	MAD2L1	63.4921
MAD2L2	252.2306	MAD2L2	305.2249
MADD	1509.6088	MADD	1604.828
MAEA	944.0631	MAEA	951.7196
MAF1	2781.7433	MAF1	1962.963
MAFB	320.5216	MAFB	1009.5899
MAFF	248.7989	MAFF	1605.4894
MAFG	469.1146	MAFG	880.9524
MAFK	627.7454	MAFK	1092.4769
MAF	422.4434	MAF	1334.3254
MAGED1	2915.9231	MAGED1	3591.9312
MAGED2	38621.8257	MAGED2	7943.7831
MAGED4B	114.9863	MAGED4B	302.0966
MAGED4	39.7838	MAGED4	90.4299
MAGEE1	372.3404	MAGEE1	185.5159
removed	removed	MAGEE2	5.291
MAGEF1	2480.0961	MAGEF1	704.6958
MAGEH1	763.8984	MAGEH1	450.3968
removed	removed	MAGEL2	12.5661
MAGI1	1252.5738	MAGI1	1547.2884
MAGI2	529.8559	MAGI2	311.5079
MAGI3	1254.6328	MAGI3	918.6508
MAGIX	143.4454	MAGIX	42.6587
MAGOHB	212.0796	MAGOHB	183.2011
MAGOH	315.7172	MAGOH	289.6825
MAGT1	2554.221	MAGT1	2428.9021
MAG	5.1476	MAG	12.2354
MAK16	125.3603	MAK16	503.0721
MAK	10.6383	MAK	44.6429
MAL2	16137.6115	MAL2	2031.4153
MALAT1	10676.2286	MALAT1	5151.5344
MALL	182.2237	MALL	785.0529
MALT1	601.2354	MALT1	716.9312
removed	removed	MAL	31.4153
MAMDC2	53.1675	MAMDC2	651.0714
MAMDC4	29.5127	MAMDC4	40.0132
MAML1	1745.6795	MAML1	1480.3571
MAML2	109.8147	MAML2	1146.4947
MAML3	680.8511	MAML3	474.8677
MAMLD1	70.0069	MAMLD1	229.828
MAMSTR	37.0625	MAMSTR	24.4709
MAN1A1	8517.1585	MAN1A1	2404.7619
MAN1A2	739.5333	MAN1A2	1315.4762
MAN1B1	1193.5484	MAN1B1	1450.3968
MAN1C1	1309.8833	MAN1C1	439.8148
MAN2A1	1038.7783	MAN2A1	990.7407
MAN2A2	1521.2766	MAN2A2	1800.5952
MAN2B1	861.359	MAN2B1	1396.164
MAN2B2	1792.3816	MAN2B2	1774.4709
MAN2C1	1398.7646	MAN2C1	1257.6058
MANBAL	1333.5621	MANBAL	1016.5344
MANBA	1527.1105	MANBA	1096.5608
MANEAL	396.7056	MANEAL	151.7857
MANEA	769.3892	MANEA	471.2302
MANF	1024.3651	MANF	655.754
MANSC1	1069.3205	MANSC1	978.836
MAOA	3123.8847	MAOA	4266.5344
MAOB	1520.9334	MAOB	2853.836
MAP1A	381.606	MAP1A	994.3783
MAP1B	615.3054	MAP1B	3987.1032
MAP1D	31.9149	MAP1D	62.1693
MAP1LC3A	306.4516	MAP1LC3A	332.672
MAP1LC3B2	183.2533	MAP1LC3B2	240.0794
MAP1LC3B	1458.4763	MAP1LC3B	2058.2011
removed	removed	MAP1LC3C	96.8915
MAP1S	583.0474	MAP1S	621.6931
MAP2K1	1235.0721	MAP2K1	1318.9649
MAP2K2	1519.5607	MAP2K2	1257.6058
MAP2K3	756.6918	MAP2K3	1047.2884
MAP2K4	4240.2196	MAP2K4	929.8942
MAP2K5	518.1881	MAP2K5	378.3069
MAP2K6	13.7268	MAP2K6	135.9127
MAP2K7	968.0851	MAP2K7	812.8307
MAP2	439.2588	MAP2	504.9603
MAP3K10	227.5223	MAP3K10	199.7354
MAP3K11	1156.8291	MAP3K11	1596.5608
MAP3K12	504.0391	MAP3K12	278.7765
MAP3K13	46.1805	MAP3K13	51.1772
MAP3K14	237.1311	MAP3K14	684.8545
removed	removed	MAP3K1	2250.3307
MAP3K2	776.5957	MAP3K2	807.8704
MAP3K3	720.5045	MAP3K3	1644.332
MAP3K4	625.6005	MAP3K4	946.4286
MAP3K5	612.5601	MAP3K5	983.4656
MAP3K6	208.9911	MAP3K6	847.5529
MAP3K7	699.7255	MAP3K7	883.9286
MAP3K8	66.5752	MAP3K8	443.7831
MAP3K9	58.3391	MAP3K9	143.5185
MAP4K1	23.3356	MAP4K1	62.8307
MAP4K2	356.5546	MAP4K2	329.0344
MAP4K3	1020.2471	MAP4K3	883.2672
MAP4K4	1702.1277	MAP4K4	2983.7963
MAP4K5	868.9087	MAP4K5	1195.1058
MAP4	6635.8957	MAP4	8995.3704
MAP6D1	142.0728	MAP6D1	53.5714
MAP6	133.1503	MAP6	174.9339
MAP7D1	1958.4763	MAP7D1	2617.3942
MAP7D2	6.8634	MAP7D2	19.8413
MAP7D3	35.0034	MAP7D3	630.6217
MAP7	1332.8758	MAP7	892.1958
MAP9	945.4358	MAP9	525.1323
MAPK10	166.4379	MAPK10	408.0688
MAPK11	108.442	MAPK11	317.4603
MAPK12	132.6321	MAPK12	100.3108
MAPK13	846.9458	MAPK13	765.5423
MAPK14	1188.0577	MAPK14	1598.8757
MAPK15	5.4907	MAPK15	29.1005
MAPK1IP1L	1499.6568	MAPK1IP1L	1992.0635
MAPK1	2715.5113	MAPK1	3297.619
MAPK3	2507.8826	MAPK3	1812.1693
removed	removed	MAPK4	36.045
MAPK6	713.7955	MAPK6	1046.2963
MAPK7	275.2642	MAPK7	371.9312
MAPK8IP1	112.9032	MAPK8IP1	280.0926
MAPK8IP2	341.455	MAPK8IP2	70.1058
MAPK8IP3	1909.7461	MAPK8IP3	861.4418
MAPK8	244.3377	MAPK8	437.8307
MAPK9	1671.9286	MAPK9	1042.6587
MAPKAP1	1275.2231	MAPKAP1	1849.8677
MAPKAPK2	3594.372	MAPKAPK2	2743.3862
MAPKAPK3	835.278	MAPKAPK3	682.209
MAPKAPK5	594.849	MAPKAPK5	486.6832
MAPKBP1	661.2903	MAPKBP1	927.2487
MAPKSP1	1652.7111	MAPKSP1	962.6323
MAPRE1	3627.6596	MAPRE1	2852.8439
