gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
LONRF2	337.1271	LONRF2	385.0076
LONRF3	18.4483	LONRF3	54.7455
removed	removed	LOXHD1	9.3032
LOXL1	1353.5669	LOXL1	629.0366
LOXL2	1567.4805	LOXL2	715.9066
LOXL3	86.1177	LOXL3	100.6423
LOXL4	13.6874	LOXL4	597.9068
LOX	1522.5768	LOX	2203.4171
LPAL2	5.9511	removed	removed
LPAR1	1093.8035	LPAR1	1445.5676
LPAR2	368.6677	LPAR2	168.8881
removed	removed	LPAR3	22.1845
LPAR4	6.8437	LPAR4	12.8813
LPAR5	102.0606	LPAR5	119.8676
LPAR6	389.1988	LPAR6	1393.3268
LPCAT1	1732.9465	LPCAT1	831.2014
LPCAT2	188.6484	LPCAT2	1394.4002
LPCAT3	806.0701	LPCAT3	1313.8921
LPCAT4	315.7033	LPCAT4	399.3202
LPGAT1	2955.5903	LPGAT1	2300.7425
LPHN1	714.9862	LPHN1	629.9741
LPHN2	317.7862	LPHN2	2077.1089
LPHN3	13.0923	LPHN3	288.7557
LPIN1	450.4947	LPIN1	1848.8237
removed	removed	LPIN2	1247.3388
LPIN3	202.1245	LPIN3	228.2709
LPL	118.1284	LPL	8885.2312
LPO	11.0094	LPO	5.725
removed	removed	LPPR1	41.8642
LPPR2	1532.0985	LPPR2	524.1972
LPPR4	19.0434	LPPR4	79.0768
LPP	699.8438	LPP	926.3798
LPXN	215.1306	LPXN	303.4261
LQK1	8.9266	removed	removed
LRAT	58.9154	LRAT	80.8659
removed	removed	LRBA	2454.9602
removed	removed	LRCH1	1183.6479
LRCH2	16.3654	LRCH2	163.5209
removed	removed	LRCH3	470.5251
LRCH4	816.782	LRCH4	342.7856
LRDD	372.8334	LRDD	56.1768
LRFN1	21.7213	LRFN1	48.3049
LRFN2	17.2581	removed	removed
LRFN3	242.2078	LRFN3	176.0444
LRFN4	268.0949	LRFN4	112.3535
removed	removed	LRFN5	119.5098
removed	removed	LRG1	291.6182
removed	removed	LRGUK	12.1657
LRIG1	3079.8066	LRIG1	4155.4522
removed	removed	LRIG2	272.6541
LRIG3	258.2757	LRIG3	1097.4148
removed	removed	LRIT3	17.1751
LRMP	16.9605	LRMP	181.7694
LRP10	6165.8856	LRP10	4973.6112
LRP11	2035.5456	LRP11	1271.3123
LRP12	305.8841	LRP12	393.5951
removed	removed	LRP1B	188.5679
LRP1	7459.0493	LRP1	18542.9824
removed	removed	LRP2BP	76.2143
removed	removed	LRP2	1630.1995
LRP3	853.6785	LRP3	684.1578
removed	removed	LRP4	459.0285
LRP5L	81.827	LRP5L	39.0017
LRP5	2342.3343	LRP5	1586.1884
LRP6	371.9408	LRP6	2644.2437
removed	removed	LRP8	55.8189
LRPAP1	1967.1204	LRPAP1	1009.0348
removed	removed	LRPPRC	4424.3671
LRRC10B	230.6033	LRRC10B	13.9547
LRRC14B	11.0094	removed	removed
LRRC14	631.1657	LRRC14	384.4387
LRRC15	5215.5025	LRRC15	1092.0476
removed	removed	LRRC16A	729.2244
LRRC16B	13.0923	removed	removed
LRRC17	327.0103	LRRC17	659.0929
removed	removed	LRRC18	7.1563
LRRC1	1808.2273	LRRC1	608.999
LRRC20	101.1679	LRRC20	142.7677
LRRC23	126.4599	LRRC23	116.2895
LRRC24	16.3089	removed	removed
LRRC25	50.8815	LRRC25	88.38
LRRC26	177.9365	LRRC26	16.4594
LRRC27	79.4049	LRRC27	163.1631
LRRC28	135.9816	LRRC28	231.8633
LRRC29	25.292	LRRC29	41.1486
removed	removed	LRRC2	206.1007
LRRC31	30.9455	removed	removed
LRRC32	1058.0972	LRRC32	1735.3967
LRRC33	46.4182	LRRC33	184.6319
LRRC34	14.5801	LRRC34	83.0128
LRRC37A2	533.6993	LRRC37A2	117.3987
LRRC37A3	108.9043	LRRC37A3	138.1161
LRRC37A4	178.5316	LRRC37A4	423.5907
LRRC37A	1017.9275	LRRC37A	463.3688
LRRC37B2	538.5703	LRRC37B2	476.2501
removed	removed	LRRC37B	145.6302
LRRC39	6.3944	removed	removed
removed	removed	LRRC3B	41.8642
LRRC3	35.7063	LRRC3	73.3518
LRRC40	380.5698	LRRC40	355.6669
removed	removed	LRRC41	2037.7494
removed	removed	LRRC42	522.4081
LRRC45	249.9442	LRRC45	62.9752
LRRC46	213.9403	LRRC46	15.386
LRRC47	1039.0538	LRRC47	1100.2773
LRRC48	28.2675	LRRC48	89.0956
LRRC49	28.8626	LRRC49	273.0119
removed	removed	LRRC4B	17.8907
LRRC4C	11.307	LRRC4C	172.824
LRRC4	551.365	LRRC4	104.4816
removed	removed	LRRC50	5.0094
LRRC55	11.6046	LRRC55	8.5875
LRRC56	86.8854	LRRC56	17.8907
LRRC57	294.8747	LRRC57	327.0418
LRRC58	2762.4786	LRRC58	1715.3592
LRRC59	8886.9806	LRRC59	2009.5143
LRRC61	174.9609	LRRC61	127.0239
removed	removed	LRRC66	10.0188
LRRC6	87.4805	LRRC6	59.7549
removed	removed	LRRC70	117.7959
LRRC8A	1119.6905	LRRC8A	1339.2969
LRRC8B	1081.9014	LRRC8B	632.9725
LRRC8C	252.9197	LRRC8C	1047.6787
LRRC8D	480.5475	LRRC8D	1012.9707
LRRC8E	490.6643	LRRC8E	181.7694
removed	removed	LRRCC1	600.7693
LRRFIP1	11032.3588	LRRFIP1	2734.4127
LRRFIP2	1027.7468	LRRFIP2	902.7641
removed	removed	LRRIQ1	35.7814
LRRIQ3	22.614	LRRIQ3	10.0188
LRRK1	113.9627	LRRK1	584.6677
removed	removed	LRRK2	802.5763
LRRN1	320.7617	LRRN1	1173.2713
LRRN2	84.5049	LRRN2	183.2006
removed	removed	LRRN3	143.4833
removed	removed	LRRN4CL	734.2338
removed	removed	LRRTM1	5.0094
removed	removed	LRRTM2	32.5611
removed	removed	LRRTM4	20.3954
LRSAM1	402.2912	LRSAM1	307.362
LRTM2	16.6629	removed	removed
LRTOMT	425.2473	LRTOMT	298.0123
removed	removed	LRWD1	75.1409
LSAMP	8.629	LSAMP	95.5363
removed	removed	LSG1	790.7684
LSM10	361.2289	LSM10	270.865
LSM11	135.9816	LSM11	317.3808
LSM12	980.4359	LSM12	941.408
removed	removed	LSM14A	3453.9762
LSM14B	1702.8937	LSM14B	609.3568
LSM1	259.7634	LSM1	378.9248
LSM2	474.5964	LSM2	726.3619
LSM3	1383.0246	LSM3	809.7325
LSM4	1393.1414	LSM4	602.5584
LSM5	438.5926	LSM5	668.0383
LSM6	125.8648	LSM6	249.0384
LSM7	310.9425	LSM7	184.6319
LSMD1	385.0331	LSMD1	250.4696
LSP1	351.7072	LSP1	1389.7486
LSR	2266.7559	LSR	656.9461
LSS	890.8726	LSS	946.7752
removed	removed	LST-3TM12	12.5235
LST1	33.921	LST1	84.0862
LTA4H	1043.2195	LTA4H	3156.2752
LTB4R2	21.7362	LTB4R2	30.6253
LTB4R	52.6668	LTB4R	142.8536
removed	removed	LTBP1	5761.8749
removed	removed	LTBP2	12310.5823
removed	removed	LTBP3	2712.8831
LTBP4	332.6638	LTBP4	4854.1014
removed	removed	LTBR	914.9298
LTB	5.3559	LTB	5.0094
LTC4S	7.9982	LTC4S	38.8765
LTF	155984.5273	LTF	44359.6028
LTV1	471.3234	LTV1	566.0614
LUC7L2	3336.7076	LUC7L2	2331.5144
LUC7L3	4486.7961	LUC7L3	2565.5246
LUC7L	479.0597	LUC7L	414.7061
LUM	14320.613	LUM	21547.1867
removed	removed	LUZP1	1429.8238
LUZP2	220.4865	LUZP2	197.1554
LUZP6	4930.4471	LUZP6	5263.4404
LXN	319.8691	LXN	411.128
LY6D	104.1434	LY6D	61.1862
LY6E	4144.9081	LY6E	3846.1401
LY6G5B	13.8183	LY6G5B	53.3142
LY6G5C	47.0133	LY6G5C	32.9189
removed	removed	LY6G6C	21.4688
LY6H	10.1168	removed	removed
LY6K	6.2486	LY6K	35.7814
LY75	133.3036	LY75	2266.1562
LY86	70.2224	LY86	135.2536
LY96	47.906	LY96	260.4884
removed	removed	LY9	25.7626
removed	removed	LYAR	214.6883
LYL1	19.3409	LYL1	55.1033
LYNX1	31.5406	LYNX1	713.4806
removed	removed	LYN	944.6283
LYPD1	74.5042	LYPD1	22.6174
LYPD3	1693.0745	LYPD3	344.9325
LYPD5	25.8871	LYPD5	69.7737
LYPD6B	413.5982	LYPD6B	152.4287
LYPD6	177.0438	LYPD6	285.1776
LYPLA1	2120.6576	LYPLA1	992.5754
LYPLA2P1	67.2469	LYPLA2P1	33.6345
LYPLA2	1113.4419	LYPLA2	576.438
LYPLAL1	505.5419	LYPLAL1	393.9529
LYRM1	611.1731	LYRM1	869.4874
LYRM2	1198.7592	LYRM2	915.4021
LYRM4	194.0043	LYRM4	492.3517
LYRM5	168.7123	LYRM5	405.0452
LYRM7	315.4058	LYRM7	554.2535
LYSMD1	113.3676	LYSMD1	192.8616
LYSMD2	112.7724	LYSMD2	254.7634
LYSMD3	551.6626	LYSMD3	757.1339
LYSMD4	92.0182	LYSMD4	237.0838
removed	removed	LYST	1528.9382
LYVE1	14.2825	LYVE1	3894.8028
LYZ	988.4698	LYZ	1709.2763
LZIC	453.7678	LZIC	490.2048
LZTFL1	456.7433	LZTFL1	934.2517
removed	removed	LZTR1	588.9614
LZTS1	236.8519	LZTS1	500.9393
LZTS2	573.0864	LZTS2	981.4831
M6PR	2344.2862	M6PR	3416.4666
MAB21L1	6.5462	MAB21L1	192.146
MACC1	864.9855	MACC1	787.5481
MACF1	5274.4179	MACF1	7162.358
removed	removed	MACROD1	97.3253
removed	removed	MACROD2	117.3629
MAD1L1	167.2246	MAD1L1	144.1989
MAD2L1BP	526.3706	MAD2L1BP	401.8249
removed	removed	MAD2L1	121.2989
removed	removed	MAD2L2	321.6746
removed	removed	MADD	1024.063
MAEA	1087.8524	MAEA	834.7795
MAF1	1864.7623	MAF1	1670.6324
MAFB	1173.8451	MAFB	1645.9433
MAFF	200.848	MAFF	214.6883
MAFG	460.909	MAFG	531.7112
MAFK	217.6449	MAFK	286.3047
MAF	485.0108	MAF	2141.1575
MAGEB4	5.6535	MAGEB4	13.2391
removed	removed	MAGED1	3122.6407
removed	removed	MAGED2	4517.7565
MAGED4B	132.9495	MAGED4B	293.2928
MAGED4	70.279	MAGED4	89.9258
MAGEE1	30.6479	MAGEE1	192.8616
removed	removed	MAGEE2	11.0922
removed	removed	MAGEF1	564.9879
MAGEH1	150.8592	MAGEH1	630.8257
MAGEL2	23.5067	MAGEL2	5.3672
removed	removed	MAGI1	1131.7649
removed	removed	MAGI2	320.9589
MAGI3	2891.6165	MAGI3	868.414
MAGIX	32.7308	MAGIX	12.8813
MAGOHB	197.8725	MAGOHB	209.321
MAGOH	379.6772	MAGOH	348.1528
MAGT1	3503.9798	MAGT1	3148.4033
removed	removed	MAG	6.7985
MAK16	252.399	MAK16	529.6467
MAK	76.1735	MAK	7.8719
MAL2	10801.1605	MAL2	2025.5837
MALAT1	5887.168	MALAT1	5818.0589
MALL	263.3341	MALL	833.3482
removed	removed	MALT1	645.8538
removed	removed	MAL	80.8659
MAMDC2	18.1507	MAMDC2	1412.9314
MAMDC4	14.5801	MAMDC4	12.8813
MAML1	1398.2355	MAML1	1338.3487
MAML2	137.1718	MAML2	1988.7289
removed	removed	MAML3	522.7659
MAMLD1	63.9738	MAMLD1	249.0384
MAMSTR	19.3409	MAMSTR	39.3595
MAN1A1	939.9688	MAN1A1	2119.3309
removed	removed	MAN1A2	1045.174
MAN1B1	2896.0797	MAN1B1	936.0408
MAN1C1	395.745	MAN1C1	666.9648
MAN2A1	1084.5793	MAN2A1	1281.3311
MAN2A2	1063.1555	MAN2A2	1153.5916
MAN2B1	1365.7666	MAN2B1	1439.4847
MAN2B2	2089.7121	MAN2B2	1598.3541
removed	removed	MAN2C1	637.6241
MANBAL	1053.9314	MANBAL	1230.5215
MANBA	1944.2089	MANBA	1209.0527
MANEAL	1006.0254	MANEAL	198.5866
MANEA	312.1327	MANEA	437.2484
MANF	1564.5317	MANF	745.3261
MANSC1	493.3423	MANSC1	1078.8085
MAOA	28.8626	MAOA	2676.4469
removed	removed	MAOB	3792.468
removed	removed	MAP1A	1972.6272
MAP1B	2354.8315	MAP1B	3588.1564
MAP1D	80.9343	MAP1D	62.9752
MAP1LC3A	105.3336	MAP1LC3A	179.9803
MAP1LC3B2	510.3028	MAP1LC3B2	284.8198
MAP1LC3B	2937.142	MAP1LC3B	2585.92
removed	removed	MAP1LC3C	205.3851
MAP1S	586.4762	MAP1S	359.6028
MAP2K1	1009.5306	MAP2K1	852.867
removed	removed	MAP2K2	907.7735
MAP2K3	1034.888	MAP2K3	787.1903
MAP2K4	945.9198	MAP2K4	1126.3977
MAP2K5	209.1795	MAP2K5	435.1015
MAP2K6	7.4388	MAP2K6	259.7728
MAP2K7	546.9017	MAP2K7	532.7847
removed	removed	MAP2	627.2475
MAP3K10	46.7158	MAP3K10	50.8096
MAP3K11	1727.5906	MAP3K11	761.0699
MAP3K12	49.6407	MAP3K12	128.5088
removed	removed	MAP3K13	55.9764
MAP3K14	155.62	MAP3K14	404.6874
removed	removed	MAP3K1	1899.6332
removed	removed	MAP3K2	666.607
MAP3K3	959.6578	MAP3K3	1228.9042
removed	removed	MAP3K4	918.5079
removed	removed	MAP3K5	1104.2133
MAP3K6	926.8764	MAP3K6	561.7676
MAP3K7	921.2229	MAP3K7	820.8248
MAP3K8	92.8364	MAP3K8	221.8445
MAP3K9	148.4788	MAP3K9	107.7019
MAP4K1	27.3748	MAP4K1	45.8002
MAP4K2	424.0125	MAP4K2	213.6148
MAP4K3	778.1001	MAP4K3	988.2816
removed	removed	MAP4K4	3163.4314
MAP4K5	824.5183	MAP4K5	1718.5795
MAP4	8307.6694	MAP4	7580.2845
MAP6D1	69.9249	MAP6D1	62.2596
MAP6	13.0923	MAP6	211.8257
MAP7D1	1144.9825	MAP7D1	821.1826
removed	removed	MAP7D2	32.2032
MAP7D3	114.2602	MAP7D3	494.4986
removed	removed	MAP7	830.4857
MAP9	771.8515	MAP9	516.3253
removed	removed	MAPK10	230.7899
MAPK11	251.432	MAPK11	130.9598
MAPK12	170.2923	MAPK12	68.711
MAPK13	2004.017	MAPK13	496.2877
MAPK14	1582.3849	MAPK14	2212.3625
removed	removed	MAPK15	12.5235
MAPK1IP1L	1914.7512	MAPK1IP1L	2339.3863
MAPK1	6063.5275	MAPK1	4994.3644
MAPK3	1087.5549	MAPK3	1959.746
removed	removed	MAPK4	96.9675
MAPK6	1920.1071	MAPK6	970.0331
MAPK7	282.1216	MAPK7	307.9989
MAPK8IP1	25.292	MAPK8IP1	255.1212
MAPK8IP2	1023.8786	MAPK8IP2	54.3877
removed	removed	MAPK8IP3	322.0324
MAPK8	258.8708	MAPK8	329.5465
MAPK9	1637.1346	MAPK9	1065.9272
MAPKAP1	1336.3089	MAPKAP1	1619.4651
MAPKAPK2	2832.1059	MAPKAPK2	2171.2139
MAPKAPK3	924.1985	MAPKAPK3	881.6531
MAPKAPK5	697.5616	MAPKAPK5	410.6199
removed	removed	MAPKBP1	584.3099
MAPKSP1	1133.378	MAPKSP1	1293.1389
removed	removed	MAPRE1	3167.0096
MAPRE2	1103.0276	MAPRE2	1446.2832
MAPRE3	253.8124	MAPRE3	358.8872
MAPT	532.3217	MAPT	670.543
MARCH1	42.2525	MARCH1	81.5815
MARCH2	519.2293	MARCH2	661.2398
MARCH3	41.6574	MARCH3	110.9223
MARCH4	20.2336	removed	removed
MARCH5	1013.4643	MARCH5	1233.384
MARCH6	4993.2307	MARCH6	2567.6715
removed	removed	MARCH7	2115.0371
MARCH8	158.5956	MARCH8	530.9956
MARCH9	268.69	MARCH9	160.6584
MARCKSL1	6348.2854	MARCKSL1	2660.3453
MARCKS	3247.4894	MARCKS	5724.6623
MARCO	33.6234	MARCO	132.0333
MARK1	357.0632	MARK1	224.3492
removed	removed	MARK2	859.1108
removed	removed	MARK3	1124.6086
MARK4	981.031	MARK4	408.9811
MARS2	246.076	MARS2	174.2553
removed	removed	MARS	1055.0282
MARVELD1	908.5829	MARVELD1	2084.1041
MARVELD2	771.2564	MARVELD2	352.8044
MARVELD3	635.1856	MARVELD3	189.4982
removed	removed	MAS1L	7.1563
removed	removed	MASP1	391.4483
MASP2	8.0339	MASP2	90.5269
removed	removed	MAST1	6.0828
MAST2	1872.2011	MAST2	1011.8973
removed	removed	MAST3	271.2228
removed	removed	MAST4	732.0869
MASTL	346.0537	MASTL	197.1554
MAT1A	11.307	MAT1A	19.6798
removed	removed	MAT2A	4644.7804
MAT2B	923.6034	MAT2B	2207.3531
removed	removed	MATK	15.0282
MATN2	80.0417	MATN2	5983.0038
MATN3	251.1344	MATN3	131.6755
removed	removed	MATN4	29.6985
MATR3	8151.4543	MATR3	8547.5624
MAVS	2277.1703	MAVS	2796.3145
MAX	967.046	MAX	1639.1448
removed	removed	MAZ	1543.6801
MBD1	578.7399	MBD1	782.5387
MBD2	1136.651	MBD2	1619.4651
removed	removed	MBD3	480.5439
MBD4	1285.7249	MBD4	812.595
MBD5	389.4964	MBD5	453.35
MBD6	1155.0993	MBD6	861.6155
MBIP	225.5449	MBIP	501.2971
removed	removed	MBL1P	6.7985
MBLAC1	23.8042	MBLAC1	10.7344
removed	removed	MBLAC2	377.8513
MBNL1	1878.0986	MBNL1	5441.5171
MBNL2	2439.3365	MBNL2	4024.6891
MBNL3	141.9326	MBNL3	124.877
MBOAT1	343.0782	MBOAT1	620.4491
MBOAT2	1448.4862	MBOAT2	357.4559
MBOAT7	3385.2563	MBOAT7	684.4977
MBP	184.1851	MBP	2418.821
MBTD1	935.2079	MBTD1	782.1809
MBTPS1	4503.459	MBTPS1	3584.5782
MBTPS2	1003.5647	MBTPS2	812.0834
MB	932.2324	MB	80.8659
MC1R	96.7046	MC1R	21.4688
MCAM	1281.5592	MCAM	3145.1829
MCART1	363.9069	MCART1	222.2023
MCART2	5.0584	MCART2	8.9453
MCART6	8.629	MCART6	15.7438
MCAT	449.602	MCAT	219.6976
MCCC1	697.1658	MCCC1	689.8649
MCCC2	3129.0635	MCCC2	3324.0898
removed	removed	MCC	1593.7025
MCEE	207.6917	MCEE	188.9257
removed	removed	MCF2L2	14.6704
removed	removed	MCF2L	493.1067
MCFD2	3010.6048	MCFD2	4226.6106
MCHR1	7.177	MCHR1	15.386
MCL1	6511.9393	MCL1	7813.579
removed	removed	MCM10	22.1845
MCM2	1954.6232	MCM2	371.7685
MCM3APAS	9.9234	MCM3APAS	41.6674
removed	removed	MCM3AP	1534.86
MCM3	2473.555	MCM3	1666.3387
MCM4	4655.2109	MCM4	741.0323
MCM5	1794.2424	MCM5	458.3594
MCM6	2458.0823	MCM6	871.6343
removed	removed	MCM7	1234.7115
MCM8	824.2208	MCM8	213.9726
MCM9	70.52	MCM9	82.2972
MCOLN1	473.7038	MCOLN1	379.2826
MCOLN2	11.9021	MCOLN2	8.9453
MCOLN3	5.6535	MCOLN3	131.3176
MCPH1	180.8644	MCPH1	599.9642
MCRS1	1145.8752	MCRS1	564.6301
MCTP1	87.778	MCTP1	244.3868
MCTP2	34.5161	MCTP2	335.2715
MCTS1	874.8047	MCTS1	978.2628
MDC1	1195.864	MDC1	951.7846
MDFIC	516.5514	MDFIC	1254.1372
MDFI	105.9287	MDFI	139.9052
MDGA1	30.9455	MDGA1	152.7865
removed	removed	MDH1B	32.2032
MDH1	3492.9703	MDH1	2563.3778
MDH2	3487.9119	MDH2	2599.1591
MDK	14280.7409	MDK	1355.7563
removed	removed	MDM1	271.9385
MDM2	4031.5406	MDM2	2273.1908
MDM4	727.2186	MDM4	1130.6915
removed	removed	MDN1	1573.6649
removed	removed	MDP1	179.5223
ME1	1053.6339	ME1	401.8249
ME2	462.3968	ME2	721.3525
ME3	41.3598	ME3	297.701
MEA1	1161.0504	MEA1	661.2398
MEAF6	1505.9139	MEAF6	1456.302
MECOM	269.2851	MECOM	495.9299
MECP2	1059.5849	MECP2	2362.2864
MECR	214.833	MECR	319.8855
MED10	386.5209	MED10	359.9606
MED11	233.5788	MED11	176.4022
removed	removed	MED12L	13.5969
MED12	1077.7356	MED12	1486.3584
removed	removed	MED13L	4635.1194
removed	removed	MED13	2352.6255
removed	removed	MED14	1326.0578
MED15	1814.4759	MED15	1228.0168
MED16	1058.0972	MED16	664.4601
MED17	709.663	MED17	663.0289
MED18	326.1177	MED18	240.8087
MED19	464.4797	MED19	257.9837
MED1	1430.0379	MED1	1913.9458
MED20	530.5363	MED20	517.0409
MED21	371.0481	MED21	839.4311
MED22	517.444	MED22	702.0306
MED23	4047.6084	MED23	1191.8776
MED24	803.0945	MED24	1653.4574
MED25	526.6682	MED25	414.4378
MED26	216.9159	MED26	152.0708
MED27	301.4208	MED27	240.8087
MED28	375.5114	MED28	844.0827
MED29	1479.4317	MED29	1374.0048
MED30	153.2396	MED30	147.7771
MED31	118.5896	MED31	141.1647
MED4	946.8125	MED4	1051.2568
MED6	420.7394	MED6	373.9154
MED7	194.0043	MED7	254.0478
MED8	772.7442	MED8	527.7753
MED9	250.5393	MED9	364.6122
removed	removed	MEF2A	2251.8687
removed	removed	MEF2B	16.3771
MEF2C	263.3341	MEF2C	1588.3353
removed	removed	MEF2D	1682.4403
removed	removed	MEFV	9.661
MEG3	32.7308	MEG3	189.9991
removed	removed	MEGF10	301.637
removed	removed	MEGF11	6.0828
MEGF6	438.8901	MEGF6	508.4534
MEGF8	354.0876	MEGF8	676.268
MEGF9	5947.1844	MEGF9	1498.1662
removed	removed	MEI1	65.4799
MEIS1	205.0138	MEIS1	851.5967
removed	removed	MEIS2	749.6198
MEIS3P1	332.0687	MEIS3P1	782.8965
MEIS3	166.927	MEIS3	119.5098
MELK	562.9696	MELK	24.3313
MEMO1	251.8723	MEMO1	262.782
removed	removed	MEN1	555.6848
removed	removed	MEOX1	339.5653
MEOX2	34.5161	MEOX2	653.0101
MEPCE	1319.3484	MEPCE	1036.5865
removed	removed	MERTK	393.2373
MESDC1	486.4985	MESDC1	323.1058
MESDC2	1629.6958	MESDC2	1172.1979
removed	removed	MESP1	61.544
removed	removed	MESP2	9.3032
removed	removed	MESTIT1	14.3126
MEST	718.8872	MEST	3236.7833
removed	removed	METAP1	1895.3395
METAP2	2112.3261	METAP2	2181.9483
METRNL	382.3551	METRNL	177.4756
removed	removed	METRN	44.3689
METT10D	994.4209	METT10D	998.3004
METT11D1	361.824	METT11D1	430.0921
METT5D1	356.7656	METT5D1	336.7027
METTL10	172.5002	METTL10	365.3422
METTL11A	519.7114	METTL11A	123.435
METTL12	21.7481	METTL12	83.5817
METTL13	1519.3037	METTL13	687.0024
removed	removed	METTL14	493.4252
METTL1	503.7566	METTL1	231.8633
METTL2A	588.5591	METTL2A	310.5823
METTL2B	347.839	METTL2B	212.5414
METTL3	318.4736	METTL3	544.2598
METTL4	130.9232	METTL4	268.3603
METTL5	558.7324	METTL5	617.1107
METTL6	342.4831	METTL6	244.029
METTL7A	733.4672	METTL7A	5122.1039
METTL7B	169.605	METTL7B	11.45
METTL8	354.9803	METTL8	427.5874
METTL9	1709.7374	METTL9	2968.4229
removed	removed	MET	2456.3914
MEX3A	155.62	MEX3A	290.5448
MEX3B	75.5784	MEX3B	123.4457
removed	removed	MEX3C	1358.6188
MEX3D	761.4372	MEX3D	183.9163
removed	removed	MFAP1	837.2842
MFAP2	1006.0254	MFAP2	532.0691
MFAP3L	173.1756	MFAP3L	598.9802
MFAP3	1134.2706	MFAP3	1510.3319
MFAP4	145.5032	MFAP4	15853.2964
MFAP5	1586.8482	MFAP5	6558.7262
MFF	1167.299	MFF	1389.3908
MFGE8	1705.8692	MFGE8	11220.6816
MFHAS1	146.3959	MFHAS1	176.0444
MFI2	97.8948	MFI2	264.4244
MFN1	1181.2839	MFN1	833.7061
MFN2	2432.7903	MFN2	2604.1685
MFNG	49.9888	MFNG	397.3915
MFRP	289.8163	MFRP	196.4398
MFSD10	1222.6438	MFSD10	611.5037
MFSD11	611.3308	MFSD11	604.0648
MFSD1	1275.3106	MFSD1	2413.8116
MFSD2A	1674.6262	MFSD2A	66.5534
MFSD2B	13.985	MFSD2B	9.661
removed	removed	MFSD3	126.3083
MFSD4	14.5801	MFSD4	208.2476
MFSD5	954.2513	MFSD5	717.7744
removed	removed	MFSD6L	14.3126
MFSD6	1696.6451	MFSD6	1782.6281
MFSD7	35.4683	MFSD7	91.0815
MFSD8	424.6076	MFSD8	389.3014
MFSD9	302.3135	MFSD9	123.4457
MGAM	214.833	MGAM	44.3689
MGAT1	1764.1895	MGAT1	2567.3137
MGAT2	596.593	MGAT2	673.7633
removed	removed	MGAT3	148.4927
MGAT4A	6519.3781	MGAT4A	1248.0544
removed	removed	MGAT4B	1034.0818
removed	removed	MGAT4C	13.2391
removed	removed	MGAT5B	18.6063
removed	removed	MGAT5	391.8061
removed	removed	MGA	1478.8443
removed	removed	MGC12916	11.0922
MGC12982	23.8042	MGC12982	28.2673
MGC14436	11.9021	removed	removed
removed	removed	MGC16121	6.4406
MGC16142	6.2486	MGC16142	8.5875
MGC16275	13.985	MGC16275	54.3877
MGC16384	10.7119	MGC16384	11.8079
MGC21881	187.7557	MGC21881	182.485
MGC23270	13.0923	MGC23270	36.8548
MGC23284	34.5161	MGC23284	37.9283
MGC2752	474.2989	MGC2752	529.5644
MGC2889	7.4388	removed	removed
MGC29506	33.3259	MGC29506	103.0504
MGC3771	20.0759	MGC3771	10.4446
removed	removed	MGC42105	8.9453
MGC45800	21.7213	MGC45800	26.1204
MGC57346	71.4126	MGC57346	240.0286
MGC70857	422.8223	MGC70857	161.0162
MGC72080	199.0478	MGC72080	29.8703
removed	removed	MGC87042	17.8907
MGEA5	3401.3241	MGEA5	5608.3728
MGLL	5486.2754	MGLL	3303.6944
MGMT	202.6333	MGMT	265.8556
MGP	727.2186	MGP	168253.69
MGRN1	1141.4119	MGRN1	866.2671
MGST1	6368.2214	MGST1	4090.8847
MGST2	818.2697	MGST2	804.0075
MGST3	2162.9101	MGST3	1638.0714
removed	removed	MIA3	2443.868
MIAT	82.7137	MIAT	67.6268
removed	removed	MIA	440.2684
removed	removed	MIB1	2366.938
removed	removed	MIB2	90.8847
MICAL1	163.5558	MICAL1	286.6088
MICAL2	3783.0841	MICAL2	1065.9272
MICAL3	2451.5361	MICAL3	1265.9451
MICALCL	73.1979	MICALCL	30.0564
MICALL1	818.5673	MICALL1	695.2321
removed	removed	MICALL2	93.7472
removed	removed	MICA	313.087
removed	removed	MICB	47.5892
MID1IP1	394.8523	MID1IP1	295.912
MID1	28.8626	MID1	1422.6675
MID2	1283.3445	MID2	1156.4541
MIDN	3870.2671	MIDN	782.5387
MIER1	910.511	MIER1	1441.6316
MIER2	311.5376	MIER2	231.8633
MIER3	845.9421	MIER3	652.2945
removed	removed	MIF4GD	396.3682
MIF	7944.1732	MIF	1031.9885
removed	removed	MIIP	163.1631
MINA	826.2203	MINA	1041.9966
removed	removed	MINK1	1281.9107
MINPP1	482.9279	MINPP1	424.0093
MIOS	788.2169	MIOS	714.9119
MIPEP	590.9395	MIPEP	436.175
MIPOL1	110.9871	MIPOL1	114.5004
removed	removed	MIR155HG	7.1563
removed	removed	MIR17HG	52.2408
removed	removed	MIS12	465.1579
MITD1	273.1533	MITD1	240.4508
removed	removed	MITF	1269.5232
MKI67IP	931.9348	MKI67IP	889.8721
removed	removed	MKI67	202.5226
removed	removed	MKKS	962.1612
MKL1	1069.4042	MKL1	1364.7017
MKL2	1417.2432	MKL2	3246.0864
MKLN1	1546.381	MKLN1	2832.4537
MKNK1	534.7021	MKNK1	560.6942
MKNK2	1971.8813	MKNK2	2499.3291
MKRN1	3937.8115	MKRN1	3071.8311
MKRN2	903.9649	MKRN2	843.367
