gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
ADAMTS1	318.3813	ADAMTS1	1621.612
ADAMTS2	1252.1015	ADAMTS2	536.7206
removed	removed	ADAMTS3	435.4593
ADAMTS4	662.0546	ADAMTS4	23.9735
ADAMTS5	406.1593	ADAMTS5	3399.9463
ADAMTS6	78.8514	ADAMTS6	35.4236
ADAMTS7	140.7424	ADAMTS7	46.8736
removed	removed	ADAMTS8	27.5517
removed	removed	ADAMTS9	454.0657
ADAMTSL1	175.2585	ADAMTSL1	742.4635
ADAMTSL2	103.8459	ADAMTSL2	28.6251
removed	removed	ADAMTSL3	366.7591
ADAMTSL4	258.2757	ADAMTSL4	1458.4489
ADAMTSL5	52.0717	ADAMTSL5	72.2784
ADAP1	110.1064	ADAP1	44.5514
ADAP2	184.1851	ADAP2	256.5525
ADARB1	329.0932	ADARB1	700.2415
removed	removed	ADARB2	6.0828
removed	removed	ADAR	8047.2314
removed	removed	ADAT1	272.2963
ADAT2	15.7703	ADAT2	229.0008
ADAT3	44.6329	ADAT3	11.45
ADA	51.1791	ADA	163.5209
ADCK1	96.7046	ADCK1	114.8582
removed	removed	ADCK2	544.9504
ADCK4	303.8012	ADCK4	336.7027
ADCK5	136.8742	ADCK5	20.7532
removed	removed	ADCY1	173.5397
ADCY2	17.5556	ADCY2	200.3757
ADCY3	482.2257	ADCY3	1708.5607
removed	removed	ADCY4	336.3449
ADCY5	461.2066	ADCY5	234.0102
ADCY6	1877.5571	ADCY6	1452.7239
ADCY7	489.7716	ADCY7	595.7599
removed	removed	ADCY8	59.3971
removed	removed	ADCY9	879.1484
removed	removed	ADCYAP1R1	57.608
ADC	74.9833	ADC	115.216
ADD1	4266.6072	ADD1	7414.6167
ADD2	6.8437	ADD2	65.8377
ADD3	514.766	ADD3	5879.2379
removed	removed	ADH1A	320.4795
ADH1B	12.1997	ADH1B	37959.7424
removed	removed	ADH1C	436.5328
removed	removed	ADH4	135.6114
ADH5	1835.0071	ADH5	4501.2971
removed	removed	ADH6	5.0094
ADHFE1	27.0773	ADHFE1	217.5508
ADI1	2217.3622	ADI1	1469.5411
ADIPOQ	15.4727	ADIPOQ	12135.9692
ADIPOR1	5563.3415	ADIPOR1	2385.1865
ADIPOR2	1411.5897	ADIPOR2	2228.4641
ADK	275.5337	ADK	353.8778
ADM2	443.9485	ADM2	36.497
ADM	340.9953	ADM	527.0597
removed	removed	ADNP2	800.4294
removed	removed	ADNP	3680.1145
ADORA1	911.7013	ADORA1	259.7728
ADORA2A	154.7274	ADORA2A	39.7173
removed	removed	ADORA2B	98.041
ADORA3	172.283	ADORA3	237.2305
ADO	545.414	ADO	858.753
ADPGK	613.2113	ADPGK	847.3924
ADPRHL1	158.0004	ADPRHL1	49.0205
ADPRHL2	637.9528	ADPRHL2	352.8044
ADPRH	156.5127	ADPRH	549.2441
removed	removed	ADRA1A	10.3766
ADRA1B	13.0923	ADRA1B	83.0128
removed	removed	ADRA1D	5.0094
ADRA2A	157.7029	ADRA2A	470.8829
removed	removed	ADRA2B	32.2032
ADRA2C	69.0322	ADRA2C	36.1392
removed	removed	ADRB1	45.0845
ADRB2	5.0584	ADRB2	226.8539
removed	removed	ADRBK1	830.1279
ADRBK2	822.733	ADRBK2	1658.109
removed	removed	ADRM1	493.0674
ADSL	1312.2071	ADSL	1020.127
removed	removed	ADSSL1	72.6362
ADSS	3785.7621	ADSS	1472.0458
removed	removed	AEBP1	13853.4753
AEBP2	457.3384	AEBP2	761.4277
AEN	683.7759	AEN	296.9854
AES	5188.7228	AES	5743.6264
removed	removed	AFAP1L1	424.3671
removed	removed	AFAP1L2	1420.1628
AFAP1	1294.0445	AFAP1	1525.7036
AFF1	2881.2021	AFF1	3297.6116
removed	removed	AFF2	58.3236
AFF3	356.1705	AFF3	1087.396
AFF4	4140.1473	AFF4	4235.7993
AFG3L1	221.9743	AFG3L1	189.2835
AFG3L2	1264.8159	AFG3L2	1247.0346
AFMID	304.0988	AFMID	514.1784
AFP	8.0339	AFP	20.0376
AFTPH	2509.5589	AFTPH	1647.0167
AG2	68.1396	AG2	101.2613
AGAP11	13.3899	AGAP11	312.7435
removed	removed	AGAP1	481.2595
removed	removed	AGAP2	36.8548
AGAP3	1226.8095	AGAP3	638.6976
AGAP4	38.3843	AGAP4	155.2912
AGAP5	11.1969	AGAP5	38.1143
AGAP6	29.1602	AGAP6	119.152
removed	removed	AGAP8	20.7532
AGA	678.7175	AGA	594.6865
AGBL2	10.7119	AGBL2	12.8813
removed	removed	AGBL3	9.3032
removed	removed	AGBL4	11.45
AGBL5	356.1735	AGBL5	786.1276
removed	removed	AGER	21.8266
AGFG1	3207.0222	AGFG1	1990.5179
AGFG2	281.4848	AGFG2	445.8359
AGGF1	1065.8335	AGGF1	999.016
AGK	561.7794	AGK	574.6489
AGL	1529.4205	AGL	1146.0775
AGMAT	30.9455	AGMAT	7.5141
AGPAT1	1246.0463	AGPAT1	2315.3234
AGPAT2	789.1096	AGPAT2	728.151
AGPAT3	1499.9628	AGPAT3	1504.6069
AGPAT4	108.6067	AGPAT4	616.8709
AGPAT5	245.4809	AGPAT5	810.4482
AGPAT6	550.4724	AGPAT6	1754.003
AGPAT9	119.3186	AGPAT9	736.3807
AGPHD1	74.9833	AGPHD1	94.8206
AGPS	713.5312	AGPS	1720.0107
AGR2	7601.2795	AGR2	502.7283
AGR3	928.0667	AGR3	73.3518
AGRN	4997.694	AGRN	2026.2993
removed	removed	AGTPBP1	448.3406
removed	removed	AGTR1	1002.952
AGTRAP	839.396	AGTRAP	511.3159
AGT	5.0584	AGT	28.2673
AGXT2L2	323.2731	AGXT2L2	368.4802
removed	removed	AHCTF1	1791.9313
AHCYL1	4425.7978	AHCYL1	4201.0913
AHCYL2	799.2264	AHCYL2	727.4354
AHCY	4689.1319	AHCY	2635.2983
AHDC1	878.3754	AHDC1	854.1014
removed	removed	AHI1	447.2672
removed	removed	AHNAK2	4447.9828
AHNAK	47874.1352	AHNAK	102755.1659
AHRR	31.243	AHRR	12.1657
AHR	1762.1067	AHR	3034.2607
AHSA1	2329.8371	AHSA1	1307.4515
AHSA2	153.5372	AHSA2	316.6652
AIDA	934.3212	AIDA	2085.3493
AIF1L	2645.838	AIF1L	2630.2889
AIF1	120.8064	AIF1	462.6532
AIFM1	1219.3707	AIFM1	523.8393
removed	removed	AIFM2	412.5593
AIFM3	5.3559	AIFM3	6.4406
AIG1	332.9614	AIG1	972.5378
AIM1L	6.5462	removed	removed
AIM1	1959.3841	AIM1	4121.2989
AIM2	5.0584	AIM2	6.7985
AIMP1	934.1605	AIMP1	1220.2952
AIMP2	348.5502	AIMP2	275.9603
AIP	925.6862	AIP	570.3551
removed	removed	AJAP1	18.6063
AK1	656.1035	AK1	290.9026
AK2	1841.2557	AK2	2345.1114
AK3L1	777.505	AK3L1	739.2432
AK3	2242.0591	AK3	2486.4478
AK5	23.8042	AK5	2980.9464
removed	removed	AK7	23.9735
AKAP10	518.0391	AKAP10	581.4474
removed	removed	AKAP11	2343.3223
AKAP12	360.6338	AKAP12	3852.2229
AKAP13	2441.7169	AKAP13	5501.7443
AKAP1	2307.5206	AKAP1	2614.9029
AKAP2	338.9154	AKAP2	1799.1484
