gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
HS3ST1	38.9005	HS3ST1	27.437
HS3ST2	66.8703	HS3ST2	78.0601
HS3ST3A1	21.5399	removed	removed
HS3ST3B1	8.6803	HS3ST3B1	6.183
HS6ST1	814.9815	HS6ST1	303.3523
HS6ST2	21.8614	HS6ST2	7.7287
HS6ST3	123.1313	HS6ST3	27.0505
HSBP1L1	151.4226	HSBP1L1	78.4465
HSBP1	2155.2805	HSBP1	1303.8354
HSCB	144.3498	HSCB	142.2085
HSD11B1L	251.085	HSD11B1L	47.5316
HSD11B1	6.4298	HSD11B1	2911.796
HSD11B2	138.2414	HSD11B2	15.071
HSD17B10	850.9886	HSD17B10	604.7725
HSD17B11	712.1042	HSD17B11	2173.3166
HSD17B12	1675.6149	HSD17B12	2672.592
removed	removed	HSD17B13	753.1639
HSD17B14	62.6909	HSD17B14	35.5521
HSD17B1	103.112	HSD17B1	139.8048
removed	removed	HSD17B2	98.1548
HSD17B4	2617.5856	HSD17B4	4262.3901
HSD17B6	329.8505	HSD17B6	8.1152
HSD17B7P2	164.2823	HSD17B7P2	18.5489
HSD17B7	1114.2903	HSD17B7	79.9923
HSD17B8	282.5912	HSD17B8	177.3742
HSD3B7	598.6176	HSD3B7	343.5417
HSDL1	730.1077	HSDL1	738.0929
HSDL2	1223.919	HSDL2	8108.5885
HSF1	1004.1987	HSF1	909.9797
HSF2BP	55.6181	HSF2BP	7.7287
HSF2	305.0956	HSF2	356.2941
HSF4	49.9887	HSF4	34.6865
HSFX2	27.9698	HSFX2	23.1862
HSH2D	162.0318	HSH2D	15.071
HSN2	29.8987	HSN2	45.9859
HSP90AA1	30393.8274	HSP90AA1	23379.7701
HSP90AB1	28735.8946	HSP90AB1	18174.4759
HSP90AB2P	41.4724	HSP90AB2P	34.0064
HSP90B1	14534.9622	HSP90B1	13260.941
HSP90B3P	7.0728	HSP90B3P	5.4101
HSPA12A	230.8311	HSPA12A	2381.2192
HSPA12B	140.8134	HSPA12B	437.4457
HSPA13	1468.8957	HSPA13	911.6027
HSPA14	608.5838	HSPA14	379.0938
HSPA1A	17939.4342	HSPA1A	13422.9427
HSPA1B	3863.0445	HSPA1B	4081.9245
HSPA1L	73.3001	HSPA1L	62.2162
HSPA2	427.584	HSPA2	163.4625
HSPA4L	64.9413	HSPA4L	45.213
HSPA4	3387.5583	HSPA4	2199.5942
HSPA5	13459.2509	HSPA5	7040.4792
HSPA6	83.2664	HSPA6	79.6058
HSPA7	70.0852	HSPA7	23.959
HSPA8	24906.2852	HSPA8	17820.114
HSPA9	7066.7095	HSPA9	4472.6113
HSPB11	501.5271	HSPB11	261.2308
HSPB1	4661.3085	HSPB1	3206.6467
HSPB2	50.4453	HSPB2	876.1202
HSPB6	173.6055	HSPB6	31002.6084
HSPB7	66.5488	HSPB7	9449.1353
HSPB8	401.8647	HSPB8	2629.6976
HSPBAP1	183.8933	HSPBAP1	172.3505
HSPBP1	659.701	HSPBP1	148.7779
HSPC157	173.284	HSPC157	256.98
HSPC159	438.1932	HSPC159	615.5927
HSPD1	6684.1344	HSPD1	4922.0404
HSPE1	1426.4588	HSPE1	616.7481
HSPG2	7080.598	HSPG2	19614.9358
HSPH1	4572.5768	HSPH1	1405.0816
HTATIP2	487.7029	HTATIP2	887.6437
HTATSF1	2168.4617	HTATSF1	2252.536
HTR1B	6.1083	removed	removed
HTR1D	14.7886	removed	removed
HTR1F	10.2877	HTR1F	22.4133
HTR2A	5.1439	removed	removed
HTR2B	80.6944	HTR2B	70.7178
HTR7P1	460.3761	HTR7P1	219.8821
HTR7	13.8241	HTR7	8.888
HTRA1	11943.4175	HTRA1	16179.6928
HTRA2	474.3835	HTRA2	551.7457
HTRA3	3994.5346	HTRA3	688.2427
HTRA4	11.2522	HTRA4	5.4101
HTT	2406.687	HTT	2984.8324
HUNK	94.1971	HUNK	36.325
HUS1	321.8132	HUS1	353.589
HUWE1	7710.9789	HUWE1	8257.7529
HVCN1	110.9146	HVCN1	162.3727
HYAL1	23.4689	HYAL1	346.2467
HYAL2	742.9674	HYAL2	1123.7562
HYAL3	85.0731	HYAL3	40.3942
HYDIN	88.4102	HYDIN	6.9558
HYI	185.6518	HYI	319.7063
HYLS1	224.7227	HYLS1	119.7952
removed	removed	HYMAI	7.408
HYOU1	2055.9396	HYOU1	1073.9059
IAH1	523.71	IAH1	1064.245
IARS2	3795.2098	IARS2	4600.9081
IARS	3817.0712	IARS	2230.8956
IBSP	75.872	removed	removed
IBTK	2373.2519	IBTK	2042.3148
ICA1L	185.1792	ICA1L	251.1835
ICA1	953.8659	ICA1	466.0419
ICAM1	667.7383	ICAM1	674.7174
ICAM2	153.1233	ICAM2	1387.2708
ICAM3	188.3941	ICAM3	191.2859
ICK	1113.3258	ICK	1235.8226
ICMT	2976.6919	ICMT	3752.6809
ICOSLG	119.2734	ICOSLG	84.2431
ICOS	14.4671	removed	removed
ICT1	621.765	ICT1	248.4784
ID1	130.5256	ID1	1002.0288
ID2	1222.633	ID2	981.1612
ID3	722.0704	ID3	1190.996
ID4	537.8557	ID4	921.6501
IDE	991.802	IDE	875.6642
IDH1	1911.5898	IDH1	5317.7471
IDH2	1714.5154	IDH2	670.8531
IDH3A	1031.024	IDH3A	2127.7171
IDH3B	1190.8053	IDH3B	997.3916
IDH3G	548.1434	IDH3G	574.244
IDI1	1077.1419	IDI1	1119.8957
IDI2	49.8312	IDI2	54.1011
IDO1	24.7549	IDO1	222.9736
IDS	3941.032	IDS	4779.5614
IDUA	170.3199	IDUA	51.7824
IER2	1683.6521	IER2	1773.3552
IER3IP1	1153.5123	IER3IP1	1047.2418
IER3	2033.1136	IER3	262.3901
IER5L	287.4136	IER5L	36.7114
IER5	341.7457	IER5	313.0132
IFFO1	189.3586	IFFO1	195.9231
IFFO2	268.1241	IFFO2	296.3965
IFI16	2542.678	IFI16	2288.0881
IFI27L1	42.1154	IFI27L1	72.2635
IFI27L2	117.023	IFI27L2	63.3755
IFI27	1880.7266	IFI27	1238.9141
IFI30	3069.5869	IFI30	453.7996
IFI35	899.5338	IFI35	334.2672
IFI44L	1663.3982	IFI44L	666.2158
IFI44	931.04	IFI44	324.9928
IFI6	4182.9288	IFI6	546.0342
IFIH1	981.8357	IFIH1	520.5294
IFIT1	2574.1842	IFIT1	1016.7134
IFIT2	925.2532	IFIT2	778.2823
IFIT3	1465.6808	IFIT3	1002.4152
IFIT5	1073.4609	IFIT5	926.2873
IFITM1	4054.6536	IFITM1	2611.1487
IFITM2	2853.882	IFITM2	3274.273
IFITM3	6998.8748	IFITM3	6086.7549
IFNAR1	2075.5506	IFNAR1	4049.8503
IFNAR2	318.6947	IFNAR2	629.1566
IFNGR1	1409.7412	IFNGR1	4755.869
IFNGR2	1881.0481	IFNGR2	2415.6043
IFRD1	485.131	IFRD1	692.8799
IFRD2	515.3898	IFRD2	697.1578
IFT122	920.4308	IFT122	707.9509
IFT140	958.6883	IFT140	289.4406
IFT172	551.3583	IFT172	393.0055
IFT20	536.8301	IFT20	370.0976
IFT27	318.9198	IFT27	307.6031
IFT46	1133.9013	IFT46	658.8735
IFT52	789.5837	IFT52	1134.1899
IFT57	679.312	IFT57	639.9382
IFT74	683.4914	IFT74	287.122
IFT80	859.5145	IFT80	494.7889
IFT81	739.7525	IFT81	196.3095
IFT88	440.4437	IFT88	247.7055
IGBP1	1736.0553	IGBP1	1848.3238
IGDCC3	229.2236	removed	removed
IGDCC4	116.38	IGDCC4	49.8503
IGF1R	6691.5287	IGF1R	1129.9391
IGF1	1551.8405	IGF1	4311.0811
IGF2AS	7.7158	IGF2AS	5.7965
IGF2BP2	31.5062	IGF2BP2	136.0255
IGF2BP3	5.1439	IGF2BP3	17.0032
IGF2R	1830.2524	IGF2R	6101.8259
IGF2	3241.2828	IGF2	9346.5598
IGFALS	22.1829	removed	removed
removed	removed	IGFBP1	5.7965
IGFBP2	883.7807	IGFBP2	210.9941
IGFBP3	4653.5927	IGFBP3	5056.5163
IGFBP4	24238.5469	IGFBP4	9456.0912
IGFBP5	5947.5968	IGFBP5	19658.7769
IGFBP6	153.3516	IGFBP6	886.4844
IGFBP7	6941.6493	IGFBP7	5259.3952
IGFL1	21.2185	removed	removed
IGFL2	9.6448	removed	removed
IGHMBP2	267.1596	IGHMBP2	220.2686
IGJ	5988.1048	IGJ	828.9054
removed	removed	IGLON5	15.071
IGSF10	162.6748	IGSF10	1709.5933
IGSF11	13.1812	removed	removed
IGSF1	146.2787	IGSF1	156.8931
IGSF21	109.9502	IGSF21	7.7287
IGSF22	24.7002	IGSF22	5.8545
IGSF3	2020.897	IGSF3	209.4484
IGSF6	169.4261	IGSF6	119.7952
IGSF8	1010.4485	IGSF8	403.8257
IGSF9B	11.2522	removed	removed
IGSF9	302.5237	IGSF9	11.2066
IKBIP	578.3636	IKBIP	415.0324
IKBKAP	1416.4925	IKBKAP	1011.3033
IKBKB	1760.1672	IKBKB	772.0993
IKBKE	212.8275	IKBKE	56.0332
IKBKG	228.9021	IKBKG	205.1976
IKZF1	306.3816	IKZF1	230.3159
IKZF2	364.8931	IKZF2	207.1297
IKZF3	16.7176	IKZF3	6.5694
IKZF4	424.6906	IKZF4	425.4661
IKZF5	989.873	IKZF5	949.4735
IK	2171.0336	IK	1792.677
IL10RA	380.0032	IL10RA	769.0078
IL10RB	896.589	IL10RB	969.0426
IL10	12.2167	IL10	30.142
IL11RA	121.5239	IL11RA	253.5021
IL11	17.682	removed	removed
IL12RB1	20.897	IL12RB1	9.2745
removed	removed	IL12RB2	78.0601
IL13RA1	3850.8278	IL13RA1	5233.8904
IL13RA2	13.5027	removed	removed
IL15RA	145.6357	IL15RA	372.9108
IL15	59.1545	IL15	61.0569
IL16	516.6372	IL16	905.8062
IL17B	5.7869	removed	removed
IL17D	31.5351	IL17D	40.6338
IL17RA	239.8328	IL17RA	410.3951
IL17RB	153.3516	IL17RB	49.8503
IL17RC	624.6584	IL17RC	219.1093
IL17RD	430.4774	IL17RD	476.0893
IL17RE	377.1098	IL17RE	612.5012
IL18BP	150.516	IL18BP	170.3063
IL18R1	71.3712	IL18R1	87.3346
IL18RAP	5.7869	IL18RAP	12.7524
IL18	170.0691	IL18	98.9276
IL1B	120.5594	IL1B	44.0537
IL1R1	2681.5624	IL1R1	5593.6624
removed	removed	IL1R2	9.6609
IL1RAPL1	5.7869	removed	removed
IL1RAP	227.9376	IL1RAP	176.9877
IL1RL1	31.8277	IL1RL1	13.9117
IL1RL2	19.2895	removed	removed
IL1RN	103.1988	IL1RN	51.396
IL20RA	180.9998	IL20RA	126.751
IL20RB	5.1439	IL20RB	41.3487
IL20	396.0778	removed	removed
IL21R	77.0616	removed	removed
IL22RA1	6.4298	removed	removed
IL23A	7.3943	removed	removed
IL24	32.5125	removed	removed
IL27RA	168.7832	IL27RA	156.5066
IL28RA	60.119	IL28RA	9.2745
IL2RA	17.682	IL2RA	77.2872
IL2RB	168.4617	IL2RB	90.426
IL2RG	279.6978	IL2RG	106.2699
IL32	708.2463	IL32	585.0642
IL33	74.5861	IL33	1712.2983
IL34	49.5097	IL34	50.2367
IL3RA	69.7637	IL3RA	224.9058
IL4I1	46.642	IL4I1	7.9219
IL4R	813.0526	IL4R	309.9217
IL6R	54.0106	IL6R	382.1853
IL6ST	3212.9883	IL6ST	8183.5571
removed	removed	IL6	144.1407
IL7R	86.1598	IL7R	45.213
IL7	35.3641	IL7	11.9795
IL8	11.5737	IL8	157.2795
IL9R	5.4654	removed	removed
ILDR1	294.8079	ILDR1	10.0473
ILF2	3288.8603	ILF2	2349.145
ILF3	3253.4962	ILF3	2419.0899
ILKAP	319.8843	ILKAP	235.3396
ILK	2479.0227	ILK	3425.756
ILVBL	539.4631	ILVBL	649.9855
IMMP1L	90.9532	IMMP1L	62.9929
IMMP2L	176.499	IMMP2L	321.9013
IMMT	1692.0109	IMMT	2049.657
IMP3	881.5303	IMP3	765.1435
IMP4	405.0796	IMP4	371.3651
IMPA1	351.3905	IMPA1	366.7279
IMPA2	62.0479	IMPA2	532.1225
IMPACT	1294.3257	IMPACT	1806.2023
IMPAD1	3686.5456	IMPAD1	11960.5835
IMPDH1	756.47	IMPDH1	1405.8545
IMPDH2	2578.0421	IMPDH2	1997.8746
IMPG1	9.3233	removed	removed
INADL	3726.0891	INADL	828.9054
INCA1	16.3961	INCA1	16.6168
INCENP	234.3675	INCENP	147.2322
INE1	22.5044	INE1	11.9795
INF2	889.2461	INF2	3011.11
ING1	413.2519	ING1	301.0028
ING2	434.9783	ING2	238.8175
ING3	251.085	ING3	344.701
ING4	796.0135	ING4	454.4488
ING5	209.9341	ING5	230.7023
INHA	7.0728	removed	removed
INHBA	752.9336	INHBA	6.183
INHBB	311.204	INHBB	1813.931
INMT	79.7299	INMT	867.3519
INO80B	66.3173	INO80B	52.8645
INO80C	147.2432	INO80C	204.0383
INO80D	708.4167	INO80D	916.6419
INO80E	520.4469	INO80E	344.9947
INO80	809.1947	INO80	871.7998
INPP1	190.3231	INPP1	340.4502
INPP4A	589.9373	INPP4A	658.8735
INPP4B	1061.2442	INPP4B	172.7369
INPP5A	556.8237	INPP5A	960.2937
INPP5B	389.3265	INPP5B	538.3055
INPP5D	403.7936	INPP5D	532.1225
INPP5E	172.9625	INPP5E	190.513
INPP5F	783.7968	INPP5F	467.9741
INPP5J	290.95	INPP5J	30.9149
INPP5K	600.225	INPP5K	2339.0977
INPPL1	1598.4568	INPPL1	1032.1708
removed	removed	INS-IGF2	18.719
INSIG1	950.651	INSIG1	2035.3589
INSIG2	634.6247	INSIG2	626.0265
INSM1	21.8614	removed	removed
INSRR	5.1439	removed	removed
INSR	2511.8148	INSR	3059.801
INTS10	1149.6544	INTS10	1495.1212
INTS12	644.5909	INTS12	411.9409
INTS1	1048.063	INTS1	941.7448
INTS2	851.9531	INTS2	514.7329
INTS3	1886.1919	INTS3	1604.8691
INTS4L1	8.0373	INTS4L1	21.6404
INTS4L2	17.3606	INTS4L2	10.0473
INTS4	775.9267	INTS4	598.064
INTS5	635.2676	INTS5	362.4771
INTS6	1098.2157	INTS6	855.1831
INTS7	698.923	INTS7	384.8903
INTS8	922.9545	INTS8	681.1709
INTS9	640.733	INTS9	390.6869
INTU	303.4882	INTU	160.7574
INVS	265.2307	INVS	391.8462
IP6K1	1145.1535	IP6K1	1156.6032
IP6K2	1671.757	IP6K2	858.2746
IPCEF1	48.2238	IPCEF1	19.3218
IPMK	69.1207	IPMK	72.2635
IPO11	776.081	IPO11	1170.1671
IPO13	781.2249	IPO13	686.3105
IPO4	1177.3734	IPO4	285.6458
IPO5	3073.1394	IPO5	8015.071
IPO7	4441.4081	IPO7	5116.0274
IPO8	2059.7975	IPO8	2188.0012
IPO9	2027.0053	IPO9	1888.8996
IPPK	879.9904	IPPK	210.4956
IPP	313.4544	IPP	478.0214
IPW	261.5689	IPW	303.3021
IQCA1	294.4864	IQCA1	9.2745
IQCB1	385.4686	IQCB1	318.8098
IQCC	123.1313	IQCC	35.9386
IQCD	35.0426	IQCD	6.5694
IQCE	483.2021	IQCE	367.8872
IQCG	421.1542	IQCG	331.5622
IQCH	118.6304	IQCH	22.0269
IQCK	567.7544	IQCK	315.7183
IQGAP1	10492.5253	IQGAP1	10355.328
IQGAP2	2753.8981	IQGAP2	857.8881
IQGAP3	178.4279	IQGAP3	15.071
IQSEC1	1464.3948	IQSEC1	3641.0009
IQSEC2	429.8344	IQSEC2	455.6082
IQSEC3	10.2877	IQSEC3	148.005
IQUB	49.1882	IQUB	5.4101
IRAK1BP1	48.4681	IRAK1BP1	28.8359
IRAK1	1119.4342	IRAK1	930.9245
IRAK2	40.1865	IRAK2	165.0082
IRAK3	213.149	IRAK3	1409.3324
IRAK4	678.669	IRAK4	488.8417
IREB2	1725.7676	IREB2	2001.3525
IRF1	921.3599	IRF1	509.2609
IRF2BP1	497.0262	IRF2BP1	177.7606
IRF2BP2	4338.2093	IRF2BP2	3473.2876
IRF2	1128.1145	IRF2	871.4134
IRF3	470.4742	IRF3	213.4248
IRF4	77.158	IRF4	73.8093
IRF5	179.3924	IRF5	98.1548
IRF6	1024.5941	IRF6	78.4465
IRF7	414.0813	IRF7	48.3045
IRF8	179.7139	IRF8	314.559
IRF9	1695.1583	IRF9	545.2613
IRGQ	856.4539	IRGQ	610.9555
IRS1	2054.3321	IRS1	1223.8431
IRS2	624.0154	IRS2	4510.0956
IRX1	56.5825	IRX1	34.0064
IRX2	1233.2422	IRX2	178.5335
IRX3	857.7399	IRX3	66.467
IRX4	20.897	removed	removed
IRX5	826.2337	IRX5	94.6768
removed	removed	IRX6	469.1334
ISCA1P1	75.872	ISCA1P1	145.6864
ISCA1	1069.8537	ISCA1	1838.2765
ISCA2	319.2413	ISCA2	267.4138
ISCU	1342.8709	ISCU	2878.9489
ISG15	758.399	ISG15	67.2399
ISG20L2	863.2053	ISG20L2	397.2563
ISG20	122.8098	ISG20	42.1215
ISL1	20.5755	removed	removed
ISLR2	19.2895	ISLR2	78.4465
ISLR	3314.5796	ISLR	2326.3453
ISM1	470.9854	ISM1	414.6459
ISOC1	469.3779	ISOC1	1649.6957
ISOC2	588.6513	ISOC2	267.4138
ISPD	50.7957	ISPD	67.6263
ISY1	622.7295	ISY1	480.3401
ISYNA1	809.5162	ISYNA1	142.2085
ITCH	1696.1903	ITCH	2471.6453
ITFG1	932.0045	ITFG1	1432.5186
ITFG2	462.6266	ITFG2	500.4347
ITFG3	2120	ITFG3	2503.534
ITGA10	128.9182	ITGA10	22.7997
ITGA11	3900.9805	ITGA11	215.6313
ITGA1	1511.9788	ITGA1	6246.1443
removed	removed	ITGA2B	6.5694
ITGA2	1855.6502	ITGA2	232.6345
ITGA3	2534.6407	ITGA3	384.5039
ITGA4	493.0236	ITGA4	144.0904
ITGA5	2237.5824	ITGA5	1481.596
ITGA6	2287.4136	ITGA6	5271.3747
ITGA7	76.8365	ITGA7	7172.6403
ITGA8	145.9572	ITGA8	105.1106
ITGA9	106.7353	ITGA9	349.7247
ITGAD	6.7513	removed	removed
ITGAE	184.8577	ITGAE	492.706
ITGAL	358.7848	ITGAL	100.4734
ITGAM	333.7084	ITGAM	326.1521
ITGAV	8175.5345	ITGAV	6500.2415
ITGAX	502.8131	ITGAX	49.4638
ITGB1BP1	831.0561	ITGB1BP1	7665.7328
ITGB1	18041.4724	ITGB1	73856.0526
ITGB2	1123.9351	ITGB2	585.868
ITGB3BP	289.664	ITGB3BP	111.68
ITGB3	201.2538	ITGB3	251.1835
ITGB4	1749.2365	ITGB4	532.5089
ITGB5	7078.2832	ITGB5	8055.2604
ITGB6	1706.4781	ITGB6	184.7165
ITGB7	57.547	ITGB7	39.4165
ITGB8	525.639	ITGB8	118.6359
ITGBL1	3476.29	ITGBL1	245.7734
ITIH3	7.0728	ITIH3	12.366
ITIH4	49.0982	ITIH4	23.5726
ITIH5L	286.7706	ITIH5L	7.7287
ITIH5	215.7209	ITIH5	22037.6775
ITK	68.7992	ITK	33.6199
ITM2A	265.2307	ITM2A	2707.7577
ITM2B	15456.3575	ITM2B	26433.0016
ITM2C	932.0045	ITM2C	535.6004
ITPA	448.481	ITPA	207.9026
ITPK1	1054.8143	ITPK1	4355.5212
ITPKB	621.4435	ITPKB	1584.0015
ITPKC	924.9317	ITPKC	485.7502
ITPR1	977.3348	ITPR1	1400.8308
ITPR2	3524.1923	ITPR2	2891.7013
ITPR3	1731.2072	ITPR3	273.7707
ITPRIPL1	13.8241	ITPRIPL1	56.4197
ITPRIPL2	3326.4748	ITPRIPL2	3809.8734
ITPRIP	541.3921	ITPRIP	585.8371
ITSN1	1194.9847	ITSN1	13002.4152
ITSN2	951.937	ITSN2	1961.1632
IVD	1817.0712	IVD	1270.9883
IVNS1ABP	2579.0066	IVNS1ABP	1863.3948
IWS1	1197.8782	IWS1	865.6168
JAG1	1696.5118	JAG1	1967.3462
JAG2	260.4083	JAG2	488.8417
JAGN1	748.4327	JAGN1	1026.3743
JAK1	4822.0543	JAK1	12610.569
JAK2	964.4752	JAK2	1724.2778
JAK3	97.7335	JAK3	56.8061
JAKMIP2	11.5737	removed	removed
JAKMIP3	47.2593	JAKMIP3	30.9149
JAM2	199.6464	JAM2	825.0411
JAM3	1103.3596	JAM3	796.8312
JARID2	698.923	JARID2	266.2545
JAZF1	682.2054	JAZF1	1369.5295
JDP2	388.6835	JDP2	503.9127
JHDM1D	674.1681	JHDM1D	1412.4239
JKAMP	1269.5708	JKAMP	1149.6474
JMJD1C	2312.0334	JMJD1C	2312.337
JMJD4	352.0977	JMJD4	203.9455
JMJD5	120.5594	JMJD5	44.0537
JMJD6	508.5999	JMJD6	328.0842
JMJD7-PLA2G4B	212.1845	JMJD7-PLA2G4B	171.1912
JMJD8	1392.7504	JMJD8	1017.7297
JMY	849.7026	JMY	1030.2386
JOSD1	1113.3258	JOSD1	1400.8308
JOSD2	202.2183	JOSD2	76.1279
JPH1	61.7264	JPH1	29.7556
JPH2	35.6856	JPH2	385.2768
JPH3	22.1829	removed	removed
JPH4	7.7158	JPH4	9.2745
JRKL	484.488	JRKL	506.6177
JRK	243.3692	JRK	448.2659
JTB	2489.6319	JTB	1800.0193
JUB	642.3405	JUB	210.2212
JUNB	2336.9233	JUNB	2080.5719
JUND	2043.7229	JUND	2347.9857
JUN	3226.4909	JUN	6998.7441
JUP	10255.9074	JUP	2525.3599
KAL1	649.0918	KAL1	657.7142
KALRN	125.0603	KALRN	1067.3365
KANK1	780.2604	KANK1	6307.7963
KANK2	2132.1331	KANK2	4562.651
KANK3	35.3641	KANK3	364.0228
KANK4	407.33	KANK4	1917.1095
KARS	1819.3217	KARS	3043.9571
KAT2A	1200.7716	KAT2A	266.2545
KAT2B	347.2111	KAT2B	2250.2174
KAT5	737.9585	KAT5	631.6105
KATNA1	235.6534	KATNA1	386.8225
KATNAL1	499.5981	KATNAL1	1609.1199
KATNAL2	42.4369	KATNAL2	172.7369
KATNB1	225.3657	KATNB1	172.7369
KAZALD1	35.6502	KAZALD1	60.199
KAZ	713.8627	KAZ	964.4131
KBTBD10	42.8548	KBTBD10	19.631
KBTBD11	117.666	KBTBD11	346.6332
KBTBD2	743.6104	KBTBD2	931.311
KBTBD3	169.1046	KBTBD3	207.1297
KBTBD4	522.1122	KBTBD4	381.2385
KBTBD6	501.5271	KBTBD6	439.7643
KBTBD7	238.5469	KBTBD7	238.4311
KBTBD8	53.3676	KBTBD8	25.1183
KCMF1	1001.4467	KCMF1	2145.8796
KCNA1	32.1492	KCNA1	22.4133
removed	removed	KCNA2	79.9923
KCNA3	23.1474	KCNA3	13.5253
removed	removed	KCNA4	37.4843
removed	removed	KCNA5	14.2981
KCNA6	46.9378	KCNA6	115.5444
KCNAB1	83.5878	KCNAB1	496.5704
KCNAB2	121.5239	KCNAB2	143.3678
KCNAB3	8.6803	removed	removed
removed	removed	KCNB1	699.4493
KCNB2	8.6803	removed	removed
removed	removed	KCNC2	34.7792
KCNC3	831.0561	KCNC3	34.0064
KCNC4	57.2255	KCNC4	210.2212
KCND1	43.7229	KCND1	102.4056
KCND2	375.1808	KCND2	331.1757
KCND3	63.6554	KCND3	131.3883
removed	removed	KCNE1L	27.8234
KCNE1	10.9307	KCNE1	31.6878
KCNE2	8.6803	KCNE2	20.4811
KCNE3	150.4581	KCNE3	642.6432
KCNE4	241.7618	KCNE4	166.1675
KCNF1	158.4954	removed	removed
KCNH1	220.8648	KCNH1	8.888
KCNH2	7.7158	removed	removed
removed	removed	KCNH4	9.2745
KCNH8	11.5737	removed	removed
KCNIP1	8.3588	removed	removed
KCNIP2	9.9662	KCNIP2	11363.5398
KCNIP3	32.1492	KCNIP3	18.5489
KCNIP4	39.865	KCNIP4	26.6641
KCNJ10	8.3588	removed	removed
KCNJ11	249.7991	KCNJ11	57.9654
KCNJ12	35.3641	KCNJ12	46.7588
KCNJ14	37.6145	KCNJ14	10.8202
KCNJ15	77.158	KCNJ15	32.4606
KCNJ16	9.0018	KCNJ16	8.888
removed	removed	KCNJ1	5.0237
KCNJ2	153.0301	KCNJ2	205.9704
KCNJ3	100.6269	removed	removed
KCNJ5	49.8312	KCNJ5	145.3
KCNJ8	151.4226	KCNJ8	1386.9191
KCNK13	27.3268	removed	removed
KCNK15	445.909	KCNK15	7.3423
KCNK17	8.0373	removed	removed
KCNK1	258.1579	KCNK1	11.9795
KCNK2	20.254	KCNK2	20.8675
removed	removed	KCNK3	60.284
KCNK5	38.9005	KCNK5	12.7524
KCNK6	554.5732	KCNK6	137.9577
KCNMA1	1738.6272	KCNMA1	341.6095
KCNMB1	112.2006	KCNMB1	53.7146
removed	removed	KCNMB2	18.5489
KCNMB3	105.4493	KCNMB3	50.6231
KCNMB4	99.6624	KCNMB4	88.1074
KCNN2	18.0035	removed	removed
KCNN3	21.2185	KCNN3	16.6168
KCNN4	84.5523	KCNN4	11.9795
KCNQ1OT1	332.7439	KCNQ1OT1	285.9627
KCNQ1	66.5488	KCNQ1	115.9308
KCNQ3	13.1812	KCNQ3	7.3423
removed	removed	KCNQ4	15.071
KCNQ5	101.5914	KCNQ5	5.7965
KCNRG	9.5354	KCNRG	14.2286
removed	removed	KCNS1	7.3423
KCNS2	13.1812	KCNS2	23.5726
KCNS3	474.5218	KCNS3	125.9782
KCNT2	19.9325	KCNT2	47.5316
removed	removed	KCP	6.9636
KCTD10	1464.7163	KCTD10	2522.6548
KCTD11	329.8505	KCTD11	368.2736
KCTD12	2506.028	KCTD12	10777.3162
KCTD13	322.7777	KCTD13	75.355
KCTD14	75.5506	KCTD14	73.4229
KCTD15	741.3599	KCTD15	236.4989
KCTD16	12.5382	KCTD16	57.9654
KCTD17	49.8312	KCTD17	26.6641
KCTD18	390.291	KCTD18	645.3483
KCTD1	542.035	KCTD1	248.8648
KCTD20	2054.0106	KCTD20	4839.7256
KCTD21	529.8184	KCTD21	538.6919
KCTD2	1257.0326	KCTD2	1435.9965
KCTD3	5434.1746	KCTD3	1891.2182
KCTD5	620.8005	KCTD5	259.6851
KCTD6	712.7471	KCTD6	249.2513
KCTD7	491.8148	KCTD7	487.6823
removed	removed	KCTD8	10.8202
KCTD9	949.0436	KCTD9	1193.3147
KDELC1	371.3229	KDELC1	113.6122
KDELC2	1522.9063	KDELC2	2046.1791
KDELR1	4298.0228	KDELR1	3641.7737
KDELR2	6188.0727	KDELR2	7239.4938
KDELR3	881.8518	KDELR3	1336.6824
KDM1A	2080.0514	KDM1A	1005.1203
KDM1B	601.8325	KDM1B	511.255
KDM2A	3065.1021	KDM2A	2491.7399
KDM2B	634.1585	KDM2B	347.437
KDM3A	1448.9632	KDM3A	1085.499
KDM3B	3157.0487	KDM3B	2974.785
KDM4A	1639.6078	KDM4A	934.7889
KDM4B	5258.6401	KDM4B	461.4047
KDM4C	669.6673	KDM4C	530.5768
KDM4D	24.7549	KDM4D	35.1657
KDM5A	2029.2557	KDM5A	2109.5546
KDM5B	3128.7574	KDM5B	1211.4772
KDM5C	2300.2733	KDM5C	1289.9237
KDM6A	1090.1784	KDM6A	852.0916
KDM6B	547.5004	KDM6B	550.285
KDR	855.4895	KDR	3168.3895
KDSR	1979.746	KDSR	2994.4933
KEAP1	762.5784	KEAP1	826.9732
KERA	144.0283	KERA	14.2981
KGFLP1	13.5027	removed	removed
KGFLP2	102.1379	KGFLP2	41.9438
KHDC1	19.2541	KHDC1	11.2066
KHDRBS1	4530.1398	KHDRBS1	3348.4687
KHDRBS3	123.7743	KHDRBS3	399.1885
KHK	47.9216	KHK	67.634
KHNYN	1562.5977	KHNYN	1798.945
KHSRP	1592.9915	KHSRP	1035.6487
KIAA0020	693.7791	KIAA0020	433.1949
KIAA0040	2687.3493	KIAA0040	4108.5885
