gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
ADIPOQ	17.682	ADIPOQ	113726.5965
ADIPOR1	2653.9142	ADIPOR1	2834.8952
ADIPOR2	4425.655	ADIPOR2	7198.918
ADK	552.3228	ADK	877.2099
ADM2	18.6465	ADM2	7.3423
ADM	24.7549	ADM	2881.2675
ADNP2	811.4451	ADNP2	658.1007
ADNP	3496.544	ADNP	2431.0695
ADORA1	252.6925	ADORA1	111.2936
ADORA2A	178.4247	ADORA2A	24.7319
ADORA2B	30.8632	ADORA2B	35.9386
ADORA3	440.4437	ADORA3	113.2258
ADO	932.0045	ADO	643.0297
ADPGK	1064.2598	ADPGK	632.6036
ADPRHL1	222.4723	ADPRHL1	101.6327
ADPRHL2	598.9391	ADPRHL2	261.2308
ADPRH	265.8737	ADPRH	815.3802
removed	removed	ADRA1A	490.001
ADRA1B	20.897	ADRA1B	54.1011
removed	removed	ADRA1D	5.0237
ADRA2A	643.9479	ADRA2A	4267.4138
ADRA2B	6.4298	ADRA2B	17.0032
ADRA2C	9.0018	ADRA2C	66.0806
ADRB1	9.3233	ADRB1	440.9236
ADRB2	23.4689	ADRB2	792.9669
removed	removed	ADRB3	261.6172
ADRBK1	1121.0416	ADRBK1	769.0078
ADRBK2	559.0741	ADRBK2	6146.2661
ADRM1	701.4949	ADRM1	618.2977
ADSL	587.6869	ADSL	724.5677
ADSSL1	94.5186	ADSSL1	360.1584
ADSS	1619.9968	ADSS	870.6405
AEBP1	25603.6007	AEBP1	4010.8202
AEBP2	943.8997	AEBP2	874.5049
AEN	269.0886	AEN	171.1912
AES	2921.0738	AES	6410.9748
AFAP1L1	239.1898	AFAP1L1	1733.1659
AFAP1L2	1292.3967	AFAP1L2	462.1776
AFAP1	1593.9463	AFAP1	1383.8238
AFF1	2110.5932	AFF1	5269.829
AFF2	27.3268	AFF2	830.0647
AFF3	4307.9891	AFF3	982.707
AFF4	4591.2233	AFF4	3701.2849
AFG3L1	163.3178	AFG3L1	98.1548
AFG3L2	1492.072	AFG3L2	1177.4978
AFMID	1009.8055	AFMID	268.1866
removed	removed	AFP	6.183
AFTPH	2037.293	AFTPH	1271.7612
AG2	94.5186	AG2	298.3287
AGAP11	72.9786	AGAP11	364.8034
AGAP1	343.0317	AGAP1	280.5526
AGAP2	46.5906	AGAP2	32.0162
AGAP3	743.6104	AGAP3	474.93
AGAP4	227.6161	AGAP4	80.3787
AGAP5	82.2022	AGAP5	31.1429
AGAP6	58.833	AGAP6	63.3755
AGAP7	7.7158	removed	removed
AGAP8	25.0764	AGAP8	18.1625
AGA	735.8946	AGA	532.5089
AGBL2	78.7655	AGBL2	5.0237
AGBL3	7.0728	AGBL3	5.0237
AGBL4	8.6803	AGBL4	9.2745
AGBL5	591.8759	AGBL5	715.3048
AGER	18.968	AGER	13.1388
AGFG1	1605.2082	AGFG1	4658.4871
AGFG2	246.9056	AGFG2	287.5085
AGGF1	1436.425	AGGF1	1023.2828
AGK	639.1255	AGK	441.31
AGL	4898.2479	AGL	2402.4732
AGMAT	33.1136	AGMAT	7.3423
AGPAT1	1635.348	AGPAT1	1921.0009
AGPAT2	384.8256	AGPAT2	4249.6377
AGPAT3	1896.4797	AGPAT3	2691.9138
AGPAT4	258.4793	AGPAT4	179.3063
AGPAT5	653.9142	AGPAT5	362.4771
AGPAT6	1413.9206	AGPAT6	1282.9678
AGPAT9	30.8632	AGPAT9	110.5207
AGPHD1	69.7637	AGPHD1	116.7037
AGPS	1581.0963	AGPS	2269.9256
AGR2	11881.3696	AGR2	251.9563
AGR3	1166.0505	AGR3	56.8061
AGRN	2423.4046	AGRN	409.6223
AGTPBP1	307.9891	AGTPBP1	939.4261
AGTR1	481.9161	AGTR1	1311.1777
AGTRAP	1060.2797	AGTRAP	345.8603
AGT	23.1474	AGT	135.6391
AGXT2L2	333.9431	AGXT2L2	673.7088
AHCTF1	1677.5438	AHCTF1	2215.0517
AHCYL1	5863.0445	AHCYL1	7748.8165
AHCYL2	927.1821	AHCYL2	1023.2828
AHCY	3407.8122	AHCY	1336.6824
AHDC1	459.7332	AHDC1	304.1252
AHI1	326.9571	AHI1	441.31
AHNAK2	1855.6502	AHNAK2	507.3906
AHNAK	39614.8529	AHNAK	246592.6036
AHRR	17.0391	AHRR	15.8439
AHR	1998.071	AHR	2672.592
AHSA1	1915.1262	AHSA1	1022.8963
AHSA2	424.3691	AHSA2	266.6409
AIDA	1306.5616	AIDA	3642.9949
AIF1L	194.824	AIF1L	2803.2074
AIF1	428.5485	AIF1	497.3433
AIFM1	1067.3525	AIFM1	773.6451
AIFM2	334.0299	AIFM2	3675.0072
AIFM3	31.3808	removed	removed
AIG1	350.1045	AIG1	2110.3275
AIM1L	33.4351	removed	removed
AIM1	1197.2352	AIM1	3107.3326
AIM2	24.1119	removed	removed
AIMP1	1584.6231	AIMP1	1136.895
AIMP2	457.3091	AIMP2	265.4855
AIP	467.1275	AIP	385.6632
AJAP1	9.3233	AJAP1	5.0237
AK1	334.0299	AK1	466.4284
AK2	2132.4546	AK2	2023.3794
AK3L1	269.4101	AK3L1	1153.5117
AK3	1807.4265	AK3	5449.5218
AK5	99.3409	AK5	154.188
AK7	31.1847	AK7	10.4338
AKAP10	470.6639	AKAP10	593.1794
AKAP11	1950.4903	AKAP11	4355.1348
AKAP12	1652.7889	AKAP12	13045.6961
AKAP13	4049.5097	AKAP13	3127.0409
AKAP1	1455.0715	AKAP1	3514.6363
AKAP2	512.9015	AKAP2	3601.0472
AKAP3	56.5825	AKAP3	52.5553
AKAP5	728.5002	AKAP5	32.8471
AKAP6	83.5878	AKAP6	68.3992
AKAP7	98.3765	AKAP7	572.6983
AKAP8L	672.2392	AKAP8L	357.4534
AKAP8	596.3671	AKAP8	364.0228
AKAP9	4052.7246	AKAP9	1590.1845
AKD1	117.3445	AKD1	139.8899
AKIRIN1	1206.5584	AKIRIN1	1693.7494
AKIRIN2	425.9765	AKIRIN2	1280.6492
AKNA	450.7314	AKNA	843.59
AKR1A1	1953.0622	AKR1A1	1091.682
AKR1B15	6.1083	AKR1B15	46.3723
AKR1B1	826.8767	AKR1B1	1076.9974
AKR1C1	44.6873	AKR1C1	10942.7108
AKR1C2	51.1172	AKR1C2	9612.9843
AKR1C3	1399.132	AKR1C3	4560.7188
AKR1D1	6.7513	removed	removed
AKR1E2	16.7176	AKR1E2	32.4606
AKR7A2	967.0471	AKR7A2	1298.4253
AKR7A3	680.2765	removed	removed
AKR7L	48.5452	removed	removed
AKT1S1	1085.999	AKT1S1	809.5836
AKT1	2376.4668	AKT1	2141.6288
AKT2	3203.3435	AKT2	3344.6044
AKT3	979.2638	AKT3	1704.956
AKTIP	629.7926	AKTIP	1262.1892
ALAD	1420.0289	ALAD	2621.5825
ALAS1	668.3813	ALAS1	1187.9046
removed	removed	ALAS2	7.7287
removed	removed	ALB	142.2085
ALCAM	9402.0254	ALCAM	967.2495
ALDH16A1	439.1577	ALDH16A1	245.3869
ALDH18A1	3622.2472	ALDH18A1	1154.2846
ALDH1A1	893.4255	ALDH1A1	16188.1944
ALDH1A2	130.5256	ALDH1A2	401.8935
ALDH1A3	859.8167	ALDH1A3	462.5292
ALDH1B1	1657.6113	ALDH1B1	534.8276
removed	removed	ALDH1L1	3118.1528
ALDH1L2	1106.253	ALDH1L2	630.6637
ALDH2	2548.1434	ALDH2	30588.7354
removed	removed	ALDH3A1	6.5694
ALDH3A2	1170.2299	ALDH3A2	6370.0126
ALDH3B1	197.3959	ALDH3B1	222.9736
ALDH3B2	1866.9024	ALDH3B2	186.6486
ALDH4A1	891.4965	ALDH4A1	5525.2633
ALDH5A1	398.6497	ALDH5A1	1242.392
ALDH6A1	767.2432	ALDH6A1	1583.0316
ALDH7A1	1467.9312	ALDH7A1	1440.2473
ALDH8A1	17.0391	ALDH8A1	11.9795
ALDH9A1	2479.9871	ALDH9A1	5413.9697
ALDOA	21837.9682	ALDOA	12526.326
removed	removed	ALDOB	69.5585
ALDOC	76.1935	ALDOC	3156.41
ALG10B	515.0297	ALG10B	405.3715
ALG10	150.1366	ALG10	130.6154
ALG11	24.1119	ALG11	10.0473
ALG12	383.2181	ALG12	289.4406
ALG13	754.5411	ALG13	505.8448
ALG14	269.4101	ALG14	375.2294
removed	removed	ALG1L	6.438
