gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
AGMAT	143.3087	AGMAT	10.4551
AGPAT1	1746.4173	AGPAT1	1884.0675
AGPAT2	1512.6449	AGPAT2	905.4893
AGPAT3	2875.1317	AGPAT3	1521.5955
AGPAT4	55.8483	AGPAT4	342.779
AGPAT5	628.5564	AGPAT5	540.3064
AGPAT6	3085.8799	AGPAT6	2066.0092
AGPAT9	145.4162	AGPAT9	156.827
AGPHD1	64.8051	AGPHD1	63.851
AGPS	1556.902	AGPS	1358.0473
AGR2	85337.7239	AGR2	1796.4161
AGR3	2628.0295	AGR3	951.7906
AGRN	4596.9442	AGRN	6430.6545
AGTPBP1	200.2107	AGTPBP1	316.6412
AGTR1	105.9009	AGTR1	219.9312
AGTRAP	504.7418	AGTRAP	622.8273
AGT	28.9779	AGT	40.7003
AGXT2L2	316.7492	AGXT2L2	387.8033
AHCTF1	3061.6438	AHCTF1	1244.9078
AHCYL1	3622.2339	AHCYL1	3646.9749
AHCYL2	555.3214	AHCYL2	490.2711
AHCY	11023.7092	AHCY	2721.6955
AHDC1	444.1517	AHDC1	980.1689
AHI1	267.1233	AHI1	240.8415
removed	removed	AHNAK2	1750.4882
AHNAK	45351.9494	AHNAK	96480.3537
AHRR	22.6554	AHRR	17.9231
AHR	1500.5269	AHR	2935.6524
AHSA1	2138.04	AHSA1	1623.9064
AHSA2	153.3193	AHSA2	171.3895
AIDA	1823.0295	AIDA	1063.8249
AIF1L	1543.7302	AIF1L	2300.8764
AIF1	256.059	AIF1	624.3209
AIFM1	728.1349	AIFM1	662.034
AIFM2	319.8103	AIFM2	365.1829
AIFM3	7.9031	removed	removed
AIG1	660.1686	AIG1	925.2794
AIM1L	111.1697	removed	removed
AIM1	3256.059	AIM1	3467.744
removed	removed	AIM2	10.8285
AIMP1	1433.6776	AIMP1	1041.4061
AIMP2	533.8145	AIMP2	323.1906
AIP	1121.7071	AIP	918.5582
AJAP1	15.2792	AJAP1	36.593
AK1	302.9505	AK1	511.1814
AK2	2415.7007	AK2	2273.9917
AK3L1	345.627	AK3L1	326.3496
AK3	2053.2139	AK3	2037.631
AK5	7.3762	AK5	3447.954
AK7	15.8061	AK7	47.0481
AKAP10	260.8008	AKAP10	281.1684
AKAP11	1298.7355	AKAP11	1177.3228
AKAP12	2099.5785	AKAP12	5558.7709
AKAP13	2333.509	AKAP13	4568.5203
AKAP1	1708.6407	AKAP1	2047.3394
AKAP2	1455.9905	AKAP2	1832.5498
AKAP3	15.2792	AKAP3	28.7516
AKAP5	269.2308	AKAP5	45.1811
AKAP6	42.1496	AKAP6	282.662
AKAP7	285.5638	AKAP7	143.0113
AKAP8L	911.4858	AKAP8L	755.7569
AKAP8	661.7492	AKAP8	760.2376
AKAP9	8128.5564	AKAP9	2067.5028
AKD1	218.6512	AKD1	105.6715
AKIRIN1	884.0885	AKIRIN1	1710.9081
AKIRIN2	621.7071	AKIRIN2	678.8369
removed	removed	AKNAD1	13.8456
AKNA	814.0148	AKNA	672.8626
AKR1A1	2218.6512	AKR1A1	1813.219
AKR1B10	3575.3425	AKR1B10	334.5643
AKR1B15	39.5153	AKR1B15	6.3478
AKR1B1	846.1538	AKR1B1	1212.7956
AKR1C1	8346.1538	AKR1C1	1213.5424
AKR1C2	1933.6143	AKR1C2	553.7487
AKR1C3	2752.3709	AKR1C3	1002.1993
AKR1E2	12.118	AKR1E2	17.1763
AKR7A2	1827.1865	AKR7A2	1145.584
AKR7A3	549.5258	AKR7A3	148.6123
AKR7L	51.1064	AKR7L	14.1891
AKT1S1	1063.2244	AKT1S1	841.2649
AKT1	3672.8135	AKT1	3326.5997
AKT2	1899.3678	AKT2	2166.8266
AKT3	422.5501	AKT3	1126.9141
AKTIP	354.3309	AKTIP	654.5325
ALAD	1669.1254	ALAD	1995.0637
ALAS1	1417.8082	ALAS1	943.5759
removed	removed	ALB	638.8834
ALCAM	5435.7218	ALCAM	3405.0132
ALDH16A1	390.411	ALDH16A1	615.3593
ALDH18A1	3228.6617	ALDH18A1	1625.0266
ALDH1A1	1586.4067	ALDH1A1	3511.805
ALDH1A2	82.7187	ALDH1A2	529.8513
ALDH1A3	691.2381	ALDH1A3	6166.6474
ALDH1B1	896.2065	ALDH1B1	641.8706
ALDH1L1	213.9094	ALDH1L1	163.1748
ALDH1L2	345.1001	ALDH1L2	142.6379
ALDH2	2755.0053	ALDH2	3504.7104
ALDH3A1	3590.6217	ALDH3A1	409.2438
ALDH3A2	1965.7534	ALDH3A2	1840.4771
ALDH3B1	93.2561	ALDH3B1	256.5242
ALDH3B2	2032.666	ALDH3B2	2310.2113
ALDH4A1	779.7682	ALDH4A1	665.0212
ALDH5A1	511.5911	ALDH5A1	343.8992
ALDH6A1	524.0991	ALDH6A1	314.3187
ALDH7A1	1108.5353	ALDH7A1	1912.9162
removed	removed	ALDH8A1	6.3478
ALDH9A1	4369.3361	ALDH9A1	2533.5031
ALDOA	39792.9399	ALDOA	16872.3465
ALDOC	341.412	ALDOC	623.9475
ALG10B	204.4257	ALG10B	161.3078
ALG10	81.6649	ALG10	74.6795
ALG11	18.9673	ALG11	10.8285
ALG12	494.7313	ALG12	558.6029
ALG13	1051.1064	ALG13	460.0259
ALG14	263.9621	ALG14	208.7293
ALG1L	35.7218	ALG1L	20.4883
ALG1	657.0232	ALG1	441.0909
ALG2	867.7555	ALG2	902.1287
ALG3	1079.5574	ALG3	554.8689
ALG5	812.961	ALG5	657.9267
ALG6	668.0717	ALG6	197.9008
ALG8	560.0632	ALG8	632.909
