gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
MCM2	487.2786	MCM2	845.8922
MCM3APAS	34.7923	MCM3APAS	39.4554
MCM3AP	1997.4138	MCM3AP	2163.4414
MCM3	2182.6087	MCM3	2282.2603
MCM4	1203.2206	MCM4	1366.2263
MCM5	731.723	MCM5	1005.1782
MCM6	905.314	MCM6	1121.7084
MCM7	1961.1659	MCM7	2097.0443
MCM8	206.7633	MCM8	225.5154
MCM9	96.2963	MCM9	100.6017
MCOLN1	401.2882	MCOLN1	370.8289
MCOLN2	66.9887	MCOLN2	69.5828
MCOLN3	59.5813	MCOLN3	87.1881
MCPH1	561.372	MCPH1	530.6402
MCRS1	746.8599	MCRS1	856.7908
MCTP1	364.2512	MCTP1	176.0529
MCTP2	172.3027	MCTP2	211.5429
MCTS1	814.8148	MCTS1	843.3772
MDC1	1066.6667	MDC1	1000.4276
MDFIC	1626.7311	MDFIC	1006.8549
MDFI	433.1723	MDFI	367.196
MDGA1	157.1659	MDGA1	93.8949
MDH1B	32.8502	MDH1B	43.8735
MDH1	2268.277	MDH1	2363.0211
MDH2	2890.1771	MDH2	3039.8466
MDK	2438.6473	MDK	2764.3099
MDM1	248.9533	MDM1	280.0079
MDM2	2562.963	MDM2	1898.5768
MDM4	1105.9581	MDM4	990.3674
MDN1	1752.3349	MDN1	2163.215
MDP1	190.7343	MDP1	164.548
ME1	241.868	ME1	450.4718
ME2	506.2802	ME2	767.926
ME3	430.9179	ME3	319.1308
MEA1	962.6151	MEA1	950.3866
MEAF6	1429.9517	MEAF6	1228.458
MECOM	748.1481	MECOM	417.7763
MECP2	2398.7118	MECP2	1851.3499
MECR	395.4911	MECR	370.27
MED10	360.3865	MED10	322.2047
MED11	157.4879	MED11	215.4552
MED12L	9.9839	MED12L	17.8847
MED12	1508.5346	MED12	1536.4108
MED13L	3465.7005	MED13L	3388.3196
MED13	2324.6377	MED13	2029.9178
MED14	1337.1981	MED14	1263.948
MED15	1341.0628	MED15	1495.6113
MED16	564.2512	MED16	884.7357
MED17	567.1498	MED17	661.1764
MED18	332.6892	MED18	344.8401
MED19	291.7874	MED19	268.2711
MED1	2094.686	MED1	1795.7395
MED20	574.5572	MED20	595.2265
MED21	597.7456	MED21	618.1413
MED22	970.0483	MED22	877.7494
MED23	1333.6554	MED23	1210.2938
MED24	1569.4042	MED24	1660.2067
MED25	633.9324	MED25	547.9772
MED26	213.2045	MED26	228.5893
MED27	189.372	MED27	264.0793
MED28	752.3349	MED28	728.5236
MED29	1825.7649	MED29	1465.4308
MED30	108.2126	MED30	121.8398
MED31	101.7456	MED31	127.303
MED4	968.7601	MED4	903.1793
MED6	397.1014	MED6	299.2899
MED7	231.562	MED7	210.4251
MED8	603.5427	MED8	578.1801
MED9	459.5813	MED9	446.2801
MEF2A	1813.4622	MEF2A	1441.7726
MEF2B	31.7778	MEF2B	15.4731
MEF2C	1545.2496	MEF2C	916.8723
MEF2D	2199.3559	MEF2D	1609.9059
MEFV	7.4074	MEFV	15.9286
MEG3	162.3188	MEG3	424.7625
MEGF10	39.2915	MEGF10	116.5302
MEGF6	778.744	MEGF6	402.1272
MEGF8	1530.7568	MEGF8	1823.6844
MEGF9	1376.8116	MEGF9	1510.1426
MEI1	178.744	MEI1	105.3523
MEIS1	439.2915	MEIS1	489.8742
MEIS2	417.7134	MEIS2	438.1761
MEIS3P1	723.3494	MEIS3P1	575.3856
MEIS3	497.2625	MEIS3	354.3414
MELK	111.4332	MELK	116.2508
MEMO1	319.0853	MEMO1	323.0123
MEN1	888.2448	MEN1	890.3246
MEOX1	401.2882	MEOX1	416.0996
MEOX2	672.7858	MEOX2	486.8002
removed	removed	MEP1A	11.7369
MEPCE	1592.5926	MEPCE	1295.8052
removed	removed	MEPE	10.6191
MERTK	319.8068	MERTK	575.3856
MESDC1	400.9662	MESDC1	330.3088
MESDC2	1348.4702	MESDC2	1331.0158
MESP1	13.5266	MESP1	31.5777
MESP2	7.0853	MESP2	10.0602
MESTIT1	9.6618	MESTIT1	13.1341
MEST	1535.9098	MEST	2014.5481
METAP1	1212.8824	METAP1	1465.9897
METAP2	1909.1787	METAP2	2021.8138
METRNL	175.8454	METRNL	182.2008
METRN	184.8631	METRN	176.6118
METT10D	846.3768	METT10D	910.7244
METT11D1	460.2254	METT11D1	483.4468
METT5D1	401.9324	METT5D1	339.81
METTL10	342.3382	METTL10	308.0842
METTL11A	283.7746	METTL11A	283.4312
METTL12	100.9791	METTL12	104.0948
METTL13	972.6248	METTL13	1028.6519
METTL14	450.8857	METTL14	395.9793
METTL1	214.1707	METTL1	352.3852
METTL2A	428.3414	METTL2A	417.4969
METTL2B	279.2271	METTL2B	280.2874
METTL3	593.8132	METTL3	740.7495
METTL4	215.1369	METTL4	212.6607
METTL5	459.0757	METTL5	433.6742
METTL6	315.942	METTL6	265.756
METTL7A	3335.9098	METTL7A	2460.2693
METTL7B	19.3237	METTL7B	30.7394
METTL8	553.3011	METTL8	494.9042
METTL9	2007.4074	METTL9	1839.0541
MET	1364.5733	MET	1300.5558
MEX3A	718.1965	MEX3A	834.9937
MEX3B	131.723	MEX3B	207.0717
MEX3C	1029.6296	MEX3C	1450.62
MEX3D	165.2174	MEX3D	381.4479
MFAP1	1095.6522	MFAP1	1014.6795
MFAP2	995.4911	MFAP2	286.1558
MFAP3L	266.6667	MFAP3L	585.4457
MFAP3	1638.6473	MFAP3	1167.8175
MFAP4	7572.3027	MFAP4	2774.6495
MFAP5	958.132	MFAP5	933.3598
MFF	910.467	MFF	1082.3061
MFGE8	2526.57	MFGE8	6784.4638
MFHAS1	306.9243	MFHAS1	299.5694
MFI2	128.5024	MFI2	583.4896
MFN1	948.7923	MFN1	860.4236
MFN2	3113.3655	MFN2	3107.7528
MFNG	499.839	MFNG	385.9191
MFRP	468.9211	MFRP	192.5404
MFSD10	1078.2609	MFSD10	906.8121
MFSD11	537.9807	MFSD11	446.1991
MFSD1	1831.2399	MFSD1	2072.1146
MFSD2A	61.5137	MFSD2A	151.1819
MFSD2B	9.9839	MFSD2B	8.6629
MFSD3	203.2206	MFSD3	224.677
MFSD4	131.401	MFSD4	248.4302
MFSD5	684.38	MFSD5	724.3319
MFSD6L	18.6795	MFSD6L	36.0489
MFSD6	1058.2931	MFSD6	1699.3296
MFSD7	192.6699	MFSD7	243.5454
MFSD8	355.8776	MFSD8	311.3062
MFSD9	146.5378	MFSD9	167.1105
removed	removed	MGAM	11.4574
MGAT1	3465.3784	MGAT1	3439.4588
MGAT2	838.0032	MGAT2	807.8872
MGAT3	190.3382	MGAT3	406.0395
MGAT4A	1846.6989	MGAT4A	1167.2586
MGAT4B	1416.4251	MGAT4B	1532.6858
MGAT5B	6.4412	MGAT5B	11.178
MGAT5	407.4074	MGAT5	409.9517
MGA	1657.649	MGA	1590.3445
MGC12916	6.4412	MGC12916	9.2218
MGC12982	20.2899	MGC12982	44.9913
MGC16121	36.3929	MGC16121	75.4512
MGC16142	15.4589	MGC16142	13.9725
MGC16275	53.4622	MGC16275	60.0815
MGC16384	11.9163	MGC16384	11.178
MGC21881	112.7214	MGC21881	169.905
MGC23270	42.5121	MGC23270	51.1392
MGC23284	28.6634	MGC23284	44.1529
MGC2752	656.0386	MGC2752	711.7567
MGC29506	661.8357	MGC29506	551.0735
MGC3771	12.847	MGC3771	9.4957
removed	removed	MGC42105	5.589
MGC45800	83.7359	removed	removed
MGC57346	143.1272	MGC57346	191.9815
MGC70857	244.4444	MGC70857	225.7948
MGC72080	56.2802	MGC72080	51.7065
MGC87042	15.4589	MGC87042	13.693
MGEA5	4936.5539	MGEA5	3909.7715
MGLL	2772.3027	MGLL	2351.2842
MGMT	392.2705	MGMT	385.3602
MGP	48280.1932	MGP	46647.5896
MGRN1	1566.1836	MGRN1	1418.2039
MGST1	3866.3446	MGST1	2596.9199
MGST2	665.7005	MGST2	658.3819
MGST3	1571.6586	MGST3	1305.8654
removed	removed	MIA2	6.4273
MIA3	2211.9163	MIA3	2102.0157
MIAT	149.4203	MIAT	86.7019
MIA	115.4042	MIA	543.8246
MIB1	2423.1884	MIB1	2229.165
MIB2	127.8583	MIB2	220.2058
MICAL1	440.5797	MICAL1	584.8868
MICAL2	2609.6618	MICAL2	2049.4792
MICAL3	769.4042	MICAL3	1529.1451
MICALCL	92.1095	MICALCL	94.1743
MICALL1	702.0934	MICALL1	1107.4565
MICALL2	156.5217	MICALL2	302.3639
MICA	240.2576	MICA	196.7321
MICB	317.2303	MICB	104.2345
MID1IP1	316.5862	MID1IP1	334.7799
MID1	434.7826	MID1	701.4171
MID2	586.7955	MID2	635.1877
MIDN	1002.5765	MIDN	1450.0611
MIER1	1504.0258	MIER1	1180.9516
MIER2	253.1401	MIER2	312.9829
MIER3	832.8502	MIER3	680.179
MIF4GD	476.7665	MIF4GD	462.083
MIF	2441.694	MIF	2111.7545
MIIP	195.8132	MIIP	254.5781
MINA	736.0354	MINA	952.9324
MINK1	1406.9114	MINK1	2157.721
MINPP1	428.6634	MINPP1	448.2363
MIOS	778.0998	MIOS	667.8832
MIPEP	481.8035	MIPEP	657.5436
MIPOL1	145.2496	MIPOL1	110.3824
MIR155HG	23.8325	MIR155HG	15.9286
MIR17HG	32.5282	MIR17HG	61.1993
MIS12	357.1659	MIS12	461.0909
MITD1	182.2866	MITD1	182.2008
MITF	649.2754	MITF	336.7361
MKI67IP	734.6087	MKI67IP	912.1189
MKI67	1444.1224	MKI67	1325.7062
MKKS	778.0998	MKKS	798.9448
MKL1	1038.6473	MKL1	1287.9806
MKL2	3338.8084	MKL2	2509.4524
MKLN1	2095.9742	MKLN1	1952.7899
MKNK1	577.2174	MKNK1	531.839
MKNK2	2487.9227	MKNK2	3462.3736
MKRN1	3158.4541	MKRN1	2723.7898
MKRN2	821.9968	MKRN2	733.5537
MKS1	296.9404	MKS1	311.3062
MKX	40.9018	MKX	11.4574
MLC1	6.7633	removed	removed
MLEC	6683.0918	MLEC	7592.0715
MLF1IP	375.4911	MLF1IP	283.5737
MLF1	263.4461	MLF1	247.3124
MLF2	2452.496	MLF2	2655.3248
MLH1	990.9823	MLH1	833.8759
MLH3	542.351	MLH3	540.7339
MLKL	249.9195	MLKL	287.8325
MLL2	2823.9903	MLL2	3141.7589
MLL3	3887.6006	MLL3	3449.7984
MLL4	987.4396	MLL4	1132.3275
MLL5	2781.211	MLL5	2280.8267
MLLT10	702.0934	MLLT10	657.823
MLLT11	102.7375	MLLT11	330.3088
MLLT1	1657.0048	MLLT1	1334.0897
MLLT3	563.6071	MLLT3	410.2312
MLLT4	2256.6828	MLLT4	2879.1634
MLLT6	3195.8132	MLLT6	4239.8008
MLL	3478.5829	MLL	3102.7227
MLPH	3161.9968	MLPH	2996.532
MLST8	713.0048	MLST8	781.0181
MLXIPL	98.2287	MLXIPL	16.7669
MLXIP	1138.8084	MLXIP	1368.1825
MLX	779.0306	MLX	1005.5499
MLYCD	223.8325	MLYCD	333.1033
MMAA	401.6103	MMAA	320.528
MMAB	452.1739	MMAB	697.2254
MMACHC	200.3221	MMACHC	223.2798
MMADHC	1525.6039	MMADHC	1847.1581
MMD	365.8615	MMD	243.4001
MMEL1	21.2367	MMEL1	9.9931
MME	929.7907	MME	3342.4899
MMGT1	970.6924	MMGT1	868.8071
MMP10	9.9839	MMP10	28.2244
MMP11	2120.1288	MMP11	378.9329
MMP12	8.0515	MMP12	84.6731
MMP13	29.6296	MMP13	87.747
MMP14	5957.1659	MMP14	6645.2981
MMP15	474.3961	MMP15	640.7766
MMP16	404.5089	MMP16	457.7375
MMP17	102.4155	MMP17	43.3146
MMP19	721.4171	MMP19	658.1025
MMP1	8.3736	removed	removed
removed	removed	MMP20	8.3835
MMP23A	24.7987	removed	removed
MMP23B	148.1481	MMP23B	95.5716
MMP24	277.6167	MMP24	301.2461
MMP25	62.3833	MMP25	81.0765
MMP27	10.9501	MMP27	14.8108
MMP28	189.372	MMP28	97.8072
MMP2	22969.4042	MMP2	8605.0742
MMP3	512.7214	MMP3	351.8263
MMP7	3063.4461	MMP7	5580.8767
MMP9	674.3961	MMP9	1929.5956
MMRN1	1976.8116	MMRN1	2012.3125
MMRN2	2216.7472	MMRN2	1431.338
MMS19	1397.1014	MMS19	1515.7316
MN1	374.5572	MN1	138.6067
MNAT1	208.6957	MNAT1	175.494
MND1	45.4106	MND1	39.6818
MNDA	272.1417	MNDA	229.4277
MNS1	129.4686	MNS1	109.2646
MNT	486.6345	MNT	654.7491
removed	removed	MNX1	5.3095
MOAP1	815.4589	MOAP1	793.0764
MOB2	416.7472	MOB2	438.1761
MOBKL1A	881.4815	MOBKL1A	847.2895
MOBKL1B	781.9646	MOBKL1B	812.0789
MOBKL2A	1257.649	MOBKL2A	1127.018
MOBKL2B	670.5314	MOBKL2B	625.9658
MOBKL2C	490.0934	MOBKL2C	573.9408
MOBKL3	834.7826	MOBKL3	899.8259
MOCOS	92.7536	MOCOS	181.9213
MOCS1	748.7794	MOCS1	378.8463
MOCS2	840.9018	MOCS2	723.773
MOCS3	232.8502	MOCS3	228.8688
MOGAT2	11.9163	MOGAT2	90.8209
MOGS	958.132	MOGS	1147.9766
MON1A	165.2174	MON1A	224.677
MON1B	583.5749	MON1B	759.8219
MON2	1242.5121	MON2	1261.9919
MORC2	784.8631	MORC2	935.0365
MORC3	1016.4251	MORC3	959.3485
MORC4	738.1643	MORC4	656.9847
MORF4L1	4799.3559	MORF4L1	4324.7533
MORF4L2	3923.3494	MORF4L2	4164.0673
MORF4	5.7971	removed	removed
MORN1	57.649	MORN1	70.4212
MORN2	124.6377	MORN2	165.7133
MORN3	10.306	MORN3	11.7369
MORN4	178.4219	MORN4	152.5792
MOSC1	380.3543	MOSC1	256.2548
MOSC2	249.5974	MOSC2	290.627
MOSPD1	261.1916	MOSPD1	212.1018
MOSPD2	337.5201	MOSPD2	273.5806
MOSPD3	323.0274	MOSPD3	260.4465
MOV10L1	7.4074	removed	removed
MOV10	889.8551	MOV10	1016.6356
MOXD1	601.9324	MOXD1	310.7473
MPDU1	709.5008	MPDU1	1078.9527
MPDZ	1346.2158	MPDZ	1180.9516
MPEG1	2406.7633	MPEG1	1894.1056
MPG	499.1948	MPG	551.353
MPHOSPH10	755.2335	MPHOSPH10	854.8346
MPHOSPH6	266.3446	MPHOSPH6	725.7292
MPHOSPH8	1109.5008	MPHOSPH8	1114.7222
MPHOSPH9	205.475	MPHOSPH9	160.1243
MPI	704.9919	MPI	701.6965
MPL	17.3913	MPL	16.208
MPND	313.6876	MPND	295.0982
removed	removed	MPO	12.0163
MPP1	557.4879	MPP1	556.383
MPP2	114.9758	MPP2	155.0942
MPP3	36.715	MPP3	65.6705
MPP5	829.6296	MPP5	988.6907
MPP6	65.7005	MPP6	94.1743
MPP7	915.942	MPP7	723.2141
MPPE1	537.1981	MPPE1	568.3993
removed	removed	MPPED1	5.8684
MPPED2	57.971	MPPED2	76.0101
MPRIP	2059.9034	MPRIP	2474.2418
MPST	368.1159	MPST	565.8843
MPV17L2	253.7842	MPV17L2	269.1094
MPV17L	275.0403	MPV17L	328.9115
MPV17	694.3639	MPV17	837.7882
MPZL1	3882.1256	MPZL1	6116.3011
MPZL2	532.3671	MPZL2	942.5816
MPZL3	65.0564	MPZL3	68.7445
MPZ	197.7456	MPZ	17.6053
MR1	276.0064	MR1	223.5592
MRAP2	44.1224	MRAP2	50.3008
MRAP	53.0306	removed	removed
MRAS	1031.8841	MRAS	1692.0639
MRC1	683.0918	MRC1	367.7549
MRC2	3541.0628	MRC2	4339.0052
MRE11A	702.7375	MRE11A	691.0775
MREG	653.4622	MREG	938.3899
MRFAP1L1	1657.0048	MRFAP1L1	1583.6377
MRFAP1	6722.0612	MRFAP1	6557.5511
MRGPRF	289.211	MRGPRF	345.6785
removed	removed	MRGPRX3	10.0602
MRI1	416.4251	MRI1	333.9416
MRM1	46.6989	MRM1	92.4976
MRO	68.277	MRO	67.6267
MRP63	575.5395	MRP63	585.0657
MRPL10	1083.4138	MRPL10	952.3623
MRPL11	510.467	MRPL11	581.254
MRPL12	510.467	MRPL12	565.3254
MRPL13	596.1353	MRPL13	483.4468
MRPL14	501.1272	MRPL14	552.1913
MRPL15	657.3269	MRPL15	699.7404
MRPL16	578.744	MRPL16	585.1663
MRPL17	728.8245	MRPL17	895.9136
MRPL18	677.2947	MRPL18	688.0035
MRPL19	1123.9936	MRPL19	1260.5946
MRPL1	381.3205	MRPL1	364.4015
MRPL20	1193.913	MRPL20	1150.0278
MRPL21	581.9646	MRPL21	543.5284
MRPL22	338.8084	MRPL22	335.3388
MRPL23	302.4155	MRPL23	337.5744
MRPL24	920.7729	MRPL24	989.529
MRPL27	614.8148	MRPL27	620.9358
MRPL28	552.3349	MRPL28	623.7303
MRPL2	370.3704	MRPL2	391.2287
MRPL30	793.3462	MRPL30	975.5286
MRPL32	723.3494	MRPL32	800.0626
MRPL33	448.9533	MRPL33	463.3265
MRPL34	447.343	MRPL34	382.5657
MRPL35	849.9195	MRPL35	893.9575
MRPL36	243.8003	MRPL36	261.2849
MRPL37	1174.2351	MRPL37	1284.0683
MRPL38	505.9324	MRPL38	614.9807
MRPL39	372.6248	MRPL39	351.2674
MRPL3	1694.3639	MRPL3	1759.97
MRPL40	513.0435	MRPL40	514.7451
MRPL41	314.0097	MRPL41	285.8764
MRPL42P5	18.5056	removed	removed
MRPL42	771.3366	MRPL42	639.3794
MRPL43	1061.2657	MRPL43	834.3761
MRPL44	489.8551	MRPL44	582.0923
MRPL45	823.5105	MRPL45	1083.7034
MRPL46	344.9275	MRPL46	328.9115
MRPL47	534.2995	MRPL47	445.1623
MRPL48	283.7359	MRPL48	373.0645
MRPL49	1561.3527	MRPL49	1388.8617
MRPL4	595.4911	MRPL4	672.0749
MRPL50	269.5652	MRPL50	423.0858
MRPL51	1330.7568	MRPL51	1423.7929
MRPL52	345.5717	MRPL52	431.7488
MRPL53	307.7585	MRPL53	323.9234
MRPL54	315.2979	MRPL54	409.3928
MRPL55	302.0934	MRPL55	298.1721
MRPL9	711.8969	MRPL9	850.2293
MRPS10	888.2448	MRPS10	894.5164
MRPS11	492.1095	MRPS11	520.6136
MRPS12	346.6216	MRPS12	378.9329
MRPS14	397.4235	MRPS14	383.6835
MRPS15	852.1739	MRPS15	752.8357
MRPS16	1940.0966	MRPS16	1643.1603
MRPS17	236.9758	MRPS17	265.566
MRPS18A	487.9227	MRPS18A	583.2101
MRPS18B	1354.2673	MRPS18B	1450.0611
MRPS18C	350.4541	MRPS18C	308.8359
MRPS21	956.1997	MRPS21	871.0427
MRPS22	500.161	MRPS22	466.9593
MRPS23	647.0209	MRPS23	596.6237
MRPS24	597.1014	MRPS24	691.9158
MRPS25	667.942	MRPS25	931.5294
MRPS26	461.1916	MRPS26	558.3392
MRPS27	1741.3849	MRPS27	1859.1745
MRPS28	219.1884	MRPS28	228.743
MRPS2	873.6715	MRPS2	910.3416
MRPS30	374.8792	MRPS30	473.1072
MRPS31	360.7085	MRPS31	323.8814
MRPS33	656.3607	MRPS33	621.4947
MRPS34	660.8696	MRPS34	649.4396
MRPS35	1282.1256	MRPS35	1333.5308
MRPS36	366.8277	MRPS36	284.1997
MRPS5	479.5491	MRPS5	634.9082
MRPS6	696.9436	MRPS6	489.2957
MRPS7	1144.1675	MRPS7	1072.9306
MRPS9	404.5089	MRPS9	543.8078
MRRF	423.1884	MRRF	594.3881
MRS2	795.8132	MRS2	663.6915
MRTO4	824.1546	MRTO4	914.9162
MRVI1	923.3494	MRVI1	809.8433
MS4A14	414.8567	MS4A14	86.2547
MS4A15	27.0531	removed	removed
MS4A1	299.839	MS4A1	209.5868
MS4A2	276.3285	MS4A2	56.7282
MS4A4A	441.868	MS4A4A	330.3088
MS4A6A	1317.8744	MS4A6A	1183.7461
MS4A7	1744.5636	MS4A7	631.9293
MSC	219.533	MSC	92.1623
MSH2	711.7552	MSH2	791.9586
MSH3	757.591	MSH3	555.1786
MSH5	203.6039	MSH5	182.4551
MSH6	1410.306	MSH6	1759.6906
MSI1	11.9163	MSI1	117.9275
MSI2	377.4557	MSI2	303.4817
MSL1	1838.0032	MSL1	1892.1494
MSL2	1196.7794	MSL2	1067.2159
MSL3L2	43.4783	MSL3L2	65.6705
MSL3	728.1804	MSL3	737.466
removed	removed	MSLN	5.3095
removed	removed	MSMB	29.3421
MSMP	41.5459	MSMP	48.0652
MSN	8976.8116	MSN	10012.1001
MSR1	915.942	MSR1	813.1967
MSRA	203.5427	MSRA	309.0706
MSRB2	470.5314	MSRB2	394.8615
MSRB3	2096.9404	MSRB3	2009.2386
MST1P2	28.0193	MST1P2	78.5252
MST1P9	21.9002	MST1P9	51.9775
MST1R	81.4815	MST1R	245.9152
MST1	50.2415	MST1	73.4951
MST4	276.0064	MST4	380.0507
MSTN	7.4074	MSTN	10.3396
MSTO1	525.475	MSTO1	602.3496
MSTO2P	177.6779	MSTO2P	136.6785
MSX1	88.2448	MSX1	65.1116
MSX2P1	6.1192	removed	removed
MSX2	609.0177	MSX2	231.1044
MT1A	25.1208	MT1A	13.693
MT1E	706.6023	MT1E	800.9009
MT1F	73.1079	MT1F	147.8285
MT1G	38.9694	MT1G	96.6894
MT1L	27.0531	MT1L	63.9938
MT1M	43.4783	MT1M	69.5828
MT1X	589.694	MT1X	972.2032
MT2A	1836.715	MT2A	3452.5929
MTA1	761.0306	MTA1	994.5591
MTA2	2077.9388	MTA2	2196.7489
MTA3	804.1868	MTA3	815.7117
MTAP	682.1256	MTAP	852.3196
MTBP	109.5008	MTBP	90.8209
MTCH1	2709.8229	MTCH1	3400.6153
MTCH2	1533.3333	MTCH2	1568.5475
MTCP1NB	213.942	MTCP1NB	198.6603
MTCP1	28.248	MTCP1	24.6195
MTDH	3881.8035	MTDH	3161.9659
MTERFD1	252.1739	MTERFD1	275.8162
MTERFD2	375.8454	MTERFD2	402.6861
MTERFD3	269.2432	MTERFD3	394.8615
MTERF	221.9002	MTERF	226.0743
MTF1	921.095	MTF1	797.827
MTF2	619.9678	MTF2	560.0159
MTFMT	172.9469	MTFMT	203.7183
MTFR1	554.6216	MTFR1	498.0341
MTG1	286.3124	MTG1	445.4418
MTHFD1L	230.2738	MTHFD1L	363.8426
MTHFD1	1829.3816	MTHFD1	1655.6964
MTHFD2L	174.1932	MTHFD2L	256.7801
MTHFD2	1282.7697	MTHFD2	1112.4866
MTHFR	1664.7182	MTHFR	1019.8604
MTHFSD	227.3752	MTHFSD	326.3965
MTHFS	294.0419	MTHFS	265.1971
MTIF2	743.3172	MTIF2	809.8433
MTIF3	804.1868	MTIF3	646.0862
MTL5	507.5684	MTL5	180.2446
MTM1	401.9324	MTM1	376.6973
MTMR10	899.752	MTMR10	822.9076
MTMR11	323.6715	MTMR11	285.038
MTMR12	1741.3849	MTMR12	1729.2306
MTMR14	914.0097	MTMR14	814.3145
MTMR15	683.1787	MTMR15	703.1636
MTMR1	897.5845	MTMR1	914.9162
MTMR2	854.1063	MTMR2	824.3747
MTMR3	1787.1176	MTMR3	1776.1781
MTMR4	1371.3366	MTMR4	1487.5072
MTMR6	992.2705	MTMR6	955.9952
MTMR7	40.1771	MTMR7	42.6691
MTMR8	16.1031	MTMR8	15.9286
MTMR9L	119.1626	MTMR9L	135.2533
MTMR9	546.1675	MTMR9	477.802
MTO1	501.4493	MTO1	386.1986
MTOR	1784.219	MTOR	2031.0356
MTP18	230.9308	MTP18	260.8154
MTPAP	592.5926	MTPAP	572.5911
MTRF1L	282.4477	MTRF1L	244.5179
MTRF1	103.7037	MTRF1	104.5139
MTRR	696.2963	MTRR	748.644
MTR	1642.8341	MTR	1477.1676
MTSS1L	624.4767	MTSS1L	1064.1419
MTSS1	485.6683	MTSS1	765.9698
MTUS1	3566.5056	MTUS1	3115.0184
MTUS2	7.7295	MTUS2	13.693
MTX1	446.0548	MTX1	424.1589
MTX2	419.0016	MTX2	442.6473
MTX3	821.256	MTX3	727.6853
MUC15	49.9195	MUC15	72.6567
MUC16	36.715	MUC16	381.7274
MUC1	5464.4122	MUC1	2627.1004
MUC20	119.4847	MUC20	215.1758
MUC4	5.153	MUC4	349.8702
MUC5B	135.5878	MUC5B	1138.4754
MUC6	20.2899	MUC6	3085.9557
MUC7	7.7295	removed	removed
MUCL1	306.6023	MUCL1	3672.2398
MUDENG	886.9565	MUDENG	884.1768
MUL1	953.3011	MUL1	946.2144
MUM1L1	308.2126	MUM1L1	66.2294
MUM1	530.1127	MUM1	874.9549
removed	removed	MURC	9.5013
MUS81	348.1481	MUS81	429.5132
MUSTN1	194.525	MUSTN1	73.1681
MUTED	435.1047	MUTED	380.889
MUTYH	157.6457	MUTYH	165.7887
MUT	963.9291	MUT	902.3409
MVD	156.8438	MVD	325.8376
MVK	263.4461	MVK	392.3464
MVP	2239.9356	MVP	2159.8616
MX1	1585.5072	MX1	1361.7552
MX2	1091.7874	MX2	524.5258
MXD1	390.0161	MXD1	419.7325
MXD3	107.0918	MXD3	133.3447
MXD4	2582.9308	MXD4	2045.8464
MXI1	1485.6683	MXI1	1045.1394
MXRA5	12185.1852	MXRA5	8879.2137
MXRA7	2914.0097	MXRA7	2556.3998
MXRA8	3614.8148	MXRA8	1496.1702
MYADM	4812.2383	MYADM	4887.5637
MYBBP1A	718.599	MYBBP1A	1493.9513
MYBL1	138.4863	MYBL1	158.4476
MYBL2	354.9114	MYBL2	283.6408
MYBPC1	30587.4396	MYBPC1	8368.3809
MYBPC2	6.7633	MYBPC2	15.6491
MYB	2052.818	MYB	653.9107
MYCBP2	3374.2351	MYCBP2	2858.7637
MYCBP	1041.2238	MYCBP	824.0393
MYCL1	189.694	MYCL1	288.9503
MYCN	34.7826	MYCN	43.0352
MYCT1	702.0934	MYCT1	387.3164
MYC	1471.1755	MYC	3392.5113
MYD88	1417.0692	MYD88	1439.7214
MYEF2	458.5314	MYEF2	522.5809
MYEOV2	687.9227	MYEOV2	684.0912
MYEOV	39.6135	MYEOV	430.631
MYH10	2821.9002	MYH10	3275.9811
MYH11	6671.8068	MYH11	8289.3359
MYH14	738.1643	MYH14	1703.8008
removed	removed	MYH15	14.8108
MYH3	35.1047	MYH3	50.0214
MYH7B	5.153	MYH7B	9.5013
MYH9	22166.5056	MYH9	31554.2676
MYL12A	4695.0081	MYL12A	5981.6067
MYL12B	6016.1031	MYL12B	6872.2107
MYL5	98.1031	MYL5	112.8248
MYL6B	534.6216	MYL6B	549.1174
MYL6	13000.3221	MYL6	15506.3477
removed	removed	MYL7	55.0515
MYL9	5628.3414	MYL9	9155.0299
MYLIP	986.4734	MYLIP	991.7646
removed	removed	MYLK3	9.2218
MYLK4	46.3768	MYLK4	72.0979
MYLK	3459.5588	MYLK	9484.7323
MYNN	517.8744	MYNN	434.8227
MYO10	1711.7552	MYO10	1564.9146
MYO15A	18.3575	MYO15A	8.104
MYO15B	514.6538	MYO15B	649.4396
MYO16	17.3913	removed	removed
MYO18A	1269.4783	MYO18A	1908.3463
MYO19	531.0242	MYO19	601.1592
MYO1B	2619.3237	MYO1B	3222.3269
MYO1C	5048.9533	MYO1C	5283.8224
MYO1D	2411.5942	MYO1D	2419.7492
MYO1E	1318.8406	MYO1E	1064.4214
MYO1F	444.7665	MYO1F	541.8517
MYO1G	167.4718	MYO1G	161.2421
removed	removed	MYO1H	22.6354
MYO3A	6.1192	MYO3A	17.8847
MYO3B	9.6618	MYO3B	13.4136
MYO5A	1484.7021	MYO5A	1206.3815
MYO5B	2006.4412	MYO5B	2059.26
MYO5C	1768.0354	MYO5C	1620.5194
MYO6	2817.7134	MYO6	3095.457
MYO7A	80.8374	MYO7A	140.004
MYO7B	7.4074	MYO7B	6.9862
MYO9A	1038.0032	MYO9A	801.4598
