gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
ADAT3	12.5604	ADAT3	19.0025
ADA	141.3849	ADA	103.955
ADCK1	147.182	ADCK1	202.6006
ADCK2	742.029	ADCK2	895.6342
ADCK4	468.9211	ADCK4	505.2439
ADCK5	33.8164	ADCK5	84.9525
removed	removed	ADCY10	8.3835
ADCY1	241.868	ADCY1	430.0721
ADCY2	94.686	ADCY2	141.9601
ADCY3	1488.4058	ADCY3	1810.3212
ADCY4	445.0886	ADCY4	363.0043
ADCY5	142.6731	ADCY5	240.6056
ADCY6	1940.4187	ADCY6	2369.4484
ADCY7	725.6039	ADCY7	715.3895
ADCY9	1183.8969	ADCY9	786.0901
ADCYAP1R1	22.8663	ADCYAP1R1	102.5578
removed	removed	ADCYAP1	8.9424
ADC	197.4235	ADC	107.029
ADD1	6574.2351	ADD1	5758.0474
ADD2	47.0209	ADD2	48.6241
ADD3	3389.372	ADD3	4900.4183
ADH1A	57.314	ADH1A	14.5509
ADH1B	8611.9163	ADH1B	1427.4257
ADH1C	216.4251	ADH1C	165.9927
removed	removed	ADH4	22.9148
ADH5	2793.2367	ADH5	2963.8365
ADHFE1	151.6908	ADHFE1	127.7082
ADI1	885.6683	ADI1	1332.1336
ADIPOQ	7121.7391	ADIPOQ	255.4164
ADIPOR1	2118.8406	ADIPOR1	2043.6108
ADIPOR2	2168.1159	ADIPOR2	1792.945
ADK	448.3092	ADK	384.8013
ADM2	113.6876	ADM2	189.7459
ADM	151.3688	ADM	153.4175
ADNP2	979.066	ADNP2	764.852
ADNP	3341.3849	ADNP	3141.0072
ADORA1	77.6167	ADORA1	509.4356
ADORA2A	184.8599	ADORA2A	109.2646
ADORA2B	23.5105	ADORA2B	103.955
ADORA3	139.4525	ADORA3	236.9728
ADO	643.4783	ADO	903.4587
ADPGK	988.6892	ADPGK	989.8476
ADPRHL1	113.6876	ADPRHL1	69.8623
ADPRHL2	660.2254	ADPRHL2	636.026
ADPRH	357.4879	ADPRH	398.7738
ADRA1A	9.3398	ADRA1A	6.1479
ADRA1B	11.9163	ADRA1B	7.8246
ADRA1D	14.1707	ADRA1D	8.104
ADRA2A	893.3977	ADRA2A	617.3029
ADRA2B	11.2721	ADRA2B	32.975
ADRA2C	38.9694	ADRA2C	27.1066
ADRB1	14.1707	ADRB1	21.2381
ADRB2	97.5845	ADRB2	102.8372
ADRB3	9.6618	removed	removed
ADRBK1	1619.9678	ADRBK1	1720.0088
ADRBK2	950.4026	ADRBK2	774.6327
ADRM1	828.9855	ADRM1	1073.6432
ADSL	917.8744	ADSL	1117.5167
ADSSL1	121.095	ADSSL1	129.3849
ADSS	1543.6393	ADSS	1354.4895
AEBP1	14067.9549	AEBP1	4786.1237
AEBP2	678.2609	AEBP2	663.9709
AEN	509.8229	AEN	515.5835
AES	3960.0644	AES	5241.3462
AFAP1L1	492.1095	AFAP1L1	303.2022
AFAP1L2	732.0451	AFAP1L2	1201.3514
AFAP1	1626.3994	AFAP1	1801.0267
AFF1	3138.1643	AFF1	2199.5434
AFF2	83.0918	AFF2	59.2432
AFF3	2577.1337	AFF3	2559.1943
AFF4	4301.7713	AFF4	3607.6871
AFG3L1	168.438	AFG3L1	270.5067
AFG3L2	1137.3076	AFG3L2	1478.0004
AFMID	481.8035	AFMID	657.5436
AFTPH	1399.3559	AFTPH	1424.9106
AG2	291.1433	AG2	80.4813
AGAP11	105.1626	AGAP11	79.0086
AGAP1	629.3076	AGAP1	537.6599
AGAP2	139.4525	AGAP2	217.9758
AGAP3	793.2367	AGAP3	1258.359
AGAP4	187.7617	AGAP4	196.7321
AGAP5	67.7359	AGAP5	47.3023
AGAP6	104.6699	AGAP6	136.93
AGAP7	12.2383	AGAP7	13.1341
AGAP8	43.4783	AGAP8	74.8923
AGA	754.2673	AGA	601.6538
AGBL2	10.628	AGBL2	12.2958
AGBL3	6.7633	AGBL3	8.9424
AGBL4	10.628	AGBL4	7.2657
AGBL5	608.7085	AGBL5	722.6748
AGER	24.7987	AGER	42.4763
AGFG1	1442.5121	AGFG1	1707.7131
AGFG2	383.2528	AGFG2	418.3352
AGGF1	1123.0274	AGGF1	990.3674
AGK	587.1176	AGK	557.7803
AGL	2036.0709	AGL	1106.3387
AGMAT	31.8841	AGMAT	26.5477
AGPAT1	2239.7939	AGPAT1	2154.2335
AGPAT2	731.401	AGPAT2	374.7412
AGPAT3	2747.182	AGPAT3	2401.8645
AGPAT4	305.6361	AGPAT4	305.4378
AGPAT5	809.6618	AGPAT5	937.2721
AGPAT6	1907.8905	AGPAT6	2123.5332
AGPAT9	159.7424	AGPAT9	177.7296
AGPHD1	58.9372	AGPHD1	44.7118
AGPS	886.3124	AGPS	1146.0205
AGR2	9343.9614	AGR2	3338.2982
AGR3	380.3543	AGR3	332.8238
AGRN	4155.5556	AGRN	5092.6793
AGTPBP1	385.1852	AGTPBP1	416.3791
AGTR1	178.744	AGTR1	91.9387
AGTR2	8.6957	AGTR2	7.2657
AGTRAP	1315.62	AGTRAP	764.5726
AGT	86.9565	AGT	119.6042
AGXT2L2	344.4992	AGXT2L2	350.4095
AHCTF1	1404.8309	AHCTF1	1248.8578
AHCYL1	4459.9034	AHCYL1	4134.728
AHCYL2	586.1514	AHCYL2	700.5787
AHCY	5304.0258	AHCY	5509.8967
AHDC1	640.2576	AHDC1	1389.1412
AHI1	331.723	AHI1	386.478
AHNAK2	1543.6393	AHNAK2	981.1456
AHNAK	76970.0483	AHNAK	57578.5182
AHRR	36.715	AHRR	23.1943
AHR	3672.1417	AHR	3163.922
AHSA1	1227.0531	AHSA1	1655.7356
AHSA2	304.9919	AHSA2	470.3127
AIDA	1230.9887	AIDA	930.5625
AIF1L	951.3688	AIF1L	2081.057
AIF1	626.7311	AIF1	669.5599
AIFM1	870.8535	AIFM1	941.4638
AIFM2	536.5539	AIFM2	384.5219
AIFM3	11.1787	AIFM3	7.8246
AIG1	1171.9807	AIG1	720.4196
AIM1	2669.2432	AIM1	2242.2991
AIM2	26.7311	AIM2	17.3258
AIMP1	1021.4783	AIMP1	1000.1369
AIMP2	398.6957	AIMP2	405.352
AIP	683.7359	AIP	772.6766
AJAP1	6.1192	AJAP1	22.3559
AK1	303.3816	AK1	407.7161
AK2	2071.1755	AK2	2093.3527
AK3L1	523.0274	AK3L1	671.2366
AK3	1687.2786	AK3	1542.8381
AK5	172.3027	AK5	878.0289
AK7	16.7472	AK7	19.282
AKAP10	565.2174	AKAP10	484.5646
AKAP11	2487.2786	AKAP11	1932.6695
AKAP12	2606.7633	AKAP12	1790.1505
AKAP13	4930.4348	AKAP13	4063.7479
AKAP1	1792.5926	AKAP1	1955.5844
AKAP2	1183.4364	AKAP2	1227.1613
AKAP3	9.0177	AKAP3	11.7369
AKAP5	163.285	AKAP5	185.5542
AKAP6	127.5362	AKAP6	156.7709
AKAP7	198.0676	AKAP7	194.2171
AKAP8L	510.1449	AKAP8L	452.9869
AKAP8	556.1997	AKAP8	536.8216
AKAP9	2312.0773	AKAP9	2249.0059
AKD1	120.7729	AKD1	130.7821
AKIRIN1	1138.8084	AKIRIN1	1267.3014
AKIRIN2	639.2915	AKIRIN2	675.9872
AKNA	1194.847	AKNA	890.6041
AKR1A1	1780.6763	AKR1A1	2506.099
removed	removed	AKR1B10	6.7068
removed	removed	AKR1B15	449.913
AKR1B1	1186.4734	AKR1B1	1650.7055
AKR1C1	499.1948	AKR1C1	148.6669
AKR1C2	408.0515	AKR1C2	386.7575
AKR1C3	661.1916	AKR1C3	358.8126
AKR1D1	6.1192	AKR1D1	84.6731
AKR1E2	18.0354	AKR1E2	24.871
AKR7A2	1162.3188	AKR7A2	1073.6432
AKR7A3	132.3671	AKR7A3	69.5828
AKR7L	20.6119	AKR7L	18.1642
AKT1S1	1003.2206	AKT1S1	814.035
AKT1	2780.3543	AKT1	3689.0068
AKT2	2817.7134	AKT2	2221.6199
removed	removed	AKT3	736.9071
AKTIP	606.4895	AKTIP	566.527
ALAD	1114.0097	ALAD	1533.8958
ALAS1	718.5185	ALAS1	891.4424
ALB	10.9501	ALB	111.7796
ALCAM	5918.1965	ALCAM	5979.0916
ALDH16A1	474.3961	ALDH16A1	511.6712
ALDH18A1	1790.3382	ALDH18A1	2217.987
ALDH1A1	3340.0966	ALDH1A1	1719.1705
ALDH1A2	329.1465	ALDH1A2	525.0847
ALDH1A3	699.6747	ALDH1A3	1269.0619
ALDH1B1	540.0966	ALDH1B1	938.1104
ALDH1L1	253.4622	ALDH1L1	43.8735
ALDH1L2	725.9259	ALDH1L2	442.0884
ALDH2	3990.9823	ALDH2	1528.3068
removed	removed	ALDH3A1	21.2381
ALDH3A2	2186.1514	ALDH3A2	1465.4308
ALDH3B1	203.5427	ALDH3B1	248.4302
ALDH3B2	3823.8325	ALDH3B2	3257.8169
ALDH4A1	597.7456	ALDH4A1	1171.4504
ALDH5A1	342.9952	ALDH5A1	585.4457
ALDH6A1	806.8631	ALDH6A1	513.7894
ALDH7A1	2154.9114	ALDH7A1	3965.1024
ALDH8A1	39.9356	ALDH8A1	20.6792
ALDH9A1	3099.1948	ALDH9A1	4409.9853
ALDOA	21437.6812	ALDOA	13577.0315
ALDOC	345.8937	ALDOC	532.071
ALG10B	425.1208	ALG10B	333.6622
ALG10	148.4702	ALG10	117.648
ALG11	24.4767	ALG11	15.3697
ALG12	480.1932	ALG12	547.7201
ALG13	550.4026	ALG13	589.9169
ALG14	211.5942	ALG14	165.4338
ALG1	594.6184	ALG1	647.8188
ALG2	681.1594	ALG2	934.4776
ALG3	721.7391	ALG3	743.3344
ALG5	742.351	ALG5	630.7165
ALG6	339.4525	ALG6	330.5882
ALG8	1068.9211	ALG8	922.7407
ALG9	673.43	ALG9	592.9909
ALKBH1	253.7842	ALKBH1	227.751
ALKBH2	246.6989	ALKBH2	354.9003
ALKBH3	332.6892	ALKBH3	316.3363
ALKBH4	257.2335	ALKBH4	242.1202
ALKBH5	2159.0016	ALKBH5	2116.4911
ALKBH6	68.9211	ALKBH6	67.3472
ALKBH7	373.913	ALKBH7	401.2888
ALKBH8	289.211	ALKBH8	292.5831
ALMS1P	6.4412	removed	removed
ALMS1	790.6602	ALMS1	769.0438
removed	removed	ALOX12P2	17.3258
removed	removed	ALOX12	6.7068
ALOX15B	4152.3349	ALOX15B	8091.4469
removed	removed	ALOX15	66.5089
ALOX5AP	453.7842	ALOX5AP	621.2152
ALOX5	568.1159	ALOX5	634.3493
ALOXE3	8.0515	ALOXE3	5.0301
ALPK1	635.1047	ALPK1	794.7531
ALPK2	15.781	ALPK2	84.9525
ALPK3	394.2029	ALPK3	227.4715
ALPL	252.818	ALPL	636.3055
ALS2CL	128.1804	ALS2CL	280.5668
ALS2CR4	688.8889	ALS2CR4	1013.8411
ALS2CR8	193.2367	ALS2CR8	192.5404
ALS2	573.913	ALS2	639.3794
removed	removed	ALX1	5.3095
ALX3	27.0531	ALX3	37.7256
ALX4	22.2222	ALX4	287.8325
AMACR	289.8551	AMACR	316.3363
AMBP	35.4267	AMBP	18.7231
AMBRA1	1033.4944	AMBRA1	1026.6958
AMD1	2450.6634	AMD1	2424.7066
AMDHD1	38.0032	AMDHD1	17.6053
AMDHD2	171.9936	AMDHD2	166.3141
AMFR	2444.7665	AMFR	3265.0826
removed	removed	AMH	12.2958
AMICA1	463.7681	AMICA1	414.7024
AMIGO1	155.8776	AMIGO1	164.5955
AMIGO2	428.9855	AMIGO2	1636.4508
AMIGO3	80.8374	AMIGO3	83.8347
AMMECR1L	833.1723	AMMECR1L	913.2395
AMMECR1	468.277	AMMECR1	378.374
AMN1	215.4589	AMN1	144.4752
AMOTL1	2249.5974	AMOTL1	2541.0301
AMOTL2	1923.6715	AMOTL2	1684.2394
AMOT	797.1014	AMOT	1343.591
AMPD1	108.8567	AMPD1	84.3936
AMPD2	677.2947	AMPD2	897.5903
AMPD3	239.9356	AMPD3	317.7336
AMPH	215.4589	AMPH	745.2906
AMT	70.8084	AMT	149.6338
AMY1A	7.0853	AMY1A	12.0163
AMY2B	212.6055	AMY2B	197.3357
AMZ1	15.4589	AMZ1	27.1066
AMZ2P1	178.0998	AMZ2P1	155.6531
AMZ2	1268.277	AMZ2	964.3786
ANAPC10	116.2641	ANAPC10	99.4839
ANAPC11	862.1578	ANAPC11	737.1866
ANAPC13	1374.2576	ANAPC13	1134.2333
ANAPC16	2522.7053	ANAPC16	1986.0443
ANAPC1	859.5813	ANAPC1	1041.5066
ANAPC2	553.3011	ANAPC2	631.8343
ANAPC4	520.1288	ANAPC4	496.8604
ANAPC5	2380.0322	ANAPC5	2266.0523
ANAPC7	890.1771	ANAPC7	1016.0767
ANGEL1	812.8824	ANGEL1	766.8082
ANGEL2	777.4557	ANGEL2	650.8368
ANGPT1	254.1063	ANGPT1	102.8372
