gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
ACYP1	36.0036	ACYP1	53.6326
ACYP2	136.8137	ACYP2	146.6152
ADAL	160.216	ADAL	183.3418
ADAM10	1378.9379	ADAM10	2257.8153
ADAM11	8.1008	ADAM11	8.453
ADAM12	2568.8569	ADAM12	518.837
ADAM15	5064.856	ADAM15	3439.28
ADAM17	648.5149	ADAM17	1074.1092
ADAM19	619.2619	ADAM19	60.6281
ADAM21	5.4005	removed	removed
ADAM22	87.7588	ADAM22	47.22
ADAM23	108.0108	ADAM23	32.6459
ADAM28	131.4131	ADAM28	115.4267
ADAM29	56.2556	ADAM29	6.7041
removed	removed	ADAM2	31.7715
removed	removed	ADAM32	6.7041
ADAM33	30.6031	ADAM33	222.8055
ADAM6	53400.0225	ADAM6	9364.276
ADAM8	552.2052	ADAM8	112.5118
ADAM9	1116.1116	ADAM9	3324.6375
ADAMDEC1	305.5806	ADAMDEC1	76.3681
ADAMTS10	144.9145	ADAMTS10	51.8837
ADAMTS12	697.1197	ADAMTS12	94.44
removed	removed	ADAMTS13	52.4667
ADAMTS14	136.3636	ADAMTS14	7.287
ADAMTS15	227.7228	ADAMTS15	821.9777
ADAMTS16	20.252	ADAMTS16	76.9511
ADAMTS17	26.5527	ADAMTS17	88.9018
ADAMTS18	13.9514	ADAMTS18	90.6507
removed	removed	ADAMTS19	11.3678
ADAMTS1	2090.9091	ADAMTS1	4572.1781
ADAMTS2	669.667	ADAMTS2	338.1185
ADAMTS3	34.2034	ADAMTS3	93.857
ADAMTS4	1058.9559	ADAMTS4	375.7196
ADAMTS5	216.0216	ADAMTS5	1856.4454
ADAMTS6	60.7561	ADAMTS6	17.1974
ADAMTS7	308.7309	ADAMTS7	36.1437
ADAMTS8	67.5068	ADAMTS8	254.1718
ADAMTS9	639.514	ADAMTS9	425.8544
ADAMTSL1	234.0234	ADAMTSL1	134.0815
ADAMTSL2	311.4311	ADAMTSL2	19.2378
ADAMTSL3	174.6175	ADAMTSL3	220.0685
ADAMTSL4	102.6103	ADAMTSL4	305.764
ADAMTSL5	64.3564	ADAMTSL5	107.8481
ADAP1	92.5878	ADAP1	111.171
ADAP2	544.1044	ADAP2	105.2248
ADARB1	703.4203	ADARB1	559.9359
removed	removed	ADARB2	18.6548
ADAR	12928.8929	ADAR	7324.0545
ADAT1	181.3681	ADAT1	454.4196
ADAT2	67.9568	ADAT2	82.1978
ADAT3	30.6031	ADAT3	38.767
ADA	192.6193	ADA	42.5563
ADCK1	146.7147	ADCK1	223.2748
ADCK2	940.5941	ADCK2	783.2107
ADCK4	506.3006	ADCK4	463.164
ADCK5	99.4599	ADCK5	90.6507
removed	removed	ADCY10	78.7
ADCY1	368.1368	ADCY1	1060.9925
ADCY2	65.7066	ADCY2	183.3418
ADCY3	1169.3519	ADCY3	834.0917
ADCY4	283.0783	ADCY4	150.1129
ADCY5	67.9568	ADCY5	246.0103
ADCY6	778.1278	ADCY6	2056.1102
ADCY7	482.4482	ADCY7	244.8444
ADCY9	688.1188	ADCY9	963.9292
ADCYAP1R1	11.2511	ADCYAP1R1	7.87
ADCYAP1	18.0018	ADCYAP1	18.3633
ADC	184.5185	ADC	91.2337
ADD1	5678.6679	ADD1	5312.2495
ADD2	38.2538	ADD2	18.6548
ADD3	2151.2151	ADD3	9499.9636
ADH1A	13.9514	ADH1A	8.453
ADH1B	1404.5905	ADH1B	625.8107
ADH1C	133.2133	ADH1C	372.5133
removed	removed	ADH4	6.1211
ADH5	2172.8173	ADH5	2356.0446
ADH7	243.4743	ADH7	13.1167
ADHFE1	22.0522	ADHFE1	176.9292
ADI1	2059.856	ADI1	2017.3431
ADIPOQ	1484.2484	ADIPOQ	288.8581
ADIPOR1	6150.7651	ADIPOR1	2925.0164
ADIPOR2	4783.9784	ADIPOR2	2154.3394
ADK	223.6724	ADK	386.2129
ADM2	290.7291	ADM2	125.0455
ADM	333.9334	ADM	133.79
ADNP2	686.3186	ADNP2	694.0173
ADNP	3044.1044	ADNP	2940.7564
ADORA1	249.775	ADORA1	317.4233
ADORA2A	701.1701	ADORA2A	55.0842
ADORA2B	23.4023	ADORA2B	52.4667
ADORA3	267.3267	ADORA3	115.7181
ADO	683.1683	ADO	747.6499
ADPGK	1082.1512	ADPGK	799.4957
ADPRHL1	81.4581	ADPRHL1	135.2474
ADPRHL2	981.0981	ADPRHL2	619.1066
ADPRH	360.9361	ADPRH	296.4366
ADRA1A	5.8506	ADRA1A	9.9104
ADRA1B	42.3042	ADRA1B	17.1974
ADRA1D	6.7507	removed	removed
ADRA2A	259.676	ADRA2A	1247.5406
ADRA2B	19.802	ADRA2B	27.1078
ADRA2C	59.4059	ADRA2C	30.3141
ADRB1	6.7507	ADRB1	9.3274
ADRB2	99.91	ADRB2	119.5074
ADRBK1	3603.5104	ADRBK1	1388.3262
ADRBK2	1018.0018	ADRBK2	854.6236
ADRM1	2299.2799	ADRM1	1168.2577
removed	removed	ADSL	792.5381
ADSSL1	118.8119	ADSSL1	146.9067
ADSS	1399.1899	ADSS	1555.0536
AEBP1	19806.4806	AEBP1	2914.5231
AEBP2	464.8965	AEBP2	761.3496
AEN	588.6589	AEN	631.6403
AES	9541.4041	AES	5527.3628
AFAP1L1	426.6427	AFAP1L1	146.9067
AFAP1L2	2690.369	AFAP1L2	1174.9617
AFAP1	2112.0567	AFAP1	1439.3063
AFF1	1839.3339	AFF1	3266.6327
AFF2	37.3537	AFF2	37.0181
AFF3	3372.6373	AFF3	4591.9988
AFF4	2600.8101	AFF4	4796.6188
AFG3L1	163.3663	AFG3L1	213.0729
AFG3L2	1216.3906	AFG3L2	1583.9131
AFMID	401.8902	AFMID	4244.2615
removed	removed	AFP	9.9104
AFTPH	2682.7183	AFTPH	2148.8013
AG2	337.5338	AG2	290.024
AGAP11	20.252	AGAP11	64.7497
AGAP1	234.0234	AGAP1	501.6396
AGAP2	237.1242	AGAP2	67.5421
AGAP3	1357.3357	AGAP3	1123.661
AGAP4	76.0576	AGAP4	116.3011
AGAP5	34.505	AGAP5	81.2126
AGAP6	67.5068	AGAP6	72.5789
AGAP7	25.2025	AGAP7	22.4441
AGAP8	31.9532	AGAP8	17.4889
AGA	421.6922	AGA	905.9244
AGBL2	11.7012	AGBL2	11.0763
AGBL4	5.8506	removed	removed
AGBL5	482.0027	AGBL5	622.6248
AGER	18.0018	AGER	20.6952
AGFG1	1760.126	AGFG1	1948.845
AGFG2	384.3384	AGFG2	427.0203
AGGF1	919.892	AGGF1	952.8529
AGK	472.9973	AGK	530.4962
