gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
IL10RA	189.7161	IL10RA	947.8138
IL10RB	658.1185	IL10RB	1010.8999
removed	removed	IL10	36.4833
IL11RA	106.4155	IL11RA	461.4951
IL11	13.0839	IL11	7.8984
IL12RB1	10.9032	IL12RB1	47.0146
IL12RB2	192.3329	IL12RB2	59.0503
IL13RA1	5707.6192	IL13RA1	3250.0235
IL13RA2	8.2864	IL13RA2	11.6596
IL15RA	47.1019	IL15RA	323.0842
IL15	22.6787	IL15	71.4622
IL16	317.5019	IL16	875.9756
removed	removed	IL17B	58.2981
IL17D	6.5201	IL17D	96.914
IL17RA	206.7251	IL17RA	396.0508
IL17RB	407.7805	IL17RB	324.2125
IL17RC	612.7611	IL17RC	874.4711
IL17RD	1171.8784	IL17RD	813.9163
IL17RE	39.6877	IL17RE	640.9027
IL18BP	108.583	IL18BP	345.5797
IL18R1	17.009	IL18R1	52.2802
removed	removed	IL18RAP	18.4297
IL18	133.0193	IL18	109.0738
IL1B	39.6877	IL1B	44.0056
IL1R1	783.2875	IL1R1	2897.6023
removed	removed	IL1R2	22.567
removed	removed	IL1RAPL2	6.0179
IL1RAP	135.6361	IL1RAP	133.1453
removed	removed	IL1RL1	7.8984
IL1RL2	5.2335	IL1RL2	14.6685
IL1RN	340.6167	IL1RN	919.6051
IL20RA	1463.6487	IL20RA	860.5548
IL20RB	11.7755	IL20RB	26.7043
IL20	16.5729	removed	removed
IL21R	53.5087	IL21R	43.9154
IL22RA1	10.031	IL22RA1	34.2266
removed	removed	IL22RA2	11.6596
IL23A	6.1058	IL23A	7.1462
IL24	8.7008	IL24	8.2896
IL27RA	162.24	IL27RA	502.4918
IL28RA	111.2129	IL28RA	109.826
IL2RA	9.5948	IL2RA	24.4476
IL2RB	61.058	IL2RB	367.4659
IL2RG	119.0632	IL2RG	607.8044
IL32	1312.3119	IL32	1053.8787
IL33	34.4542	IL33	1331.4528
IL34	113.3935	IL34	462.2473
IL3RA	51.0271	IL3RA	362.2003
IL4I1	121.5491	IL4I1	125.9614
IL4R	937.241	IL4R	1266.3846
IL6R	62.3664	IL6R	289.9859
IL6ST	10772.8204	IL6ST	1120.8275
removed	removed	IL6	186.1777
IL7R	33.5819	IL7R	90.268
IL7	21.8064	IL7	46.6385
IL8	56.2606	IL8	95.9097
ILDR1	321.427	ILDR1	168.1241
ILF2	5383.5754	ILF2	2970.945
ILF3	4742.0297	ILF3	4357.3108
ILKAP	378.1238	ILKAP	371.6032
ILK	1846.5698	ILK	3413.6342
ILVBL	790.2656	ILVBL	1512.7409
IMMP1L	114.8284	IMMP1L	63.9323
IMMP2L	153.0813	IMMP2L	183.5449
IMMT	2550.4819	IMMT	2036.6714
IMP3	1051.0707	IMP3	1328.0677
IMP4	512.8876	IMP4	742.8303
IMPA1	300.0567	IMPA1	247.4847
IMPA2	164.8567	IMPA2	537.8467
IMPACT	1642.4615	IMPACT	936.1542
IMPAD1	3265.2972	IMPAD1	3239.4922
IMPDH1	915.4346	IMPDH1	1364.9271
IMPDH2	3080.8147	IMPDH2	3815.3268
IMPG1	16.5729	removed	removed
INADL	4637.3588	INADL	959.4734
removed	removed	INA	7.8984
INCA1	12.2116	INCA1	22.9431
INCENP	344.5418	INCENP	195.2045
INE1	20.0619	INE1	22.567
INE2	11.3742	INE2	22.2097
INF2	1060.6655	INF2	3479.8307
ING1	404.2523	ING1	322.5162
ING2	314.449	ING2	204.2313
ING3	163.1122	ING3	204.9835
ING4	652.0127	ING4	643.1594
ING5	415.1947	ING5	472.7786
INHA	5.6697	removed	removed
INHBA	630.2063	INHBA	9.779
INHBB	1383.4009	INHBB	2433.0983
INMT	17.009	INMT	489.3277
INO80B	137.8865	INO80B	319.1161
INO80C	177.0683	INO80C	225.67
INO80D	807.231	INO80D	489.1171
INO80E	526.2986	INO80E	697.2449
INO80	894.9365	INO80	741.7019
INPP1	138.2529	INPP1	435.543
INPP4A	498.9315	INPP4A	521.2976
INPP4B	1431.3751	INPP4B	311.8007
INPP5A	457.9354	INPP5A	667.9831
INPP5B	534.2579	INPP5B	500.9873
INPP5D	224.1703	INPP5D	829.3371
INPP5E	161.3677	INPP5E	288.1053
INPP5F	392.0799	INPP5F	381.0061
INPP5J	776.3095	INPP5J	377.9972
INPP5K	911.0733	INPP5K	1801.2224
INPPL1	1369.0087	INPPL1	1540.9497
INSIG1	735.3134	INSIG1	1017.3954
INSIG2	753.6308	INSIG2	531.8289
removed	removed	INSM1	6.7701
INSR	2348.9904	INSR	2191.2553
INTS10	1092.0668	INTS10	1304.3724
INTS12	752.3224	INTS12	423.5073
INTS1	1648.1312	INTS1	2467.701
INTS2	320.9909	INTS2	256.8876
INTS3	3699.2455	INTS3	1953.1735
INTS4L1	22.2426	INTS4L1	22.9431
INTS4L2	17.4452	INTS4L2	18.0536
INTS4	493.2618	INTS4	444.5698
INTS5	884.9056	INTS5	786.4598
INTS6	1302.281	INTS6	505.1246
INTS7	1452.7454	INTS7	313.3051
INTS8	970.6442	INTS8	493.0174
INTS9	557.3728	INTS9	440.0564
INTU	219.3728	INTU	92.5247
INVS	184.9187	INVS	203.4791
IP6K1	1441.4061	IP6K1	1608.2746
IP6K2	1705.7002	IP6K2	1500.3291
removed	removed	IP6K3	22.1909
IPCEF1	20.0619	IPCEF1	41.3728
IPMK	56.2606	IPMK	18.4297
IPO11	938.9856	IPO11	621.9126
IPO13	897.5533	IPO13	832.346
IPO4	1053.6962	IPO4	908.8594
IPO5	3024.9902	IPO5	3327.5035
IPO7	4533.124	IPO7	2452.6563
IPO8	1603.646	IPO8	1313.7753
IPO9	3002.3115	IPO9	1637.6117
IPPK	588.6127	IPPK	363.7875
IPP	461.4244	IPP	141.796
IPW	194.4045	IPW	270.0517
IQCA1	52.7716	IQCA1	78.2323
IQCB1	514.196	IQCB1	471.6502
IQCC	136.0722	IQCC	85.7546
IQCD	85.9174	IQCD	45.5101
IQCE	1034.9339	IQCE	602.5388
IQCG	536.8747	IQCG	255.3832
IQCH	119.1417	IQCH	36.8594
IQCJ	23.5117	removed	removed
IQCK	924.5933	IQCK	416.7372
IQGAP1	13327.2275	IQGAP1	6290.174
IQGAP2	3678.3113	IQGAP2	1401.0343
IQGAP3	357.6257	IQGAP3	51.528
IQSEC1	1177.9842	IQSEC1	3101.4575
IQSEC2	384.6657	IQSEC2	469.7696
IQSEC3	12.6477	IQSEC3	177.527
IQUB	78.5032	IQUB	16.5491
IRAK1BP1	47.8346	IRAK1BP1	18.2717
IRAK1	1262.1571	IRAK1	2404.1373
IRAK2	90.2787	IRAK2	195.5806
IRAK3	90.7148	IRAK3	407.3343
IRAK4	682.5418	IRAK4	429.9013
IREB2	1520.7815	IREB2	953.4556
IRF1	802.8392	IRF1	808.0903
IRF2BP1	604.4747	IRF2BP1	807.8984
IRF2BP2	9313.5331	IRF2BP2	5390.1269
IRF2	847.3985	IRF2	940.6676
IRF3	521.7803	IRF3	835.197
IRF4	8.2864	IRF4	203.4791
IRF5	93.3316	IRF5	224.9177
IRF6	4050.7654	IRF6	874.8472
IRF7	482.3586	IRF7	272.6845
IRF8	142.178	IRF8	604.4194
IRF9	1368.1364	IRF9	900.047
IRGQ	690.8282	IRGQ	768.4062
IRS1	1927.6898	IRS1	1276.9158
IRS2	256.0077	IRS2	2233.3803
IRX1	95.5122	IRX1	500.9873
IRX2	873.1301	IRX2	757.1227
IRX3	1560.0331	IRX3	1482.6516
IRX4	11.7755	IRX4	63.1876
IRX5	1087.7055	IRX5	496.0978
IRX6	6.5419	IRX6	198.9657
ISCA1P1	65.4193	ISCA1P1	72.9666
ISCA1	690.3921	ISCA1	999.7179
ISCA2	350.2115	ISCA2	337.3766
ISCU	1022.7223	ISCU	2254.4429
ISG15	625.845	ISG15	444.5698
ISG20L2	1400.8461	ISG20L2	731.5468
ISG20	68.0361	ISG20	191.0672
removed	removed	ISL1	16.173
ISLR2	13.9561	ISLR2	72.5905
ISLR	2244.7555	ISLR	5841.843
ISM1	147.4116	ISM1	695.8157
ISOC1	639.365	ISOC1	790.5971
ISOC2	443.107	ISOC2	658.5802
ISPD	107.2877	ISPD	42.1251
ISY1	526.3029	ISY1	696.5679
ISYNA1	1092.9391	ISYNA1	767.2779
ITCH	1314.9287	ITCH	943.3004
ITFG1	698.6785	ITFG1	1002.7268
ITFG2	501.5483	ITFG2	593.1359
ITFG3	2183.6931	ITFG3	3484.9535
ITGA10	41.8684	ITGA10	73.3427
ITGA11	2155.7853	ITGA11	670.2398
ITGA1	372.018	ITGA1	999.5449
ITGA2	1364.6474	ITGA2	513.7753
ITGA3	1395.6125	ITGA3	2138.2228
ITGA4	234.1489	ITGA4	236.8895
ITGA5	1558.7248	ITGA5	2687.3531
ITGA6	2620.6987	ITGA6	3203.0089
ITGA7	62.8026	ITGA7	6310.1081
ITGA8	22.2426	ITGA8	15.0447
ITGA9	150.9006	ITGA9	191.8195
removed	removed	ITGAD	18.0536
ITGAE	150.0283	ITGAE	329.4781
ITGAL	258.6244	ITGAL	563.7988
ITGAM	1612.8047	ITGAM	819.1819
ITGAV	6205.6784	ITGAV	3504.2783
ITGAX	207.5974	ITGAX	549.8825
ITGB1BP1	474.5083	ITGB1BP1	3796.5209
ITGB1	11063.2823	ITGB1	15398.5896
ITGB2	1118.7317	ITGB2	3948.0959
ITGB3BP	244.2322	ITGB3BP	183.921
ITGB3	108.16	ITGB3	283.5919
ITGB4	2710.9774	ITGB4	3993.2299
ITGB5	4605.0853	ITGB5	8173.7659
ITGB6	2328.4923	ITGB6	856.7936
ITGB7	33.1458	ITGB7	221.9088
ITGB8	3205.9837	ITGB8	573.5778
ITGBL1	976.9288	ITGBL1	381.3822
removed	removed	ITIH3	13.9163
ITIH4	23.9871	ITIH4	65.8204
ITIH5L	99.0013	ITIH5L	26.7043
ITIH5	104.2348	ITIH5	13662.8115
ITK	12.6477	ITK	78.9845
ITM2A	126.0413	ITM2A	1310.3902
ITM2B	10188.8438	ITM2B	15807.0522
ITM2C	512.4515	ITM2C	1700.047
ITPA	597.4966	ITPA	634.8848
ITPK1	949.8888	ITPK1	4667.607
ITPKB	1546.9493	ITPKB	1885.8486
ITPKC	648.9598	ITPKC	1086.977
ITPR1	5037.7252	ITPR1	2206.3
ITPR2	1251.69	ITPR2	1367.1838
ITPR3	1268.324	ITPR3	1108.3742
ITPRIPL1	7.8503	ITPRIPL1	66.9488
ITPRIPL2	2817.829	ITPRIPL2	1669.5816
ITPRIP	523.3547	ITPRIP	1161.0719
ITSN1	503.7289	ITSN1	2943.1124
ITSN2	1061.5378	ITSN2	951.9511
IVD	2538.7064	IVD	2268.3592
removed	removed	IVL	5.2656
IVNS1ABP	2104.7582	IVNS1ABP	2031.0296
IWS1	1089.0139	IWS1	998.5896
removed	removed	IYD	141.796
JAG1	1577.0422	JAG1	1838.0818
JAG2	299.1844	JAG2	1085.8486
JAGN1	592.2631	JAGN1	998.5896
JAK1	3787.7797	JAK1	5744.4288
JAK2	495.0063	JAK2	359.5675
JAK3	51.8993	JAK3	196.709
JAKMIP1	6.1058	JAKMIP1	5.2656
JAKMIP2	6.5419	JAKMIP2	7.1462
JAKMIP3	87.6619	JAKMIP3	33.0983
JAM2	80.6839	JAM2	724.7767
JAM3	396.8773	JAM3	1061.401
JARID2	723.5379	JARID2	470.898
JAZF1	263.858	JAZF1	579.5957
JDP2	461.4244	JDP2	878.6084
JHDM1D	576.1263	JHDM1D	723.2722
JKAMP	1285.7081	JKAMP	845.134
JMJD1C	1323.4594	JMJD1C	1092.9948
JMJD4	584.7311	JMJD4	546.0273
JMJD5	164.4206	JMJD5	94.0291
JMJD6	249.9019	JMJD6	360.6958
JMJD7-PLA2G4B	367.2206	JMJD7-PLA2G4B	519.7931
JMJD8	2062.9029	JMJD8	1955.7574
JMY	682.5418	JMY	469.0174
JOSD1	1079.8552	JOSD1	1378.4673
JOSD2	120.3716	JOSD2	297.1321
JPH1	108.5961	JPH1	47.0146
JPH2	56.6968	JPH2	474.6591
JPH3	10.4671	JPH3	6.394
JPH4	5.6697	JPH4	42.5012
JRKL	140.4335	JRKL	274.189
JRK	228.0954	JRK	363.7047
removed	removed	JSRP1	24.8237
JTB	3086.4844	JTB	2508.3216
JUB	571.3289	JUB	392.2896
JUNB	1539.5351	JUNB	4182.4165
JUND	1912.8614	JUND	5218.6178
JUN	6465.6112	JUN	9885.4725
JUP	7209.6472	JUP	6867.1368
KAL1	2220.3323	KAL1	413.7283
KALRN	222.4257	KALRN	523.5543
KANK1	1046.2733	KANK1	3950.7287
removed	removed	KANK2	4130.5125
KANK3	36.1987	KANK3	602.5388
KANK4	285.2283	KANK4	499.859
KARS	1370.7532	KARS	2746.0273
KAT2A	689.5198	KAT2A	678.8905
KAT2B	255.5715	KAT2B	655.1951
KAT5	999.8692	KAT5	1161.0682
KATNA1	274.7612	KATNA1	364.0809
KATNAL1	379.8683	KATNAL1	509.2619
KATNAL2	76.7587	KATNAL2	119.6051
KATNB1	226.3509	KATNB1	406.2059
KAZALD1	33.9003	KAZALD1	97.5157
KAZ	877.3126	KAZ	914.772
KBTBD10	60.8095	KBTBD10	23.3192
KBTBD11	46.6658	KBTBD11	210.2492
removed	removed	KBTBD12	6.7701
KBTBD2	1185.3984	KBTBD2	1040.3385
KBTBD3	221.9896	KBTBD3	115.4678
KBTBD4	733.0498	KBTBD4	412.8782
KBTBD6	586.5934	KBTBD6	408.8387
KBTBD7	303.9819	KBTBD7	122.2379
KBTBD8	14.8284	KBTBD8	46.2623
KCMF1	990.4488	KCMF1	1235.9191
removed	removed	KCNA1	28.2087
removed	removed	KCNA2	9.0268
removed	removed	KCNA3	19.9342
removed	removed	KCNA5	16.173
KCNA6	12.2116	KCNA6	57.5458
KCNAB1	35.3264	KCNAB1	132.0169
KCNAB2	84.609	KCNAB2	409.591
removed	removed	KCNAB3	5.2656
removed	removed	KCNB1	108.3216
KCNB2	11.3394	KCNB2	6.0179
KCNC2	745.3443	KCNC2	50.3996
KCNC3	194.0774	KCNC3	186.1777
KCNC4	68.4722	KCNC4	327.9737
KCND1	26.1677	KCND1	94.4053
KCND2	764.534	KCND2	208.3686
KCND3	90.7148	KCND3	33.0983
removed	removed	KCNE1L	21.4386
KCNE1	5.2335	KCNE1	86.1307
removed	removed	KCNE2	8.2746
KCNE3	66.2916	KCNE3	276.0696
KCNE4	6603.8641	KCNE4	1166.7137
removed	removed	KCNF1	14.2924
KCNG1	9.1587	KCNG1	18.4297
KCNH1	385.1018	KCNH1	37.9878
KCNH2	8.7226	KCNH2	15.4208
KCNH3	13.9561	KCNH3	31.2177
removed	removed	KCNH8	34.9788
removed	removed	KCNIP1	15.7969
KCNIP2	10.031	KCNIP2	2579.7837
KCNIP3	61.058	KCNIP3	99.2948
KCNIP4	22.6787	KCNIP4	14.2924
removed	removed	KCNJ10	12.0357
KCNJ11	790.2656	KCNJ11	296.3799
KCNJ12	14.8284	KCNJ12	100.047
KCNJ13	7.4142	removed	removed
KCNJ14	26.6039	KCNJ14	42.1251
KCNJ15	39.2516	KCNJ15	43.2534
removed	removed	KCNJ16	193.3239
KCNJ2	89.8426	KCNJ2	240.7146
KCNJ3	17.009	KCNJ3	5.2656
KCNJ5	47.9742	KCNJ5	76.3517
KCNJ6	23.1148	removed	removed
KCNJ8	73.7058	KCNJ8	420.1222
KCNK13	28.3484	KCNK13	39.1161
KCNK15	52.3355	KCNK15	149.3183
KCNK16	7.4142	removed	removed
KCNK17	133.8916	KCNK17	58.2981
KCNK1	71.5251	KCNK1	123.3662
KCNK2	56.6968	KCNK2	224.9177
removed	removed	KCNK3	154.5839
KCNK5	29.6568	KCNK5	82.7457
KCNK6	351.956	KCNK6	268.9234
removed	removed	KCNK7	8.2746
KCNMA1	1189.7597	KCNMA1	705.2186
KCNMB1	27.04	KCNMB1	500.2351
KCNMB3	59.3135	KCNMB3	64.6921
KCNMB4	101.618	KCNMB4	66.1965
removed	removed	KCNN2	8.6507
KCNN3	14.3923	KCNN3	19.5581
KCNN4	122.1161	KCNN4	373.4838
KCNQ1OT1	123.5161	KCNQ1OT1	94.7814
KCNQ1	116.3548	KCNQ1	266.2906
KCNQ3	8.7226	removed	removed
removed	removed	KCNQ4	5.6417
KCNQ5	256.4438	KCNQ5	18.0536
KCNRG	5.9924	KCNRG	5.6455
removed	removed	KCNS1	21.4386
KCNS3	689.956	KCNS3	357.6869
KCNT2	11.3394	KCNT2	11.2835
removed	removed	KCP	8.3159
KCTD10	1178.8565	KCTD10	2556.4645
KCTD11	464.9134	KCTD11	639.7743
KCTD12	2000.0872	KCTD12	5820.7804
KCTD13	337.1277	KCTD13	218.1476
KCTD14	19.1897	KCTD14	242.9713
KCTD15	372.018	KCTD15	394.1702
KCTD17	117.7548	KCTD17	183.5449
KCTD18	541.236	KCTD18	498.3545
KCTD1	1197.61	KCTD1	606.6761
KCTD20	1667.3209	KCTD20	1590.5971
KCTD21	499.8037	KCTD21	414.8566
KCTD2	867.0243	KCTD2	1423.9774
KCTD3	6903.9208	KCTD3	1816.6432
KCTD5	523.7908	KCTD5	467.5129
KCTD6	430.4592	KCTD6	168.5002
KCTD7	279.5586	KCTD7	364.3253
KCTD9	643.2902	KCTD9	777.433
KDELC1	179.249	KDELC1	78.6084
KDELC2	1067.2075	KDELC2	1236.6714
KDELR1	3363.4262	KDELR1	4009.779
KDELR2	4799.1626	KDELR2	5511.6126
KDELR3	523.7908	KDELR3	521.6737
KDM1A	2051.1143	KDM1A	1369.8166
KDM1B	961.6643	KDM1B	333.9915
KDM2A	3530.4636	KDM2A	2661.7772
KDM2B	718.9018	KDM2B	558.5858
KDM3A	1362.4667	KDM3A	951.9511
KDM3B	2830.9128	KDM3B	2131.4528
KDM4A	2198.0898	KDM4A	1176.8688
KDM4B	2899.8212	KDM4B	1674.4711
KDM4C	662.4798	KDM4C	517.9126
KDM4D	25.2955	KDM4D	30.0893
KDM5A	2080.3349	KDM5A	1107.6634
KDM5B	6048.2359	KDM5B	1503.338
KDM5C	2698.3296	KDM5C	2131.8289
KDM6A	1183.6539	KDM6A	637.8937
KDM6B	848.2707	KDM6B	889.5157
KDR	482.3586	KDR	1373.5778
KDSR	2156.2214	KDSR	1835.0729
KEAP1	1607.5712	KEAP1	1864.7861
KEL	40.56	KEL	29.7132
KERA	34.8903	KERA	15.0447
KGFLP1	17.009	removed	removed
KGFLP2	223.7952	KGFLP2	95.2854
KHDC1	22.0594	KHDC1	25.5759
KHDRBS1	4092.1977	KHDRBS1	3272.9666
KHDRBS3	115.138	KHDRBS3	222.2849
KHK	67.5695	KHK	211.3023
KHNYN	2717.4452	KHNYN	2192.8764
KHSRP	1540.8435	KHSRP	1884.7203
KIAA0020	644.5985	KIAA0020	470.5219
KIAA0040	7426.4032	KIAA0040	1908.4156
KIAA0087	5.2335	removed	removed
KIAA0090	1350.6913	KIAA0090	1041.843
KIAA0100	5523.2239	KIAA0100	5795.6295
KIAA0101	212.8309	KIAA0101	60.5548
KIAA0114	482.3586	KIAA0114	561.9182
removed	removed	KIAA0125	68.8293
KIAA0141	923.2849	KIAA0141	1304.7485
KIAA0146	878.3636	KIAA0146	792.4777
KIAA0174	2010.1182	KIAA0174	3181.5703
KIAA0182	1918.9672	KIAA0182	2823.5073
KIAA0195	1278.7823	KIAA0195	1761.7377
KIAA0196	1717.4757	KIAA0196	1213.7283
KIAA0226	660.7353	KIAA0226	602.1627
KIAA0232	1898.9053	KIAA0232	1550.3526
KIAA0240	1090.7584	KIAA0240	670.2398
KIAA0247	2407.8678	KIAA0247	1669.2055
KIAA0284	987.3959	KIAA0284	1469.1114
KIAA0317	880.1082	KIAA0317	689.7978
KIAA0319L	3257.8918	KIAA0319L	2157.4048
KIAA0319	106.8516	KIAA0319	11.2835
KIAA0355	621.0476	KIAA0355	863.1876
KIAA0368	3990.5796	KIAA0368	3269.9577
KIAA0391	826.2462	KIAA0391	485.7245
KIAA0406	587.4657	KIAA0406	412.2238
removed	removed	KIAA0408	274.1138
KIAA0415	330.5857	KIAA0415	621.3446
KIAA0427	774.1288	KIAA0427	2960.4137
KIAA0430	3016.2676	KIAA0430	2325.1528
KIAA0467	672.6111	KIAA0467	978.0085
KIAA0494	4621.5186	KIAA0494	3784.1091
KIAA0495	526.8437	KIAA0495	625.858
KIAA0513	297.8761	KIAA0513	493.8411
KIAA0528	1259.9764	KIAA0528	778.9375
KIAA0556	912.8178	KIAA0556	494.2172
KIAA0562	777.6179	KIAA0562	647.2967
KIAA0564	1347.6384	KIAA0564	711.9887
KIAA0586	589.2102	KIAA0586	247.4847
KIAA0649	734.4411	KIAA0649	573.2017
KIAA0652	1512.4951	KIAA0652	2391.7254
KIAA0664P3	32.2735	KIAA0664P3	22.9431
KIAA0664	1741.4628	KIAA0664	2353.3615
KIAA0748	5.6697	KIAA0748	37.6117
KIAA0753	716.9959	KIAA0753	283.5919
KIAA0754	117.7548	KIAA0754	129.7602
KIAA0776	1318.4177	KIAA0776	628.1147
KIAA0802	122.9884	KIAA0802	71.8383
KIAA0831	808.1469	KIAA0831	516.032
KIAA0892	986.5236	KIAA0892	1114.8096
KIAA0895L	117.1835	KIAA0895L	203.3173
KIAA0895	645.4708	KIAA0895	115.0917
KIAA0907	1341.5326	KIAA0907	517.9126
KIAA0913	1354.1803	KIAA0913	1407.4283
KIAA0922	249.9019	KIAA0922	715.3738
KIAA0947	1098.6087	KIAA0947	813.1641
KIAA1009	336.2554	KIAA1009	153.0795
KIAA1012	1505.9532	KIAA1012	837.9878
KIAA1024	49.7187	KIAA1024	22.567
KIAA1033	1277.8577	KIAA1033	798.1194
removed	removed	KIAA1045	55.2891
KIAA1107	198.0025	KIAA1107	107.9455
KIAA1109	2152.7323	KIAA1109	1458.9563
KIAA1143	838.2398	KIAA1143	616.4551
KIAA1147	1602.7738	KIAA1147	1017.3954
KIAA1161	307.0348	KIAA1161	309.1678
KIAA1191	2504.6884	KIAA1191	2113.023
KIAA1199	522.0463	KIAA1199	32.346
KIAA1211	515.0683	KIAA1211	27.0804
KIAA1217	3554.8868	KIAA1217	2562.7231
removed	removed	KIAA1239	17.6775
KIAA1244	2831.3489	KIAA1244	442.6892
KIAA1257	79.8814	KIAA1257	24.8575
KIAA1267	1496.7945	KIAA1267	969.6286
KIAA1274	185.3548	KIAA1274	367.4659
KIAA1279	1030.5726	KIAA1279	818.8058
KIAA1310	1870.1208	KIAA1310	1708.6977
KIAA1324L	429.1509	KIAA1324L	374.6121
KIAA1324	16812.7699	KIAA1324	6381.1942
KIAA1328	220.2451	KIAA1328	120.7334
KIAA1370	2504.6884	KIAA1370	997.4612
KIAA1377	454.8825	KIAA1377	391.9135
KIAA1383	139.1251	KIAA1383	59.0503
KIAA1407	449.6489	KIAA1407	206.8641
KIAA1409	5.2335	KIAA1409	7.5223
KIAA1429	1915.4782	KIAA1429	1345.3691
KIAA1430	1853.1118	KIAA1430	781.9464
KIAA1432	928.2219	KIAA1432	560.6657
KIAA1462	852.632	KIAA1462	1633.0983
KIAA1467	3922.5435	KIAA1467	980.9121
KIAA1468	963.8449	KIAA1468	504.7485
KIAA1522	6604.7364	KIAA1522	3171.7913
KIAA1524	96.8206	KIAA1524	28.5849
KIAA1529	54.9522	KIAA1529	84.2501
KIAA1530	218.0645	KIAA1530	111.3305
KIAA1539	371.1457	KIAA1539	570.1928
KIAA1543	522.0463	KIAA1543	419.37
KIAA1549	518.9934	KIAA1549	222.661
KIAA1586	147.4116	KIAA1586	147.8138
KIAA1598	2359.0213	KIAA1598	1168.9704
KIAA1609	194.5135	KIAA1609	338.8811
KIAA1614	29.9882	KIAA1614	117.6831
KIAA1632	1387.3261	KIAA1632	749.6004
KIAA1644	102.4903	KIAA1644	22.9431
KIAA1671	2154.4769	KIAA1671	2096.0978
KIAA1683	31.4013	KIAA1683	325.717
KIAA1704	514.462	KIAA1704	208.3836
KIAA1712	347.9916	KIAA1712	215.5148
KIAA1715	779.3624	KIAA1715	580.724
KIAA1731	563.9147	KIAA1731	176.8613
KIAA1737	1963.8885	KIAA1737	765.0212
KIAA1755	28.3484	KIAA1755	181.2882
KIAA1797	1066.7713	KIAA1797	854.1608
KIAA1804	52.3355	KIAA1804	39.4922
KIAA1826	304.8541	KIAA1826	304.6544
KIAA1841	314.449	KIAA1841	138.4109
KIAA1908	150.0283	KIAA1908	282.4636
KIAA1919	102.9264	KIAA1919	78.9845
KIAA1949	629.7702	KIAA1949	1324.3065
KIAA1958	103.7987	KIAA1958	17.6775
KIAA1967	2553.0987	KIAA1967	2274.3771
KIAA1984	6.1625	KIAA1984	24.4476
KIAA2013	1128.7016	KIAA2013	1589.0926
KIAA2018	1093.8113	KIAA2018	624.7297
KIAA2022	111.2129	KIAA2022	31.2177
KIAA2026	950.3249	KIAA2026	485.9426
KIDINS220	2328.0562	KIDINS220	1879.0785
KIF11	477.125	KIF11	101.5515
KIF12	587.0295	KIF12	327.9737
KIF13A	1625.8886	KIF13A	1284.0621
KIF13B	3558.3453	KIF13B	1864.0339
KIF14	92.4593	KIF14	11.6596
KIF15	76.7587	KIF15	9.779
KIF16B	1454.9261	KIF16B	749.2243
KIF17	10.031	KIF17	81.6173
KIF18A	68.9084	KIF18A	12.788
KIF18B	64.111	KIF18B	14.6685
removed	removed	KIF19	32.346
KIF1A	73.7058	KIF1A	19.1819
KIF1B	1186.7068	KIF1B	1425.858
KIF1C	1685.2021	KIF1C	5142.2661
KIF20A	237.2541	KIF20A	42.8773
KIF20B	329.7135	KIF20B	110.9544
KIF21A	460.116	KIF21A	185.4255
KIF21B	41.4322	KIF21B	184.2971
KIF22	1245.5842	KIF22	754.1138
KIF23	281.3032	KIF23	51.528
KIF24	225.0425	KIF24	59.8025
removed	removed	KIF25	15.7969
KIF26A	23.9871	KIF26A	347.5317
KIF26B	575.6902	KIF26B	28.2087
KIF27	198.8748	KIF27	28.5849
KIF2A	468.8386	KIF2A	305.0306
KIF2C	180.9935	KIF2C	73.3427
KIF3A	835.1869	KIF3A	176.3987
KIF3B	2770.2909	KIF3B	1759.0973
KIF3C	286.9728	KIF3C	451.3399
KIF4A	293.5148	KIF4A	27.8326
KIF5B	6211.7842	KIF5B	4272.6845
KIF5C	1487.1996	KIF5C	369.7226
KIF6	14.8284	KIF6	9.0268
KIF7	56.1909	KIF7	239.1199
KIF9	283.414	KIF9	132.7692
KIFAP3	1993.1092	KIFAP3	907.1932
KIFC1	218.0645	KIFC1	98.9187
KIFC2	297.0649	KIFC2	222.9431
KIFC3	152.6451	KIFC3	635.2609
KILLIN	23.1148	KILLIN	40.9967
KIN	255.5715	KIN	185.0494
KIRREL	182.3019	KIRREL	365.5853
KISS1R	8.2864	removed	removed
KITLG	1423.5248	KITLG	693.559
KIT	233.7651	KIT	1899.7649
KLB	9.1587	KLB	1270.898
KLC1	1076.1437	KLC1	1916.2313
KLC2	496.3147	KLC2	511.1425
KLC3	81.9922	KLC3	134.2736
KLC4	501.1819	KLC4	615.3681
KLF10	845.2178	KLF10	1824.9177
KLF11	443.107	KLF11	844.7579
KLF12	496.7508	KLF12	268.5472
KLF13	826.0282	KLF13	2422.567
removed	removed	KLF14	17.6775
KLF15	24.8593	KLF15	484.4382
KLF16	559.9895	KLF16	441.1848
KLF2	357.1896	KLF2	2594.4523
KLF3	1496.3583	KLF3	1232.8876
KLF4	728.7714	KLF4	3500.141
KLF5	483.2308	KLF5	474.6591
KLF6	3093.4624	KLF6	8030.4654
KLF7	92.4593	KLF7	53.0324
KLF8	553.0115	KLF8	389.6568
KLF9	1107.7675	KLF9	2910.0141
KLHDC10	1022.7223	KLHDC10	545.3691
KLHDC1	83.3006	KLHDC1	80.8651
