gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
AKAP10	470.5831	AKAP10	339.6333
AKAP11	2206.3762	AKAP11	1085.0964
AKAP12	356.7535	AKAP12	4303.9022
AKAP13	2892.8431	AKAP13	2685.8486
AKAP1	1148.7636	AKAP1	2126.9394
AKAP2	252.2831	AKAP2	1866.7419
AKAP3	20.0619	AKAP3	32.7221
AKAP5	661.1714	AKAP5	51.528
AKAP6	10.9032	AKAP6	59.4264
AKAP7	105.9793	AKAP7	194.8284
AKAP8L	812.072	AKAP8L	742.4542
AKAP8	627.5895	AKAP8	505.1246
AKAP9	5022.8968	AKAP9	1121.9558
AKD1	170.0903	AKD1	79.3606
AKIRIN1	1382.5287	AKIRIN1	1243.8176
AKIRIN2	450.085	AKIRIN2	1015.1387
removed	removed	AKNAD1	8.2746
AKNA	446.596	AKNA	1011.7536
AKR1A1	1876.2266	AKR1A1	2693.7471
removed	removed	AKR1B10	394.1702
removed	removed	AKR1B15	566.4316
AKR1B1	335.3831	AKR1B1	1440.9027
AKR1C1	17.8813	AKR1C1	7627.2685
removed	removed	AKR1C2	8429.5252
AKR1C3	73.2697	AKR1C3	4857.1697
removed	removed	AKR1D1	204.6074
removed	removed	AKR1E2	39.1161
AKR7A2	1198.9184	AKR7A2	1509.3559
AKR7A3	590.5186	AKR7A3	303.9022
AKR7L	49.7187	AKR7L	22.567
AKT1S1	824.7198	AKT1S1	1247.9549
AKT1	3922.5435	AKT1	3733.3333
AKT2	1676.0434	AKT2	4223.4133
AKT3	322.2993	AKT3	733.0512
AKTIP	453.8009	AKTIP	652.2238
ALAD	1829.1247	ALAD	2130.7005
ALAS1	1184.09	ALAS1	1266.3846
removed	removed	ALAS2	40.9967
removed	removed	ALB	531.4528
ALCAM	3914.6932	ALCAM	2896.4739
ALDH16A1	503.2928	ALDH16A1	920.3573
ALDH18A1	2310.611	ALDH18A1	1451.8101
ALDH1A1	166.6012	ALDH1A1	2341.3258
ALDH1A2	8.7226	ALDH1A2	525.0588
ALDH1A3	169.9289	ALDH1A3	1804.7428
ALDH1B1	806.8385	ALDH1B1	565.6794
removed	removed	ALDH1L1	1243.0654
ALDH1L2	351.956	ALDH1L2	256.5115
ALDH2	3295.8262	ALDH2	13807.9925
removed	removed	ALDH3A1	413.7283
ALDH3A2	2033.6692	ALDH3A2	3734.8378
ALDH3B1	108.16	ALDH3B1	409.591
ALDH3B2	7369.2704	ALDH3B2	5254.3488
ALDH4A1	618.4308	ALDH4A1	3307.1932
ALDH5A1	346.2864	ALDH5A1	616.8312
ALDH6A1	786.6632	ALDH6A1	381.2694
ALDH7A1	1287.8887	ALDH7A1	1637.9878
ALDH8A1	9.1587	ALDH8A1	14.2924
ALDH9A1	4825.7665	ALDH9A1	4010.9074
ALDOA	26743.4254	ALDOA	24610.8134
ALDOC	45.3574	ALDOC	2056.6055
ALG10B	437.0012	ALG10B	223.0371
ALG10	136.9445	ALG10	66.5726
ALG11	19.6258	ALG11	7.1462
ALG12	539.4915	ALG12	685.6606
ALG13	468.4025	ALG13	391.1613
ALG14	311.396	ALG14	302.3977
ALG1L	8.4609	ALG1L	10.0799
ALG1	776.1045	ALG1	633.9257
ALG2	917.6152	ALG2	847.3907
ALG3	512.8876	ALG3	768.0301
ALG5	548.2141	ALG5	696.9441
ALG6	440.0541	ALG6	247.8608
ALG8	1066.3352	ALG8	962.1063
ALG9	656.374	ALG9	775.9285
ALKBH1	386.4102	ALKBH1	198.9657
ALKBH2	235.0735	ALKBH2	264.7861
ALKBH3	302.6735	ALKBH3	415.985
ALKBH4	240.2983	ALKBH4	252.2539
ALKBH5	2122.5391	ALKBH5	2439.4584
ALKBH6	111.649	ALKBH6	100.7992
ALKBH7	353.2644	ALKBH7	816.5491
ALKBH8	341.9251	ALKBH8	185.0494
ALMS1	1275.6771	ALMS1	477.6681
removed	removed	ALOX12	5.6417
ALOX15B	82.8645	ALOX15B	15694.2172
removed	removed	ALOX15	303.5261
ALOX5AP	291.3341	ALOX5AP	450.5877
ALOX5	335.3831	ALOX5	755.9944
ALOXE3	8.2864	ALOXE3	6.7701
ALPK1	871.3856	ALPK1	545.7452
ALPK2	55.3884	ALPK2	14.6685
ALPK3	130.8387	ALPK3	438.1758
ALPL	96.8206	ALPL	925.2468
ALS2CL	110.3406	ALS2CL	305.7828
ALS2CR11	13.52	ALS2CR11	10.9074
ALS2CR4	622.7921	ALS2CR4	745.4631
ALS2CR8	174.4516	ALS2CR8	113.9633
ALS2	740.983	ALS2	391.1613
removed	removed	ALX1	16.9252
ALX3	25.7316	ALX3	32.7221
removed	removed	ALX4	7.1462
removed	removed	AMAC1L2	5.2656
AMACR	583.5405	AMACR	230.9356
AMBP	6.5419	AMBP	8.2746
