gene_id	TCGA-BH-A204-01A-11R-A157-07	gene_id	TCGA-BH-A204-11A-53R-A157-07
ADIPOR2	2921.5753	ADIPOR2	5082.7853
ADK	318.2386	ADK	376.0155
ADM2	122.1201	ADM2	14.7002
ADM	25.8767	ADM	1463.4429
ADNP2	634.8882	ADNP2	747.0019
ADNP	5309.2725	ADNP	2133.0754
ADORA1	335.2627	ADORA1	209.2843
ADORA2A	65.8268	ADORA2A	64.2166
ADORA2B	32.4594	ADORA2B	39.8453
ADORA3	268.528	ADORA3	38.2979
ADO	1361.253	ADO	565.9574
ADPGK	881.4051	ADPGK	834.0658
ADPRHL1	47.2137	ADPRHL1	78.53
ADPRHL2	196.5725	ADPRHL2	375.6286
ADPRH	169.5608	ADPRH	611.9923
removed	removed	ADRA1A	102.5145
ADRA1B	7.2636	ADRA1B	162.089
removed	removed	ADRA1D	11.9923
ADRA2A	11.3494	ADRA2A	1882.7853
removed	removed	ADRA2B	34.8162
ADRA2C	92.3845	ADRA2C	128.4333
removed	removed	ADRB1	111.0251
ADRB2	11.1225	ADRB2	547.7756
removed	removed	ADRB3	17.4081
ADRBK1	828.7368	ADRBK1	1150.8704
ADRBK2	1250.7093	ADRBK2	4041.3926
ADRM1	549.3134	ADRM1	925.3385
ADSL	526.8414	ADSL	736.1702
ADSSL1	32.4594	ADSSL1	288.2012
ADSS	1681.9884	ADSS	846.8085
AEBP1	4784.247	AEBP1	14889.7485
AEBP2	624.6737	AEBP2	675.0484
AEN	434.2299	AEN	313.3462
AES	2536.148	AES	5764.4101
AFAP1L1	224.0381	AFAP1L1	1411.6054
AFAP1L2	134.3775	AFAP1L2	650.2901
AFAP1	1607.0752	AFAP1	1419.7176
AFF1	2890.9318	AFF1	4995.3578
AFF2	12.9384	AFF2	143.5203
AFF3	21228.9184	AFF3	556.6731
AFF4	7021.6774	AFF4	3417.4081
AFG3L1	162.0701	AFG3L1	161.3153
AFG3L2	1050.7842	AFG3L2	1274.9594
AFMID	417.8867	AFMID	286.6538
AFP	1970.7184	AFP	23.2108
AFTPH	4047.8947	AFTPH	1153.5783
AG2	63.5569	AG2	2122.2437
AGAP11	12.2619	AGAP11	355.1296
AGAP1	742.935	AGAP1	489.3617
AGAP2	15.1402	AGAP2	84.3172
AGAP3	661.8999	AGAP3	813.5397
AGAP4	53.5694	AGAP4	150.0967
AGAP5	19.3871	AGAP5	36.94
AGAP6	52.2075	AGAP6	105.6093
removed	removed	AGAP7	5.029
AGAP8	47.2137	AGAP8	27.853
AGA	661.6729	AGA	423.9845
AGBL2	10.8955	removed	removed
removed	removed	AGBL3	5.4159
removed	removed	AGBL4	9.2843
AGBL5	717.746	AGBL5	619.7369
removed	removed	AGER	26.6925
AGFG1	2896.6065	AGFG1	2447.5822
AGFG2	440.3586	AGFG2	446.4217
AGGF1	1431.8466	AGGF1	831.3346
AGK	884.5761	AGK	456.0928
AGL	7158.0978	AGL	1558.2205
AGMAT	7.7176	AGMAT	5.4159
AGPAT1	1924.7804	AGPAT1	1906.058
AGPAT2	177.7324	AGPAT2	6721.0832
AGPAT3	1839.9728	AGPAT3	1906.7698
AGPAT4	68.0967	AGPAT4	361.7021
AGPAT5	871.6377	AGPAT5	379.4971
AGPAT6	5018.7266	AGPAT6	1575.6286
AGPAT9	41.539	AGPAT9	348.5493
AGPHD1	38.1342	AGPHD1	75.0484
AGPS	230.8478	AGPS	1521.8569
AGR2	30905.0051	AGR2	335.3965
AGR3	4670.5255	AGR3	95.9381
AGRN	367.9492	AGRN	1168.2785
AGTPBP1	810.1237	AGTPBP1	564.7969
AGTR1	11199.8638	AGTR1	1585.2998
AGTRAP	265.3501	AGTRAP	484.7195
AGT	46.9867	AGT	277.3694
AGXT2L2	122.7942	AGXT2L2	647.2611
removed	removed	AGXT	8.1238
AHCTF1	2661.4459	AHCTF1	2103.675
AHCYL1	6110.0897	AHCYL1	4914.8936
AHCYL2	3484.508	AHCYL2	712.5725
AHCY	4171.3767	AHCY	1378.7234
AHDC1	170.2417	AHDC1	445.648
AHI1	848.7118	AHI1	299.0329
AHNAK2	262.6263	AHNAK2	2684.3327
AHNAK	41914.1982	AHNAK	142060.3482
AHRR	77.8572	AHRR	219.7292
AHR	650.7774	AHR	3038.6847
AHSA1	1300.6469	AHSA1	1101.7408
AHSA2	234.7066	AHSA2	355.8994
AIDA	929.7878	AIDA	2101.4739
AIF1L	474.18	AIF1L	3637.5242
AIF1	184.542	AIF1	374.4681
AIFM1	1067.9832	AIFM1	919.9226
AIFM2	240.6083	AIFM2	2650.677
removed	removed	AIFM3	6.5764
AIG1	1631.1429	AIG1	1189.942
AIM1L	13.6193	removed	removed
AIM1	736.5793	AIM1	2150.4836
removed	removed	AIM2	8.5106
AIMP1	2338.0524	AIMP1	1006.383
AIMP2	605.8858	AIMP2	256.677
AIP	439.2237	AIP	725.7253
AJAP1	48.5756	AJAP1	9.6712
AK1	420.6106	AK1	743.9072
AK2	1879.2419	AK2	2208.1238
AK3L1	65.5998	AK3L1	564.4101
AK3	1586.1991	AK3	3054.9323
AK5	15.4353	AK5	363.6364
AK7	11.3494	AK7	20.5029
AKAP10	1082.5105	AKAP10	597.2921
AKAP11	4964.2492	AKAP11	2460.3482
AKAP12	467.1433	AKAP12	9015.4739
AKAP13	3797.2988	AKAP13	5082.3985
AKAP1	2457.8368	AKAP1	1923.7911
AKAP2	1390.1441	AKAP2	3583.2843
AKAP3	8.6256	AKAP3	23.2108
AKAP5	241.0623	AKAP5	25.1451
AKAP6	425.3774	AKAP6	117.6015
AKAP7	153.4446	AKAP7	285.4932
AKAP8L	535.694	AKAP8L	444.8743
AKAP8	361.1395	AKAP8	553.9652
AKAP9	4154.1255	AKAP9	2013.5397
AKD1	493.7011	AKD1	132.6886
AKIRIN1	901.3733	AKIRIN1	1908.3172
AKIRIN2	1136.5339	AKIRIN2	1148.9362
AKNA	114.8564	AKNA	913.7331
AKR1A1	806.2649	AKR1A1	1410.058
removed	removed	AKR1B15	8.1238
AKR1B1	393.5989	AKR1B1	1136.5571
AKR1C1	18.9899	AKR1C1	7534.5222
AKR1C2	16.3432	AKR1C2	5971.3733
