gene_id	TCGA-BH-A1F6-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F6-11B-94R-A13Q-07
ADARB1	401.2258	ADARB1	944.3142
ADAR	10442.2442	ADAR	7002.6377
ADAT1	260.2546	ADAT1	354.0445
ADAT2	223.008	ADAT2	261.7233
ADAT3	88.6374	ADAT3	9.6717
ADA	193.305	ADA	155.3341
ADCK1	127.2984	ADCK1	188.4525
ADCK2	1513.9085	ADCK2	440.5041
ADCK4	767.091	ADCK4	252.0516
ADCK5	229.1372	ADCK5	17.585
ADCY1	17.9161	ADCY1	500
ADCY2	64.1207	ADCY2	124.8535
ADCY3	1526.9307	ADCY3	1354.49
ADCY4	63.6492	ADCY4	597.8898
ADCY5	8.0151	ADCY5	569.4607
ADCY6	1082.9797	ADCY6	2472.7433
ADCY7	1906.6478	ADCY7	858.1477
removed	removed	ADCY8	25.7913
ADCY9	599.2456	ADCY9	869.2849
removed	removed	ADCYAP1R1	38.1008
ADCYAP1	32.5318	ADCYAP1	48.0657
ADC	100.8958	ADC	64.1852
ADD1	2866.1009	ADD1	6048.3587
ADD2	35.3607	ADD2	78.5463
ADD3	800.0943	ADD3	5230.0703
removed	removed	ADH1A	154.1618
ADH1B	186.2329	ADH1B	21882.4736
removed	removed	ADH1C	196.9519
removed	removed	ADH4	22.8605
ADH5	1364.4507	ADH5	4302.4619
ADHFE1	40.0754	ADHFE1	427.6084
ADI1	1608.2037	ADI1	1716.5885
ADIPOQ	387.0816	ADIPOQ	44203.3998
ADIPOR1	3719.0005	ADIPOR1	2319.7538
ADIPOR2	1763.3192	ADIPOR2	3542.204
ADK	423.3852	ADK	424.0914
ADM2	216.4074	ADM2	41.9109
ADM	115.5116	ADM	601.1137
ADNP2	684.5827	ADNP2	870.1641
ADNP	2721.3579	ADNP	3026.3775
ADORA1	398.397	ADORA1	159.4373
ADORA2A	131.5323	ADORA2A	36.6354
ADORA2B	151.3437	ADORA2B	238.8628
ADORA3	161.7162	ADORA3	150.6448
ADO	921.735	ADO	810.6682
ADPGK	1482.2112	ADPGK	959.6483
ADPRHL1	88.166	ADPRHL1	59.789
ADPRHL2	1182.4611	ADPRHL2	331.7702
ADPRH	406.4121	ADPRH	632.7667
removed	removed	ADRA1A	49.8242
ADRA1B	35.3607	ADRA1B	43.9625
ADRA1D	5.1862	ADRA1D	12.3095
ADRA2A	135.785	ADRA2A	1850.8206
ADRA2B	9.901	ADRA2B	14.9472
ADRA2C	49.505	ADRA2C	54.8066
ADRB1	12.7298	ADRB1	55.9789
ADRB2	23.5738	ADRB2	516.1196
removed	removed	ADRB3	14.3611
ADRBK1	2051.8623	ADRBK1	842.3212
ADRBK2	371.9943	ADRBK2	3218.0539
ADRM1	1965.1108	ADRM1	447.245
ADSL	1039.604	ADSL	706.3306
ADSSL1	32.0603	ADSSL1	81.7702
ADSS	1820.8392	ADSS	1411.1958
AEBP1	8632.7204	AEBP1	4975.0879
AEBP2	507.3079	AEBP2	1191.9695
AEN	917.0203	AEN	495.8968
AES	6400.7544	AES	5037.8077
AFAP1L1	99.9529	AFAP1L1	588.8042
AFAP1L2	75.4361	AFAP1L2	946.9519
AFAP1	1378.1188	AFAP1	1559.7773
AFF1	546.9118	AFF1	4481.5358
AFF2	96.181	AFF2	398.3001
AFF3	45.7331	AFF3	1625.4396
AFF4	1846.7704	AFF4	5626.0258
AFG3L1	248.4677	AFG3L1	234.4666
AFG3L2	3367.8972	AFG3L2	1169.7304
AFMID	241.3956	AFMID	386.8699
removed	removed	AFP	10.8441
AFTPH	2165.9595	AFTPH	1758.2063
AG2	234.3234	AG2	747.3623
removed	removed	AGAP11	248.8365
AGAP1	509.6653	AGAP1	424.9707
AGAP2	124.0311	AGAP2	30.3605
AGAP3	1822.2537	AGAP3	504.3962
AGAP4	106.082	AGAP4	153.8687
AGAP5	18.9863	AGAP5	65.4396
AGAP6	67.421	AGAP6	109.9062
AGAP7	33.4748	AGAP7	43.3763
AGAP8	8.958	AGAP8	62.7198
AGA	394.6252	AGA	522.2743
removed	removed	AGBL2	10.551
AGBL3	5.6577	AGBL3	12.0164
removed	removed	AGBL4	8.2063
AGBL5	700.6271	AGBL5	583.5404
AGER	15.5587	AGER	22.5674
AGFG1	2896.2753	AGFG1	3068.2884
AGFG2	272.513	AGFG2	353.1653
AGGF1	659.5945	AGGF1	1097.0106
AGK	567.1853	AGK	549.8242
AGL	502.5931	AGL	2175.8499
AGMAT	104.1961	AGMAT	14.3611
AGPAT1	2252.1452	AGPAT1	1825.8558
AGPAT2	1052.8053	AGPAT2	1689.3318
AGPAT3	2409.7124	AGPAT3	1990.0352
AGPAT4	206.0349	AGPAT4	383.3529
AGPAT5	2005.6577	AGPAT5	783.9977
AGPAT6	1568.1282	AGPAT6	1236.8113
AGPAT9	354.5497	AGPAT9	128.0774
AGPHD1	101.3673	AGPHD1	78.8394
AGPS	856.1999	AGPS	2211.8992
AGR2	7.0721	AGR2	915.2989
removed	removed	AGR3	409.1442
AGRN	5007.0721	AGRN	1704.279
AGTPBP1	983.9698	AGTPBP1	632.4736
AGTR1	20.7449	AGTR1	556.272
AGTRAP	1946.7232	AGTRAP	472.1571
AGT	56.1056	AGT	103.4584
AGXT2L2	234.8232	AGXT2L2	424.0475
removed	removed	AGXT	9.6717
AHCTF1	2177.7463	AHCTF1	1885.6975
AHCYL1	1295.1438	AHCYL1	5102.8722
AHCYL2	732.2018	AHCYL2	953.6928
AHCY	7782.1782	AHCY	1585.5803
AHDC1	828.3828	AHDC1	631.3013
AHI1	167.3739	AHI1	590.2696
AHNAK2	787.8359	AHNAK2	1560.3751
AHNAK	17238.0952	AHNAK	104466.8816
AHRR	89.5804	AHRR	8.7925
AHR	2194.7195	AHR	7412.6612
AHSA1	2682.2254	AHSA1	1044.5487
AHSA2	169.7313	AHSA2	403.8687
AIDA	1380.1367	AIDA	1897.9162
AIF1L	2756.7185	AIF1L	1623.9742
AIF1	631.306	AIF1	568.2884
AIFM1	1384.2527	AIFM1	582.6495
AIFM2	194.248	AIFM2	1296.3072
AIG1	416.3131	AIG1	1159.4373
AIM1L	10.3725	removed	removed
AIM1	1712.8713	AIM1	3240.0352
AIM2	89.1089	AIM2	13.4818
AIMP1	1010.3725	AIMP1	1179.109
AIMP2	946.1433	AIMP2	287.1776
AIP	562.4705	AIP	279.0152
AJAP1	5.6577	AJAP1	42.204
AK1	395.5681	AK1	363.1301
AK2	4812.3527	AK2	2279.0152
AK3L1	181.5182	AK3L1	787.8077
AK3	2979.7265	AK3	3495.8968
AK5	11.7869	AK5	968.0539
AK7	21.2164	AK7	26.9637
AKAP10	354.0783	AKAP10	744.7245
AKAP11	793.0222	AKAP11	3296.6002
AKAP12	332.3904	AKAP12	6347.3036
AKAP13	2391.3248	AKAP13	4538.9801
AKAP1	1951.9095	AKAP1	1615.7679
AKAP2	707.4069	AKAP2	2877.4853
AKAP3	64.1207	AKAP3	29.6014
AKAP5	36.7751	AKAP5	103.4584
AKAP6	102.3102	AKAP6	276.9637
AKAP7	132.0132	AKAP7	330.891
AKAP8L	489.3918	AKAP8L	332.3564
AKAP8	555.8699	AKAP8	531.9461
AKAP9	2048.562	AKAP9	2838.8042
AKD1	115.983	AKD1	179.66
AKIRIN1	3166.4309	AKIRIN1	2036.9285
AKIRIN2	1107.4965	AKIRIN2	1050.4103
removed	removed	AKNAD1	8.7925
AKNA	527.1099	AKNA	478.3118
AKR1A1	1989.1561	AKR1A1	1146.2485
removed	removed	AKR1B10	5.8617
AKR1B15	58.9345	AKR1B15	11.1372
AKR1B1	679.3965	AKR1B1	1077.374
AKR1C1	68.1141	AKR1C1	5333.5287
AKR1C2	20.2735	AKR1C2	4737.9836
AKR1C3	61.7633	AKR1C3	3270.8089
AKR1E2	138.8637	AKR1E2	29.8945
AKR7A2	1401.2258	AKR7A2	618.6987
AKR7A3	138.1424	AKR7A3	16.9988
AKR7L	25.4597	AKR7L	8.4994
AKT1S1	986.7987	AKT1S1	649.1794
AKT1	2408.7694	AKT1	1687.2802
AKT2	9588.8732	AKT2	1989.7421
AKT3	665.2522	AKT3	1754.6893
AKTIP	837.2419	AKTIP	941.0141
ALAD	685.5257	ALAD	1661.1958
ALAS1	1742.5743	ALAS1	1033.9977
removed	removed	ALAS2	28.136
ALB	6.1292	ALB	132.4736
ALCAM	482.3197	ALCAM	3423.7984
ALDH16A1	381.4239	ALDH16A1	183.7632
ALDH18A1	1904.2904	ALDH18A1	1422.3329
ALDH1A1	302.2159	ALDH1A1	3876.0258
ALDH1A2	21.2164	ALDH1A2	645.9555
ALDH1A3	3970.2216	ALDH1A3	2047.4179
ALDH1B1	700.6129	ALDH1B1	810.3751
ALDH1L1	8.958	ALDH1L1	603.7515
ALDH1L2	647.3362	ALDH1L2	635.4045
ALDH2	1718.529	ALDH2	10439.6249
ALDH3A1	5.6577	ALDH3A1	21.9812
ALDH3A2	798.6799	ALDH3A2	3658.558
ALDH3B1	217.8218	ALDH3B1	213.3646
ALDH3B2	487.5059	ALDH3B2	695.1934
ALDH4A1	493.1636	ALDH4A1	1157.6788
ALDH5A1	256.9543	ALDH5A1	728.898
ALDH6A1	235.2711	ALDH6A1	803.5404
ALDH7A1	876.4734	ALDH7A1	1686.694
ALDH8A1	12.7298	ALDH8A1	10.2579
ALDH9A1	1303.1589	ALDH9A1	4742.0868
ALDOA	23518.1518	ALDOA	9381.0082
ALDOC	204.6205	ALDOC	2466.2954
ALG10B	120.2263	ALG10B	466.8816
ALG10	82.5083	ALG10	173.2122
ALG11	9.4295	ALG11	13.1887
ALG12	479.0193	ALG12	280.1876
ALG13	242.3385	ALG13	651.8171
ALG14	123.5266	ALG14	261.7233
ALG1L	24.8703	removed	removed
ALG1	995.0259	ALG1	349.6102
ALG2	696.8411	ALG2	993.2591
ALG3	1968.4111	ALG3	582.9426
ALG5	650.165	ALG5	599.3552
ALG6	551.1551	ALG6	346.1313
ALG8	948.1377	ALG8	878.0774
ALG9	586.9873	ALG9	923.5053
ALKBH1	182.9326	ALKBH1	231.2427
ALKBH2	233.3805	ALKBH2	106.6823
ALKBH3	53.2768	ALKBH3	323.2708
ALKBH4	327.586	ALKBH4	91.7644
ALKBH5	2033.9463	ALKBH5	2258.0891
ALKBH6	77.7935	ALKBH6	48.3587
ALKBH7	594.0594	ALKBH7	155.6272
ALKBH8	117.3975	ALKBH8	288.3939
ALK	14.6157	ALK	7.6202
ALMS1	521.4521	ALMS1	1056.8581
ALOX12P2	7.0721	ALOX12P2	16.7057
ALOX12	9.1419	ALOX12	6.1547
removed	removed	ALOX15B	205.1583
ALOX15	9.4295	ALOX15	12.0164
ALOX5AP	242.3385	ALOX5AP	471.2778
ALOX5	400.7544	ALOX5	518.4642
ALOXE3	8.0151	ALOXE3	5.5686
ALPK1	684.5827	ALPK1	757.034
ALPK2	37.2466	ALPK2	27.2567
ALPK3	227.2513	ALPK3	469.5193
ALPL	722.3008	ALPL	2380.422
ALS2CL	68.8355	ALS2CL	246.1899
removed	removed	ALS2CR11	24.619
removed	removed	ALS2CR12	15.8265
ALS2CR4	453.5596	ALS2CR4	1308.0305
ALS2CR8	62.7063	ALS2CR8	317.4091
ALS2	404.0547	ALS2	891.2661
ALX1	27.3456	removed	removed
ALX3	5.1862	removed	removed
ALX4	12.2584	ALX4	21.6882
AMACR	344.6488	AMACR	456.6237
AMBRA1	985.8557	AMBRA1	599.9414
AMD1	5897.6898	AMD1	2523.1536
removed	removed	AMDHD1	19.6366
AMDHD2	427.6662	AMDHD2	81.5768
AMFR	2056.1056	AMFR	2856.3892
AMH	39.1325	removed	removed
AMICA1	193.7765	AMICA1	215.7093
AMIGO1	31.1174	AMIGO1	136.8699
AMIGO2	185.29	AMIGO2	2409.7304
AMIGO3	96.6525	AMIGO3	43.9625
AMMECR1L	739.2739	AMMECR1L	1008.7925
AMMECR1	587.9302	AMMECR1	332.9426
AMN1	88.166	AMN1	245.0176
AMOTL1	383.7812	AMOTL1	3402.4033
AMOTL2	1659.5945	AMOTL2	5151.2309
AMOT	578.0292	AMOT	1408.558
AMPD1	23.5738	AMPD1	24.3259
AMPD2	533.239	AMPD2	422.0399
AMPD3	438.9439	AMPD3	313.8921
AMPH	21.6879	AMPH	87.0457
AMT	27.9208	AMT	142.2597
AMY1A	5.6577	AMY1A	57.4443
AMY2B	27.8029	AMY2B	550.2022
AMZ1	6.6007	removed	removed
AMZ2P1	300.8015	AMZ2P1	329.4256
AMZ2	667.1381	AMZ2	1413.5404
ANAPC10	99.4814	ANAPC10	170.5744
ANAPC11	814.2386	ANAPC11	305.6858
ANAPC13	737.9491	ANAPC13	1215.4924
ANAPC16	1178.2178	ANAPC16	2476.5533
ANAPC1	947.1947	ANAPC1	1048.3587
ANAPC2	493.1636	ANAPC2	273.4467
ANAPC4	370.5799	ANAPC4	650.3517
ANAPC5	2048.562	ANAPC5	2317.7022
ANAPC7	845.356	ANAPC7	854.9238
ANGEL1	697.7841	ANGEL1	587.3388
ANGEL2	714.7572	ANGEL2	910.9027
ANGPT1	35.3607	ANGPT1	1288.1008
ANGPT2	171.1457	ANGPT2	963.9508
removed	removed	ANGPT4	23.1536
ANGPTL1	52.3338	ANGPTL1	1319.4607
ANGPTL2	749.1749	ANGPTL2	6821.5123
removed	removed	ANGPTL3	5.2755
ANGPTL4	749.1749	ANGPTL4	841.7351
removed	removed	ANGPTL5	52.4619
ANGPTL6	8.6186	removed	removed
removed	removed	ANGPTL7	183.7632
ANG	131.3437	ANG	354.7773
ANK1	32.5318	ANK1	29.3083
ANK2	140.9712	ANK2	3119.2849
ANK3	4055.1627	ANK3	1126.612
removed	removed	ANKAR	79.1325
ANKDD1A	40.5469	ANKDD1A	326.2016
removed	removed	ANKFN1	10.2579
ANKFY1	1371.0514	ANKFY1	2706.3306
ANKHD1-EIF4EBP3	458.3593	ANKHD1-EIF4EBP3	1207.0897
ANKHD1	1584.8609	ANKHD1	2784.1559
ANKH	3123.0552	ANKH	2275.2052
ANKIB1	1673.7388	ANKIB1	2063.5991
removed	removed	ANKK1	21.3951
ANKLE1	106.4781	ANKLE1	6.7409
ANKLE2	1321.075	ANKLE2	1344.3728
ANKMY1	124.4696	ANKMY1	119.578
ANKMY2	260.2546	ANKMY2	805.9789
ANKRA2	134.3706	ANKRA2	386.5768
ANKRD10	545.7284	ANKRD10	1541.2397
ANKRD11	2049.9717	ANKRD11	1681.8552
ANKRD12	1049.505	ANKRD12	2182.5909
ANKRD13A	840.6412	ANKRD13A	1732.7081
ANKRD13B	300.33	ANKRD13B	118.4056
ANKRD13C	587.4587	ANKRD13C	834.9941
ANKRD13D	473.3616	ANKRD13D	211.6061
ANKRD16	775.4173	ANKRD16	112.2509
ANKRD17	2163.1306	ANKRD17	4019.0504
ANKRD19	32.0603	ANKRD19	16.1196
ANKRD1	24.9882	ANKRD1	12.0164
removed	removed	ANKRD20A3	24.619
removed	removed	ANKRD20A4	6.1547
removed	removed	ANKRD20B	9.6717
ANKRD22	212.1641	ANKRD22	44.8417
ANKRD23	21.2164	ANKRD23	16.4127
ANKRD24	9.901	ANKRD24	7.9132
removed	removed	ANKRD26P1	6.1547
ANKRD26	319.1891	ANKRD26	394.197
ANKRD27	2309.2881	ANKRD27	877.1981
ANKRD28	1318.2461	ANKRD28	1755.8617
ANKRD29	19.802	ANKRD29	400.9379
ANKRD2	5.1862	removed	removed
removed	removed	ANKRD30A	553.9273
removed	removed	ANKRD30B	23.4467
removed	removed	ANKRD31	6.7409
ANKRD32	84.3942	ANKRD32	189.0387
ANKRD34A	24.9882	ANKRD34A	14.6542
removed	removed	ANKRD34B	7.3271
ANKRD35	24.5167	ANKRD35	79.1325
ANKRD36BP1	229.6087	ANKRD36BP1	274.619
ANKRD36B	20.7449	ANKRD36B	71.2192
ANKRD36	89.5804	ANKRD36	352.286
ANKRD37	103.7388	ANKRD37	113.2737
ANKRD39	173.5031	ANKRD39	75.6155
ANKRD40	811.8812	ANKRD40	3191.6764
ANKRD42	157.9444	ANKRD42	289.5662
ANKRD43	7.0721	ANKRD43	53.3411
ANKRD44	42.4328	ANKRD44	153.5756
ANKRD45	13.6728	ANKRD45	23.4467
ANKRD46	412.2772	ANKRD46	779.8945
ANKRD49	213.5785	ANKRD49	329.1325
ANKRD50	637.4352	ANKRD50	1778.7222
ANKRD52	818.9533	ANKRD52	1029.0152
removed	removed	ANKRD53	58.9097
ANKRD54	473.8331	ANKRD54	220.9848
