gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
IL18R1	32.2129	IL18R1	98.0052
removed	removed	IL18RAP	10.8413
IL18	69.3277	IL18	61.1448
IL19	36.4146	removed	removed
IL1B	27.6611	IL1B	31.2229
IL1R1	405.112	IL1R1	6588.4649
removed	removed	IL1R2	11.2749
IL1RAP	125	IL1RAP	149.6097
removed	removed	IL1RL1	16.4788
removed	removed	IL1RL2	7.3721
IL1RN	277.3109	IL1RN	284.0416
IL20RA	627.1008	IL20RA	49.0026
IL20RB	10.1541	IL20RB	85.4293
IL20	506.3025	removed	removed
IL21R	83.5259	IL21R	8.673
IL22RA1	16.4566	IL22RA1	17.7797
IL23A	5.6022	removed	removed
IL24	277.437	removed	removed
IL27RA	120.4482	IL27RA	303.1223
IL28RA	77.381	IL28RA	18.2134
IL2RA	31.1625	IL2RA	10.8413
IL2RB	269.958	IL2RB	147.4415
IL2RG	241.5966	IL2RG	186.4701
IL32	712.535	IL32	494.7962
IL33	16.4566	IL33	2042.9315
IL34	19.958	IL34	80.6592
IL3RA	50.7703	IL3RA	522.1162
IL4I1	155.049	IL4I1	28.608
IL4R	213.2353	IL4R	660.8846
IL6R	49.0196	IL6R	405.464
IL6ST	9377.1008	IL6ST	7006.9384
removed	removed	IL6	1448.3955
IL7R	67.9272	IL7R	29.0546
IL7	8.4034	IL7	19.0807
IL8	35.014	IL8	83.6947
ILDR1	223.3894	removed	removed
ILF2	3728.2913	ILF2	1848.6557
ILF3	7231.4426	ILF3	3529.0546
ILKAP	396.3585	ILKAP	219.4276
ILK	1741.5966	ILK	3490.4597
ILVBL	1448.8796	ILVBL	1126.6262
IMMP1L	79.4188	IMMP1L	35.0607
IMMP2L	252.8011	IMMP2L	137.9011
IMMT	2112.395	IMMT	1968.7771
IMP3	648.4594	IMP3	781.8734
IMP4	485.9944	IMP4	531.2229
IMPA1	368.6975	IMPA1	323.9376
IMPA2	540.2661	IMPA2	488.2914
IMPACT	1848.0392	IMPACT	962.2723
IMPAD1	3910.014	IMPAD1	7307.4588
IMPDH1	738.7955	IMPDH1	1603.6427
IMPDH2	5985.2941	IMPDH2	2287.5108
IMPG1	9.4538	removed	removed
INADL	3580.5322	INADL	525.1518
INCA1	10.1541	INCA1	15.1778
INCENP	1248.2493	INCENP	290.5464
INE1	13.6555	INE1	18.647
removed	removed	INE2	7.8014
INF2	633.4034	INF2	4677.3634
ING1	202.3775	ING1	306.3487
ING2	249.2997	ING2	203.3825
ING3	222.3389	ING3	307.0252
ING4	412.8151	ING4	608.8465
ING5	362.395	ING5	355.5941
INHBA	479.3417	INHBA	23.8508
INHBB	170.8683	INHBB	2118.8205
INMT	12.605	INMT	881.5742
INO80B	103.2038	INO80B	89.0937
INO80C	225.1401	INO80C	146.5742
INO80D	729.8354	INO80D	537.8881
INO80E	469.9825	INO80E	526.7173
INO80	1139.7059	INO80	928.0139
INPP1	121.4986	INPP1	381.6132
INPP4A	678.9216	INPP4A	746.314
INPP4B	2165.2661	INPP4B	172.5932
INPP5A	314.4258	INPP5A	813.9636
INPP5B	275.2101	INPP5B	514.7441
INPP5D	199.5798	INPP5D	503.9029
INPP5E	326.3305	INPP5E	350.8239
INPP5F	682.7731	INPP5F	588.0312
INPP5J	2644.6078	INPP5J	54.2064
INPP5K	378.8515	INPP5K	2640.503
INPPL1	2406.1625	INPPL1	1661.3183
INSIG1	1386.2045	INSIG1	1710.3209
INSIG2	413.1653	INSIG2	405.0304
INSM1	1390.056	INSM1	24.7181
INSR	2574.93	INSR	2684.3018
INTS10	857.1429	INTS10	1157.8491
INTS12	622.549	INTS12	392.8881
INTS1	2811.9748	INTS1	2168.6904
INTS2	1095.9384	INTS2	431.4831
INTS3	2112.0448	INTS3	2202.9488
INTS4L1	28.7115	INTS4L1	12.1422
INTS4L2	12.605	INTS4L2	11.2749
INTS4	871.4531	INTS4	464.562
INTS5	1092.0868	INTS5	511.7086
INTS6	503.8515	INTS6	690.3729
INTS7	2143.5574	INTS7	335.2125
INTS8	1400.1225	INTS8	561.5351
INTS9	438.0252	INTS9	381.1795
INTU	154.0616	INTU	148.7424
INVS	195.3782	INVS	463.5733
IP6K1	1599.0896	IP6K1	1366.4354
IP6K2	978.2913	IP6K2	1055.5074
IPCEF1	40.2661	IPCEF1	18.2134
IPMK	76.6807	IPMK	61.5785
IPO11	900.5882	IPO11	798.0486
IPO13	978.9916	IPO13	809.6271
IPO4	1839.3417	IPO4	434.3755
IPO5	1814.4258	IPO5	5518.647
IPO7	8457.2829	IPO7	3297.0512
IPO8	1583.6835	IPO8	1424.9783
IPO9	5405.112	IPO9	1810.4944
IPPK	482.0378	IPPK	209.7398
IPP	396.0084	IPP	371.6392
IPW	461.201	IPW	307.6583
IQCA1	143.5574	IQCA1	8.673
IQCB1	272.409	IQCB1	244.5794
IQCC	216.3866	IQCC	56.3747
IQCD	75.2801	IQCD	7.8057
IQCE	1403.3613	IQCE	580.2255
IQCG	201.6807	IQCG	341.2836
IQCH	157.563	IQCH	14.0546
IQCK	262.605	IQCK	238.5082
IQGAP1	8711.8347	IQGAP1	9161.3183
IQGAP2	439.0756	IQGAP2	590.6331
IQGAP3	1790.2661	IQGAP3	43.3651
IQSEC1	1205.1821	IQSEC1	3886.3833
IQSEC2	264.7059	IQSEC2	593.235
removed	removed	IQSEC3	254.1197
IQUB	14.0056	removed	removed
IRAK1BP1	51.222	IRAK1BP1	38.7598
IRAK1	3174.7199	IRAK1	1958.3695
IRAK2	49.3697	IRAK2	315.6982
IRAK3	220.2381	IRAK3	814.8309
IRAK4	569.3277	IRAK4	456.6349
IREB2	1667.0168	IREB2	1623.157
IRF1	1240.8613	IRF1	743.9072
IRF2BP1	577.0308	IRF2BP1	339.1154
IRF2BP2	6894.6078	IRF2BP2	3254.987
IRF2	672.2689	IRF2	854.2931
IRF3	733.8936	IRF3	533.2003
IRF4	25.9104	IRF4	110.5811
IRF5	132.3529	IRF5	180.399
IRF6	1551.4706	IRF6	81.5265
IRF7	1255.6022	IRF7	156.1145
IRF8	166.6667	IRF8	370.7719
IRF9	2022.9027	IRF9	771.4657
IRGQ	966.3866	IRGQ	578.9245
IRS1	1974.7899	IRS1	1321.7693
IRS2	161.7647	IRS2	2696.4441
removed	removed	IRX1	92.3677
IRX2	1057.7731	IRX2	104.9436
IRX3	1133.7535	IRX3	102.3417
IRX5	1362.0448	IRX5	42.0642
removed	removed	IRX6	833.0442
ISCA1P1	69.6779	ISCA1P1	82.8274
ISCA1	904.5938	ISCA1	1154.3799
ISCA2	311.9748	ISCA2	222.8968
ISCU	1006.6527	ISCU	2190.3729
ISG15	3089.2857	ISG15	278.8378
ISG20L2	1205.8824	ISG20L2	445.7936
ISG20	183.4734	ISG20	55.941
ISLR2	64.4258	ISLR2	247.6149
ISLR	3489.1457	ISLR	3771.8994
ISM1	155.4622	ISM1	286.2099
ISOC1	887.9552	ISOC1	892.8881
ISOC2	753.8515	ISOC2	562.8794
ISPD	33.2633	ISPD	39.4623
ISY1	429.8074	ISY1	595.6071
ISYNA1	1523.8095	ISYNA1	313.9636
ITCH	1767.1569	ITCH	1743.2784
ITFG1	947.479	ITFG1	1087.1639
ITFG2	181.3725	ITFG2	518.647
ITFG3	2136.9503	ITFG3	3160.4857
ITGA10	163.1653	ITGA10	24.2845
ITGA11	1002.1008	ITGA11	1120.9887
ITGA1	573.3754	ITGA1	4071.0451
ITGA2B	32.563	removed	removed
ITGA2	1628.5014	ITGA2	258.0225
ITGA3	3169.4678	ITGA3	1214.2238
ITGA4	254.4643	ITGA4	176.4137
ITGA5	1207.6331	ITGA5	3468.7771
ITGA6	3978.6415	ITGA6	3826.1058
ITGA7	57.423	ITGA7	12796.6175
ITGA8	11.9048	ITGA8	73.2871
ITGA9	161.0644	ITGA9	508.2394
ITGAE	161.7647	ITGAE	317.8664
ITGAL	259.1036	ITGAL	209.4536
ITGAM	365.5462	ITGAM	686.9037
ITGAV	3610.9944	ITGAV	4219.8612
ITGAX	211.8347	ITGAX	459.2368
ITGB1BP1	579.4818	ITGB1BP1	5522.5499
ITGB1	10394.6078	ITGB1	43664.7875
ITGB2	687.3249	ITGB2	2015.1778
ITGB3BP	250.7003	ITGB3BP	116.6522
ITGB3	43.0672	ITGB3	517.3461
ITGB4	106.7927	ITGB4	1939.2888
ITGB5	3052.521	ITGB5	10112.3157
ITGB6	1226.1905	ITGB6	10.8413
ITGB7	145.6583	ITGB7	80.6592
ITGB8	1135.5042	ITGB8	65.915
ITGBL1	703.0812	ITGBL1	455.3339
removed	removed	ITIH3	9.974
ITIH4	35.5042	ITIH4	30.7892
ITIH5L	69.3277	removed	removed
ITIH5	41.3165	ITIH5	30476.5828
ITK	69.3277	ITK	26.0191
ITM2A	146.0084	ITM2A	2944.9263
ITM2B	2839.986	ITM2B	15611.882
ITM2C	184.5238	ITM2C	774.0676
ITPA	528.0112	ITPA	388.5516
ITPK1	2092.0868	ITPK1	6276.2359
ITPKA	7.0028	removed	removed
ITPKB	970.2381	ITPKB	2197.3114
ITPKC	744.3978	ITPKC	919.3408
ITPR1	2698.8796	ITPR1	1266.2619
ITPR2	4476.5406	ITPR2	2042.0642
ITPR3	2886.5091	ITPR3	1152.68
ITPRIPL1	5.6022	ITPRIPL1	71.1188
ITPRIPL2	1406.1625	ITPRIPL2	2878.144
ITPRIP	308.4734	ITPRIP	1500.8673
ITSN1	972.6891	ITSN1	9193.8422
ITSN2	1123.5994	ITSN2	1934.085
IVD	1440.4762	IVD	1430.1821
IVNS1ABP	1763.3053	IVNS1ABP	1794.8829
IWS1	1186.9748	IWS1	1098.4389
IYD	28.0112	removed	removed
JAG1	1665.2661	JAG1	3905.464
JAG2	245.7983	JAG2	790.1127
JAGN1	356.4426	JAGN1	627.4935
JAK1	3616.9468	JAK1	9924.111
JAK2	527.3109	JAK2	798.7858
JAK3	135.5042	JAK3	117.0859
JAKMIP1	5.9524	removed	removed
JAKMIP2	18.9076	removed	removed
removed	removed	JAKMIP3	43.7988
JAM2	62.3249	JAM2	1133.5646
JAM3	266.4566	JAM3	960.9714
JARID2	1237.0448	JARID2	364.7008
JAZF1	127.1008	JAZF1	916.7389
JDP2	223.7395	JDP2	1647.4415
JHDM1D	834.7339	JHDM1D	1215.0911
JKAMP	962.1849	JKAMP	754.5533
JMJD1C	1471.1415	JMJD1C	2210.4944
JMJD4	791.25	JMJD4	321.2706
JMJD5	44.4678	JMJD5	76.7563
JMJD6	270.6583	JMJD6	352.9922
JMJD7-PLA2G4B	259.8039	JMJD7-PLA2G4B	419.7745
JMJD8	1075.1155	JMJD8	1636.9211
JMY	797.2689	JMY	824.8049
JOSD1	1453.4314	JOSD1	1456.2012
JOSD2	136.2045	JOSD2	193.8422
JPH1	397.409	JPH1	18.2134
JPH2	8.4034	JPH2	240.6765
removed	removed	JPH3	6.0711
removed	removed	JPH4	26.4527
JRKL	182.0728	JRKL	406.765
JRK	529.0616	JRK	522.5499
JTB	1806.7227	JTB	1459.6704
JUB	370.098	JUB	229.8352
JUNB	965.6863	JUNB	8306.5915
JUND	1496.8487	JUND	3867.7363
JUN	2860.2941	JUN	18882.4805
JUP	10822.479	JUP	2447.9618
KAAG1	6.4636	removed	removed
KAL1	754.902	KAL1	685.6028
KALRN	65.8263	KALRN	934.9523
KANK1	661.0644	KANK1	6348.6557
KANK2	1680.3221	KANK2	7528.621
KANK3	36.7647	KANK3	508.673
KANK4	86.4846	KANK4	913.2697
KARS	2268.9076	KARS	2394.1891
KAT2A	1224.7899	KAT2A	624.4579
KAT2B	112.0448	KAT2B	1751.9514
KAT5	849.3662	KAT5	758.9159
KATNA1	278.7115	KATNA1	314.8309
KATNAL1	414.2157	KATNAL1	1426.7129
KATNAL2	78.0812	KATNAL2	171.7259
KATNB1	384.4538	KATNB1	411.1015
KAZALD1	58.2563	KAZALD1	142.758
KAZ	366.8312	KAZ	917.4718
KBTBD10	20.2346	KBTBD10	10.1778
KBTBD11	46.2185	KBTBD11	137.4675
removed	removed	KBTBD12	5.2038
KBTBD2	1803.9216	KBTBD2	1517.3461
KBTBD3	72.8291	KBTBD3	142.6713
KBTBD4	349.986	KBTBD4	434.4623
KBTBD6	170.5182	KBTBD6	290.9801
KBTBD7	95.5882	KBTBD7	164.7875
KBTBD8	14.3557	KBTBD8	19.948
KCMF1	1074.2297	KCMF1	1319.1674
removed	removed	KCNA1	26.4527
removed	removed	KCNA2	144.4059
KCNA3	13.6555	KCNA3	9.5403
removed	removed	KCNA4	78.4909
removed	removed	KCNA5	9.1067
removed	removed	KCNA6	177.3634
KCNAB1	37.8151	KCNAB1	423.2437
KCNAB2	130.2521	KCNAB2	347.7884
KCNAB3	8.7535	removed	removed
removed	removed	KCNB1	528.621
removed	removed	KCNB2	6.5048
KCNC1	15.7563	removed	removed
KCNC2	295.5182	removed	removed
KCNC3	9.1036	KCNC3	16.9124
KCNC4	28.3613	KCNC4	171.2923
KCND1	52.8711	KCND1	106.6782
KCND2	69.6779	KCND2	354.7268
KCND3	149.8599	KCND3	130.9627
removed	removed	KCNE1L	36.8604
removed	removed	KCNE1	12.1422
KCNE2	5.2521	KCNE2	6.0711
KCNE3	45.1681	KCNE3	521.2489
KCNE4	1113.0952	KCNE4	304.4232
KCNF1	386.9048	KCNF1	13.4432
KCNG3	39.2157	removed	removed
KCNH1	352.591	KCNH1	28.1873
KCNH3	5.9524	removed	removed
removed	removed	KCNH4	13.4432
KCNIP2	7.3529	KCNIP2	8972.2463
KCNIP3	46.9188	KCNIP3	152.6453
KCNIP4	22.0588	KCNIP4	18.2134
KCNJ11	915.9664	KCNJ11	35.9931
KCNJ12	5.9524	KCNJ12	196.4441
KCNJ14	36.4146	KCNJ14	12.1422
KCNJ15	11.2045	KCNJ15	37.7277
removed	removed	KCNJ16	50.7372
removed	removed	KCNJ1	5.6375
KCNJ2	36.7647	KCNJ2	415.438
KCNJ3	865.1961	KCNJ3	7.8057
KCNJ5	27.6611	KCNJ5	98.0052
KCNJ8	247.8992	KCNJ8	735.4727
KCNK13	26.2605	KCNK13	10.8413
KCNK15	283.2633	KCNK15	22.5499
KCNK1	1547.9692	KCNK1	51.1709
KCNK2	118.3473	KCNK2	81.9601
KCNK3	5.6022	KCNK3	51.6045
KCNK5	116.5966	KCNK5	68.9506
KCNK6	878.8515	KCNK6	117.5195
removed	removed	KCNK7	9.974
KCNMA1	405.4622	KCNMA1	443.1917
KCNMB1	12.605	KCNMB1	30.7892
KCNMB3	96.9888	KCNMB3	58.1093
KCNMB4	58.8235	KCNMB4	53.3391
removed	removed	KCNN2	9.1067
KCNN3	10.1541	KCNN3	37.7277
KCNN4	53.2213	KCNN4	50.7372
KCNQ1OT1	129.902	KCNQ1OT1	114.9176
KCNQ1	36.0644	KCNQ1	170.8586
removed	removed	KCNQ3	19.0807
removed	removed	KCNQ4	22.9835
KCNQ5	43.7675	removed	removed
removed	removed	KCNRG	5.9107
KCNS3	632.7031	KCNS3	101.9081
KCNT2	8.7535	KCNT2	38.1613
KCP	10.1681	KCP	24.3062
KCTD10	1213.9356	KCTD10	3323.0703
KCTD11	176.8207	KCTD11	482.6539
KCTD12	959.0336	KCTD12	10716.392
KCTD13	271.0084	KCTD13	133.5646
KCTD14	165.6162	KCTD14	51.6045
KCTD15	685.2241	KCTD15	323.9376
removed	removed	KCTD16	13.4432
KCTD17	125	KCTD17	111.882
KCTD18	386.2045	KCTD18	566.7823
KCTD19	10.8543	removed	removed
KCTD1	877.8011	KCTD1	162.1856
KCTD20	1988.4454	KCTD20	4177.7971
KCTD21	806.0224	KCTD21	493.0616
KCTD2	524.1597	KCTD2	1196.4441
KCTD3	9033.2633	KCTD3	1810.4944
KCTD5	649.1597	KCTD5	382.9141
KCTD6	270.3081	KCTD6	178.6644
KCTD7	479.4153	KCTD7	432.7277
KCTD9	666.6667	KCTD9	1020.8153
KDELC1	108.1933	KDELC1	138.7684
KDELC2	785.7143	KDELC2	1852.5585
KDELR1	3772.409	KDELR1	2920.6418
KDELR2	4456.9328	KDELR2	3866.0017
KDELR3	348.0392	KDELR3	530.3556
KDM1A	1750.3501	KDM1A	972.68
KDM1B	878.8515	KDM1B	423.6774
KDM2A	7927.8711	KDM2A	2755.4206
KDM2B	1013.9741	KDM2B	457.5239
KDM3A	1599.4398	KDM3A	1150.9107
KDM3B	3029.4118	KDM3B	2657.8491
KDM4A	1335.4342	KDM4A	1284.0416
KDM4B	5295.5182	KDM4B	806.5915
KDM4C	652.3109	KDM4C	578.4909
KDM4D	23.1092	KDM4D	32.5239
KDM5A	2129.902	KDM5A	1885.0824
KDM5B	4788.1653	KDM5B	1176.9297
KDM5C	2455.5322	KDM5C	1603.209
KDM5D	1051.8207	KDM5D	1153.5126
KDM6A	803.5714	KDM6A	442.3244
KDM6B	457.9832	KDM6B	953.1657
KDR	488.7955	KDR	3355.5941
KDSR	2730.042	KDSR	1988.2914
KEAP1	1639.0056	KEAP1	1412.8361
KEL	22.7591	removed	removed
KERA	11.9048	KERA	8.2394
KGFLP2	92.0413	KGFLP2	43.9029
KHDC1	25.2801	KHDC1	10.8413
KHDRBS1	5364.1457	KHDRBS1	2343.0182
KHDRBS3	132.3529	KHDRBS3	314.8309
KHK	158.6064	KHK	125.0607
KHNYN	2598.0392	KHNYN	2032.281
KHSRP	3224.7899	KHSRP	1507.8057
KIAA0020	640.056	KIAA0020	469.6444
KIAA0040	5081.5826	KIAA0040	2383.3478
KIAA0087	66.8768	KIAA0087	10.4076
KIAA0090	943.9776	KIAA0090	1277.9705
KIAA0100	7404.4398	KIAA0100	7637.0035
KIAA0101	876.0504	KIAA0101	20.3816
KIAA0114	754.902	KIAA0114	181.6999
KIAA0125	5.2521	removed	removed
KIAA0141	840.6863	KIAA0141	1248.0486
KIAA0146	1088.9356	KIAA0146	652.6453
KIAA0174	2454.8319	KIAA0174	2819.601
KIAA0182	4616.2465	KIAA0182	4165.6548
KIAA0195	1192.7136	KIAA0195	1733.144
KIAA0196	3141.1064	KIAA0196	1559.4102
KIAA0226	681.3725	KIAA0226	747.1813
KIAA0232	1853.2913	KIAA0232	2274.935
KIAA0240	898.4594	KIAA0240	1060.7112
KIAA0247	2108.1933	KIAA0247	1356.0278
KIAA0284	1106.4426	KIAA0284	1318.3001
KIAA0317	1165.2661	KIAA0317	611.882
KIAA0319L	3071.4286	KIAA0319L	1205.5507
KIAA0319	21.0084	removed	removed
KIAA0355	939.7759	KIAA0355	2099.7398
KIAA0368	3496.1485	KIAA0368	4713.3565
KIAA0391	529.0021	KIAA0391	401.1969
KIAA0406	1086.4846	KIAA0406	472.2463
removed	removed	KIAA0408	1167.3287
KIAA0415	421.2185	KIAA0415	535.5594
KIAA0427	831.9328	KIAA0427	5647.0078
KIAA0430	2240.1961	KIAA0430	3426.2793
KIAA0467	966.2045	KIAA0467	1556.431
KIAA0494	3349.9895	KIAA0494	6131.7129
KIAA0495	427.521	KIAA0495	650.477
KIAA0513	374.2997	KIAA0513	353.8595
KIAA0528	1183.8235	KIAA0528	891.1535
KIAA0556	800.7703	KIAA0556	515.6114
KIAA0562	610.2941	KIAA0562	1128.7944
KIAA0564	400.2101	KIAA0564	1272.333
KIAA0586	760.1541	KIAA0586	350.3903
KIAA0649	893.2073	KIAA0649	541.1969
KIAA0652	1167.0168	KIAA0652	2495.6635
KIAA0664P3	51.8207	KIAA0664P3	9.5403
KIAA0664	1070.7283	KIAA0664	1779.2715
KIAA0748	6.3025	KIAA0748	17.7797
KIAA0753	207.6331	KIAA0753	266.6956
KIAA0754	360.9944	KIAA0754	1077.6236
KIAA0776	1082.6331	KIAA0776	984.8222
KIAA0802	612.395	KIAA0802	50.3036
KIAA0831	566.1765	KIAA0831	735.039
KIAA0892	1615.8964	KIAA0892	1143.5386
KIAA0895L	175.2276	KIAA0895L	120.6938
KIAA0895	553.9216	KIAA0895	46.4007
KIAA0907	880.6022	KIAA0907	460.5377
KIAA0913	1727.591	KIAA0913	1869.0373
KIAA0922	617.6471	KIAA0922	1147.4415
KIAA0947	1672.2689	KIAA0947	1383.3478
KIAA1009	198.5294	KIAA1009	270.1648
KIAA1012	2013.3053	KIAA1012	1347.3547
KIAA1024	49.0196	KIAA1024	22.5499
KIAA1033	1571.4286	KIAA1033	1505.6375
removed	removed	KIAA1045	59.4102
KIAA1107	110.6443	KIAA1107	245.013
KIAA1109	2549.3697	KIAA1109	4193.4085
KIAA1143	1014.0056	KIAA1143	907.1986
KIAA1147	1177.8711	KIAA1147	1086.2966
KIAA1161	197.1289	KIAA1161	441.8907
KIAA1191	1714.2857	KIAA1191	1913.2697
KIAA1199	251.4006	removed	removed
KIAA1210	9.4538	removed	removed
KIAA1211	30.8123	KIAA1211	18.2134
KIAA1217	2941.5266	KIAA1217	1566.3487
removed	removed	KIAA1239	133.5646
KIAA1244	2445.028	KIAA1244	249.7832
KIAA1257	18.5574	removed	removed
KIAA1267	1531.5126	KIAA1267	1120.9887
KIAA1274	86.4846	KIAA1274	171.7259
KIAA1279	939.7759	KIAA1279	895.0564
KIAA1310	1928.9216	KIAA1310	1627.9271
KIAA1324L	536.7647	KIAA1324L	709.0199
KIAA1324	3128.8515	KIAA1324	42.9315
KIAA1328	320.028	KIAA1328	166.9558
KIAA1370	1868.6975	KIAA1370	1310.0607
KIAA1377	154.4118	KIAA1377	1121.856
KIAA1383	251.0504	KIAA1383	60.2775
KIAA1407	311.2745	KIAA1407	143.1049
removed	removed	KIAA1409	7.3721
KIAA1429	3079.1317	KIAA1429	1917.1726
KIAA1430	1612.7451	KIAA1430	1205.9844
KIAA1432	707.437	KIAA1432	1017.6366
KIAA1462	586.1345	KIAA1462	3573.2871
KIAA1467	1918.4174	KIAA1467	348.6557
KIAA1468	995.4482	KIAA1468	612.7493
KIAA1522	6778.0112	KIAA1522	908.4996
KIAA1524	485.6443	KIAA1524	39.8959
KIAA1529	140.7563	KIAA1529	112.3157
KIAA1530	368.3473	KIAA1530	203.3825
KIAA1539	250.3501	KIAA1539	653.0789
KIAA1543	884.8039	KIAA1543	14.7441
KIAA1549	358.5434	KIAA1549	114.9176
KIAA1586	142.507	KIAA1586	177.7971
KIAA1598	3525.2101	KIAA1598	757.1552
KIAA1609	325.6303	KIAA1609	300.954
KIAA1614	21.3901	KIAA1614	240.1431
KIAA1632	1849.7899	KIAA1632	1243.2784
KIAA1644	42.0168	KIAA1644	31.6565
KIAA1671	2237.7451	KIAA1671	2140.503
KIAA1683	40.9664	KIAA1683	204.6834
KIAA1704	185.5917	KIAA1704	300.1605
KIAA1712	438.1933	KIAA1712	260.3122
KIAA1715	1102.2409	KIAA1715	1173.0269
KIAA1731	501.4006	KIAA1731	320.902
KIAA1737	1275.9104	KIAA1737	839.1154
KIAA1755	113.4454	KIAA1755	202.9488
KIAA1797	931.0224	KIAA1797	641.804
KIAA1804	314.4258	KIAA1804	23.8508
KIAA1826	312.6751	KIAA1826	359.497
KIAA1841	380.9524	KIAA1841	253.2524
KIAA1875	14.7059	removed	removed
KIAA1908	62.6751	KIAA1908	453.5993
KIAA1919	83.3333	KIAA1919	104.0763
KIAA1949	908.2633	KIAA1949	1824.3712
KIAA1958	219.5378	KIAA1958	43.3651
KIAA1967	2425.4202	KIAA1967	1638.3348
removed	removed	KIAA1984	5.2038
KIAA2013	715.3361	KIAA2013	1194.7095
KIAA2018	1211.1345	KIAA2018	1369.0373
removed	removed	KIAA2022	36.4267
KIAA2026	1004.2017	KIAA2026	964.8742
KIDINS220	2733.8936	KIDINS220	3177.3634
KIF11	1990.8964	KIF11	78.4909
KIF12	330.1821	removed	removed
KIF13A	1858.5434	KIF13A	2849.523
KIF13B	1535.7143	KIF13B	1423.6687
KIF14	1538.1653	KIF14	11.7086
KIF15	698.8796	KIF15	26.8864
KIF16B	2513.3053	KIF16B	854.7268
KIF17	7.7031	KIF17	103.6427
KIF18A	464.986	KIF18A	11.2749
KIF18B	663.5154	KIF18B	8.673
removed	removed	KIF19	39.4623
KIF1B	1286.4146	KIF1B	2411.9688
KIF1C	1541.3165	KIF1C	11547.7016
KIF20A	1307.0728	KIF20A	19.948
KIF20B	1136.5546	KIF20B	143.1049
KIF21A	1740.1961	KIF21A	338.248
KIF21B	133.0532	KIF21B	155.2472
KIF22	1829.8319	KIF22	355.1605
KIF23	1369.7479	KIF23	35.9931
KIF24	515.4062	KIF24	36.4267
removed	removed	KIF25	17.7797
KIF26A	12.605	KIF26A	481.7866
KIF26B	261.9048	KIF26B	5.6375
KIF27	194.6779	KIF27	75.889
KIF2A	851.8908	KIF2A	534.6921
KIF2C	1600.4902	KIF2C	32.5239
KIF3A	613.0952	KIF3A	195.1431
KIF3B	3949.2297	KIF3B	2339.549
KIF3C	647.409	KIF3C	385.516
KIF4A	1318.2773	KIF4A	13.4432
KIF4B	15.7563	removed	removed
KIF5A	6.6527	removed	removed
KIF5B	7079.1317	KIF5B	6018.2134
KIF5C	190.4762	KIF5C	59.8439
KIF6	28.3613	KIF6	16.9124
KIF7	75.1611	KIF7	308.9896
KIF9	99.4398	KIF9	70.2515
KIFAP3	1245.7983	KIFAP3	1055.941
KIFC1	1443.2773	KIFC1	36.4267
KIFC2	1413.5329	KIFC2	200.3469
KIFC3	114.4958	KIFC3	758.0225
KILLIN	51.1204	KILLIN	84.562
KIN	202.0308	KIN	213.3565
removed	removed	KIRREL3	18.2134
KIRREL	82.6331	KIRREL	1329.575
KISS1	5.2521	removed	removed
KITLG	2647.7591	KITLG	885.516
KIT	192.9272	KIT	244.1457
KLB	20.3081	KLB	5172.5932
KLC1	1085.7843	KLC1	2204.6834
KLC2	791.3165	KLC2	327.8404
KLC3	74.93	removed	removed
KLC4	363.869	KLC4	581.1969
KLF10	2307.0728	KLF10	3855.1605
KLF11	742.9972	KLF11	2327.4068
KLF12	360.6443	KLF12	503.4692
KLF13	2250.7003	KLF13	3984.8222
removed	removed	KLF14	45.967
removed	removed	KLF15	769.7311
KLF16	379.5518	KLF16	120.9887
KLF2	171.9188	KLF2	3658.2827
KLF3	1153.3613	KLF3	2392.4545
KLF4	188.3754	KLF4	8429.3148
KLF5	142.8571	KLF5	124.4579
KLF6	2763.3053	KLF6	11744.5794
KLF7	149.8599	KLF7	304.4232
KLF8	186.6246	KLF8	1078.0572
KLF9	1119.7479	KLF9	3976.5828
KLHDC10	1367.2969	KLHDC10	1233.7381
KLHDC1	50.07	KLHDC1	137.0338
KLHDC2	616.5966	KLHDC2	1171.7259
KLHDC3	1286.7647	KLHDC3	2289.6791
KLHDC4	244.1807	KLHDC4	242.2203
KLHDC5	1238.0952	KLHDC5	605.3773
KLHDC7A	1515.7563	KLHDC7A	38.595
KLHDC7B	436.9748	KLHDC7B	14.3105
KLHDC8B	341.3866	KLHDC8B	1420.6418
KLHDC9	89.986	KLHDC9	41.1969
removed	removed	KLHL10	8.673
KLHL11	488.0952	KLHL11	65.915
KLHL12	2400.5602	KLHL12	909.8005
KLHL13	8.4034	KLHL13	132.6973
KLHL14	564.4258	KLHL14	26.0191
KLHL15	378.8515	KLHL15	438.4215
KLHL17	102.9412	KLHL17	35.5594
KLHL18	559.1737	KLHL18	527.7537
KLHL1	1100.4902	KLHL1	5.6375
KLHL20	402.3109	KLHL20	901.9948
KLHL21	517.1569	KLHL21	2395.9237
KLHL22	489.4958	KLHL22	619.2541
KLHL23	198.7955	KLHL23	95.2125
KLHL24	1164.2157	KLHL24	1846.4874
KLHL25	370.4482	KLHL25	285.3426
KLHL26	264.3557	KLHL26	226.366
KLHL28	494.0476	KLHL28	356.4614
KLHL29	26.6106	KLHL29	455.7676
KLHL2	127.1008	KLHL2	470.0781
removed	removed	KLHL30	91.9341
KLHL31	12.7521	KLHL31	1484.3886
