gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
AHNAK	59872.8992	AHNAK	221938.4215
AHRR	66.5266	AHRR	30.3556
AHR	1526.9608	AHR	3159.15
AHSA1	1809.1737	AHSA1	1225.9324
AHSA2	298.6695	AHSA2	401.5611
AIDA	1594.2262	AIDA	1955.915
AIF1L	115.1961	AIF1L	2650.477
AIF1	186.6246	AIF1	449.6964
AIFM1	1166.6667	AIFM1	907.6323
AIFM2	297.2689	AIFM2	4325.2385
AIFM3	65.7318	AIFM3	9.974
AIG1	901.6106	AIG1	1352.5585
AIM1L	10.8543	removed	removed
AIM1	4491.2465	AIM1	2520.3816
AIM2	15.7563	AIM2	7.3721
AIMP1	1412.3424	AIMP1	799.6921
AIMP2	485.3326	AIMP2	254.9306
AIP	1180.3221	AIP	896.791
removed	removed	AJAP1	14.3105
AK1	393.5574	AK1	1016.4788
AK2	1765.4062	AK2	1915.0043
AK3L1	58.8235	AK3L1	491.7606
AK3	741.9468	AK3	3029.0546
AK5	24.5098	AK5	9.5403
AK7	39.2157	AK7	13.8768
AKAP10	799.7199	AKAP10	613.6167
AKAP11	961.1345	AKAP11	2703.3825
AKAP12	310.5742	AKAP12	9092.3677
AKAP13	2411.4146	AKAP13	3584.9957
AKAP1	2718.1373	AKAP1	2838.6817
AKAP2	344.7934	AKAP2	3122.5282
removed	removed	AKAP3	39.0286
AKAP5	81.2325	AKAP5	16.0451
AKAP6	56.7227	AKAP6	59.4102
AKAP7	151.2605	AKAP7	237.6409
AKAP8L	792.0168	AKAP8L	593.235
AKAP8	690.4762	AKAP8	456.2012
AKAP9	4775.5602	AKAP9	1901.9948
AKD1	230.042	AKD1	152.2116
AKIRIN1	1246.4986	AKIRIN1	1256.7216
AKIRIN2	529.4118	AKIRIN2	888.5516
AKNA	404.0616	AKNA	1068.5169
AKR1A1	1428.5714	AKR1A1	1530.7892
removed	removed	AKR1B10	6.5048
removed	removed	AKR1B15	42.9315
AKR1B1	197.1289	AKR1B1	1128.7944
AKR1C1	19.958	AKR1C1	14114.484
AKR1C2	18.2073	AKR1C2	8772.333
AKR1C3	60.9244	AKR1C3	6931.4831
removed	removed	AKR1E2	45.0997
AKR7A2	482.8431	AKR7A2	1182.5672
AKR7A3	128.5014	removed	removed
AKR7L	18.2073	removed	removed
AKT1S1	806.7227	AKT1S1	1014.7441
AKT1	3175.07	AKT1	3778.4042
AKT2	2683.8235	AKT2	4829.575
AKT3	167.0168	AKT3	1332.1769
AKTIP	579.8529	AKTIP	787.1206
ALAD	1028.7115	ALAD	4691.2402
ALAS1	792.0168	ALAS1	1336.5134
removed	removed	ALAS2	29.9219
ALB	11.5546	removed	removed
ALCAM	4020.6583	ALCAM	771.0321
