gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
LEFTY1	17.9803	removed	removed
removed	removed	LEFTY2	32.3625
LEKR1	27.0936	LEKR1	12.1359
LEMD2	591.8367	LEMD2	563.9159
LEMD3	1221.6749	LEMD3	862.8641
LENG1	93.9479	LENG1	93.0421
LENG8	636.798	LENG8	2350.2387
LENG9	64.4687	LENG9	70.0688
LEO1	1467.6284	LEO1	416.2621
LEPRE1	610.1337	LEPRE1	489.8867
LEPREL1	53.4835	LEPREL1	366.5049
LEPREL2	104.152	LEPREL2	339.4013
LEPROTL1	926.4602	LEPROTL1	1251.2136
LEPROT	460.936	LEPROT	1779.0372
LEPR	109.7889	LEPR	4569.6683
LEP	75.2991	LEP	34697.0065
LETM1	2786.0662	LETM1	905.7443
LETM2	37.6495	LETM2	20.6311
LETMD1	700.2111	LETMD1	1444.5793
LFNG	1591.4849	LFNG	626.2136
LGALS12	5.6298	LGALS12	938.5113
removed	removed	LGALS14	10.9223
LGALS1	1980.9993	LGALS1	8652.1036
LGALS3BP	12169.247	LGALS3BP	9031.1489
LGALS3	1282.1956	LGALS3	6513.3495
LGALS8	5174.2153	LGALS8	1631.4725
removed	removed	LGALS9C	6.877
LGALS9	242.4349	LGALS9	604.7735
removed	removed	LGI1	6.877
LGI2	53.4835	LGI2	429.6117
LGI4	23.9268	LGI4	345.0647
LGMN	853.2723	LGMN	8993.123
LGR4	1066.8543	LGR4	1913.835
removed	removed	LGR5	46.9256
LGR6	8.4448	LGR6	124.5955
LGTN	2880.0141	LGTN	1330.0971
removed	removed	LHCGR	141.5858
LHFPL1	6.3336	removed	removed
LHFPL2	884.2365	LHFPL2	1908.5761
LHFPL5	10.9078	removed	removed
LHFP	319.8452	LHFP	4474.5146
LHPP	167.1358	LHPP	342.233
LHX2	28.5011	removed	removed
LHX6	49.2611	LHX6	662.2168
LIAS	90.0774	LIAS	271.0356
LIFR	1842.3645	LIFR	7330.5016
LIF	13.3709	LIF	63.1068
LIG1	271.2878	LIG1	154.5307
LIG3	1951.4426	LIG3	357.6052
LIG4	406.0521	LIG4	407.767
removed	removed	LILRA1	12.945
removed	removed	LILRA2	32.767
removed	removed	LILRA3	6.4725
removed	removed	LILRA5	47.3301
removed	removed	LILRA6	184.0332
LILRB1	9.8522	LILRB1	108.8188
LILRB2	10.9078	LILRB2	233.4142
removed	removed	LILRB3	68.7985
LILRB4	38.7051	LILRB4	346.6828
LILRB5	10.5559	LILRB5	1373.7864
LIMA1	3291.3441	LIMA1	7818.7702
LIMCH1	456.3688	LIMCH1	6081.3107
LIMD1	1030.9923	LIMD1	796.3592
LIMD2	44.064	LIMD2	89.9191
LIME1	8.2899	LIME1	21.1934
LIMK1	612.9486	LIMK1	415.0485
LIMK2	622.449	LIMK2	1014.1586
LIMS1	290.6404	LIMS1	807.0388
LIMS2	103.0964	LIMS2	1346.6828
removed	removed	LIMS3-LOC440895	35.2994
removed	removed	LIMS3	20.1214
LIN37	45.2991	LIN37	84.5105
LIN52	147.0795	LIN52	211.9741
LIN54	551.0204	LIN54	354.3689
LIN7A	39.057	LIN7A	61.8932
LIN7B	13.019	LIN7B	19.0129
LIN7C	1396.1999	LIN7C	816.343
LIN9	552.7797	LIN9	129.8544
LINGO1	2473.6101	LINGO1	51.3754
LINS1	290.2885	LINS1	234.6278
LIPA	2490.4996	LIPA	4261.3269
removed	removed	LIPC	23.0583
LIPE	95.0035	LIPE	13742.9612
LIPG	14.0746	LIPG	27.9126
LIPH	39.4089	LIPH	47.7346
LIPT1	99.1977	LIPT1	139.0696
LIPT2	24.7044	LIPT2	12.1359
LITAF	2965.8691	LITAF	4315.9385
LIX1L	159.3948	LIX1L	1093.8511
LLGL1	239.62	LLGL1	378.2362
LLGL2	1690.7108	LLGL2	106.3916
LLPH	762.924	LLPH	491.8042
LMAN1	12804.3631	LMAN1	3906.1489
LMAN2L	1352.2167	LMAN2L	580.9061
LMAN2	1767.4173	LMAN2	1133.4951
LMBR1L	270.2322	LMBR1L	299.3528
LMBR1	1829.6974	LMBR1	1038.0259
LMBRD1	1760.7319	LMBRD1	2654.9353
LMBRD2	1163.6172	LMBRD2	349.11
LMCD1	261.7875	LMCD1	2435.2751
LMF1	297.3258	LMF1	169.4984
LMF2	483.8142	LMF2	753.2362
LMLN	372.9768	LMLN	275.89
LMNA	2042.2238	LMNA	7461.9741
LMNB1	1482.4068	LMNB1	107.2006
LMNB2	2188.2477	LMNB2	421.1165
LMO2	113.6524	LMO2	786.8123
LMO3	48.5574	LMO3	707.5243
LMO4	597.4666	LMO4	1510.5178
LMO7	381.0697	LMO7	304.6117
LMOD1	169.5989	LMOD1	5411.0032
removed	removed	LMOD3	8.0906
LMTK2	635.468	LMTK2	400.89
LMTK3	131.9493	LMTK3	19.822
removed	removed	LMX1A	51.3754
LMX1B	1346.5869	LMX1B	200.2427
LNP1	29.9191	LNP1	66.7799
LNPEP	753.6946	LNPEP	1471.0356
LNX1	161.1541	LNX1	315.1294
LNX2	897.2555	LNX2	310.6796
LOC100009676	79.0816	LOC100009676	70.2508
removed	removed	LOC100101266	7.2816
removed	removed	LOC100124692	64.3204
LOC100125556	86.3441	LOC100125556	24.5712
removed	removed	LOC100126784	29.4579
removed	removed	LOC100127888	5.894
removed	removed	LOC100128164	36.0032
LOC100128191	50.6615	LOC100128191	18.8673
LOC100128288	10.2041	LOC100128288	57.4434
removed	removed	LOC100128292	7.6861
LOC100128640	6.6854	LOC100128640	21.8447
LOC100128788	39.064	removed	removed
LOC100128822	39.057	LOC100128822	131.4725
LOC100128842	41.1682	LOC100128842	22.6537
LOC100128977	5.9817	removed	removed
LOC100129034	1118.9268	LOC100129034	2211.4239
LOC100129387	36.6854	LOC100129387	72.8681
LOC100129534	23.9268	LOC100129534	19.4175
LOC100129550	344.4757	LOC100129550	398.4628
LOC100129637	53.8353	LOC100129637	162.7427
LOC100129716	7.741	LOC100129716	7.2816
LOC100130015	13.6911	LOC100130015	17.3584
LOC100130093	81.33	LOC100130093	34.64
LOC100130238	6.3336	removed	removed
LOC100130522	8.0929	LOC100130522	5.2589
LOC100130557	35.6685	LOC100130557	24.4053
LOC100130581	81.2808	LOC100130581	51.7799
LOC100130691	14.4652	LOC100130691	16.4482
LOC100130776	171.2632	LOC100130776	98.1432
LOC100130872	156.5799	LOC100130872	44.4984
LOC100130932	64.0394	LOC100130932	31.9579
LOC100130987	6.6854	LOC100130987	7.2816
LOC100131193	64.3913	LOC100131193	12.5405
LOC100131434	18.0753	LOC100131434	31.2015
LOC100131691	20.658	LOC100131691	16.0316
LOC100131726	10.5559	removed	removed
LOC100132111	8.4448	LOC100132111	14.9676
LOC100132215	6.3336	LOC100132215	24.6845
LOC100132247	103.0964	LOC100132247	155.3398
LOC100132287	91.133	LOC100132287	124.1909
LOC100132288	95.0035	LOC100132288	63.9159
LOC100132707	91.8649	LOC100132707	157.7751
LOC100133161	7.1675	LOC100133161	10.9223
LOC100133331	68.3638	LOC100133331	65.1659
removed	removed	LOC100133545	6.4725
LOC100133612	12.6671	LOC100133612	7.2816
removed	removed	LOC100133669	7.6861
removed	removed	LOC100133920	6.4725
LOC100133991	80.5771	LOC100133991	10.1133
LOC100134229	35.8902	LOC100134229	159.3851
LOC100134259	9.5004	LOC100134259	17.7994
LOC100134368	6.3336	removed	removed
LOC100134713	13.3744	LOC100134713	6.4725
removed	removed	LOC100134868	6.068
LOC100144603	10.9078	removed	removed
LOC100170939	125.651	LOC100170939	68.8228
LOC100188947	6.3336	LOC100188947	5.6634
removed	removed	LOC100188949	8.8997
LOC100190938	121.7452	LOC100190938	327.2654
LOC100190939	43.6312	LOC100190939	141.9903
LOC100190986	290.6404	LOC100190986	272.6537
removed	removed	LOC100192378	15.7767
LOC100216545	14.7783	LOC100216545	39.644
removed	removed	LOC100233209	20.2265
removed	removed	LOC100240735	28.3172
LOC100268168	6.6854	LOC100268168	6.068
LOC100270710	51.1224	LOC100270710	179.2921
LOC100270746	11.9634	LOC100270746	13.754
LOC100270804	10.9078	LOC100270804	29.1262
LOC100271722	8.7966	LOC100271722	44.9029
LOC100271836	625.6263	LOC100271836	568.7783
LOC100272146	32.3716	LOC100272146	38.835
LOC100272216	45.4996	LOC100272216	31.4482
removed	removed	LOC100272217	13.754
LOC100272228	14.0746	LOC100272228	24.2718
LOC100286793	53.8353	LOC100286793	86.9741
LOC100286844	25.1689	LOC100286844	35.3883
LOC100288778	116.8754	LOC100288778	157.6416
LOC100289341	5.9817	LOC100289341	33.9806
LOC100302401	7.0443	LOC100302401	24.6764
removed	removed	LOC100302640	10.9223
removed	removed	LOC100302650	17.7994
LOC100303728	5.9817	LOC100303728	19.822
LOC113230	113.3005	LOC113230	46.1165
LOC115110	69.5567	LOC115110	50.4207
LOC127841	7.3892	removed	removed
LOC134466	10.2041	LOC134466	118.5275
removed	removed	LOC143188	19.822
removed	removed	LOC143666	5.2589
LOC144438	1462.3505	LOC144438	824.8382
removed	removed	LOC144486	8.4951
LOC144571	11.2738	LOC144571	93.5113
LOC145783	25.8586	LOC145783	17.1117
removed	removed	LOC145820	48.9482
LOC145837	111.5412	LOC145837	6.4725
LOC146880	218.3603	LOC146880	297.9531
LOC147727	93.2442	LOC147727	333.7379
LOC147804	47.5018	LOC147804	92.6375
LOC148189	34.1309	LOC148189	43.2848
LOC148413	719.0816	LOC148413	219.2921
LOC148696	28.1034	LOC148696	23.9644
LOC148709	62.2801	removed	removed
LOC149134	42.2238	LOC149134	6.068
LOC149620	12.3153	removed	removed
LOC149837	147.0795	LOC149837	169.0939
LOC150381	36.5939	LOC150381	59.8503
LOC150776	131.5975	LOC150776	140.7767
LOC150786	58.7614	LOC150786	67.1521
LOC151009	31.6678	LOC151009	84.9515
LOC151162	1461.9986	LOC151162	1361.6505
LOC151534	76.3547	LOC151534	137.6578
LOC152217	73.8916	LOC152217	153.3172
LOC152225	3247.0091	LOC152225	5.2589
LOC153328	17.5932	removed	removed
LOC153684	43.6312	LOC153684	38.0259
LOC154761	11.6432	LOC154761	42.9854
removed	removed	LOC154822	8.6812
removed	removed	LOC158376	169.0939
LOC158572	32.0197	LOC158572	28.3172
LOC158696	16.1858	LOC158696	16.5858
LOC162632	20.6791	LOC162632	245.2427
LOC168474	11.6115	LOC168474	8.8997
LOC200030	1058.3075	LOC200030	640.1173
removed	removed	LOC201651	17.7994
LOC202181	40.1126	LOC202181	80.9061
LOC202781	42.2238	LOC202781	121.7638
LOC219347	104.6481	LOC219347	83.4749
LOC220594	11.9634	LOC220594	74.8139
LOC220729	85.5032	LOC220729	159.7896
LOC220930	34.3948	LOC220930	86.7799
removed	removed	LOC221442	45.712
LOC221710	660.8023	LOC221710	448.2201
LOC222699	45.0387	LOC222699	23.8673
LOC253039	241.3793	LOC253039	762.945
LOC253724	5.6298	LOC253724	12.945
LOC254559	407.1077	LOC254559	52.589
removed	removed	LOC255167	5.2589
removed	removed	LOC257358	25.0809
LOC25845	97.9521	LOC25845	172.9248
LOC282997	8.0929	LOC282997	28.3172
LOC283050	20.76	LOC283050	16.1812
LOC283070	106.2632	LOC283070	539.644
LOC283174	46.0943	LOC283174	102.3463
LOC283267	130.5419	LOC283267	491.1003
LOC283314	21.8578	LOC283314	69.7087
removed	removed	LOC283392	668.4951
removed	removed	LOC283663	18.6084
LOC283731	8.7966	LOC283731	8.8997
LOC283867	13.7227	removed	removed
LOC283922	19.7044	LOC283922	60.2751
LOC284023	42.5757	LOC284023	91.8285
LOC284232	27.0936	LOC284232	16.1812
removed	removed	LOC284233	12.945
removed	removed	LOC284276	10.1133
LOC284440	84.0957	LOC284440	126.6181
LOC284441	202.6742	LOC284441	110.4369
removed	removed	LOC284578	29.9353
LOC284837	91.4849	LOC284837	19.0129
LOC284900	268.7403	LOC284900	107.8762
LOC285033	32.164	LOC285033	43.5356
LOC285074	108.7262	LOC285074	213.9968
LOC285359	83.392	LOC285359	37.6214
removed	removed	LOC285419	9.7087
removed	removed	LOC285593	10.5178
LOC285830	18.7861	LOC285830	59.4458
removed	removed	LOC286002	15.7767
LOC286367	11.9634	LOC286367	228.1553
LOC338651	23.2231	LOC338651	8.0906
LOC338758	11.6115	LOC338758	33.1715
LOC338799	64.0394	LOC338799	151.699
LOC339047	299.437	LOC339047	740.6958
LOC339290	216.045	LOC339290	1161.8123
LOC339524	86.4356	LOC339524	1354.3689
removed	removed	LOC339535	5.2589
LOC341056	6.3336	LOC341056	8.0906
LOC344595	68.2618	LOC344595	174.3528
LOC348926	51.0204	LOC348926	27.1036
LOC349114	137.2273	LOC349114	69.5793
removed	removed	LOC349196	5.6634
LOC374443	308.2336	LOC374443	139.9676
LOC375190	86.5588	LOC375190	194.5793
LOC387646	749.8241	LOC387646	42.4757
LOC387647	383.4624	LOC387647	736.4361
LOC388152	162.2097	LOC388152	55.8252
removed	removed	LOC388242	30.3398
LOC388692	212.5264	LOC388692	279.9353
LOC388789	406.4039	LOC388789	461.5696
LOC388796	111.1893	LOC388796	103.5599
LOC388955	163.6172	LOC388955	117.7184
LOC389333	41.8719	LOC389333	23.8673
LOC389493	132.6531	removed	removed
removed	removed	LOC389705	33.5761
LOC399744	51.3723	LOC399744	40.8576
LOC399815	15.8339	removed	removed
LOC399959	123.5046	LOC399959	943.3657
LOC400027	120.3378	LOC400027	230.9871
LOC400043	27.4455	LOC400043	310.2751
LOC400657	93.9479	LOC400657	212.7832
removed	removed	LOC400752	8.4951
removed	removed	LOC400759	16.9903
removed	removed	LOC400804	6.4725
LOC400927	6.9106	LOC400927	22.5647
LOC400931	31.6678	LOC400931	57.4434
LOC401010	78.4659	LOC401010	24.6764
LOC401052	31.6678	LOC401052	337.7832
LOC401093	31.5341	LOC401093	478.5477
removed	removed	LOC401127	5.6634
LOC401397	586.9106	LOC401397	692.9612
LOC401431	7.0373	LOC401431	85.8455
removed	removed	LOC401463	5.2589
LOC401588	16.8895	LOC401588	28.7217
LOC402377	9.8522	LOC402377	8.4951
LOC407835	106.9669	LOC407835	41.6667
removed	removed	LOC415056	8.0906
removed	removed	LOC440173	5.2589
LOC440354	134.7678	LOC440354	135.1133
removed	removed	LOC440461	6.068
LOC440905	6.3336	LOC440905	15.3722
removed	removed	LOC440925	10.1133
LOC440944	116.8191	LOC440944	185.6796
LOC440957	24.6305	LOC440957	74.4337
removed	removed	LOC441046	8.8997
LOC441089	97.8184	LOC441089	81.3107
LOC441204	12.6671	LOC441204	90.6149
LOC441208	32.7234	LOC441208	44.0939
LOC441294	77.0584	LOC441294	55.0162
LOC441455	9.1485	removed	removed
LOC441666	148.8388	LOC441666	29.5307
LOC441869	13.7227	LOC441869	167.4757
LOC442421	5.278	LOC442421	7.2816
LOC442454	179.803	LOC442454	150.4854
LOC493754	371.2175	LOC493754	576.8608
LOC541471	128.0788	LOC541471	164.644
LOC550112	147.4314	LOC550112	224.5146
LOC550643	438.7755	LOC550643	198.6246
removed	removed	LOC554202	11.7314
removed	removed	LOC55908	20.2265
removed	removed	LOC572558	34.7896
LOC595101	177.3399	LOC595101	55.8252
removed	removed	LOC606724	9.7087
LOC613037	42.2238	removed	removed
LOC619207	6.3336	LOC619207	10.9223
LOC641298	310.6897	LOC641298	40.2144
LOC641367	8.4448	LOC641367	7.6861
LOC642587	8.7966	LOC642587	185.2751
removed	removed	LOC642597	11.3269
LOC642826	60.5841	LOC642826	59.6561
LOC642846	40.4645	LOC642846	85.356
LOC642852	76.0028	LOC642852	224.9191
LOC643008	15.4821	removed	removed
LOC643387	49.9648	LOC643387	45.3074
LOC643677	5.9817	removed	removed
removed	removed	LOC643719	6.877
removed	removed	LOC643763	5.6634
LOC643837	195.6369	LOC643837	216.8285
LOC644165	10.9078	LOC644165	5.2589
removed	removed	LOC644172	6.877
LOC644538	30.6122	LOC644538	262.5405
LOC644936	13.019	LOC644936	24.2718
LOC645166	251.5834	LOC645166	83.3333
LOC645323	6.6854	removed	removed
LOC645332	88.3181	LOC645332	47.7346
LOC645431	7.4982	LOC645431	6.61
removed	removed	LOC645676	10.9547
LOC646214	145.6721	LOC646214	131.4725
LOC646471	24.2752	LOC646471	48.9482
LOC646762	1334.9754	LOC646762	387.1359
LOC646851	91.8367	LOC646851	21.4401
removed	removed	LOC646982	6.068
LOC646999	46.798	LOC646999	30.7443
LOC647121	210.7671	LOC647121	76.0518
LOC647288	21.4638	removed	removed
removed	removed	LOC647309	7.2816
LOC647946	37.2977	LOC647946	9.7087
LOC647979	9336.031	LOC647979	16882.6861
removed	removed	LOC648740	23.3495
LOC649330	32.3716	LOC649330	10.9223
LOC650368	18.297	LOC650368	47.7346
LOC650623	58.0577	LOC650623	165.4531
LOC651250	1821.9564	LOC651250	2720.4693
LOC652276	46.4462	LOC652276	34.7896
LOC653113	9.8522	LOC653113	13.754
LOC653501	174.525	LOC653501	272.6537
LOC653566	1805.7706	LOC653566	1290.8576
LOC653653	57.354	LOC653653	192.9612
LOC654342	314.2153	LOC654342	391.9903
LOC654433	15.4821	LOC654433	127.8317
LOC678655	188.7614	LOC678655	219.3689
LOC723972	17.5932	LOC723972	6.877
LOC727896	30.6122	LOC727896	30.3398
LOC728024	17.5932	LOC728024	26.699
LOC728190	69.3174	LOC728190	204.6926
LOC728264	46.0943	LOC728264	1002.0227
LOC728323	31.316	LOC728323	39.2395
LOC728392	28.1492	LOC728392	102.3463
LOC728554	192.4701	LOC728554	62.7023
LOC728606	114.0042	removed	removed
LOC728613	395.848	LOC728613	143.2039
LOC728640	45.7424	LOC728640	34.7896
LOC728643	35.1865	LOC728643	38.4304
LOC728723	15.1302	LOC728723	37.2168
LOC728743	68.6137	LOC728743	120.5502
LOC728758	29.2048	LOC728758	23.4628
removed	removed	LOC728819	46.521
LOC728855	119.9648	LOC728855	111.246
LOC728875	88.3392	LOC728875	11.3269
removed	removed	LOC728989	8.4951
LOC729020	70.0211	LOC729020	27.9126
LOC729082	944.4159	LOC729082	599.8261
LOC729176	41.5201	LOC729176	44.9029
LOC729234	33.779	LOC729234	41.2621
LOC729375	9.8522	LOC729375	19.8058
removed	removed	LOC729467	10.5178
LOC729603	21.1119	LOC729603	37.2168
LOC729678	365.2076	LOC729678	495.9587
LOC729799	11.9634	LOC729799	11.7314
LOC729991-MEF2B	12.4525	LOC729991-MEF2B	17.7346
LOC729991	371.8508	LOC729991	147.0307
LOC730101	431.3863	LOC730101	64.7249
LOC80054	7.741	LOC80054	144.4175
LOC80154	200.9148	LOC80154	69.9838
LOC81691	272.6953	LOC81691	130.2589
removed	removed	LOC84856	9.7087
LOC90110	388.107	LOC90110	300.9709
LOC90246	32.0197	LOC90246	49.7573
removed	removed	LOC90586	27.9126
LOC90784	525.3343	LOC90784	195.3883
LOC90834	10.2041	LOC90834	22.2492
LOC91316	147.6319	LOC91316	302.9328
LOC92249	199.1555	LOC92249	591.4239
LOC92659	84.4476	LOC92659	13.3495
LOC92973	76.3547	LOC92973	61.0841
removed	removed	LOC93432	16.1812
LOC93622	804.3631	LOC93622	296.521
LOC96610	2783.1985	LOC96610	6044.8382
LOH12CR1	85.5032	LOH12CR1	99.5146
LOH12CR2	16.1858	LOH12CR2	51.7799
LOH3CR2A	10.5559	LOH3CR2A	160.5987
LONP1	1604.8557	LONP1	839.4013
LONP2	2276.5658	LONP2	1884.3042
LONRF1	221.323	LONRF1	687.2977
LONRF2	1157.9873	LONRF2	461.9741
removed	removed	LONRF3	74.0291
LOXHD1	5.9817	LOXHD1	12.5405
LOXL1	377.551	LOXL1	456.7152
LOXL2	930.9641	LOXL2	1615.2427
LOXL3	21.6819	LOXL3	192.4515
LOXL4	24.6305	LOXL4	629.0453
LOX	260.0281	LOX	2423.5437
LPAR1	106.9669	LPAR1	1351.1327
LPAR2	1036.9458	LPAR2	73.2201
removed	removed	LPAR3	6.877
LPAR4	13.3709	LPAR4	15.7767
LPAR5	14.4265	LPAR5	125
LPAR6	317.3821	LPAR6	1217.233
LPCAT1	2629.4863	LPCAT1	877.8317
LPCAT2	551.0204	LPCAT2	1134.7087
LPCAT3	974.3139	LPCAT3	755.6634
LPCAT4	294.8628	LPCAT4	393.2039
LPGAT1	9162.2097	LPGAT1	3513.3495
LPHN1	2445.102	LPHN1	1144.0129
LPHN2	312.1042	LPHN2	1955.5016
LPHN3	12.6671	LPHN3	365.6958
LPIN1	476.4251	LPIN1	1476.5372
LPIN2	5630.19	LPIN2	1046.1165
LPIN3	309.1766	LPIN3	290.2468
LPL	418.0155	LPL	33027.5081
LPPR1	28.5011	LPPR1	13.3495
LPPR2	1286.7699	LPPR2	331.7152
LPPR3	890.9219	LPPR3	6.4725
LPPR4	83.7438	LPPR4	164.2395
LPPR5	10.2041	removed	removed
LPP	978.8881	LPP	1542.4757
LPXN	73.1879	LPXN	332.5243
LQK1	66.8543	LQK1	24.2718
LRAT	277.6214	LRAT	23.0583
LRBA	12555.9465	LRBA	2141.1812
LRCH1	855.7354	LRCH1	1003.2362
LRCH2	24.9824	LRCH2	172.3301
LRCH3	492.6108	LRCH3	464.4013
LRCH4	460.5911	LRCH4	306.6343
LRDD	123.5046	LRDD	67.1521
LRFN1	47.1499	LRFN1	25.4854
LRFN2	33.779	removed	removed
LRFN3	108.3744	LRFN3	98.7055
LRFN4	121.0415	LRFN4	151.2945
LRFN5	13.3709	LRFN5	97.0874
LRG1	11440.8867	LRG1	37.2168
LRGUK	13.019	removed	removed
LRIG1	1671.4814	LRIG1	2906.8163
LRIG2	204.0816	LRIG2	309.466
LRIG3	173.1175	LRIG3	1114.8867
LRIT3	22.8712	LRIT3	7.2816
LRMP	32.7234	LRMP	286.4078
LRP10	3232.2308	LRP10	4210.7605
LRP11	4609.7678	LRP11	1290
LRP12	649.1907	LRP12	422.7346
removed	removed	LRP1B	61.8932
LRP1	3302.2519	LRP1	44017.7994
LRP2BP	98.1703	LRP2BP	51.3754
LRP2	1226.2491	LRP2	527.5081
LRP3	192.083	LRP3	918.7824
LRP4	256.126	LRP4	249.1909
LRP5L	45.0387	LRP5L	42.0712
LRP5	347.6425	LRP5	2355.178
LRP6	707.2484	LRP6	2493.5275
LRP8	716.3969	LRP8	60.6796
LRPAP1	720.6193	LRPAP1	1607.2006
LRPPRC	8383.8846	LRPPRC	3964.4013
LRRC10B	21.4638	LRRC10B	19.0129
LRRC14	647.4419	LRRC14	346.1731
LRRC15	886.3476	LRRC15	310.6796
LRRC16A	1292.0479	LRRC16A	728.9644
LRRC16B	10.5559	removed	removed
LRRC17	198.0999	LRRC17	307.8479
LRRC1	1251.5834	LRRC1	308.657
LRRC20	540.1126	LRRC20	117.7184
LRRC23	135.8198	LRRC23	105.178
LRRC24	7.0267	removed	removed
LRRC25	10.9078	LRRC25	200.2427
LRRC26	44.335	removed	removed
LRRC27	114.6763	LRRC27	161.0032
LRRC28	146.3758	LRRC28	251.2136
LRRC29	9.1485	LRRC29	27.5081
removed	removed	LRRC2	216.0194
LRRC31	53.1316	LRRC31	6.877
LRRC32	657.6355	LRRC32	2056.2298
LRRC33	24.2787	LRRC33	334.9515
LRRC34	42.9275	LRRC34	109.6278
LRRC37A2	253.5468	LRRC37A2	92.6497
LRRC37A3	301.5482	LRRC37A3	67.5566
LRRC37A4	117.5229	LRRC37A4	365.4531
LRRC37A	719.5637	LRRC37A	301.3754
LRRC37B2	501.7593	LRRC37B2	452.2654
LRRC37B	62.9838	LRRC37B	109.6278
removed	removed	LRRC39	6.5574
removed	removed	LRRC3B	27.5081
LRRC3	41.5201	LRRC3	84.9515
LRRC40	234.6939	LRRC40	418.6893
LRRC41	866.9951	LRRC41	1235.4369
LRRC42	830.4011	LRRC42	347.4919
removed	removed	LRRC43	8.8997
LRRC45	442.646	LRRC45	99.5146
LRRC46	66.8543	LRRC46	5.6634
LRRC47	2364.8839	LRRC47	875.4045
LRRC48	32.7234	LRRC48	25.4854
LRRC49	250.8797	LRRC49	155.7443
removed	removed	LRRC4B	15.3722
LRRC4C	13.3709	LRRC4C	45.3074
LRRC4	21.8156	LRRC4	131.4725
LRRC50	10.5559	removed	removed
LRRC55	7.741	LRRC55	6.4725
LRRC56	127.3751	LRRC56	6.877
LRRC57	721.323	LRRC57	338.5922
LRRC58	3328.9937	LRRC58	1885.1133
LRRC59	7025.3835	LRRC59	1768.4223
LRRC61	168.8951	LRRC61	74.8382
LRRC66	7.3892	LRRC66	12.945
LRRC69	5.6298	removed	removed
LRRC6	804.3631	LRRC6	58.657
LRRC70	31.9458	LRRC70	132.9733
LRRC8A	1133.7087	LRRC8A	1297.7346
LRRC8B	788.5292	LRRC8B	637.945
LRRC8C	281.8438	LRRC8C	1519.0129
LRRC8D	717.1006	LRRC8D	580.9061
LRRC8E	1122.0971	LRRC8E	49.7573
LRRCC1	1759.3244	LRRCC1	472.8964
LRRFIP1	6429.9789	LRRFIP1	3313.9159
LRRFIP2	567.9099	LRRFIP2	999.1909
LRRIQ1	9.5004	LRRIQ1	17.7994
LRRIQ3	12.6671	LRRIQ3	20.6311
LRRK1	62.9838	LRRK1	642.3948
LRRK2	78.8177	LRRK2	1109.6278
LRRN1	37.2977	LRRN1	248.3819
LRRN2	1336.3828	LRRN2	88.1877
LRRN3	51.7241	LRRN3	363.2686
LRRN4CL	11.6115	LRRN4CL	661.4078
LRRN4	5.9817	removed	removed
LRRTM2	6.3336	LRRTM2	66.7476
LRSAM1	567.9099	LRSAM1	338.1877
LRTM2	122.449	removed	removed
LRTOMT	255.7952	LRTOMT	169.9595
LRWD1	186.4884	LRWD1	84.1424
removed	removed	LSAMP	46.1165
LSG1	1369.1063	LSG1	786.0032
LSM10	438.4236	LSM10	312.7023
LSM11	259.6763	LSM11	207.5243
LSM12	1965.5172	LSM12	660.1942
LSM14A	2394.4405	LSM14A	3105.9871
LSM14B	1355.7354	LSM14B	583.3333
LSM1	324.4194	LSM1	453.0744
LSM2	461.9986	LSM2	400.4854
LSM3	820.197	LSM3	690.9385
LSM4	1463.4061	LSM4	553.8026
LSM5	606.9669	LSM5	433.2524
LSM6	156.5799	LSM6	239.4822
LSM7	336.031	LSM7	131.068
LSMD1	256.5939	LSMD1	189.7249
LSP1	305.0669	LSP1	1347.8964
LSR	818.0859	LSR	324.4337
LSS	457.0725	LSS	1255.6634
LST1	12.6671	LST1	82.5243
LTA4H	2305.4187	LTA4H	1976.9417
removed	removed	LTA	6.068
LTB4R2	25.1583	LTB4R2	44.6157
LTB4R	72.1323	LTB4R	107.1036
LTBP1	285.7143	LTBP1	2608.8188
LTBP2	2598.5222	LTBP2	9938.9159
LTBP3	1215.4187	LTBP3	3121.1246
LTBP4	282.1956	LTBP4	4683.657
LTBR	1355.0317	LTBR	1137.1359
LTB	7.3892	LTB	21.4401
removed	removed	LTC4S	29.4296
LTF	43.9831	LTF	3767.7994
LTV1	1095.9324	LTV1	609.2233
LUC7L2	2207.8888	LUC7L2	1977.3463
LUC7L3	3516.5376	LUC7L3	2527.1036
LUC7L	687.1921	LUC7L	486.246
LUM	6925.4046	LUM	11218.0421
LUZP1	932.4419	LUZP1	1852.3463
removed	removed	LUZP2	38.835
LUZP6	5996.4814	LUZP6	5205.0971
LXN	255.102	LXN	306.6343
removed	removed	LY6D	13.3495
LY6E	1618.9303	LY6E	1532.767
LY6G5B	7.3892	LY6G5B	45.9668
LY6G5C	32.3716	LY6G5C	22.2492
LY6K	364.1802	LY6K	71.6019
LY75	53.1316	LY75	517.3827
LY86	21.1119	LY86	91.4239
LY96	42.2238	LY96	238.2686
LY9	9.5004	LY9	25.89
LYAR	125.2639	LYAR	285.1942
removed	removed	LYG1	5.6634
LYL1	14.7783	LYL1	113.2686
LYNX1	133.3568	LYNX1	532.767
LYN	261.4356	LYN	796.9256
LYPD1	5.0387	LYPD1	13.3252
