gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
ADHFE1	70.0211	ADHFE1	471.2783
ADI1	968.3322	ADI1	2241.1003
ADIPOQ	372.6249	ADIPOQ	68913.0259
ADIPOR1	8869.1063	ADIPOR1	2140.3722
ADIPOR2	2624.2083	ADIPOR2	4090.6149
ADK	390.2182	ADK	385.1133
ADM2	255.8058	ADM2	16.5858
ADM	20.0563	ADM	1878.2362
ADNP2	907.4595	ADNP2	528.3172
ADNP	5665.7284	ADNP	2593.0421
ADORA1	56.2984	ADORA1	186.4887
ADORA2A	40.8163	ADORA2A	45.712
ADORA2B	11.6115	ADORA2B	46.1165
ADORA3	39.7607	ADORA3	188.9159
ADO	1679.803	ADO	677.589
ADPGK	1165.9887	ADPGK	762.9167
ADPRHL1	151.3019	ADPRHL1	72.0065
ADPRHL2	242.083	ADPRHL2	360.0324
ADPRH	108.3744	ADPRH	697.411
removed	removed	ADRA1A	152.5081
removed	removed	ADRA1B	71.1974
removed	removed	ADRA1D	5.6634
ADRA2A	29.9085	ADRA2A	2245.9547
removed	removed	ADRA2B	44.0939
ADRA2C	29.5567	ADRA2C	118.932
removed	removed	ADRB1	265.3722
ADRB2	14.0746	ADRB2	400.4854
removed	removed	ADRB3	20.6311
ADRBK1	1343.0683	ADRBK1	1114.4822
ADRBK2	1432.0901	ADRBK2	2997.5728
ADRM1	1416.608	ADRM1	693.7702
ADSL	718.86	ADSL	646.8447
ADSSL1	372.9768	ADSSL1	110.8414
ADSS	4176.2843	ADSS	1050.5663
AEBP1	5709.7115	AEBP1	13407.767
AEBP2	596.411	AEBP2	697.8155
AEN	365.2357	AEN	208.3333
AES	8464.1098	AES	5520.6311
AFAP1L1	129.4863	AFAP1L1	1426.7799
AFAP1L2	198.4518	AFAP1L2	801.7799
AFAP1	2062.6214	AFAP1	1554.1909
AFF1	3539.4089	AFF1	5557.8479
AFF2	6.6854	AFF2	167.4757
AFF3	1160.0985	AFF3	1071.6019
AFF4	5554.5391	AFF4	3921.521
AFG3L1	140.746	AFG3L1	159.3851
AFG3L2	1722.4982	AFG3L2	1201.1246
AFMID	335.6791	AFMID	245.5502
AFTPH	4677.6918	AFTPH	1308.657
AG2	62.9838	AG2	199.4337
AGAP11	17.2942	AGAP11	376.6222
AGAP1	659.7467	AGAP1	498.7864
AGAP2	73.9866	AGAP2	46.6788
AGAP3	520.0563	AGAP3	793.2848
AGAP4	92.1886	AGAP4	108.8188
