gene_id	TCGA-BH-A1F8-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F8-11B-21R-A13Q-07
ADORA1	111.9792	ADORA1	407.9174
ADORA2A	28.3565	ADORA2A	44.1767
ADORA2B	7.5231	ADORA2B	113.5972
ADORA3	213.5417	ADORA3	234.6529
ADO	1385.706	ADO	747.5617
ADPGK	1313.0787	ADPGK	829.4435
ADPRHL1	83.912	ADPRHL1	103.8439
ADPRHL2	261.2847	ADPRHL2	528.3993
ADPRH	603.588	ADPRH	491.681
removed	removed	ADRA1A	13.7694
removed	removed	ADRA1B	17.2117
removed	removed	ADRA1D	9.7533
ADRA2A	306.4236	ADRA2A	844.5209
removed	removed	ADRA2B	124.498
ADRA2C	72.338	ADRA2C	82.6162
removed	removed	ADRB1	36.7183
ADRB2	10.9954	ADRB2	390.7057
ADRBK1	438.0787	ADRBK1	1497.992
ADRBK2	501.7361	ADRBK2	1567.9862
ADRM1	728.8773	ADRM1	859.4378
ADSL	655.9606	ADSL	941.4802
ADSSL1	17.0718	ADSSL1	106.7126
ADSS	2937.2106	ADSS	1600.1147
AEBP1	5228.0093	AEBP1	7877.7969
AEBP2	1039.3519	AEBP2	1045.3242
AEN	519.3866	AEN	574.8709
AES	3383.1019	AES	5422.2605
AFAP1L1	112.5579	AFAP1L1	714.2857
AFAP1L2	168.6921	AFAP1L2	1230.6368
AFAP1	646.412	AFAP1	1444.0505
AFF1	2073.206	AFF1	2693.0579
AFF2	6.6551	AFF2	39.5869
AFF3	4750.2894	AFF3	1172.117
AFF4	7998.2639	AFF4	3351.6925
AFG3L1	131.6551	AFG3L1	201.9507
AFG3L2	1107.8993	AFG3L2	1304.5668
AFMID	267.0718	AFMID	515.2037
removed	removed	AFP	100.9753
AFTPH	4945.3125	AFTPH	1581.1819
AG2	38.1944	AG2	309.2369
AGAP11	8.6806	AGAP11	143.012
AGAP1	581.0185	AGAP1	597.8199
AGAP2	23.2089	AGAP2	35.8061
AGAP3	350.1157	AGAP3	982.2146
AGAP4	94.9074	AGAP4	220.3098
AGAP5	87.0284	AGAP5	31.2794
AGAP6	62.7894	AGAP6	137.6936
AGAP7	8.1019	AGAP7	7.4584
AGAP8	27.4884	AGAP8	34.4234
AGA	907.9861	AGA	489.3861
AGBL2	65.1042	AGBL2	16.638
AGBL3	8.9699	AGBL3	5.1635
AGBL4	8.1019	AGBL4	6.311
AGBL5	886.5799	AGBL5	745.3242
AGER	8.1019	AGER	34.9971
AGFG1	2686.9213	AGFG1	1729.7762
AGFG2	331.5972	AGFG2	505.4504
AGGF1	2026.0417	AGGF1	944.3488
AGK	984.375	AGK	543.8898
AGL	17772.2801	AGL	1114.171
AGMAT	5.787	AGMAT	14.9168
AGPAT1	2713.8802	AGPAT1	1845.3987
AGPAT2	234.9537	AGPAT2	1635.1119
AGPAT3	2490.162	AGPAT3	1559.3804
AGPAT4	122.6852	AGPAT4	271.9449
AGPAT5	797.4537	AGPAT5	814.6873
AGPAT6	983.2176	AGPAT6	1747.5617
AGPAT9	35.0116	AGPAT9	329.891
AGPHD1	110.8218	AGPHD1	79.7476
AGPS	711.2269	AGPS	1211.1302
AGR2	6953.4144	AGR2	1540.4475
AGR3	2410.0116	AGR3	367.7567
AGRN	1603.2986	AGRN	3698.2215
AGTPBP1	390.9144	AGTPBP1	447.5043
AGTR1	61.0532	AGTR1	502.5818
AGTRAP	1027.1991	AGTRAP	645.4389
AGT	58.7384	AGT	29.2599
AGXT2L1	8.3912	removed	removed
AGXT2L2	179.8003	AGXT2L2	466.6896
AHCTF1	3050.3472	AHCTF1	1506.0241
AHCYL1	4401.9097	AHCYL1	3633.9644
AHCYL2	1228.588	AHCYL2	584.6242
AHCY	6349.8264	AHCY	2766.4945
AHDC1	304.6875	AHDC1	1011.4745
AHI1	798.0324	AHI1	343.6604
AHNAK2	364.0046	AHNAK2	1347.6764
AHNAK	17103.8773	AHNAK	54301.7785
AHRR	41.956	AHRR	15.4905
AHR	858.7963	AHR	3973.6087
AHSA1	1850.6944	AHSA1	1425.1291
AHSA2	159.7222	AHSA2	338.4968
AIDA	1978.3854	AIDA	1276.5806
AIF1L	383.3912	AIF1L	2578.3133
AIF1	123.5532	AIF1	593.8038
