gene_id	TCGA-BH-A1F0-01A-11R-A137-07	gene_id	TCGA-BH-A1F0-11B-23R-A137-07
KPTN	109.2591	KPTN	77.7234
KRAS	1337.3481	KRAS	906.0588
KRBA1	201.0969	KRBA1	197.3684
KRBA2	65.8135	KRBA2	124.847
KRCC1	869.986	KRCC1	1416.4627
KREMEN1	324.7661	KREMEN1	628.213
KRI1	551.1625	KRI1	529.4094
KRIT1	869.3408	KRIT1	781.2118
KRR1	850.2957	KRR1	874.7246
KRT10	417.4642	KRT10	366.5851
KRT14	2111.6249	KRT14	17248.776
KRT15	2446.8782	KRT15	9385.2509
KRT16	341.327	KRT16	278.7638
KRT17	2270.5667	KRT17	13649.0208
KRT18	2908.231	KRT18	5976.5881
KRT19	12575.9759	KRT19	11220.0122
KRT1	8.388	KRT1	9.1799
KRT222	69.9	KRT222	83.2313
KRT23	9612.4314	KRT23	2270.1958
removed	removed	KRT32	13.4639
KRT40	120.6581	KRT40	7.6499
KRT5	2418.9698	KRT5	18600.9792
KRT6A	162.5981	KRT6A	59.0575
KRT6B	1860.2	KRT6B	1063.6475
KRT6C	31.1861	KRT6C	46.2056
KRT75	78.9332	removed	removed
KRT77	5.8071	removed	removed
removed	removed	KRT79	5.202
KRT7	7990.9668	KRT7	6801.7136
KRT80	498.7633	KRT80	530.9058
KRT81	50.9732	KRT81	96.3892
KRT86	12.0443	KRT86	9.7919
KRT8	3518.0514	KRT8	8681.0006
removed	removed	KRT9	5.814
KRTCAP2	2203.8929	KRTCAP2	1185.7405
KRTCAP3	163.0283	KRTCAP3	223.9902
KSR1	616.1953	KSR1	446.4504
removed	removed	KSR2	39.4737
KTELC1	446.9298	KTELC1	428.3966
KTI12	201.7421	KTI12	156.0588
KTN1	4485.6436	KTN1	8157.8947
KYNU	894.5048	KYNU	378.213
removed	removed	KY	183.2925
L1CAM	631.8959	L1CAM	149.9388
L1TD1	54.4145	L1TD1	78.0294
L2HGDH	213.7864	L2HGDH	158.8127
L3MBTL2	687.3578	L3MBTL2	708.6077
L3MBTL3	203.4627	L3MBTL3	249.388
L3MBTL4	186.4717	L3MBTL4	192.4725
L3MBTL	79.5784	L3MBTL	113.2191
LACE1	120.6581	LACE1	47.1236
LACTB2	267.9858	LACTB2	298.6536
LACTB	676.847	LACTB	340.2693
LAD1	2087.5363	LAD1	476.1322
LAG3	478.9762	LAG3	18.9718
LAGE3	229.0569	LAGE3	134.3329
LAIR1	1680.8259	LAIR1	538.8617
LAIR2	12.9046	removed	removed
LALBA	11383.5896	removed	removed
LAMA1	175.0726	LAMA1	110.1591
LAMA2	1055.1522	LAMA2	1298.3476
LAMA3	728.2503	LAMA3	4251.224
LAMA4	3041.8325	LAMA4	5778.1518
LAMA5	1710.7216	LAMA5	2409.1187
LAMB1	4960.9635	LAMB1	4869.033
LAMB2L	19.1418	LAMB2L	37.0257
LAMB2	3683.4068	LAMB2	8004.284
LAMB3	874.5026	LAMB3	3194.0024
LAMC1	7367.6739	LAMC1	9636.7809
LAMC2	3299.9247	LAMC2	4000.612
LAMC3	127.1104	LAMC3	47.4296
LAMP1	6146.6824	LAMP1	7307.5275
LAMP2	7895.0425	LAMP2	5246.022
LAMP3	2364.5553	LAMP3	42.8397
LANCL1	1724.7016	LANCL1	2244.798
LANCL2	308.2052	LANCL2	614.7491
LANCL3	21.0775	LANCL3	7.6499
LAP3	5204.8607	LAP3	2607.0991
LAPTM4A	8536.6168	LAPTM4A	8638.9229
LAPTM4B	1918.4859	LAPTM4B	1772.9498
LAPTM5	13215.1844	LAPTM5	2798.3476
LARGE	597.6987	LARGE	468.1763
LARP1B	377.2449	LARP1B	388.6169
LARP1	5471.1259	LARP1	3671.6646
LARP4B	2905.4737	LARP4B	1205.0184
LARP4	1470.6958	LARP4	1203.1824
LARP6	122.1637	LARP6	596.0832
LARP7	1161.4152	LARP7	1282.4357
LARS2	595.9781	LARS2	438.4945
LARS	3683.6219	LARS	2691.8605
LAS1L	731.2614	LAS1L	831.7013
LASP1	7572.2121	LASP1	4977.6622
LASS1	7.2976	LASS1	5.2938
LASS2	6372.7283	LASS2	3784.8837
LASS3	13.3348	LASS3	21.7258
LASS4	477.0405	LASS4	647.1848
LASS5	700.7205	LASS5	773.8678
LASS6	585.0995	LASS6	1191.6585
LAT2	515.5393	LAT2	124.847
LATS1	512.0981	LATS1	491.7381
LATS2	854.0703	LATS2	1080.4774
LAT	188.3729	LAT	77.5612
LAX1	435.3156	LAX1	76.8054
LAYN	184.751	LAYN	293.1457
LBH	1779.5462	LBH	2421.6646
LBP	214.4317	LBP	40.3917
LBR	2100.4409	LBR	898.1028
LCA5L	23.2283	LCA5L	63.6475
LCA5	117.0018	LCA5	389.8409
LCAT	35.3285	LCAT	92.1512
LCK	424.3467	LCK	96.0832
LCLAT1	745.2414	LCLAT1	327.4174
LCMT1	629.315	LCMT1	561.1995
LCMT2	223.895	LCMT2	330.1714
LCN10	14.2725	LCN10	48.0416
LCN2	2537.6922	LCN2	292.8397
LCORL	80.4065	LCORL	90.4223
LCOR	124.4241	LCOR	78.2436
LCP1	9174.75	LCP1	2045.2876
LCP2	1448.7579	LCP2	310.5875
LCT	34.8425	removed	removed
LDB1	954.9414	LDB1	1086.9033
LDB2	592.967	LDB2	1614.7491
LDB3	78.7181	LDB3	163.4027
LDHA	11114.3134	LDHA	10323.1334
LDHB	4483.7079	LDHB	6180.8446
LDHD	41.2948	LDHD	258.8739
LDLRAD2	130.4097	LDLRAD2	299.4982
LDLRAD3	922.4648	LDLRAD3	713.2803
LDLRAP1	655.3393	LDLRAP1	709.6083
LDLR	753.6294	LDLR	1262.8519
LDOC1L	785.0306	LDOC1L	1203.4884
LDOC1	711.4744	LDOC1	712.0563
LEF1	247.7686	LEF1	56.9155
LEFTY2	95.064	LEFTY2	41.3097
LEKR1	10.1086	LEKR1	24.4798
LEMD1	54.4145	LEMD1	7.3439
LEMD2	891.4937	LEMD2	736.8421
LEMD3	646.3061	LEMD3	851.8972
LENG1	100.4409	LENG1	167.9927
LENG8	1225.9662	LENG8	2401.8605
LENG9	83.4219	LENG9	104.5655
LEO1	549.0913	LEO1	476.1322
LEPRE1	696.2039	LEPRE1	480.1102
LEPREL1	275.2984	LEPREL1	534.2717
LEPREL2	209.915	LEPREL2	439.1065
LEPROTL1	1003.7638	LEPROTL1	1037.0257
LEPROT	1031.0313	LEPROT	1318.7424
LEPR	710.6614	LEPR	1501.3311
LEP	157.0061	LEP	6915.2387
LETM1	599.4193	LETM1	823.7454
LETM2	17.2062	LETM2	21.4198
LETMD1	592.3218	LETMD1	1409.1187
LFNG	323.6907	LFNG	474.2962
LGALS12	73.7714	LGALS12	775.7038
LGALS1	3597.3761	LGALS1	5447.0624
LGALS2	94.6338	LGALS2	8.8739
LGALS3BP	12762.6627	LGALS3BP	7373.929
LGALS3	4579.4171	LGALS3	8164.6267
removed	removed	LGALS7B	39.7797
LGALS7	5.3769	LGALS7	14.9939
LGALS8	940.7313	LGALS8	1105.2448
LGALS9C	41.94	LGALS9C	8.8739
LGALS9	3950.9625	LGALS9	821.9094
LGI2	230.7775	LGI2	81.0894
LGI4	64.7381	LGI4	262.5459
LGMN	7103.3444	LGMN	2505.508
LGR4	704.807	LGR4	1363.5251
LGR5	83.0197	LGR5	24.4798
LGR6	739.4343	LGR6	771.1138
LGSN	9.0332	removed	removed
LGTN	1004.194	LGTN	1495.41
removed	removed	LHCGR	5.814
LHFPL2	3587.9127	LHFPL2	1608.9351
LHFPL5	18.9268	removed	removed
LHFP	1069.3623	LHFP	3345.7772
LHPP	273.7929	LHPP	354.0392
LHX2	5.8071	removed	removed
LHX4	5.3059	removed	removed
LHX6	725.4543	LHX6	355.2632
LIAS	76.1372	LIAS	250
LIFR	3627.4868	LIFR	5855.8752
LIF	153.3498	LIF	561.5055
LIG1	688.8913	LIG1	374.235
LIG3	992.1497	LIG3	375.765
LIG4	348.4246	LIG4	428.0906
LILRA1	37.4234	LILRA1	10.0979
LILRA2	199.5914	LILRA2	28.7638
LILRA3	62.3723	LILRA3	5.202
LILRA4	161.9529	LILRA4	8.8739
LILRA5	238.7353	LILRA5	11.3219
LILRA6	183.8004	LILRA6	19.1065
LILRB1	549.0913	LILRB1	73.7454
LILRB2	739.0042	LILRB2	60.8935
LILRB3	261.1937	LILRB3	16.0832
LILRB4	1324.2284	LILRB4	136.4749
LILRB5	329.4978	LILRB5	153.3048
LIMA1	2299.8172	LIMA1	5076.4994
LIMCH1	680.7184	LIMCH1	4270.1958
LIMD1	1475.7608	LIMD1	826.1536
LIMD2	535.4941	LIMD2	136.8819
LIME1	99.3591	LIME1	60.6426
LIMK1	1365.5232	LIMK1	478.2742
LIMK2	1449.4032	LIMK2	1974.9082
LIMS1	650.8227	LIMS1	472.4602
LIMS2	338.9612	LIMS2	1347.6132
LIMS3-LOC440895	41.9378	LIMS3-LOC440895	42.8519
LIMS3	11.1861	LIMS3	36.0955
LIN28B	7.0975	removed	removed
LIN37	107.6051	LIN37	116.5024
LIN52	166.4695	LIN52	241.4321
LIN54	646.3061	LIN54	373.929
LIN7A	18.2815	LIN7A	64.5655
LIN7B	33.7671	LIN7B	22.3378
LIN7C	823.5294	LIN7C	995.716
LIN9	516.3996	LIN9	121.481
LINGO1	171.8464	LINGO1	119.951
removed	removed	LINGO2	7.6499
LINGO4	21.2926	LINGO4	12.8519
LINS1	249.9193	LINS1	262.5459
LIPA	4749.9731	LIPA	2361.9951
LIPC	23.0132	LIPC	11.3219
LIPE	307.96	LIPE	6169.1279
LIPG	115.9264	LIPG	94.8592
LIPH	242.1766	LIPH	194.9204
LIPT1	154.5844	LIPT1	208.0539
LIPT2	15.9157	LIPT2	26.3158
LITAF	5737.8213	LITAF	4567.9315
LIX1L	712.3347	LIX1L	953.7944
LLGL1	830.6269	LLGL1	671.3586
LLGL2	1442.7358	LLGL2	492.0441
LLPH	559.2558	LLPH	590.2999
LMAN1	4427.7879	LMAN1	3574.6634
LMAN2L	352.0809	LMAN2L	689.4125
LMAN2	1907.3019	LMAN2	1687.5765
LMBR1L	360.4689	LMBR1L	384.0269
LMBR1	1284.6543	LMBR1	863.8311
LMBRD1	1521.4539	LMBRD1	2046.2056
LMBRD2	392.5153	LMBRD2	152.0808
LMCD1	662.0067	LMCD1	2283.3537
LMF1	103.6671	LMF1	268.9718
LMF2	709.7537	LMF2	1050.7956
LMLN	196.1501	LMLN	244.186
LMNA	9424.2392	LMNA	11109.5471
LMNB1	1278.6321	LMNB1	116.8911
LMNB2	1529.4118	LMNB2	538.8617
LMO2	973.6531	LMO2	926.5606
LMO3	121.5184	LMO3	642.5949
LMO4	3484.0305	LMO4	1351.8972
LMO7	547.8008	LMO7	355.2632
LMOD1	721.583	LMOD1	4531.2118
LMTK2	365.6307	LMTK2	295.5936
LMTK3	44.0908	LMTK3	103.7332
removed	removed	LMX1A	27.8458
LMX1B	64.9532	LMX1B	872.093
LNP1	80.9571	LNP1	90.5998
LNPEP	378.2794	LNPEP	235.4743
LNX1	126.4652	LNX1	616.8911
LNX2	377.8901	LNX2	630.967
LOC100009676	86.1232	LOC100009676	67.4755
LOC100124692	468.2224	LOC100124692	93.9412
LOC100125556	52.6745	LOC100125556	72.3715
LOC100126784	13.2337	LOC100126784	70.4621
LOC100127888	38.288	LOC100127888	10.6885
removed	removed	LOC100128164	7.0379
LOC100128191	66.5276	LOC100128191	26.3035
removed	removed	LOC100128239	11.3219
LOC100128288	28.1751	LOC100128288	68.2375
LOC100128292	9.0332	LOC100128292	30.2938
LOC100128640	20.0022	LOC100128640	68.2375
LOC100128788	11.8292	LOC100128788	11.9339
LOC100128822	160.2323	LOC100128822	177.1726
LOC100128842	15.7006	LOC100128842	17.4419
LOC100129034	1445.3382	LOC100129034	1548.3782
LOC100129387	79.501	LOC100129387	107.4969
LOC100129534	11.3991	LOC100129534	38.8617
LOC100129550	190.9883	LOC100129550	315.4835
LOC100129637	161.2023	LOC100129637	170.1346
removed	removed	LOC100129716	5.508
removed	removed	LOC100129726	9.1799
LOC100130015	14.0789	LOC100130015	38.4823
LOC100130093	75.3285	LOC100130093	93.2099
removed	removed	LOC100130331	7.3439
removed	removed	LOC100130522	11.9339
LOC100130557	35.5415	LOC100130557	32.8213
LOC100130581	38.9289	LOC100130581	71.2974
LOC100130691	9.6268	LOC100130691	15.9149
LOC100130776	78.645	LOC100130776	225.6304
LOC100130872	21.9378	LOC100130872	58.1395
LOC100130932	71.6206	LOC100130932	44.3696
LOC100130933	5.1618	removed	removed
removed	removed	LOC100130987	13.1579
LOC100131193	30.9711	LOC100131193	24.1738
LOC100131434	12.6293	LOC100131434	41.5453
LOC100131691	11.3453	LOC100131691	25.2723
LOC100132111	93.952	LOC100132111	6.4259
LOC100132215	23.6649	LOC100132215	15.3121
LOC100132247	263.4692	LOC100132247	162.4847
LOC100132287	329.4978	LOC100132287	208.6903
LOC100132288	194.4295	LOC100132288	332.3133
LOC100132707	80.357	LOC100132707	114.3666
LOC100132832	7.2008	LOC100132832	5.5386
LOC100133161	21.7228	LOC100133161	16.7748
LOC100133331	121.755	LOC100133331	119.951
LOC100133469	89.9021	removed	removed
removed	removed	LOC100133545	6.7319
LOC100133669	16.776	LOC100133669	15.9119
LOC100133985	9.0332	LOC100133985	5.508
LOC100133991	26.8846	LOC100133991	31.5177
LOC100134229	335.0898	LOC100134229	160.3427
LOC100134259	26.6695	LOC100134259	28.4578
LOC100134713	25.1532	LOC100134713	13.7729
removed	removed	LOC100144604	5.202
LOC100170939	30.756	LOC100170939	61.8635
removed	removed	LOC100188947	25.3978
LOC100188949	37.4234	LOC100188949	11.3219
LOC100190938	44.0908	LOC100190938	246.328
LOC100190939	374.6639	LOC100190939	380.049
LOC100190986	195.5049	LOC100190986	104.6512
removed	removed	LOC100192378	18.0539
LOC100216001	9.8935	removed	removed
LOC100216545	44.736	LOC100216545	60.2815
LOC100233209	73.3412	LOC100233209	19.2778
removed	removed	LOC100240726	6.12
LOC100240735	12.0443	LOC100240735	13.7699
LOC100268168	5.8071	LOC100268168	6.12
LOC100270710	318.1267	LOC100270710	199.6695
LOC100270746	5.3769	LOC100270746	59.3635
LOC100270804	16.8814	LOC100270804	30.5998
LOC100271722	17.4212	LOC100271722	48.6536
LOC100271836	532.9154	LOC100271836	299.1126
LOC100272146	35.4877	LOC100272146	31.8237
LOC100272216	26.362	LOC100272216	9.8133
LOC100272217	9.2483	LOC100272217	11.3219
LOC100272228	9.2483	LOC100272228	21.1138
LOC100286793	176.5781	LOC100286793	135.2509
LOC100286844	15.6017	LOC100286844	28.314
removed	removed	LOC100287227	6.7381
LOC100288778	209.3257	LOC100288778	317.7448
LOC100289341	39.3591	LOC100289341	66.7075
LOC100302401	34.6274	LOC100302401	51.9217
removed	removed	LOC100302640	8.2619
LOC100302650	36.7781	LOC100302650	75.8874
LOC100303728	19.1418	LOC100303728	28.4578
LOC113230	33.7671	LOC113230	60.2815
LOC115110	41.7507	LOC115110	66.3617
LOC121838	638.9934	LOC121838	14.6879
LOC134466	31.4012	LOC134466	62.4235
LOC143188	12.2594	LOC143188	17.7479
LOC143666	11.8292	LOC143666	12.2399
LOC144438	638.1331	LOC144438	804.1616
LOC144486	5.8071	LOC144486	11.9339
LOC144571	32.9799	LOC144571	90.7313
LOC145783	38.6321	LOC145783	26.4657
LOC145820	33.552	LOC145820	124.541
removed	removed	LOC145837	26.0098
LOC146880	255.6533	LOC146880	230.205
LOC147727	241.9615	LOC147727	726.4382
LOC147804	226.2609	LOC147804	156.6707
LOC148189	88.7085	LOC148189	48.0416
LOC148413	331.3367	LOC148413	268.6475
LOC148709	15.9157	removed	removed
removed	removed	LOC149134	11.3219
LOC149837	72.2658	LOC149837	63.3415
LOC150381	39.3548	LOC150381	76.1781
LOC150776	172.2766	LOC150776	298.3476
LOC150786	83.88	LOC150786	45.2876
LOC151009	75.9221	LOC151009	89.9633
LOC151162	1383.8047	LOC151162	1124.541
LOC151534	153.167	LOC151534	128.672
LOC152217	368.8569	LOC152217	223.6842
LOC153684	28.1751	LOC153684	28.1518
LOC153910	8.8182	removed	removed
LOC154761	123.0778	LOC154761	78.7699
LOC154822	20.5484	LOC154822	25.8996
LOC158376	141.0904	LOC158376	135.8629
LOC158572	24.5188	LOC158572	35.1897
removed	removed	LOC158696	10.0979
LOC162632	143.5574	LOC162632	263.5771
removed	removed	LOC168474	7.3439
LOC200030	623.7983	LOC200030	786.6738
LOC202181	16.1308	LOC202181	30.2938
LOC202781	137.8643	LOC202781	277.2338
LOC219347	35.8038	LOC219347	116.5575
removed	removed	LOC220594	7.9559
LOC220729	297.8815	LOC220729	127.601
LOC220930	96.0232	LOC220930	92.3072
LOC221442	13.1197	LOC221442	36.1077
LOC221710	464.9962	LOC221710	310.2815
LOC222699	16.3458	LOC222699	24.7858
LOC253039	558.3396	LOC253039	791.9217
removed	removed	LOC253724	9.7919
LOC254559	35.9178	LOC254559	103.4272
removed	removed	LOC255167	6.7319
removed	removed	LOC257358	8.2619
LOC25845	243.7251	LOC25845	308.3843
LOC282997	51.4034	LOC282997	44.0636
LOC283050	19.7871	LOC283050	44.0636
LOC283070	492.5261	LOC283070	262.8519
LOC283174	18.0665	LOC283174	161.5667
LOC283267	379.8258	LOC283267	338.7393
LOC283314	76.8491	LOC283314	73.3476
LOC283392	14.0166	LOC283392	502.5122
LOC283663	63.8778	LOC283663	36.1077
removed	removed	LOC283731	13.7699
LOC283922	51.6185	LOC283922	84.4553
LOC284023	56.7803	LOC284023	136.4749
LOC284232	16.5609	LOC284232	17.1359
LOC284233	8.388	LOC284233	16.2179
LOC284276	8.1729	LOC284276	16.5239
LOC284440	32.4766	LOC284440	175.9486
LOC284441	174.4274	LOC284441	65.4835
LOC284578	40.2194	LOC284578	31.2118
LOC284749	14.8403	LOC284749	5.508
LOC284837	44.736	LOC284837	36.4137
LOC284900	97.9052	LOC284900	157.4725
LOC285033	31.6314	LOC285033	35.1285
LOC285074	231.8529	LOC285074	214.1983
LOC285359	48.6074	LOC285359	63.3415
removed	removed	LOC285419	6.4259
removed	removed	LOC285593	13.1579
LOC285830	25.1726	LOC285830	61.7656
LOC286002	12.4745	LOC286002	24.1738
LOC286367	43.0154	LOC286367	387.6989
LOC286467	13.1197	LOC286467	5.508
LOC338651	26.2394	LOC338651	9.492
LOC338758	30.1108	LOC338758	73.7454
LOC338799	109.2591	LOC338799	188.4945
LOC339047	762.0174	LOC339047	1489.2901
LOC339290	485.8587	LOC339290	1170.7466
LOC339524	198.8622	LOC339524	425.0306
removed	removed	LOC339535	9.7919
LOC341056	15.9157	LOC341056	6.4259
removed	removed	LOC342346	5.202
LOC344595	55.2748	LOC344595	285.8017
LOC348926	23.6585	LOC348926	63.6475
LOC349114	53.3391	LOC349114	100.9792
removed	removed	LOC349196	7.4633
LOC374443	195.5049	LOC374443	145.6548
LOC375190	41.94	LOC375190	169.2166
LOC387646	42.3701	LOC387646	31.8237
LOC387647	484.4048	LOC387647	530.049
LOC388152	140.0151	LOC388152	126.377
LOC388242	52.0486	LOC388242	38.2497
removed	removed	LOC388588	14.9939
LOC388692	196.3652	LOC388692	305.0796
LOC388789	436.391	LOC388789	568.2375
LOC388796	370.1473	LOC388796	317.6255
LOC388955	210.5603	LOC388955	172.8886
removed	removed	LOC389033	17.7479
LOC389333	19.7871	LOC389333	33.9657
LOC389458	9.3709	removed	removed
removed	removed	LOC389493	32.4357
removed	removed	LOC389705	14.0759
removed	removed	LOC390595	10.0979
LOC391322	5.8071	LOC391322	12.5459
LOC399744	94.6338	LOC399744	98.5312
LOC399959	256.3717	LOC399959	719.4002
LOC400027	189.0526	LOC400027	395.9608
LOC400043	129.2612	LOC400043	271.4198
LOC400657	120.6581	LOC400657	196.7564
LOC400696	8.6031	removed	removed
LOC400752	20.4323	LOC400752	29.0698
LOC400759	53.3391	LOC400759	22.9498
removed	removed	LOC400804	5.508
LOC400927	26.8416	LOC400927	24.2717
LOC400931	10.5388	LOC400931	69.7674
LOC401010	25.8092	LOC401010	20.1958
LOC401052	34.1972	LOC401052	214.8103
LOC401093	90.4613	LOC401093	307.7356
removed	removed	LOC401127	6.4259
LOC401397	489.9452	LOC401397	589.3513
LOC401431	32.2787	LOC401431	51.2301
LOC401463	8.6031	LOC401463	9.4859
LOC401588	84.0951	LOC401588	82.0073
LOC402377	8.1729	LOC402377	9.1799
LOC407835	38.9289	LOC407835	44.9816
removed	removed	LOC415056	6.4259
removed	removed	LOC440173	11.0159
LOC440354	203.5918	LOC440354	186.0465
LOC440461	13.7649	LOC440461	5.508
LOC440905	126.2501	LOC440905	27.8458
removed	removed	LOC440925	6.7319
LOC440944	191.4184	LOC440944	212.9743
LOC440957	66.6738	LOC440957	121.787
LOC441046	12.6895	LOC441046	26.6218
LOC441089	117.0018	LOC441089	114.4431
LOC441204	12.0443	LOC441204	52.9376
LOC441208	15.2705	LOC441208	35.1897
LOC441294	44.736	LOC441294	48.3476
LOC441455	11.6142	LOC441455	6.4259
LOC441666	105.3877	LOC441666	44.0636
LOC441869	152.9197	LOC441869	329.2534
LOC442421	12.0443	LOC442421	22.3378
LOC442454	148.8332	LOC442454	128.519
LOC493754	414.023	LOC493754	530.5998
LOC541471	216.7975	LOC541471	148.1028
LOC541473	7.1986	removed	removed
LOC550112	271.427	LOC550112	245.104
LOC550643	198.9461	LOC550643	264.9939
LOC554202	18.4966	LOC554202	19.5838
removed	removed	LOC55908	31.5177
removed	removed	LOC572558	18.0539
LOC595101	174.2058	LOC595101	226.4382
LOC606724	53.7692	LOC606724	19.8898
LOC613037	18.9268	removed	removed
LOC619207	6.2372	LOC619207	14.3819
LOC641298	130.9668	LOC641298	70.254
LOC641367	8.1729	removed	removed
LOC642587	15.0554	LOC642587	542.2277
LOC642826	40.4495	LOC642826	51.4933
LOC642846	85.8157	LOC642846	90.2693
LOC642852	221.3141	LOC642852	238.0661
LOC643008	14.8403	LOC643008	14.9939
LOC643387	43.0154	LOC643387	26.0098
removed	removed	LOC643719	11.0159
removed	removed	LOC643763	15.6059
LOC643837	96.7846	LOC643837	170.4406
removed	removed	LOC644172	6.4259
LOC644538	169.4806	LOC644538	233.4761
LOC644936	26.6695	LOC644936	20.5018
LOC645166	67.9643	LOC645166	95.1652
LOC645332	67.5341	LOC645332	89.9633
LOC645431	13.4961	LOC645431	16.9155
LOC645676	40.8668	LOC645676	31.6646
LOC646214	135.2834	LOC646214	133.4149
LOC646471	29.8656	LOC646471	49.5808
LOC646762	251.855	LOC646762	314.8715
LOC646851	31.1861	LOC646851	71.6034
LOC646999	22.7982	LOC646999	22.3378
LOC647121	98.5052	LOC647121	47.7356
LOC647288	8.1729	removed	removed
LOC647946	16.776	removed	removed
LOC647979	10666.3082	LOC647979	13155.1408
removed	removed	LOC648740	14.7307
LOC649330	10.1086	LOC649330	7.9559
LOC650368	36.7781	LOC650368	97.3072
LOC650623	41.0797	LOC650623	52.6316
LOC651250	1381.6539	LOC651250	1879.743
LOC652276	40.0043	LOC652276	25.0918
LOC653113	18.7117	LOC653113	42.5337
LOC653501	156.1458	LOC653501	285.1897
LOC653566	2463.9209	LOC653566	1514.6879
LOC653653	151.6292	LOC653653	92.4113
LOC653786	23.4434	removed	removed
LOC654342	259.1677	LOC654342	510.0979
LOC654433	19.3569	LOC654433	24.1738
LOC678655	112.2938	LOC678655	295.3091
LOC723972	8.1729	LOC723972	11.3219
LOC727896	22.1529	LOC727896	16.8299
LOC728024	19.7871	LOC728024	29.9878
LOC728190	144.1015	LOC728190	144.1248
LOC728264	105.6028	LOC728264	2339.9633
LOC728323	14.8403	LOC728323	43.1457
LOC728392	43.4455	LOC728392	70.6854
LOC728554	236.5846	LOC728554	219.0942
removed	removed	LOC728606	10.7099
LOC728613	199.3763	LOC728613	198.5924
LOC728640	38.4988	LOC728640	41.3097
LOC728643	46.4566	LOC728643	60.8935
LOC728723	32.2615	LOC728723	22.9498
LOC728743	238.3052	LOC728743	156.3647
LOC728758	39.144	LOC728758	33.9657
LOC728819	33.552	LOC728819	40.6977
LOC728855	148.4181	LOC728855	159.492
LOC728875	51.6034	LOC728875	48.8923
LOC729020	37.8535	LOC729020	19.5838
LOC729082	505.7662	LOC729082	327.4878
LOC729176	49.4677	LOC729176	40.6977
LOC729234	44.3058	LOC729234	99.4492
LOC729375	22.7895	LOC729375	34.5777
LOC729603	33.552	LOC729603	22.3378
LOC729678	492.6272	LOC729678	445.8109
LOC729799	13.7649	LOC729799	21.4198
LOC729991-MEF2B	22.6433	LOC729991-MEF2B	57.6561
LOC729991	127.9449	LOC729991	207.093
LOC730101	188.6224	LOC730101	182.3745
LOC80054	94.4188	LOC80054	142.2889
LOC80154	132.2723	LOC80154	226.7442
LOC81691	159.8021	LOC81691	118.1151
LOC84740	35.1801	removed	removed
LOC84856	28.8203	LOC84856	33.0477
removed	removed	LOC84989	11.0159
LOC90110	246.6932	LOC90110	346.0832
LOC90246	19.7871	LOC90246	38.8617
removed	removed	LOC90586	10.0979
LOC90784	463.4907	LOC90784	198.8984
LOC90834	16.776	LOC90834	20.1958
LOC91316	194.9199	LOC91316	306.6432
LOC92249	405.4199	LOC92249	539.1677
LOC92659	78.9332	LOC92659	44.6756
LOC92973	35.0575	LOC92973	87.8213
LOC93432	110.3344	LOC93432	14.3819
LOC93622	243.8972	LOC93622	404.5288
LOC96610	119111.4657	LOC96610	15489.3605
LOH12CR1	86.4609	LOH12CR1	101.2852
LOH12CR2	13.98	LOH12CR2	59.9755
LOH3CR2A	50.5431	LOH3CR2A	192.1665
LONP1	761.8023	LONP1	1067.9315
LONP2	1058.1783	LONP2	1619.645
LONRF1	326.7018	LONRF1	1004.896
LONRF2	227.5513	LONRF2	406.0588
LONRF3	23.2283	LONRF3	29.9878
LOXHD1	8.388	LOXHD1	18.9718
LOXL1	299.172	LOXL1	335.6793
LOXL2	924.7661	LOXL2	595.1224
LOXL3	127.9127	LOXL3	64.8501
LOXL4	1056.4577	LOXL4	630.355
LOX	983.5466	LOX	1357.4051
removed	removed	LPAL2	6.7319
LPAR1	615.7651	LPAR1	515.9119
LPAR2	210.5603	LPAR2	168.9106
LPAR3	49.4677	LPAR3	11.3219
LPAR4	17.4212	LPAR4	11.9339
LPAR5	237.875	LPAR5	83.5373
LPAR6	1329.3903	LPAR6	1559.9755
LPCAT1	2133.5627	LPCAT1	813.9535
LPCAT2	988.2783	LPCAT2	1048.6536
LPCAT3	837.5094	LPCAT3	1219.4002
LPCAT4	373.1584	LPCAT4	451.9584
LPGAT1	2675.7716	LPGAT1	2407.5887
LPHN1	464.351	LPHN1	932.3745
LPHN2	2132.0572	LPHN2	1378.825
LPHN3	130.5517	LPHN3	395.0428
LPIN1	2445.4242	LPIN1	1675.6426
LPIN2	1384.4499	LPIN2	1031.8237
LPIN3	257.8772	LPIN3	421.5086
LPL	1487.2567	LPL	25814.8715
LPO	7.0975	removed	removed
removed	removed	LPPR1	32.7417
LPPR2	300.0323	LPPR2	429.9266
removed	removed	LPPR3	33.6597
LPPR4	124.3144	LPPR4	81.3953
LPP	800.9463	LPP	425.3366
LPXN	985.6974	LPXN	241.4321
LQK1	5.3769	removed	removed
removed	removed	LRAT	77.7234
LRBA	1241.6389	LRBA	1892.5949
LRCH1	841.8109	LRCH1	1021.7258
LRCH2	81.084	LRCH2	132.1909
LRCH3	386.4932	LRCH3	382.8029
LRCH4	475.1048	LRCH4	457.1603
LRDD	103.0218	LRDD	167.9927
LRFN1	93.5584	LRFN1	39.7797
LRFN3	144.7467	LRFN3	184.2105
LRFN4	497.0427	LRFN4	223.0722
LRFN5	35.9178	LRFN5	84.1493
LRG1	242.3917	LRG1	201.0404
removed	removed	LRGUK	10.7099
LRIG1	1587.9019	LRIG1	5613.4027
