gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
KIAA1644	87.1182	KIAA1644	60.6343
KIAA1671	1949.1811	KIAA1671	4452.8918
KIAA1683	92.4303	KIAA1683	249.0672
KIAA1704	307.8424	KIAA1704	508.4515
KIAA1712	293.1138	KIAA1712	420.569
KIAA1715	747.9416	KIAA1715	875
KIAA1731	494.0239	KIAA1731	614.7388
KIAA1737	1104.2054	KIAA1737	1240.2052
removed	removed	KIAA1751	5.1306
KIAA1755	165.3829	KIAA1755	384.3284
KIAA1797	842.8508	KIAA1797	1034.9813
KIAA1804	146.6135	KIAA1804	199.1604
KIAA1826	273.0412	KIAA1826	379.6642
KIAA1841	259.938	KIAA1841	175.8396
KIAA1875	58.0788	KIAA1875	40.1119
KIAA1908	158.6543	KIAA1908	307.8358
KIAA1919	62.3285	KIAA1919	94.2164
KIAA1949	1439.575	KIAA1949	973.4142
KIAA1958	43.5591	KIAA1958	145.9888
KIAA1967	1314.2098	KIAA1967	2427.7052
removed	removed	KIAA1984	22.8545
KIAA2013	1177.8663	KIAA2013	1034.5149
KIAA2018	555.6441	KIAA2018	1487.4067
KIAA2022	21.6025	KIAA2022	64.8321
KIAA2026	795.3962	KIAA2026	1166.5112
KIDINS220	1437.0961	KIDINS220	3786.847
KIF11	1065.9584	KIF11	125.4664
KIF12	302.0806	KIF12	119.403
KIF13A	725.2767	KIF13A	3044.3097
KIF13B	605.9318	KIF13B	2236.9403
KIF14	305.9761	removed	removed
KIF15	225.9407	KIF15	13.5261
KIF16B	1995.5733	KIF16B	1207.0896
KIF17	13.4573	KIF17	37.3134
KIF18A	202.2134	KIF18A	20.9888
KIF18B	194.4223	KIF18B	5.597
KIF19	15.9363	KIF19	236.9403
KIF1A	23.3732	KIF1A	21.4552
KIF1B	1061.7087	KIF1B	2771.9216
KIF1C	2478.973	KIF1C	3083.0224
KIF20A	901.6379	KIF20A	15.8582
KIF20B	421.4254	KIF20B	244.403
KIF21A	568.3931	KIF21A	339.0858
KIF21B	86.7641	KIF21B	98.8806
KIF22	1535.9008	KIF22	710.3545
KIF23	480.9208	KIF23	55.0373
KIF24	158.3001	KIF24	118.9366
KIF25	9.9159	KIF25	13.9925
KIF26A	77.5564	KIF26A	175.8396
KIF26B	419.6547	KIF26B	161.3806
KIF27	73.3068	KIF27	206.6231
KIF2A	565.2058	KIF2A	616.6045
KIF2C	680.6552	KIF2C	41.5112
KIF3A	579.7255	KIF3A	509.7948
KIF3B	2630.5445	KIF3B	2013.5261
KIF3C	284.3736	KIF3C	611.4739
KIF4A	557.0606	KIF4A	9.3284
KIF4B	6.3745	removed	removed
removed	removed	KIF5A	111.4739
KIF5B	4357.6804	KIF5B	4520.056
KIF5C	99.5131	KIF5C	1333.0224
KIF6	25.1439	KIF6	10.7276
KIF7	111.6742	KIF7	205.0886
KIF9	199.2067	KIF9	85.8209
KIFAP3	1817.4413	KIFAP3	818.097
KIFC1	578.6631	KIFC1	44.7761
KIFC2	717.7973	KIFC2	380.9608
KIFC3	304.5595	KIFC3	471.0821
KILLIN	43.205	KILLIN	74.6269
KIN	341.7441	KIN	208.9552
removed	removed	KIRREL3	8.8619
KIRREL	194.7764	KIRREL	1266.791
KITLG	2325.2767	KITLG	1305.9701
KIT	426.0292	KIT	7281.7164
KLB	19.1235	KLB	938.4328
KLC1	1189.5529	KLC1	1637.5933
KLC2	506.7729	KLC2	448.2276
KLC3	28.0372	KLC3	135.2612
KLC4	565.2483	KLC4	726.805
KLF10	1476.0514	KLF10	2117.0709
KLF11	326.5162	KLF11	847.0149
KLF12	383.1784	KLF12	940.2985
KLF13	1060.2922	KLF13	2882.9291
removed	removed	KLF14	7.4627
KLF15	26.5604	KLF15	422.5746
KLF16	415.405	KLF16	168.8433
KLF17	6.0204	removed	removed
KLF2	613.3687	KLF2	415.1119
KLF3	1370.5179	KLF3	1707.0429
KLF4	540.4161	KLF4	674.4403
KLF5	215.3165	KLF5	865.2052
KLF6	3043.4706	KLF6	3640.3918
KLF7	64.0992	KLF7	236.0075
KLF8	150.5091	KLF8	849.347
KLF9	1116.2461	KLF9	2766.791
KLHDC10	622.9305	KLHDC10	1277.0522
KLHDC1	64.0992	KLHDC1	111.0075
KLHDC2	1276.317	KLHDC2	1316.2313
KLHDC3	2256.9278	KLHDC3	2095.1493
KLHDC4	261.429	KLHDC4	270.9095
KLHDC5	946.6135	KLHDC5	1250.4664
KLHDC7A	27.977	KLHDC7A	491.1381
KLHDC7B	23.3732	KLHDC7B	91.8843
KLHDC8A	40.726	KLHDC8A	76.0261
KLHDC8B	529.7919	KLHDC8B	926.7724
KLHDC9	408.3223	KLHDC9	74.6269
removed	removed	KLHL10	7.9291
KLHL11	23.7273	KLHL11	133.8619
KLHL12	1840.4604	KLHL12	910.9142
KLHL13	192.2975	KLHL13	1882.9291
removed	removed	KLHL14	17.2575
KLHL15	241.1687	KLHL15	345.1493
KLHL17	77.9106	KLHL17	73.694
KLHL18	456.8393	KLHL18	459.4216
KLHL20	475.6087	KLHL20	532.1828
KLHL21	486.2328	KLHL21	3609.6082
KLHL22	599.9115	KLHL22	466.4179
KLHL23	76.5401	KLHL23	132.5047
KLHL24	601.328	KLHL24	2410.4478
KLHL25	202.5675	KLHL25	325.0933
KLHL26	267.0208	KLHL26	272.3881
KLHL28	459.3183	KLHL28	542.9104
KLHL29	45.3298	KLHL29	913.7127
KLHL2	308.4551	KLHL2	995.8022
KLHL30	7.0828	KLHL30	60.1679
KLHL31	32.7826	KLHL31	308.3815
KLHL32	8.4993	KLHL32	14.9254
removed	removed	KLHL33	12.1269
KLHL35	80.3896	KLHL35	32.1828
KLHL36	177.0695	KLHL36	300.8396
KLHL38	6.7286	KLHL38	17.2575
KLHL3	147.3218	KLHL3	263.9925
KLHL4	13.4573	KLHL4	8.3955
KLHL5	625.4095	KLHL5	958.4888
KLHL6	62.3285	KLHL6	83.4888
KLHL7	715.0066	KLHL7	723.4142
KLHL8	398.7605	KLHL8	487.8731
KLHL9	1272.4214	KLHL9	1809.7015
KLK10	5265.3386	KLK10	146.9216
KLK11	19298.8048	KLK11	114.2724
KLK12	693.05	removed	removed
KLK13	5969.367	KLK13	16.3246
KLK14	1415.8477	KLK14	38.2463
KLK1	6.0204	KLK1	16.3246
KLK2	23.3732	KLK2	513.5261
KLK3	29.3935	KLK3	800.8396
KLK4	327.2244	KLK4	19.5896
KLK5	86.7641	KLK5	693.097
KLK6	252.147	KLK6	200.0933
KLK7	70.1195	KLK7	607.7425
KLK8	10.6242	KLK8	108.666
KLKP1	18.7694	removed	removed
KLRA1	52.7667	KLRA1	68.5634
KLRAQ1	564.4976	KLRAQ1	628.7313
KLRB1	10.9783	KLRB1	48.5075
KLRC1	8.8535	KLRC1	13.5261
KLRD1	19.8318	KLRD1	17.2575
removed	removed	KLRF1	7.4627
KLRG1	11.6866	KLRG1	7.4627
KLRG2	26.9146	KLRG2	46.6418
KLRK1	22.6649	KLRK1	40.2612
KL	60.9119	KL	148.7873
KMO	380.7136	KMO	67.1642
KNDC1	439.8406	KNDC1	18.1903
KNTC1	455.7415	KNTC1	255.1306
KPNA1	1935.3696	KPNA1	1410.4478
KPNA2	3085.9672	KPNA2	418.3769
KPNA3	1125.8079	KPNA3	881.5299
KPNA4	2139.7078	KPNA4	1582.556
KPNA5	42.1425	KPNA5	158.1157
KPNA6	1493.05	KPNA6	2241.6045
KPNB1	5672.2444	KPNB1	4571.8284
KPTN	193.714	KPTN	121.2687
KRAS	1522.7977	KRAS	753.2649
KRBA1	217.4413	KRBA1	324.1604
KRBA2	51.7043	KRBA2	205.6903
KRCC1	999.3803	KRCC1	928.6381
KREMEN1	561.6645	KREMEN1	792.444
KREMEN2	13.4573	removed	removed
KRI1	497.6645	KRI1	672.2761
KRIT1	845.3298	KRIT1	1035.4478
KRR1	992.386	KRR1	970.1399
KRT10	897.7424	KRT10	244.403
KRT13	6.7286	removed	removed
KRT14	911.9079	KRT14	13524.7201
KRT15	551.7486	KRT15	11889.459
KRT16	52.7667	KRT16	649.7201
KRT17	1302.8774	KRT17	8548.5075
KRT18	28405.2908	KRT18	5718.195
KRT19	53374.0593	KRT19	4878.2649
KRT1	6.7286	removed	removed
KRT222	74.3692	KRT222	73.694
KRT23	605.5777	KRT23	331.6231
KRT31	12.3949	removed	removed
KRT37	18.4152	removed	removed
KRT4	6.0204	KRT4	6.9963
KRT5	812.749	KRT5	16305.5037
KRT6A	52.7667	KRT6A	7.9291
KRT6B	140.5932	KRT6B	938.4328
KRT6C	7.7911	KRT6C	28.4515
KRT75	23.7273	removed	removed
removed	removed	KRT79	53.6381
KRT7	12039.3094	KRT7	5797.5746
KRT80	515.2722	KRT80	259.7948
KRT81	1752.2798	KRT81	351.6791
KRT83	9.5618	KRT83	10.7276
KRT86	39.3094	KRT86	21.9216
KRT8	36370.6277	KRT8	5683.8573
KRTAP4-1	12.749	removed	removed
KRTAP5-1	8.4993	removed	removed
KRTAP5-9	7.0828	removed	removed
KRTCAP2	4089.243	KRTCAP2	794.7761
KRTCAP3	338.2027	KRTCAP3	141.3246
KSR1	195.1306	KSR1	382.4627
KSR2	87.1182	KSR2	106.8097
KTELC1	484.108	KTELC1	532.1828
KTI12	140.239	KTI12	153.9179
KTN1	6861.7973	KTN1	6873.6007
KYNU	278.3533	KYNU	223.4142
KY	9.9159	KY	214.5522
L1CAM	185.5688	L1CAM	215.9515
L2HGDH	355.2014	L2HGDH	262.1269
L3MBTL2	638.3108	L3MBTL2	795.1866
L3MBTL3	186.9854	L3MBTL3	248.6007
L3MBTL4	13.1031	L3MBTL4	194.9627
L3MBTL	126.0735	L3MBTL	259.3284
LACE1	80.3896	LACE1	42.9104
LACTB2	250.7304	LACTB2	177.7052
LACTB	462.8597	LACTB	222.9478
LAD1	1419.7432	LAD1	761.6604
LAG3	35.0598	LAG3	23.3209
LAGE3	983.0899	LAGE3	164.1791
LAIR1	337.8486	LAIR1	553.6381
LAMA1	121.4697	LAMA1	579.291
LAMA2	560.9385	LAMA2	2768.6567
LAMA3	877.9106	LAMA3	8360.0746
LAMA4	3299.1589	LAMA4	2837.2201
LAMA5	2171.5803	LAMA5	3521.4552
LAMB1	5323.7716	LAMB1	4474.347
LAMB2L	13.8114	LAMB2L	31.7164
LAMB2	4669.3227	LAMB2	10895.9888
LAMB3	474.9004	LAMB3	7898.7873
LAMC1	5248.34	LAMC1	8982.2761
LAMC2	727.7556	LAMC2	5125.9328
LAMC3	15.5821	LAMC3	393.1903
LAMP1	4334.3072	LAMP1	6241.1381
LAMP2	5090.394	LAMP2	4437.9664
LAMP3	44.2674	LAMP3	25.653
LANCL1	1310.6684	LANCL1	2385.7276
LANCL2	617.2643	LANCL2	514.459
LAP3	1463.6565	LAP3	1480.4104
LAPTM4A	7382.7357	LAPTM4A	6497.2015
LAPTM4B	2355.0243	LAPTM4B	1500.4664
LAPTM5	3997.8752	LAPTM5	1362.8731
LARGE	900.5755	LARGE	752.3321
LARP1B	342.0983	LARP1B	322.7612
LARP1	5558.5657	LARP1	4030.7836
LARP4B	1454.4489	LARP4B	1467.8172
LARP4	1547.9416	LARP4	1186.1007
LARP6	126.7818	LARP6	424.4403
LARP7	1231.3413	LARP7	1039.6455
LARS2	687.3838	LARS2	510.2612
LARS	3084.5507	LARS	2965.4851
LAS1L	1229.9247	LAS1L	806.903
LASP1	10525.7193	LASP1	5250
removed	removed	LASS1	29.9394
LASS2	10787.7822	LASS2	3385.2612
removed	removed	LASS3	13.5261
LASS4	945.197	LASS4	875.4664
LASS5	1164.0549	LASS5	634.3284
LASS6	2087.8938	LASS6	2389.7108
LAT2	187.3395	LAT2	105.4104
LATS1	235.1483	LATS1	897.3881
LATS2	689.1545	LATS2	595.6157
LAT	49.0766	LAT	88.3349
LAX1	6.0204	LAX1	27.9851
LAYN	109.429	LAYN	428.1716
LBH	1337.2289	LBH	2908.1157
LBP	13.8114	LBP	55.0373
LBR	906.95	LBR	584.4216
LBX2	7.0828	removed	removed
removed	removed	LBXCOR1	5.1306
LCA5L	176.0071	LCA5L	41.5112
LCA5	142.0097	LCA5	615.2052
LCAT	63.3909	LCAT	108.3022
LCK	40.3718	LCK	59.7015
LCLAT1	572.2886	LCLAT1	255.1306
LCMT1	677.4679	LCMT1	480.4104
LCMT2	342.8066	LCMT2	273.7873
removed	removed	LCN10	27.3787
LCN12	15.5821	LCN12	8.3955
LCN2	313.0589	LCN2	96.5485
LCORL	70.849	LCORL	124.5849
LCOR	71.5538	LCOR	303.2276
LCP1	1415.8477	LCP1	1192.6306
LCP2	241.5228	LCP2	166.5112
LDB1	1478.8845	LDB1	2125
LDB2	282.2488	LDB2	634.7948
LDB3	30.8101	LDB3	108.209
LDHA	15212.0407	LDHA	6172.1082
LDHB	1257.9017	LDHB	8195.8955
LDHC	10.9783	removed	removed
LDHD	120.0531	LDHD	657.1828
LDLRAD2	183.8973	LDLRAD2	223.0224
LDLRAD3	768.8358	LDLRAD3	804.1045
LDLRAP1	836.1222	LDLRAP1	798.041
LDLR	551.7486	LDLR	524.7201
LDOC1L	528.3754	LDOC1L	1249.0672
LDOC1	1563.5237	LDOC1	594.6828
LEAP2	8.1452	removed	removed
LEF1	443.7362	LEF1	201.0261
removed	removed	LEFTY2	68.097
LEKR1	16.2904	LEKR1	22.8545
LEMD2	1053.2094	LEMD2	731.8097
LEMD3	583.6211	LEMD3	896.9216
LENG1	259.938	LENG1	111.0075
LENG8	3070.6543	LENG8	6200.6716
LENG9	259.6689	LENG9	112.2948
LEO1	894.5551	LEO1	671.1754
LEPRE1	1749.8008	LEPRE1	464.0858
LEPREL1	89.243	LEPREL1	562.5
LEPREL2	881.8061	LEPREL2	301.306
LEPROTL1	677.1138	LEPROTL1	695.8955
LEPROT	423.8123	LEPROT	1203.7547
LEPR	205.1386	LEPR	752.8685
LEP	7.0828	LEP	2345.6157
LETM1	1644.6215	LETM1	1173.9739
LETM2	26.5604	LETM2	25.1866
LETMD1	771.3147	LETMD1	1664.6455
LFNG	1145.2855	LFNG	685.6343
LGALS12	36.1222	LGALS12	1427.2388
LGALS1	7265.8699	LGALS1	4006.0634
removed	removed	LGALS2	8.8619
LGALS3BP	12497.2112	LGALS3BP	7146.4552
LGALS3	6542.0097	LGALS3	3931.4366
removed	removed	LGALS7B	14.9254
removed	removed	LGALS7	13.5261
LGALS8	1932.4338	LGALS8	1270.014
LGALS9C	19.8318	removed	removed
LGALS9	920.4073	LGALS9	317.6306
removed	removed	LGI1	11.194
LGI2	81.8061	LGI2	17.7239
LGI4	47.1005	LGI4	206.6231
LGMN	2200.2656	LGMN	1191.6978
LGR4	435.591	LGR4	2228.5448
LGR5	8.1452	removed	removed
LGR6	25.498	LGR6	668.8433
LGTN	1823.8158	LGTN	1477.1455
removed	removed	LHCGR	8.3955
removed	removed	LHFPL1	20.056
LHFPL2	1198.7605	LHFPL2	1520.056
LHFP	804.6038	LHFP	1939.8321
LHPP	460.7348	LHPP	294.7761
LHX4	7.9363	LHX4	7.9571
LHX6	71.1819	LHX6	211.2873
LIAS	242.5852	LIAS	300.8396
LIFR	479.8583	LIFR	5409.5149
LIF	75.4316	LIF	103.0784
LIG1	563.4351	LIG1	594.6828
LIG3	888.1806	LIG3	702.8918
LIG4	287.915	LIG4	438.4328
LILRA2	26.734	LILRA2	12.1269
LILRA5	21.2483	removed	removed
LILRA6	81.9619	LILRA6	9.3284
LILRB1	67.2864	LILRB1	38.2463
LILRB2	88.5347	LILRB2	46.1754
LILRB3	58.6313	LILRB3	20.5224
LILRB4	238.3355	LILRB4	35.4478
LILRB5	45.6839	LILRB5	115.2052
LIMA1	3445.7725	LIMA1	4328.3582
LIMCH1	1603.8955	LIMCH1	3567.6306
LIMD1	838.4135	LIMD1	889.5103
LIMD2	240.5347	LIMD2	74.0718
LIME1	34.5427	LIME1	26.931
LIMK1	1347.4989	LIMK1	496.2687
LIMK2	871.5361	LIMK2	2843.75
LIMS1	286.4985	LIMS1	424.4403
LIMS2	455.7769	LIMS2	1215.9515
LIMS3-LOC440895	26.2665	LIMS3-LOC440895	30.7976
LIMS3	7.0226	LIMS3	8.8479
LIN28A	40.3718	removed	removed
LIN37	183.6246	LIN37	98.736
LIN52	103.7627	LIN52	150.653
LIN54	346.7021	LIN54	381.0634
LIN7A	314.8296	LIN7A	94.2164
LIN7B	80.7437	LIN7B	23.7873
LIN7C	694.4666	LIN7C	725.2799
LIN9	242.5852	LIN9	155.3172
LINGO1	728.8181	LINGO1	46.1754
LINGO4	18.7694	LINGO4	39.6455
LINS1	280.8322	LINS1	312.5
LIPA	1528.1098	LIPA	1859.6082
LIPE	183.7981	LIPE	6967.3507
LIPF	236.2107	removed	removed
LIPG	42.8508	LIPG	100.7463
LIPH	86.4099	LIPH	144.5896
LIPT1	104.811	LIPT1	128.4888
LIPT2	25.498	LIPT2	22.3881
LITAF	3082.78	LITAF	4163.2463
LIX1L	481.629	LIX1L	569.4963
LLGL1	733.0677	LLGL1	851.2127
LLGL2	1137.1403	LLGL2	570.8955
LLPH	1176.3223	LLPH	352.7099
removed	removed	LMAN1L	5.1306
LMAN1	2983.6211	LMAN1	3214.0858
LMAN2L	652.324	LMAN2L	749.0672
LMAN2	3711.0226	LMAN2	1691.2313
LMBR1L	460.0266	LMBR1L	508.3955
LMBR1	994.4223	LMBR1	971.0821
LMBRD1	818.4152	LMBRD1	1445.4291
LMBRD2	222.0452	LMBRD2	375.4664
LMCD1	1417.2643	LMCD1	581.6231
LMF1	274.0682	LMF1	219.2164
LMF2	977.7778	LMF2	919.3097
LMLN	347.4104	LMLN	377.7985
LMNA	7594.1567	LMNA	5673.9739
LMNB1	1323.4174	LMNB1	151.1194
LMNB2	934.2187	LMNB2	581.1567
LMO2	255.6884	LMO2	318.5634
LMO3	52.4126	LMO3	342.3507
LMO4	903.4086	LMO4	934.7015
LMO7	787.251	LMO7	753.2649
LMOD1	403.0102	LMOD1	3923.041
LMTK2	135.2811	LMTK2	540.5784
LMTK3	132.0938	LMTK3	100.7463
LMX1B	1167.5963	LMX1B	1548.5075
LNP1	34.7269	LNP1	100.8582
LNPEP	222.7534	LNPEP	728.8153
LNX1	314.1213	LNX1	413.7127
LNX2	715.7149	LNX2	683.7687
LOC100009676	68.6888	LOC100009676	64.4683
LOC100101266	9.9159	LOC100101266	6.5299
removed	removed	LOC100124692	151.1194
LOC100125556	93.8256	LOC100125556	54.7808
LOC100126784	13.6096	LOC100126784	142.3181
removed	removed	LOC100127888	8.0271
LOC100128191	97.7849	LOC100128191	31.0028
LOC100128239	7.7911	LOC100128239	7.4627
LOC100128288	35.0598	LOC100128288	87.2201
LOC100128292	13.8114	LOC100128292	19.1231
LOC100128640	10.6242	LOC100128640	57.8358
LOC100128788	19.1235	LOC100128788	8.3955
LOC100128822	123.9486	LOC100128822	106.8097
LOC100128842	19.1235	LOC100128842	55.5037
LOC100128977	32.9349	removed	removed
LOC100129034	1852.7986	LOC100129034	1898.2369
LOC100129066	36.4763	removed	removed
LOC100129387	32.1452	LOC100129387	156.945
LOC100129534	30.8101	LOC100129534	62.5
LOC100129550	118.9907	LOC100129550	273.3209
LOC100129637	114.3125	LOC100129637	312.1129
LOC100129716	12.3949	LOC100129716	6.9963
LOC100129726	8.1452	LOC100129726	21.9216
LOC100130015	13.1208	LOC100130015	48.1203
LOC100130093	72.425	LOC100130093	162.57
LOC100130148	10.27	removed	removed
LOC100130522	38.6012	LOC100130522	57.8358
LOC100130557	49.7919	LOC100130557	63.7174
LOC100130581	47.4546	LOC100130581	75.5597
LOC100130691	13.6839	LOC100130691	11.1054
LOC100130776	163.5662	LOC100130776	205.2659
LOC100130872	75.7857	LOC100130872	104.944
LOC100130932	74.0151	LOC100130932	44.3097
LOC100130933	12.0407	removed	removed
removed	removed	LOC100130987	21.9216
LOC100131193	40.0177	LOC100131193	64.8321
LOC100131434	36.239	LOC100131434	83.4935
removed	removed	LOC100131551	5.1306
LOC100131691	16.2939	LOC100131691	36.5812
removed	removed	LOC100132111	17.2575
LOC100132215	9.5618	LOC100132215	26.5858
LOC100132247	182.3816	LOC100132247	174.4403
LOC100132287	252.5011	LOC100132287	398.7873
LOC100132288	381.4077	LOC100132288	356.8097
LOC100132707	80.602	LOC100132707	177.486
removed	removed	LOC100132832	5.2332
LOC100133161	33.0022	LOC100133161	53.4328
LOC100133331	111.2244	LOC100133331	192.3181
LOC100133545	5.3121	LOC100133545	25.653
removed	removed	LOC100133612	10.7276
removed	removed	LOC100133669	22.8545
LOC100133985	15.5821	removed	removed
LOC100133991	9.9159	LOC100133991	28.4515
LOC100134229	200.0885	LOC100134229	94.2164
LOC100134259	6.7286	LOC100134259	20.5224
LOC100134713	21.9637	LOC100134713	12.1315
removed	removed	LOC100134868	6.9963
LOC100144603	17.7069	removed	removed
LOC100144604	9.2076	LOC100144604	22.8545
LOC100170939	171.7185	LOC100170939	238.6241
LOC100188947	47.1005	LOC100188947	29.3843
LOC100190938	25.498	LOC100190938	133.3955
LOC100190939	80.7437	LOC100190939	252.3321
LOC100190986	124.6569	LOC100190986	339.5522
LOC100192378	14.5197	LOC100192378	11.6604
LOC100216545	81.452	LOC100216545	104.0112
LOC100233209	7.7911	LOC100233209	16.791
removed	removed	LOC100240726	7.4627
removed	removed	LOC100240735	11.194
LOC100268168	7.7911	LOC100268168	10.7276
LOC100270710	366.5197	LOC100270710	211.1007
LOC100270746	36.1222	LOC100270746	26.1194
LOC100270804	29.0394	LOC100270804	67.1642
LOC100271722	17.3528	LOC100271722	79.291
removed	removed	LOC100271831	11.0681
LOC100271836	188.6782	LOC100271836	641.3433
LOC100272146	28.3311	LOC100272146	54.1045
LOC100272216	10.9783	LOC100272216	18.6567
LOC100272217	20.1859	LOC100272217	33.5821
LOC100272228	18.0611	LOC100272228	61.5672
LOC100286793	156.8836	LOC100286793	210.3545
LOC100286844	18.8367	LOC100286844	34.3843
LOC100287227	8.1452	LOC100287227	16.791
LOC100288778	347.7326	LOC100288778	349.8554
LOC100289341	38.9553	LOC100289341	33.1157
LOC100302401	19.5131	LOC100302401	13.5961
LOC100302640	7.0828	LOC100302640	6.9963
LOC100302650	15.5821	LOC100302650	5.597
LOC100303728	41.4343	LOC100303728	24.7201
LOC113230	185.2147	LOC113230	101.6791
LOC115110	36.108	LOC115110	115.9655
LOC121838	12.0407	LOC121838	21.9216
removed	removed	LOC121952	5.597
LOC134466	31.1642	LOC134466	138.5261
LOC143188	19.4776	LOC143188	16.3246
LOC143666	20.8942	LOC143666	27.0522
LOC144438	576.1842	LOC144438	841.8843
LOC144486	17.3528	LOC144486	10.7276
LOC144571	19.8884	LOC144571	59.7528
LOC145783	20.0832	LOC145783	32.7659
LOC145820	6.7286	LOC145820	13.9925
LOC145837	419.6547	LOC145837	59.2351
LOC146481	18.0611	removed	removed
LOC146880	264.1771	LOC146880	344.8881
LOC147727	282.6029	LOC147727	700.0933
LOC147804	522.355	LOC147804	135.7276
LOC148189	55.2457	LOC148189	54.1045
LOC148413	310.5799	LOC148413	370.5644
removed	removed	LOC148696	36.8703
LOC148709	13.8114	LOC148709	5.1306
LOC149134	25.8521	LOC149134	9.3284
LOC149837	69.7654	LOC149837	59.7015
LOC150381	10.27	LOC150381	55.2239
LOC150776	369.367	LOC150776	354.944
LOC150786	51.3502	LOC150786	53.6381
LOC151009	37.1846	LOC151009	42.9104
LOC151162	978.8402	LOC151162	1529.8507
LOC151174	24.7897	removed	removed
LOC151534	125.0111	LOC151534	63.8993
LOC152217	213.9	LOC152217	192.6306
LOC152225	6.0204	removed	removed
LOC153684	37.8929	LOC153684	48.041
LOC154761	65.6113	LOC154761	94.0578
removed	removed	LOC154822	38.736
LOC158376	20.1859	LOC158376	77.8918
LOC158572	55.5998	LOC158572	52.2388
removed	removed	LOC158696	9.7948
LOC162632	723.3112	LOC162632	1119.389
LOC168474	25.1439	LOC168474	16.3246
LOC200030	524.4799	LOC200030	1059.2351
removed	removed	LOC201651	5.597
LOC202181	34.3515	LOC202181	93.75
LOC202781	159.3625	LOC202781	240.6716
LOC219347	64.896	LOC219347	63.6754
LOC220594	8.8535	LOC220594	16.791
LOC220729	127.1359	LOC220729	200.5597
LOC220930	129.4449	LOC220930	95.6157
LOC221442	26.2063	LOC221442	141.791
LOC221710	364.409	LOC221710	331.1567
LOC222699	99.5131	LOC222699	22.3881
LOC253039	573.7052	LOC253039	1042.9104
LOC253724	11.6866	LOC253724	13.5261
LOC254559	33.6432	LOC254559	115.6716
LOC255167	21.6025	LOC255167	39.1791
removed	removed	LOC256880	6.5299
removed	removed	LOC257358	9.3284
LOC25845	356.062	LOC25845	302.2575
LOC282997	67.2864	LOC282997	47.5746
LOC283050	12.0407	LOC283050	30.3172
LOC283070	226.2948	LOC283070	128.7313
LOC283174	55.954	LOC283174	282.1828
LOC283267	189.1102	LOC283267	241.6045
LOC283314	37.2483	LOC283314	120.1959
LOC283392	9.4236	LOC283392	283.9832
LOC283663	15.5821	LOC283663	28.4515
removed	removed	LOC283731	15.3918
removed	removed	LOC283856	7.9291
LOC283867	34.7056	removed	removed
LOC283922	27.2687	LOC283922	79.291
LOC284023	91.722	LOC284023	217.8172
LOC284232	26.5604	LOC284232	23.7873
LOC284233	26.9146	LOC284233	39.1791
removed	removed	LOC284276	15.3918
LOC284379	10.9783	removed	removed
LOC284440	140.9473	LOC284440	194.9627
LOC284441	94.201	LOC284441	69.9627
LOC284551	7.4369	removed	removed
removed	removed	LOC284578	21.9216
LOC284837	14.5197	LOC284837	79.291
LOC284900	90.6242	LOC284900	198.9832
LOC285033	26.7481	LOC285033	36.8797
LOC285074	230.5445	LOC285074	361.0075
LOC285359	79.3271	LOC285359	69.9627
LOC285548	6.7286	removed	removed
LOC285593	33.9973	LOC285593	7.4627
LOC285830	16.7189	LOC285830	61.2547
removed	removed	LOC286002	29.3843
LOC286367	21.9566	LOC286367	281.25
LOC286467	5.6662	LOC286467	14.9254
LOC338651	101.7016	LOC338651	28.736
LOC338758	30.456	LOC338758	69.0299
LOC338799	305.9761	LOC338799	517.2575
LOC339047	651.9699	LOC339047	1404.3843
LOC339290	313.413	LOC339290	808.7687
LOC339524	72.4285	LOC339524	165.1119
LOC339535	210.3586	LOC339535	40.1119
LOC341056	8.1452	LOC341056	5.597
LOC344595	175.6529	LOC344595	306.903
LOC348926	154.7587	LOC348926	73.694
LOC349114	190.5268	LOC349114	174.4403
removed	removed	LOC349196	20.2705
LOC374443	195.8389	LOC374443	137.1269
LOC375190	69.0571	LOC375190	75.5597
LOC387646	108.3665	LOC387646	64.3657
LOC387647	332.4126	LOC387647	540.9981
LOC388152	230.1903	LOC388152	307.3694
LOC388242	36.4763	LOC388242	17.7239
LOC388588	62.6826	LOC388588	23.3209
LOC388692	508.8977	LOC388692	570.8955
LOC388789	904.8251	LOC388789	437.9664
LOC388796	262.7711	LOC388796	191.6978
LOC388955	510.3143	LOC388955	226.2127
LOC389033	10.27	LOC389033	10.7276
LOC389333	68.3488	LOC389333	56.903
LOC389493	112.9703	LOC389493	23.7873
LOC389705	6.0204	LOC389705	7.9291
removed	removed	LOC389791	6.9963
removed	removed	LOC390595	9.7948
LOC391322	7.4369	LOC391322	15.8582
LOC399744	83.2227	LOC399744	125.9328
LOC399815	13.4573	removed	removed
LOC399959	287.5609	LOC399959	991.1381
LOC400027	208.5879	LOC400027	367.0709
LOC400043	368.6587	LOC400043	252.7985
LOC400657	146.9677	LOC400657	246.2687
LOC400752	40.3718	LOC400752	46.1754
LOC400759	6.0204	LOC400759	27.9851
LOC400927	15.5821	LOC400927	45.1073
LOC400931	17.3528	LOC400931	253.2649
LOC401010	21.9566	LOC401010	27.5187
