gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
ACY3	49.5795	ACY3	11.6604
ACYP1	83.5768	ACYP1	55.9701
ACYP2	80.3896	ACYP2	121.7351
removed	removed	ADAD2	6.0448
ADAL	140.239	ADAL	236.4739
ADAM10	946.9677	ADAM10	2642.2575
ADAM11	7.7911	ADAM11	24.7201
ADAM12	5288.3577	ADAM12	761.6604
ADAM15	4765.6485	ADAM15	2043.8433
ADAM17	434.8827	ADAM17	1049.9067
ADAM19	715.3608	ADAM19	186.5672
ADAM21	6.3745	ADAM21	9.3284
ADAM22	103.7627	ADAM22	75.0933
ADAM23	30.456	ADAM23	16.3246
ADAM28	105.5334	ADAM28	82.556
ADAM32	6.0204	ADAM32	8.8619
ADAM33	89.5972	ADAM33	530.4338
ADAM6	5436.1541	ADAM6	40563.8153
ADAM8	624.7012	ADAM8	59.2351
ADAM9	1242.3196	ADAM9	2277.9851
ADAMDEC1	105.5334	ADAMDEC1	27.5187
ADAMTS10	129.969	ADAMTS10	152.0522
ADAMTS12	275.5201	ADAMTS12	195.4291
ADAMTS13	62.6826	ADAMTS13	140.8582
ADAMTS14	265.6042	removed	removed
ADAMTS15	238.6897	ADAMTS15	227.6119
ADAMTS16	240.8145	ADAMTS16	23.3209
ADAMTS17	47.8088	ADAMTS17	24.7201
ADAMTS18	10.6242	ADAMTS18	70.8955
removed	removed	ADAMTS19	6.5299
ADAMTS1	652.324	ADAMTS1	1520.9888
ADAMTS2	667.552	ADAMTS2	572.7612
ADAMTS3	21.9566	ADAMTS3	47.5746
ADAMTS4	696.9456	ADAMTS4	76.959
ADAMTS5	243.6476	ADAMTS5	2537.7799
ADAMTS6	99.5131	ADAMTS6	11.6604
ADAMTS7	330.7658	ADAMTS7	123.6007
ADAMTS8	94.201	ADAMTS8	51.7724
ADAMTS9	253.2094	ADAMTS9	400.1866
ADAMTSL1	68.3488	ADAMTSL1	82.556
ADAMTSL2	273.3953	ADAMTSL2	38.2463
ADAMTSL3	70.8278	ADAMTSL3	189.8321
ADAMTSL4	157.5919	ADAMTSL4	410.9142
ADAMTSL5	56.3081	ADAMTSL5	53.1716
ADAP1	216.8393	ADAP1	114.3797
ADAP2	214.6082	ADAP2	142.2575
ADARB1	405.8433	ADARB1	782.1828
ADAR	10159.1855	ADAR	7379.6642
ADAT1	236.5649	ADAT1	465.9515
ADAT2	69.0571	ADAT2	182.3694
