gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
ALKBH1	296.7881	ALKBH1	208.2546
ALKBH2	270.8462	ALKBH2	264.6503
ALKBH3	176.3434	ALKBH3	316.6352
ALKBH4	300.5435	ALKBH4	205.2363
ALKBH5	1588.5886	ALKBH5	2306.0807
ALKBH6	61.1489	ALKBH6	50.4096
ALKBH7	238.4188	ALKBH7	369.5652
ALKBH8	247.9926	ALKBH8	334.5936
removed	removed	ALK	9.4518
removed	removed	ALMS1P	6.3012
ALMS1	656.887	ALMS1	833.0183
ALOX12B	19.4626	removed	removed
ALOX12P2	15.4416	ALOX12P2	31.1909
removed	removed	ALOX12	6.317
ALOX15B	99.4441	ALOX15B	109.6408
ALOX15	20.6918	ALOX15	9.7669
ALOX5AP	735.9481	ALOX5AP	368.9351
ALOX5	856.7017	ALOX5	611.2161
ALOXE3	17.6035	ALOXE3	5.9861
ALPK1	1637.4305	ALPK1	1030.8759
ALPK2	37.6776	ALPK2	15.1229
ALPK3	168.9314	ALPK3	252.9931
ALPL	343.113	ALPL	1740.7057
ALS2CL	568.252	ALS2CL	308.1285
removed	removed	ALS2CR11	11.3422
removed	removed	ALS2CR12	5.356
ALS2CR4	612.1062	ALS2CR4	1217.0762
ALS2CR8	198.8882	ALS2CR8	259.9244
ALS2	557.7517	ALS2	722.1172
ALX3	45.0896	ALX3	50.4096
ALX4	33.0451	ALX4	23.6295
AMACR	281.9642	AMACR	362.949
AMBRA1	630.0185	AMBRA1	1002.5205
AMD1	1948.8728	AMD1	1792.6906
AMDHD1	23.1624	AMDHD1	21.7391
AMDHD2	657.6096	AMDHD2	173.368
AMFR	2733.1686	AMFR	2796.4713
removed	removed	AMH	5.041
AMICA1	503.0883	AMICA1	417.4543
AMIGO1	124.4595	AMIGO1	183.3648
AMIGO2	87.0908	AMIGO2	1979.1871
AMIGO3	54.0457	AMIGO3	64.9023
AMMECR1L	964.4842	AMMECR1L	912.7284
AMMECR1	1813.4651	AMMECR1	249.5274
AMN1	96.9734	AMN1	162.5709
AMN	8.9561	removed	removed
AMOTL1	1297.4058	AMOTL1	3312.5394
AMOTL2	783.8172	AMOTL2	2590.1071
AMOT	774.2434	AMOT	1250.1575
AMPD1	12.6621	AMPD1	34.3415
AMPD2	885.1143	AMPD2	606.8053
AMPD3	436.0716	AMPD3	315.3749
AMPH	10.8091	AMPH	109.6408
AMTN	207.5355	removed	removed
AMT	63.2891	AMT	189.6503
AMY1A	250.1544	AMY1A	60.4915
AMY2B	385.2718	AMY2B	536.4934
AMZ1	12.0445	AMZ1	8.1916
AMZ2P1	91.4145	AMZ2P1	187.4606
AMZ2	1257.8752	AMZ2	1020.1638
ANAPC10	147.622	ANAPC10	116.8872
ANAPC11	760.6547	ANAPC11	507.2464
ANAPC13	1133.2366	ANAPC13	922.8891
ANAPC16	1772.0815	ANAPC16	2193.1317
ANAPC1	796.4793	ANAPC1	862.6339
ANAPC2	472.5139	ANAPC2	642.7221
ANAPC4	602.2236	ANAPC4	605.5451
removed	removed	ANAPC5	2076.8746
ANAPC7	1472.2051	ANAPC7	936.673
ANGEL1	576.5905	ANGEL1	734.7196
ANGEL2	664.2989	ANGEL2	722.1172
ANGPT1	107.7826	ANGPT1	507.8765
ANGPT2	100.6794	ANGPT2	963.7681
removed	removed	ANGPT4	18.2735
ANGPTL1	9.265	ANGPTL1	517.3283
ANGPTL2	540.4571	ANGPTL2	4683.3648
ANGPTL4	490.4262	ANGPTL4	1177.0636
removed	removed	ANGPTL5	7.8765
ANGPTL6	7.8845	removed	removed
removed	removed	ANGPTL7	354.1273
ANG	92.0476	ANG	319.4045
ANK1	12.3533	ANK1	27.4102
ANK2	51.2662	ANK2	1254.2533
ANK3	1494.7498	ANK3	1359.4833
ANKAR	14.5151	ANKAR	57.0258
ANKDD1A	98.8264	ANKDD1A	211.7202
ANKFY1	1609.6356	ANKFY1	2703.8437
ANKHD1-EIF4EBP3	1347.1062	ANKHD1-EIF4EBP3	1290.8822
ANKHD1	2203.3601	ANKHD1	2550.3245
ANKH	1159.3576	ANKH	2011.9723
ANKIB1	1531.8098	ANKIB1	1598.6137
ANKK1	107.4737	ANKK1	45.3686
ANKLE1	6.6708	ANKLE1	13.0939
ANKLE2	2016.3681	ANKLE2	1464.7133
ANKMY1	230.0803	ANKMY1	212.0353
ANKMY2	343.113	ANKMY2	597.6686
ANKRA2	285.979	ANKRA2	311.9093
ANKRD10	754.7869	ANKRD10	1923.2357
ANKRD11	2799.0766	ANKRD11	2800.69
ANKRD12	1056.8252	ANKRD12	1817.8954
ANKRD13A	1067.9432	ANKRD13A	1569.3132
ANKRD13B	75.664	ANKRD13B	133.5854
ANKRD13C	618.2829	ANKRD13C	638.9414
ANKRD13D	1345.2749	ANKRD13D	385.6333
ANKRD16	91.6862	ANKRD16	130.6931
ANKRD17	1900.8647	ANKRD17	3490.8633
ANKRD19	119.2094	ANKRD19	53.8752
ANKRD22	1382.9401	ANKRD22	101.1342
ANKRD23	76.2817	ANKRD23	45.6837
ANKRD24	7.1032	ANKRD24	23.9445
ANKRD26	163.0636	ANKRD26	294.896
ANKRD27	880.4818	ANKRD27	836.1689
ANKRD28	700.7412	ANKRD28	1381.8526
ANKRD29	82.1495	ANKRD29	353.8122
removed	removed	ANKRD30A	378.702
removed	removed	ANKRD30B	22.6843
ANKRD32	192.0939	ANKRD32	158.1601
ANKRD34A	23.4713	ANKRD34A	22.6843
ANKRD34B	52.1927	removed	removed
ANKRD35	150.0926	ANKRD35	229.9937
ANKRD36BP1	193.638	ANKRD36BP1	262.1298
ANKRD36B	11.7356	ANKRD36B	51.0397
ANKRD36	104.0766	ANKRD36	280.7183
ANKRD37	123.6813	ANKRD37	74.9716
ANKRD39	193.9469	ANKRD39	81.9156
ANKRD40	921.2477	ANKRD40	1878.3869
ANKRD42	155.3428	ANKRD42	269.3762
ANKRD43	7.1032	ANKRD43	49.1493
ANKRD44	68.5608	ANKRD44	150.2836
removed	removed	ANKRD45	17.9584
ANKRD46	595.6578	ANKRD46	499.1084
ANKRD49	277.0229	ANKRD49	386.2634
removed	removed	ANKRD50	1299.3069
ANKRD52	1429.895	ANKRD52	1566.1626
removed	removed	ANKRD53	42.218
ANKRD54	441.6306	ANKRD54	344.9905
removed	removed	ANKRD55	8.1916
ANKRD56	144.5337	ANKRD56	74.3541
ANKRD57	1216.4917	ANKRD57	779.143
ANKRD58	38.2952	ANKRD58	11.9723
