gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
KRT79	215.2563	KRT79	13.5476
KRT7	883.2613	KRT7	5712.6654
KRT80	1261.5812	KRT80	287.9647
KRT81	25.3243	KRT81	335.8538
KRT86	21.6183	KRT86	19.2187
KRT8	244.9629	KRT8	5956.0523
KRT9	40.4571	removed	removed
KRTAP4-1	19.7653	removed	removed
KRTAP5-9	7.412	removed	removed
KRTCAP2	2393.1439	KRTCAP2	1135.4757
KRTCAP3	370.908	KRTCAP3	266.5406
KRTDAP	3628.1655	removed	removed
KSR1	909.2032	KSR1	754.2533
KSR2	12.6621	KSR2	63.9572
KTELC1	550.6485	KTELC1	657.845
KTI12	182.2112	KTI12	153.4342
KTN1	7077.8258	KTN1	6228.4184
KYNU	798.0235	KYNU	220.2268
removed	removed	KY	195.3371
removed	removed	L1CAM	120.0378
L1TD1	6.7943	L1TD1	36.5469
L2HGDH	410.7474	L2HGDH	180.5293
removed	removed	L3MBTL2	783.3491
L3MBTL3	114.2681	L3MBTL3	262.1298
L3MBTL4	508.6473	L3MBTL4	229.3636
L3MBTL	17.6035	L3MBTL	182.1046
LACE1	55.5899	LACE1	54.5054
removed	removed	LACRT	58.9162
LACTB2	318.7153	LACTB2	168.242
LACTB	620.4447	LACTB	281.6635
LAD1	9755.7134	LAD1	620.6679
LAG3	231.9333	LAG3	42.8481
LAGE3	629.4009	LAGE3	157.845
LAIR1	1351.1427	LAIR1	855.0725
LAIR2	7.1032	removed	removed
removed	removed	LALBA	8.8217
LAMA1	54.6634	LAMA1	323.8815
LAMA2	77.8258	LAMA2	2156.569
LAMA3	2649.7838	LAMA3	4527.0951
LAMA4	759.7282	LAMA4	5438.2483
LAMA5	1788.7585	LAMA5	3360.1134
LAMB1	1511.7356	LAMB1	4950.5356
LAMB2L	10.8091	LAMB2L	29.6156
LAMB2	973.7492	LAMB2	9503.7807
LAMB3	5706.609	LAMB3	4486.4524
LAMC1	3602.5324	LAMC1	10754.8834
LAMC2	6837.8629	LAMC2	5886.5784
LAMC3	10.1915	LAMC3	126.0239
LAMP1	6298.3323	LAMP1	7949.9055
LAMP2	11301.4206	LAMP2	5446.4398
LAMP3	1245.5219	LAMP3	388.4688
LANCL1	1205.3737	LANCL1	2217.0762
LANCL2	4177.5788	LANCL2	543.7933
LANCL3	7.1032	LANCL3	9.7669
LAP3	7495.3675	LAP3	2996.8494
LAPTM4A	8844.0395	LAPTM4A	8359.1682
LAPTM4B	3743.6689	LAPTM4B	2500
LAPTM5	8285.0525	LAPTM5	3292.6906
LARGE	457.6899	LARGE	741.3359
LARP1B	274.861	LARP1B	350.0315
LARP1	5918.4682	LARP1	4340.8948
LARP4B	1796.7881	LARP4B	1421.5501
LARP4	1397.7764	LARP4	1317.8954
LARP6	129.7097	LARP6	366.0996
LARP7	1136.1952	LARP7	964.3982
LARS2	351.4515	LARS2	569.6282
LARS	2179.7406	LARS	2674.5432
LAS1L	787.5232	LAS1L	803.4026
LASP1	4542.6189	LASP1	5659.7353
removed	removed	LASS1	5.6081
LASS2	2695.7999	LASS2	3365.7845
LASS3	1852.6868	LASS3	10.0819
LASS4	1160.2841	LASS4	523.9445
LASS5	570.7227	LASS5	698.8028
LASS6	980.3305	LASS6	1405.9735
LAT2	309.1414	LAT2	178.0088
LATS1	223.286	LATS1	702.8986
LATS2	296.4793	LATS2	775.9924
LAT	167.551	LAT	161.695
LAX1	106.2384	LAX1	80.3403
LAYN	51.575	LAYN	324.5117
LBH	3153.181	LBH	2403.5917
LBP	8.9561	LBP	149.6534
LBR	1890.0556	LBR	1081.9156
LBX2	8.8141	removed	removed
removed	removed	LBXCOR1	5.356
LCA5L	36.4422	LCA5L	44.1084
LCA5	99.4441	LCA5	374.9212
LCAT	56.2075	LCAT	91.5627
LCE1C	21.0006	removed	removed
LCE3D	14.5151	removed	removed
LCE3E	11.118	removed	removed
LCK	277.0229	LCK	242.9112
LCLAT1	575.0463	LCLAT1	364.2092
LCMT1	839.0982	LCMT1	475.1103
LCMT2	305.1266	LCMT2	270.3214
removed	removed	LCN10	25.2048
LCN12	12.971	removed	removed
LCN2	18540.1482	LCN2	182.1046
removed	removed	LCNL1	6.6163
LCORL	72.1495	LCORL	102.2401
LCOR	89.756	LCOR	217.6434
LCP1	5363.1872	LCP1	4965.6585
LCP2	758.8017	LCP2	526.15
LDB1	1804.2001	LDB1	1467.5488
LDB2	107.1649	LDB2	1180.5293
LDB3	11.7356	LDB3	101.4493
LDHAL6B	5.8678	removed	removed
LDHA	12142.6807	LDHA	8546.6289
LDHB	1327.6714	LDHB	6329.5526
LDHD	75.0463	LDHD	184.6251
LDLRAD2	148.2458	LDLRAD2	230.1701
LDLRAD3	284.126	LDLRAD3	724.0076
LDLRAP1	1453.6751	LDLRAP1	675.4883
LDLR	862.5695	LDLR	506.6163
LDOC1L	344.3484	LDOC1L	1363.264
LDOC1	685.2996	LDOC1	744.8015
LEAP2	6.4855	removed	removed
LEF1	132.1804	LEF1	158.1601
LEFTY1	6.1025	LEFTY1	9.1367
removed	removed	LEFTY2	17.6434
LEKR1	31.1921	LEKR1	18.5885
LEMD1	63.9284	removed	removed
LEMD2	980.5435	LEMD2	771.8967
LEMD3	553.7369	LEMD3	900.4411
LENG1	105.0031	LENG1	126.6541
LENG8	1738.218	LENG8	4423.5413
LENG9	124.3515	LENG9	115.8412
LEO1	996.6028	LEO1	543.4783
LEPRE1	986.1025	LEPRE1	586.0113
LEPREL1	30.2656	LEPREL1	532.4512
LEPREL2	111.7974	LEPREL2	494.0139
LEPROTL1	947.8073	LEPROTL1	961.5627
LEPROT	1578.4466	LEPROT	1226.1059
LEPR	185.9141	LEPR	2547.051
LEP	5.559	LEP	4494.3289
LETM1	2141.7542	LETM1	1049.1493
LETM2	6.7943	LETM2	22.9994
LETMD1	719.8888	LETMD1	1300.5671
LFNG	308.8326	LFNG	670.7624
LGALS12	5.559	LGALS12	424.0706
LGALS1	2095.7381	LGALS1	5019.5337
LGALS2	91.1056	LGALS2	64.2722
LGALS3BP	10400.2471	LGALS3BP	9140.8318
LGALS3	5562.0754	LGALS3	4533.0813
removed	removed	LGALS4	8.5066
LGALS7B	4192.4027	LGALS7B	49.7795
LGALS7	2845.2749	LGALS7	13.5476
LGALS8	1513.7863	LGALS8	1272.5205
LGALS9C	10.5003	LGALS9C	9.1367
LGALS9	1594.8116	LGALS9	1130.4348
LGI2	210.6238	LGI2	90.4222
LGI3	5.2502	removed	removed
LGI4	21.6183	LGI4	315.0599
LGMN	3265.9049	LGMN	2739.7606
LGR4	616.4299	LGR4	1490.2331
LGR5	26.8684	LGR5	22.0542
LGR6	10.8091	LGR6	444.2344
LGTN	1207.8443	LGTN	1347.8261
removed	removed	LHCGR	14.1777
LHFPL1	67.3255	LHFPL1	16.0681
LHFPL2	2869.3638	LHFPL2	2309.0737
LHFP	200.7412	LHFP	3551.9849
LHPP	373.6875	LHPP	453.6862
LHX2	37.6776	removed	removed
LHX4	9.231	LHX4	6.0649
LHX6	29.0303	LHX6	390.3592
LIAS	311.9209	LIAS	230.9389
LIFR	236.5658	LIFR	5258.6641
LIF	225.0062	LIF	131.38
LIG1	730.698	LIG1	476.0555
LIG3	692.4027	LIG3	620.0378
LIG4	262.8166	LIG4	367.3598
LILRA1	18.2211	LILRA1	9.4518
LILRA2	29.9568	LILRA2	28.0403
LILRA3	42.0012	removed	removed
LILRA4	26.2508	LILRA4	33.3963
LILRA5	62.693	LILRA5	14.4928
LILRA6	209.5213	LILRA6	80.4505
LILRB1	472.2051	LILRB1	130.7498
LILRB2	477.7641	LILRB2	118.7776
LILRB3	229.9475	LILRB3	58.4909
LILRB4	1686.2261	LILRB4	256.7738
LILRB5	79.9876	LILRB5	396.9754
LIMA1	2038.2952	LIMA1	4857.908
LIMCH1	1690.5497	LIMCH1	3442.344
LIMD1	663.3725	LIMD1	941.213
LIMD2	529.3298	LIMD2	292.9584
LIME1	123.9376	LIME1	72.0164
LIMK1	2366.5843	LIMK1	663.8311
LIMK2	4780.1112	LIMK2	2153.7492
LIMS1	374.3051	LIMS1	583.8059
LIMS2	103.7678	LIMS2	1274.7322
LIMS3-LOC440895	6.1767	LIMS3-LOC440895	33.4531
removed	removed	LIMS3	9.7101
LIN37	93.4157	LIN37	98.8059
LIN52	194.2557	LIN52	137.3661
LIN54	358.5547	LIN54	352.552
removed	removed	LIN7A	60.8066
LIN7B	87.7085	LIN7B	28.6704
LIN7C	574.1198	LIN7C	788.2798
LIN9	407.3502	LIN9	123.1884
LINGO1	27.4861	LINGO1	120.3529
LINGO2	88.635	LINGO2	9.1367
LINGO4	11.4268	LINGO4	17.6434
LINS1	738.7276	LINS1	281.6635
LIPA	3157.5046	LIPA	2793.9509
removed	removed	LIPC	15.4379
LIPE	157.1834	LIPE	4513.1601
LIPG	670.1668	LIPG	130.1197
LIPH	230.698	LIPH	147.448
LIPK	68.8697	removed	removed
LIPT1	109.265	LIPT1	161.3106
LIPT2	69.7128	LIPT2	23.2829
LITAF	7669.2403	LITAF	5431.0019
LIX1L	307.2884	LIX1L	863.264
LLGL1	712.4768	LLGL1	731.8841
LLGL2	1096.3558	LLGL2	511.3422
LLPH	556.0902	LLPH	541.5627
removed	removed	LMAN1L	5.356
LMAN1	2542.0012	LMAN1	3714.8708
LMAN2L	672.0198	LMAN2L	694.707
LMAN2	2492.2792	LMAN2	1928.7965
LMBR1L	439.4688	LMBR1L	431.317
LMBR1	577.8258	LMBR1	952.741
LMBRD1	558.3694	LMBRD1	1545.6837
LMBRD2	120.7536	LMBRD2	253.6232
LMCD1	291.2292	LMCD1	1078.4499
LMF1	191.7851	LMF1	234.1052
LMF2	575.0463	LMF2	1043.4783
LMLN	323.0389	LMLN	323.8815
LMNA	11693.0204	LMNA	7094.833
LMNB1	2371.5256	LMNB1	371.4556
LMNB2	1575.0463	LMNB2	931.632
LMO2	213.7122	LMO2	664.4612
removed	removed	LMO3	118.7776
LMO4	3225.7566	LMO4	1557.971
LMO7	110.2532	LMO7	503.1506
LMOD1	121.68	LMOD1	4170.7624
LMTK2	713.4033	LMTK2	402.0164
LMTK3	96.3558	LMTK3	107.4354
removed	removed	LMX1A	10.397
LMX1B	341.5689	LMX1B	903.2766
LNP1	54.4256	LNP1	76.6257
LNPEP	247.0661	LNPEP	656.5028
LNX1	284.126	LNX1	354.1273
LNX2	676.6523	LNX2	462.8229
LOC100009676	99.895	LOC100009676	64.1903
removed	removed	LOC100101266	6.6163
LOC100124692	12.3533	LOC100124692	195.3371
LOC100125556	107.0939	LOC100125556	50.6049
LOC100126784	8.4682	LOC100126784	71.7297
LOC100127888	19.0025	LOC100127888	7.8828
LOC100128191	50.8833	LOC100128191	28.0466
removed	removed	LOC100128239	9.7669
LOC100128288	50.0309	LOC100128288	86.9565
LOC100128292	13.5886	LOC100128292	9.4518
LOC100128640	13.2798	LOC100128640	42.5331
LOC100128788	14.5182	LOC100128788	11.0271
LOC100128822	51.575	LOC100128822	102.3945
LOC100128842	60.5312	LOC100128842	60.1764
removed	removed	LOC100128977	6.9313
LOC100129034	826.9395	LOC100129034	2156.6352
LOC100129066	7.412	removed	removed
LOC100129387	118.2149	LOC100129387	140.0851
LOC100129534	45.7072	LOC100129534	72.4638
LOC100129550	191.7851	LOC100129550	290.8003
LOC100129637	237.5448	LOC100129637	261.5532
LOC100129716	13.2798	LOC100129716	8.5066
removed	removed	LOC100129726	10.397
LOC100130015	24.6819	LOC100130015	25.7026
LOC100130093	79.0673	LOC100130093	124.9559
LOC100130522	8.9561	LOC100130522	15.753
LOC100130557	48.7091	LOC100130557	45.0347
LOC100130581	46.0161	LOC100130581	49.7795
LOC100130691	23.5979	LOC100130691	18.4405
LOC100130776	146.0191	LOC100130776	211.5217
LOC100130872	16.3681	LOC100130872	53.5602
LOC100130932	60.2224	LOC100130932	34.9716
LOC100130987	12.971	LOC100130987	18.9036
LOC100131193	45.6208	LOC100131193	24.6125
LOC100131434	47.9741	LOC100131434	71.9975
LOC100131551	35.5158	removed	removed
LOC100131691	21.4947	LOC100131691	20.1607
LOC100131726	81.8406	removed	removed
LOC100132111	10.3428	LOC100132111	11.6541
LOC100132215	24.2248	LOC100132215	36.2319
LOC100132247	374.614	LOC100132247	179.8992
LOC100132287	929.5862	LOC100132287	284.184
LOC100132288	201.05	LOC100132288	559.5463
LOC100132707	47.4367	LOC100132707	169.2943
LOC100132832	8.391	LOC100132832	5.3245
LOC100133161	130.6547	LOC100133161	38.2829
LOC100133308	6.4855	removed	removed
LOC100133331	391.6893	LOC100133331	170.5041
removed	removed	LOC100133545	24.5747
LOC100133669	19.7653	LOC100133669	10.397
LOC100133985	15.7505	removed	removed
LOC100133991	24.0889	LOC100133991	22.9994
LOC100134229	506.1767	LOC100134229	140.5167
LOC100134259	8.3385	LOC100134259	29.9307
LOC100134713	14.5213	LOC100134713	10.4033
removed	removed	LOC100134868	5.356
LOC100144603	5.559	removed	removed
removed	removed	LOC100144604	9.4518
LOC100170939	209.9043	LOC100170939	81.6005
removed	removed	LOC100188947	16.3831
LOC100188949	19.4565	LOC100188949	15.753
LOC100190938	6.1767	LOC100190938	150.2836
LOC100190939	45.3984	LOC100190939	271.2665
LOC100190986	173.8728	LOC100190986	414.6188
removed	removed	LOC100192378	8.1916
LOC100216545	71.0315	LOC100216545	70.8885
LOC100233209	43.2366	LOC100233209	34.6566
removed	removed	LOC100240726	9.4518
LOC100240735	5.2502	LOC100240735	13.8626
LOC100268168	5.2502	removed	removed
LOC100270710	82.7517	LOC100270710	219.0643
LOC100270746	32.4274	LOC100270746	18.2735
LOC100270804	38.9129	LOC100270804	49.7795
LOC100271722	37.9864	LOC100271722	48.2042
LOC100271831	13.3694	removed	removed
LOC100271836	472.4151	LOC100271836	521.4461
LOC100272146	47.5602	LOC100272146	68.683
LOC100272216	20.0741	LOC100272216	29.6188
LOC100272217	39.2217	LOC100272217	28.3554
LOC100272228	47.2514	LOC100272228	57.0258
LOC100286793	319.0241	LOC100286793	193.4468
LOC100286844	17.5633	LOC100286844	44.2659
LOC100287227	9.9321	LOC100287227	6.3768
LOC100288778	350.4818	LOC100288778	358.0907
LOC100289341	58.0605	LOC100289341	41.903
LOC100302401	30.9759	LOC100302401	16.4115
LOC100302640	6.4855	LOC100302640	7.8765
LOC100302650	12.971	LOC100302650	18.2892
LOC100303728	61.4577	LOC100303728	20.794
LOC113230	166.7696	LOC113230	100.5041
LOC115110	78.4527	LOC115110	74.6975
removed	removed	LOC121838	16.3831
LOC134466	5.559	LOC134466	88.8469
LOC143188	12.3533	LOC143188	23.9445
LOC143666	27.4861	LOC143666	19.5337
LOC144438	647.0043	LOC144438	848.7713
LOC144486	23.1624	LOC144486	10.0819
LOC144571	20.5127	LOC144571	53.39
LOC145783	30.5096	LOC145783	29.8456
removed	removed	LOC145820	71.2035
removed	removed	LOC145837	21.109
LOC146880	362.1742	LOC146880	444.6408
LOC147727	582.1495	LOC147727	384.058
LOC147804	97.2823	LOC147804	88.8469
LOC148189	29.3391	LOC148189	44.7385
LOC148413	535.7165	LOC148413	291.0681
removed	removed	LOC148696	23.2168
LOC148709	35.5158	removed	removed
LOC149134	12.0445	LOC149134	25.2048
LOC149837	10.5003	LOC149837	92.6276
LOC150197	5.8678	removed	removed
LOC150381	58.0605	LOC150381	45.9326
removed	removed	LOC150622	6.3012
LOC150776	461.7048	LOC150776	372.4008
LOC150786	54.3545	LOC150786	58.9162
LOC151009	81.223	LOC151009	54.5054
LOC151162	1376.467	LOC151162	1468.494
removed	removed	LOC151174	6.9313
LOC151534	83.8357	LOC151534	99.874
LOC152217	346.2014	LOC152217	201.6383
LOC153684	30.8833	LOC153684	47.574
LOC154761	175.8771	LOC154761	78.0246
removed	removed	LOC154822	12.9049
LOC157381	74.7375	LOC157381	6.3012
LOC158376	7.1032	LOC158376	72.7788
LOC158572	17.9123	LOC158572	37.1771
removed	removed	LOC158696	10.712
LOC162632	514.2495	LOC162632	745.9735
LOC168474	11.4268	LOC168474	23.6295
LOC200030	545.315	LOC200030	663.7366
removed	removed	LOC201651	12.2873
LOC202181	42.6189	LOC202181	91.9975
LOC202781	182.5201	LOC202781	170.4474
LOC219347	150.1359	LOC219347	76.235
LOC220594	8.7214	LOC220594	8.5066
LOC220729	95.7381	LOC220729	185.5703
LOC220930	65.3552	LOC220930	84.8488
LOC221442	24.0889	LOC221442	101.7643
LOC221710	387.2761	LOC221710	322.6213
LOC222699	5.8678	LOC222699	27.0951
LOC253039	509.265	LOC253039	635.7908
LOC253724	7.1032	LOC253724	11.6572
LOC254559	54.0457	LOC254559	103.9698
removed	removed	LOC256880	5.356
LOC25845	403.2829	LOC25845	296.3264
LOC282997	41.6924	LOC282997	49.1493
LOC283050	51.2662	LOC283050	54.5054
LOC283070	290.9203	LOC283070	276.9376
LOC283174	133.1069	LOC283174	258.034
LOC283267	84.3113	LOC283267	299.3069
LOC283314	195.874	LOC283314	239.0265
LOC283392	25.7875	LOC283392	111.0523
LOC283663	28.4126	LOC283663	69.3132
removed	removed	LOC283731	6.3012
LOC283922	67.0167	LOC283922	95.4631
LOC284023	118.9006	LOC284023	138.9414
LOC284232	9.265	LOC284232	9.7669
removed	removed	LOC284233	14.8078
removed	removed	LOC284276	13.8626
LOC284379	8.9561	removed	removed
LOC284440	34.8981	LOC284440	124.7637
LOC284441	87.7085	LOC284441	78.1348
LOC284551	8.9561	removed	removed
LOC284578	37.6776	LOC284578	25.8349
LOC284837	172.0198	LOC284837	62.6969
LOC284900	246.3249	LOC284900	188.765
LOC285033	44.8548	LOC285033	54.1462
LOC285074	162.446	LOC285074	252.678
LOC285359	54.9722	LOC285359	64.2722
LOC285419	72.5757	LOC285419	8.1916
removed	removed	LOC285593	8.5066
LOC285629	58.0605	removed	removed
LOC285830	11.3125	LOC285830	85.92
LOC285954	10.5003	removed	removed
LOC286002	12.971	LOC286002	34.0265
LOC286367	12.3533	LOC286367	146.1878
removed	removed	LOC286467	12.6024
removed	removed	LOC338651	7.615
LOC338758	20.383	LOC338758	49.7795
LOC338799	177.2699	LOC338799	335.8538
LOC339047	575.664	LOC339047	697.8576
LOC339290	501.4021	LOC339290	639.2565
LOC339524	30.5775	LOC339524	448.9603
removed	removed	LOC339535	6.3012
LOC339674	8.0296	removed	removed
LOC341056	7.1032	LOC341056	7.2464
LOC344595	107.7826	LOC344595	218.3365
LOC344967	8.0296	removed	removed
LOC348926	86.4731	LOC348926	69.6282
LOC349114	113.9592	LOC349114	109.3258
LOC349196	5.559	LOC349196	21.0555
LOC374443	134.9599	LOC374443	135.4757
LOC375190	31.1921	LOC375190	72.7788
LOC387646	78.4435	LOC387646	55.4505
LOC387647	406.4299	LOC387647	593.7744
LOC388152	479.617	LOC388152	173.598
LOC388242	64.2372	LOC388242	13.2325
LOC388588	5.2502	LOC388588	11.3422
LOC388692	181.2847	LOC388692	590.4222
LOC388789	469.7344	LOC388789	461.8778
LOC388796	498.147	LOC388796	201.6383
LOC388955	447.1896	LOC388955	258.9792
removed	removed	LOC389033	16.0681
LOC389333	12.3533	LOC389333	77.1897
LOC389493	339.7159	LOC389493	34.6566
LOC389634	15.1328	removed	removed
LOC389705	23.1624	LOC389705	10.0819
LOC389791	9.8826	LOC389791	8.1916
LOC390595	12.3533	LOC390595	15.4379
LOC391322	11.7356	LOC391322	8.5066
LOC399744	104.0766	LOC399744	102.7095
LOC399815	32.1186	LOC399815	5.356
LOC399959	53.1192	LOC399959	1018.5885
LOC400027	206.9179	LOC400027	309.3888
LOC400043	48.1779	LOC400043	247.0069
LOC400657	180.0494	LOC400657	214.8708
removed	removed	LOC400696	5.356
LOC400752	42.9277	LOC400752	23.6295
LOC400759	229.4626	LOC400759	51.0397
LOC400927	19.7653	LOC400927	59.1682
LOC400931	28.4126	LOC400931	200.6931
LOC401010	62.3842	LOC401010	24.2596
LOC401052	35.8246	LOC401052	121.298
LOC401093	15.3675	LOC401093	176.6163
LOC401127	8.3385	LOC401127	6.9313
LOC401397	990.1174	LOC401397	615.3119
LOC401431	18.5361	LOC401431	40.5041
removed	removed	LOC401463	15.1229
LOC401588	37.6776	LOC401588	54.8204
LOC402377	13.5886	LOC402377	9.4518
LOC407835	41.6924	LOC407835	48.5192
LOC440173	255.0957	LOC440173	6.6163
LOC440354	206.084	LOC440354	178.6957
removed	removed	LOC440461	6.6163
LOC440905	157.1958	LOC440905	92.9427
LOC440925	9.8826	LOC440925	14.1777
LOC440944	192.0939	LOC440944	300.5671
LOC440957	88.635	LOC440957	92.3125
LOC441046	6.4855	LOC441046	10.0819
LOC441089	110.8709	LOC441089	99.874
removed	removed	LOC441204	29.3006
LOC441208	15.4416	LOC441208	52.615
LOC441294	71.3403	LOC441294	91.6824
removed	removed	LOC441454	9.1367
LOC441455	17.2946	LOC441455	10.397
removed	removed	LOC441666	54.8204
LOC441869	1977.7641	LOC441869	397.9206
LOC442308	6.4855	removed	removed
removed	removed	LOC442421	23.6295
LOC442454	142.9895	LOC442454	113.4216
LOC493754	495.9852	LOC493754	462.8229
LOC541471	230.698	LOC541471	162.2558
LOC550112	145.769	LOC550112	226.5217
LOC550643	151.6368	LOC550643	265.2804
removed	removed	LOC554202	49.7795
removed	removed	LOC55908	26.2161
removed	removed	LOC572558	9.7669
LOC595101	78.4435	LOC595101	97.9269
LOC606724	46.9426	LOC606724	28.0403
removed	removed	LOC613037	24.2596
LOC619207	13.8975	LOC619207	29.3006
LOC641298	27.1186	LOC641298	155.942
removed	removed	LOC641367	10.0819
LOC642587	3054.9722	LOC642587	834.9086
LOC642826	43.3107	LOC642826	89.5841
LOC642846	308.2149	LOC642846	137.3661
LOC642852	165.8431	LOC642852	396.6604
LOC643008	72.8845	LOC643008	7.2464
LOC643387	35.5158	LOC643387	32.1361
removed	removed	LOC643719	12.6024
removed	removed	LOC643763	11.0271
LOC643837	138.6658	LOC643837	160.6805
removed	removed	LOC644165	6.5879
removed	removed	LOC644172	6.6163
LOC644538	21.3095	LOC644538	152.489
LOC644936	22.8536	LOC644936	20.1638
LOC645166	13.5886	LOC645166	97.0384
LOC645323	36.7511	removed	removed
LOC645332	133.7245	LOC645332	99.5589
LOC645431	11.0686	LOC645431	17.741
LOC645676	51.0624	LOC645676	25.0914
LOC646214	139.2835	LOC646214	157.5299
LOC646471	97.8289	LOC646471	107.5425
LOC646762	152.8721	LOC646762	268.1159
LOC646851	92.341	LOC646851	123.5035
LOC646999	44.7807	LOC646999	18.5885
LOC647121	38.2952	LOC647121	40.0126
LOC647288	9.265	LOC647288	9.1367
removed	removed	LOC647309	5.9861
LOC647946	48.1779	LOC647946	10.397
LOC647979	9700.7412	LOC647979	12751.1027
LOC648740	6.7943	LOC648740	28.4688
LOC649330	15.1328	LOC649330	13.2325
LOC650368	17.9123	LOC650368	88.2168
LOC650623	6.7943	LOC650623	53.2451
LOC651250	773.008	LOC651250	1953.6862
LOC652276	42.6189	LOC652276	44.4234
LOC653113	10.8091	LOC653113	39.0674
LOC653501	170.4756	LOC653501	232.1991
LOC653566	1665.5343	LOC653566	1319.7858
LOC653653	37.3687	LOC653653	125.3938
LOC654342	28.4126	LOC654342	432.5772
LOC654433	8.6875	LOC654433	10.397
LOC678655	840.2131	LOC678655	374.3856
LOC723972	10.8091	LOC723972	7.2464
LOC727896	27.4861	LOC727896	28.6704
LOC728024	18.53	LOC728024	24.5747
LOC728190	170.7844	LOC728190	198.4877
LOC728264	69.4873	LOC728264	1872.0857
LOC728323	34.8981	LOC728323	37.4921
LOC728392	50.0309	LOC728392	137.051
LOC728554	610.2532	LOC728554	207.9395
removed	removed	LOC728606	36.2319
LOC728613	72.5757	LOC728613	149.9685
LOC728640	39.5306	LOC728640	38.4373
LOC728643	127.8567	LOC728643	55.7656
removed	removed	LOC728723	16.3831
LOC728743	144.2248	LOC728743	175.4883
LOC728758	84.6201	LOC728758	40.0126
removed	removed	LOC728819	25.8349
LOC728855	161.6708	LOC728855	240.7057
LOC728875	63.1594	LOC728875	45.3686
LOC728989	8.3385	LOC728989	10.0819
LOC729020	29.9568	LOC729020	24.2596
LOC729082	938.1655	LOC729082	471.1815
LOC729176	46.3249	LOC729176	29.9307
LOC729234	27.4861	LOC729234	89.477
LOC729375	42.4274	LOC729375	45.9956
LOC729603	28.1038	LOC729603	48.8343
LOC729678	462.2082	LOC729678	489.748
LOC729799	11.118	LOC729799	24.5747
LOC729991-MEF2B	19.0735	LOC729991-MEF2B	39.6944
LOC729991	226.6553	LOC729991	144.4077
LOC730101	50.3397	LOC730101	149.0233
removed	removed	LOC730668	5.9861
LOC80054	121.0624	LOC80054	143.3522
LOC80154	2216.1828	LOC80154	328.2924
LOC81691	115.1946	LOC81691	78.765
LOC84740	466.0933	LOC84740	7.5961
LOC84856	75.0463	LOC84856	65.5325
LOC84989	7.3502	LOC84989	9.4518
LOC90110	177.5788	LOC90110	268.7461
removed	removed	LOC90246	40.0126
removed	removed	LOC90586	9.1367
LOC90784	224.5213	LOC90784	306.2382
LOC90834	12.3533	LOC90834	34.0265
LOC91316	357.6436	LOC91316	568.4247
LOC92249	386.0408	LOC92249	662.2558
LOC92659	58.987	LOC92659	44.4234
LOC92973	7.7208	LOC92973	138.9414
removed	removed	LOC93432	36.2319
LOC93622	494.7498	LOC93622	287.9647
LOC96610	48132.7579	LOC96610	13189.3667
LOH12CR1	157.5046	LOH12CR1	115.942
LOH12CR2	14.824	LOH12CR2	30.8759
LOH3CR2A	38.2952	LOH3CR2A	59.2313
LONP1	972.8227	LONP1	1043.1632
LONP2	1799.5676	LONP2	1820.4159
LONRF1	226.6831	LONRF1	490.5482
LONRF2	37.0599	LONRF2	432.8922
LONRF3	33.0451	LONRF3	87.2716
removed	removed	LOXHD1	10.397
LOXL1	161.5195	LOXL1	368.62
LOXL2	568.4497	LOXL2	999.2722
LOXL3	115.1699	LOXL3	112.6244
LOXL4	36.4422	LOXL4	376.8116
LOX	298.0235	LOX	1278.1979
removed	removed	LPAL2	9.7669
LPAR1	254.4781	LPAR1	659.4203
LPAR2	344.0395	LPAR2	211.4052
LPAR3	319.6418	LPAR3	33.0813
removed	removed	LPAR4	19.5337
LPAR5	244.2866	LPAR5	77.1897
LPAR6	958.6164	LPAR6	1422.4953
LPCAT1	1490.4262	LPCAT1	1075.6144
LPCAT2	1636.504	LPCAT2	1735.3497
LPCAT3	2116.1211	LPCAT3	1281.3485
LPCAT4	488.5732	LPCAT4	573.724
LPGAT1	1141.7542	LPGAT1	2308.1285
LPHN1	171.0933	LPHN1	997.3913
LPHN2	1618.2829	LPHN2	1895.0851
LPHN3	103.4589	LPHN3	310.9641
LPIN1	652.8721	LPIN1	1198.4877
LPIN2	702.2854	LPIN2	1209.5148
LPIN3	412.693	LPIN3	402.0951
LPL	343.4219	LPL	10828.2924
LPO	7.412	LPO	12.6024
removed	removed	LPPR1	40.6427
LPPR2	381.7171	LPPR2	479.206
removed	removed	LPPR3	25.5198
LPPR4	29.9568	LPPR4	263.39
LPP	251.0809	LPP	1330.4978
LPXN	774.5522	LPXN	430.0567
LQK1	103.4589	LQK1	26.15
LRAT	480.8524	LRAT	79.08
LRBA	1544.7807	LRBA	2499.6849
LRCH1	365.9666	LRCH1	1127.9143
LRCH2	10.5003	LRCH2	128.2294
LRCH3	240.5806	LRCH3	477.0006
LRCH4	749.2279	LRCH4	627.5992
LRDD	226.0655	LRDD	205.419
LRFN1	100.9883	LRFN1	71.8336
LRFN2	8.3385	removed	removed
LRFN3	190.2409	LRFN3	184.6251
LRFN4	121.0624	LRFN4	166.3516
removed	removed	LRFN5	84.121
LRG1	498.4558	LRG1	196.5974
LRGUK	10.8091	LRGUK	6.9313
LRIG1	3039.3237	LRIG1	4229.0013
