gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
ADAP1	229.9345	ADAP1	26.8789
ADAP2	180.9905	ADAP2	145.3708
ADARB1	310.2695	ADARB1	485.5467
ADAR	8731.6096	ADAR	5343.9464
ADAT1	184.6322	ADAT1	131.1269
ADAT2	49.1624	ADAT2	175.1152
ADAT3	60.8157	ADAT3	7.1219
ADA	73.9257	ADA	113.1127
ADCK1	143.8456	ADCK1	152.0737
ADCK2	1209.3955	ADCK2	300.796
ADCK4	534.5958	ADCK4	174.6963
ADCK5	187.5455	ADCK5	10.8923
ADCY10	41.8791	removed	removed
ADCY1	4344.8653	ADCY1	243.4018
ADCY2	15.6591	ADCY2	49.8534
ADCY3	539.6322	ADCY3	546.548
ADCY4	67.0066	ADCY4	265.1864
ADCY5	456.3001	ADCY5	73.3138
ADCY6	1210.8521	ADCY6	680.3519
ADCY7	478.15	ADCY7	295.7687
ADCY9	1654.4064	ADCY9	557.1848
ADCYAP1	27.3125	ADCYAP1	5.4462
ADC	148.5798	ADC	49.4344
ADD1	4524.035	ADD1	3526.1835
ADD2	5.4625	ADD2	19.69
ADD3	292.0612	ADD3	3343.1085
removed	removed	ADH1A	74.4198
ADH1B	198.1063	ADH1B	30369.9204
ADH1C	6.9192	ADH1C	445.3289
removed	removed	ADH4	67.4487
ADH5	2512.7458	ADH5	4305.8232
ADHFE1	211.5805	ADHFE1	283.6196
ADI1	439.9126	ADI1	1995.8106
ADIPOQ	58.9949	ADIPOQ	12055.2995
ADIPOR1	3292.4253	ADIPOR1	3560.1173
ADIPOR2	3813.9111	ADIPOR2	2029.7444
ADK	718.4996	ADK	740.2597
ADM2	167.1522	ADM2	20.9468
ADM	36.0524	ADM	674.4868
ADNP2	838.3103	ADNP2	794.7214
ADNP	2837.2178	ADNP	3056.5563
ADORA1	307.3562	ADORA1	122.7482
ADORA2A	55.7174	ADORA2A	10.4734
ADORA2B	9.1042	ADORA2B	189.359
ADORA3	126.3656	ADORA3	236.2798
ADO	885.2877	ADO	1655.6347
ADPGK	801.5113	ADPGK	900.2933
ADPRHL1	211.9446	ADPRHL1	46.5019
ADPRHL2	834.6686	ADPRHL2	173.4395
ADPRH	135.8339	ADPRH	563.4688
ADRA1B	15.295	removed	removed
ADRA1D	6.555	ADRA1D	5.0272
ADRA2A	439.1843	ADRA2A	1620.0251
ADRA2B	8.74	ADRA2B	25.974
ADRA2C	35.6883	ADRA2C	52.367
ADRB1	19.665	ADRB1	49.8534
ADRB2	30.2258	ADRB2	846.2505
ADRBK1	1221.0488	ADRBK1	452.0318
ADRBK2	574.2899	ADRBK2	1333.473
ADRM1	1247.2688	ADRM1	215.752
ADSL	790.2403	ADSL	724.7591
ADSSL1	156.5914	ADSSL1	69.1244
ADSS	2077.9315	ADSS	2507.3314
AEBP1	4151.8572	AEBP1	1463.3431
AEBP2	585.9432	AEBP2	1631.7553
AEN	281.8645	AEN	238.3745
AES	6707.2105	AES	4938.4164
AFAP1L1	128.5506	AFAP1L1	396.3134
AFAP1L2	85.579	AFAP1L2	1089.6523
AFAP1	520.0291	AFAP1	925.8483
AFF1	1795.7028	AFF1	2875.1571
AFF2	8.74	AFF2	8.3787
AFF3	5559.7232	AFF3	1175.1152
AFF4	2979.6067	AFF4	3409.3004
AFG3L1	89.5849	AFG3L1	86.7197
AFG3L2	1914.7742	AFG3L2	651.0306
AFMID	752.0029	AFMID	585.2535
removed	removed	AFP	382.9074
AFTPH	2955.5717	AFTPH	2393.7997
AG2	104.5157	AG2	844.5748
AGAP11	22.5783	AGAP11	101.8014
AGAP1	690.0947	AGAP1	413.9087
AGAP2	28.0481	AGAP2	16.0662
AGAP3	609.2498	AGAP3	310.4315
AGAP4	101.6023	AGAP4	124.005
AGAP5	35.102	AGAP5	23.1797
AGAP6	40.0583	AGAP6	113.1127
removed	removed	AGAP7	16.7574
AGAP8	7.6475	AGAP8	9.2166
AGA	919.5193	AGA	815.2493
AGBL2	20.0291	AGBL2	9.6355
removed	removed	AGBL3	6.703
AGBL4	8.3758	AGBL4	5.4462
AGBL5	634.3918	AGBL5	561.814
AGER	6.9192	AGER	16.3385
AGFG1	1601.2382	AGFG1	2599.4973
AGFG2	327.0211	AGFG2	448.2614
AGGF1	1180.6264	AGGF1	1139.9246
AGK	656.9556	AGK	645.9992
AGL	1041.5149	AGL	1245.0775
AGMAT	67.3707	AGMAT	10.0545
AGPAT1	2140.1602	AGPAT1	2047.9556
AGPAT2	693.008	AGPAT2	612.9032
AGPAT3	2262.9279	AGPAT3	1053.6238
AGPAT4	38.6016	AGPAT4	121.9103
AGPAT5	481.4275	AGPAT5	1186.4265
AGPAT6	6586.3074	AGPAT6	1038.961
AGPAT9	31.3183	AGPAT9	386.2589
AGPHD1	36.0524	AGPHD1	120.6535
AGPS	514.9308	AGPS	1961.039
AGR2	37229.0605	AGR2	2566.4013
AGR3	6388.9294	AGR3	1079.5978
AGRN	2475.6009	AGRN	521.5752
AGTPBP1	258.1937	AGTPBP1	399.2459
AGTR1	231.9738	AGTR1	725.178
AGTRAP	1234.1588	AGTRAP	362.7985
AGT	73.9257	AGT	22.6225
AGXT2L2	227.9425	AGXT2L2	119.7905
AHCTF1	1380.1894	AHCTF1	1236.6988
AHCYL1	7454.1151	AHCYL1	5221.6171
AHCYL2	515.6591	AHCYL2	745.287
AHCY	3168.6089	AHCY	1332.2162
AHDC1	645.6664	AHDC1	480.5195
AHI1	282.2287	AHI1	441.1395
AHNAK2	467.9534	AHNAK2	957.6875
AHNAK	31009.1042	AHNAK	26660.243
AHRR	7.2833	AHRR	9.6355
AHR	914.421	AHR	3718.0561
AHSA1	2191.1872	AHSA1	731.0432
AHSA2	210.8521	AHSA2	188.1022
AIDA	1074.2972	AIDA	3649.7696
AIF1L	182.8114	AIF1L	1144.9518
AIF1	282.5929	AIF1	277.3356
AIFM1	1213.7655	AIFM1	269.3758
AIFM2	362.7094	AIFM2	275.2409
AIFM3	6.1908	removed	removed
AIG1	2316.0961	AIG1	1578.1315
AIM1	1426.0743	AIM1	5797.235
AIM2	9.4683	removed	removed
AIMP1	1990.5317	AIMP1	1684.1223
AIMP2	783.9803	AIMP2	243.0457
AIP	431.5368	AIP	229.5769
AK1	520.0291	AK1	183.075
AK2	3306.2637	AK2	3030.5823
AK3L1	26.22	AK3L1	512.3586
AK3	1013.8383	AK3	2859.2375
AK5	35.6883	AK5	3358.1902
AK7	25.4916	AK7	19.2711
AKAP10	773.8529	AKAP10	328.0268
AKAP11	1106.3365	AKAP11	2192.7105
AKAP12	184.268	AKAP12	2322.1617
AKAP13	1206.8463	AKAP13	2010.8923
AKAP1	2113.2556	AKAP1	2873.4814
AKAP2	156.6715	AKAP2	402.7817
AKAP3	31.3183	AKAP3	11.7302
AKAP5	73.1974	AKAP5	98.8689
AKAP6	14.2025	AKAP6	336.4055
AKAP7	136.1981	AKAP7	518.2237
AKAP8L	605.6082	AKAP8L	198.5756
AKAP8	522.2141	AKAP8	632.1743
AKAP9	2784.4137	AKAP9	1419.3548
AKD1	117.9898	AKD1	110.1801
AKIRIN1	1379.0969	AKIRIN1	1508.5882
AKIRIN2	690.823	AKIRIN2	1524.0888
removed	removed	AKNAD1	10.4734
AKNA	189.0022	AKNA	227.4822
AKR1A1	3876.5477	AKR1A1	1232.0905
AKR1B10	8.3758	removed	removed
AKR1B1	319.0095	AKR1B1	1038.961
AKR1C1	33.1391	AKR1C1	1084.2061
AKR1C2	25.1275	AKR1C2	1062.4214
AKR1C3	196.2855	AKR1C3	1031.0013
AKR1E2	26.22	AKR1E2	24.2983
