gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
HOXD8	55.7174	HOXD8	462.9242
HOXD9	33.5033	HOXD9	128.6133
HP1BP3	3109.614	HP1BP3	6028.4876
HPCAL1	589.2207	HPCAL1	370.7583
HPCA	5.8267	removed	removed
HPDL	41.1508	removed	removed
HPGDS	83.0299	HPGDS	132.8027
HPGD	182.083	HPGD	306.2421
HPN	1004.0058	HPN	47.7587
HPRT1	982.52	HPRT1	1213.6573
HPS1	1223.9621	HPS1	1114.3695
HPS3	981.7444	HPS3	1682.3963
HPS4	922.0685	HPS4	403.0163
HPS5	490.5317	HPS5	1396.7323
HPS6	620.9031	HPS6	232.9284
removed	removed	HPSE2	5.8651
HPSE	37.1449	HPSE	39.7989
HPX	325.5645	HPX	25.1362
HP	6.555	HP	7.5408
HRASLS2	250.1821	HRASLS2	20.9468
HRASLS5	2060.4516	HRASLS5	1292.4173
HRASLS	9.4683	HRASLS	43.1504
HRAS	302.2578	HRAS	49.4344
HRCT1	10.5608	HRCT1	59.07
HRC	6.555	HRC	10.8923
HRH1	59.7232	HRH1	183.075
HRH2	28.405	removed	removed
HRSP12	1548.0699	HRSP12	576.0369
HR	60.4516	HR	209.049
HS1BP3	711.2163	HS1BP3	120.2346
HS2ST1	892.9352	HS2ST1	1352.3251
HS3ST1	79.3882	HS3ST1	177.2099
HS3ST2	13.8383	HS3ST2	36.0285
HS3ST3A1	6.9192	HS3ST3A1	7.5408
removed	removed	HS3ST3B1	6.703
removed	removed	HS3ST4	64.0972
HS6ST1	1026.22	HS6ST1	652.7021
removed	removed	HS6ST2	38.961
HS6ST3	49.1624	HS6ST3	39.38
HSBP1L1	252.7312	HSBP1L1	119.8157
HSBP1	2814.6395	HSBP1	3868.4541
HSCB	304.807	HSCB	136.992
HSD11B1L	100.874	HSD11B1L	56.9753
HSD11B1	13.11	HSD11B1	96.3553
HSD11B2	505.4625	HSD11B2	170.5069
HSD17B10	1139.4756	HSD17B10	461.2484
HSD17B11	203.5688	HSD17B11	2281.9439
HSD17B12	2382.7385	HSD17B12	3751.1521
removed	removed	HSD17B13	229.9958
HSD17B14	30.2258	HSD17B14	30.1634
HSD17B1	59.2899	HSD17B1	19.1035
removed	removed	HSD17B2	37.2853
HSD17B4	3738.1646	HSD17B4	3016.7574
HSD17B6	38.9658	HSD17B6	32.2581
HSD17B7P2	49.1624	HSD17B7P2	29.3255
HSD17B7	469.4101	HSD17B7	245.0775
HSD17B8	528.0408	HSD17B8	130.2891
HSD3B7	1592.8623	HSD3B7	466.2757
HSDL1	705.7538	HSDL1	900.2933
HSDL2	3398.0335	HSDL2	1933.3892
HSF1	3001.0415	HSF1	579.0574
HSF2BP	45.1566	HSF2BP	15.0817
HSF2	357.9752	HSF2	755.3414
HSF4	22.3379	HSF4	23.9003
HSFX2	43.6999	HSFX2	9.6355
HSH2D	1122.3598	HSH2D	25.5551
HSP90AA1	45930.0801	HSP90AA1	30806.0327
HSP90AB1	48883.4669	HSP90AB1	18749.4763
HSP90AB2P	90.3132	HSP90AB2P	21.3657
HSP90B1	24403.496	HSP90B1	11433.1797
HSPA12A	219.228	HSPA12A	414.3276
HSPA12B	83.394	HSPA12B	68.7055
HSPA13	1151.1289	HSPA13	1242.145
HSPA14	510.1966	HSPA14	388.7725
HSPA1A	17068.5725	HSPA1A	3342.9535
HSPA1B	3223.2338	HSPA1B	3140.3435
HSPA1L	73.252	HSPA1L	85.8902
HSPA2	678.8055	HSPA2	639.2962
HSPA4L	111.4348	HSPA4L	227.4822
HSPA4	3857.2469	HSPA4	1385.421
HSPA5	26515.295	HSPA5	6705.0691
HSPA6	86.6715	HSPA6	20.1089
HSPA7	12.0175	removed	removed
HSPA8	34901.311	HSPA8	18073.7327
HSPA9	10422.7968	HSPA9	3690.4064
HSPB11	770.9395	HSPB11	701.2987
HSPB1	14851.0561	HSPB1	4957.2685
HSPB2	25.8449	HSPB2	250.9426
HSPB6	109.9782	HSPB6	10519.0616
HSPB7	12.3816	HSPB7	696.6904
HSPB8	10831.7553	HSPB8	3043.1504
HSPBAP1	74.654	HSPBAP1	180.5614
HSPBP1	609.2498	HSPBP1	242.145
HSPC157	341.9519	HSPC157	427.7336
HSPC159	192.2797	HSPC159	840.8044
HSPD1	7391.8427	HSPD1	4896.9418
HSPE1	2478.8784	HSPE1	1084.6251
HSPG2	2328.354	HSPG2	1304.424
HSPH1	5332.8478	HSPH1	1997.4864
HTATIP2	394.3918	HTATIP2	688.3117
HTATSF1	1997.4508	HTATSF1	989.5266
HTR1F	6.555	HTR1F	12.5681
removed	removed	HTR2A	106.4097
HTR2B	37.5091	HTR2B	57.8132
HTR7P1	1004.7342	HTR7P1	180.9803
HTR7	8.3758	HTR7	5.0272
HTRA1	2359.4319	HTRA1	4367.4068
HTRA2	510.0036	HTRA2	345.6933
HTRA3	709.7597	HTRA3	333.054
HTT	1701.3838	HTT	708.0017
HUNK	130.7356	HUNK	163.385
HUS1B	212.3088	removed	removed
HUS1	265.8412	HUS1	292.8362
HUWE1	5209.7597	HUWE1	4093.0038
HVCN1	52.4727	HVCN1	107.6665
HYAL1	18.5725	HYAL1	171.7637
HYAL2	1023.6708	HYAL2	441.1395
HYAL3	35.5171	HYAL3	30.5823
HYDIN	64.8216	HYDIN	41.0557
HYI	229.9454	HYI	137.0758
HYLS1	577.2032	HYLS1	441.5584
removed	removed	HYMAI	15.9196
HYOU1	5406.4093	HYOU1	1010.0545
IAH1	769.4829	IAH1	840.8044
IARS2	3300.8012	IARS2	2617.9305
IARS	2914.7851	IARS	2534.1433
IBSP	13.11	removed	removed
IBTK	2331.7553	IBTK	1843.318
ICA1L	16.3875	ICA1L	210.7248
ICA1	1194.8288	ICA1	696.6904
ICAM1	602.6948	ICAM1	491.8307
ICAM2	197.3234	ICAM2	389.6565
ICAM3	356.5186	ICAM3	72.4759
ICK	624.1806	ICK	1525.7646
ICMT	2882.7385	ICMT	1757.0172
ICOSLG	138.7473	ICOSLG	51.5291
ICOS	9.8325	ICOS	14.2438
ICT1	722.5055	ICT1	173.0205
ID1	194.1005	ID1	701.7176
removed	removed	ID2B	12.1491
ID2	826.657	ID2	3707.1638
ID3	371.0852	ID3	788.4374
ID4	93.9548	ID4	8145.7897
IDE	978.15	IDE	342.2706
IDH1	5851.4202	IDH1	4234.6041
IDH2	1990.5317	IDH2	557.1848
IDH3A	974.5084	IDH3A	1383.3264
IDH3B	894.756	IDH3B	484.2899
IDH3G	783.6854	IDH3G	496.0201
IDI1	1335.0073	IDI1	1188.0687
IDI2	64.8216	IDI2	86.7197
IDO1	37.1449	IDO1	49.0155
IDS	2043.9585	IDS	5413.7243
IDUA	133.5725	IDUA	42.7315
IER2	1709.7597	IER2	5651.0264
IER3IP1	3460.3059	IER3IP1	2906.5773
IER3	5439.9126	IER3	2896.5228
IER5L	195.193	IER5L	134.8974
IER5	313.1828	IER5	796.3972
IFFO1	47.3416	IFFO1	55.7185
IFFO2	317.917	IFFO2	1136.992
IFI16	977.7859	IFI16	3462.5052
IFI27L1	128.9148	IFI27L1	21.7847
IFI27L2	53.8966	IFI27L2	142.0193
IFI27	2406.4093	IFI27	1036.0285
IFI30	2259.9308	IFI30	554.956
IFI35	1682.8114	IFI35	222.8739
IFI44L	1121.9956	IFI44L	547.5492
IFI44	852.5127	IFI44	381.6506
IFI6	10713.0371	IFI6	1143.2761
IFIH1	1160.9614	IFIH1	579.3884
IFIT1	4701.0197	IFIT1	769.1663
IFIT2	1638.0189	IFIT2	351.0683
IFIT3	2301.5295	IFIT3	645.5802
IFIT5	896.5768	IFIT5	1072.8948
IFITM1	18246.5404	IFITM1	5555.0901
IFITM2	6825.9286	IFITM2	6081.6925
IFITM3	12506.555	IFITM3	11278.1734
IFNAR1	2028.0408	IFNAR1	2725.597
IFNAR2	226.8026	IFNAR2	592.0193
IFNGR1	1584.1224	IFNGR1	4641.3909
IFNGR2	1862.7094	IFNGR2	2949.7277
removed	removed	IFNG	6.284
IFRD1	235.2513	IFRD1	1642.6477
IFRD2	849.2353	IFRD2	340.6242
IFT122	902.0393	IFT122	343.1085
IFT140	1894.0277	IFT140	80.8546
IFT172	452.6584	IFT172	205.6975
IFT20	581.2163	IFT20	354.8764
IFT27	540.4224	IFT27	133.6406
IFT46	1774.5812	IFT46	953.9171
IFT52	697.378	IFT52	1150.398
IFT57	561.5441	IFT57	914.5371
IFT74	595.0473	IFT74	430.2472
IFT80	306.9046	IFT80	562.7734
IFT81	285.5062	IFT81	294.5119
IFT88	538.2374	IFT88	296.1877
IGBP1	1621.9956	IGBP1	1968.9987
IGDCC3	194.4647	IGDCC3	8.7977
IGDCC4	53.1682	IGDCC4	51.5291
IGF1R	5092.8623	IGF1R	3439.8827
IGF1	266.2054	IGF1	1322.1617
IGF2BP1	7.2833	removed	removed
IGF2BP2	8.3758	IGF2BP2	258.4835
IGF2BP3	7.6475	IGF2BP3	20.1089
IGF2R	1659.8689	IGF2R	1095.5174
IGF2	894.4428	IGF2	3845.2744
IGFALS	91.4057	removed	removed
IGFBP1	22.5783	IGFBP1	6.703
IGFBP2	2813.1828	IGFBP2	719.3129
IGFBP3	1887.8369	IGFBP3	6264.7675
IGFBP4	50696.6497	IGFBP4	9790.951
IGFBP5	2627.094	IGFBP5	9312.5262
IGFBP6	287.327	IGFBP6	529.535
IGFBP7	3118.354	IGFBP7	8758.2698
removed	removed	IGFL1	11.3113
IGFL2	15.6591	removed	removed
IGHMBP2	218.8638	IGHMBP2	133.6406
IGJ	1421.7043	IGJ	17549.6439
IGSF10	12.3816	IGSF10	289.0658
removed	removed	IGSF11	13.8249
IGSF1	100.1457	IGSF1	139.5057
IGSF21	34.2316	IGSF21	130.2891
IGSF22	20.9468	IGSF22	13.7411
IGSF3	844.5011	IGSF3	758.6929
IGSF6	52.4399	IGSF6	59.07
IGSF8	1009.1042	IGSF8	683.2845
IGSF9B	12.3816	IGSF9B	5.8651
IGSF9	303.7145	IGSF9	98.8689
IKBIP	264.7487	IKBIP	516.9669
IKBKAP	1013.8383	IKBKAP	1020.1089
IKBKB	2751.2746	IKBKB	1021.3657
IKBKE	176.6205	IKBKE	80.4357
IKBKG	254.5521	IKBKG	115.2074
IKZF1	140.9323	IKZF1	345.6221
IKZF2	124.5448	IKZF2	439.4638
IKZF4	176.2564	IKZF4	291.5794
IKZF5	834.6686	IKZF5	1606.6192
IK	2004.37	IK	926.2673
IL10RA	212.3088	IL10RA	246.7532
IL10RB	531.89	IL10RB	670.8965
IL10	10.5608	IL10	16.3385
IL11RA	50.9832	IL11RA	239.2124
removed	removed	IL11	5.0272
removed	removed	IL12A	29.7444
IL12RB1	12.7458	IL12RB1	14.2438
removed	removed	IL12RB2	7.9598
IL13RA1	6708.6672	IL13RA1	4711.7721
removed	removed	IL13RA2	5.0272
IL15RA	84.4865	IL15RA	186.0075
IL15	21.4858	IL15	177.2099
IL16	164.2389	IL16	194.8052
removed	removed	IL17B	36.0285
removed	removed	IL17D	38.1357
IL17RA	220.3205	IL17RA	123.1672
IL17RB	243.2629	IL17RB	460.4106
IL17RC	1051.3474	IL17RC	342.6896
IL17RD	195.9213	IL17RD	1299.9581
IL17RE	629.6431	IL17RE	335.5677
IL18BP	163.2593	IL18BP	437.499
IL18R1	19.3008	IL18R1	56.1374
removed	removed	IL18RAP	9.2166
IL18	64.4574	IL18	119.3967
removed	removed	IL1A	25.1362
IL1B	42.6074	IL1B	602.8488
IL1R1	2280.0437	IL1R1	3235.023
removed	removed	IL1RAPL2	13.4059
IL1RAP	101.6023	IL1RAP	547.9682
IL1RL1	17.48	IL1RL1	7.9598
IL1RL2	68.8274	IL1RL2	25.974
IL1RN	371.0852	IL1RN	155.8442
IL20RA	149.6723	IL20RA	1413.0708
removed	removed	IL20RB	9.2166
removed	removed	IL20	36.4474
IL21R	7.2833	removed	removed
IL22RA1	14.5666	IL22RA1	82.9493
removed	removed	IL22RA2	31.8391
IL23A	6.9192	removed	removed
IL24	5.8558	removed	removed
IL27RA	218.4996	IL27RA	185.5886
IL28RA	87.764	IL28RA	197.3188
IL2RA	9.1042	removed	removed
IL2RB	82.6657	IL2RB	171.3448
IL2RG	164.2389	IL2RG	333.054
IL32	406.0452	IL32	202.346
IL33	124.5448	IL33	4908.253
IL34	38.9658	IL34	191.4537
IL3RA	81.9374	IL3RA	175.5341
IL4I1	64.7269	IL4I1	7.7336
IL4R	484.705	IL4R	610.8085
removed	removed	IL5RA	6.703
IL6R	37.1449	IL6R	193.1295
IL6ST	1477.7859	IL6ST	538.7516
IL6	17.1158	IL6	331.3783
IL7R	13.8383	IL7R	7.5408
removed	removed	IL7	111.8559
IL8	7.6475	IL8	52.367
ILDR1	777.4945	ILDR1	134.4784
ILF2	4455.2076	ILF2	3238.7935
ILF3	3061.5441	ILF3	3083.7872
ILKAP	344.5011	ILKAP	215.3331
ILK	1842.6803	ILK	1753.6657
ILVBL	1206.118	ILVBL	262.6728
IMMP1L	83.6453	IMMP1L	201.0767
IMMP2L	179.1697	IMMP2L	310.0126
IMMT	2509.1042	IMMT	1496.858
IMP3	1827.3853	IMP3	1167.5744
IMP4	482.1559	IMP4	225.3875
IMPA1	647.4873	IMPA1	627.566
IMPA2	248.7254	IMPA2	435.2744
IMPACT	2237.8004	IMPACT	1676.5815
IMPAD1	8990.1675	IMPAD1	3907.8341
IMPDH1	882.3744	IMPDH1	341.8517
IMPDH2	3907.5018	IMPDH2	2819.4386
IMPG1	9.1042	removed	removed
INADL	3613.2556	INADL	1701.7176
INCA1	19.3008	INCA1	12.5681
INCENP	226.1471	INCENP	54.8806
removed	removed	INE1	7.9598
INF2	965.7684	INF2	369.0825
ING1	446.7189	ING1	605.0147
ING2	296.7953	ING2	140.7625
ING3	164.2389	ING3	532.4675
ING4	785.8704	ING4	465.8567
ING5	236.7079	ING5	241.3071
INHA	5.8267	removed	removed
INHBA	70.284	INHBA	7.5408
INHBB	364.8944	INHBB	2114.3695
INMT	36.4166	INMT	413.4897
INO80B	187.3816	INO80B	105.0691
INO80C	252.3671	INO80C	286.1332
INO80D	475.8194	INO80D	737.2225
INO80E	1285.9213	INO80E	334.403
INO80	664.6031	INO80	512.3586
INPP1	69.5557	INPP1	295.3498
INPP4A	375.4552	INPP4A	451.194
INPP4B	1566.2782	INPP4B	405.111
INPP5A	462.1267	INPP5A	894.0092
INPP5B	237.0721	INPP5B	587.7671
INPP5D	158.7764	INPP5D	188.1022
INPP5E	173.7072	INPP5E	154.5873
INPP5F	324.1078	INPP5F	516.548
INPP5J	617.2615	INPP5J	191.4537
INPP5K	715.2221	INPP5K	759.5308
INPPL1	977.4217	INPPL1	512.3586
removed	removed	INSC	15.9196
INSIG1	1745.0838	INSIG1	1303.3096
INSIG2	896.2127	INSIG2	1053.2049
INSR	1585.2149	INSR	1975.7017
INTS10	531.3183	INTS10	1252.1994
INTS12	741.8063	INTS12	842.899
INTS1	1402.0393	INTS1	354.4198
INTS2	485.4334	INTS2	418.9359
INTS3	1287.6912	INTS3	820.2765
INTS4L1	13.11	INTS4L1	21.7847
INTS4L2	7.6475	removed	removed
INTS4	639.4756	INTS4	462.0863
INTS5	854.3336	INTS5	324.6753
INTS6	782.5929	INTS6	1137.411
INTS7	633.2848	INTS7	336.4055
INTS8	1622.5382	INTS8	967.4864
INTS9	259.2862	INTS9	190.6158
INTU	76.4749	INTU	150.8169
INVS	134.0131	INVS	96.3553
IP6K1	1443.1901	IP6K1	711.7721
IP6K2	1307.7203	IP6K2	1271.8894
IPCEF1	12.0175	IPCEF1	57.8132
IPMK	34.2316	IPMK	11.7302
IPO11	425.681	IPO11	984.2815
IPO13	1423.161	IPO13	390.4483
IPO4	1322.0066	IPO4	413.695
IPO5	2992.7167	IPO5	4466.2757
IPO7	5566.6424	IPO7	4705.0691
IPO8	1354.6977	IPO8	2097.6121
IPO9	1273.1245	IPO9	1273.1462
IPPK	687.8696	IPPK	282.1324
IPP	405.681	IPP	189.359
IPW	127.8004	IPW	696.1207
IQCA1	296.067	IQCA1	134.0595
IQCB1	340.1311	IQCB1	668.6217
IQCC	100.1457	IQCC	25.1362
IQCD	61.5441	IQCD	13.4059
IQCE	655.4989	IQCE	340.5949
IQCG	374.7269	IQCG	230.8337
IQCH	110.4989	IQCH	69.9623
IQCK	1583.394	IQCK	1036.8664
IQGAP1	8135.1056	IQGAP1	10738.1651
IQGAP2	192.2797	IQGAP2	1460.8295
IQGAP3	160.9614	IQGAP3	22.6225
IQSEC1	1757.1012	IQSEC1	1312.1072
IQSEC2	415.8776	IQSEC2	253.0373
removed	removed	IQSEC3	26.8119
IQUB	31.6824	IQUB	21.7847
IRAK1BP1	31.8354	IRAK1BP1	69.3423
IRAK1	1832.4836	IRAK1	487.2225
IRAK2	122.724	IRAK2	117.3021
IRAK3	637.6548	IRAK3	624.6334
IRAK4	541.8791	IRAK4	572.2664
IREB2	1218.8638	IREB2	1822.3712
IRF1	689.9854	IRF1	381.1646
IRF2BP1	545.1566	IRF2BP1	183.9129
IRF2BP2	4281.8645	IRF2BP2	9049.8534
IRF2	927.531	IRF2	1447.0046
IRF3	456.7261	IRF3	220.62
IRF4	20.3933	IRF4	65.354
IRF5	239.6213	IRF5	118.9778
IRF6	627.094	IRF6	1118.5589
IRF7	1045.1566	IRF7	69.9623
IRF8	97.9607	IRF8	241.3071
IRF9	2369.2425	IRF9	905.7394
IRGQ	504.0058	IRGQ	517.8048
IRS1	736.3438	IRS1	2754.5036
IRS2	383.831	IRS2	3999.1621
removed	removed	IRS4	5.0272
IRX1	45.8849	IRX1	252.1994
IRX2	64.4574	IRX2	3400.9217
IRX3	2389.6577	IRX3	2514.4533
removed	removed	IRX4	74.9895
IRX5	4572.8332	IRX5	1682.4466
removed	removed	IRX6	49.0155
ISCA1P1	64.4574	ISCA1P1	70.3812
ISCA1	947.5601	ISCA1	2407.6246
ISCA2	596.1398	ISCA2	531.6297
ISCU	1591.7698	ISCU	3022.6225
ISG15	2813.9111	ISG15	30.1634
ISG20L2	778.587	ISG20L2	455.8023
ISG20	189.0022	ISG20	67.4487
ISLR2	11.6533	ISLR2	12.5681
ISLR	1186.453	ISLR	2680.7708
ISM1	105.9723	ISM1	1089.6523
ISOC1	1081.5732	ISOC1	1517.8048
ISOC2	851.0561	ISOC2	196.8999
ISPD	24.7633	ISPD	149.5601
ISY1	478.161	ISY1	287.809
ISYNA1	1551.3474	ISYNA1	205.6975
ITCH	1399.4902	ITCH	1672.3921
ITFG1	4963.5834	ITFG1	1936.3217
ITFG2	289.512	ITFG2	439.0448
ITFG3	4655.4552	ITFG3	596.1458
ITGA10	16.3875	ITGA10	74.9895
ITGA11	307.7203	ITGA11	119.8157
ITGA1	205.7538	ITGA1	595.7269
ITGA2	947.9243	ITGA2	1359.447
ITGA3	1802.9862	ITGA3	986.1751
ITGA4	183.252	ITGA4	137.1806
ITGA5	1036.4166	ITGA5	943.0247
ITGA6	717.043	ITGA6	5237.1177
ITGA7	41.8791	ITGA7	544.6167
ITGA8	7.6475	removed	removed
ITGA9	43.6999	ITGA9	139.9246
ITGAE	120.9031	ITGAE	327.1889
ITGAL	1047.7058	ITGAL	150.8169
ITGAM	143.8456	ITGAM	86.3008
ITGAV	2789.512	ITGAV	3312.9451
ITGAX	163.5106	ITGAX	47.3398
ITGB1BP1	598.689	ITGB1BP1	1788.8563
ITGB1	10472.6875	ITGB1	21101.8014
ITGB2	499.6358	ITGB2	139.0867
ITGB3BP	285.8704	ITGB3BP	474.6544
ITGB3	49.8908	ITGB3	186.0494
ITGB4	1296.067	ITGB4	1988.2698
ITGB5	2344.1369	ITGB5	1488.4793
ITGB6	340.8594	ITGB6	4149.9791
ITGB7	166.7881	removed	removed
ITGB8	225.783	ITGB8	3333.473
ITGBL1	326.2928	ITGBL1	570.5907
removed	removed	ITIH2	204.4407
removed	removed	ITIH3	18.4332
ITIH4	18.9366	ITIH4	14.6628
ITIH5L	67.3707	ITIH5L	54.4617
ITIH5	64.0932	ITIH5	1849.602
ITK	18.5725	ITK	59.9078
ITM2A	158.0481	ITM2A	3536.238
ITM2B	14947.9243	ITM2B	41493.9254
ITM2C	162.4181	ITM2C	599.0783
ITPA	613.984	ITPA	160.8714
ITPK1	2695.9213	ITPK1	763.3012
ITPKA	14.9308	removed	removed
ITPKB	658.0481	ITPKB	1103.4772
ITPKC	857.2469	ITPKC	319.2292
ITPR1	2571.0124	ITPR1	3937.1596
ITPR2	711.2163	ITPR2	1798.0729
ITPR3	951.1763	ITPR3	357.3691
ITPRIPL1	8.3758	ITPRIPL1	167.5744
ITPRIPL2	7922.7968	ITPRIPL2	2315.0398
ITPRIP	159.1406	ITPRIP	494.3444
ITSN1	477.4217	ITSN1	1385.84
ITSN2	809.5412	ITSN2	1155.8442
IVD	2849.5994	IVD	795.1403
IVNS1ABP	974.1442	IVNS1ABP	1925.4294
IWS1	1015.295	IWS1	411.814
IYD	31.6824	removed	removed
JAG1	1348.8711	JAG1	2679.933
JAG2	461.3984	JAG2	483.871
JAGN1	1353.2411	JAGN1	1465.8567
JAK1	5215.9505	JAK1	7576.4558
JAK2	271.3037	JAK2	572.2664
JAK3	56.8099	JAK3	192.7105
JAKMIP2	9.8325	JAKMIP2	6.5522
JAKMIP3	23.6708	JAKMIP3	33.9338
JAM2	115.4406	JAM2	625.8902
JAM3	265.8412	JAM3	987.8509
JARID2	846.6861	JARID2	413.9087
JAZF1	144.5739	JAZF1	1230.8337
JDP2	214.858	JDP2	240.8881
JHDM1D	527.3125	JHDM1D	870.5488
JKAMP	1666.4239	JKAMP	2274.403
JMJD1C	994.6723	JMJD1C	2121.3448
JMJD4	579.9126	JMJD4	161.4747
JMJD5	126.0015	JMJD5	33.9338
JMJD6	321.1945	JMJD6	271.4705
JMJD7-PLA2G4B	448.6526	JMJD7-PLA2G4B	156.682
JMJD8	3528.1646	JMJD8	694.1558
JMY	382.7385	JMY	1063.2593
JOSD1	1096.504	JOSD1	1317.1345
JOSD2	225.0546	JOSD2	43.1504
JPH1	437.7276	JPH1	123.1672
JPH2	15.6591	JPH2	466.6946
removed	removed	JPH3	8.3787
JPH4	8.74	JPH4	9.2166
JRKL	361.6169	JRKL	591.1186
JRK	178.4414	JRK	149.9791
JTB	2898.354	JTB	2132.3837
JUB	478.5142	JUB	741.0976
JUNB	1858.7036	JUNB	7659.4051
JUND	1881.2819	JUND	10742.7734
JUN	1788.0554	JUN	15568.0771
JUP	19092.8623	JUP	4291.5794
KAL1	468.6817	KAL1	484.7088
KALRN	546.6133	KALRN	266.4432
KANK1	640.5681	KANK1	2571.4286
KANK2	662.7822	KANK2	1269.7947
KANK3	37.5091	KANK3	112.2748
KANK4	56.8099	KANK4	177.6288
KARS	1912.236	KARS	3058.651
KAT2A	1040.7866	KAT2A	272.7273
KAT2B	76.839	KAT2B	1001.6757
KAT5	1114.1806	KAT5	704.6502
KATNA1	329.5703	KATNA1	300.377
KATNAL1	355.4261	KATNAL1	948.0519
KATNAL2	88.4924	KATNAL2	55.7185
KATNB1	187.1814	KATNB1	106.4097
KAZALD1	18.2593	KAZALD1	63.5316
KAZ	400.1056	KAZ	892.4843
KBTBD10	21.1107	KBTBD10	98.3661
KBTBD11	32.4108	KBTBD11	366.9879
KBTBD2	1122.3598	KBTBD2	1519.4805
KBTBD3	190.823	KBTBD3	392.9619
KBTBD4	641.6387	KBTBD4	371.5543
KBTBD6	428.9876	KBTBD6	1379.5559
KBTBD7	255.2804	KBTBD7	156.682
KBTBD8	23.3066	KBTBD8	54.0427
KCMF1	1252.0029	KCMF1	1901.5501
KCNA3	8.3758	KCNA3	11.3113
removed	removed	KCNA4	10.8923
removed	removed	KCNA5	28.4876
removed	removed	KCNA6	49.0155
KCNAB1	74.654	KCNAB1	465.8567
KCNAB2	57.9024	KCNAB2	16.7574
removed	removed	KCNB1	42.7315
removed	removed	KCNC2	27.6498
KCNC3	257.4654	KCNC3	126.0997
KCNC4	59.3591	KCNC4	202.346
KCND1	22.5783	KCND1	58.2321
KCND2	35.6883	KCND2	134.0595
KCND3	152.9497	KCND3	23.4604
removed	removed	KCNE1	198.5756
KCNE2	13.8383	KCNE2	29.3255
KCNE3	44.4283	KCNE3	174.2773
KCNE4	3086.3074	KCNE4	143.695
KCNF1	580.8449	KCNF1	7.5408
KCNH1	92.4982	KCNH1	8.3787
KCNH2	14.5666	KCNH2	16.7574
removed	removed	KCNH3	22.2036
removed	removed	KCNH8	83.7872
removed	removed	KCNIP1	23.4604
KCNIP2	8.74	KCNIP2	938.8354
KCNIP3	40.4224	KCNIP3	41.8936
KCNIP4	24.7633	KCNIP4	65.354
KCNJ11	345.9578	KCNJ11	79.1789
KCNJ12	8.3758	KCNJ12	20.1089
KCNJ14	11.6533	KCNJ14	11.5417
KCNJ15	16.0233	KCNJ15	65.354
KCNJ16	15.295	KCNJ16	1342.6896
KCNJ2	66.6424	KCNJ2	995.8106
KCNJ3	1631.0998	KCNJ3	15.0817
KCNJ5	18.9366	KCNJ5	15.9196
KCNJ8	104.5157	KCNJ8	415.1655
removed	removed	KCNJ9	5.8651
KCNK13	18.5725	KCNK13	45.2451
KCNK15	198.4705	KCNK15	7.1219
KCNK17	23.6708	KCNK17	13.8249
KCNK1	184.268	KCNK1	191.8726
KCNK2	33.5033	KCNK2	1413.4897
removed	removed	KCNK3	44.8261
KCNK5	110.7065	KCNK5	37.7042
KCNK6	1706.118	KCNK6	217.4277
KCNMA1	490.5317	KCNMA1	1730.2053
KCNMB1	31.3183	KCNMB1	1574.7801
removed	removed	KCNMB2	11.3113
KCNMB3	48.0699	KCNMB3	43.9883
KCNMB4	35.3241	KCNMB4	71.2191
KCNN2	7.2833	KCNN2	7.1219
KCNN3	5.8267	KCNN3	7.5408
KCNN4	46.6133	KCNN4	163.8039
KCNQ1OT1	20.7575	KCNQ1OT1	52.367
KCNQ1	39.3299	KCNQ1	31.4202
KCNQ5	10.1966	KCNQ5	41.8936
KCNRG	5.7101	KCNRG	26.3972
removed	removed	KCNS1	159.1956
KCNS3	639.4756	KCNS3	939.6732
removed	removed	KCNT2	19.2711
KCTD10	1030.2258	KCTD10	2375.7855
KCTD11	312.4545	KCTD11	208.2111
KCTD12	1000	KCTD12	8592.3754
KCTD13	458.4851	KCTD13	289.0658
KCTD14	27.6766	KCTD14	878.9275
KCTD15	538.9658	KCTD15	538.7516
KCTD17	53.8966	KCTD17	18.8521
KCTD18	540.4224	KCTD18	405.111
KCTD1	241.4421	KCTD1	1339.3381
KCTD20	1193.3722	KCTD20	1273.1462
KCTD21	622.3598	KCTD21	287.39
KCTD2	1277.4945	KCTD2	709.2585
KCTD3	4980.335	KCTD3	3979.4721
removed	removed	KCTD4	9.6355
KCTD5	996.7225	KCTD5	282.7817
KCTD6	498.9075	KCTD6	657.3104
KCTD7	174.5375	KCTD7	295.3498
removed	removed	KCTD8	7.1219
KCTD9	327.3853	KCTD9	2084.2061
KDELC1	67.3707	KDELC1	119.8157
KDELC2	652.5856	KDELC2	1750.3142
KDELR1	6902.0393	KDELR1	3653.9589
KDELR2	8815.3678	KDELR2	7762.8823
KDELR3	270.2112	KDELR3	474.6544
KDM1A	2054.6249	KDM1A	1283.2007
KDM1B	696.6497	KDM1B	684.9602
KDM2A	2820.102	KDM2A	2341.8517
KDM2B	446.1216	KDM2B	671.5794
KDM3A	1312.4545	KDM3A	1782.5723
KDM3B	2379.0969	KDM3B	2416.8412
KDM4A	1138.0189	KDM4A	407.2057
KDM4B	3865.6227	KDM4B	461.2484
KDM4C	427.1668	KDM4C	505.2367
KDM4D	38.6016	KDM4D	35.6096
KDM5A	1354.3336	KDM5A	1288.6468
KDM5B	2096.504	KDM5B	2061.5836
