gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
MMP9	523.2932	MMP9	126.1787
MMRN1	51.004	MMRN1	1327.7952
MMRN2	1072.6908	MMRN2	3406.8253
MMS19	988.755	MMS19	1449.9326
MN1	128.1124	MN1	321.0597
MNAT1	175.9036	MNAT1	271.2169
MND1	86.747	removed	removed
MNDA	108.8353	MNDA	94.7463
MNS1	224.8996	MNS1	61.0687
MNT	320.0803	MNT	511.8994
MOAP1	556.6265	MOAP1	902.1105
MOB2	297.992	MOB2	594.0727
MOBKL1A	737.3494	MOBKL1A	668.6125
MOBKL1B	557.4297	MOBKL1B	581.0507
MOBKL2A	1184.739	MOBKL2A	1226.3134
MOBKL2B	137.3494	MOBKL2B	734.6206
MOBKL2C	327.7108	MOBKL2C	746.282
MOBKL3	748.996	MOBKL3	851.8186
MOCOS	560.6426	MOCOS	182.308
MOCS1	184.4337	MOCS1	1318.8954
MOCS2	812.0482	MOCS2	808.2622
MOCS3	695.1807	MOCS3	148.1814
removed	removed	MOGAT1	5.3884
MOGAT2	7.2289	MOGAT2	6.2865
MOGS	1126.9076	MOGS	874.2703
MON1A	196.7871	MON1A	201.6165
MON1B	522.0884	MON1B	578.8056
MON2	1091.9679	MON2	1414.9079
MORC2	1264.6586	MORC2	741.8051
MORC3	543.3735	MORC3	978.4463
MORC4	1575.9036	MORC4	637.1801
MORF4L1	4106.0241	MORF4L1	4192.1868
MORF4L2	12869.0763	MORF4L2	3053.8841
MORF4	7.2289	removed	removed
MORN1	27.7108	MORN1	33.2286
MORN2	489.1566	MORN2	151.7737
MORN3	25.7028	removed	removed
MORN4	97.5904	MORN4	140.5478
MOSC1	425.3012	MOSC1	2782.2182
MOSC2	529.3173	MOSC2	420.2964
MOSPD1	191.1647	MOSPD1	167.4899
MOSPD2	240.9639	MOSPD2	264.0323
MOSPD3	433.7349	MOSPD3	230.8038
removed	removed	MOV10L1	10.7768
MOV10	1334.5382	MOV10	713.0669
MOXD1	95.9839	MOXD1	134.7104
MPDU1	1795.9839	MPDU1	787.1576
MPDZ	945.7831	MPDZ	1932.6448
MPEG1	434.5382	MPEG1	1750.3368
MPG	638.5542	MPG	489.4477
MPHOSPH10	728.5141	MPHOSPH10	732.3754
MPHOSPH6	142.1687	MPHOSPH6	276.1563
MPHOSPH8	599.1968	MPHOSPH8	1109.5644
MPHOSPH9	302.008	MPHOSPH9	149.5285
MPI	1085.9438	MPI	845.9811
MPL	17.2691	MPL	43.5564
MPND	631.3253	MPND	240.2335
removed	removed	MPO	10.3278
MPP1	439.3574	MPP1	647.0588
MPP2	830.1205	MPP2	208.352
MPP3	113.6546	MPP3	88.4598
MPP5	95.9839	MPP5	880.5568
MPP6	49.7992	MPP6	145.4872
MPP7	82.3293	MPP7	340.8172
MPPE1	712.4498	MPPE1	844.634
removed	removed	MPPED1	9.8788
MPPED2	24.0964	MPPED2	149.5285
MPRIP	1440.5622	MPRIP	3485.8554
MPST	925.7028	MPST	678.4912
MPV17L2	314.0562	MPV17L2	170.1841
MPV17L	782.7309	MPV17L	141.4459
MPV17	952.2088	MPV17	645.2627
MPZL1	4577.51	MPZL1	5710.8217
MPZL2	1116.4659	MPZL2	691.5132
MPZL3	28.5141	MPZL3	52.088
removed	removed	MPZ	108.6664
MR1	432.1285	MR1	221.8231
MRAP2	20.4819	MRAP2	96.0934
removed	removed	MRAP	1395.586
MRAS	397.1888	MRAS	5942.5236
MRC1	24.498	MRC1	920.0718
MRC2	1625.3012	MRC2	4118.9942
MRE11A	814.8594	MRE11A	585.0921
MREG	576.3052	MREG	375.6803
MRFAP1L1	1167.8715	MRFAP1L1	1109.1154
MRFAP1	5097.1888	MRFAP1	5167.0409
MRGPRE	6.8273	removed	removed
MRGPRF	53.8153	MRGPRF	356.5335
removed	removed	MRGPRX2	6.2865
removed	removed	MRGPRX3	51.639
MRI1	770.6827	MRI1	546.9241
MRM1	206.0241	MRM1	65.559
MRO	57.0281	MRO	37.2699
MRP63	507.9759	MRP63	503.3678
MRPL10	1114.0562	MRPL10	1163.8976
MRPL11	518.0723	MRPL11	545.128
MRPL12	1049.7992	MRPL12	455.3211
MRPL13	1051.8072	MRPL13	407.7234
MRPL14	1118.0723	MRPL14	415.806
MRPL15	807.2289	MRPL15	653.7943
MRPL16	692.3695	MRPL16	741.3561
MRPL17	1218.0723	MRPL17	641.2214
MRPL18	558.2329	MRPL18	591.3785
MRPL19	1477.1084	MRPL19	1108.2173
MRPL1	224.498	MRPL1	313.8752
MRPL20	999.7831	MRPL20	1075.8285
MRPL21	370.2811	MRPL21	434.2164
MRPL22	490.3614	MRPL22	375.3929
MRPL23	531.7269	MRPL23	318.8145
MRPL24	2403.6145	MRPL24	977.5483
MRPL27	968.2731	MRPL27	577.4585
MRPL28	629.3173	MRPL28	565.7836
MRPL2	313.6546	MRPL2	441.85
MRPL30	839.0161	MRPL30	895.339
MRPL32	853.4137	MRPL32	580.1527
MRPL33	483.5341	MRPL33	503.3678
MRPL34	677.1084	MRPL34	468.3431
MRPL35	1324.8996	MRPL35	773.2375
MRPL36	506.4257	MRPL36	275.2582
MRPL37	2716.0643	MRPL37	1287.8312
MRPL38	1015.4739	MRPL38	714.8541
MRPL39	500.8032	MRPL39	378.5361
MRPL3	2535.743	MRPL3	1111.8096
MRPL40	1211.245	MRPL40	646.1608
MRPL41	466.2651	MRPL41	393.3543
removed	removed	MRPL42P5	9.0974
MRPL42	732.5301	MRPL42	354.7373
MRPL43	1089.2811	MRPL43	978.8954
MRPL44	532.5301	MRPL44	567.1307
MRPL45	1555.0201	MRPL45	1050.7409
MRPL46	465.0602	MRPL46	469.2411
MRPL47	618.0723	MRPL47	408.6215
MRPL48	330.1205	MRPL48	312.079
MRPL49	1567.8715	MRPL49	1081.7243
MRPL4	950.6024	MRPL4	629.0974
MRPL50	338.5542	MRPL50	340.3682
MRPL51	2120.4819	MRPL51	1014.8181
MRPL52	252.6104	MRPL52	349.3489
MRPL53	445.5743	MRPL53	457.8401
MRPL54	495.9839	MRPL54	456.2191
MRPL55	876.3052	MRPL55	361.4728
MRPL9	1054.3133	MRPL9	700.0988
MRPS10	1050.6024	MRPS10	799.2815
MRPS11	1026.1044	MRPS11	506.511
MRPS12	689.5582	MRPS12	263.5833
MRPS14	561.4458	MRPS14	342.1643
MRPS15	1619.2771	MRPS15	1000
MRPS16	2223.6948	MRPS16	1415.1549
MRPS17	384.755	MRPS17	194.0368
MRPS18A	604.0161	MRPS18A	592.7256
MRPS18B	1399.1968	MRPS18B	1362.8199
MRPS18C	214.6225	MRPS18C	312.6673
MRPS21	1743.3735	MRPS21	801.9758
MRPS22	446.5863	MRPS22	519.533
MRPS23	885.1406	MRPS23	410.8666
MRPS24	1232.5301	MRPS24	713.5159
MRPS25	606.2651	MRPS25	771.154
MRPS26	577.9116	MRPS26	441.85
MRPS27	2426.1044	MRPS27	1643.9156
MRPS28	190.9759	MRPS28	253.0804
MRPS2	732.9157	MRPS2	808.6798
MRPS30	6480.7229	MRPS30	350.247
MRPS31	169.0763	MRPS31	405.0292
MRPS33	746.5863	MRPS33	600.8083
MRPS34	1043.7751	MRPS34	499.7755
MRPS35	1884.3373	MRPS35	911.5402
MRPS36	449.3976	MRPS36	294.5667
MRPS5	548.1928	MRPS5	597.665
MRPS6	721.0843	MRPS6	823.9246
MRPS7	2142.1325	MRPS7	969.9865
MRPS9	388.3534	MRPS9	427.93
MRRF	420.8835	MRRF	511.8994
MRS2	823.2932	MRS2	651.9982
MRTO4	640.1606	MRTO4	647.0588
MRVI1	584.739	MRVI1	752.1329
MS4A14	28.1606	MS4A14	46.767
MS4A15	250.2008	removed	removed
removed	removed	MS4A1	9.8788
MS4A2	32.9317	MS4A2	59.7216
MS4A4A	125.7028	MS4A4A	654.2434
MS4A6A	571.8876	MS4A6A	1074.0907
MS4A7	610.3936	MS4A7	859.8339
MS4A8B	39.3574	removed	removed
MSC	43.9277	MSC	639.0705
MSH2	1115.261	MSH2	627.3013
MSH3	654.3574	MSH3	533.0579
MSH5	92.3695	MSH5	162.5236
MSH6	2056.2249	MSH6	1226.3134
MSI1	6.8273	MSI1	30.9834
MSI2	473.0924	MSI2	128.4239
MSL1	2757.8313	MSL1	2311.63
MSL2	669.4779	MSL2	887.7414
MSL3L2	31.3253	MSL3L2	82.1733
MSL3	368.6747	MSL3	622.811
MSMB	18.0723	removed	removed
MSMP	8.8353	MSMP	45.3525
MSN	7940.1606	MSN	11816.7939
MSR1	1275.9036	MSR1	317.4674
MSRA	88.3534	MSRA	351.145
MSRB2	673.8956	MSRB2	709.0256
MSRB3	533.7349	MSRB3	2522.2272
MST1P2	19.2771	MST1P2	134.7104
removed	removed	MST1P9	16.1652
MST1R	673.494	MST1R	90.705
MST1	27.7108	MST1	74.9888
MST4	4521.2851	MST4	172.8783
removed	removed	MSTN	12.1239
MSTO1	1212.51	MSTO1	1107.8357
MSTO2P	32.7912	MSTO2P	94.203
MSX1	35.743	MSX1	188.1455
MSX2	17.2691	MSX2	74.5397
MT1A	7.6305	MT1A	58.8235
MT1E	151.4056	MT1E	1244.7238
MT1F	164.257	MT1F	124.8316
MT1G	6.8273	MT1G	39.066
MT1L	8.8353	MT1L	132.4652
MT1M	8.4337	MT1M	288.7292
MT1X	506.4257	MT1X	2984.7328
MT2A	4241.3655	MT2A	4211.0463
MT3	10.8434	removed	removed
MTA1	553.8153	MTA1	920.0718
MTA2	1500	MTA2	1482.7122
MTA3	1424.498	MTA3	860.3502
MTAP	694.3775	MTAP	725.6399
MTBP	175.9036	MTBP	59.7216
MTCH1	3757.8313	MTCH1	3853.6147
MTCH2	1867.8715	MTCH2	1497.9793
MTCP1NB	252.7952	MTCP1NB	328.9313
MTCP1	19.0924	MTCP1	19.5195
MTDH	5036.9478	MTDH	2957.3417
MTERFD1	488.755	MTERFD1	295.4648
MTERFD2	200	MTERFD2	462.9546
MTERFD3	552.6104	MTERFD3	533.004
MTERF	185.5422	MTERF	185.0022
MTF1	435.3414	MTF1	703.1881
MTF2	432.5301	MTF2	411.7647
MTFMT	281.5261	MTFMT	220.476
MTFR1	732.1285	MTFR1	384.8226
MTG1	377.9116	MTG1	338.5721
MTHFD1L	164.257	MTHFD1L	292.7705
MTHFD1	2139.996	MTHFD1	2519.7306
MTHFD2L	123.6747	MTHFD2L	172.8559
MTHFD2	793.5743	MTHFD2	569.8428
MTHFR	339.3173	MTHFR	701.2932
MTHFSD	242.9719	MTHFSD	388.4149
MTHFS	443.7751	MTHFS	321.9578
MTIF2	745.7831	MTIF2	765.1549
MTIF3	549.7992	MTIF3	955.0965
MTL5	528.9157	MTL5	124.8316
MTM1	246.1847	MTM1	385.2717
MTMR10	775.9759	MTMR10	1608.2308
MTMR11	175.502	MTMR11	239.3354
MTMR12	846.1847	MTMR12	2104.6251
MTMR14	1012.0482	MTMR14	731.9264
MTMR15	824.0241	MTMR15	807.1262
MTMR1	858.6345	MTMR1	726.987
MTMR2	621.6867	MTMR2	818.59
MTMR3	1167.8715	MTMR3	2277.0543
MTMR4	1442.1687	MTMR4	790.3009
MTMR6	544.5783	MTMR6	748.5406
MTMR7	108.9799	MTMR7	37.4764
MTMR8	18.8514	MTMR8	13.022
MTMR9L	93.5743	MTMR9L	211.9443
MTMR9	467.4578	MTMR9	500.5972
MTO1	258.6345	MTO1	376.74
MTOR	1526.1044	MTOR	1763.3588
MTP18	390.7992	MTP18	123.5968
MTPAP	535.3414	MTPAP	444.5442
MTRF1L	140.1606	MTRF1L	276.1563
MTRF1	66.2651	MTRF1	133.3633
MTRR	361.0442	MTRR	580.1527
MTR	1172.2892	MTR	1559.4971
MTSS1L	731.3253	MTSS1L	873.3722
MTSS1	1844.9799	MTSS1	1217.7683
removed	removed	MTTP	8.0826
MTUS1	2792.3695	MTUS1	3681.6345
removed	removed	MTUS2	16.6143
MTX1	1126.8996	MTX1	476.4257
MTX2	514.0562	MTX2	530.3098
MTX3	806.4257	MTX3	660.5299
removed	removed	MUC15	418.0512
MUC16	2047.3896	MUC16	873.3722
MUC1	28424.498	MUC1	837.8985
MUC20	263.8554	MUC20	257.2968
removed	removed	MUC4	50.2919
MUC5B	2289.9598	MUC5B	261.3381
MUC6	6.8273	MUC6	32.7795
MUCL1	234.5382	MUCL1	168.837
MUDENG	397.5904	MUDENG	640.3233
MUL1	525.7028	MUL1	829.3669
MUM1L1	53.012	MUM1L1	78.132
MUM1	359.8394	MUM1	881.4549
MUS81	141.7671	MUS81	388.4149
MUSTN1	23.5622	MUSTN1	205.0202
MUTED	330.1205	MUTED	367.7593
MUTYH	184.996	MUTYH	168.599
MUT	1489.9598	MUT	1044.4544
MVD	315.6627	MVD	197.1262
MVK	493.9759	MVK	258.6439
MVP	2018.0723	MVP	2094.2973
MX1	413.6546	MX1	719.3534
MX2	138.5542	MX2	324.203
MXD1	1633.7349	MXD1	370.9026
MXD3	170.9317	MXD3	82.3889
MXD4	565.0602	MXD4	2231.2528
MXI1	485.1406	MXI1	1554.1087
MXRA5	4963.8554	MXRA5	3614.2793
MXRA7	3153.012	MXRA7	6685.6758
MXRA8	1647.3896	MXRA8	3774.1356
MYADML2	6.0241	removed	removed
MYADM	8132.5301	MYADM	7195.33
MYBBP1A	1401.6426	MYBBP1A	942.9232
MYBL1	1130.1205	MYBL1	54.7822
MYBL2	3283.1325	MYBL2	46.2506
removed	removed	MYBPC1	300.8532
MYB	1908.4337	MYB	424.7867
MYCBP2	926.9076	MYCBP2	4581.4998
MYCBPAP	28.9157	MYCBPAP	6.7355
MYCBP	1980.0161	MYCBP	603.5025
MYCL1	33.7349	MYCL1	100.5837
removed	removed	MYCN	9.4297
MYCT1	175.502	MYCT1	852.7167
MYC	1987.9518	MYC	5780.4221
MYD88	1291.5663	MYD88	814.9978
MYEF2	1057.759	MYEF2	388.1365
MYEOV2	1813.6546	MYEOV2	504.7149
removed	removed	MYEOV	871.5761
MYH10	1609.6386	MYH10	2449.9326
MYH11	905.4538	MYH11	10736.3898
MYH14	3606.4257	MYH14	1585.0921
removed	removed	MYH15	12.1239
removed	removed	MYH1	18.4104
MYH3	6.0241	MYH3	56.1293
removed	removed	MYH7B	47.5977
MYH9	46330.1205	MYH9	24892.6807
MYL12A	4764.257	MYL12A	6534.8002
MYL12B	7438.5542	MYL12B	6295.9138
removed	removed	MYL3	15.2672
removed	removed	MYL4	8.0826
MYL5	115.3976	MYL5	224.2164
MYL6B	784.3373	MYL6B	467.445
MYL6	23002.008	MYL6	16572.5191
removed	removed	MYL7	24.2479
MYL9	7112.4498	MYL9	14623.709
MYLIP	2582.7309	MYLIP	1298.608
removed	removed	MYLK3	8.9807
removed	removed	MYLK4	55.6803
MYLK	1420.0803	MYLK	10321.0463
MYNN	373.8956	MYNN	439.6048
MYO10	303.6145	MYO10	884.5981
MYO15A	8.8353	MYO15A	14.3691
MYO15B	91.5663	MYO15B	823.5294
MYO16	10.4418	MYO16	368.2084
MYO18A	2060.0602	MYO18A	1959.057
MYO18B	43.7751	removed	removed
MYO19	1618.1968	MYO19	389.7845
MYO1B	3123.2932	MYO1B	1638.9762
MYO1C	8406.8273	MYO1C	14799.2815
MYO1D	4074.2972	MYO1D	1599.9102
MYO1E	1604.0161	MYO1E	1101.4818
MYO1F	225.3012	MYO1F	275.2582
MYO1G	38.9558	MYO1G	58.8235
removed	removed	MYO1H	19.7575
removed	removed	MYO3A	10.7768
MYO3B	6.4257	MYO3B	7.6336
MYO5A	621.2851	MYO5A	1047.5977
MYO5B	2705.6225	MYO5B	977.9973
MYO5C	2594.3333	MYO5C	1065.6533
MYO6	3657.0281	MYO6	1679.8383
MYO7A	34.9398	MYO7A	283.3408
removed	removed	MYO7B	25.595
MYO9A	271.4859	MYO9A	897.1711
MYO9B	2299.5984	MYO9B	1907.9479
MYOCD	9.6386	MYOCD	42.2093
removed	removed	MYOC	428.379
MYOF	6377.9116	MYOF	5813.2016
MYOG	9.2369	removed	removed
MYOM1	11.245	MYOM1	724.2928
MYOM2	53.8153	MYOM2	90.2559
MYOM3	17.2691	MYOM3	33.6776
MYOZ1	5.2209	MYOZ1	20.6556
removed	removed	MYOZ2	5.8374
MYOZ3	47.7912	MYOZ3	30.5344
MYPOP	193.5743	MYPOP	117.198
MYRIP	12.8514	MYRIP	257.2968
MYSM1	96.7871	MYSM1	185.9003
MYST1	225.7028	MYST1	669.5106
MYST2	1712.0482	MYST2	1231.7018
MYST3	1973.8956	MYST3	1885.9452
MYST4	1348.5944	MYST4	1191.2887
MZF1	165.3574	MZF1	259.1109
N4BP1	745.7831	N4BP1	1539.7396
N4BP2L1	129.7189	N4BP2L1	703.6372
N4BP2L2	544.5783	N4BP2L2	1672.6538
N4BP2	164.257	N4BP2	218.2308
N4BP3	511.245	N4BP3	105.9722
N6AMT1	454.6185	N6AMT1	354.2883
N6AMT2	115.6627	N6AMT2	150.8756
NAA10	769.0763	NAA10	607.5438
NAA15	1476.3052	NAA15	933.0938
NAA16	189.5582	NAA16	319.2636
NAA20	1078.7149	NAA20	729.6812
NAA25	587.1486	NAA25	568.9268
NAA30	369.4779	NAA30	626.4032
NAA35	424.8996	NAA35	359.2277
NAA38	471.4859	NAA38	389.762
NAA40	503.2129	NAA40	561.2932
NAA50	4106.0241	NAA50	2342.1643
NAAA	847.3896	NAAA	378.9852
NAALAD2	5.6225	NAALAD2	116.3
NAALADL1	25.3012	NAALADL1	123.4845
NAALADL2	67.4699	NAALADL2	417.6022
NAB1	479.1165	NAB1	1527.6156
NAB2	724.0964	NAB2	395.5995
NACA2	21.6867	NACA2	35.0247
NACAD	18.4739	NACAD	198.0242
NACAP1	94.3775	NACAP1	128.4239
NACA	12740.1606	NACA	17481.8141
NACC1	2442.9719	NACC1	709.0256
NACC2	19.6787	NACC2	71.3965
NADK	563.8554	NADK	1508.3071
NADSYN1	530.5221	NADSYN1	707.6785
NAE1	1018.0723	NAE1	796.1383
NAF1	248.996	NAF1	160.3053
NAGA	2835.743	NAGA	950.6062
NAGK	1093.9759	NAGK	752.5819
NAGLU	1561.4458	NAGLU	978.4463
NAGPA	306.4257	NAGPA	213.7405
NAGS	136.5462	NAGS	40.8621
NAIF1	183.5341	NAIF1	195.33
NAIP	45.3815	NAIP	114.0548
removed	removed	NALCN	169.7351
NAMPT	1042.9719	NAMPT	2364.6161
NANOS1	134.9398	NANOS1	601.7063
NANOS3	6.0241	NANOS3	5.8374
NANP	144.9799	NANP	159.4073
NANS	1583.1325	NANS	518.6349
NAP1L1	10089.9598	NAP1L1	6121.6884
NAP1L2	22.8916	NAP1L2	109.1154
NAP1L3	28.1124	NAP1L3	57.9255
NAP1L4	2055.0201	NAP1L4	2132.0162
NAP1L5	62.249	NAP1L5	200.2694
NAPA	3443.2209	NAPA	2443.9021
NAPB	153.8153	NAPB	290.5254
NAPEPLD	385.249	NAPEPLD	348.9762
NAPG	614.0562	NAPG	716.6592
NAPRT1	256.6265	NAPRT1	263.1343
NAPSB	93.1727	NAPSB	66.0081
NARFL	407.6305	NARFL	352.9412
NARF	454.2169	NARF	612.0341
NARG2	1018.0723	NARG2	1022.4517
NARS2	382.7309	NARS2	288.7292
NARS	3558.6345	NARS	2746.7445
NASP	2734.9398	NASP	1424.3377
NAT10	1245.7831	NAT10	1062.4158
NAT14	108.0321	NAT14	93.8482
NAT15	1055.8233	NAT15	957.7907
NAT1	3745.3815	NAT1	88.9088
NAT6	205.988	NAT6	231.0822
NAT8L	52.2088	NAT8L	538.8415
NAT9	492.3695	NAT9	334.5308
NAV1	3118.0723	NAV1	2441.401
NAV2	1574.2329	NAV2	3067.4091
NAV3	37.3494	NAV3	297.2609
NBAS	1197.992	NBAS	1657.8357
NBEAL1	79.9197	NBEAL1	440.0539
NBEAL2	1140.9639	NBEAL2	1476.4257
NBEA	96.3855	NBEA	388.4149
NBL1	1175.502	NBL1	2282.4427
removed	removed	NBLA00301	49.8428
NBN	2527.7108	NBN	1381.2304
NBPF10	505.4498	NBPF10	1166.3583
NBPF14	283.1124	NBPF14	927.5348
NBPF15	308.3333	NBPF15	303.5743
NBPF16	55.8233	NBPF16	180.9609
NBPF1	118.0723	NBPF1	779.524
NBPF22P	9.6386	removed	removed
NBPF3	142.5703	NBPF3	314.3242
NBPF4	310.0402	removed	removed
NBPF6	81.1245	removed	removed
NBPF9	200.7309	NBPF9	270.0494
NBR1	5165.8635	NBR1	4667.2654
NBR2	50.2008	NBR2	66.4571
NCALD	904.0161	NCALD	2647.5079
NCAM1	9.2369	NCAM1	306.6906
NCAM2	532.1285	NCAM2	43.1073
NCAN	14.8594	removed	removed
NCAPD2	2017.6707	NCAPD2	1096.5424
NCAPD3	1265.8635	NCAPD3	488.9987
NCAPG2	1363.0522	NCAPG2	271.6659
NCAPG	625.8715	NCAPG	20.3009
NCAPH2	1077.1084	NCAPH2	535.6982
NCAPH	527.3092	NCAPH	38.617
NCBP1	917.6707	NCBP1	654.4589
NCBP2	2238.9558	NCBP2	1460.7095
removed	removed	NCCRP1	26.9421
NCDN	859.8394	NCDN	415.806
NCEH1	462.6506	NCEH1	298.159
NCF1B	7.2289	NCF1B	53.8841
NCF1C	10.4418	NCF1C	14.3691
NCF1	47.3896	NCF1	39.515
NCF2	220.0803	NCF2	308.9358
NCF4	85.1406	NCF4	292.7705
NCK1	501.6064	NCK1	821.7333
NCK2	628.1124	NCK2	1025.595
NCKAP1L	328.9157	NCKAP1L	405.4782
NCKAP1	4124.8996	NCKAP1	4179.6138
NCKAP5L	283.5341	NCKAP5L	862.1464
NCKAP5	263.8554	NCKAP5	227.2115
NCKIPSD	848.5944	NCKIPSD	808.2622
NCLN	1679.1165	NCLN	913.3363
NCL	11838.5542	NCL	8597.216
NCOA1	948.5944	NCOA1	2282.8918
NCOA2	731.7269	NCOA2	1008.5317
NCOA3	1963.0522	NCOA3	1497.0813
NCOA4	3270.6827	NCOA4	6199.8204
NCOA5	1687.5502	NCOA5	909.7441
NCOA6	2735.743	NCOA6	1730.1302
NCOA7	286.3454	NCOA7	1744.0503
NCOR1	2841.3655	NCOR1	2715.7611
NCOR2	3202.8072	NCOR2	2843.736
removed	removed	NCR3	12.1239
NCRNA00081	127.7108	NCRNA00081	169.1783
NCRNA00085	14.4578	NCRNA00085	75.4378
NCRNA00086	11.245	NCRNA00086	154.0189
NCRNA00087	7.6305	NCRNA00087	79.4791
removed	removed	NCRNA00092	34.1266
removed	removed	NCRNA00093	5.8734
NCRNA00094	547.4337	NCRNA00094	596.4481
NCRNA00095	56.2249	NCRNA00095	38.617
NCRNA00105	9.6426	NCRNA00105	39.9641
NCRNA00107	6.4257	NCRNA00107	13.471
removed	removed	NCRNA00110	16.1652
NCRNA00115	6.0241	NCRNA00115	8.5317
NCRNA00116	110.0402	NCRNA00116	141.8949
NCRNA00120	20.8835	NCRNA00120	57.9255
NCRNA00152	208.0321	NCRNA00152	171.5312
NCRNA00160	6.4257	removed	removed
removed	removed	NCRNA00162	6.2865
NCRNA00171	12.1406	NCRNA00171	37.1127
NCRNA00173	8.0321	NCRNA00173	41.7602
NCRNA00174	83.5341	NCRNA00174	151.7737
NCRNA00176	21.2851	NCRNA00176	8.0826
NCRNA00181	131.8916	NCRNA00181	128.3251
NCRNA00182	17.2691	NCRNA00182	79.4791
NCRNA00183	222.49	NCRNA00183	255.9497
NCRNA00188	4497.5904	NCRNA00188	7756.1742
NCRNA00201	657.4217	NCRNA00201	938.855
removed	removed	NCRNA00204B	8.0826
NCRNA00219	163.8554	NCRNA00219	572.9681
NCS1	247.3896	NCS1	262.6852
NCSTN	6824.012	NCSTN	3341.0283
NDC80	337.751	NDC80	18.4104
NDE1	982.8996	NDE1	347.1307
NDEL1	568.2731	NDEL1	1217.3327
NDFIP1	4254.2169	NDFIP1	3095.1953
NDFIP2	375.9036	NDFIP2	506.511
NDNL2	444.9799	NDNL2	367.7593
NDN	146.988	NDN	1522.6762
NDOR1	640.9639	NDOR1	362.3709
NDP	5.6225	NDP	19.7575
NDRG1	720.0803	NDRG1	7431.9713
NDRG2	638.1526	NDRG2	10549.6183
NDRG3	1600.8032	NDRG3	1049.3938
NDRG4	38.5542	NDRG4	288.7292
NDST1	2686.3454	NDST1	6569.3758
NDST2	429.7189	NDST2	612.9322
NDST4	8.4337	removed	removed
NDUFA10	2379.9197	NDUFA10	2018.4104
NDUFA11	1563.0522	NDUFA11	1197.1262
NDUFA12	816.8675	NDUFA12	583.2959
NDUFA13	3427.7108	NDUFA13	1569.0391
NDUFA1	1887.5502	NDUFA1	1241.5806
NDUFA2	1700.8032	NDUFA2	737.3148
NDUFA3	1002.8112	NDUFA3	610.238
NDUFA4L2	153.4137	NDUFA4L2	376.74
NDUFA4	3293.9759	NDUFA4	2515.4917
NDUFA5	1801.2048	NDUFA5	904.8047
NDUFA6	1966.6667	NDUFA6	1114.9529
NDUFA7	963.8554	NDUFA7	560.8442
NDUFA8	776.3052	NDUFA8	683.8797
NDUFA9	1281.5261	NDUFA9	932.6448
NDUFAB1	793.9759	NDUFAB1	703.6372
NDUFAF1	901.6064	NDUFAF1	337.225
NDUFAF2	186.747	NDUFAF2	167.4899
NDUFAF3	1382.3293	NDUFAF3	962.7301
NDUFAF4	109.6386	NDUFAF4	268.0736
NDUFB10	1089.5582	NDUFB10	976.2012
NDUFB11	1638.9558	NDUFB11	943.8707
NDUFB1	563.4538	NDUFB1	583.7449
NDUFB2	1593.9759	NDUFB2	1112.2586
NDUFB3	856.6265	NDUFB3	596.767
NDUFB4	2729.7189	NDUFB4	1510.1033
NDUFB5	1470.2811	NDUFB5	1151.7737
NDUFB6	985.5422	NDUFB6	510.1033
NDUFB7	1290.7631	NDUFB7	1059.2726
NDUFB8	940.7068	NDUFB8	1070.8217
NDUFB9	2532.1285	NDUFB9	1761.5761
NDUFC1	877.1084	NDUFC1	602.6044
NDUFC2	2559.8394	NDUFC2	1744.0503
NDUFS1	1511.6466	NDUFS1	1768.7472
NDUFS2	4146.988	NDUFS2	1985.6309
NDUFS3	1100.7108	NDUFS3	1044.7283
NDUFS4	674.2972	NDUFS4	752.1329
NDUFS5	2202.008	NDUFS5	1911.5402
NDUFS6	816.0643	NDUFS6	440.0539
NDUFS7	885.6426	NDUFS7	593.1612
NDUFS8	1260.6426	NDUFS8	891.3336
NDUFV1	1037.3494	NDUFV1	1648.855
NDUFV2	1853.012	NDUFV2	1368.6574
NDUFV3	1051.8072	NDUFV3	788.5047
NEAT1	2873.0924	NEAT1	12792.9951
NEBL	1658.2329	NEBL	2112.7077
NEB	9.6386	NEB	8.0826
NECAB1	27.7108	NECAB1	114.0548
NECAB3	900.8032	NECAB3	260.4401
NECAP1	992.7711	NECAP1	689.7171
NECAP2	671.4859	NECAP2	1346.2057
NEDD1	795.9839	NEDD1	454.872
NEDD4L	1042.5703	NEDD4L	1864.3916
NEDD4	1261.0442	NEDD4	560.3952
NEDD8	1570.6827	NEDD8	1621.9129
NEDD9	2960.6426	NEDD9	6268.5227
NEFH	38.1526	NEFH	40.8621
NEGR1	54.6185	NEGR1	414.0099
NEIL1	100.4016	NEIL1	179.6138
NEIL2	1046.988	NEIL2	511.4504
NEIL3	67.4699	removed	removed
NEK10	24.0964	NEK10	31.4324
NEK11	264.6586	NEK11	222.7211
NEK1	400	NEK1	483.6102
NEK2	1040.9639	NEK2	5.8374
NEK3	45.3815	NEK3	182.7571
NEK4	647.7912	NEK4	351.5941
NEK5	14.4578	removed	removed
NEK6	884.739	NEK6	1006.2865
NEK7	926.9076	NEK7	3177.8177
NEK8	90.7631	NEK8	74.5397
NEK9	1513.6546	NEK9	2838.3476
NELF	639.3574	NELF	590.4805
NELL2	23.2932	NELL2	35.0247
NENF	4781.9277	NENF	1159.4073
