gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
ADPRHL1	18.4739	ADPRHL1	114.0548
ADPRHL2	918.0723	ADPRHL2	639.8743
ADPRH	179.5181	ADPRH	569.8249
removed	removed	ADRA1A	84.8675
ADRA1B	6.4257	ADRA1B	101.4818
ADRA1D	18.0723	ADRA1D	10.7768
ADRA2A	196.3855	ADRA2A	1404.5802
ADRA2B	27.7108	ADRA2B	192.1868
ADRA2C	21.2851	ADRA2C	124.3826
removed	removed	ADRB1	159.8563
ADRB2	14.0562	ADRB2	586.8882
ADRBK1	1051.4056	ADRBK1	1518.6349
ADRBK2	698.7952	ADRBK2	1699.5959
ADRM1	1649.7992	ADRM1	907.0498
ADSL	782.7309	ADSL	895.824
ADSSL1	31.3253	ADSSL1	218.2308
ADSS	1500	ADSS	918.2757
AEBP1	11807.6305	AEBP1	6536.1473
AEBP2	538.9558	AEBP2	624.1581
AEN	635.743	AEN	324.652
AES	7719.6787	AES	7182.308
AFAP1L1	298.3936	AFAP1L1	841.4908
AFAP1L2	441.3655	AFAP1L2	863.0445
AFAP1	1063.4538	AFAP1	1416.6861
AFF1	2376.3052	AFF1	2743.1522
AFF2	8.8353	AFF2	63.7629
AFF3	1585.5422	AFF3	960.485
AFF4	2793.1727	AFF4	2968.5676
AFG3L1	229.7189	AFG3L1	233.498
AFG3L2	1420.3614	AFG3L2	1146.7086
AFMID	373.0924	AFMID	548.7203
AFTPH	2326.9076	AFTPH	1230.8038
AG2	68.2731	AG2	333.1837
AGAP11	9.6787	AGAP11	232.07
AGAP1	321.6867	AGAP1	504.2658
AGAP2	28.1325	AGAP2	67.9659
AGAP3	953.4137	AGAP3	1152.6718
AGAP4	69.0763	AGAP4	248.7652
AGAP5	33.7791	AGAP5	91.9443
AGAP6	39.3574	AGAP6	164.7957
AGAP7	6.4257	AGAP7	38.617
removed	removed	AGAP8	24.6969
AGA	1010.8434	AGA	461.6075
AGBL2	11.245	AGBL2	11.2259
removed	removed	AGBL3	6.7355
AGBL4	11.245	AGBL4	5.3884
AGBL5	1343.3775	AGBL5	769.6587
removed	removed	AGER	38.1679
AGFG1	1037.3494	AGFG1	2220.476
AGFG2	471.8876	AGFG2	527.6156
AGGF1	1220.4819	AGGF1	819.4881
AGK	593.1727	AGK	559.048
AGL	114.8594	AGL	946.5649
AGMAT	70.6827	AGMAT	8.9807
AGPAT1	2048.9277	AGPAT1	1914.4275
AGPAT2	539.3574	AGPAT2	5374.9439
AGPAT3	2787.5502	AGPAT3	2691.0642
AGPAT4	81.1245	AGPAT4	293.6686
AGPAT5	695.9839	AGPAT5	427.93
AGPAT6	3097.992	AGPAT6	1652.8963
AGPAT9	100.4016	AGPAT9	153.1208
AGPHD1	106.0241	AGPHD1	84.8675
AGPS	1373.8956	AGPS	1326.4481
AGR2	6681.5261	AGR2	551.8635
AGR3	3760.6426	AGR3	138.7517
AGRN	3733.7349	AGRN	2247.4181
AGTPBP1	69.0763	AGTPBP1	422.0925
AGTR1	24.8996	AGTR1	550.5164
AGTRAP	924.0964	AGTRAP	586.4392
AGT	293.1727	AGT	229.4567
AGXT2L1	21.2851	removed	removed
AGXT2L2	217.4859	AGXT2L2	700.3637
removed	removed	AGXT	17.5123
AHCTF1	2753.8153	AHCTF1	1532.106
AHCYL1	6177.51	AHCYL1	4305.7925
AHCYL2	1757.4297	AHCYL2	642.1194
AHCY	5609.6386	AHCY	2374.4948
AHDC1	456.6265	AHDC1	1174.6744
AHI1	246.5863	AHI1	330.4894
AHNAK2	293.1727	AHNAK2	1581.0507
AHNAK	39392.3695	AHNAK	117749.8877
AHRR	7.6305	AHRR	44.0054
AHR	1069.8795	AHR	2418.0512
AHSA1	1257.0281	AHSA1	1327.3462
AHSA2	127.3092	AHSA2	446.3404
removed	removed	AHSP	5.3884
AIDA	1710.9679	AIDA	1424.8047
AIF1L	223.6948	AIF1L	3130.22
AIF1	289.1566	AIF1	442.2991
AIFM1	1669.0763	AIFM1	732.8244
AIFM2	342.9719	AIFM2	2167.0409
AIFM3	75.4538	AIFM3	10.3278
AIG1	653.8153	AIG1	1220.0269
AIM1L	48.996	removed	removed
AIM1	1002.4096	AIM1	2599.9102
AIMP1	1236.9478	AIMP1	949.8024
AIMP2	513.1084	AIMP2	290.2874
AIP	382.7309	AIP	699.5959
removed	removed	AJAP1	18.4104
AK1	608.8353	AK1	766.9511
AK2	2938.1526	AK2	2301.3022
AK3L1	350.2008	AK3L1	599.0121
AK3	1168.2731	AK3	2612.0341
AK5	32.5301	AK5	1694.2075
AK7	6.8273	AK7	31.4324
AKAP10	410.8434	AKAP10	559.9461
AKAP11	1063.4538	AKAP11	1892.6807
AKAP12	521.6867	AKAP12	4049.8428
AKAP13	2514.4578	AKAP13	4372.6987
AKAP1	2048.996	AKAP1	3297.2609
AKAP2	433.2249	AKAP2	2978.7831
AKAP3	13.6546	AKAP3	59.7216
AKAP5	38.5542	AKAP5	24.2479
AKAP6	22.0884	AKAP6	213.2914
AKAP7	100.8032	AKAP7	243.8258
AKAP8L	447.7912	AKAP8L	544.2299
AKAP8	561.4458	AKAP8	549.1693
AKAP9	3738.5542	AKAP9	2297.7099
