gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
LOC641298	112.5434	LOC641298	272.8075
LOC641367	6.2536	LOC641367	7.9293
LOC642587	41.6905	LOC642587	584.4553
LOC642826	45.7595	LOC642826	168.8907
LOC642846	72.5414	LOC642846	159.5771
LOC642852	454.0092	LOC642852	327.7443
LOC643008	22.5129	LOC643008	5.947
LOC643387	40.0228	LOC643387	43.9415
LOC643677	9.5888	removed	removed
removed	removed	LOC643763	36.3426
LOC643837	782.53	LOC643837	204.5098
LOC644165	16.2593	LOC644165	7.5989
LOC644172	5.0029	LOC644172	9.2508
LOC644538	60.4512	LOC644538	119.2698
LOC644936	21.679	LOC644936	16.5194
LOC645166	55.8652	LOC645166	56.4962
LOC645332	90.8852	LOC645332	133.4765
LOC645431	55.8277	LOC645431	25.7273
LOC645676	42.2616	LOC645676	32.5597
LOC646214	147.1673	LOC646214	219.3772
LOC646471	29.6586	LOC646471	93.7573
LOC646762	501.1194	LOC646762	398.7776
LOC646851	109.6459	LOC646851	189.9727
LOC646999	7.9212	LOC646999	11.2332
LOC647121	90.4683	LOC647121	49.2277
LOC647288	7.0874	LOC647288	7.2685
removed	removed	LOC647309	5.2862
LOC647859	7.9212	removed	removed
LOC647946	7.0874	LOC647946	18.8321
LOC647979	8230.5316	LOC647979	13951.2679
LOC648691	10.0057	removed	removed
LOC648740	7.6294	LOC648740	27.6402
LOC649330	10.0057	LOC649330	11.5636
LOC650368	41.2736	LOC650368	39.9769
LOC650623	52.1131	LOC650623	156.2732
LOC651250	2526.0253	LOC651250	2064.9211
LOC652276	36.2707	LOC652276	59.4697
LOC653113	53.7807	LOC653113	88.8742
LOC653501	185.9395	LOC653501	383.9101
LOC653566	6717.5846	LOC653566	1437.1851
LOC653653	122.9869	LOC653653	90.8565
LOC653786	12.924	removed	removed
LOC654342	132.5757	LOC654342	259.3541
LOC654433	55.8652	LOC654433	115.966
LOC678655	131.9378	LOC678655	360.4526
LOC723972	8.3381	LOC723972	7.5989
LOC727896	18.3438	LOC727896	18.1713
LOC728024	15.8424	LOC728024	32.378
LOC728190	319.7659	LOC728190	351.8626
LOC728264	461.9304	LOC728264	2312.3813
LOC728323	24.5974	LOC728323	41.9592
LOC728392	47.5271	LOC728392	66.7383
LOC728554	278.4923	LOC728554	134.7981
LOC728606	306.008	LOC728606	54.1835
LOC728613	144.249	LOC728613	157.5948
LOC728640	25.8481	LOC728640	56.1659
LOC728643	24.5974	LOC728643	126.208
LOC728723	7.0874	LOC728723	22.136
LOC728743	180.5197	LOC728743	162.2202
LOC728758	32.5186	LOC728758	43.2807
LOC728819	29.6002	LOC728819	35.0211
LOC728855	156.0099	LOC728855	143.4377
LOC728875	69.5355	LOC728875	45.2135
LOC729020	45.4426	LOC729020	36.3426
LOC729082	477.0515	LOC729082	753.4517
LOC729156	7.3	removed	removed
LOC729176	30.434	LOC729176	46.2542
LOC729234	33.3524	LOC729234	75.9891
LOC729375	18.3438	LOC729375	78.3018
LOC729603	27.0988	LOC729603	44.6023
LOC729678	504.1628	LOC729678	479.359
LOC729799	19.5945	LOC729799	25.1094
LOC729991-MEF2B	30.5591	LOC729991-MEF2B	38.3613
LOC729991	251.2976	LOC729991	124.4933
LOC730101	104.6431	LOC730101	204.5098
LOC80054	30.0171	LOC80054	60.7913
LOC80154	343.1125	LOC80154	338.9775
LOC81691	66.7047	LOC81691	133.8069
removed	removed	LOC84740	6.6177
LOC84856	9.1719	LOC84856	23.4575
removed	removed	LOC84989	6.3666
LOC90110	150.5026	LOC90110	313.5376
LOC90246	7.0874	LOC90246	10.5724
LOC90586	7.0874	removed	removed
LOC90784	182.1873	LOC90784	117.9483
LOC90834	22.0959	LOC90834	32.7084
LOC91316	183.3672	LOC91316	378.9378
LOC92249	639.1148	LOC92249	934.3355
LOC92659	160.5083	LOC92659	70.0421
LOC92973	47.1102	LOC92973	209.796
removed	removed	LOC93432	95.8123
LOC93622	383.5523	LOC93622	385.2317
LOC96610	9139.2628	LOC96610	11684.4305
LOH12CR1	74.6259	LOH12CR1	102.7505
LOH12CR2	10.8395	LOH12CR2	50.8797
LOH3CR2A	35.02	LOH3CR2A	47.9062
LONP1	1271.9761	LONP1	906.583
LONP2	1913.1754	LONP2	2098.2902
LONRF1	248.0583	LONRF1	648.8808
LONRF2	191.3592	LONRF2	527.2983
LONRF3	17.0931	LONRF3	50.5493
LOXHD1	9.5888	LOXHD1	7.9293
LOXL1	1986.1338	LOXL1	183.365
LOXL2	1886.8521	LOXL2	870.5311
LOXL3	59.1046	LOXL3	58.1482
LOXL4	137.5785	LOXL4	759.5606
LOX	2094.1121	LOX	631.0399
LPAL2	8.3381	removed	removed
LPAR1	564.9058	LPAR1	677.6245
LPAR2	622.8555	LPAR2	196.5805
removed	removed	LPAR3	22.7967
LPAR4	12.5071	LPAR4	19.1625
LPAR5	172.5985	LPAR5	104.7328
LPAR6	857.9898	LPAR6	1550.8384
LPCAT1	1565.477	LPCAT1	718.9229
LPCAT2	607.847	LPCAT2	1538.2836
LPCAT3	1730.9881	LPCAT3	1309.986
LPCAT4	362.2901	LPCAT4	441.7279
LPGAT1	2286.3051	LPGAT1	2115.4704
LPHN1	714.9665	LPHN1	888.0813
LPHN2	857.156	LPHN2	1978.0292
LPHN3	12.924	LPHN3	300.3221
LPIN1	657.4586	LPIN1	1215.8256
LPIN2	1917.3445	LPIN2	1235.9792
LPIN3	335.3206	LPIN3	456.9951
LPL	1671.7876	LPL	4733.7904
LPO	381.0508	removed	removed
LPPR1	26.265	LPPR1	70.3725
LPPR2	1150.2399	LPPR2	385.2317
LPPR3	19.1776	LPPR3	103.4112
LPPR4	71.2907	LPPR4	125.2168
LPPR5	16.6762	removed	removed
LPP	522.3815	LPP	2273.7259
LPXN	437.333	LPXN	322.1277
LQK1	29.6002	LQK1	20.1536
LRAT	125.4883	LRAT	120.261
LRBA	3291.4622	LRBA	4911.8692
LRCH1	594.506	LRCH1	1065.1689
LRCH2	43.3581	LRCH2	56.8266
LRCH3	394.8087	LRCH3	561.3282
LRCH4	864.6602	LRCH4	477.4098
LRDD	159.2576	LRDD	128.1903
LRFN1	65.454	LRFN1	50.5493
LRFN2	40.8567	removed	removed
LRFN3	410.6511	LRFN3	124.556
LRFN4	295.5854	LRFN4	74.6675
LRFN5	15.4255	LRFN5	106.3847
LRG1	295.1685	LRG1	188.9816
LRGUK	13.7579	LRGUK	19.8232
LRIG1	3833.3757	LRIG1	6151.9584
LRIG2	166.7619	LRIG2	439.0848
LRIG3	454.843	LRIG3	1190.3857
LRIT3	12.0902	LRIT3	18.8321
LRMP	111.3135	LRMP	133.4765
LRP10	9083.1016	LRP10	4309.2426
LRP11	2016.9847	LRP11	990.1677
LRP12	311.4278	LRP12	625.7537
LRP1B	63.3695	LRP1B	25.4398
LRP1	21560.6409	LRP1	11752.2095
LRP2BP	48.7778	LRP2BP	117.9483
LRP2	362.2901	LRP2	5414.3884
LRP3	907.9891	LRP3	399.9207
LRP4	140.08	LRP4	410.2486
LRP5L	122.57	LRP5L	70.0421
LRP5	2232.9413	LRP5	2568.1011
LRP6	682.056	LRP6	2877.3437
LRP8	205.1171	LRP8	36.0122
LRPAP1	1833.1297	LRPAP1	1336.0866
LRPPRC	3830.9368	LRPPRC	5443.1321
LRRC10B	37.9383	LRRC10B	14.8674
LRRC14B	6.6705	removed	removed
LRRC14	628.3754	LRRC14	409.0757
LRRC15	14960.2065	LRRC15	71.3637
LRRC16A	675.8024	LRRC16A	812.4226
LRRC16B	16.6762	LRRC16B	16.8498
LRRC17	607.847	LRRC17	243.1651
LRRC1	787.5329	LRRC1	866.2757
LRRC20	193.4438	LRRC20	124.8864
LRRC23	170.514	LRRC23	189.9727
LRRC24	5.3197	removed	removed
LRRC25	199.2804	LRRC25	74.0068
LRRC26	23.3467	removed	removed
LRRC27	158.6114	LRRC27	277.195
LRRC28	245.1399	LRRC28	192.2855
LRRC29	35.4369	LRRC29	45.5935
LRRC2	15.0086	LRRC2	74.3372
LRRC31	419.4061	removed	removed
LRRC32	1496.2708	LRRC32	532.5845
LRRC33	175.5169	LRRC33	107.7063
LRRC34	35.02	LRRC34	61.4521
LRRC36	76.7105	LRRC36	8.9205
LRRC37A2	64.9579	LRRC37A2	186.9398
LRRC37A3	187.6071	LRRC37A3	120.261
LRRC37A4	141.7476	LRRC37A4	630.7624
LRRC37A	211.3707	LRRC37A	380.9366
LRRC37B2	160.9252	LRRC37B2	520.0297
LRRC37B	158.8407	LRRC37B	253.0767
LRRC39	8.0754	LRRC39	9.5911
removed	removed	LRRC3B	55.1747
LRRC3	67.5386	LRRC3	33.3691
LRRC40	283.0783	LRRC40	394.8129
LRRC41	3268.1155	LRRC41	1824.7295
LRRC42	948.875	LRRC42	525.3159
LRRC43	10.4226	LRRC43	8.2597
LRRC45	414.4032	LRRC45	196.2501
LRRC46	16.6762	LRRC46	22.136
LRRC47	816.2993	LRRC47	963.74
LRRC48	20.4283	LRRC48	98.1251
LRRC49	80.8795	LRRC49	174.7749
LRRC4B	15.8424	LRRC4B	19.4929
LRRC4C	42.5243	LRRC4C	113.6533
LRRC4	233.4666	LRRC4	19.4929
LRRC50	5.0029	LRRC50	30.0653
LRRC55	44.6088	LRRC55	38.3249
LRRC56	90.8852	LRRC56	57.8178
LRRC57	413.9863	LRRC57	455.9346
LRRC58	1077.2816	LRRC58	2140.2494
LRRC59	25497.4173	LRRC59	1443.7499
LRRC61	208.0354	LRRC61	156.6036
LRRC66	6.2536	LRRC66	8.9205
LRRC6	27.5157	LRRC6	72.3548
LRRC70	46.2389	LRRC70	97.8376
LRRC8A	1947.7785	LRRC8A	1480.4658
LRRC8B	674.1348	LRRC8B	826.9596
LRRC8C	398.1439	LRRC8C	771.7849
LRRC8D	857.9898	LRRC8D	1083.6706
LRRC8E	466.5163	LRRC8E	309.9034
LRRCC1	375.2142	LRRCC1	433.4682
LRRFIP1	3015.4713	LRRFIP1	3719.8315
LRRFIP2	776.2765	LRRFIP2	1000.7434
LRRIQ1	10.4226	LRRIQ1	43.2807
LRRIQ3	8.755	LRRIQ3	23.7879
LRRK1	395.2256	LRRK1	441.0672
LRRK2	362.2901	LRRK2	381.5974
LRRN1	410.6511	LRRN1	1904.6832
LRRN2	140.9138	LRRN2	178.0788
LRRN3	37.9383	LRRN3	70.0421
LRRN4CL	73.3752	LRRN4CL	196.9109
LRRTM2	15.4255	LRRTM2	107.0455
LRSAM1	753.3467	LRSAM1	468.1589
LRTOMT	298.1744	LRTOMT	292.1616
LRWD1	279.3261	LRWD1	110.019
LSAMP	14.1748	LSAMP	28.7437
LSG1	1316.5849	LSG1	871.5619
LSM10	800.04	LSM10	186.3385
LSM11	220.1257	LSM11	342.2813
LSM12	538.6408	LSM12	733.1296
LSM14A	2032.4102	LSM14A	3707.6072
LSM14B	1164.4147	LSM14B	855.0425
LSM1	889.2576	LSM1	336.6647
LSM2	721.6619	LSM2	480.3832
LSM3	668.7151	LSM3	565.6232
LSM4	1181.0909	LSM4	556.3723
LSM5	436.4992	LSM5	569.9182
LSM6	153.4209	LSM6	216.7341
LSM7	401.8961	LSM7	197.2413
LSMD1	719.5774	LSMD1	207.4833
LSP1	1617.1731	LSP1	829.9331
LSR	3077.5901	LSR	933.6747
LSS	1663.8665	LSS	681.9196
LST1	138.8292	LST1	66.4079
LTA4H	1547.1332	LTA4H	3117.5353
LTA	20.0114	LTA	5.2862
LTB4R2	45.822	LTB4R2	63.4146
LTB4R	151.0612	LTB4R	227.8913
LTBP1	1564.2262	LTBP1	866.6061
LTBP2	4870.2801	LTBP2	7769.0592
LTBP3	3127.8063	LTBP3	1973.4468
LTBP4	916.7733	LTBP4	1618.2374
LTBR	1249.0463	LTBR	955.4803
LTB	82.5471	LTB	28.0829
LTC4S	17.7101	LTC4S	9.307
LTF	914.6888	LTF	15694.0613
LTK	7.5043	LTK	9.9116
LTV1	421.4906	LTV1	633.683
LUC7L2	1565.477	LUC7L2	2769.5978
LUC7L3	5063.7239	LUC7L3	3415.8751
LUC7L	547.8127	LUC7L	634.3438
LUM	35637.0095	LUM	8018.8321
LUZP1	1231.5363	LUZP1	1632.444
LUZP2	25.0143	LUZP2	73.0156
LUZP6	3424.8717	LUZP6	4285.1243
LXN	411.4849	LXN	368.7123
LY6D	6.2536	LY6D	38.3249
LY6E	7249.9719	LY6E	2742.2152
LY6G5B	42.8328	LY6G5B	46.5846
LY6G5C	35.4369	LY6G5C	25.4398
LY6H	15.0086	removed	removed
LY6K	12.0902	LY6K	38.3249
LY75	385.5993	LY75	2374.0778
LY86	229.7145	LY86	67.399
LY96	140.9138	LY96	82.2665
LY9	78.795	LY9	53.5228
LYAR	148.0012	LYAR	244.817
removed	removed	LYG1	9.5812
LYL1	76.2936	LYL1	28.4133
LYNX1	86.7162	LYNX1	404.3942
LYN	725.831	LYN	929.3797
LYPD1	64.5327	LYPD1	12.8719
LYPD3	663.2953	LYPD3	607.252
LYPD5	54.6145	LYPD5	100.7682
LYPD6B	117.984	LYPD6B	226.9761
LYPD6	279.743	LYPD6	1287.1892
LYPLA1	1078.5323	LYPLA1	1349.3021
LYPLA2P1	48.3609	LYPLA2P1	45.2631
LYPLA2	1015.1628	LYPLA2	682.5803
LYPLAL1	358.9549	LYPLAL1	288.0978
LYRM1	331.4392	LYRM1	560.6674
LYRM2	918.1658	LYRM2	1223.1238
LYRM4	245.1399	LYRM4	294.0448
LYRM5	233.8835	LYRM5	370.0339
LYRM7	197.6128	LYRM7	615.5117
LYSMD1	465.2656	LYSMD1	252.416
LYSMD2	134.6602	LYSMD2	147.6832
LYSMD3	474.0206	LYSMD3	850.7475
LYSMD4	136.8198	LYSMD4	246.2906
LYST	722.9127	LYST	1628.149
LYVE1	333.5237	LYVE1	744.6932
LYZ	4247.8415	LYZ	2117.4527
LZIC	289.7487	LZIC	548.1127
LZTFL1	271.4049	LZTFL1	995.4572
LZTR1	1039.1348	LZTR1	680.3502
LZTS1	634.9458	LZTS1	572.8917
LZTS2	1379.9544	LZTS2	1092.9215
M6PR	2283.4285	M6PR	3423.1172
MAB21L1	48.7778	MAB21L1	195.5893
MACC1	645.3684	MACC1	897.6625
MACF1	6758.4413	MACF1	11183.9432
MACROD1	132.5757	MACROD1	126.5384
MACROD2	49.1947	MACROD2	217.3949
MAD1L1	234.3004	MAD1L1	245.4778
MAD2L1BP	559.0691	MAD2L1BP	341.2902
MAD2L1	284.329	MAD2L1	140.0842
MAD2L2	382.7185	MAD2L2	206.8225
MADD	1369.9487	MADD	1554.803
MAEA	1207.7728	MAEA	781.3662
MAF1	1978.6295	MAF1	1665.1524
MAFB	1226.9504	MAFB	1026.1832
MAFF	223.4609	MAFF	851.7387
MAFG	481.5249	MAFG	637.978
MAFK	290.716	MAFK	384.0324
MAF	899.6802	MAF	1326.8357
MAGEC1	27.5157	removed	removed
MAGED1	13320.9374	MAGED1	2563.1453
MAGED2	14690.0522	MAGED2	7646.4855
MAGED4B	1203.2619	MAGED4B	395.1268
MAGED4	395.9844	MAGED4	112.0178
MAGEE1	287.2473	MAGEE1	203.1882
removed	removed	MAGEE2	10.242
MAGEF1	1173.5866	MAGEF1	916.4946
removed	removed	MAGEH1	425.2086
MAGEL2	49.6117	MAGEL2	16.189
MAGI1	464.0149	MAGI1	1999.174
MAGI2	150.0857	MAGI2	315.5199
MAGI3	484.4432	MAGI3	1785.7438
MAGIX	47.944	MAGIX	22.136
MAGOHB	144.249	MAGOHB	216.7341
MAGOH	472.7699	MAGOH	369.7035
MAGT1	1773.5124	MAGT1	2947.0554
MAK16	247.0494	MAK16	543.8374
MAK	9.1719	MAK	21.8056
MAL2	2319.6575	MAL2	3573.4699
MALAT1	2142.6356	MALAT1	2456.9852
MALL	426.9104	MALL	656.8101
MALT1	484.4432	MALT1	697.4478
MAL	32.5186	MAL	12.8851
MAMDC2	165.7696	MAMDC2	1020.1834
MAMDC4	25.0143	MAMDC4	20.1536
MAML1	1820.0056	MAML1	1637.0133
MAML2	464.8487	MAML2	2175.6009
MAML3	436.0823	MAML3	794.2513
MAMLD1	100.8909	MAMLD1	138.4323
MAMSTR	15.0086	MAMSTR	11.8939
MAN1A1	1684.7117	MAN1A1	1658.2143
MAN1A2	635.7796	MAN1A2	1384.6535
MAN1B1	2229.1892	MAN1B1	1611.2992
MAN1C1	225.5454	MAN1C1	236.5574
MAN2A1	1060.6054	MAN2A1	931.362
MAN2A2	1172.3359	MAN2A2	1388.9485
MAN2B1	2479.332	MAN2B1	1463.2857
MAN2B2	2541.0338	MAN2B2	1335.7562
MAN2C1	674.5517	MAN2C1	849.7563
MANBAL	833.3924	MANBAL	1109.1104
MANBA	1912.7585	MANBA	1304.3694
MANEAL	538.6408	MANEAL	235.2358
MANEA	294.7516	MANEA	572.8917
MANF	861.7419	MANF	568.9271
MANSC1	518.2125	MANSC1	1051.623
MAOA	486.9446	MAOA	1126.9514
MAOB	998.9035	MAOB	1708.7635
MAP1A	1128.5609	MAP1A	726.1915
MAP1B	1835.6312	MAP1B	2239.3657
MAP1D	40.0228	MAP1D	79.9537
MAP1LC3A	262.233	MAP1LC3A	171.8014
MAP1LC3B2	348.9492	MAP1LC3B2	233.2535
MAP1LC3B	2265.4599	MAP1LC3B	2056.6614
MAP1LC3C	11.2564	MAP1LC3C	51.21
MAP1S	932.6157	MAP1S	299.9917
MAP2K1	896.7077	MAP2K1	854.2496
MAP2K2	1653.4438	MAP2K2	1062.5258
MAP2K3	895.9281	MAP2K3	800.859
MAP2K4	969.7202	MAP2K4	1145.1227
MAP2K5	333.9406	MAP2K5	456.9257
MAP2K6	202.6157	MAP2K6	326.7531
MAP2K7	625.7739	MAP2K7	687.8665
MAP2	184.6888	MAP2	625.7537
MAP3K10	122.1531	MAP3K10	100.1074
MAP3K11	1681.3765	MAP3K11	861.9807
MAP3K12	135.6274	MAP3K12	206.2674
MAP3K13	61.7978	MAP3K13	95.8619
MAP3K14	270.5711	MAP3K14	495.5811
MAP3K1	1254.0492	MAP3K1	3819.9389
MAP3K2	683.3067	MAP3K2	989.8406
MAP3K3	1734.0315	MAP3K3	1034.618
MAP3K4	659.1263	MAP3K4	1148.7569
MAP3K5	396.4763	MAP3K5	843.479
MAP3K6	429.8287	MAP3K6	475.0971
MAP3K7	687.4758	MAP3K7	875.5266
MAP3K8	120.4854	MAP3K8	404.0638
MAP3K9	102.9754	MAP3K9	184.3562
MAP4K1	159.6745	MAP4K1	77.9714
MAP4K2	595.7567	MAP4K2	263.3187
MAP4K3	677.4701	MAP4K3	1151.0696
MAP4K4	3326.4822	MAP4K4	2300.8177
MAP4K5	999.7374	MAP4K5	1717.0232
MAP4	5915.877	MAP4	6158.0904
MAP6D1	42.9412	MAP6D1	29.4045
MAP6	181.3535	MAP6	136.7804
MAP7D1	2689.035	MAP7D1	992.4837
removed	removed	MAP7D2	10.9028
MAP7D3	177.1845	MAP7D3	281.8204
MAP7	1540.0458	MAP7	1164.9459
MAP9	459.4289	MAP9	879.1608
MAPK10	84.2147	MAPK10	199.2236
MAPK11	181.7704	MAPK11	176.7572
MAPK12	68.0388	MAPK12	77.9945
MAPK13	1100.2114	MAPK13	801.1894
MAPK14	1106.8818	MAPK14	1626.1667
MAPK15	17.51	MAPK15	35.0211
MAPK1IP1L	1955.2828	MAPK1IP1L	2173.6186
MAPK1	3131.7877	MAPK1	4043.9415
MAPK3	1824.0871	MAPK3	1404.969
MAPK4	7.9212	MAPK4	102.7505
MAPK6	1067.6928	MAPK6	1121.0044
MAPK7	449.4232	MAPK7	237.6807
MAPK8IP1	322.6842	MAPK8IP1	229.6192
MAPK8IP2	511.9589	MAPK8IP2	105.3936
MAPK8IP3	536.1394	MAPK8IP3	601.6354
MAPK8	248.8921	MAPK8	531.2629
MAPK9	1542.5472	MAPK9	1076.4021
MAPKAP1	1507.5272	MAPKAP1	1594.7799
MAPKAPK2	5552.753	MAPKAPK2	2084.7444
MAPKAPK3	842.9812	MAPKAPK3	751.6313
MAPKAPK5	507.965	MAPKAPK5	529.8125
MAPKBP1	548.6465	MAPKBP1	1100.8507
MAPKSP1	741.6734	MAPKSP1	1395.2259
MAPRE1	2834.1178	MAPRE1	2726.0263
MAPRE2	997.6528	MAPRE2	937.9698
MAPRE3	286.8304	MAPRE3	311.8857
MAPT	355.6197	MAPT	2650.0372
MARCH10	6.0743	removed	removed
removed	removed	MARCH11	10.9028
MARCH1	108.3952	MARCH1	71.3637
MARCH2	940.12	MARCH2	414.9665
MARCH3	312.2616	MARCH3	63.7648
MARCH4	11.2564	removed	removed
MARCH5	1071.028	MARCH5	1425.2912
MARCH6	2005.3114	MARCH6	3422.8132
MARCH7	1646.3565	MARCH7	2697.613
MARCH8	372.7128	MARCH8	857.6856
MARCH9	370.6282	MARCH9	165.1937
MARCKSL1	4912.8044	MARCKSL1	3608.1606
MARCKS	5766.2082	MARCKS	6059.6349
MARCO	7.0874	MARCO	81.6057
MARK1	156.7561	MARK1	216.7341
MARK2	1954.0321	MARK2	1768.894
MARK3	1239.0406	MARK3	1082.3491
MARK4	721.6619	MARK4	653.5062
MARS2	200.1142	MARS2	242.1739
MARS	1871.9686	MARS	1040.6542
MARVELD1	1748.8942	MARVELD1	1285.4349
MARVELD2	627.0246	MARVELD2	496.9026
MARVELD3	564.2804	MARVELD3	345.8958
MASP1	10.4226	MASP1	67.7294
MASP2	25.8481	MASP2	78.9626
removed	removed	MAST1	9.9116
MAST2	1793.1069	MAST2	996.7787
MAST3	379.8001	MAST3	315.1896
MAST4	745.8424	MAST4	1205.2532
MASTL	250.1428	MASTL	347.5675
removed	removed	MAT1A	16.5194
MAT2A	3414.866	MAT2A	4060.1305
MAT2B	1186.0937	MAT2B	2172.9578
MATK	57.9497	MATK	129.8422
MATN2	706.2365	MATN2	4700.0909
MATN3	644.9515	MATN3	85.2399
removed	removed	MATN4	8.9205
MATR3	5900.4515	MATR3	9922.762
MAVS	3304.8032	MAVS	3892.6241
MAX	1975.2942	MAX	1225.0764
MAZ	3552.653	MAZ	2300.745
MBD1	886.3393	MBD1	1109.1104
MBD2	1402.0503	MBD2	1457.9995
MBD3	958.8807	MBD3	654.167
MBD4	735.4198	MBD4	889.0724
MBD5	379.8001	MBD5	593.3757
MBD6	1685.1286	MBD6	1115.3878
MBIP	269.3204	MBIP	489.6341
removed	removed	MBL1P	5.947
MBLAC1	36.2707	MBLAC1	12.2243
MBLAC2	133.8264	MBLAC2	428.8428
MBNL1	2132.4089	MBNL1	4122.7092
MBNL2	1646.7734	MBNL2	3381.1844
MBNL3	48.3609	MBNL3	175.1053
MBOAT1	718.3267	MBOAT1	790.2866
MBOAT2	1107.2987	MBOAT2	537.2099
MBOAT7	2109.1206	MBOAT7	681.9196
MBP	719.9943	MBP	1316.5937
MBTD1	1480.0115	MBTD1	1479.4747
MBTPS1	5881.6908	MBTPS1	5042.7026
MBTPS2	550.9437	MBTPS2	785.3308
MB	713.3239	MB	193.607
MC1R	56.2821	MC1R	23.1271
MCAM	2659.0179	MCAM	3033.2865
MCART1	293.084	MCART1	185.3473
MCART2	6.6705	MCART2	9.2508
MCART6	17.9269	MCART6	12.5547
MCAT	226.7961	MCAT	227.6369
MCCC1	338.5266	MCCC1	688.1969
MCCC2	5670.737	MCCC2	3148.5917
removed	removed	MCCD1	7.9293
MCC	483.6094	MCC	1577.9301
MCEE	127.5728	MCEE	204.8402
MCF2L2	6.6705	MCF2L2	19.1625
MCF2L	1520.0635	MCF2L	833.5773
MCFD2	1865.6483	MCFD2	3257.9863
MCHR1	5.0029	removed	removed
MCL1	8644.5179	MCL1	10526.1419
MCM10	132.1588	MCM10	31.7172
MCM2	1003.0726	MCM2	557.3635
MCM3APAS	24.8392	MCM3APAS	62.0831
MCM3AP	1987.1427	MCM3AP	2345.1194
MCM3	1818.1212	MCM3	1777.4841
MCM4	1495.437	MCM4	1054.9269
MCM5	1036.0081	MCM5	651.8543
MCM6	1193.598	MCM6	769.8026
MCM7	1815.0236	MCM7	1802.0947
MCM8	293.9178	MCM8	218.3861
MCM9	109.229	MCM9	127.5295
MCOLN1	684.9743	MCOLN1	288.4282
MCOLN2	44.1919	MCOLN2	23.1271
MCOLN3	23.7636	MCOLN3	79.9537
MCPH1	170.0596	MCPH1	646.3831
MCRS1	1048.0983	MCRS1	757.2479
MCTP1	134.2433	MCTP1	225.3242
MCTP2	77.5443	MCTP2	422.8958
MCTS1	705.8196	MCTS1	914.8427
MDC1	1063.5238	MDC1	1256.4632
MDFIC	777.9441	MDFIC	1118.3613
MDFI	175.9338	MDFI	167.5064
MDGA1	119.6516	MDGA1	51.21
MDH1B	23.3467	MDH1B	64.7559
MDH1	1952.7814	MDH1	2048.0714
MDH2	3469.4805	MDH2	2229.1236
MDK	2132.8842	MDK	1151.0696
MDM1	196.779	MDM1	370.6946
MDM2	1567.9784	MDM2	2287.9326
MDM4	1051.8504	MDM4	1433.8812
MDN1	1092.7071	MDN1	3343.1899
MDP1	286.2217	MDP1	169.9083
ME1	471.5192	ME1	173.123
ME2	713.3239	ME2	600.6443
removed	removed	ME3	301.3133
MEA1	933.4495	MEA1	735.4225
MEAF6	1914.4262	MEAF6	1556.1246
MECOM	244.723	MECOM	396.7952
MECP2	1194.0149	MECP2	2399.6035
MECR	169.2633	MECR	326.7531
MED10	303.9235	MED10	323.7796
MED11	217.2073	MED11	211.7783
MED12L	11.6733	MED12L	16.5194
MED12	2210.0115	MED12	2015.6934
MED13L	2967.1104	MED13L	5831.0069
MED13	2664.8545	MED13	3253.6549
MED14	1157.7442	MED14	1344.3462
MED15	2135.8025	MED15	1195.3415
MED16	1638.4353	MED16	775.4192
MED17	336.0251	MED17	730.4865
MED18	225.9623	MED18	296.3575
MED19	271.8218	MED19	196.9109
MED1	1242.3759	MED1	2362.9305
MED20	473.6037	MED20	588.4199
MED21	603.261	MED21	630.3791
MED22	634.9458	MED22	623.1106
MED23	1167.7499	MED23	1592.1368
MED24	1120.2228	MED24	1681.6718
MED25	1205.2713	MED25	460.3089
MED26	225.1285	MED26	199.554
MED27	308.5094	MED27	152.3086
MED28	575.7453	MED28	800.5286
MED29	1566.3108	MED29	1533.6582
MED30	80.8795	MED30	149.9959
MED31	83.1058	MED31	131.3257
MED4	694.9801	MED4	897.0017
MED6	335.6082	MED6	362.1046
MED7	223.044	MED7	253.4071
MED8	813.381	MED8	431.1555
MED9	286.8304	MED9	406.0461
MEF2A	1427.8234	MEF2A	2138.7759
MEF2B	16.6887	MEF2B	10.6913
MEF2C	648.7036	MEF2C	1093.2518
MEF2D	2277.5501	MEF2D	1628.149
removed	removed	MEFV	8.5901
MEG3	149.2519	MEG3	171.8014
MEGF10	65.0371	MEGF10	205.8313
MEGF6	484.8601	MEGF6	550.4254
MEGF8	713.3239	MEGF8	1503.2626
MEGF9	3468.2298	MEGF9	3028.9915
MEI1	32.5186	MEI1	48.5669
MEIS1	182.1873	MEIS1	268.9353
MEIS2	149.6688	MEIS2	506.4839
MEIS3P1	548.6465	MEIS3P1	766.4987
MEIS3	316.4306	MEIS3	262.658
MELK	230.9652	MELK	42.62
MEMO1	255.3416	MEMO1	253.1428
MEN1	1096.8761	MEN1	662.0963
MEOX1	94.2205	MEOX1	357.4791
MEOX2	190.1085	MEOX2	431.8163
MEP1A	6.6705	removed	removed
MEPCE	1329.5089	MEPCE	1209.2178
MERTK	306.008	MERTK	594.3669
MESDC1	551.5649	MESDC1	265.9618
MESDC2	1438.7379	MESDC2	1232.6753
MESP1	17.51	MESP1	27.4222
MESP2	23.7636	MESP2	8.9205
removed	removed	MESTIT1	11.8939
MEST	848.8179	MEST	2283.3072
METAP1	937.6186	METAP1	1729.5779
