gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
ADAM23	32.1017	ADAM23	15.1978
ADAM28	116.7333	ADAM28	95.482
ADAM29	32.5186	removed	removed
ADAM32	37.5214	ADAM32	39.9769
ADAM33	99.6402	ADAM33	321.9988
ADAM6	31140.4093	ADAM6	40778.0887
ADAM8	880.5026	ADAM8	48.5669
ADAM9	1857.7271	ADAM9	2195.4241
ADAMDEC1	278.4923	ADAMDEC1	25.4398
ADAMTS10	167.1788	ADAMTS10	91.5173
ADAMTS12	1386.208	ADAMTS12	177.0876
ADAMTS13	12.5071	ADAMTS13	42.9504
ADAMTS14	255.9795	removed	removed
ADAMTS15	94.6374	ADAMTS15	189.6424
ADAMTS16	758.7665	ADAMTS16	25.4398
ADAMTS17	48.7778	ADAMTS17	36.0122
ADAMTS18	33.7693	ADAMTS18	104.4024
ADAMTS19	10.8395	ADAMTS19	8.5901
ADAMTS1	565.3227	ADAMTS1	2416.1229
ADAMTS2	1693.4667	ADAMTS2	262.9884
ADAMTS3	37.9383	ADAMTS3	116.9571
ADAMTS4	1350.3542	ADAMTS4	57.4874
ADAMTS5	630.3598	ADAMTS5	3034.6081
ADAMTS6	110.8966	ADAMTS6	17.5105
ADAMTS7	486.9446	ADAMTS7	28.7437
ADAMTS8	28.3495	ADAMTS8	117.2875
ADAMTS9	395.2256	ADAMTS9	734.7815
ADAMTSL1	225.9623	ADAMTSL1	138.7627
ADAMTSL2	519.4632	ADAMTSL2	11.2332
ADAMTSL3	197.6128	ADAMTSL3	137.1108
ADAMTSL4	175.1	ADAMTSL4	345.2548
ADAMTSL5	57.5328	ADAMTSL5	38.3249
ADAP1	119.9393	ADAP1	83.6045
ADAP2	396.8932	ADAP2	201.5363
ADARB1	828.3895	ADARB1	796.564
ADAR	18831.583	ADAR	7776.6581
ADAT1	479.8573	ADAT1	473.4451
ADAT2	82.1302	ADAT2	245.1474
ADAT3	19.1776	ADAT3	6.9381
ADA	152.1702	ADA	55.5051
ADCK1	348.5323	ADCK1	134.7981
ADCK2	975.14	ADCK2	667.0521
ADCK4	469.8515	ADCK4	433.7986
ADCK5	102.5585	ADCK5	52.5316
ADCY1	732.9184	ADCY1	275.2127
ADCY2	351.4506	ADCY2	72.3548
ADCY3	850.2604	ADCY3	1209.1055
ADCY4	180.9366	ADCY4	286.1155
ADCY5	240.554	ADCY5	311.5553
ADCY6	1123.1411	ADCY6	2224.1678
ADCY7	1034.7573	ADCY7	498.2242
removed	removed	ADCY8	5.6166
ADCY9	558.2353	ADCY9	674.651
ADCYAP1R1	30.0171	ADCYAP1R1	53.5228
removed	removed	ADCYAP1	6.6077
ADC	212.2045	ADC	153.2997
ADD1	6297.3447	ADD1	5916.5772
ADD2	12.5071	ADD2	56.1659
ADD3	1268.6408	ADD3	3320.7235
ADH1A	14.1748	ADH1A	43.6111
ADH1B	2786.5907	ADH1B	6456.4302
ADH1C	59.6174	ADH1C	203.5186
ADH4	5.0029	ADH4	21.8056
ADH5	1798.9436	ADH5	3221.6073
ADHFE1	30.8509	ADHFE1	228.2977
ADI1	1422.0618	ADI1	1132.2375
ADIPOQ	2653.1812	ADIPOQ	4737.0942
ADIPOR1	5232.9872	ADIPOR1	2328.5702
ADIPOR2	1437.9041	ADIPOR2	2006.4426
ADK	227.6299	ADK	333.0305
ADM2	227.213	ADM2	78.6322
ADM	136.3278	ADM	164.8633
ADNP2	1033.5066	ADNP2	920.7896
ADNP	4643.484	ADNP	4041.6288
ADORA1	105.4769	ADORA1	565.2928
ADORA2A	416.9046	ADORA2A	88.8742
ADORA2B	34.1862	ADORA2B	83.9184
ADORA3	300.5883	ADORA3	154.6213
ADO	719.1605	ADO	820.6822
ADPGK	969.9245	ADPGK	907.2504
ADPRHL1	194.2776	ADPRHL1	83.588
ADPRHL2	1120.2228	ADPRHL2	486.3302
ADPRH	324.7687	ADPRH	362.1046
removed	removed	ADRA1A	8.9205
ADRA1B	15.4255	ADRA1B	17.8409
ADRA1D	7.0874	removed	removed
ADRA2A	572.4101	ADRA2A	617.494
removed	removed	ADRA2B	9.9116
ADRA2C	25.4312	ADRA2C	22.136
ADRB1	7.0874	ADRB1	15.8586
ADRB2	38.3552	ADRB2	118.9395
ADRB3	5.4198	removed	removed
ADRBK1	2368.4353	ADRBK1	1345.007
ADRBK2	760.4341	ADRBK2	1635.0871
ADRM1	1750.9995	ADRM1	602.6266
ADSL	814.2148	ADSL	888.4117
ADSSL1	56.699	ADSSL1	83.2576
ADSS	1851.4735	ADSS	1559.098
AEBP1	40036.6042	AEBP1	3450.5658
AEBP2	258.064	AEBP2	974.6428
AEN	431.0794	AEN	364.7477
AES	7525.1289	AES	4252.0856
AFAP1L1	312.6785	AFAP1L1	296.0271
AFAP1L2	490.2799	AFAP1L2	1003.7169
AFAP1	2060.7513	AFAP1	1627.8087
AFF1	2142.8899	AFF1	2837.6972
AFF2	30.0171	AFF2	56.8266
AFF3	2215.4313	AFF3	3501.4454
AFF4	3412.7815	AFF4	5610.3081
AFG3L1	225.9623	AFG3L1	222.3507
AFG3L2	1236.8644	AFG3L2	1383.3947
AFMID	798.7893	AFMID	469.4805
AFP	183.855	AFP	296.0271
AFTPH	1360.7768	AFTPH	2283.968
AG2	136.7447	AG2	55.1747
AGAP11	22.9298	AGAP11	162.5605
AGAP1	472.353	AGAP1	779.7142
AGAP2	103.0255	AGAP2	74.8393
AGAP3	1077.6985	AGAP3	1153.3823
AGAP4	149.2519	AGAP4	238.2093
AGAP5	33.3524	AGAP5	80.7995
AGAP6	92.5528	AGAP6	134.4677
AGAP7	7.9212	AGAP7	6.6077
AGAP8	27.5157	AGAP8	98.1251
AGA	598.2582	AGA	441.0672
AGBL2	6.2536	AGBL2	16.189
removed	removed	AGBL3	6.9381
AGBL4	5.8367	AGBL4	11.8939
AGBL5	534.059	AGBL5	833.2436
AGER	22.9298	AGER	51.8708
AGFG1	1369.1149	AGFG1	1861.0721
AGFG2	269.7373	AGFG2	421.9047
AGGF1	915.9395	AGGF1	1144.4619
AGK	456.9275	AGK	605.2697
AGL	1374.1177	AGL	1698.8519
