gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
removed	removed	MOGAT2	40.5447
MOGS	1439.0132	MOGS	1152.2748
MON1A	188.6706	MON1A	184.7725
MON1B	627.6839	MON1B	709.0684
MON2	1149.8401	MON2	1839.6781
MORC2	1836.9118	MORC2	1069.6379
MORC3	640.4751	MORC3	1251.9344
MORC4	756.5098	MORC4	615.9084
MORF4L1	2550.0228	MORF4L1	3653.0486
MORF4L2	8315.2079	MORF4L2	3479.7184
MORN1	124.2577	MORN1	122.8722
MORN2	376.8844	MORN2	171.7734
MORN3	22.3847	MORN3	8.9755
MORN4	235.2672	MORN4	294.9551
MORN5	13.7049	removed	removed
MOSC1	481.9552	MOSC1	474.1566
MOSC2	285.5185	MOSC2	433.3024
MOSPD1	219.2782	MOSPD1	224.0792
MOSPD2	365.9205	MOSPD2	359.022
MOSPD3	331.2015	MOSPD3	250.0774
MOV10	1071.2654	MOV10	1002.1665
MOXD1	124.2577	MOXD1	51.0678
MPDU1	927.3778	MPDU1	620.2414
MPDZ	372.3161	MPDZ	2274.528
MPEG1	2237.5514	MPEG1	480.6561
MPG	998.1727	MPG	505.7258
MPHOSPH10	961.6263	MPHOSPH10	884.8654
MPHOSPH6	717.6793	MPHOSPH6	339.8329
MPHOSPH8	513.0196	MPHOSPH8	1539.771
MPHOSPH9	271.3568	MPHOSPH9	160.0124
MPI	592.9648	MPI	632.0025
MPL	11.8776	MPL	33.1167
MPND	681.5898	MPND	251.3154
MPO	9.5934	MPO	12.6896
MPP1	729.1	MPP1	319.7153
MPP2	397.4418	MPP2	318.7868
MPP3	144.3582	MPP3	116.3726
MPP5	830.0594	MPP5	1467.0381
MPP6	27.8666	MPP6	86.97
MPP7	394.7008	MPP7	1086.351
MPPE1	315.6693	MPPE1	805.3234
removed	removed	MPPED1	7.1185
MPPED2	5.0251	MPPED2	277.3135
MPRIP	1133.3942	MPRIP	2482.2037
MPST	1043.8556	MPST	539.152
MPV17L2	719.9635	MPV17L2	169.6069
MPV17L	178.6204	MPV17L	271.1235
MPV17	1093.1932	MPV17	542.5565
MPZL1	3213.7963	MPZL1	5839.0591
MPZL2	422.1106	MPZL2	856.3912
MPZL3	24.6688	MPZL3	88.5175
MPZ	11.8776	MPZ	22.9031
MR1	186.3865	MR1	203.6521
MRAP2	38.8305	MRAP2	116.3726
removed	removed	MRAP	7.363
MRAS	321.608	MRAS	1601.0523
MRC1	577.4326	MRC1	159.3934
MRC2	960.2558	MRC2	1912.411
MRE11A	464.5957	MRE11A	727.329
MREG	1167.1996	MREG	987.8644
MRFAP1L1	711.7405	MRFAP1L1	1505.1068
MRFAP1	3125.6281	MRFAP1	5938.7187
MRGPRF	26.9529	MRGPRF	412.8753
removed	removed	MRGPRX3	50.7583
MRI1	730.9274	MRI1	602.9093
MRM1	160.804	MRM1	111.4206
removed	removed	MRO	34.3547
MRP63	829.4929	MRP63	595.1656
MRPL10	1329.831	MRPL10	852.9867
MRPL11	737.323	MRPL11	559.5791
MRPL12	3621.7451	MRPL12	458.372
MRPL13	2145.2718	MRPL13	394.6147
MRPL14	854.2714	MRPL14	437.6354
MRPL15	1154.4084	MRPL15	567.0071
MRPL16	783.9196	MRPL16	570.7211
MRPL17	1057.1037	MRPL17	533.2714
MRPL18	772.4989	MRPL18	640.978
MRPL19	1382.3664	MRPL19	1198.7001
MRPL1	391.0461	MRPL1	306.7162
MRPL20	1470.6167	MRPL20	886.0569
MRPL21	499.3148	MRPL21	325.9053
MRPL22	339.8812	MRPL22	301.7642
MRPL23	279.5797	MRPL23	297.4311
MRPL24	824.1206	MRPL24	842.4636
MRPL27	1391.9598	MRPL27	497.9882
MRPL28	1289.63	MRPL28	490.8697
MRPL2	605.2992	MRPL2	428.6599
MRPL30	822.4486	MRPL30	972.312
MRPL32	581.5441	MRPL32	713.0919
MRPL33	582.4577	MRPL33	432.3739
MRPL34	1000.4568	MRPL34	457.4435
MRPL35	953.8602	MRPL35	828.8456
MRPL36	388.3052	MRPL36	208.9136
MRPL37	1377.7981	MRPL37	951.4082
MRPL38	1977.4874	MRPL38	581.1297
MRPL39	359.0681	MRPL39	338.9044
MRPL3	3880.3106	MRPL3	1421.5413
MRPL40	906.3499	MRPL40	510.9873
MRPL41	1398.3554	MRPL41	320.3343
MRPL42P5	9.6254	removed	removed
MRPL42	662.4029	MRPL42	552.4605
MRPL43	1146.7839	MRPL43	905.4998
MRPL44	603.0151	MRPL44	471.6806
MRPL45	1619.9178	MRPL45	1017.0226
MRPL46	430.7903	MRPL46	323.7388
MRPL47	1142.5308	MRPL47	325.2863
MRPL48	332.1151	MRPL48	317.5487
MRPL49	2506.1672	MRPL49	1563.4881
MRPL4	1567.3824	MRPL4	640.0495
MRPL50	465.0525	MRPL50	377.9016
MRPL51	1319.7807	MRPL51	1117.3011
MRPL52	659.6619	MRPL52	365.5215
MRPL53	545.4545	MRPL53	308.8827
MRPL54	569.2097	MRPL54	389.9721
MRPL55	617.6336	MRPL55	301.4547
MRPL9	891.206	MRPL9	870.4519
MRPS10	802.6496	MRPS10	723.9245
MRPS11	1042.4852	MRPS11	340.4519
MRPS12	724.9886	MRPS12	286.5986
MRPS14	497.4874	MRPS14	372.9496
MRPS15	1518.0448	MRPS15	574.7447
MRPS16	2818.9584	MRPS16	1220.2693
MRPS17	335.7698	MRPS17	238.2358
MRPS18A	588.8534	MRPS18A	513.4633
MRPS18B	1021.471	MRPS18B	1350.6654
MRPS18C	289.6985	MRPS18C	256.3324
MRPS21	1653.2663	MRPS21	828.5361
MRPS22	919.1412	MRPS22	437.3259
MRPS23	1709.4564	MRPS23	485.2987
MRPS24	840.1096	MRPS24	655.5246
MRPS25	1022.6587	MRPS25	949.2851
MRPS26	633.1658	MRPS26	640.6685
MRPS27	1004.1115	MRPS27	1687.0938
MRPS28	492.9466	MRPS28	266.4036
MRPS2	1642.1471	MRPS2	707.1031
MRPS30	487.4372	MRPS30	361.8075
MRPS31	227.958	MRPS31	382.8536
MRPS33	677.0215	MRPS33	500.1548
MRPS34	1285.5185	MRPS34	623.3364
MRPS35	1145.2718	MRPS35	1113.2776
MRPS36	316.5829	MRPS36	316.3107
MRPS5	794.8835	MRPS5	623.6459
MRPS6	595.8794	MRPS6	594.3856
MRPS7	2879.2873	MRPS7	828.7837
MRPS9	502.9694	MRPS9	532.6524
MRRF	879.8538	MRRF	438.8734
MRS2	356.3271	MRS2	620.2414
MRTO4	996.3454	MRTO4	750.2321
MRVI1	125.6281	MRVI1	1161.5599
MS4A14	54.7053	MS4A14	64.4537
MS4A15	107.8118	removed	removed
MS4A1	373.2298	MS4A1	58.1863
MS4A2	102.7867	MS4A2	13.9276
MS4A4A	470.9913	MS4A4A	63.1383
MS4A6A	2062.1288	MS4A6A	408.2327
MS4A7	435.4728	MS4A7	310.6623
MSC	137.8301	MSC	67.6385
MSH2	1365.9205	MSH2	758.8982
MSH3	259.9315	MSH3	575.8527
MSH5	139.7899	MSH5	165.8743
MSH6	1946.0941	MSH6	1305.1687
MSI1	7.3093	MSI1	80.7799
MSI2	784.8333	MSI2	329.6193
MSL1	4097.7615	MSL1	2120.7057
MSL2	1322.0649	MSL2	1402.0427
MSL3L2	171.7679	MSL3L2	99.969
MSL3	721.7908	MSL3	652.1201
MSLN	8.2229	MSLN	7.428
MSMB	15.5322	MSMB	16.4036
MSMP	27.4098	MSMP	51.3773
MSN	7643.2161	MSN	6924.1721
MSR1	1236.1809	MSR1	182.606
MSRA	88.6249	MSRA	218.8177
MSRB2	425.3084	MSRB2	387.1866
MSRB3	176.7931	MSRB3	3452.4915
MST1P2	23.2983	MST1P2	250.0774
removed	removed	MST1P9	72.7329
MST1R	252.6268	MST1R	347.8799
MST1	16.9027	MST1	95.9455
MST4	124.2577	MST4	509.7493
removed	removed	MSTN	10.5231
MSTO1	572.5308	MSTO1	571.1544
MSTO2P	68.5975	MSTO2P	140.2012
MSX1	20.1005	MSX1	38.6877
MSX2P1	6.8524	removed	removed
MSX2	817.2682	MSX2	521.8199
removed	removed	MT1A	8.3565
MT1E	157.6062	MT1E	752.7081
MT1F	37.9169	MT1F	137.7283
MT1G	8.6798	MT1G	138.9663
removed	removed	MT1L	62.2098
removed	removed	MT1M	94.0885
MT1X	190.4979	MT1X	882.6989
MT2A	1439.9269	MT2A	1076.7564
MTA1	1148.4696	MTA1	1119.1582
MTA2	2143.9013	MTA2	1548.437
MTA3	911.3751	MTA3	928.8146
MTAP	837.3687	MTAP	992.2625
MTBP	416.1718	MTBP	99.6595
MTCH1	2199.1777	MTCH1	3269.576
MTCH2	1487.894	MTCH2	985.1439
MTCP1NB	303.5039	MTCP1NB	253.2529
MTCP1	56.4778	MTCP1	35.8217
MTDH	10895.8429	MTDH	3007.1185
MTERFD1	1165.3723	MTERFD1	264.9335
MTERFD2	224.3033	MTERFD2	504.4878
MTERFD3	382.8232	MTERFD3	545.0325
MTERF	221.1055	MTERF	269.8855
MTF1	796.7108	MTF1	822.346
MTF2	454.0886	MTF2	537.914
MTFMT	169.4838	MTFMT	202.4141
MTFR1	1615.8063	MTFR1	434.0823
MTG1	743.2618	MTG1	445.0634
MTHFD1L	299.2234	MTHFD1L	129.3717
MTHFD1	2576.085	MTHFD1	1334.5342
MTHFD2L	263.947	MTHFD2L	228.0873
MTHFD2	3476.0164	MTHFD2	842.7731
MTHFR	569.1457	MTHFR	824.3454
MTHFSD	280.9502	MTHFSD	299.2881
MTHFS	225.6738	MTHFS	234.6023
MTIF2	948.3783	MTIF2	792.3244
MTIF3	646.8707	MTIF3	735.6855
MTL5	645.0434	MTL5	287.5271
MTM1	389.2188	MTM1	419.0653
MTMR10	380.5939	MTMR10	1153.4695
MTMR11	200.5482	MTMR11	357.4745
MTMR12	2170.3974	MTMR12	2106.1591
MTMR14	1200.5482	MTMR14	604.7663
MTMR15	369.5203	MTMR15	990.7583
MTMR1	1032.4349	MTMR1	954.1937
MTMR2	571.037	MTMR2	753.3271
MTMR3	1994.0612	MTMR3	2472.2996
MTMR4	2089.5386	MTMR4	1414.4228
MTMR6	641.8456	MTMR6	955.7413
MTMR7	19.1046	MTMR7	48.8579
removed	removed	MTMR8	13.3086
MTMR9L	47.0534	MTMR9L	208.6041
MTMR9	252.1699	MTMR9	578.0501
MTO1	658.7483	MTO1	455.5865
MTOR	1517.1311	MTOR	2093.779
MTP18	659.1549	MTP18	173.4478
MTPAP	723.1613	MTPAP	572.4636
MTRF1L	279.5797	MTRF1L	203.9616
MTRF1	130.1964	MTRF1	144.2278
MTRR	746.0027	MTRR	694.8313
MTR	1057.1037	MTR	2001.5475
MTSS1L	877.1128	MTSS1L	1163.1074
MTSS1	1951.1192	MTSS1	973.061
MTUS1	1373.6866	MTUS1	3473.5376
removed	removed	MTUS2	17.6416
MTX1	662.8506	MTX1	315.2306
MTX2	571.037	MTX2	430.5169
MTX3	340.3381	MTX3	975.2399
removed	removed	MUC13	64.6859
MUC15	8.2229	MUC15	385.0201
MUC16	5.9388	MUC16	219.4367
MUC1	4685.2444	MUC1	3147.0133
MUC20	280.9502	MUC20	167.4404
MUC4	43.3988	MUC4	18.8796
MUC5B	45.683	MUC5B	222.2222
removed	removed	MUC6	1332.4048
MUCL1	45.683	MUCL1	31969.6688
MUDENG	809.0452	MUDENG	856.7007
MUL1	561.9004	MUL1	757.0412
MUM1L1	163.0882	MUM1L1	26.6171
MUM1	1132.9374	MUM1	1059.7338
MURC	5.0251	removed	removed
MUS81	546.825	MUS81	511.9158
MUSTN1	15.0754	MUSTN1	101.9994
MUTED	287.3458	MUTED	486.1684
MUTYH	342.2248	MUTYH	159.1241
MUT	852.444	MUT	1091.303
MVD	990.8634	MVD	284.1226
MVK	540.4294	MVK	323.4293
MVP	3555.5048	MVP	1688.9508
MX1	6047.5103	MX1	2716.1869
MX2	1121.5167	MX2	432.6834
MXD1	421.1969	MXD1	448.1585
MXD3	189.6711	MXD3	54.6951
MXD4	959.3422	MXD4	1878.6753
MXI1	917.7707	MXI1	2314.7632
MXRA5	4656.921	MXRA5	3543.485
MXRA7	1986.7519	MXRA7	2422.7793
MXRA8	1190.9548	MXRA8	1791.0864
MYADML2	8.2229	removed	removed
MYADM	2985.3815	MYADM	4030.3312
MYBBP1A	1189.5021	MYBBP1A	1540.455
MYBL1	542.2567	MYBL1	102.7546
MYBL2	2019.6437	MYBL2	23.5221
removed	removed	MYBPC1	1046.4253
MYB	2780.265	MYB	1425.2553
MYCBP2	2179.0772	MYCBP2	3532.0334
removed	removed	MYCBPAP	8.666
MYCBP	1950.2695	MYCBP	755.8032
MYCL1	997.7159	MYCL1	296.1931
MYCN	89.9954	MYCN	37.4497
MYCT1	109.6391	MYCT1	362.117
MYC	2350.3883	MYC	2689.5698
MYD88	1666.0576	MYD88	1000
MYEF2	40.9091	MYEF2	366.3757
MYEOV2	996.8022	MYEOV2	472.9186
MYEOV	42.0283	MYEOV	556.4841
MYH10	1100.0457	MYH10	3365.831
MYH11	289.5203	MYH11	36527.1959
MYH14	2657.3778	MYH14	2186.6295
MYH3	23.7551	MYH3	95.9455
removed	removed	MYH7B	46.7348
MYH9	20933.7597	MYH9	43822.6555
MYL12A	4379.6254	MYL12A	4743.7326
MYL12B	4776.1535	MYL12B	5640.359
MYL5	82.5171	MYL5	135.0263
MYL6B	351.7588	MYL6B	448.7775
MYL6	8751.9415	MYL6	11216.3417
removed	removed	MYL7	21.6651
MYL9	2413.4308	MYL9	13076.4469
MYLIP	432.1608	MYLIP	1213.5562
removed	removed	MYLK3	8.666
MYLK4	5.9388	MYLK4	69.0189
MYLK	804.0201	MYLK	23355.8743
MYNN	590.2238	MYNN	498.6072
MYO10	1456.8296	MYO10	1221.6032
MYO15A	5.482	MYO15A	32.4977
MYO15B	465.5094	MYO15B	959.7648
removed	removed	MYO16	12.6896
MYO18A	2172.275	MYO18A	1706.2798
removed	removed	MYO18B	12.9991
MYO19	1477.7021	MYO19	464.4568
MYO1A	8.2229	removed	removed
MYO1B	2226.5875	MYO1B	2452.801
MYO1C	4015.989	MYO1C	4985.1439
MYO1D	1028.3234	MYO1D	1873.4138
MYO1E	942.8963	MYO1E	1168.9879
MYO1F	1309.2736	MYO1F	217.2702
MYO1G	489.7213	MYO1G	87.8985
removed	removed	MYO1H	69.3284
removed	removed	MYO3A	7.1185
MYO5A	1216.9941	MYO5A	990.0959
MYO5B	1477.3869	MYO5B	2026.6171
MYO5C	1446.6469	MYO5C	1881.8972
MYO6	4901.3248	MYO6	4065.9239
MYO7A	382.3664	MYO7A	106.7781
MYO7B	7.3093	removed	removed
MYO9A	370.9456	MYO9A	1492.7267
MYO9B	2934.2165	MYO9B	1682.4513
MYOCD	6.3956	MYOCD	59.1148
removed	removed	MYOC	36.5212
MYOF	3517.5879	MYOF	7425.5648
MYOM1	10.9639	MYOM1	315.6917
MYOM2	6.3956	MYOM2	33.4262
removed	removed	MYOM3	90.3745
removed	removed	MYOZ1	23.8316
MYOZ3	28.7803	MYOZ3	56.0198
MYPOP	150.7538	MYPOP	117.6106
MYRIP	67.154	MYRIP	207.3661
MYSM1	63.4993	MYSM1	493.6552
MYST1	691.64	MYST1	731.3525
MYST2	1802.6496	MYST2	1543.7945
MYST3	1650.9822	MYST3	2820.489
MYST4	809.9589	MYST4	1837.5116
MYT1	16.4459	removed	removed
MZF1	444.1343	MZF1	356.611
N4BP1	905.4363	N4BP1	1549.675
N4BP2L1	282.3207	N4BP2L1	791.7054
N4BP2L2	1239.3787	N4BP2L2	1841.8446
N4BP2	153.9516	N4BP2	368.926
N4BP3	797.1677	N4BP3	381.3061
N6AMT1	151.6674	N6AMT1	366.7595
N6AMT2	93.6501	N6AMT2	154.7509
NAA10	1234.8104	NAA10	548.1275
NAA15	1301.9644	NAA15	1060.3528
NAA16	275.0114	NAA16	358.7125
NAA20	1780.265	NAA20	818.9415
NAA25	1022.8415	NAA25	806.8709
NAA30	728.6432	NAA30	815.537
NAA35	377.3413	NAA35	549.3655
NAA38	439.0132	NAA38	335.1903
NAA40	1010.5071	NAA40	529.2479
NAA50	2446.7794	NAA50	2785.2058
NAAA	649.6117	NAAA	648.4061
removed	removed	NAALAD2	70.5664
NAALADL1	34.2622	NAALADL1	104.9211
NAALADL2	135.6784	NAALADL2	545.6515
NAB1	659.2051	NAB1	1794.1814
NAB2	584.7419	NAB2	763.5407
NACA2	17.8164	NACA2	30.0217
NACAD	9.5934	NACAD	229.3408
NACAP1	106.8981	NACAP1	99.6595
NACA	9915.0297	NACA	21716.4964
NACC1	3688.4422	NACC1	834.4166
NACC2	93.6501	NACC2	62.2098
NADK	1931.4756	NADK	878.6753
NADSYN1	894.9292	NADSYN1	689.5698
NAE1	529.4655	NAE1	701.9499
NAF1	128.3691	NAF1	257.8149
NAGA	1927.8209	NAGA	794.4909
NAGK	1521.2426	NAGK	773.1353
NAGLU	763.3623	NAGLU	500.7738
NAGPA	318.4102	NAGPA	162.7979
NAGS	71.2654	NAGS	67.1619
NAIF1	481.0416	NAIF1	191.5816
NAIP	67.6108	NAIP	70.2569
removed	removed	NALCN	268.0285
NAMPT	2299.6802	NAMPT	1407.6137
NANOS1	205.1165	NANOS1	224.6982
NANOS3	5.0251	removed	removed
NANP	277.2956	NANP	179.511
NANS	1609.7533	NANS	785.5153
NAP1L1	4696.2083	NAP1L1	8116.0631
NAP1L2	204.2028	NAP1L2	375.7351
NAP1L3	14.6185	NAP1L3	181.368
NAP1L4	2238.0082	NAP1L4	2421.8508
NAP1L5	39.7442	NAP1L5	180.749
removed	removed	NAP1L6	8.047
NAPA	2378.5016	NAPA	2562.0922
NAPB	222.0192	NAPB	264.624
NAPEPLD	397.5331	NAPEPLD	642.4853
NAPG	387.8483	NAPG	699.4738
NAPRT1	2117.862	NAPRT1	438.2544
NAPSA	47.0534	NAPSA	9.2851
NAPSB	444.0384	NAPSB	110.1826
NARFL	680.2193	NARFL	441.0399
NARF	1658.2915	NARF	535.1284
NARG2	698.0356	NARG2	1352.2129
NARS2	538.1453	NARS2	484.0607
NARS	4700.3198	NARS	3231.1978
NASP	2885.7926	NASP	1521.5104
NAT10	2452.7181	NAT10	1276.6945
NAT14	904.5226	NAT14	146.0848
NAT15	1333.0288	NAT15	882.0799
NAT1	2208.7711	NAT1	264.624
removed	removed	NAT2	5.8805
NAT6	202.4166	NAT6	158.2544
removed	removed	NAT8L	99.6595
NAT9	1005.0251	NAT9	472.9186
NAV1	970.7629	NAV1	846.1777
NAV2	161.2608	NAV2	4046.8895
NAV3	7.7661	NAV3	324.9768
NBAS	1257.6519	NBAS	1689.2603
NBEAL1	137.0489	NBEAL1	485.9177
NBEAL2	1715.3952	NBEAL2	1646.8586
NBEA	72.1791	NBEA	647.4776
NBL1	2850.1599	NBL1	3370.164
removed	removed	NBLA00301	56.9483
NBN	4224.3033	NBN	1986.6914
NBPF10	410.2376	NBPF10	1865.9579
NBPF14	279.7853	NBPF14	1195.3977
NBPF15	234.0704	NBPF15	548.1708
NBPF16	63.9561	NBPF16	253.4819
NBPF1	790.772	NBPF1	1680.5942
NBPF3	42.4852	NBPF3	332.0953
NBPF4	25.5825	NBPF4	7.428
removed	removed	NBPF7	5.2615
NBPF9	166.4185	NBPF9	372.6803
NBR1	952.0329	NBR1	5692.6648
NBR2	31.5212	NBR2	242.0303
NCALD	245.7743	NCALD	2377.5921
NCAM1	27.8666	NCAM1	628.7991
NCAM2	132.4806	NCAM2	155.9889
NCAPD2	1785.7469	NCAPD2	1510.9873
NCAPD3	703.5176	NCAPD3	589.6007
NCAPG2	809.0452	NCAPG2	328.3813
NCAPG	415.3677	NCAPG	26.4253
NCAPH2	683.8739	NCAPH2	639.4305
NCAPH	517.1311	NCAPH	21.9746
NCBP1	980.1325	NCBP1	969.7029
NCBP2	3506.624	NCBP2	1766.9452
NCCRP1	43.3988	NCCRP1	90.684
NCDN	1254.8972	NCDN	750.2321
NCEH1	1129.7396	NCEH1	510.3683
NCF1B	68.5244	NCF1B	8.9755
NCF1C	211.0553	NCF1C	16.4036
NCF1	631.3385	NCF1	54.7818
NCF2	1084.0566	NCF2	80.7799
NCF4	248.9721	NCF4	57.5673
NCK1	914.116	NCK1	664.5002
NCK2	1068.9813	NCK2	1420.6128
NCKAP1L	1528.095	NCKAP1L	256.8864
NCKAP1	3175.8794	NCKAP1	4729.186
NCKAP5L	481.4984	NCKAP5L	603.5283
NCKAP5	81.7725	NCKAP5	313.2157
NCKIPSD	421.6537	NCKIPSD	675.0232
NCLN	3841.937	NCLN	838.1306
NCL	11712.6542	NCL	11632.0025
NCOA1	1170.8543	NCOA1	2800.0619
NCOA2	828.2321	NCOA2	1968.7403
NCOA3	2183.1887	NCOA3	1560.5076
NCOA4	4265.8748	NCOA4	6134.0142
NCOA5	1539.9726	NCOA5	1217.8892
NCOA6	1931.4756	NCOA6	1811.823
NCOA7	1220.1919	NCOA7	1016.0941
NCOR1	1825.4911	NCOR1	3930.0526
NCOR2	2193.6958	NCOR2	4144.5373
NCR1	5.9388	removed	removed
NCR3	27.4098	removed	removed
NCRNA00081	222.339	NCRNA00081	156.1467
NCRNA00085	81.3157	NCRNA00085	72.0737
NCRNA00086	8.2229	NCRNA00086	433.9214
removed	removed	NCRNA00087	122.5627
removed	removed	NCRNA00092	34.3547
removed	removed	NCRNA00093	30.0898
NCRNA00094	1031.3705	NCRNA00094	734.8808
NCRNA00095	84.0566	NCRNA00095	34.0452
NCRNA00105	29.2736	NCRNA00105	48.7434
NCRNA00107	15.0754	NCRNA00107	27.2361
removed	removed	NCRNA00110	59.4243
NCRNA00115	34.2622	NCRNA00115	19.1891
NCRNA00116	179.534	NCRNA00116	121.0152
NCRNA00120	37.46	NCRNA00120	63.4478
NCRNA00152	246.688	NCRNA00152	64.9954
NCRNA00158	7.3093	removed	removed
NCRNA00160	22.8415	removed	removed
removed	removed	NCRNA00162	11.4516
NCRNA00171	21.9781	NCRNA00171	38.2451
NCRNA00173	5.482	NCRNA00173	20.4271
NCRNA00174	175.4226	NCRNA00174	185.3915
NCRNA00176	12.7912	NCRNA00176	15.4751
NCRNA00181	222.3572	NCRNA00181	142.2129
NCRNA00182	32.8917	NCRNA00182	97.8025
NCRNA00183	268.6158	NCRNA00183	296.8121
NCRNA00188	3942.8963	NCRNA00188	8474.4661
NCRNA00201	508.4513	NCRNA00201	1106.5676
NCRNA00202	111.9233	NCRNA00202	6.4995
NCRNA00204B	10.0503	NCRNA00204B	8.047
NCRNA00219	102.3298	NCRNA00219	799.1334
NCS1	739.6071	NCS1	487.7747
NCSTN	2943.3531	NCSTN	3023.6552
NDC80	311.101	NDC80	21.9746
NDE1	588.963	NDE1	470.6376
NDEL1	512.106	NDEL1	999.0715
NDFIP1	2354.0429	NDFIP1	3366.1405
NDFIP2	538.6021	NDFIP2	737.5426
NDNL2	300.137	NDNL2	462.086
NDN	120.603	NDN	673.1662
NDOR1	1918.6843	NDOR1	463.9431
removed	removed	NDP	51.9963
NDRG1	4664.6871	NDRG1	4771.8972
NDRG2	595.249	NDRG2	9909.0065
NDRG3	1287.3458	NDRG3	1258.1244
NDRG4	195.0662	NDRG4	130.3002
NDST1	2213.3394	NDST1	7333.3333
NDST2	567.8392	NDST2	705.0449
removed	removed	NDST3	6.19
NDUFA10	1374.6003	NDUFA10	1754.5652
NDUFA11	2015.5322	NDUFA11	909.6255
NDUFA12	525.354	NDUFA12	439.8019
NDUFA13	2157.0991	NDUFA13	1125.8712
NDUFA1	1133.8511	NDUFA1	1029.7122
NDUFA2	685.7012	NDUFA2	523.6769
NDUFA3	600.2741	NDUFA3	358.7125
NDUFA4L2	216.9941	NDUFA4L2	138.9663
NDUFA4	3046.5966	NDUFA4	1810.2755
NDUFA5	1317.9534	NDUFA5	1427.1123
NDUFA6	1002.2841	NDUFA6	605.6948
NDUFA7	671.5395	NDUFA7	250.0774
NDUFA8	1274.0978	NDUFA8	566.3881
NDUFA9	1201.9187	NDUFA9	950.1702
NDUFAB1	1221.1055	NDUFAB1	530.1764
NDUFAF1	246.688	NDUFAF1	255.3389
NDUFAF2	139.7899	NDUFAF2	166.5119
NDUFAF3	666.0576	NDUFAF3	618.3844
NDUFAF4	138.4194	NDUFAF4	250.3869
NDUFB10	1697.122	NDUFB10	857.0102
NDUFB11	2092.2796	NDUFB11	914.268
NDUFB1	632.709	NDUFB1	426.4933
NDUFB2	1140.6852	NDUFB2	679.6534
NDUFB3	647.7844	NDUFB3	433.9214
NDUFB4	1391.503	NDUFB4	1220.9842
NDUFB5	2161.2608	NDUFB5	1055.7103
NDUFB6	516.2175	NDUFB6	441.0399
NDUFB7	1518.0448	NDUFB7	648.4061
NDUFB8	999.6848	NDUFB8	839.7462
NDUFB9	6401.5532	NDUFB9	1619.0158
NDUFC1	423.0242	NDUFC1	579.6967
NDUFC2	1852.444	NDUFC2	1510.3683
NDUFS1	1356.7839	NDUFS1	1288.7651
NDUFS2	3305.1622	NDUFS2	1623.3364
NDUFS3	951.4801	NDUFS3	883.9152
NDUFS4	398.3554	NDUFS4	644.073
NDUFS5	2430.7903	NDUFS5	1346.6419
NDUFS6	783.4628	NDUFS6	481.8942
NDUFS7	832.5948	NDUFS7	374.8963
NDUFS8	1021.471	NDUFS8	555.5556
NDUFV1	3412.974	NDUFV1	1891.9839
NDUFV2	1227.5011	NDUFV2	954.1937
NDUFV3	624.0292	NDUFV3	545.6515
NEAT1	11680.6761	NEAT1	10152.5843
NEBL	933.3029	NEBL	3501.3928
NEB	28.3234	NEB	25.9981
NECAB1	13.7049	NECAB1	147.3228
removed	removed	NECAB2	9.9041
NECAB3	733.2115	NECAB3	330.8573
NECAP1	512.106	NECAP1	700.4024
NECAP2	1564.6414	NECAP2	1152.2748
NEDD1	531.7497	NEDD1	671.9282
NEDD4L	858.3828	NEDD4L	3086.97
NEDD4	193.2389	NEDD4	766.6357
NEDD8	1591.5943	NEDD8	1249.4584
NEDD9	340.3381	NEDD9	1800.9904
NEFH	34.2622	NEFH	39.6162
removed	removed	NEFM	13.3612
NEGR1	52.9922	NEGR1	221.9127
NEIL1	47.5103	NEIL1	215.4132
NEIL2	404.751	NEIL2	446.9205
NEIL3	65.3266	removed	removed
NEK10	51.1649	NEK10	653.9771
NEK11	420.7401	NEK11	412.5658
NEK1	268.6158	NEK1	664.1907
NEK2	627.6839	NEK2	11.7611
NEK3	91.8228	NEK3	239.2448
NEK4	397.4418	NEK4	697.9263
NEK5	9.1366	NEK5	23.8316
NEK6	2147.0991	NEK6	855.7722
NEK7	1154.8652	NEK7	1698.5453
NEK8	85.884	NEK8	121.0152
NEK9	1534.0338	NEK9	2840.2971
NELF	2044.3125	NELF	603.8378
NELL2	173.1384	NELL2	76.7564
NENF	1464.1389	NENF	992.8815
NEO1	349.0178	NEO1	2954.5032
NES	686.1581	NES	4310.4302
NET1	2922.7958	NET1	2385.9486
NETO2	216.5372	NETO2	285.9796
NEU1	1901.7816	NEU1	1187.558
NEU3	135.6784	NEU3	194.6766
NEURL1B	552.7638	NEURL1B	1033.4262
NEURL2	17.6245	NEURL2	27.4992
NEURL3	17.8164	NEURL3	159.3934
NEURL4	366.455	NEURL4	628.1801
NEURL	17.8164	NEURL	36.5212
removed	removed	NEUROG2	71.1854
NEXN	70.3518	NEXN	562.3646
NF1	2518.5016	NF1	3410.3993
NF2	1892.1882	NF2	1037.1402
NFAM1	641.8456	NFAM1	87.2795
NFASC	29.936	NFASC	1753.8781
NFAT5	822.2933	NFAT5	3186.939
NFATC1	246.2312	NFATC1	442.5874
NFATC2IP	1027.8666	NFATC2IP	999.381
NFATC2	98.6752	NFATC2	146.0848
NFATC3	772.042	NFATC3	1045.4968
NFATC4	119.2325	NFATC4	616.2179
