gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
ADIPOR1	3691.1832	ADIPOR1	2216.3417
ADIPOR2	2984.011	ADIPOR2	2028.7837
ADK	660.1188	ADK	353.4509
ADM2	327.09	ADM2	104.9211
ADM	153.4947	ADM	230.2693
ADNP2	645.5002	ADNP2	796.9669
ADNP	4026.9529	ADNP	3391.2102
ADORA1	35.6327	ADORA1	459.3005
ADORA2A	567.8301	ADORA2A	64.0669
ADORA2B	37.0032	ADORA2B	34.9737
ADORA3	105.5276	ADORA3	62.8288
ADO	843.7643	ADO	752.7081
ADPGK	1076.7748	ADPGK	869.6719
ADPRHL1	125.1713	ADPRHL1	104.6116
ADPRHL2	1038.3737	ADPRHL2	544.4135
ADPRH	248.5153	ADPRH	335.8093
removed	removed	ADRA1A	14.2371
ADRA1B	6.3956	ADRA1B	6.4995
removed	removed	ADRA1D	11.7611
ADRA2A	62.1288	ADRA2A	749.3036
ADRA2B	6.8524	ADRA2B	58.8053
ADRA2C	20.5573	ADRA2C	30.0217
removed	removed	ADRB1	22.2841
ADRB2	50.2513	ADRB2	149.4893
ADRBK1	3030.6076	ADRBK1	1509.4398
ADRBK2	1519.4153	ADRBK2	1213.5562
ADRM1	2104.614	ADRM1	804.7044
ADSL	1039.7442	ADSL	760.1362
ADSSL1	187.3001	ADSSL1	126.8957
ADSS	1677.0215	ADSS	1650.8821
AEBP1	6395.1576	AEBP1	4588.3627
AEBP2	442.2111	AEBP2	887.3414
AEN	522.1562	AEN	338.9044
AES	10701.6903	AES	6324.0483
AFAP1L1	96.8479	AFAP1L1	246.0539
AFAP1L2	216.0804	AFAP1L2	1324.3578
AFAP1	549.1	AFAP1	1682.3955
AFF1	1842.3938	AFF1	2861.3432
AFF2	13.2481	AFF2	19.8081
AFF3	481.9552	AFF3	2165.2739
AFF4	1875.7423	AFF4	4217.8892
AFG3L1	176.3362	AFG3L1	235.5308
AFG3L2	1207.2682	AFG3L2	1337.2578
AFMID	566.9255	AFMID	631.3835
removed	removed	AFP	47.3538
AFTPH	2058.931	AFTPH	1948.0037
AG2	115.5779	AG2	109.5636
AGAP11	12.3344	AGAP11	200.1795
AGAP1	396.9849	AGAP1	687.0938
AGAP2	208.4194	AGAP2	47.7035
AGAP3	1170.3974	AGAP3	1526.4624
AGAP4	148.0128	AGAP4	252.5534
AGAP5	40.0777	AGAP5	77.948
AGAP6	122.4303	AGAP6	133.7047
AGAP7	32.8917	AGAP7	38.9972
AGAP8	25.5825	AGAP8	43.3302
AGA	460.4842	AGA	515.9393
AGBL2	20.1005	AGBL2	20.1176
removed	removed	AGBL3	8.3565
removed	removed	AGBL4	11.7611
AGBL5	963.4765	AGBL5	867.3073
AGER	30.1508	AGER	38.6877
AGFG1	1103.2435	AGFG1	1589.9102
AGFG2	433.0745	AGFG2	454.039
AGGF1	746.9164	AGGF1	980.5014
AGK	418.9127	AGK	540.39
AGL	1052.5354	AGL	1410.3993
AGMAT	95.9342	AGMAT	25.3791
AGPAT1	1312.138	AGPAT1	1684.5218
AGPAT2	1382.3664	AGPAT2	629.836
AGPAT3	1775.2398	AGPAT3	1820.1795
AGPAT4	62.1288	AGPAT4	339.5234
AGPAT5	723.1613	AGPAT5	652.1201
AGPAT6	1662.8598	AGPAT6	1454.9675
AGPAT9	43.8556	AGPAT9	210.1517
AGPHD1	42.0283	AGPHD1	60.6623
AGPS	759.2508	AGPS	942.7422
AGR2	4718.1361	AGR2	1923.8626
AGR3	202.3755	AGR3	392.7577
AGRN	9941.069	AGRN	6164.6549
AGTPBP1	322.0649	AGTPBP1	380.6871
AGTR1	5.0251	AGTR1	158.4649
AGTRAP	1064.8698	AGTRAP	548.1275
AGT	69.8949	AGT	22.2841
AGXT2L2	230.2238	AGXT2L2	363.3798
AHCTF1	968.0219	AHCTF1	1639.74
AHCYL1	3376.4276	AHCYL1	3769.4212
AHCYL2	478.3006	AHCYL2	643.1445
AHCY	6699.4061	AHCY	2984.5249
AHDC1	561.4436	AHDC1	1553.389
AHI1	317.9534	AHI1	525.5339
AHNAK2	654.18	AHNAK2	954.5032
AHNAK	19693.9242	AHNAK	98182.9155
AHRR	27.8666	AHRR	17.3321
AHR	2158.5199	AHR	2810.585
AHSA1	2361.3522	AHSA1	1435.4689
AHSA2	251.2563	AHSA2	757.6602
AIDA	1259.0726	AIDA	899.1272
AIF1L	1352.6725	AIF1L	1964.0978
AIF1	775.6967	AIF1	268.6475
AIFM1	1049.7944	AIFM1	699.4738
AIFM2	867.9762	AIFM2	410.3993
AIFM3	124.6597	AIFM3	14.0266
AIG1	1431.704	AIG1	752.7081
AIM1L	23.2983	removed	removed
AIM1	4550.4797	AIM1	3131.2287
AIM2	157.6062	AIM2	12.0706
AIMP1	813.2709	AIMP1	1175.4875
AIMP2	478.9265	AIMP2	218.957
AIP	1612.1517	AIP	731.3525
removed	removed	AJAP1	10.5231
AK1	709.9132	AK1	365.5215
AK2	1941.5258	AK2	1894.7694
AK3L1	102.7867	AK3L1	574.7447
AK3	488.3508	AK3	1666.6667
removed	removed	AK5	1332.4048
AK7	78.5747	AK7	46.1158
AKAP10	315.6693	AKAP10	566.0786
AKAP11	1022.3847	AKAP11	2346.6419
AKAP12	173.1384	AKAP12	1279.48
AKAP13	1968.9356	AKAP13	4653.6676
AKAP1	2692.0968	AKAP1	3045.8063
AKAP2	636.7428	AKAP2	1076.8833
removed	removed	AKAP3	63.7574
AKAP5	252.1699	AKAP5	269.2665
AKAP6	45.683	AKAP6	650.5726
AKAP7	52.5354	AKAP7	197.1526
AKAP8L	845.5916	AKAP8L	804.0854
AKAP8	720.4203	AKAP8	697.3073
AKAP9	1457.7433	AKAP9	3810.585
AKD1	113.2937	AKD1	159.0839
AKIRIN1	2085.4271	AKIRIN1	985.7629
AKIRIN2	744.6323	AKIRIN2	681.8323
AKNA	1631.7953	AKNA	739.7091
AKR1A1	3803.1064	AKR1A1	1583.1012
AKR1B10	1437.1859	AKR1B10	135.8712
AKR1B15	9.1366	removed	removed
AKR1B1	899.9543	AKR1B1	754.5652
AKR1C1	2725.9022	AKR1C1	502.3213
AKR1C2	1166.7428	AKR1C2	379.4491
AKR1C3	1221.5624	AKR1C3	478.7991
AKR1E2	27.8666	AKR1E2	36.8307
AKR7A2	999.5432	AKR7A2	1060.6623
AKR7A3	492.4623	AKR7A3	313.8347
AKR7L	9.5934	AKR7L	34.6642
AKT1S1	816.8113	AKT1S1	695.4503
AKT1	3522.6131	AKT1	2719.282
AKT2	1814.0704	AKT2	2206.1281
AKT3	392.4166	AKT3	1148.8703
AKTIP	341.0461	AKTIP	574.9396
ALAD	2380.5391	ALAD	1827.2981
ALAS1	1660.5756	ALAS1	710.6159
ALB	12.3344	ALB	412.8753
ALCAM	1828.2321	ALCAM	6486.2272
ALDH16A1	527.1814	ALDH16A1	502.3213
ALDH18A1	2234.8104	ALDH18A1	1826.679
ALDH1A1	1222.9328	ALDH1A1	1504.7973
removed	removed	ALDH1A2	124.4197
ALDH1A3	105.0937	ALDH1A3	1281.9715
ALDH1B1	700.3198	ALDH1B1	498.2977
removed	removed	ALDH1L1	173.321
ALDH1L2	108.2686	ALDH1L2	254.1009
ALDH2	5793.0562	ALDH2	3019.8081
ALDH3A1	1388.3052	ALDH3A1	203.3426
ALDH3A2	1449.5203	ALDH3A2	2311.0492
ALDH3B1	318.8671	ALDH3B1	125.9672
ALDH3B2	5331.2015	ALDH3B2	5834.7261
ALDH4A1	440.3837	ALDH4A1	869.0808
ALDH5A1	220.6487	ALDH5A1	746.8276
ALDH6A1	451.8045	ALDH6A1	735.9579
ALDH7A1	1016.9027	ALDH7A1	3537.914
ALDH8A1	14.6185	ALDH8A1	25.0696
ALDH9A1	2270.9	ALDH9A1	3775.9208
ALDOA	60068.9813	ALDOA	12849.8917
ALDOC	838.2823	ALDOC	715.5679
ALG10B	178.6204	ALG10B	490.5602
ALG10	98.2184	ALG10	157.5364
ALG11	23.2983	ALG11	17.0226
ALG12	533.1201	ALG12	532.9619
ALG13	458.2001	ALG13	491.4887
ALG14	163.545	ALG14	134.0142
ALG1L	17.3047	removed	removed
ALG1	889.3741	ALG1	407.6509
ALG2	1126.9986	ALG2	951.4082
ALG3	2030.6076	ALG3	437.0164
removed	removed	ALG5	510.3683
ALG6	387.8483	ALG6	313.8347
ALG8	751.4847	ALG8	740.9471
ALG9	534.9475	ALG9	672.2377
ALKBH1	256.2814	ALKBH1	285.6701
ALKBH2	408.8625	ALKBH2	332.4048
ALKBH3	259.0224	ALKBH3	321.8818
ALKBH4	249.4609	ALKBH4	241.4113
ALKBH5	1909.9132	ALKBH5	2220.5107
ALKBH6	128.3691	ALKBH6	57.5673
ALKBH7	814.0704	ALKBH7	494.8932
ALKBH8	264.9612	ALKBH8	329.6193
removed	removed	ALMS1P	6.4995
ALMS1	519.8721	ALMS1	906.84
ALOX12B	6.8524	removed	removed
removed	removed	ALOX12P2	35.2832
ALOX12	11.4801	ALOX12	6.19
ALOX15B	813.6135	ALOX15B	865.0573
ALOX15	17.3595	ALOX15	79.8514
ALOX5AP	407.0352	ALOX5AP	134.6332
ALOX5	456.8296	ALOX5	279.7895
ALOXE3	5.0251	ALOXE3	10.8326
ALPK1	689.3559	ALPK1	930.6716
ALPK2	18.73	ALPK2	8.047
ALPK3	79.9452	ALPK3	250.6964
ALPL	171.3111	ALPL	919.2201
ALS2CL	78.1179	ALS2CL	409.1613
removed	removed	ALS2CR11	8.666
ALS2CR4	345.3632	ALS2CR4	1969.9783
ALS2CR8	74.0064	ALS2CR8	299.9071
ALS2	965.7378	ALS2	688.0223
ALX3	10.9639	ALX3	30.9502
removed	removed	ALX4	64.3764
AMACR	444.0384	AMACR	333.6428
AMBP	5.482	AMBP	11.7611
AMBRA1	1102.7867	AMBRA1	998.4525
AMD1	1751.4847	AMD1	1831.6311
AMDHD1	13.2481	AMDHD1	47.9728
AMDHD2	509.2188	AMDHD2	155.8805
AMFR	1764.2759	AMFR	2701.9499
AMH	5.9388	AMH	5.571
AMICA1	502.5126	AMICA1	131.2287
AMIGO1	20.1005	AMIGO1	249.4584
AMIGO2	352.2156	AMIGO2	3615.2863
AMIGO3	116.9484	AMIGO3	62.2098
AMMECR1L	747.8301	AMMECR1L	920.4581
AMMECR1	708.0859	AMMECR1	311.6682
AMN1	136.1352	AMN1	205.5091
AMOTL1	1316.5829	AMOTL1	3973.0734
AMOTL2	1740.9776	AMOTL2	2894.4599
AMOT	666.5144	AMOT	1536.676
AMPD1	6.3956	AMPD1	69.3284
AMPD2	435.8154	AMPD2	703.1879
AMPD3	385.5642	AMPD3	204.8901
AMPH	26.9529	AMPH	51.9963
AMT	43.6592	AMT	274.9118
removed	removed	AMY1A	15.1656
AMY2B	111.4664	AMY2B	499.2232
AMZ1	187.3001	AMZ1	6.19
AMZ2P1	182.7318	AMZ2P1	202.1046
removed	removed	AMZ2	1065.3049
ANAPC10	112.8369	ANAPC10	118.2297
ANAPC11	3576.9758	ANAPC11	510.6778
ANAPC13	1293.9013	ANAPC13	867.23
ANAPC16	1540.8862	ANAPC16	2499.2262
ANAPC1	886.2494	ANAPC1	935.3141
ANAPC2	1481.0416	ANAPC2	757.9697
ANAPC4	236.1809	ANAPC4	632.0025
ANAPC5	1826.8616	ANAPC5	2095.9455
ANAPC7	1703.5176	ANAPC7	872.7948
ANGEL1	554.5911	ANGEL1	722.0675
ANGEL2	647.7844	ANGEL2	861.9622
ANGPT1	26.4961	ANGPT1	211.3897
