gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
ADD3	1012.7119	ADD3	1528.3688
ADH1B	72.0339	ADH1B	715.8688
removed	removed	ADH1C	44.7695
removed	removed	ADH4	10.6383
ADH5	3116.9492	ADH5	2484.4858
ADHFE1	9.322	ADHFE1	86.8794
ADI1	1952.5424	ADI1	1710.1064
ADIPOQ	57.6271	ADIPOQ	804.5213
ADIPOR1	3494.0678	ADIPOR1	2316.4894
ADIPOR2	2844.0678	ADIPOR2	1696.3652
ADK	439.8305	ADK	416.6667
ADM2	105.0847	ADM2	270.8333
ADM	1591.5254	ADM	167.5532
ADNP2	1000	ADNP2	562.9433
ADNP	2841.5254	ADNP	2489.3617
ADORA1	111.0169	ADORA1	995.5674
ADORA2A	194.9153	ADORA2A	139.6232
ADORA2B	43.2203	ADORA2B	150.7092
ADORA3	244.9153	ADORA3	98.4043
ADO	545.7627	ADO	734.9291
ADPGK	953.3898	ADPGK	798.2402
ADPRHL1	385.5932	ADPRHL1	97.5177
ADPRHL2	790.678	ADPRHL2	860.8156
ADPRH	168.6441	ADPRH	324.0248
ADRA1B	12.7119	ADRA1B	9.7518
removed	removed	ADRA1D	7.5355
ADRA2A	281.3559	ADRA2A	352.8369
removed	removed	ADRA2B	21.2766
ADRA2C	25.4237	ADRA2C	70.0355
removed	removed	ADRB1	26.5957
ADRB2	11.8644	ADRB2	58.9539
ADRBK1	1445.7627	ADRBK1	2026.5957
ADRBK2	358.4746	ADRBK2	571.8085
ADRM1	1765.2542	ADRM1	2276.5957
ADSL	1016.1017	ADSL	1195.4787
ADSSL1	106.7797	ADSSL1	183.0674
ADSS	1828.8136	ADSS	1379.8759
AEBP1	47533.0508	AEBP1	4122.7837
AEBP2	299.1525	AEBP2	475.6206
AEN	358.4746	AEN	631.6489
AES	5762.7119	AES	7824.0248
AFAP1L1	160.1695	AFAP1L1	192.3759
AFAP1L2	216.1017	AFAP1L2	1069.1489
AFAP1	1415.2458	AFAP1	1268.1649
AFARP1	5.0847	removed	removed
AFF1	1522.8814	AFF1	1228.7234
AFF2	14.4068	AFF2	23.9362
AFF3	1292.3729	AFF3	1238.0319
AFF4	2798.3051	AFF4	1742.4645
AFG3L1	64.4068	AFG3L1	226.5071
AFG3L2	1504.0339	AFG3L2	1446.711
AFMID	211.8644	AFMID	748.227
removed	removed	AFP	65.6028
AFTPH	1503.3898	AFTPH	1102.3936
AG2	311.0169	AG2	158.2447
AGAP11	11.8644	AGAP11	23.9362
AGAP1	373.7288	AGAP1	545.656
AGAP2	144.3644	AGAP2	144.6809
AGAP3	820.339	AGAP3	1952.5709
AGAP4	80.5085	AGAP4	168.4397
AGAP5	15.2542	AGAP5	31.3076
AGAP6	24.5763	AGAP6	87.766
removed	removed	AGAP7	10.195
AGAP8	9.322	AGAP8	17.2872
AGA	905.9322	AGA	619.2376
AGBL2	8.4746	AGBL2	8.8652
AGBL4	5.9322	AGBL4	10.6383
AGBL5	372.9068	AGBL5	884.3395
removed	removed	AGER	33.2447
AGFG1	2273.7288	AGFG1	1448.1383
