gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
LRPPRC	3025.4237	LRPPRC	3263.2979
removed	removed	LRRC10B	52.7482
LRRC14	222.6271	LRRC14	734.7828
LRRC15	8088.1356	LRRC15	50.9752
LRRC16A	362.7119	LRRC16A	639.6277
removed	removed	LRRC16B	19.5035
LRRC17	642.3729	LRRC17	117.9078
LRRC1	1775.4237	LRRC1	637.8546
LRRC20	266.1017	LRRC20	237.5887
LRRC23	244.9153	LRRC23	183.5106
removed	removed	LRRC24	17.8768
LRRC25	151.6949	LRRC25	106.8262
LRRC26	22.8814	LRRC26	145.8333
LRRC27	172.8814	LRRC27	301.8617
LRRC28	183.0508	LRRC28	239.805
removed	removed	LRRC29	79.7872
removed	removed	LRRC2	23.9362
LRRC31	9.322	LRRC31	18.1738
LRRC32	1850	LRRC32	454.7872
LRRC33	69.4915	LRRC33	132.0922
LRRC34	9.322	LRRC34	38.1206
LRRC37A2	41.5254	LRRC37A2	163.0541
LRRC37A3	69.4915	LRRC37A3	211.4362
LRRC37A4	34.6525	LRRC37A4	113.9184
LRRC37A	121.1864	LRRC37A	314.7163
LRRC37B2	279.661	LRRC37B2	344.8582
LRRC37B	16.9492	LRRC37B	82.0035
removed	removed	LRRC3B	53.6348
LRRC3	50.8475	LRRC3	23.0496
LRRC40	431.3559	LRRC40	216.7553
removed	removed	LRRC41	2497.7837
LRRC42	456.7797	LRRC42	705.6738
LRRC45	214.4068	LRRC45	490.6915
LRRC46	150	LRRC46	110.3723
LRRC47	625.4237	LRRC47	1672.4291
LRRC48	31.3559	LRRC48	142.2872
LRRC49	118.6441	LRRC49	94.4149
LRRC4B	5.0847	LRRC4B	50.5319
LRRC4C	82.2034	LRRC4C	189.7163
LRRC4	38.1356	LRRC4	46.5426
removed	removed	LRRC50	19.5035
LRRC55	9.322	LRRC55	10.6383
removed	removed	LRRC56	112.1454
LRRC57	206.7797	LRRC57	282.3582
LRRC58	1074.5763	LRRC58	682.1809
LRRC59	9659.5254	LRRC59	8201.9415
LRRC61	162.7119	LRRC61	401.1525
removed	removed	LRRC66	7.5355
LRRC6	15.2542	LRRC6	69.1489
LRRC70	23.7288	LRRC70	44.477
LRRC7	5.9322	removed	removed
LRRC8A	1394.0678	LRRC8A	2206.5603
LRRC8B	407.6271	LRRC8B	585.1064
LRRC8C	325.4237	LRRC8C	457.4468
LRRC8D	496.6102	LRRC8D	1031.9149
LRRC8E	506.7797	LRRC8E	638.2979
LRRCC1	888.9831	LRRCC1	326.2411
LRRFIP1	4949.1525	LRRFIP1	2425.9752
LRRFIP2	1143.2203	LRRFIP2	859.0426
removed	removed	LRRIQ1	13.7411
removed	removed	LRRIQ3	5.7624
LRRK1	293.2203	LRRK1	367.4645
LRRK2	166.9492	LRRK2	83.3333
LRRN1	416.9492	LRRN1	698.1383
LRRN2	88.1356	LRRN2	437.9433
LRRN3	22.8814	LRRN3	48.3156
LRRN4CL	17.7966	LRRN4CL	120.5674
LRRTM1	12.7119	removed	removed
LRRTM2	19.4915	LRRTM2	61.6135
LRSAM1	284.7458	LRSAM1	780.5851
LRTOMT	143	LRTOMT	299.7562
LRWD1	178.8136	LRWD1	385.195
LSAMP	16.9492	LSAMP	8.422
LSG1	896.6102	LSG1	954.7872
LSM10	348.3051	LSM10	518.1738
LSM11	223.7288	LSM11	155.1418
LSM12	647.4576	LSM12	867.4645
LSM14A	3500.8475	LSM14A	2616.1348
LSM14B	1234.7458	LSM14B	1207.8901
LSM1	823.7288	LSM1	511.5248
LSM2	883.0508	LSM2	860.3723
LSM3	1802.5424	LSM3	905.5851
LSM4	1642.3729	LSM4	1899.3794
LSM5	944.0678	LSM5	622.3404
LSM6	399.1525	LSM6	201.2411
LSM7	998.3051	LSM7	694.1489
LSMD1	604.2373	LSMD1	806.7376
LSP1	1603.3898	LSP1	1402.039
LSR	4659.322	LSR	3563.8298
LSS	783.0508	LSS	1586.4362
removed	removed	LST-3TM12	102.8369
LST1	94.0678	LST1	146.7199
LTA4H	1665.2542	LTA4H	2425.9752
LTA	19.4915	removed	removed
LTB4R2	10.1695	LTB4R2	43.3511
LTB4R	63.5593	LTB4R	181.6046
LTBP1	2394.9153	LTBP1	765.0709
LTBP2	5203.3898	LTBP2	8138.7411
LTBP3	1584.2712	LTBP3	3895.2083
LTBP4	671.1864	LTBP4	2400.266
LTBR	1983.0508	LTBR	2986.2589
LTB	70.339	LTB	72.2518
LTC4S	10.1017	LTC4S	59.2376
LTF	902.5424	LTF	63832.0035
LTK	7.6271	LTK	9.3085
LTV1	465.2542	LTV1	615.6915
LUC7L2	1972.3475	LUC7L2	2065.1596
LUC7L3	2367.7966	LUC7L3	1811.1702
LUC7L	1257.6271	LUC7L	714.0957
LUM	26523.7288	LUM	4018.1738
LUZP1	806.7797	LUZP1	995.1241
LUZP2	5.0847	LUZP2	248.6702
LUZP6	4351.6949	LUZP6	2839.539
LXN	417.7966	LXN	560.727
removed	removed	LY6D	441.0461
LY6E	5440.678	LY6E	13124.5567
LY6G5B	9.322	LY6G5B	29.1135
LY6G5C	11.0169	LY6G5C	41.2234
LY6G6C	7.6271	LY6G6C	10.195
LY6K	16.1017	LY6K	181.7376
LY75	141.5254	LY75	812.9433
LY86	194.0678	LY86	114.805
LY96	239.8305	LY96	72.2518
LY9	11.8644	LY9	31.9149
LYAR	225.4237	LYAR	288.5638
removed	removed	LYG1	5.3191
LYL1	24.5763	LYL1	70.0355
LYNX1	13.5593	LYNX1	553.1915
LYN	616.1017	LYN	831.5603
LYPD1	164.7966	LYPD1	62.9122
LYPD3	2555.0847	LYPD3	1898.0496
LYPD5	50	LYPD5	77.5709
LYPD6B	291.5254	LYPD6B	242.4645
LYPD6	168.6441	LYPD6	431.7376
LYPLA1	5592.3729	LYPLA1	938.8298
LYPLA2P1	79.661	LYPLA2P1	102.8369
LYPLA2	1322.0339	LYPLA2	1977.8369
LYPLAL1	415.2542	LYPLAL1	352.3936
LYRM1	466.9492	LYRM1	499.5567
LYRM2	731.4492	LYRM2	925.6605
LYRM4	342.3729	LYRM4	512.8546
LYRM5	238.1356	LYRM5	270.3901
LYRM7	189.8305	LYRM7	197.695
LYSMD1	116.9492	LYSMD1	167.9965
LYSMD2	155.9322	LYSMD2	182.1809
LYSMD3	844.9153	LYSMD3	318.2624
LYSMD4	114.2881	LYSMD4	313.0142
LYST	324.5763	LYST	313.8298
LYVE1	68.6441	LYVE1	90.8688
LYZ	3216.1017	LYZ	578.0142
LZIC	247.4576	LZIC	242.9078
LZTFL1	372.0339	LZTFL1	615.6915
LZTR1	426.2712	LZTR1	1090.4255
LZTS1	326.2712	LZTS1	1276.5957
LZTS2	1250	LZTS2	2402.039
M6PR	3267.5424	M6PR	2617.0168
MAB21L1	16.9492	MAB21L1	163.1206
MACC1	495.7627	MACC1	525.266
MACF1	4201.6949	MACF1	4377.6596
MACROD1	233.0508	MACROD1	456.117
MACROD2	26.2712	MACROD2	107.7128
MAD1L1	409.322	MAD1L1	713.2092
MAD2L1BP	541.5254	MAD2L1BP	500.8865
MAD2L1	1216.1017	MAD2L1	183.0674
MAD2L2	955.9322	MAD2L2	640.9574
MADD	961.0169	MADD	1344.4149
MAEA	1233.8983	MAEA	1704.7872
MAF1	2037.2881	MAF1	2595.3014
MAFA	5.0847	removed	removed
MAFB	1788.1356	MAFB	859.9291
MAFF	675.4237	MAFF	1134.3085
MAFG	224.5763	MAFG	646.2766
MAFK	294.0932	MAFK	865.7846
MAF	1002.5424	MAF	913.5638
removed	removed	MAGEB4	8.422
MAGED1	6631.3559	MAGED1	7231.383
MAGED2	20902.5424	MAGED2	13728.2801
MAGED4B	283.5763	MAGED4B	628.9805
MAGED4	109.6441	MAGED4	169.3351
MAGEE1	165.2542	MAGEE1	181.7376
MAGEF1	1040.678	MAGEF1	1322.695
MAGEH1	642.3729	MAGEH1	575.3546
MAGEL2	23.7288	MAGEL2	33.6879
MAGI1	133.0508	MAGI1	657.8014
MAGI2	62.7119	MAGI2	177.305
MAGI3	1955.9322	MAGI3	531.0284
MAGIX	15.2542	MAGIX	79.344
MAGOHB	233.8983	MAGOHB	205.6738
MAGOH	514.4068	MAGOH	536.3475
MAGT1	2632.2034	MAGT1	1686.6135
removed	removed	MAG	14.1844
MAK16	223.9661	MAK16	405.6959
MAK	17.7966	MAK	23.4929
MAL2	6542.3729	MAL2	3077.1277
MALAT1	2638.0678	MALAT1	1295.4167
MALL	205.0847	MALL	1187.0567
MALT1	260.1695	MALT1	339.9823
removed	removed	MAL	9.3085
MAMDC2	172.8814	MAMDC2	749.9291
removed	removed	MAMDC4	35.461
MAML1	1128.0339	MAML1	1165.0532
MAML2	224.5763	MAML2	562.5
MAML3	316.9492	MAML3	527.9255
MAMLD1	43.2203	MAMLD1	171.5426
removed	removed	MAMSTR	23.9362
MAN1A1	3988.1356	MAN1A1	582.8901
MAN1A2	536.4407	MAN1A2	323.5816
MAN1B1	1633.0508	MAN1B1	3046.0993
MAN1C1	1038.1356	MAN1C1	450.7979
MAN2A1	539.8305	MAN2A1	268.617
MAN2A2	431.3559	MAN2A2	1101.5071
MAN2B1	1810.1695	MAN2B1	2863.0319
MAN2B2	2014.4068	MAN2B2	2110.8156
MAN2C1	286.4407	MAN2C1	1220.3014
MANBAL	942.3729	MANBAL	1470.7447
MANBA	1137.2881	MANBA	1062.9433
MANEAL	203.3898	MANEAL	482.2695
MANEA	323.7288	MANEA	213.2092
MANF	1071.1864	MANF	1167.9965
MANSC1	72.0339	MANSC1	1050.0887
MAOA	27.9661	MAOA	531.4716
MAOB	59.322	MAOB	3524.8227
MAP1A	683.0508	MAP1A	329.344
MAP1B	877.1186	MAP1B	1597.0745
MAP1D	33.0508	MAP1D	60.2837
MAP1LC3A	160.1695	MAP1LC3A	385.6383
MAP1LC3B2	217.7966	MAP1LC3B2	188.3865
MAP1LC3B	1408.4746	MAP1LC3B	1565.1596
removed	removed	MAP1LC3C	15.0709
MAP1S	792.3729	MAP1S	1221.6312
MAP2K1	1093.1525	MAP2K1	756.1702
MAP2K2	1707.6271	MAP2K2	2890.5142
MAP2K3	643.2203	MAP2K3	1643.617
MAP2K4	636.4407	MAP2K4	777.4823
MAP2K5	305.0847	MAP2K5	464.0957
MAP2K6	21.1864	MAP2K6	206.117
MAP2K7	461.0169	MAP2K7	964.539
MAP2	52.5424	MAP2	277.039
MAP3K10	96.6102	MAP3K10	222.961
MAP3K11	1136.4407	MAP3K11	2250.4433
MAP3K12	56.3898	MAP3K12	191.1968
MAP3K13	6.0678	MAP3K13	32.0745
MAP3K14	78.8136	MAP3K14	558.5106
removed	removed	MAP3K15	7.4512
removed	removed	MAP3K1	1492.9078
MAP3K2	737.2881	MAP3K2	235.3723
MAP3K3	1335.8898	MAP3K3	920.7447
MAP3K4	696.6102	MAP3K4	592.1986
removed	removed	MAP3K5	497.3404
MAP3K6	277.1186	MAP3K6	676.8617
removed	removed	MAP3K7	511.0816
MAP3K8	72.8814	MAP3K8	202.1277
MAP3K9	32.2034	MAP3K9	70.922
MAP4K1	18.6441	MAP4K1	60.2837
MAP4K2	25.4237	MAP4K2	281.4716
MAP4K3	993.2203	MAP4K3	488.0319
MAP4K4	2858.4746	MAP4K4	1563.3865
MAP4K5	811.8644	MAP4K5	693.7057
MAP4	5173.7288	MAP4	6473.4043
MAP6D1	51.6949	MAP6D1	49.2021
MAP6	27.9661	MAP6	96.1879
MAP7D1	1484.7458	MAP7D1	2320.922
MAP7D2	24.5763	MAP7D2	8.422
MAP7D3	41.5254	MAP7D3	117.9078
MAP7	1315.2542	MAP7	1128.9894
MAP9	285.5932	MAP9	197.695
MAPK10	163.5593	MAPK10	56.2943
MAPK11	170.339	MAPK11	247.7837
MAPK12	55.9831	MAPK12	115.3191
MAPK13	1056.7797	MAPK13	1191.9326
MAPK14	1827.9661	MAPK14	1170.2128
removed	removed	MAPK15	17.7305
MAPK1IP1L	1619.4915	MAPK1IP1L	1928.6348
MAPK1	3624.5763	MAPK1	2885.6383
MAPK3	2037.2881	MAPK3	2041.8129
removed	removed	MAPK4	75.3546
MAPK6	2161.8644	MAPK6	981.383
MAPK7	298.4746	MAPK7	431.2943
MAPK8IP1	95.7627	MAPK8IP1	542.5532
MAPK8IP2	88.1356	MAPK8IP2	212.3227
MAPK8IP3	266.1017	MAPK8IP3	617.0213
MAPK8	282.2034	MAPK8	294.3262
MAPK9	1224.5763	MAPK9	997.3404
MAPKAP1	1618.6441	MAPKAP1	1754.8759
MAPKAPK2	2788.1356	MAPKAPK2	3457.0035
MAPKAPK3	511.0169	MAPKAPK3	1379.4326
MAPKAPK5	582.2034	MAPKAPK5	484.2199
MAPKBP1	222.8814	MAPKBP1	737.5887
MAPKSP1	1088.1356	MAPKSP1	810.727
MAPRE1	3347.4576	MAPRE1	2673.3156
MAPRE2	987.2881	MAPRE2	769.9468
MAPRE3	240.678	MAPRE3	473.4043
MAPT	795.7627	MAPT	1542.5532
MARCH11	162.7119	removed	removed
MARCH1	75.4237	MARCH1	23.0496
MARCH2	685.5932	MARCH2	661.7908
MARCH3	158.4746	MARCH3	81.5603
MARCH4	16.9492	MARCH4	5.7624
MARCH5	1523.7288	MARCH5	1147.6064
MARCH6	1991.5254	MARCH6	1087.766
MARCH7	2791.5254	MARCH7	1518.1738
MARCH8	161.0169	MARCH8	246.4539
MARCH9	244.9153	MARCH9	395.3901
MARCKSL1	4440.678	MARCKSL1	9577.1277
MARCKS	8939.8305	MARCKS	5123.227
MARCO	29.661	MARCO	46.5426
MARK1	91.5254	MARK1	145.8333
MARK2	1358.4746	MARK2	2090.8688
MARK3	1087.2881	MARK3	1082.4468
MARK4	1016.9492	MARK4	948.5816
MARS2	105.9322	MARS2	230.4965
MARS	1635.5932	MARS	1728.453
MARVELD1	1775.4661	MARVELD1	1655.5984
MARVELD2	519.4915	MARVELD2	398.9362
MARVELD3	207.3305	MARVELD3	503.3156
removed	removed	MASP1	88.6525
removed	removed	MASP2	13.7411
MAST1	11.8644	MAST1	11.5248
MAST2	672.8814	MAST2	1437.5
MAST3	135.5932	MAST3	380.7624
MAST4	238.9831	MAST4	425.5319
MASTL	622.8814	MASTL	235.8156
removed	removed	MAT1A	70.922
MAT2A	3042.3729	MAT2A	4020.3901
MAT2B	1590.678	MAT2B	1365.6915
MATK	105.9322	MATK	148.9362
MATN2	89.8305	MATN2	3905.1418
MATN3	265.2542	MATN3	42.9965
MATR3	7786.4407	MATR3	6288.5638
MAVS	747.4576	MAVS	2533.6879
MAX	1491.5254	MAX	1378.5461
removed	removed	MAZ	4992.3316
MBD1	593.2203	MBD1	1243.7943
MBD2	1677.9661	MBD2	1324.9113
MBD3	1280.5085	MBD3	2664.4504
MBD4	612.7119	MBD4	720.7447
MBD5	194.9153	MBD5	207.0035
MBD6	744.0678	MBD6	1053.6348
MBIP	384.7458	MBIP	353.2801
MBLAC1	13.5593	MBLAC1	46.9858
MBLAC2	140.678	MBLAC2	178.6348
MBNL1	1875.1102	MBNL1	1927.0612
MBNL2	1751.6949	MBNL2	1203.4574
MBNL3	13.5593	MBNL3	12.4113
MBOAT1	474.5763	MBOAT1	602.8369
MBOAT2	1254.2373	MBOAT2	478.7234
MBOAT7	2616.9492	MBOAT7	2343.0851
MBP	550	MBP	656.0284
MBTD1	201.6949	MBTD1	404.2553
MBTPS1	2825.4237	MBTPS1	4465.4255
MBTPS2	790.678	MBTPS2	427.3493
MB	405.9322	MB	367.9078
MC1R	97.4576	MC1R	53.422
MCAM	2198.3051	MCAM	2921.9858
MCART1	149.1525	MCART1	173.7589
MCART2	5.9322	MCART2	5.7624
MCART6	8.4746	MCART6	12.8546
MCAT	415.2542	MCAT	524.8227
MCCC1	336.4407	MCCC1	735.8156
MCCC2	1985.5932	MCCC2	2941.0461
MCC	388.1356	MCC	792.5532
MCEE	163.5593	MCEE	155.5851
removed	removed	MCF2L2	7.0922
MCF2L	1178.8136	MCF2L	1050.2926
MCFD2	2059.322	MCFD2	2201.2589
MCHR1	58.0169	MCHR1	39.8936
MCL1	11009.322	MCL1	7431.7376
MCM10	235.5932	MCM10	59.3972
MCM2	1361.8644	MCM2	1159.5745
removed	removed	MCM3APAS	18.0452
MCM3AP	1249.1102	MCM3AP	2046.6711
MCM3	2778.8136	MCM3	2734.9291
MCM4	1878.8136	MCM4	1290.3369
MCM5	1536.4407	MCM5	1632.9787
MCM6	1846.6102	MCM6	1165.7801
MCM7	2527.8644	MCM7	2877.3848
MCM8	86.4407	MCM8	137.8546
MCM9	69.4915	MCM9	51.4184
MCOLN1	430.5085	MCOLN1	516.4007
MCOLN2	30.5085	MCOLN2	10.6383
MCOLN3	36.4407	MCOLN3	49.6454
MCPH1	448.9831	MCPH1	409.7828
MCRS1	779.661	MCRS1	1212.3227
MCTP1	48.3051	MCTP1	84.2199
MCTP2	46.6102	MCTP2	235.3723
MCTS1	862.7119	MCTS1	880.7624
MDC1	1076.2712	MDC1	755.3191
MDFIC	644.9153	MDFIC	419.3262
MDFI	362.7119	MDFI	766.4007
MDGA1	166.9492	MDGA1	61.1702
MDH1B	6.7797	MDH1B	31.9149
MDH1	3194.0678	MDH1	2753.5461
MDH2	3016.1017	MDH2	4715.4255
MDK	2916.9492	MDK	3855.9397
MDM1	161.0169	MDM1	183.0674
MDM2	1343.2203	MDM2	1432.1809
MDM4	233.8983	MDM4	590.4255
MDN1	344.9153	MDN1	868.3511
MDP1	273.4492	MDP1	253.6525
ME1	282.2034	ME1	617.9078
ME2	592.3729	ME2	475.6206
ME3	39.8305	ME3	308.0674
MEA1	1410.1695	MEA1	1296.5027
MEAF6	1057.6271	MEAF6	1347.961
MECOM	94.9153	MECOM	196.3652
MECP2	755.9322	MECP2	1317.8191
MECR	209.322	MECR	519.5035
MED10	544.0678	MED10	400.266
MED11	155.0847	MED11	293.883
removed	removed	MED12L	7.0922
MED12	694.0678	MED12	1217.1986
MED13L	1770.339	MED13L	1675.0887
removed	removed	MED13	1342.6418
MED14	954.2373	MED14	746.8972
MED15	1688.9831	MED15	2250
MED16	1314.4068	MED16	2220.3014
MED17	535.5932	MED17	666.6667
MED18	108.4746	MED18	265.9574
MED19	283.0508	MED19	297.4291
MED1	909.322	MED1	945.922
MED20	685.5932	MED20	531.4716
MED21	521.1864	MED21	425.0887
MED22	337.2881	MED22	996.8972
MED23	738.9831	MED23	760.195
MED24	805.9322	MED24	2165.7801
MED25	588.1356	MED25	1050.9752
MED26	220.339	MED26	336.8794
MED27	215.2542	MED27	332.8901
MED28	441.5254	MED28	572.695
MED29	1173.7288	MED29	1577.1277
MED30	144.9153	MED30	169.3262
MED31	158.3305	MED31	145.758
MED4	1278.8136	MED4	953.4574
MED6	521.1864	MED6	349.2908
MED7	226.2712	MED7	213.2092
MED8	473.7288	MED8	661.7908
MED9	308.4746	MED9	528.8121
MEF2A	1168.7627	MEF2A	955.1596
MEF2B	24.4068	MEF2B	39.9867
MEF2C	520.339	MEF2C	496.4539
MEF2D	1033.8983	MEF2D	1403.8121
MEFV	10.1695	removed	removed
MEG3	53.3898	MEG3	326.6844
MEGF10	256.7797	MEGF10	36.7908
MEGF6	788.1356	MEGF6	658.2447
MEGF8	560.1695	MEGF8	1761.0816
MEGF9	2472.8814	MEGF9	1873.227
MEI1	17.7966	MEI1	27.039
MEIS1	170.339	MEIS1	250.8865
MEIS2	79.661	MEIS2	405.1418
MEIS3P1	223.7288	MEIS3P1	578.0142
MEIS3	762.7119	MEIS3	528.3688
MELK	533.0508	MELK	68.7057
MEMO1	416.7542	MEMO1	313.391
MEN1	747.4576	MEN1	1176.8617
MEOX1	22.0339	MEOX1	494.2376
MEOX2	9.322	MEOX2	172.8723
MEP1B	7.6271	removed	removed
MEPCE	843.2203	MEPCE	1753.1028
removed	removed	MEPE	5.7624
MERTK	106.7797	MERTK	305.4078
MESDC1	544.0678	MESDC1	496.8972
MESDC2	1943.4153	MESDC2	1589.0957
removed	removed	MESP1	167.5532
removed	removed	MESP2	26.5957
removed	removed	MESTIT1	12.8546
MEST	679.661	MEST	2078.9007
METAP1	733.8983	METAP1	1377.2163
METAP2	2121.1864	METAP2	1835.1064
METRNL	467.7966	METRNL	286.3475
METRN	279.661	METRN	597.961
METT10D	323.7288	METT10D	718.0851
METT11D1	283.8983	METT11D1	569.5922
METT5D1	261.0169	METT5D1	264.6277
METTL10	380.9915	METTL10	270.3502
METTL11A	549.8475	METTL11A	472.3759
METTL11B	12.7119	removed	removed
METTL12	66.161	METTL12	68.3378
METTL13	1152.5424	METTL13	1141.844
METTL14	284.7458	METTL14	326.6844
METTL1	404.2373	METTL1	456.117
METTL2A	680.5085	METTL2A	472.5177
METTL2B	208.4746	METTL2B	212.3227
METTL3	341.6525	METTL3	577.4734
METTL4	188.1356	METTL4	132.9787
METTL5	691.2203	METTL5	588.586
METTL6	211.8644	METTL6	199.4681
METTL7A	705.0847	METTL7A	1754.4326
METTL7B	26.2712	METTL7B	25.266
METTL8	260.1695	METTL8	261.5248
METTL9	3202.5424	METTL9	2078.0142
MET	155.9322	MET	1233.156
MEX3A	396.6102	MEX3A	583.3333
MEX3B	173.7288	MEX3B	109.9291
MEX3C	1538.1356	MEX3C	1427.7482
MEX3D	876.2712	MEX3D	690.6028
MFAP1	1384.7458	MFAP1	1097.0745
MFAP2	2345.7627	MFAP2	286.7908
MFAP3L	184.7458	MFAP3L	320.4787
MFAP3	1202.5424	MFAP3	703.4574
MFAP4	675.4237	MFAP4	1159.5745
MFAP5	1705.0847	MFAP5	399.3794
MFF	1137.2881	MFF	1149.8227
MFGE8	2905.9322	MFGE8	12398.9362
MFHAS1	233.0508	MFHAS1	129.8759
MFI2	85.5932	MFI2	1115.2482
MFN1	609.322	MFN1	594.4149
MFN2	1608.4746	MFN2	3188.8298
MFNG	127.1186	MFNG	296.0993
MFRP	923.7288	MFRP	301.4184
MFSD10	1292.3729	MFSD10	2200.7979
MFSD11	239.3814	MFSD11	460.5142
MFSD1	1457.6271	MFSD1	1562.5
MFSD2A	31.3559	MFSD2A	204.344
MFSD2B	11.0169	MFSD2B	31.0284
MFSD3	145.7627	MFSD3	492.4645
MFSD4	5.0847	MFSD4	142.2872
MFSD5	742.3729	MFSD5	865.6915
removed	removed	MFSD6L	55.8511
MFSD6	1042.3729	MFSD6	1335.9929
MFSD7	84.0763	MFSD7	332.828
MFSD8	408.4746	MFSD8	229.6099
MFSD9	107.6271	MFSD9	129.8759
MGAM	9.322	MGAM	95.3014
MGAT1	3832.2034	MGAT1	3056.7376
MGAT2	766.1017	MGAT2	596.6312
MGAT3	51.6949	MGAT3	351.9504
MGAT4A	1246.6102	MGAT4A	1147.6064
MGAT4B	1000.8475	MGAT4B	2189.273
MGAT5B	26.2712	MGAT5B	15.0709
MGAT5	161.8644	MGAT5	114.3617
MGA	625.4237	MGA	665.3369
MGC12916	11.8644	MGC12916	15.5142
MGC12982	16.9492	MGC12982	19.0603
removed	removed	MGC16121	48.3156
MGC16142	6.7797	MGC16142	10.6383
MGC16275	78.8136	MGC16275	59.8404
MGC21881	95.7627	MGC21881	136.9681
removed	removed	MGC23270	18.617
MGC23284	20.339	MGC23284	46.0993
MGC2752	387.2881	MGC2752	657.8014
MGC29506	748.3051	MGC29506	324.4681
MGC3771	8.9407	MGC3771	14.8493
MGC42105	17.7966	removed	removed
MGC45800	18.6441	MGC45800	9.3085
MGC57346	96.0593	MGC57346	198.0186
MGC70857	218.6441	MGC70857	580.2305
MGC72080	70.5763	MGC72080	75.4521
MGC87042	5.0847	MGC87042	12.4113
MGEA5	3623.7288	MGEA5	3041.6667
MGLL	1430.5085	MGLL	2261.5248
MGMT	462.7119	MGMT	847.0745
MGP	3334.7458	MGP	125833.3333
MGRN1	1076.2712	MGRN1	1519.0603
MGST1	3006.7797	MGST1	4847.0745
MGST2	947.4576	MGST2	853.2801
MGST3	4013.5593	MGST3	1641.844
MIA3	2405.9322	MIA3	2514.6277
MIAT	120.339	MIAT	41.1348
MIA	39.8305	MIA	2056.3564
MIB1	2458.4746	MIB1	1234.4858
MIB2	342.3729	MIB2	599.2908
MICAL1	404.2373	MICAL1	554.5213
MICAL2	3638.9831	MICAL2	1555.4078
MICAL3	488.1356	MICAL3	1367.0213
MICALCL	91.5254	MICALCL	42.5532
MICALL1	416.1017	MICALL1	1222.0745
MICALL2	309.322	MICALL2	632.9787
MICA	305.0847	MICA	221.1879
MICB	105.9322	MICB	58.9539
MID1IP1	147.4576	MID1IP1	657.8014
MID1	104.2373	MID1	538.5638
MID2	343.2203	MID2	419.3262
MIDN	1424.5763	MIDN	3269.0603
MIER1	749.1525	MIER1	547.4291
MIER2	348.3051	MIER2	526.1525
MIER3	703.3898	MIER3	330.6738
MIF4GD	228.6949	MIF4GD	522.0966
MIF	6330.4237	MIF	7282.0168
MIIP	224.5763	MIIP	490.2482
MINA	336.7627	MINA	796.977
MINK1	892.5508	MINK1	2232.5
MINPP1	564.4068	MINPP1	429.9645
MIOS	613.5593	MIOS	551.4184
MIPEP	566.9492	MIPEP	896.2766
MIPOL1	37.2881	MIPOL1	74.4681
MIR155HG	17.7966	MIR155HG	5.3191
removed	removed	MIR17HG	23.4929
MIS12	251.6949	MIS12	376.3298
MITD1	202.5424	MITD1	191.4894
MITF	396.6102	MITF	127.2163
MKI67IP	1033.8898	MKI67IP	899.3706
MKI67	4138.1356	MKI67	453.4574
MKKS	916.9492	MKKS	840.8688
MKL1	1225.4237	MKL1	1580.6738
MKL2	1379.661	MKL2	1231.8262
MKLN1	820.339	MKLN1	1070.0355
MKNK1	271.1864	MKNK1	538.5816
MKNK2	2950	MKNK2	4185.2837
MKRN1	2859.322	MKRN1	2941.0461
MKRN2	765.5169	MKRN2	640.0709
MKS1	449.1525	MKS1	397.1631
MKX	23.7288	MKX	5.7624
MLEC	2872.0339	MLEC	5997.7837
MLF1IP	1237.2881	MLF1IP	214.57
MLF1	658.4746	MLF1	363.0319
MLF2	3281.3559	MLF2	4164.0071
MLH1	972.0339	MLH1	861.7021
removed	removed	MLH3	359.4858
MLKL	172.8814	MLKL	133.422
MLL2	1069.9237	MLL2	1545.9087
MLL3	1177.1186	MLL3	1457.4468
MLL4	711.8644	MLL4	1151.1525
MLL5	1136.1441	MLL5	1057.6241
MLLT10	421.1864	MLLT10	415.7801
MLLT11	143.2203	MLLT11	182.6241
MLLT1	1354.2373	MLLT1	1965.4255
MLLT3	341.5254	MLLT3	325.7979
removed	removed	MLLT4	2007.9787
MLLT6	1035.5932	MLLT6	4157.3582
MLL	973.7288	MLL	1329.344
MLPH	6007.6271	MLPH	5335.1064
MLST8	844.9153	MLST8	1193.1472
MLXIPL	11.8644	MLXIPL	81.5603
MLXIP	471.1864	MLXIP	802.305
MLX	566.1017	MLX	1031.4317
MLYCD	137.2881	MLYCD	293.883
MMAA	311.8644	MMAA	223.4043
MMAB	334.7458	MMAB	943.7057
MMACHC	37.2881	MMACHC	180.8511
MMADHC	2441.5254	MMADHC	1855.0532
MMD	355.0847	MMD	235.8156
MMEL1	42.7712	MMEL1	17.4601
MME	728.8136	MME	2906.9149
MMGT1	950	MMGT1	728.2801
MMP10	203.3898	removed	removed
MMP11	18550.8475	MMP11	110.3723
MMP12	15.2542	removed	removed
MMP13	1439.8305	MMP13	21.2766
MMP14	27948.3051	MMP14	5327.5709
MMP15	388.9831	MMP15	910.461
MMP16	185.5932	MMP16	76.6844
MMP17	105.0847	MMP17	164.4504
MMP19	409.322	MMP19	375.4433
MMP1	316.1017	removed	removed
MMP23B	36.4407	MMP23B	138.7411
MMP24	222.0339	MMP24	492.9078
MMP25	625.2373	MMP25	71.3697
removed	removed	MMP27	7.9787
MMP28	52.5424	MMP28	55.4078
