gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
LCN12	10.8864	LCN12	7.1006
LCN2	242.7363	LCN2	442.0118
removed	removed	LCN6	33.0355
LCORL	147.7484	LCORL	68.7101
LCOR	64.8268	LCOR	70.8343
LCP1	4054.726	LCP1	3843.787
LCP2	710.8496	LCP2	465.6805
LDB1	1547.6278	LDB1	1019.5266
LDB2	92.0927	LDB2	1781.6568
LDB3	7.6499	LDB3	136.0947
LDHA	6987.569	LDHA	11827.2189
LDHB	9888.0471	LDHB	5980.4734
LDHC	5.2961	removed	removed
LDHD	5.2961	LDHD	235.503
LDLRAD2	13.0254	LDLRAD2	205.2426
LDLRAD3	424.8621	LDLRAD3	604.7337
LDLRAP1	466.9364	LDLRAP1	760.355
LDLR	1813.6079	LDLR	1636.6864
LDOC1L	1031.8499	LDOC1L	1256.8047
LDOC1	1512.9092	LDOC1	834.3195
LEF1	166.826	LEF1	50.8876
LEFTY2	39.132	LEFTY2	27.8107
LEKR1	13.8286	LEKR1	24.2604
LEMD1	5.2961	removed	removed
LEMD2	1214.27	LEMD2	570.4142
LEMD3	795.8808	LEMD3	749.7041
LENG1	60.6105	LENG1	76.3314
LENG8	1459.3189	LENG8	2545.3136
LENG9	100.9606	LENG9	111.4911
LEO1	471.3498	LEO1	585.2071
LEPRE1	377.786	LEPRE1	519.5266
LEPREL1	111.5116	LEPREL1	418.9349
LEPREL2	122.1037	LEPREL2	336.0947
LEPROTL1	680.8385	LEPROTL1	1123.6686
LEPROT	393.5329	LEPROT	1184.4615
removed	removed	LEPR	1705.4793
removed	removed	LEP	6613.6095
LETM1	2280.5443	LETM1	913.0178
LETM2	15.594	LETM2	28.4024
LETMD1	604.6341	LETMD1	1068.6391
LFNG	206.2523	LFNG	944.3787
removed	removed	LGALS12	459.7633
LGALS1	3232.9533	LGALS1	7809.4675
removed	removed	LGALS2	20.1183
LGALS3BP	3841.1181	LGALS3BP	10192.3077
LGALS3	1285.1784	LGALS3	6879.2899
removed	removed	LGALS4	10.0592
removed	removed	LGALS7	14.2012
LGALS8	363.0599	LGALS8	1258.574
LGALS9C	8.2383	LGALS9C	15.9763
LGALS9	1281.6477	LGALS9	1194.6746
removed	removed	LGI1	10.0592
LGI2	100.331	LGI2	101.1834
LGI4	22.0669	LGI4	352.071
LGMN	3095.8441	LGMN	3260.355
LGR4	61.4932	LGR4	696.4497
LGR5	33.836	LGR5	31.9527
LGR6	16.7709	LGR6	244.9704
LGTN	647.8853	LGTN	1219.5266
removed	removed	LHCGR	27.2189
LHFPL2	1262.8172	LHFPL2	1588.1657
LHFP	195.9544	LHFP	3870.4142
LHPP	440.4561	LHPP	475.1479
LHX2	10.8864	removed	removed
LHX6	530.4892	LHX6	601.7751
LHX8	13.2402	removed	removed
LIAS	118.573	LIAS	198.8166
LIFR	109.452	LIFR	3701.1834
LIF	24.1265	LIF	263.9053
LIG1	868.8488	LIG1	286.9822
LIG3	1336.6679	LIG3	488.7574
LIG4	132.1074	LIG4	372.1893
LILRA1	5.0018	LILRA1	7.6923
LILRA2	6.473	LILRA2	17.7515
LILRA3	30.3053	LILRA3	19.5266
LILRA4	38.8378	LILRA4	11.8343
LILRA5	39.4263	LILRA5	64.497
LILRA6	122.5715	LILRA6	106.1124
LILRB1	290.4009	LILRB1	109.4675
LILRB2	353.071	LILRB2	300
LILRB3	124.5782	LILRB3	129.9822
LILRB4	768.8121	LILRB4	194.6746
LILRB5	56.4914	LILRB5	190.5325
LIMA1	950.0552	LIMA1	6024.8521
LIMCH1	339.5366	LIMCH1	3520.7101
LIMD1	1156.8459	LIMD1	817.568
LIMD2	679.9529	LIMD2	267.5858
LIME1	127.5587	LIME1	88.3432
LIMK1	791.1732	LIMK1	617.1598
LIMK2	704.0824	LIMK2	2164.497
LIMS1	354.2479	LIMS1	360.355
LIMS2	83.5601	LIMS2	2130.7692
LIMS3-LOC440895	6.1787	LIMS3-LOC440895	69.3905
removed	removed	LIMS3	16.4083
LIN37	266.0154	LIN37	129.9408
LIN52	224.7885	LIN52	162.7219
LIN54	698.4921	LIN54	300.5917
LIN7A	8.8268	LIN7A	46.7456
LIN7B	12.0633	LIN7B	23.0769
LIN7C	424.8621	LIN7C	905.9172
LIN9	211.8426	LIN9	89.9408
LINGO1	53.2549	LINGO1	150.2959
LINGO2	7.3556	LINGO2	5.9172
LINGO3	10.0037	removed	removed
removed	removed	LINGO4	13.6095
LINS1	186.2449	LINS1	349.1124
LIPA	1887.1644	LIPA	2966.8639
LIPE	11.1806	LIPE	5964.2485
LIPG	8.2383	LIPG	43.1953
LIPH	18.5362	LIPH	239.0533
LIPT1	67.0835	LIPT1	179.2012
LIPT2	17.6535	LIPT2	14.5089
LITAF	4297.4623	LITAF	5795.858
LIX1L	251.5631	LIX1L	855.6213
LLGL1	1018.3156	LLGL1	650.2959
LLGL2	2406.473	LLGL2	620.7101
LLPH	649.6506	LLPH	811.426
LMAN1	5068.0397	LMAN1	2800
LMAN2L	348.9518	LMAN2L	686.9822
LMAN2	1830.9673	LMAN2	2464.497
LMBR1L	358.9555	LMBR1L	362.7219
LMBR1	1078.0434	LMBR1	864.497
LMBRD1	752.9239	LMBRD1	1773.3728
LMBRD2	32.9533	LMBRD2	129.5858
LMCD1	529.6065	LMCD1	2054.4379
LMF1	186.2449	LMF1	326.6272
LMF2	714.9687	LMF2	1428.9941
LMLN	161.53	LMLN	231.9527
LMNA	19085.2519	LMNA	9684.0237
LMNB1	3934.3876	LMNB1	160.9467
LMNB2	2775.1379	LMNB2	476.9231
LMO1	17.6535	removed	removed
LMO2	139.7573	LMO2	993.4911
LMO3	8.8268	LMO3	279.2899
LMO4	3796.9842	LMO4	1618.3432
LMO7	1020.9636	LMO7	574.5562
LMOD1	74.7334	LMOD1	3466.2722
LMTK2	285.399	LMTK2	188.7574
LMTK3	8.8268	LMTK3	87.574
removed	removed	LMX1A	13.6095
LMX1B	343.3615	LMX1B	630.7692
LNP1	71.5675	LNP1	73.4556
LNPEP	116.1751	LNPEP	139.0533
LNX1	25.3034	LNX1	336.0947
LNX2	832.9533	LNX2	599.4083
LOC100009676	37.399	LOC100009676	90.645
removed	removed	LOC100124692	28.4024
LOC100125556	22.8172	LOC100125556	36.8225
LOC100126784	11.1806	LOC100126784	27.2189
LOC100127888	19.0717	removed	removed
LOC100128191	150.6054	LOC100128191	24.9882
removed	removed	LOC100128239	8.284
LOC100128288	11.4748	LOC100128288	65.0888
removed	removed	LOC100128292	14.7929
LOC100128640	56.1971	LOC100128640	35.503
LOC100128788	9.4152	LOC100128788	14.2012
LOC100128822	71.4969	LOC100128822	90.5325
LOC100128842	10.5921	LOC100128842	22.4852
removed	removed	LOC100128977	16.568
LOC100129034	1261.9198	LOC100129034	1990.4024
LOC100129387	31.1526	LOC100129387	104.4024
LOC100129534	8.2383	LOC100129534	37.8698
LOC100129550	102.979	LOC100129550	234.9112
LOC100129637	96.2118	LOC100129637	184.0237
LOC100129716	8.2383	LOC100129716	11.8343
removed	removed	LOC100129726	5.9172
LOC100130015	5.3902	LOC100130015	31.1716
LOC100130093	29.0136	LOC100130093	77.8166
removed	removed	LOC100130148	7.6923
LOC100130331	5.8845	removed	removed
LOC100130522	7.6499	LOC100130522	15.3846
LOC100130557	15.2321	LOC100130557	38.3964
LOC100130581	73.8507	LOC100130581	68.6391
LOC100130691	8.1118	LOC100130691	7.2663
LOC100130776	291.2747	LOC100130776	239.3432
LOC100130872	88.8562	LOC100130872	43.787
LOC100130932	71.4969	LOC100130932	55.0296
LOC100131193	12.7135	LOC100131193	26.2604
LOC100131434	27.6808	LOC100131434	53.5266
removed	removed	LOC100131551	9.4675
LOC100131691	8.4207	LOC100131691	16.4793
LOC100132111	8.5325	removed	removed
LOC100132215	35.6013	LOC100132215	18.3432
LOC100132247	180.6547	LOC100132247	253.8462
LOC100132287	119.4557	LOC100132287	267.4556
LOC100132288	119.1615	LOC100132288	337.8698
LOC100132707	33.9478	LOC100132707	93.6095
removed	removed	LOC100132832	6.9527
LOC100133161	23.5381	LOC100133161	26.8639
LOC100133331	53.2549	LOC100133331	123.6686
LOC100133612	6.473	removed	removed
LOC100133669	20.3016	removed	removed
LOC100133957	8.1736	LOC100133957	5.7337
removed	removed	LOC100133985	9.4675
LOC100133991	17.3593	LOC100133991	23.0769
LOC100134229	117.9846	LOC100134229	192.8994
LOC100134259	5.0018	LOC100134259	13.6095
LOC100134713	19.4277	LOC100134713	21.8994
LOC100144603	7.0614	LOC100144603	8.284
removed	removed	LOC100144604	10.6509
LOC100170939	15.594	LOC100170939	26.0355
removed	removed	LOC100188947	15.9763
LOC100188949	13.2402	LOC100188949	8.284
LOC100190938	7.0614	LOC100190938	152.071
LOC100190939	40.3089	LOC100190939	331.9527
LOC100190986	34.1302	LOC100190986	117.7515
removed	removed	LOC100192378	11.2426
LOC100216545	65.0239	LOC100216545	50.8876
LOC100233209	66.495	LOC100233209	20.1183
removed	removed	LOC100240735	21.8935
LOC100268168	6.7672	LOC100268168	8.284
LOC100270710	55.2321	LOC100270710	257.5207
LOC100270746	64.4355	LOC100270746	33.7278
LOC100270804	8.2383	LOC100270804	34.9112
LOC100271722	5.0018	LOC100271722	30.7692
removed	removed	LOC100271831	17.3314
LOC100271836	407.1762	LOC100271836	246.9527
LOC100272146	61.199	LOC100272146	28.9941
removed	removed	LOC100272216	6.5089
LOC100272217	16.7709	LOC100272217	9.4675
LOC100272228	19.7131	LOC100272228	21.8935
LOC100286793	195.6602	LOC100286793	137.8698
LOC100286844	5.2608	LOC100286844	32.3905
LOC100287227	6.4847	removed	removed
LOC100288778	445.3255	LOC100288778	576.2781
LOC100289341	61.4932	LOC100289341	100
LOC100302401	38.5612	LOC100302401	27.2189
removed	removed	LOC100302640	14.2012
removed	removed	LOC100302650	36.6864
LOC100303728	16.4766	LOC100303728	42.0118
LOC113230	45.3108	LOC113230	107.1006
LOC115110	32.1383	LOC115110	67.5858
removed	removed	LOC121838	14.2012
removed	removed	LOC134466	21.3018
removed	removed	LOC143188	18.9349
LOC143666	5.8845	LOC143666	11.8343
LOC144438	887.3851	LOC144438	727.8107
LOC144486	15.0055	LOC144486	5.9172
LOC144571	13.2725	LOC144571	51
LOC145783	42.3685	LOC145783	36.0473
removed	removed	LOC145820	118.9349
removed	removed	LOC145837	77.5148
LOC146880	639.0585	LOC146880	326.0592
LOC147727	185.9507	LOC147727	547.929
LOC147804	68.8488	LOC147804	153.2544
LOC148189	107.2129	LOC148189	56.213
LOC148413	181.7609	LOC148413	215.4556
LOC148709	5.5903	removed	removed
removed	removed	LOC149134	16.568
LOC149837	87.9735	LOC149837	68.0473
LOC150381	30.2935	LOC150381	56.2071
LOC150776	295.4027	LOC150776	314.7929
LOC150786	57.0798	LOC150786	43.787
LOC151009	51.1953	LOC151009	49.1124
LOC151162	2210.2243	LOC151162	1174.5562
LOC151174	8.2383	LOC151174	8.8757
LOC151534	181.6962	LOC151534	115.3846
LOC152217	290.4009	LOC152217	253.2544
removed	removed	LOC153328	8.8757
LOC153684	8.5325	LOC153684	33.1361
LOC154761	76.2015	LOC154761	88.4556
LOC154822	325.5167	LOC154822	11.9172
LOC158376	17.0651	LOC158376	136.6864
LOC158572	20.89	LOC158572	30.7692
removed	removed	LOC158696	14.2012
LOC162632	76.2045	LOC162632	60.9467
removed	removed	LOC168474	6.5089
LOC200030	690.2979	LOC200030	578.6982
LOC202181	40.8974	LOC202181	31.9527
LOC202781	256.8591	LOC202781	331.9527
LOC219347	37.2402	LOC219347	74.1598
LOC220594	205.7433	LOC220594	120.7574
LOC220729	148.2898	LOC220729	163.9053
LOC220930	278.5612	LOC220930	115.3846
LOC221442	24.715	LOC221442	81.6568
LOC221710	897.0945	LOC221710	266.8639
LOC222699	8.2383	LOC222699	33.7278
LOC253039	762.0449	LOC253039	825.4438
LOC253724	6.7672	LOC253724	14.7929
LOC254559	13.5344	LOC254559	65.0888
LOC255167	235.6749	LOC255167	10.6509
removed	removed	LOC257358	8.284
LOC25845	156.7312	LOC25845	306.9882
LOC282997	24.1265	LOC282997	41.4201
LOC283050	7.0614	LOC283050	31.3609
LOC283070	1432.8797	LOC283070	327.8107
removed	removed	LOC283174	172.7811
LOC283267	170.651	LOC283267	276.3314
LOC283314	61.0901	LOC283314	78.2959
removed	removed	LOC283392	120.2426
LOC283663	10.5921	LOC283663	56.8047
removed	removed	LOC283731	13.0178
LOC283922	14.4171	LOC283922	33.7278
LOC284023	75.3218	LOC284023	112.426
removed	removed	LOC284100	5.3254
LOC284232	19.4189	LOC284232	23.0769
LOC284233	5.5903	LOC284233	11.8343
removed	removed	LOC284276	22.4852
LOC284440	68.2604	LOC284440	197.0414
LOC284441	95.3292	LOC284441	76.9231
removed	removed	LOC284578	31.3609
LOC284837	60.6105	LOC284837	19.5266
LOC284900	73.4917	LOC284900	131.1183
LOC285033	26.6274	LOC285033	27
LOC285074	214.7848	LOC285074	205.3254
LOC285359	69.7315	LOC285359	71.0059
LOC285548	8.2383	removed	removed
removed	removed	LOC285593	12.426
LOC285830	18.4156	LOC285830	82.3195
LOC286367	62.3759	LOC286367	134.9112
LOC338651	89.1504	LOC338651	34.9112
LOC338758	9.7095	LOC338758	81.6568
LOC338799	187.1276	LOC338799	280.4734
LOC339047	1043.0305	LOC339047	1114.2012
LOC339290	367.488	LOC339290	775.7396
LOC339524	111.8058	LOC339524	688.7574
LOC339535	93.2696	LOC339535	44.3787
LOC339674	7.3556	removed	removed
LOC341056	14.7113	LOC341056	8.8757
LOC344595	81.5006	LOC344595	256.8047
LOC344967	5.8845	removed	removed
LOC348926	79.7352	LOC348926	71.0059
LOC349114	41.4858	LOC349114	119.5266
LOC374443	87.9735	LOC374443	127.2189
LOC375190	36.484	LOC375190	122.4852
LOC387646	68.8488	LOC387646	26.0355
LOC387647	794.5274	LOC387647	419.1538
LOC388152	221.552	LOC388152	64.497
LOC388242	209.783	LOC388242	58.5799
LOC388588	6.1787	LOC388588	15.3846
LOC388692	49.7242	LOC388692	343.1953
LOC388789	340.7135	LOC388789	528.4024
LOC388796	697.3152	LOC388796	260.355
LOC388955	310.4082	LOC388955	311.2426
removed	removed	LOC389033	11.2426
LOC389333	17.6535	LOC389333	60.355
removed	removed	LOC389493	38.4615
removed	removed	LOC389705	17.7515
removed	removed	LOC390595	11.8343
LOC399744	55.3145	LOC399744	121.8935
LOC399815	19.7131	removed	removed
LOC399959	37.0725	LOC399959	675.1479
LOC400027	144.1707	LOC400027	321.3018
LOC400043	36.484	LOC400043	330.7692
LOC400657	142.6995	LOC400657	209.4675
LOC400696	32.9533	LOC400696	21.3018
LOC400752	38.8378	LOC400752	24.8521
LOC400759	107.3924	LOC400759	47.929
LOC400927	15.0761	LOC400927	23.6331
LOC400931	11.4748	LOC400931	119.5266
LOC401010	37.9551	LOC401010	18.3432
LOC401052	20.3016	LOC401052	139.645
LOC401093	56.8062	LOC401093	269.1243
LOC401127	8.8268	removed	removed
LOC401397	320.7061	LOC401397	540.8284
LOC401431	31.4969	LOC401431	53.3077
removed	removed	LOC401463	5.3254
LOC401588	59.7278	LOC401588	85.7988
LOC402377	10.0037	LOC402377	16.568
LOC407835	71.4969	LOC407835	28.9941
LOC440354	216.1265	LOC440354	163.3136
LOC440356	10.2979	LOC440356	11.8343
removed	removed	LOC440461	26.6272
removed	removed	LOC440905	54.4379
removed	removed	LOC440925	15.9763
LOC440944	305.4064	LOC440944	231.9527
LOC440957	147.1129	LOC440957	136.0947
removed	removed	LOC441046	18.3432
LOC441089	263.6263	LOC441089	92.8994
LOC441204	11.4748	LOC441204	66.2722
LOC441208	27.363	LOC441208	43.1953
LOC441294	75.3218	LOC441294	52.071
LOC441455	18.5362	LOC441455	10.6509
removed	removed	LOC441601	7.6923
LOC441666	93.5638	LOC441666	98.2249
removed	removed	LOC441869	73.9645
LOC442421	9.121	LOC442421	31.3609
LOC442454	191.2468	LOC442454	100.5917
LOC493754	395.1453	LOC493754	555.0296
LOC541471	278.6318	LOC541471	190.5325
LOC550112	116.8076	LOC550112	211.8343
LOC550643	211.8426	LOC550643	197.6331
removed	removed	LOC554202	17.7515
removed	removed	LOC55908	18.3432
removed	removed	LOC572558	15.3846
LOC595101	131.5131	LOC595101	64.497
LOC606724	54.726	LOC606724	35.503
LOC613037	5.5903	LOC613037	31.9527
removed	removed	LOC619207	9.4675
LOC641298	101.7757	LOC641298	18.4852
removed	removed	LOC642587	332.5444
LOC642826	70.3847	LOC642826	107.5976
LOC642846	279.2203	LOC642846	138.4615
LOC642852	128.5767	LOC642852	192.8994
LOC643008	10.8864	LOC643008	16.568
LOC643387	48.8415	LOC643387	29.5858
removed	removed	LOC643719	31.9527
LOC643837	195.6602	LOC643837	169.8225
LOC644165	13.2196	LOC644165	23.0769
removed	removed	LOC644172	8.284
LOC644538	81.2063	LOC644538	204.142
LOC644936	15.8882	LOC644936	23.6686
LOC645166	112.9827	LOC645166	123.0769
LOC645323	161.2357	removed	removed
LOC645332	162.1184	LOC645332	114.2012
LOC645431	6.932	LOC645431	16.7929
LOC645676	38.676	LOC645676	27.8994
LOC646214	132.4016	LOC646214	146.7456
LOC646471	54.3965	LOC646471	47.4083
LOC646762	257.4476	LOC646762	263.3136
LOC646851	31.7764	LOC646851	76.9231
LOC646999	8.5325	LOC646999	18.9349
LOC647121	59.1394	LOC647121	50.8876
LOC647288	6.7672	LOC647288	7.1006
LOC647946	103.2733	removed	removed
LOC647979	4201.8389	LOC647979	11136.0947
removed	removed	LOC648740	13.4142
LOC649330	17.9478	removed	removed
LOC650368	7.6499	LOC650368	43.787
LOC650623	57.374	LOC650623	56.213
LOC651250	934.7554	LOC651250	2366.8639
LOC652276	40.3089	LOC652276	29.5858
LOC653113	13.2402	LOC653113	35.503
LOC653501	224.4943	LOC653501	201.7751
LOC653566	1710.0405	LOC653566	1517.1598
LOC653653	76.4987	LOC653653	88.1657
removed	removed	LOC653786	8.8757
LOC654342	331.004	LOC654342	607.6923
LOC654433	12.0633	LOC654433	83.432
LOC678655	221.6609	LOC678655	214.0237
LOC727896	24.4207	LOC727896	17.7515
LOC728024	17.3593	LOC728024	23.6686
LOC728190	150.6436	LOC728190	119.5266
LOC728264	21.7727	LOC728264	1217.1598
LOC728323	50.6068	LOC728323	30.7692
LOC728392	26.4803	LOC728392	139.645
LOC728554	180.3604	LOC728554	98.8166
removed	removed	LOC728606	49.7041
LOC728613	14.4171	LOC728613	122.4852
LOC728640	55.0202	LOC728640	41.4201
LOC728643	62.0816	LOC728643	26.0355
LOC728723	10.6627	LOC728723	24.8521
LOC728743	157.705	LOC728743	144.3787
LOC728758	44.1339	LOC728758	36.6864
LOC728819	15.0055	LOC728819	32.5444
LOC728855	65.783	LOC728855	120.6391
LOC728875	54.2611	LOC728875	21.9645
LOC729020	19.4189	LOC729020	21.3018
LOC729082	416.6973	LOC729082	450.3669
LOC729176	38.2494	LOC729176	33.1361
LOC729234	27.363	LOC729234	94.0828
LOC729375	25.5976	LOC729375	51.4793
LOC729603	9.7095	LOC729603	16.568
LOC729678	635.2777	LOC729678	539.8166
removed	removed	LOC729799	24.8521
LOC729991-MEF2B	59.3571	LOC729991-MEF2B	26.5266
LOC729991	175.2468	LOC729991	245.4142
LOC730101	286.8702	LOC730101	165.6805
LOC80054	21.7727	LOC80054	76.9231
LOC80154	421.9198	LOC80154	214.7929
LOC81691	301.8757	LOC81691	111.2426
LOC84740	1918.2494	removed	removed
LOC84856	229.7904	LOC84856	34.3195
LOC84989	5.3755	removed	removed
LOC90110	211.8426	LOC90110	252.071
removed	removed	LOC90246	73.3728
removed	removed	LOC90586	12.426
LOC90784	30.8937	LOC90784	48.5207
LOC90834	6.7672	LOC90834	18.3432
LOC91316	80.8032	LOC91316	332.5621
removed	removed	LOC91450	5.3254
LOC92249	358.0728	LOC92249	563.3136
LOC92659	52.6664	LOC92659	50.8876
LOC92973	34.1302	LOC92973	84.6154
LOC93622	337.7712	LOC93622	372.7811
LOC96610	292082.4686	LOC96610	7863.9349
LOH12CR1	152.9974	LOH12CR1	110.6509
LOH12CR2	10.2979	LOH12CR2	51.4793
LOH3CR2A	9.7095	LOH3CR2A	138.4615
LONP1	2845.7521	LONP1	1059.1716
LONP2	2052.2251	LONP2	1552.6627
LONRF1	459.875	LONRF1	787.574
LONRF2	50.0184	LONRF2	338.4615
LONRF3	42.6627	LONRF3	43.787
removed	removed	LOXHD1	8.8757
LOXL1	218.3156	LOXL1	558.5799
LOXL2	892.0515	LOXL2	896.9822
LOXL3	253.9198	LOXL3	69.8462
LOXL4	38.8378	LOXL4	343.1953
LOX	225.9654	LOX	1434.9112
removed	removed	LPAL2	7.1006
LPAR1	94.1523	LPAR1	550.8876
LPAR2	961.2357	LPAR2	243.1953
LPAR3	7.0614	LPAR3	5.9172
removed	removed	LPAR4	8.8757
LPAR5	136.5208	LPAR5	91.1243
LPAR6	199.1909	LPAR6	1475.1479
LPCAT1	794.1155	LPCAT1	914.7929
LPCAT2	161.2357	LPCAT2	1005.9172
LPCAT3	900.0368	LPCAT3	1667.4556
LPCAT4	480.4708	LPCAT4	633.1361
LPGAT1	1593.527	LPGAT1	2022.4852
LPHN1	1508.4869	LPHN1	902.9586
LPHN2	202.1331	LPHN2	1072.1893
removed	removed	LPHN3	172.7811
LPIN1	4874.7334	LPIN1	899.4083
LPIN2	700.8459	LPIN2	1101.1834
LPIN3	160.3648	LPIN3	334.5799
LPL	1020.0809	LPL	13956.213
LPPR1	33.2475	LPPR1	14.2012
LPPR2	164.4722	LPPR2	687.574
LPPR3	125.6344	LPPR3	11.2426
LPPR4	28.2457	LPPR4	227.2189
LPP	265.3917	LPP	312.426
LPXN	608.1648	LPXN	305.9172
LQK1	20.5958	LQK1	29.5858
LRAT	471.3498	LRAT	68.6391
LRBA	1852.74	LRBA	2103.5503
LRCH1	186.5392	LRCH1	732.5444
LRCH2	7.9441	LRCH2	91.716
LRCH3	294.8143	LRCH3	346.1538
LRCH4	611.6955	LRCH4	646.7456
LRDD	126.5171	LRDD	152.071
LRFN1	130.342	LRFN1	59.7633
LRFN3	585.8036	LRFN3	209.4675
LRFN4	675.5425	LRFN4	197.0414
LRFN5	9.121	LRFN5	74.5562
LRG1	8.2383	LRG1	702.9586
removed	removed	LRGUK	14.2012
LRIG1	1281.4035	LRIG1	4616.9053
LRIG2	228.6135	LRIG2	226.0355
LRIG3	476.0574	LRIG3	630.7692
removed	removed	LRIT3	10.6509
LRMP	152.9974	LRMP	243.1953
LRP10	2103.1261	LRP10	5663.3136
LRP11	1003.8985	LRP11	975.7219
LRP12	890.6216	LRP12	246.7456
removed	removed	LRP1B	24.8521
LRP1	1690.6216	LRP1	14655.6213
LRP2BP	26.4803	LRP2BP	69.2308
LRP2	1803.8985	LRP2	943.787
LRP3	718.2464	LRP3	1154.8994
LRP4	17.8595	LRP4	100
LRP5L	25.0092	LRP5L	69.8225
LRP5	1147.7749	LRP5	1696.4497
LRP6	1061.861	LRP6	1236.6864
LRP8	372.7841	LRP8	38.4615
LRPAP1	925.046	LRPAP1	1297.0414
LRPPRC	9147.7749	LRPPRC	3275.1479
LRRC10B	134.7554	LRRC10B	19.5266
LRRC14B	206.2523	removed	removed
LRRC14	834.0772	LRRC14	574.7101
LRRC15	1344.3178	LRRC15	175.7396
LRRC16A	867.9662	LRRC16A	486.9822
LRRC16B	7.9441	LRRC16B	5.3254
LRRC17	31.1879	LRRC17	226.6272
LRRC19	6.1787	removed	removed
LRRC1	929.4594	LRRC1	653.8462
LRRC20	164.178	LRRC20	110.6509
LRRC23	80.6179	LRRC23	127.2189
LRRC24	8.5855	LRRC24	7.5385
LRRC25	134.4612	LRRC25	202.9586
removed	removed	LRRC26	126.0355
LRRC27	166.3082	LRRC27	186.3905
LRRC28	115.0423	LRRC28	194.6746
LRRC29	18.242	LRRC29	66.2722
LRRC2	20.3016	LRRC2	44.9704
LRRC32	254.2111	LRRC32	3562.7219
LRRC33	194.7775	LRRC33	370.4142
LRRC34	14.1228	LRRC34	76.9231
removed	removed	LRRC36	8.284
LRRC37A2	51.3895	LRRC37A2	34.8284
LRRC37A3	43.5454	LRRC37A3	86.3905
LRRC37A4	262.8996	LRRC37A4	145.4852
LRRC37A	190.9526	LRRC37A	150.2959
LRRC37B2	697.9036	LRRC37B2	424.2604
LRRC37B	279.8088	LRRC37B	149.1124
removed	removed	LRRC39	6.1479
removed	removed	LRRC3B	15.9763
LRRC3	14.7113	LRRC3	39.645
LRRC40	318.3523	LRRC40	402.3669
LRRC41	3781.9787	LRRC41	1978.6982
LRRC42	1161.0151	LRRC42	643.787
removed	removed	LRRC43	13.6095
LRRC45	278.9261	LRRC45	127.8107
LRRC46	5.2961	LRRC46	14.7929
LRRC47	1796.2486	LRRC47	1075.1479
LRRC48	29.299	LRRC48	72.1893
LRRC49	16.1824	LRRC49	157.3964
removed	removed	LRRC4B	33.7278
removed	removed	LRRC4C	165.0888
LRRC4	14.7113	LRRC4	41.4201
LRRC50	10.0037	LRRC50	17.7515
LRRC55	72.968	LRRC55	15.3846
LRRC56	13.2402	LRRC56	60.9467
LRRC57	269.8051	LRRC57	384.0237
LRRC58	1679.7352	LRRC58	1339.645
LRRC59	3961.8036	LRRC59	1865.0237
LRRC61	457.2269	LRRC61	173.3728
removed	removed	LRRC66	11.2426
LRRC6	24.4207	LRRC6	60.9467
LRRC70	18.242	LRRC70	270.4142
LRRC8A	2034.5715	LRRC8A	1652.071
LRRC8B	1715.925	LRRC8B	563.9053
LRRC8C	1505.8477	LRRC8C	1048.5207
LRRC8D	1599.7058	LRRC8D	665.6805
LRRC8E	207.135	LRRC8E	257.3964
LRRCC1	1752.409	LRRCC1	520.7101
LRRFIP1	1035.9691	LRRFIP1	4272.7811
LRRFIP2	3090.8422	LRRFIP2	1182.8402
LRRIQ1	36.1898	LRRIQ1	32.5444
removed	removed	LRRIQ3	17.7515
LRRK1	469.8786	LRRK1	269.8225
LRRK2	102.979	LRRK2	390.5325
LRRN1	1364.0309	LRRN1	526.0355
LRRN2	435.7484	LRRN2	166.2722
LRRN3	27.0688	LRRN3	362.1302
removed	removed	LRRN4CL	585.2071
LRRN4	5.2961	removed	removed
removed	removed	LRRTM2	26.6272
LRSAM1	925.046	LRSAM1	407.1006
LRTOMT	60.6929	LRTOMT	284.9349
LRWD1	433.6889	LRWD1	160.355
LSAMP	61.7874	LSAMP	46.1538
LSG1	1365.502	LSG1	914.2012
LSM10	589.9228	LSM10	459.1716
LSM11	392.4972	LSM11	147.3373
LSM12	1470.2464	LSM12	1020.7101
LSM14A	9174.8437	LSM14A	2967.4556
LSM14B	1480.5443	LSM14B	589.3491
LSM1	867.0835	LSM1	560.9467
LSM2	1492.9018	LSM2	618.9349
LSM3	721.7359	LSM3	828.4024
LSM4	2146.0831	LSM4	920.1183
LSM5	543.4351	LSM5	664.497
LSM6	409.5623	LSM6	267.4556
LSM7	762.3391	LSM7	240.2367
LSMD1	576.0942	LSMD1	414.2012
LSP1	925.6344	LSP1	1524.2604
LSR	3571.313	LSR	1198.2249
LSS	1542.0375	LSS	909.4675
removed	removed	LST-3TM12	33.7278
LST1	157.4108	LST1	160.9467
LTA4H	1684.1486	LTA4H	1728.4024
LTA	34.7186	LTA	13.6095
LTB4R2	26.5451	LTB4R2	26.6509
LTB4R	132.8694	LTB4R	146.3728
LTBP1	1908.6429	LTBP1	1311.2426
LTBP2	538.139	LTBP2	4134.3195
LTBP3	956.3016	LTBP3	2831.8935
LTBP4	662.3023	LTBP4	3607.1006
LTBR	1659.1394	LTBR	1553.8462
LTB	48.5473	LTB	43.1953
LTC4S	6.4024	LTC4S	54.213
LTF	845.3108	LTF	12056.8047
