gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
ADIPOR1	1974.8437	ADIPOR1	2210.0592
ADIPOR2	1675.616	ADIPOR2	2469.8225
ADK	280.6914	ADK	373.3728
ADM2	192.4237	ADM2	80.4734
ADM	124.1633	ADM	745.5621
ADNP2	1559.6911	ADNP2	713.0178
ADNP	2971.3865	ADNP	2180.4734
ADORA1	78.8525	ADORA1	131.9527
ADORA2A	237.7315	ADORA2A	111.8343
ADORA2B	144.7591	ADORA2B	63.3136
ADORA3	121.5153	ADORA3	85.7988
ADO	660.2427	ADO	777.5148
ADPGK	826.1302	ADPGK	920.8402
ADPRHL1	27.6572	ADPRHL1	139.645
ADPRHL2	1039.4998	ADPRHL2	589.3491
ADPRH	327.4733	ADPRH	625.4438
removed	removed	ADRA1A	37.2781
removed	removed	ADRA1B	29.5858
removed	removed	ADRA1D	16.568
ADRA2A	121.8095	ADRA2A	2243.787
ADRA2B	12.0633	ADRA2B	29.5858
removed	removed	ADRA2C	160.355
ADRB1	8.2383	ADRB1	50.2959
ADRB2	24.715	ADRB2	476.3314
removed	removed	ADRB3	5.9172
ADRBK1	2807.797	ADRBK1	1666.2722
ADRBK2	370.4303	ADRBK2	1255.0296
ADRM1	1692.3869	ADRM1	1023.0769
ADSL	715.5572	ADSL	702.3669
ADSSL1	33.5417	ADSSL1	113.0178
ADSS	4204.1927	ADSS	1612.426
AEBP1	4459.2865	AEBP1	6871.5976
AEBP2	1132.1809	AEBP2	868.6391
AEN	603.1629	AEN	560.9467
AES	3809.0474	AES	7375.7396
AFAP1L1	92.6811	AFAP1L1	552.071
AFAP1L2	250.9746	AFAP1L2	755.6213
AFAP1	2146.1861	AFAP1	1282.8402
AFF1	988.0103	AFF1	2366.8639
AFF2	30.5995	AFF2	65.0888
AFF3	27.6572	AFF3	1109.4675
AFF4	1834.498	AFF4	2838.4615
AFG3L1	175.947	AFG3L1	288.7574
AFG3L2	6437.2637	AFG3L2	1265.9467
AFMID	283.0452	AFMID	886.9822
removed	removed	AFP	53.2544
AFTPH	1908.0544	AFTPH	1508.284
AG2	122.9864	AG2	1268.6391
removed	removed	AGAP11	215.9822
AGAP1	433.6889	AGAP1	342.0118
