gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
AKAP11	2080.6591	AKAP11	2418.0412
AKAP12	777.8523	AKAP12	12743.299
AKAP13	2054.6029	AKAP13	3690.2062
AKAP1	1482.1343	AKAP1	2553.6082
AKAP2	370.6907	AKAP2	2258.5361
AKAP3	40.2337	AKAP3	54.1237
AKAP5	1097.0399	AKAP5	13.9175
AKAP6	67.8226	AKAP6	139.1753
AKAP7	155.9536	AKAP7	283.5052
AKAP8L	819.6187	AKAP8L	498.9691
AKAP8	536.0667	AKAP8	360.8247
AKAP9	3849.794	AKAP9	1290.2062
AKD1	75.103	AKD1	86.5979
AKIRIN1	1237.6664	AKIRIN1	1026.2887
AKIRIN2	503.1133	AKIRIN2	936.5979
removed	removed	AKNAD1	11.866
AKNA	378.1971	AKNA	829.3814
AKR1A1	2931.6984	AKR1A1	1845.3608
AKR1B10	9.5795	AKR1B10	367.0103
removed	removed	AKR1B15	10.8247
AKR1B1	812.7215	AKR1B1	1928.3505
AKR1C1	514.9919	AKR1C1	5578.866
AKR1C2	352.5242	AKR1C2	6385.567
AKR1C3	368.2345	AKR1C3	3292.7835
AKR1E2	21.0748	AKR1E2	30.4124
AKR7A2	1109.6848	AKR7A2	828.866
AKR7A3	14.1776	removed	removed
AKT1S1	1407.4145	AKT1S1	928.866
AKT1	5658.7796	AKT1	3112.3711
AKT2	2919.4367	AKT2	3839.6907
AKT3	381.6458	AKT3	1414.9485
AKTIP	416.4613	AKTIP	513.8093
ALAD	1826.2286	ALAD	1892.268
ALAS1	1375.2275	ALAS1	893.299
ALB	66.6731	removed	removed
ALCAM	15129.4185	ALCAM	598.4536
ALDH16A1	849.5067	ALDH16A1	546.3918
ALDH18A1	4031.8038	ALDH18A1	1258.2474
ALDH1A1	720.7587	ALDH1A1	5454.6392
ALDH1A2	90.4301	ALDH1A2	328.866
ALDH1A3	234.8999	ALDH1A3	2944.866
ALDH1B1	928.0582	ALDH1B1	550.5155
removed	removed	ALDH1L1	3053.0928
ALDH1L2	271.2904	ALDH1L2	615.9794
ALDH2	4068.2058	ALDH2	30055.6701
removed	removed	ALDH3A1	319.0722
ALDH3A2	3014.8482	ALDH3A2	3861.3402
ALDH3B1	305.0101	ALDH3B1	538.1443
ALDH3B2	3755.9153	ALDH3B2	9.7938
ALDH4A1	1024.236	ALDH4A1	1504.1237
ALDH5A1	147.9069	ALDH5A1	548.9691
ALDH6A1	1086.2267	ALDH6A1	1135.5515
ALDH7A1	1735.4153	ALDH7A1	1440.2062
ALDH8A1	6.514	ALDH8A1	5.6701
ALDH9A1	4497.3656	ALDH9A1	4626.8041
ALDOA	65511.2559	ALDOA	12681.9588
ALDOC	150.5891	ALDOC	653.6082
ALG10B	321.8699	ALG10B	289.1753
ALG10	161.7013	ALG10	79.8969
ALG11	19.1589	ALG11	7.2165
ALG12	404.2533	ALG12	373.7113
ALG13	520.7395	ALG13	546.3918
ALG14	289.6829	ALG14	188.6598
ALG1L	23.6728	removed	removed
ALG1	977.4308	ALG1	386.3247
ALG2	1056.423	ALG2	719.5876
ALG3	1149.5354	ALG3	556.701
ALG5	753.712	ALG5	595.8763
ALG6	460.9637	ALG6	225.2577
ALG8	1367.1808	ALG8	775.7732
ALG9	711.9456	ALG9	734.0206
ALKBH1	329.1503	ALKBH1	140.2062
ALKBH2	257.4959	ALKBH2	137.6289
ALKBH3	365.5523	ALKBH3	267.5258
ALKBH4	362.2148	ALKBH4	151.1598
