gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
HYAL3	228.0065	HYAL3	37.1649
HYDIN	93.4955	HYDIN	25.7732
HYI	347.3513	HYI	439.2526
HYLS1	209.9818	HYLS1	101.5464
HYOU1	4013.0281	HYOU1	2047.4227
IAH1	567.4873	IAH1	750.5155
IARS2	5441.1342	IARS2	3189.1753
IARS	3683.1114	IARS	1989.6907
IBTK	1687.518	IBTK	1187.6289
ICA1L	55.5609	ICA1L	125.7732
ICA1	1093.2082	ICA1	297.4227
ICAM1	865.6002	ICAM1	1090.2062
ICAM2	241.8469	ICAM2	970.5979
ICAM3	455.216	ICAM3	295.3608
ICAM4	19.5421	ICAM4	7.2165
ICK	776.7027	ICK	871.134
ICMT	2512.118	ICMT	3236.5979
ICOSLG	275.8885	ICOSLG	125.2577
ICT1	370.1504	ICT1	266.4948
ID1	177.4116	ID1	644.3299
ID2	681.2913	ID2	929.3814
ID3	448.702	ID3	863.4021
ID4	2101.3507	ID4	367.5258
IDE	505.4124	IDE	648.9691
IDH1	4770.1887	IDH1	5690.7216
IDH2	3854.009	IDH2	1091.7526
IDH3A	631.8613	IDH3A	958.7629
IDH3B	1408.564	IDH3B	1200.5155
IDH3G	579.749	IDH3G	769.5876
IDI1	720.6016	IDI1	610.933
IDI2	31.4206	IDI2	39.6907
IDO1	27.2057	IDO1	136.0825
IDS	2076.628	IDS	3650.8763
IDUA	253.2541	IDUA	159.1959
IER2	1904.397	IER2	1034.0206
IER3IP1	1412.3958	IER3IP1	790.7216
IER3	566.721	IER3	232.9897
IER5L	205.7668	IER5L	80.4124
IER5	567.4873	IER5	382.4742
IFFO1	147.5237	IFFO1	560.8247
IFFO2	277.038	IFFO2	324.2268
IFI16	1166.7784	IFI16	3726.8041
IFI27L1	111.1218	IFI27L1	129.3814
IFI27L2	220.7108	IFI27L2	394.8454
IFI27	592.0107	IFI27	1522.1649
IFI30	8029.5201	IFI30	7129.0722
IFI35	346.0102	IFI35	529.3814
IFI44L	167.449	IFI44L	470.1031
IFI44	159.0191	IFI44	366.4948
IFI6	1283.6479	IFI6	897.4227
IFIH1	417.2813	IFIH1	517.0103
IFIT1	291.2156	IFIT1	852.5773
IFIT2	244.851	IFIT2	570.6186
IFIT3	340.6457	IFIT3	1099.4845
IFIT5	412.6832	IFIT5	776.8041
IFITM1	2080.6591	IFITM1	2945.8763
IFITM2	1874.5091	IFITM2	3724.7423
IFITM3	4814.2542	IFITM3	9115.9794
IFNAR1	1556.0877	IFNAR1	2799.4845
IFNAR2	204.6326	IFNAR2	522.4433
IFNGR1	1869.9109	IFNGR1	3548.4536
IFNGR2	2281.0422	IFNGR2	2669.0722
IFRD1	390.0757	IFRD1	551.5464
IFRD2	963.5329	IFRD2	675.732
IFT122	1610.1159	IFT122	595.3608
IFT140	965.2266	IFT140	350
IFT172	913.8806	IFT172	455.6701
IFT20	382.0404	IFT20	333.933
IFT27	330.2998	IFT27	332.4742
IFT46	713.8615	IFT46	436.5979
IFT52	1072.1333	IFT52	690.7216
IFT57	813.1047	IFT57	580.9278
IFT74	416.8982	IFT74	248.4536
IFT80	534.5301	IFT80	420.6701
IFT81	319.1877	IFT81	150.5155
IFT88	454.4497	IFT88	201.0309
IGBP1	1582.5271	IGBP1	1727.8351
IGDCC3	55.1777	removed	removed
IGDCC4	50.1964	IGDCC4	179.8969
IGF1R	5521.2185	IGF1R	1207.732
IGF1	795.0953	IGF1	3408.7629
IGF2BP2	19.9253	IGF2BP2	124.2268
IGF2BP3	7.6636	IGF2BP3	39.1753
IGF2R	4159.7854	IGF2R	6098.4536
IGF2	1987.3819	IGF2	4032.701
IGFALS	77.7852	removed	removed
IGFBP2	3957.8504	IGFBP2	484.5361
IGFBP3	2031.9954	IGFBP3	5108.7629
IGFBP4	14283.7437	IGFBP4	23878.866
IGFBP5	107621.4772	IGFBP5	37438.6598
IGFBP6	272.4399	IGFBP6	5676.2887
IGFBP7	4950.2826	IGFBP7	7906.701
IGFL2	20.6916	removed	removed
IGFN1	9.1963	IGFN1	8.7629
IGHMBP2	201.9351	IGHMBP2	234.0206
IGJ	2002.8738	IGJ	64.9485
IGLON5	9.5795	IGLON5	24.2268
IGSF10	92.7292	IGSF10	1019.5876
removed	removed	IGSF11	5.6701
IGSF1	14.944	IGSF1	68.0412
IGSF21	977.8714	removed	removed
IGSF22	21.6496	IGSF22	6.2165
IGSF3	2605.2304	IGSF3	311.8557
IGSF5	6.8972	removed	removed
IGSF6	191.5892	IGSF6	295.8763
IGSF8	1523.9008	IGSF8	409.2784
IGSF9B	14.944	IGSF9B	12.8866
IGSF9	1504.3587	IGSF9	6.701
IKBIP	286.6175	IKBIP	592.268
IKBKAP	1567.9663	IKBKAP	936.5979
IKBKB	1365.6481	IKBKB	985.567
IKBKE	353.2905	IKBKE	127.3196
IKBKG	285.7898	IKBKG	412.3711
IKZF1	222.6267	IKZF1	399.4845
IKZF2	547.1788	IKZF2	148.4536
IKZF3	5.3645	IKZF3	8.2474
IKZF4	120.318	IKZF4	260.3093
IKZF5	513.4591	IKZF5	552.0619
IK	2370.342	IK	1849.4845
IL10RA	391.9916	IL10RA	1908.7629
IL10RB	615.7678	IL10RB	1191.9845
IL10	14.1776	IL10	64.9485
IL11RA	167.449	IL11RA	357.2165
IL11	11.4954	removed	removed
IL12RB1	27.972	IL12RB1	78.3505
IL12RB2	6.514	IL12RB2	65.4639
IL13RA1	4742.983	IL13RA1	4991.7526
IL15RA	80.0843	IL15RA	460.8247
IL15	22.6075	IL15	66.4948
IL16	326.0849	IL16	1141.2371
IL17B	14.944	removed	removed
IL17D	23.075	IL17D	166.7784
IL17RA	205.0005	IL17RA	374.2268
IL17RB	293.8979	IL17RB	27.8351
IL17RC	1086.3109	IL17RC	363.4021
IL17RD	1817.0323	IL17RD	986.0825
IL17RE	36.7851	IL17RE	160.8247
IL18BP	211.6754	IL18BP	334.8402
IL18R1	29.1216	IL18R1	91.2371
removed	removed	IL18RAP	14.9485
IL18	219.9444	IL18	198.9691
IL1B	12.2617	IL1B	15.9794
IL1R1	2368.0429	IL1R1	6461.8557
IL1R2	7.6636	IL1R2	36.5979
IL1RAPL2	13.7944	removed	removed
IL1RAP	114.1872	IL1RAP	152.0619
IL1RL1	9.9626	IL1RL1	35.0515
IL1RL2	24.5234	IL1RL2	6.701
IL1RN	1289.0124	IL1RN	195.8763
IL20RA	415.3655	IL20RA	24.7423
IL20RB	8.0467	IL20RB	39.1753
IL21R	58.201	IL21R	5.8351
IL22RA1	7.2804	IL22RA1	42.7835
IL27RA	144.8415	IL27RA	407.732
IL28RA	70.888	IL28RA	8.2474
removed	removed	IL2RA	17.0103
IL2RB	63.9908	IL2RB	127.8351
IL2RG	378.1971	IL2RG	228.3505
IL32	712.7119	IL32	1022.1649
IL33	297.7297	IL33	2416.4948
IL34	63.2244	IL34	96.3918
IL3RA	101.1591	IL3RA	349.4845
IL4I1	137.6109	IL4I1	29.6082
IL4R	605.8052	IL4R	955.1546
IL6R	117.2526	IL6R	687.6289
IL6ST	5567.1999	IL6ST	5415.4639
removed	removed	IL6	69.0722
IL7R	46.3646	IL7R	78.866
IL7	5.7477	IL7	18.5567
IL8	11.1122	IL8	103.0928
ILDR1	404.6365	ILDR1	6.1856
ILF2	6285.2764	ILF2	2255.6701
ILF3	5317.3676	ILF3	3537.6289
ILKAP	346.3933	ILKAP	295.3608
ILK	2296.3885	ILK	3094.3299
ILVBL	1236.1337	ILVBL	1007.732
IMMP1L	78.1033	IMMP1L	31.8814
IMMP2L	167.8322	IMMP2L	163.4021
IMMT	2488.361	IMMT	2090.2062
IMP3	1106.6194	IMP3	887.6289
IMP4	683.9736	IMP4	565.9794
IMPA1	118.7853	IMPA1	236.5979
IMPA2	273.9726	IMPA2	880.4124
IMPACT	1418.9099	IMPACT	1000.5155
IMPAD1	2476.8656	IMPAD1	3654.6392
IMPDH1	1578.6953	IMPDH1	1394.3299
IMPDH2	5491.7138	IMPDH2	2275.7732
IMPG1	17.6262	removed	removed
INADL	2806.0159	INADL	225.7732
INCA1	14.1776	INCA1	10.3093
INCENP	291.2156	INCENP	230.9278
INE1	11.1122	INE1	25.7732
INE2	16.4077	removed	removed
INF2	2417.8561	INF2	2768.5567
ING1	411.3727	ING1	242.1598
ING2	260.5614	ING2	214.9485
ING3	132.5797	ING3	328.866
ING4	548.7116	ING4	521.134
ING5	378.1971	ING5	287.6289
INHA	5.3645	removed	removed
INHBA	361.7205	INHBA	21.6495
INHBB	1918.1914	INHBB	805.1546
INMT	137.9442	INMT	757.732
INO80B	166.8091	INO80B	107.0825
INO80C	154.8041	INO80C	174.2268
INO80D	624.6997	INO80D	622.7938
INO80E	623.4658	INO80E	411.3402
INO80	667.8801	INO80	782.4742
INPP1	140.2433	INPP1	417.0103
INPP4A	447.9356	INPP4A	600.5155
INPP4B	400.0383	INPP4B	167.5258
INPP5A	399.6551	INPP5A	626.8041
INPP5B	298.496	INPP5B	466.4948
INPP5D	336.4307	INPP5D	765.9794
INPP5E	138.7106	INPP5E	212.3711
INPP5F	447.9356	INPP5F	432.4742
INPP5J	405.0196	INPP5J	14.9485
INPP5K	1026.9183	INPP5K	1453.0928
INPPL1	1412.779	INPPL1	1354.6392
removed	removed	INS-IGF2	14.7216
INSIG1	627.2631	INSIG1	1522.1649
INSIG2	737.6185	INSIG2	533.5052
INSR	2600.2491	INSR	2265.4639
INTS10	838.0113	INTS10	1139.1753
INTS12	530.319	INTS12	316.4948
INTS1	2760.8008	INTS1	1462.8866
INTS2	247.5333	INTS2	314.433
INTS3	2808.6982	INTS3	1767.0103
INTS4L1	30.6543	INTS4L1	14.433
removed	removed	INTS4L2	11.8557
INTS4	524.5713	INTS4	414.9485
INTS5	954.4976	INTS5	453.6082
INTS6	875.5628	INTS6	596.9072
INTS7	969.8247	INTS7	267.5258
INTS8	664.4085	INTS8	586.8247
INTS9	585.8799	INTS9	340.7216
INTU	128.3648	INTU	120.6186
INVS	241.4024	INVS	450.5155
IP6K1	1695.5647	IP6K1	1311.8557
IP6K2	2040.4253	IP6K2	889.6907
IPCEF1	13.7944	IPCEF1	39.6907
IPMK	38.701	IPMK	63.4021
IPO11	1087.5601	IPO11	821.134
IPO13	972.8901	IPO13	688.1443
IPO4	2076.8809	IPO4	420.3299
IPO5	2866.5581	IPO5	5231.9588
IPO7	3837.1492	IPO7	3673.1959
IPO8	1310.8535	IPO8	1477.3196
IPO9	2469.202	IPO9	1635.0515
IPPK	447.5448	IPPK	205.9691
IPP	204.2341	IPP	213.4021
IPW	212.2081	IPW	211.1907
IQCA1	82.0002	IQCA1	9.7938
IQCB1	475.5245	IQCB1	269.0722
IQCC	93.1124	IQCC	36.0825
IQCD	33.3365	IQCD	28.866
IQCE	1363.7322	IQCE	513.4021
IQCG	455.5992	IQCG	281.4433
IQCH	59.7758	IQCH	19.5876
IQCJ	51.8172	removed	removed
IQCK	899.703	IQCK	288.6598
IQGAP1	8577.0668	IQGAP1	9310.3093
IQGAP2	5098.9558	IQGAP2	1537.6289
IQGAP3	363.6364	IQGAP3	100.5155
IQSEC1	1747.677	IQSEC1	3848.4536
IQSEC2	391.2252	IQSEC2	605.1546
IQSEC3	29.1216	IQSEC3	224.732
IQUB	53.2618	removed	removed
IRAK1BP1	39.682	IRAK1BP1	21.1959
IRAK1	1811.2846	IRAK1	1780.4124
IRAK2	62.0749	IRAK2	256.701
IRAK3	164.7667	IRAK3	1388.1443
IRAK4	366.3186	IRAK4	521.6495
IREB2	1271.3861	IREB2	1540.2062
IRF1	767.4298	IRF1	734.9845
IRF2BP1	733.7868	IRF2BP1	282.4742
IRF2BP2	5067.5352	IRF2BP2	3702.0619
IRF2	896.6376	IRF2	954.6392
IRF3	625.1595	IRF3	449.1546
IRF4	18.0094	IRF4	215.9794
IRF5	253.6641	IRF5	402.5773
IRF6	1664.5273	IRF6	87.1134
IRF7	287.767	IRF7	122.6804
IRF8	298.8792	IRF8	591.2371
IRF9	486.8934	IRF9	746.9072
IRGQ	993.9649	IRGQ	588.1443
IRS1	1929.6868	IRS1	1212.8866
IRS2	432.9917	IRS2	2129.3814
removed	removed	IRS4	6.701
IRX1	82.0002	IRX1	34.5361
IRX2	521.8891	IRX2	55.6701
IRX3	906.2171	IRX3	64.9485
IRX4	27.5888	removed	removed
IRX5	546.0293	IRX5	24.7423
IRX6	14.944	IRX6	172.1649
ISCA1P1	75.8693	ISCA1P1	95.8763
ISCA1	762.5251	ISCA1	894.3299
ISCA2	456.7487	ISCA2	194.3299
ISCU	1094.7409	ISCU	2034.5361
ISG15	339.1129	ISG15	255.1546
ISG20L2	1209.6944	ISG20L2	425.7732
ISG20	100.7759	ISG20	54.1237
ISLR2	40.2337	ISLR2	150
ISLR	3062.3623	ISLR	6804.1237
ISM1	252.1314	ISM1	507.2165
ISOC1	814.6374	ISOC1	728.866
ISOC2	956.4134	ISOC2	424.2268
ISPD	25.2898	ISPD	38.6598
ISY1	685.1231	ISY1	703.6082
ISYNA1	749.1139	ISYNA1	178.3505
ITCH	1452.6296	ITCH	1545.3608
ITFG1	677.4595	ITFG1	1091.7526
ITFG2	411.9169	ITFG2	455.6701
ITFG3	2251.1275	ITFG3	2278.9536
ITGA10	74.3366	ITGA10	28.866
ITGA11	2218.2201	ITGA11	1765.9794
ITGA1	536.1356	ITGA1	2531.3557
ITGA2	1122.7129	ITGA2	119.0722
ITGA3	1676.0226	ITGA3	632.9897
ITGA4	188.1674	ITGA4	143.5928
ITGA5	1487.4988	ITGA5	4662.8866
ITGA6	2705.6231	ITGA6	2553.0928
ITGA7	493.1507	ITGA7	7226.8041
ITGA8	34.1029	ITGA8	110.3093
ITGA9	164.3836	ITGA9	545.8763
ITGAD	5.3645	removed	removed
ITGAE	326.0849	ITGAE	327.3196
ITGAL	343.7111	ITGAL	204.6392
ITGAM	742.983	ITGAM	1806.1856
ITGAV	4004.5981	ITGAV	5421.134
ITGAX	926.9087	ITGAX	313.9175
ITGB1BP1	847.2076	ITGB1BP1	3443.299
ITGB1	13539.9943	ITGB1	28434.0206
ITGB2	4802.7589	ITGB2	2974.7423
ITGB3BP	222.6267	ITGB3BP	149.4845
ITGB3	116.8694	ITGB3	1148.9691
ITGB4	1940.0326	ITGB4	983.5052
ITGB5	10085.6404	ITGB5	7280.9278
ITGB6	796.2449	ITGB6	5.6701
ITGB7	61.6917	ITGB7	86.0825
ITGB8	160.5518	ITGB8	127.8351
ITGBL1	1257.5917	ITGBL1	732.4742
ITIH3	8.4299	ITIH3	17.0103
ITIH4	47.131	ITIH4	34.5361
ITIH5L	69.7385	removed	removed
ITIH5	849.8898	ITIH5	9205.1546
ITK	18.7757	ITK	26.2887
removed	removed	ITLN1	14.9485
ITM2A	488.1694	ITM2A	2424.7423
ITM2B	11146.6616	ITM2B	18536.5979
ITM2C	607.3379	ITM2C	1138.1443
ITPA	675.1605	ITPA	410.3093
ITPK1	1282.1151	ITPK1	3320.6186
ITPKB	1703.9946	ITPKB	1799.4845
ITPKC	897.404	ITPKC	657.2165
ITPR1	1425.4239	ITPR1	782.9897
ITPR2	2396.0149	ITPR2	1760.3093
ITPR3	789.0066	ITPR3	885.5103
ITPRIPL1	14.1776	ITPRIPL1	46.9072
ITPRIPL2	3121.755	ITPRIPL2	2587.6289
ITPRIP	362.1036	ITPRIP	880.9278
ITSN1	682.824	ITSN1	5785.0515
ITSN2	749.8803	ITSN2	1584.0206
IVD	2135.0704	IVD	1205.6701
removed	removed	IVL	11.8557
IVNS1ABP	1440.3679	IVNS1ABP	2487.6289
IWS1	894.7217	IWS1	1154.1237
IYD	11.1122	removed	removed
JAG1	1109.3017	JAG1	4243.8144
JAG2	657.9174	JAG2	604.1237
JAGN1	918.0956	JAGN1	834.0206
JAK1	4252.8978	JAK1	9463.4021
JAK2	743.3662	JAK2	762.3711
JAK3	91.9628	JAK3	153.6082
JAKMIP3	44.8319	JAKMIP3	14.9485
JAM2	164.3836	JAM2	717.0103
JAM3	500.8143	JAM3	1645.3608
JARID2	596.2257	JARID2	443.299
JAZF1	301.9446	JAZF1	939.6907
JDP2	763.6747	JDP2	1434.0206
JHDM1D	1180.956	JHDM1D	1086.0825
JKAMP	888.5909	JKAMP	734.5361
JMJD1C	876.8311	JMJD1C	1827.1546
JMJD4	841.6936	JMJD4	269.4588
JMJD5	95.4114	JMJD5	74.2268
JMJD6	238.7202	JMJD6	284.5361
JMJD7-PLA2G4B	295.0474	JMJD7-PLA2G4B	239.6907
JMJD8	2447.4452	JMJD8	1241.8557
JMY	722.2914	JMY	745.8763
JOSD1	764.0579	JOSD1	1608.7629
JOSD2	347.1597	JOSD2	175.2577
JPH1	82.3834	JPH1	79.3814
JPH2	72.0376	JPH2	42.7835
JPH3	9.9626	JPH3	15.4639
JPH4	14.1776	JPH4	86.5979
JRKL	198.1033	JRKL	344.8454
JRK	406.1692	JRK	510.8247
JTB	4610.7865	JTB	1974.7423
JUB	973.2733	JUB	123.7113
JUNB	1885.6212	JUNB	2350.5155
JUND	1360.6667	JUND	1775.2577
JUN	1549.1905	JUN	5784.5361
JUP	9424.2744	JUP	1680.4124
KAL1	452.9169	KAL1	751.0309
KALRN	99.2432	KALRN	665.4639
KANK1	1011.5911	KANK1	3926.8041
KANK2	1576.013	KANK2	6195.3608
KANK3	64.7572	KANK3	361.8557
KANK4	175.1126	KANK4	192.268
KARS	1772.9668	KARS	3128.866
KAT2A	663.6651	KAT2A	459.7938
KAT2B	229.5239	KAT2B	1032.4742
KAT5	779.0593	KAT5	778.9536
KATNA1	324.9353	KATNA1	372.6804
KATNAL1	375.1317	KATNAL1	1001.0309
KATNAL2	82.0002	KATNAL2	96.3918
KATNB1	212.664	KATNB1	227.3196
KAZALD1	178.1205	KAZALD1	85.8351
KAZ	611.0279	KAZ	525.1856
KBTBD10	40.4368	KBTBD10	16.8969
KBTBD11	47.5141	KBTBD11	397.4227
removed	removed	KBTBD12	8.2474
KBTBD2	1006.2267	KBTBD2	1290.2062
KBTBD3	153.6546	KBTBD3	118.0412
KBTBD4	535.6835	KBTBD4	289.0567
KBTBD6	618.8332	KBTBD6	367.0103
KBTBD7	314.2063	KBTBD7	145.8763
KBTBD8	35.6356	KBTBD8	36.5979
KCMF1	883.6095	KCMF1	1155.1546
KCNA1	8.0467	KCNA1	180.9278
removed	removed	KCNA2	11.8557
removed	removed	KCNA3	19.0722
removed	removed	KCNA4	23.7113
KCNA5	6.514	KCNA5	26.8041
KCNA6	32.5702	KCNA6	187.6289
KCNAB1	52.4954	KCNAB1	590.2062
KCNAB2	426.0945	KCNAB2	596.3918
KCNAB3	6.8972	KCNAB3	5.6701
KCNB1	7.2804	KCNB1	190.7216
removed	removed	KCNB2	50.5155
KCNC3	1220.4234	KCNC3	34.5361
KCNC4	85.0656	KCNC4	151.0309
KCND1	44.0655	KCND1	69.0722
KCND2	100.3928	KCND2	167.0103
KCND3	82.7665	KCND3	75.2577
removed	removed	KCNE1L	30.9278
KCNE1	76.2525	KCNE1	22.1649
KCNE2	9.5795	KCNE2	12.8866
KCNE3	168.5985	KCNE3	741.2371
KCNE4	170.8976	KCNE4	323.1959
KCNF1	26.4393	KCNF1	11.3402
KCNG1	8.0467	removed	removed
KCNH1	111.8881	KCNH1	10.3093
KCNH2	15.3271	KCNH2	9.7938
KCNH3	6.1309	removed	removed
KCNH8	5.3645	removed	removed
removed	removed	KCNIP1	12.3711
KCNIP2	358.655	KCNIP2	5992.7835
KCNIP3	55.5609	KCNIP3	106.701
KCNIP4	47.131	KCNIP4	12.8866
KCNJ10	8.0467	removed	removed
KCNJ11	580.5154	KCNJ11	17.0103
KCNJ12	20.6916	KCNJ12	317.0103
KCNJ13	13.0281	removed	removed
KCNJ14	34.1029	KCNJ14	12.3144
KCNJ15	15.3271	KCNJ15	57.2165
KCNJ16	9.1963	KCNJ16	15.4639
KCNJ2	93.8787	KCNJ2	117.5258
KCNJ3	5.3645	removed	removed
KCNJ5	128.3648	KCNJ5	206.701
KCNJ8	193.8883	KCNJ8	1905.6701
KCNK13	87.7479	KCNK13	21.6495
KCNK15	144.8415	KCNK15	33.5052
KCNK17	7.6636	KCNK17	40.2062
KCNK1	72.0376	KCNK1	105.6701
KCNK2	14.944	KCNK2	47.9381
KCNK3	21.458	KCNK3	110.3093
KCNK5	116.1031	KCNK5	114.433
KCNK6	478.9731	KCNK6	194.8454
KCNMA1	1661.845	KCNMA1	320.1031
KCNMB1	140.6265	KCNMB1	61.3402
KCNMB3	70.888	KCNMB3	58.7629
KCNMB4	84.2993	KCNMB4	99.4845
KCNN2	16.8599	removed	removed
KCNN3	8.4299	KCNN3	25.2577
KCNN4	219.1781	KCNN4	63.9175
KCNQ1OT1	269.3745	KCNQ1OT1	185.067
KCNQ1	155.1873	KCNQ1	345.3454
KCNQ3	6.1309	KCNQ3	6.701
removed	removed	KCNQ4	10.3093
KCNQ5	74.7198	removed	removed
KCNRG	6.6367	KCNRG	7.0206
KCNS1	5.7477	removed	removed
removed	removed	KCNS2	7.2165
KCNS3	373.599	KCNS3	158.2474
KCNT2	9.9626	KCNT2	26.8041
removed	removed	KCP	15.9794
KCTD10	1312.3862	KCTD10	2529.8969
KCTD11	519.59	KCTD11	478.866
KCTD12	2645.4641	KCTD12	10123.1959
KCTD13	239.4865	KCTD13	119.5876
KCTD14	43.2992	KCTD14	56.701
KCTD15	486.6367	KCTD15	301.5464
KCTD16	6.514	KCTD16	11.3402
KCTD17	94.2619	KCTD17	194.3299
KCTD18	405.4028	KCTD18	430.9278
KCTD1	1139.9559	KCTD1	191.2371
KCTD20	1645.3683	KCTD20	2915.4639
KCTD21	478.2067	KCTD21	569.0722
KCTD2	1036.4977	KCTD2	1353.6082
KCTD3	3728.7096	KCTD3	1481.9588
KCTD5	583.964	KCTD5	459.2784
KCTD6	488.9357	KCTD6	209.2784
KCTD7	434.4133	KCTD7	451.3866
KCTD9	492.3843	KCTD9	705.1546
KDELC1	122.2339	KDELC1	192.7835
KDELC2	793.9458	KDELC2	2600.5155
KDELR1	7385.7649	KDELR1	3424.2268
KDELR2	12066.2899	KDELR2	6916.4948
KDELR3	1149.1522	KDELR3	884.0206
KDM1A	1867.6118	KDM1A	1028.3505
KDM1B	453.6833	KDM1B	583.5052
KDM2A	2682.6324	KDM2A	2619.0722
removed	removed	KDM2B	559.5619
KDM3A	1009.6753	KDM3A	1017.0103
KDM3B	2840.1188	KDM3B	2241.7526
KDM4A	1676.7851	KDM4A	1144.3299
KDM4B	4905.8339	KDM4B	589.1753
KDM4C	418.8141	KDM4C	499.4845
KDM4D	34.4861	KDM4D	27.3196
KDM5A	1505.5082	KDM5A	1662.8866
KDM5B	5795.5743	KDM5B	1360.8247
KDM5C	2260.7529	KDM5C	1949.4845
KDM6A	804.2916	KDM6A	692.7835
KDM6B	727.6559	KDM6B	464.9485
KDR	602.3565	KDR	2615.9794
KDSR	1405.1154	KDSR	1920.1031
KEAP1	2229.3323	KEAP1	1481.9588
KEL	8.8131	removed	removed
KERA	35.2524	removed	removed
KGFLP1	7.6636	removed	removed
KGFLP2	243.4908	KGFLP2	44.3608
KHDC1	26.2516	KHDC1	9.7938
KHDRBS1	3603.0271	KHDRBS1	2915.4639
KHDRBS3	127.5984	KHDRBS3	420.1031
KHK	83.9582	KHK	131.9639
KHNYN	2197.0265	KHNYN	2160.8041
KHSRP	1971.07	KHSRP	1657.2165
KIAA0020	564.8051	KIAA0020	512.3711
KIAA0040	5874.1259	KIAA0040	1087.1134
removed	removed	KIAA0087	14.433
KIAA0090	1676.0226	KIAA0090	1296.3918
KIAA0100	5823.7149	KIAA0100	5855.3196
KIAA0101	312.6736	KIAA0101	90.2062
KIAA0114	462.8796	KIAA0114	227.8351
KIAA0141	1384.807	KIAA0141	1344.8454
KIAA0146	921.5442	KIAA0146	630.9278
KIAA0174	2337.7718	KIAA0174	2979.8969
KIAA0182	1392.8537	KIAA0182	2007.732
KIAA0195	1195.8463	KIAA0195	1765.8763
KIAA0196	1473.3212	KIAA0196	1544.3299
KIAA0226	786.6654	KIAA0226	628.866
KIAA0232	1243.0309	KIAA0232	1592.268
KIAA0240	630.7118	KIAA0240	873.7113
KIAA0247	2662.324	KIAA0247	1105.1546
KIAA0284	1482.1343	KIAA0284	633.5052
KIAA0317	997.0304	KIAA0317	740.7216
KIAA0319L	2404.4449	KIAA0319L	1243.8144
KIAA0355	756.7775	KIAA0355	1442.7835
KIAA0368	3376.9518	KIAA0368	4247.9381
KIAA0391	1063.3892	KIAA0391	475.299
KIAA0406	666.7305	KIAA0406	448.9691
KIAA0408	53.281	KIAA0408	714.1443
KIAA0415	469.0104	KIAA0415	361.3402
KIAA0427	815.787	KIAA0427	2419.5876
KIAA0430	2409.043	KIAA0430	2741.7526
KIAA0467	738.2776	KIAA0467	1081.2474
KIAA0494	3586.8915	KIAA0494	4925.268
KIAA0495	561.7396	KIAA0495	513.4021
KIAA0513	328.7671	KIAA0513	603.0928
KIAA0528	716.9269	KIAA0528	980.9278
KIAA0556	996.264	KIAA0556	348.9691
KIAA0562	494.6834	KIAA0562	661.3402
KIAA0564	1067.5352	KIAA0564	912.8866
KIAA0586	438.7393	KIAA0586	300
KIAA0649	723.4409	KIAA0649	379.8969
KIAA0652	1746.9106	KIAA0652	1912.8866
KIAA0664P3	40.6169	KIAA0664P3	10.3093
KIAA0664	1960.341	KIAA0664	1529.3814
KIAA0748	11.1122	KIAA0748	23.1959
KIAA0753	390.4589	KIAA0753	239.1753
KIAA0754	69.3553	KIAA0754	498.4536
KIAA0776	1108.1521	KIAA0776	1052.5773
KIAA0802	114.5704	KIAA0802	43.299
KIAA0831	661.366	KIAA0831	624.2268
KIAA0892	1213.143	KIAA0892	873.1959
KIAA0895L	76.6817	KIAA0895L	154.5155
KIAA0895	254.4305	KIAA0895	26.2887
KIAA0907	1011.5911	KIAA0907	448.4536
KIAA0913	1068.3016	KIAA0913	1360.3093
KIAA0922	651.4034	KIAA0922	1179.3814
KIAA0947	1251.4609	KIAA0947	1162.3711
KIAA1009	172.0471	KIAA1009	239.6907
KIAA1012	962.1611	KIAA1012	1236.0825
KIAA1024	34.4861	KIAA1024	39.6907
KIAA1033	744.5158	KIAA1033	1298.4536
removed	removed	KIAA1045	26.2887
KIAA1107	75.103	KIAA1107	197.4227
KIAA1109	1890.9857	KIAA1109	3011.3402
KIAA1143	808.8897	KIAA1143	795.3608
KIAA1147	1742.6957	KIAA1147	1430.4124
KIAA1161	874.4133	KIAA1161	376.2887
KIAA1191	2838.2029	KIAA1191	1726.8041
KIAA1199	123.7666	KIAA1199	5.1546
KIAA1210	13.4112	removed	removed
KIAA1211	48.2805	KIAA1211	8.7629
KIAA1217	3371.9705	KIAA1217	2497.4227
KIAA1239	11.4954	KIAA1239	187.6289
KIAA1244	1810.5182	KIAA1244	109.2784
KIAA1257	6.2305	removed	removed
KIAA1267	992.8154	KIAA1267	973.1959
KIAA1274	200.4023	KIAA1274	242.7835
KIAA1279	928.4414	KIAA1279	765.4639
KIAA1310	1645.7515	KIAA1310	1351.0309
KIAA1324L	267.0754	KIAA1324L	456.701
KIAA1324	15147.0447	removed	removed
KIAA1328	150.9723	KIAA1328	109.7938
KIAA1370	1291.6946	KIAA1370	937.1134
KIAA1377	354.8233	KIAA1377	790.7216
KIAA1383	111.8881	KIAA1383	65.9794
KIAA1407	324.169	KIAA1407	103.0928
removed	removed	KIAA1409	16.4948
KIAA1429	2114.3788	KIAA1429	1911.8557
KIAA1430	1093.2082	KIAA1430	978.3505
KIAA1432	760.5326	KIAA1432	1102.9588
KIAA1462	815.4038	KIAA1462	2573.7113
KIAA1467	2183.3509	KIAA1467	227.3196
