gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
ADO	651.9151	ADO	937.3208
ADPGK	943.5202	ADPGK	879.0373
ADPRHL1	138.3803	ADPRHL1	126.9971
ADPRHL2	948.8936	ADPRHL2	638.263
ADPRH	446.591	ADPRH	323.6379
ADRA1B	15.725	ADRA1B	9.0127
ADRA2A	675.278	ADRA2A	262.1876
removed	removed	ADRA2B	17.2061
ADRA2C	13.0293	ADRA2C	29.4961
removed	removed	ADRB1	5.3257
ADRB2	31.4501	ADRB2	78.6563
ADRBK1	2077.9513	ADRBK1	1895.1249
ADRBK2	543.1877	ADRBK2	1333.0602
ADRM1	2701.112	ADRM1	1064.3179
ADSL	774.5704	ADSL	1278.984
ADSSL1	265.9778	ADSSL1	108.9717
ADSS	2208.2444	ADSS	1394.1008
AEBP1	18126.9235	AEBP1	2782.0565
AEBP2	369.763	AEBP2	864.8095
AEN	786.7011	AEN	563.2937
AES	6116.1406	AES	6364.6047
AFAP1L1	200.8312	AFAP1L1	219.9918
AFAP1L2	114.1188	AFAP1L2	947.1528
AFAP1	870.6998	AFAP1	1829.111
AFF1	2291.8117	AFF1	2061.8599
AFF2	8.9857	AFF2	190.086
AFF3	1562.1701	AFF3	1869.3159
AFF4	3351.2299	AFF4	3913.56
AFG3L1	117.2638	AFG3L1	242.5236
AFG3L2	2258.1242	AFG3L2	1599.6108
AFMID	7888.5769	AFMID	556.739
removed	removed	AFP	36.8701
AFTPH	1633.1574	AFTPH	1632.9373
AG2	200.3819	AG2	80.295
AGAP11	33.701	AGAP11	70.4711
AGAP1	707.6266	AGAP1	618.1893
AGAP2	140.0607	AGAP2	83.1381
AGAP3	644.7265	AGAP3	1799.6723
AGAP4	111.8724	AGAP4	287.1774
AGAP5	41.2355	AGAP5	65.3994
AGAP6	74.1323	AGAP6	151.9869
AGAP7	9.435	AGAP7	7.374
AGAP8	9.435	AGAP8	18.0254
AGA	1236.8864	AGA	494.8791
AGBL2	7.6379	AGBL2	11.4707
removed	removed	AGBL3	6.145
removed	removed	AGBL4	7.374
AGBL5	459.1801	AGBL5	1008.6235
AGER	9.435	AGER	50.7989
AGFG1	4287.0942	AGFG1	1527.2429
AGFG2	246.2091	AGFG2	504.7112
AGGF1	1125.4633	AGGF1	979.1069
AGK	370.6616	AGK	586.2351
AGL	668.988	AGL	1311.7575
AGMAT	9.435	AGMAT	16.3867
AGPAT1	1097.3739	AGPAT1	1830.9914
AGPAT2	1201.8421	AGPAT2	271.61
AGPAT3	2649.8933	AGPAT3	2063.4986
AGPAT4	84.9152	AGPAT4	189.2667
AGPAT5	326.1822	AGPAT5	913.56
AGPAT6	1200.4942	AGPAT6	2211.3888
AGPAT9	8.9857	AGPAT9	74.5596
AGPHD1	42.6822	AGPHD1	63.0889
AGPS	430.4167	AGPS	859.8935
AGR2	5597.6637	AGR2	1497.7468
removed	removed	AGR3	305.6125
AGRN	1323.1495	AGRN	7294.1417
AGTPBP1	169.8304	AGTPBP1	422.3679
AGTR1	21.1165	AGTR1	115.5264
AGTRAP	1313.2652	AGTRAP	617.7796
AGT	14.8265	AGT	9.4224
AGXT2L2	379.7866	AGXT2L2	400.8111
AHCTF1	1130.4055	AHCTF1	1535.846
AHCYL1	7017.4099	AHCYL1	3660.3851
AHCYL2	326.1822	AHCYL2	833.6747
AHCY	5118.724	AHCY	6467.0217
AHDC1	779.0632	AHDC1	2170.422
AHI1	354.9365	AHI1	401.8845
AHNAK2	321.6893	AHNAK2	261.778
AHNAK	21330.7874	AHNAK	47177.3863
AHRR	15.725	AHRR	45.8828
AHR	785.8025	AHR	3506.7595
AHSA1	3187.6895	AHSA1	1994.2646
AHSA2	224.6434	AHSA2	502.2532
AIDA	620.4785	AIDA	599.3937
AIF1L	961.0244	AIF1L	5861.9418
AIF1	263.282	AIF1	142.5645
AIFM1	2688.532	AIFM1	711.1839
AIFM2	109.1767	AIFM2	335.1086
AIFM3	8.5364	AIFM3	9.6887
AIG1	738.1781	AIG1	842.2778
AIM1	8679.3216	AIM1	2456.3703
AIMP1	1011.7938	AIMP1	1171.3478
AIMP2	596.3563	AIMP2	279.8607
AIP	537.347	AIP	818.1073
AJAP1	18.4208	AJAP1	13.1094
AK1	240.8177	AK1	353.5436
AK2	2790.9693	AK2	1808.685
AK3L1	1184.7692	AK3L1	643.5887
AK3	821.2962	AK3	1630.889
AK5	19.3193	AK5	1130.2745
AK7	28.7544	AK7	36.0508
AKAP10	418.7353	AKAP10	537.075
AKAP11	1070.2011	AKAP11	1926.2597
AKAP12	335.6172	AKAP12	391.6428
AKAP13	2128.2714	AKAP13	5397.7878
AKAP1	952.4879	AKAP1	2898.4023
AKAP2	287.7772	AKAP2	770.1966
AKAP3	19.3193	AKAP3	114.7071
