gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
NFASC	24.3009	NFASC	1420.4381
NFAT5	2688.5365	NFAT5	3809.4802
NFATC1	205.1654	NFATC1	739.7909
NFATC2IP	763.0267	NFATC2IP	920.2351
NFATC2	25.3738	NFATC2	210.3656
NFATC3	1110.6479	NFATC3	1150.1412
NFATC4	436.4295	NFATC4	1002.3662
NFE2L1	25133.1219	NFE2L1	6947.8666
NFE2L2	3148.821	NFE2L2	4398.6749
NFE2L3	345.0838	NFE2L3	331.8831
NFIA	1246.2166	NFIA	2151.2862
NFIB	951.8804	NFIB	6662.6975
NFIC	631.0829	NFIC	1127.8528
NFIL3	519.4382	NFIL3	1537.5926
NFIX	2151.3367	NFIX	4672.3151
NFKB1	855.4599	NFKB1	1595.2981
NFKB2	163.4798	NFKB2	708.6482
NFKBIA	2289.0802	NFKBIA	1703.3814
NFKBIB	75.034	NFKBIB	173.1166
NFKBID	6.8872	NFKBID	50.9885
NFKBIE	98.2329	NFKBIE	170.674
NFKBIL1	40.9606	NFKBIL1	247.3094
NFKBIL2	103.6701	NFKBIL2	78.1559
NFKBIZ	2713.1853	NFKBIZ	1192.5655
NFRKB	434.9796	NFRKB	1097.3208
NFS1	1094.3362	NFS1	454.6218
NFU1	1043.2261	NFU1	634.1501
NFX1	755.0521	NFX1	1458.2093
NFXL1	348.7087	NFXL1	303.7936
NFYA	1080.1994	NFYA	1288.1459
NFYB	1266.5156	NFYB	1045.1111
NFYC	973.3901	NFYC	1135.6477
NGDN	764.1142	NGDN	608.8085
NGEF	36.6108	NGEF	29.9214
NGFRAP1	3257.6348	NGFRAP1	1101.9006
NGFR	12.3244	NGFR	1308.2971
removed	removed	NGF	15.266
NGLY1	905.4826	NGLY1	640.2565
NGRN	2630.2057	NGRN	2513.5761
NHEDC2	197.1908	NHEDC2	246.0881
NHEJ1	235.9764	NHEJ1	307.8666
NHLRC1	149.7055	NHLRC1	73.8875
NHLRC2	249.0258	NHLRC2	218.9146
NHLRC3	1489.4427	NHLRC3	857.6445
removed	removed	NHLRC4	30.8373
NHP2L1	1245.8541	NHP2L1	1886.2682
NHP2	1219.0304	NHP2	771.5442
NHSL1	408.8808	NHSL1	391.7258
NHSL2	49.6602	NHSL2	140.7526
NHS	715.179	NHS	411.877
NICN1	172.1794	NICN1	437.6246
removed	removed	NID1	3068.3917
NID2	2011.0557	NID2	534.3104
NIF3L1	585.7725	NIF3L1	482.1006
NINJ1	1476.3933	NINJ1	1242.3479
NINJ2	155.1427	NINJ2	61.3694
NINL	23.5614	NINL	356.0034
NIN	2322.0662	NIN	1469.5061
NIP7	791.6629	NIP7	556.5987
NIPA1	533.9375	NIPA1	350.8129
NIPA2	1415.4961	NIPA2	867.1094
NIPAL1	13.4119	NIPAL1	62.5906
NIPAL2	519.0757	NIPAL2	344.4012
NIPAL3	898.5954	NIPAL3	1332.1121
NIPAL4	5.4372	NIPAL4	5.4958
NIPBL	3583.507	NIPBL	3284.3294
NIPSNAP1	1320.1631	NIPSNAP1	794.7485
NIPSNAP3A	669.1436	NIPSNAP3A	639.9511
NIPSNAP3B	23.5614	NIPSNAP3B	247.9597
NISCH	446.9415	NISCH	3244.3325
NIT1	334.6226	NIT1	528.9856
NIT2	1521.7037	NIT2	498.8932
NKAIN1	7101.4046	NKAIN1	10.9915
removed	removed	NKAIN2	13.1288
removed	removed	NKAPL	49.7672
NKAP	334.2093	NKAP	397.8322
NKD1	18.8491	NKD1	11.6022
NKD2	19.2116	NKD2	50.0725
NKG7	13.4119	NKG7	81.5205
NKIRAS1	491.8894	NKIRAS1	279.0627
NKIRAS2	735.8405	NKIRAS2	683.3066
removed	removed	NKPD1	68.3917
NKRF	707.9293	NKRF	313.5639
NKTR	1346.2619	NKTR	3595.4507
NKX2-8	12.3244	removed	removed
NKX3-1	75.3965	NKX3-1	111.4419
NKX3-2	18.8491	removed	removed
removed	removed	NKX6-1	10.9915
NLE1	117.082	NLE1	295.2446
removed	removed	NLGN1	50.9885
NLGN2	235.2515	NLGN2	746.5079
NLGN3	11.5995	NLGN3	69.3077
NLGN4X	62.3471	NLGN4X	164.5676
NLK	939.556	NLK	325.166
NLN	983.0539	NLN	250.9732
NLRC3	42.4105	NLRC3	123.96
NLRC4	28.6362	NLRC4	35.1118
NLRC5	92.0707	NLRC5	559.6519
NLRP12	8.3371	removed	removed
NLRP1	345.0838	NLRP1	782.841
NLRP2	777.8885	NLRP2	37.2491
NLRP3	19.9366	NLRP3	98.3131
removed	removed	NLRP9	5.1904
NLRX1	179.4291	NLRX1	506.8315
NMB	103.6701	NMB	230.2114
NMD3	2616.0399	NMD3	1316.5407
removed	removed	NME1-NME2	28.2757
NME1	747.7372	NME1	371.8067
NME2P1	58.3598	NME2P1	34.1959
NME2	2905.4789	NME2	3907.375
NME3	161.6674	NME3	243.6455
NME4	1917.1726	NME4	801.4655
NME5	55.0974	NME5	65.9492
NME6	107.295	NME6	192.657
NME7	612.1613	NME7	231.8785
NMI	312.0979	NMI	382.2609
NMNAT1	217.8523	NMNAT1	309.9
NMNAT2	97.1454	NMNAT2	320.5862
NMNAT3	98.9579	NMNAT3	265.0179
NMRAL1	336.0217	NMRAL1	409.7397
NMT1	1995.1065	NMT1	2777.4979
NMT2	206.6153	NMT2	777.6506
removed	removed	NMUR1	83.9631
NMU	46.3978	removed	removed
removed	removed	NNAT	240.287
NNMT	1120.7975	NNMT	1841.9968
NNT	1568.8265	NNT	1148.3093
NOB1	712.6416	NOB1	1058.5451
NOC2L	768.3117	NOC2L	1072.0189
NOC3L	447.304	NOC3L	496.756
NOC4L	235.2515	NOC4L	172.8112
NOD1	92.0707	NOD1	628.349
NOD2	146.4431	NOD2	44.8821
removed	removed	NODAL	17.7086
NOG	5.0748	NOG	8.549
NOL10	873.9465	NOL10	578.2765
NOL11	15727.0503	NOL11	885.4286
NOL12	69.2343	NOL12	191.5029
NOL3	236.9769	NOL3	255.8583
removed	removed	NOL4	5.1904
NOL6	602.0843	NOL6	1041.4472
NOL7	799.6375	NOL7	598.4276
NOL8	494.4268	NOL8	990.4587
NOL9	200.8156	NOL9	228.9902
NOLC1	2560.2175	NOLC1	2598.2749
NOM1	413.9556	NOM1	513.8539
NOMO1	3307.6575	NOMO1	2935.3484
NOMO2	721.3412	NOMO2	1144.6454
NOMO3	481.7399	NOMO3	787.7261
NONO	9894.3362	NONO	5611.48
NOP10	2091.527	NOP10	577.3605
NOP14	804.908	NOP14	841.3404
NOP16	73.9465	NOP16	133.7302
NOP2	392.5691	NOP2	501.9464
NOP56	736.5655	NOP56	1471.6434
NOP58	1460.8065	NOP58	1412.1059
NOS1AP	10.1495	NOS1AP	184.7187
removed	removed	NOS1	13.1288
NOS2	8.3371	NOS2	23.3387
NOS3	72.7975	NOS3	277.4872
NOSIP	150.068	NOSIP	425.6164
NOSTRIN	173.2669	NOSTRIN	668.9566
NOTCH1	1259.9909	NOTCH1	1232.883
NOTCH2NL	851.3892	NOTCH2NL	702.3281
NOTCH2	7427.2768	NOTCH2	8019.5405
NOTCH3	3095.2424	NOTCH3	3379.284
NOTCH4	159.4925	NOTCH4	1058.2398
NOVA1	167.1047	NOVA1	835.0508
NOVA2	19.5741	NOVA2	41.8289
NOV	51.8351	NOV	686.0545
NOX4	734.7531	NOX4	82.1311
NOX5	24.667	NOX5	9.7702
NOXA1	8.6996	NOXA1	57.4002
NPAS1	6.8872	NPAS1	5.4958
NPAS2	126.8691	NPAS2	278.452
NPAS3	1162.8455	NPAS3	139.5313
removed	removed	NPAS4	28.0895
NPAT	1138.9216	NPAT	759.942
NPC1L1	17.7617	NPC1L1	49.1566
NPC1	883.7336	NPC1	1056.9147
NPC2	2003.4436	NPC2	3046.485
NPDC1	801.8124	NPDC1	850.0114
NPEPL1	164.9298	NPEPL1	475.6889
NPEPPS	6776.6198	NPEPPS	2215.4034
NPFFR2	5.0748	removed	removed
removed	removed	NPFF	15.266
NPHP1	96.4205	NPHP1	206.0911
NPHP3	295.4237	NPHP3	987.7109
NPHP4	82.2836	NPHP4	283.9478
NPIPL3	157.14	NPIPL3	548.578
NPIP	217.9647	NPIP	1278.6077
NPLOC4	2981.0603	NPLOC4	2218.1513
NPL	273.6747	NPL	139.226
NPM1	19384.8663	NPM1	8645.1416
removed	removed	NPM2	27.4788
NPM3	109.1074	NPM3	184.7187
NPNT	12443.6792	NPNT	1518.0521
NPR1	35.8858	NPR1	1784.5966
NPR2	124.6942	NPR2	585.2988
NPR3	12.6869	NPR3	44.8821
NPRL2	216.551	NPRL2	294.4569
NPRL3	642.3199	NPRL3	570.0328
NPTN	3629.9048	NPTN	2796.1224
NPTX1	14.8618	NPTX1	36.6384
NPTX2	61.9846	removed	removed
NPTXR	284.9116	NPTXR	539.8061
NPY1R	4628.908	NPY1R	564.5371
removed	removed	NPY2R	138.3101
NPY5R	12.3244	NPY5R	30.532
NQO1	5420.5709	NQO1	1514.9989
NQO2	239.2388	NQO2	435.3866
removed	removed	NR0B1	8.549
NR1D1	334.0752	NR1D1	242.1128
NR1D2	1968.2827	NR1D2	1696.9697
NR1H2	705.3919	NR1H2	1098.8474
NR1H3	376.9823	NR1H3	619.1894
removed	removed	NR1H4	5.1904
NR1I3	7.1735	NR1I3	5.9507
NR2C1	577.0729	NR2C1	493.7028
NR2C2AP	171.4255	NR2C2AP	258.5207
NR2C2	1220.9334	NR2C2	1850.0878
NR2E3	13.4119	removed	removed
NR2F1	126.5066	NR2F1	834.7454
NR2F2	3456.2755	NR2F2	1989.1611
NR2F6	515.0884	NR2F6	378.5971
NR3C1	1619.2116	NR3C1	4812.4571
NR3C2	27.5487	NR3C2	1065.2622
NR4A1	226.1894	NR4A1	12204.8699
NR4A2	86.9959	NR4A2	955.3469
NR4A3	56.5473	NR4A3	1407.2208
NR5A2	69.5967	NR5A2	217.0827
NR6A1	34.4359	NR6A1	9.1596
NRARP	287.0865	NRARP	277.8414
NRAS	1991.4816	NRAS	1364.7813
NRBF2	404.1686	NRBF2	554.7668
NRBP1	1555.0521	NRBP1	2135.4095
NRBP2	689.8052	NRBP2	926.0362
NRCAM	2798.3688	NRCAM	46.4087
NRD1	4886.271	NRD1	2819.9374
NRF1	213.5025	NRF1	575.8339
NRG1	29.3611	NRG1	351.7289
removed	removed	NRG2	99.5344
removed	removed	NRG3	9.1596
NRG4	12.3244	removed	removed
NRGN	71.4092	NRGN	45.798
NRIP1	4057.9973	NRIP1	2992.7486
NRIP2	30.4486	NRIP2	169.758
NRIP3	724.966	NRIP3	446.9888
NRK	193.2034	NRK	113.5791
NRL	21.024	NRL	22.6059
NRM	821.749	NRM	247.92
NRN1	370.0952	NRN1	1257.9192
NRP1	3178.6135	NRP1	4634.1501
NRP2	1282.1024	NRP2	1260.6671
NRSN2	946.4431	NRSN2	578.2765
removed	removed	NRTN	20.4565
removed	removed	NRXN1	99.5344
NRXN2	22.4739	NRXN2	72.9715
NRXN3	24.6488	NRXN3	68.3917
NSA2	1775.4418	NSA2	1635.6003
NSD1	1519.5288	NSD1	2822.9906
NSDHL	472.3154	NSDHL	349.897
NSFL1C	802.8999	NSFL1C	1534.8447
NSF	7211.237	NSF	879.6275
NSL1	1413.3213	NSL1	708.3429
NSMAF	1043.9511	NSMAF	784.6729
NSMCE1	634.3453	NSMCE1	722.6929
NSMCE2	419.3928	NSMCE2	206.3965
NSMCE4A	282.7367	NSMCE4A	672.6204
NSUN2	2543.9058	NSUN2	1554.0798
NSUN3	227.6393	NSUN3	112.0525
NSUN4	750.3398	NSUN4	575.8339
NSUN5P1	17.3992	NSUN5P1	69.613
NSUN5P2	42.1459	NSUN5P2	216.9331
NSUN5	251.5632	NSUN5	268.9871
NSUN6	114.1821	NSUN6	242.4242
NSUN7	183.7789	NSUN7	155.408
NT5C2	779.3385	NT5C2	1667.659
NT5C3L	325.1473	NT5C3L	545.3019
NT5C3	1159.9456	NT5C3	440.5771
NT5C	56.9098	NT5C	176.1698
NT5DC1	957.6801	NT5DC1	946.1873
NT5DC2	347.9837	NT5DC2	467.7506
NT5DC3	190.6661	NT5DC3	869.8573
NT5E	1137.4717	NT5E	1032.8983
NT5M	40.5981	NT5M	37.8597
NTAN1	1138.5591	NTAN1	612.7777
NTF3	10.8745	NTF3	25.3416
removed	removed	NTF4	96.9972
NTHL1	47.4853	NTHL1	82.7418
NTM	1024.7395	NTM	115.7164
NTN1	112.0072	NTN1	227.7689
NTN4	1604.7123	NTN4	10007.7857
removed	removed	NTN5	33.5852
NTNG1	114.5446	removed	removed
NTNG2	7.6121	removed	removed
NTRK2	102.2202	NTRK2	7407.6788
NTRK3	887.3584	NTRK3	319.9756
removed	removed	NTS	19.5405
NUAK1	672.406	NUAK1	928.1734
NUAK2	87.3584	NUAK2	41.5235
NUB1	1398.6769	NUB1	1919.5756
NUBP1	231.536	NUBP1	342.154
NUBP2	208.0652	NUBP2	362.7204
NUBPL	688.3552	NUBPL	360.8885
NUCB1	2568.1921	NUCB1	4597.5116
NUCB2	2142.7857	NUCB2	1670.3183
NUCKS1	14908.9261	NUCKS1	11820.777
NUDCD1	1435.7952	NUDCD1	462.8654
NUDCD2	707.9293	NUDCD2	301.351
NUDCD3	1290.077	NUDCD3	2516.7544
NUDC	772.0888	NUDC	1404.1676
NUDT10	60.1722	NUDT10	57.0949
NUDT11	61.9846	NUDT11	90.9854
NUDT12	1035.614	NUDT12	374.3226
NUDT13	18.5918	NUDT13	54.1913
NUDT14	54.7349	NUDT14	199.0688
NUDT15	1008.8337	NUDT15	430.2969
NUDT16L1	292.5238	NUDT16L1	264.4073
NUDT16P1	214.5899	NUDT16P1	77.5513
NUDT16	336.0217	NUDT16	856.1179
NUDT17	14.1368	NUDT17	30.8373
NUDT18	43.498	NUDT18	81.8258
NUDT19	1729.044	NUDT19	276.0095
NUDT1	60.5347	NUDT1	93.7333
NUDT21	5602.5374	NUDT21	3361.5755
NUDT22	110.1441	NUDT22	163.3921
NUDT2	104.3951	NUDT2	285.4744
NUDT3	326.5972	NUDT3	378.5971
NUDT4	2492.0707	NUDT4	1174.5668
NUDT5	932.3462	NUDT5	407.2422
NUDT6	101.0059	NUDT6	62.5754
NUDT7	85.9085	NUDT7	170.0634
NUDT8	16.3117	NUDT8	51.2938
removed	removed	NUDT9P1	9.1596
NUDT9	592.2972	NUDT9	531.2572
NUF2	634.7077	NUF2	13.7394
NUFIP1	404.1686	NUFIP1	269.2924
NUFIP2	6292.3425	NUFIP2	2769.8649
NUMA1	3169.8378	NUMA1	12052.225
NUMBL	326.9597	NUMBL	351.1182
NUMB	1809.8777	NUMB	1986.1079
NUP107	1324.5129	NUP107	1009.6939
NUP133	2792.2066	NUP133	1613.9226
NUP153	2697.2361	NUP153	1950.9961
NUP155	1924.0598	NUP155	637.5086
NUP160	2032.4422	NUP160	1634.3791
NUP188	830.0861	NUP188	1345.5461
NUP205	2127.4128	NUP205	1508.8925
NUP210	1345.8994	NUP210	684.8332
NUP214	933.3937	NUP214	1895.4278
NUP35	545.1744	NUP35	346.8438
NUP37	929.7689	NUP37	245.7828
NUP43	1733.3937	NUP43	772.7654
NUP50	1779.7916	NUP50	1278.0704
NUP54	1407.884	NUP54	1049.6909
NUP62CL	67.7843	NUP62CL	32.3639
NUP62	1103.3439	NUP62	1179.913
NUP85	634.3453	NUP85	552.3243
NUP88	957.1364	NUP88	612.3807
NUP93	719.5288	NUP93	662.2395
NUP98	3676.6652	NUP98	3329.2115
NUPL1	2280.0181	NUPL1	1183.7264
NUPL2	420.1178	NUPL2	381.0396
NUPR1	220.3897	NUPR1	1475.6125
NUS1	2637.7889	NUS1	1405.6942
NUSAP1	2541.0059	NUSAP1	91.5961
NUTF2	2435.8858	NUTF2	1002.3662
NVL	1415.4961	NVL	409.4344
removed	removed	NWD1	45.1874
NXF1	1207.4309	NXF1	2116.1743
NXNL2	23.5614	NXNL2	13.7394
NXN	481.015	NXN	831.6922
removed	removed	NXPH2	8.549
NXPH3	34.0734	NXPH3	194.7943
NXPH4	157.6801	NXPH4	12.2128
NXT1	147.8931	NXT1	341.348
NXT2	847.4853	NXT2	382.8715
NYNRIN	221.4771	NYNRIN	1329.9748
OAF	214.5899	OAF	1027.7078
OAS1	588.6724	OAS1	376.4598
OAS2	1171.5451	OAS2	763.3005
OAS3	2686.7241	OAS3	1133.9592
OASL	115.6321	OASL	82.7418
OAT	3051.382	OAT	3448.897
OAZ1	6105.6638	OAZ1	5333.944
OAZ2	1050.8382	OAZ2	1769.3306
OAZ3	10.1604	OAZ3	16.2614
OBFC1	308.1106	OBFC1	804.5187
OBFC2A	209.8777	OBFC2A	298.6032
OBFC2B	401.6312	OBFC2B	454.3165
removed	removed	OBP2B	18.6245
OBSCN	42.4431	OBSCN	1404.2714
OBSL1	246.4884	OBSL1	1591.3289
removed	removed	OCA2	25.3416
OCEL1	273.6747	OCEL1	192.9624
OCIAD1	9331.4001	OCIAD1	2513.7012
OCIAD2	1112.8228	OCIAD2	362.7204
OCLM	14.8618	OCLM	7.9383
OCLN	1435.4327	OCLN	342.8746
OCRL	1650.0227	OCRL	1122.6624
removed	removed	ODAM	5.1904
ODC1	632.8953	ODC1	1253.6448
ODF2L	498.4141	ODF2L	699.4886
ODF2	496.9642	ODF2	824.6699
ODF3B	10.1495	ODF3B	105.0302
removed	removed	ODF3L1	45.1874
removed	removed	ODF3L2	12.8234
ODZ1	8.3371	ODZ1	25.9522
ODZ2	15.9493	ODZ2	689.7183
ODZ3	298.686	ODZ3	617.9681
ODZ4	349.0711	ODZ4	146.859
OFD1	793.8378	OFD1	1162.9647
OGDH	1516.6289	OGDH	2419.9679
OGFOD1	1553.6022	OGFOD1	798.107
OGFOD2	100.9153	OGFOD2	154.2905
OGFRL1	349.7961	OGFRL1	879.3222
OGFR	193.2034	OGFR	469.5825
OGG1	268.9624	OGG1	274.1806
OGN	391.1192	OGN	4619.1894
OGT	3725.2379	OGT	4713.8386
OIP5	158.4413	OIP5	15.8583
OLA1	2647.2134	OLA1	1296.0843
OLFM1	250.4758	OLFM1	702.8471
OLFM2	383.507	OLFM2	278.7573
OLFM4	8.6996	OLFM4	170.9793
OLFML1	360.3081	OLFML1	710.4801
OLFML2A	957.3176	OLFML2A	2058.7741
OLFML2B	1565.9266	OLFML2B	475.3836
OLFML3	1007.7028	OLFML3	1750.0954
OLR1	534.6624	OLR1	36.0278
OMA1	594.4721	OMA1	374.6279
OMD	539.0122	OMD	579.8031
ONECUT2	66.3344	removed	removed
OPA1	2837.1545	OPA1	1918.0215
OPA3	487.9021	OPA3	556.5987
OPCML	127.9565	OPCML	11.9075
OPHN1	189.5786	OPHN1	501.0305
OPLAH	58.3598	OPLAH	216.1667
OPN3	581.7309	OPN3	291.0679
removed	removed	OPRK1	8.8543
OPRL1	63.072	OPRL1	77.8567
OPTN	832.261	OPTN	2488.3597
removed	removed	OR2A1	10.3809
OR2A4	67.0594	OR2A4	173.7272
OR2A7	166.0172	OR2A7	524.5401
OR2A9P	93.1581	OR2A9P	454.0111
OR2B6	10.512	removed	removed
removed	removed	OR2L13	5.1904
OR51E1	61.2596	OR51E1	26.5629
OR51E2	15.5868	removed	removed
removed	removed	OR52N4	6.1064
OR7E91P	25.3738	removed	removed
ORAI1	163.4798	ORAI1	274.7882
ORAI2	264.7721	ORAI2	476.727
ORAI3	378.7947	ORAI3	468.3612
ORAOV1	158.4051	ORAOV1	250.3626
ORC1L	109.8324	ORC1L	20.1511
ORC2L	657.1817	ORC2L	551.103
ORC3L	1704.3951	ORC3L	775.8186
ORC4L	1192.9316	ORC4L	615.8309
ORC5L	716.2664	ORC5L	287.917
ORC6L	196.4658	ORC6L	15.266
ORM1	10.5265	removed	removed
ORMDL1	675.6683	ORMDL1	657.3544
ORMDL2	1614.9887	ORMDL2	390.9167
ORMDL3	682.918	ORMDL3	3030.303
OS9	2575.8043	OS9	5863.9798
OSBP2	76.4839	OSBP2	113.5791
OSBPL10	923.2442	OSBPL10	510.8007
OSBPL11	778.6135	OSBPL11	618.8841
OSBPL1A	570.5483	OSBPL1A	2243.7982
OSBPL2	942.0933	OSBPL2	1131.822
OSBPL3	281.2868	OSBPL3	348.981
OSBPL5	247.9384	OSBPL5	527.5933
OSBPL6	319.3475	OSBPL6	99.8397
OSBPL7	203.7155	OSBPL7	226.8529
OSBPL8	3684.2773	OSBPL8	2953.3623
OSBPL9	3288.8083	OSBPL9	2827.2651
OSBP	3549.4336	OSBP	2466.6819
OSCAR	52.56	OSCAR	31.7533
OSCP1	181.2415	OSCP1	251.5838
OSGEPL1	183.4164	OSGEPL1	160.9037
OSGEP	62.7096	OSGEP	348.6757
OSGIN1	106.9325	OSGIN1	96.4812
OSGIN2	2183.5976	OSGIN2	886.9552
OSMR	1722.5193	OSMR	1283.2608
OSM	9.787	OSM	9.4649
removed	removed	OSR1	568.2009
OSR2	814.8618	OSR2	385.0088
OST4	3180.4114	OST4	1228.8986
OSTCL	13.7744	removed	removed
OSTC	3247.1228	OSTC	999.313
OSTF1	1039.6013	OSTF1	672.9257
OSTM1	1403.8967	OSTM1	880.8488
OSTalpha	16.6742	OSTalpha	6.1064
removed	removed	OTOF	5.4958
OTP	6.1622	removed	removed
OTUB1	1620.6615	OTUB1	1213.3425
OTUB2	156.2302	OTUB2	40.9129
OTUD1	456.0036	OTUD1	551.103
OTUD3	182.329	OTUD3	561.4839
OTUD4	2246.6697	OTUD4	1708.8772
OTUD5	667.6937	OTUD5	1306.7705
OTUD6B	1035.614	OTUD6B	328.8299
removed	removed	OTUD7A	15.8767
OTUD7B	1105.9357	OTUD7B	1222.8074
OTX1	10.1495	removed	removed
OVCA2	356.386	OVCA2	355.6889
removed	removed	OVCH2	56.7896
OVGP1	76.8464	OVGP1	66.8651
OVOL1	307.0231	OVOL1	191.7411
OVOL2	61.9846	OVOL2	144.7218
OXA1L	4746.3525	OXA1L	1859.0947
OXCT1	915.2696	OXCT1	1609.9534
removed	removed	OXCT2	5.1904
removed	removed	OXER1	50.3778
removed	removed	OXGR1	29.0054
OXNAD1	208.7902	OXNAD1	211.5869
OXR1	2498.9579	OXR1	2148.233
OXSM	411.0557	OXSM	140.7526
OXSR1	2523.9692	OXSR1	1596.8247
OXTR	93.5206	OXTR	5472.254
P2RX1	6.1622	P2RX1	19.5405
P2RX4	421.9302	P2RX4	389.8939
removed	removed	P2RX5	30.4252
removed	removed	P2RX6	6.4117
P2RX7	56.1849	P2RX7	137.0888
P2RY10	5.4372	P2RY10	24.4256
removed	removed	P2RY11	8.3658
removed	removed	P2RY12	17.4033
P2RY13	22.8364	P2RY13	114.4951
P2RY14	28.6362	P2RY14	54.6523
P2RY1	21.749	P2RY1	27.1735
P2RY2	147.8931	P2RY2	98.9237
P2RY6	90.9832	P2RY6	30.532
P2RY8	41.6855	P2RY8	106.2514
P4HA1	3118.4413	P4HA1	905.885
P4HA2	991.7535	P4HA2	721.4716
P4HA3	170.7295	P4HA3	24.7309
P4HB	12878.6588	P4HB	8375.8492
P4HTM	259.1754	P4HTM	382.5662
P704P	29.3611	P704P	15.8767
PA2G4P4	65.2469	PA2G4P4	38.7757
PA2G4	4231.6266	PA2G4	2797.0384
PAAF1	434.9796	PAAF1	257.3849
PABPC1L	114.5446	PABPC1L	238.4551
PABPC1	49824.0145	PABPC1	18846.5003
PABPC3	379.8822	PABPC3	189.9092
PABPC4L	58.7222	PABPC4L	60.7587
PABPC4	1783.7789	PABPC4	2471.2617
PABPC5	24.2864	PABPC5	57.4002
PABPN1	2661.343	PABPN1	2012.7196
PACRGL	354.1459	PACRGL	327.9139
removed	removed	PACRG	35.1118
PACS1	2479.7463	PACS1	2241.6609
PACS2	228.7268	PACS2	1179.7573
PACSIN1	27.9112	PACSIN1	6.717
PACSIN2	278.387	PACSIN2	1037.7834
PACSIN3	128.319	PACSIN3	283.9478
PADI2	202.628	PADI2	1445.6912
PADI3	108.3824	removed	removed
PAF1	714.454	PAF1	1166.6285
PAFAH1B1	2776.9823	PAFAH1B1	4844.5157
PAFAH1B2	913.4572	PAFAH1B2	663.7661
PAFAH1B3	538.6606	PAFAH1B3	175.6721
PAFAH2	851.4726	PAFAH2	425.9217
PAG1	280.5618	PAG1	132.509
PAH	107.6575	removed	removed
PAICS	13072.9497	PAICS	1766.888
PAIP1	2879.9275	PAIP1	1095.4889
PAIP2B	272.7757	PAIP2B	421.0366
PAIP2	7052.8319	PAIP2	2063.3539
PAK1IP1	349.4336	PAK1IP1	433.2494
PAK1	828.9986	PAK1	948.6299
PAK2	6022.2927	PAK2	2789.7107
PAK3	6.1622	PAK3	103.8089
PAK4	727.5034	PAK4	762.6899
PAK6	53.3792	PAK6	227.6651
removed	removed	PAK7	167.6208
PALB2	551.3367	PALB2	310.5106
PALLD	8314.2728	PALLD	9198.0765
PALM2-AKAP2	1255.391	PALM2-AKAP2	3753.4631
PALM2	69.9592	PALM2	57.1285
PALM3	12.3244	PALM3	21.0671
PALMD	131.9438	PALMD	3270.59
PALM	77.5714	PALM	1196.2446
PAMR1	12.6869	PAMR1	2470.9564
PAM	3223.9239	PAM	3996.3362
PAN2	436.792	PAN2	1028.0131
PAN3	2572.1794	PAN3	1639.8748
PANK1	77.9338	PANK1	52.8204
PANK2	479.9275	PANK2	481.7953
PANK3	1259.9909	PANK3	787.1155
PANK4	79.7463	PANK4	287.6116
PANX1	1098.686	PANX1	375.2385
PANX2	65.9719	PANX2	38.4703
PAOX	38.0607	PAOX	106.8621
PAPD4	2446.0353	PAPD4	1335.4706
PAPD5	1036.3389	PAPD5	486.3751
PAPD7	473.7653	PAPD7	884.818
PAPLN	55.8224	PAPLN	439.0505
PAPOLA	10471.4092	PAPOLA	4380.1237
PAPOLG	734.3906	PAPOLG	546.8285
removed	removed	PAPPA2	32.0586
PAPPA	364.2954	PAPPA	227.1582
PAPSS1	2957.8614	PAPSS1	2387.604
PAPSS2	673.4934	PAPSS2	655.2172
PAQR3	524.8826	PAQR3	507.488
PAQR4	369.0258	PAQR4	116.4888
PAQR5	89.1708	PAQR5	221.0518
PAQR6	18.4866	PAQR6	23.5097
PAQR7	275.1246	PAQR7	413.0982
PAQR8	189.2161	PAQR8	301.6564
PAR-SN	105.4826	PAR-SN	273.6158
PAR5	29.7236	PAR5	155.408
PARD3B	22.8364	PARD3B	221.6625
PARD3	686.9053	PARD3	1456.3774
PARD6A	13.0494	PARD6A	48.2406
PARD6B	4371.5451	PARD6B	257.3849
PARD6G	246.4884	PARD6G	602.0914
PARG	447.6665	PARG	478.4368
PARK2	23.9239	PARK2	150.5229
PARK7	1926.2347	PARK7	2438.8978
PARL	939.9184	PARL	813.0677
PARM1	320.0725	PARM1	1813.2967
PARN	1395.1971	PARN	1019.7695
PARP10	298.686	PARP10	588.9627
PARP11	374.0825	PARP11	342.2639
PARP12	671.681	PARP12	555.6828
PARP14	3186.9506	PARP14	1682.6196
removed	removed	PARP15	14.0447
PARP16	282.7367	PARP16	369.4374
PARP1	4529.2252	PARP1	2522.8609
PARP2	337.4717	PARP2	526.6774
PARP3	168.1921	PARP3	597.817
PARP4	2527.2315	PARP4	2097.5498
PARP6	529.5877	PARP6	987.4055
PARP8	391.4816	PARP8	391.1152
PARP9	1921.9284	PARP9	1312.0128
PARS2	117.082	PARS2	75.7194
removed	removed	PART1	27.4788
PARVA	2838.9669	PARVA	3277.0018
PARVB	158.4051	PARVB	356.9193
PARVG	60.1722	PARVG	109.9153
PASK	64.8845	PASK	178.307
PATL1	1516.9914	PATL1	1453.9348
removed	removed	PATL2	7.0224
PATZ1	1687.7209	PATZ1	1271.048
PAWR	915.6321	PAWR	501.6411
PAX3	30.8111	PAX3	9.7702
PAX6	61.2596	PAX6	99.2291
